place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJAfMpRz0h9xIR0P-52FX6Myc,Chicha One Cafe,,False,52,"Name: Chicha La Suite
link: https://www.google.com/maps/search/Chicha+La+Suite/@35.424029,7.161714?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Shisha Sultan mlk
link: https://www.google.com/maps/search/Shisha+Sultan+mlk/@35.4233858,7.1529625999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Hookah time
link: https://www.google.com/maps/search/Hookah+time/@35.4234503,7.1548389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://chichaonecafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Chicha One Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNBTkX42j23ZlNrGIGoMMPzB5F3kf7_EskTK3g3=w426-h240-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Dian ",3.9,10:00-23:00,Xing Qi Wu ,+213 551 93 62 56,"C4CW+9V6 Chicha One Cafe, Rue Amar Bouchrit, Khenchela 40002A Er Ji Li Ya ",Shi Tang ,https://www.google.com/maps/place/Chicha+One+Cafe/data=!4m7!3m6!1s0x12f7213d4729f301:0x2733fa55d8b9ffd0!8m2!3d35.420917!4d7.1471303!16s%2Fg%2F11c3sr60hy!19sChIJAfMpRz0h9xIR0P-52FX6Myc?authuser=0&hl=zh-TW&rclk=1
ChIJKWIEKgoh9xIR7uY4lVUW4yo,midou et joseph cafe,,False,,"Name: caffe moussa hamzaoui
link: https://www.google.com/maps/search/caffe+moussa+hamzaoui/@35.4432493,7.1380338?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.mbc3.com/,midou et joseph cafe (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,,24 Xiao Shi Ying Ye ,Open All Days,+213 659 01 32 15,"midou et joseph cafe, 326 lotissement, Khenchela, A Er Ji Li Ya ",,https://www.google.com/maps/place/midou+et+joseph+caf%C3%A9/data=!4m7!3m6!1s0x12f7210a2a046229:0x2ae316559538e6ee!8m2!3d35.4176206!4d7.1377775!16s%2Fg%2F11fr25kp40!19sChIJKWIEKgoh9xIR7uY4lVUW4yo?authuser=0&hl=zh-TW&rclk=1
ChIJnz8EhFon9xIRBZT4Uuy6SPM,Cafe,,False,,"Name: Cafe SafiR
link: https://www.google.com/maps/search/Caf%C3%A9+SafiR/@35.4108194,7.151577199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: mqhy qs
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%8A+%D9%82%D8%A7%D8%B3%D8%A7/@35.4657298,7.0776556?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafe mourad
link: https://www.google.com/maps/search/Caf%C3%A9+mourad/@35.4367954,7.1527240999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://website--905629368602128760368-cafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Cafe (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,,03:00-22:00,Open All Days,+213 674 79 17 18,"Cafe, 40100 Rue n88 Site de 96+40 log, El Hamma 40100A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9/data=!4m7!3m6!1s0x12f7275a84043f9f:0xf348baec52f89405!8m2!3d35.4506175!4d7.1193337!16s%2Fg%2F11pgvg4dx5!19sChIJnz8EhFon9xIRBZT4Uuy6SPM?authuser=0&hl=zh-TW&rclk=1
ChIJ4QNTeA4h9xIRdKwI-st6620,Hookah time,,False,,"Name: Chicha One Cafe
link: https://www.google.com/maps/search/Chicha+One+Cafe/@35.420916999999996,7.1471303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Chicha La Suite
link: https://www.google.com/maps/search/Chicha+La+Suite/@35.424029,7.161714?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Shisha Sultan mlk
link: https://www.google.com/maps/search/Shisha+Sultan+mlk/@35.4233858,7.1529625999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Diamand lounge 40
link: https://www.google.com/maps/search/Diamand+lounge+40/@35.4244887,7.1544393?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/cafe_hookah_time%3Figshid%3Djip270xafcs4,Hookah time (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMLeRQxIBn6gxS0yPCrRJ7wkOTVW0YNylyHAqIG=w461-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,,,Open All Days,+213 664 24 14 16,"C5F3+9WP Hookah time, Unnamed Road, Khenchela, A Er Ji Li Ya ",,https://www.google.com/maps/place/Hookah+time/data=!4m7!3m6!1s0x12f7210e785303e1:0x6deb7acbfa08ac74!8m2!3d35.4234503!4d7.1548389!16s%2Fg%2F11fm5n4d6c!19sChIJ4QNTeA4h9xIRdKwI-st6620?authuser=0&hl=zh-TW&rclk=1
ChIJ6dkjYD8h9xIRpcwPbwxf9Qs,mqh~ mbrky,,False,15,"Name: Cafe Mansouri
link: https://www.google.com/maps/search/Caf%C3%A9+Mansouri/@35.4298466,7.1452716?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",,mqh~ mbrky (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO2b4YvNCmP9iOFJk1D0ZK-OIKF0tTbDR7Gp8gS=w408-h408-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,05:30-22:30,Open All Days,,"C5F4+9XG mqh~ mbrky, KhenchelaA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D9%85%D8%A8%D8%A7%D8%B1%D9%83%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f7213f6023d9e9:0xbf55f0c6f0fcca5!8m2!3d35.4234429!4d7.1574563!16s%2Fg%2F11gbx9z3wk!19sChIJ6dkjYD8h9xIRpcwPbwxf9Qs?authuser=0&hl=zh-TW&rclk=1
ChIJFRP2odch9xIRuiHCNh9-RNM,Cafe SafiR,,False,10,"Name: Cafe Mansouri
link: https://www.google.com/maps/search/Caf%C3%A9+Mansouri/@35.4298466,7.1452716?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Cafeteria Haroun
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+Haroun/@35.4020064,7.1375093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Saphir Chicha
link: https://www.google.com/maps/search/Saphir+Chicha/@35.4343909,7.1504008?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafe
link: https://www.google.com/maps/search/Caf%C3%A9/@35.4506175,7.119333699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe SafiR (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPiy5ybMEcyVQMgYjZZVuS4PIgifM2UeFjAcG7K=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,,Open All Days,,"C562+8JG Cafe SafiR, Khenchela, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+SafiR/data=!4m7!3m6!1s0x12f721d7a1f61315:0xd3447e1f36c221ba!8m2!3d35.4108194!4d7.1515772!16s%2Fg%2F11mtd6m94y!19sChIJFRP2odch9xIRuiHCNh9-RNM?authuser=0&hl=zh-TW&rclk=1
ChIJGxQTnyIh9xIRo4X-m-B_2Kc,mqh~ lmjhdyn,,False,10,"Name: mqh~ zrwl
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B2%D8%B1%D9%88%D8%A7%D9%84/@35.4165572,7.1361379?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,mqh~ lmjhdyn (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,4.1,,Open All Days,,"C4CW+535 mqh~ lmjhdyn, KhenchelaA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%85%D8%AC%D8%A7%D9%87%D8%AF%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12f721229f13141b:0xa7d87fe09bfe85a3!8m2!3d35.4203995!4d7.1452241!16s%2Fg%2F11c5b34nkq!19sChIJGxQTnyIh9xIRo4X-m-B_2Kc?authuser=0&hl=zh-TW&rclk=1
ChIJFfTGXh4h9xIR2PcgEdsph-k,mws~ mhdwy,,False,10,"Name: ndy lmrby
link: https://www.google.com/maps/search/%D9%86%D8%A7%D8%AF%D9%8A+%D8%A7%D9%84%D9%85%D8%B1%D8%A8%D9%8A/@35.431193300000004,7.1440233?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: caffe moussa hamzaoui
link: https://www.google.com/maps/search/caffe+moussa+hamzaoui/@35.4432493,7.1380338?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Maison de Millefeuille
link: https://www.google.com/maps/search/Maison+de+Millefeuille/@35.411862899999996,7.142183800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: cafe issam
link: https://www.google.com/maps/search/cafe+issam/@35.409343799999995,7.1518166?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,mws~ mhdwy (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN50mM5FE6Sp4WWV-xBrBNrDCAwU0atXYo3v4BU=w408-h456-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,,Open All Days,,"C48Q+P92 mws~ mhdwy, Khenchela, A Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%88%D8%B3%D9%89+%D9%85%D9%87%D8%AF%D8%A7%D9%88%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f7211e5ec6f415:0xe98729db1120f7d8!8m2!3d35.4167673!4d7.1383985!16s%2Fg%2F1tsgg_67!19sChIJFfTGXh4h9xIR2PcgEdsph-k?authuser=0&hl=zh-TW&rclk=1
ChIJrw2c2wgh9xIRCPhEGKD4Wd8,Greenoffee,,False,7,"Name: Cafe SafiR
link: https://www.google.com/maps/search/Caf%C3%A9+SafiR/@35.4108194,7.151577199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Coffee house
link: https://www.google.com/maps/search/Coffee+house/@35.420471299999996,7.1377766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: cafe
link: https://www.google.com/maps/search/caf%C3%A9/@35.420745499999995,7.1384799999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Greenoffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPGM6jg4-TXRVLbhsxOkNgBEe8oJLt41ifbODlv=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,5,24 Xiao Shi Ying Ye ,Xing Qi Wu ,+213 696 31 47 44,"C4HR+3F7 Greenoffee, Rue H, Khenchela, A Er Ji Li Ya ",,https://www.google.com/maps/place/Greenoffee/data=!4m7!3m6!1s0x12f72108db9c0daf:0xdf59f8a01844f808!8m2!3d35.4276726!4d7.14118!16s%2Fg%2F11tnf49dtq!19sChIJrw2c2wgh9xIRCPhEGKD4Wd8?authuser=0&hl=zh-TW&rclk=1
ChIJxwrdXBsh9xIRCTk_NJl1hY0,Cafe Mansouri,,False,7,"Name: mT`m shhrzd
link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%B4%D9%87%D8%B1%D8%B2%D8%A7%D8%AF/@35.432811099999995,7.145700199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: mqhy Gdyr shwqy
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%8A+%D8%BA%D8%AF%D9%8A%D8%B1+%D8%B4%D9%88%D9%82%D9%8A/@35.4259829,7.1561555?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: mT`m lkhw@ bwshmy
link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%A7%D8%AE%D9%88%D8%A9+%D8%A8%D9%88%D8%B4%D8%A7%D9%85%D9%8A/@35.4350199,7.139459800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafe mourad
link: https://www.google.com/maps/search/Caf%C3%A9+mourad/@35.4367954,7.1527240999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Mansouri Anwar House
link: https://www.google.com/maps/search/Mansouri+Anwar+House/@35.429437899999996,7.143355199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Mansouri (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPZGHb6Dlw8Zlclo39mzEUDN3-nUqKz3EXwiB6v=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,05:00-20:00,Open All Days,,"C4HW+W4J Cafe Mansouri, Khenchela, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Mansouri/data=!4m7!3m6!1s0x12f7211b5cdd0ac7:0x8d857599343f3909!8m2!3d35.4298466!4d7.1452716!16s%2Fg%2F11gyz0qjv3!19sChIJxwrdXBsh9xIRCTk_NJl1hY0?authuser=0&hl=zh-TW&rclk=1
ChIJQwww2vIh9xIRC2LPzM1tbSE,Club Family,,False,7,"Name: Restaurant Familial
link: https://www.google.com/maps/search/Restaurant+Familial/@35.442983,7.0852352?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Le cedre family club
link: https://www.google.com/maps/search/Le+c%C3%A8dre+family+club/@35.4268935,7.138856199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Hdyq@ family club
link: https://www.google.com/maps/search/%D8%AD%D8%AF%D9%8A%D9%82%D8%A9+family+club/@35.4318306,7.1371533?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: coffe Hause
link: https://www.google.com/maps/search/coffe+Hause/@35.4269579,7.1459725999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Club Family (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNagh1wXmX0GJZ6Q0fv7mfu2ynECGsMT6qfue5P=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.6,,Open All Days,+213 560 91 17 42,"C4JQ+H35 Club Family, Khenchela, A Er Ji Li Ya ",,https://www.google.com/maps/place/Club+Family/data=!4m7!3m6!1s0x12f721f2da300c43:0x216d6dcdcccf620b!8m2!3d35.4313913!4d7.1377397!16s%2Fg%2F11gk8fff4l!19sChIJQwww2vIh9xIRC2LPzM1tbSE?authuser=0&hl=zh-TW&rclk=1
ChIJm9vNTUAh9xIRnldzVslgp8A,Cafe Fendali,,False,7,"Name: Cafe SafiR
link: https://www.google.com/maps/search/Caf%C3%A9+SafiR/@35.4108194,7.151577199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Fast food anis
link: https://www.google.com/maps/search/Fast+food+anis/@35.4302242,7.147041?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: coffe Hause
link: https://www.google.com/maps/search/coffe+Hause/@35.4269579,7.1459725999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Fendali (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOipBmeWoOp2ylt0-hAMbK8dactFdYF9Ft6gvOQ=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,,Open All Days,,"C5C5+FXJ Cafe Fendali, Khenchela, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Fendali/data=!4m7!3m6!1s0x12f721404dcddb9b:0xc0a760c95673579e!8m2!3d35.4212187!4d7.1598967!16s%2Fg%2F11ddxd7cm6!19sChIJm9vNTUAh9xIRnldzVslgp8A?authuser=0&hl=zh-TW&rclk=1
ChIJlzc_fiYh9xIRfLyVGGy5TyA,mqh~ hny,,False,6,"Name: Chicha One Cafe
link: https://www.google.com/maps/search/Chicha+One+Cafe/@35.420916999999996,7.1471303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: mqh~ lyrbwH
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D9%84%D9%8A%D8%B1%D8%A8%D9%88%D8%AD/@35.4207962,7.1410275?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: mqh~ shy
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B4%D8%A7%D9%8A/@35.4303563,7.1464242?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,mqh~ hny (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMlQJSvhuM0nKqaK9xkVYVDIzEmd3ge4VdLoCu2=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,,Open All Days,,"C4HR+8HF mqh~ hny, Rue Ali Nemer, KhenchelaA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D9%87%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f721267e3f3797:0x204fb96c1895bc7c!8m2!3d35.4283067!4d7.1414151!16s%2Fg%2F11c1x04wnr!19sChIJlzc_fiYh9xIRfLyVGGy5TyA?authuser=0&hl=zh-TW&rclk=1
