place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJuxXLltBOjjkR7i3zDsDqb-8,Om Prakash Tea House,,False,13,"Name: Maharaj Tea Shop
link: https://www.google.com/maps/search/Maharaj+Tea+Shop/@25.1166447,82.87356890000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",,Om Prakash Tea House (Ye Zhu ),https://www.google.com/maps/contrib/101361932045409864217,https://lh5.googleusercontent.com/p/AF1QipNWB_LfIyeeWcCDMyjPRKWE6sz3_XhSFruLuc2I=w408-h883-k-no,Cha Yi Guan ,Cha Yi Guan ,4.2,05:00-21:30,Open All Days,,"Om Prakash Tea House, Ward No 23 Patti KhurdMain, Road, Ahraura, Uttar Pradesh 231301Yin Du ",,https://www.google.com/maps/place/Om+Prakash+Tea+House/data=!4m7!3m6!1s0x398e4ed096cb15bb:0xef6feac00ef32dee!8m2!3d25.014742!4d83.0290487!16s%2Fg%2F11c5bgw72y!19sChIJuxXLltBOjjkR7i3zDsDqb-8?authuser=0&hl=zh-TW&rclk=1
ChIJmfrPHNZOjjkROoVqQMrubh8,Chanchala Ice Cream,,False,11,"Name: cNclaa aaiskriim kek v giftt kaarnr
link: https://www.google.com/maps/search/%E0%A4%9A%E0%A4%82%E0%A4%9A%E0%A4%B2%E0%A4%BE+%E0%A4%86%E0%A4%87%E0%A4%B8%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AE+%E0%A4%95%E0%A5%87%E0%A4%95+%E0%A4%B5+%E0%A4%97%E0%A4%BF%E0%A5%9E%E0%A5%8D%E0%A4%9F+%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%A8%E0%A4%B0/@25.024216,83.0349537?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",,Chanchala Ice Cream (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM759m1Bp7s3CTmYW4NaFL_WEfV4nKXFgZCQ4st=w521-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.5,,Open All Days,+91 98381 47884,"229P+M9M Chanchala Ice Cream, Koiran Bazar, Ahraura, Uttar Pradesh 231301Yin Du ",,https://www.google.com/maps/place/Chanchala+Ice+Cream/data=!4m7!3m6!1s0x398e4ed61ccffa99:0x1f6eeeca406a853a!8m2!3d25.0192182!4d83.0359253!16s%2Fg%2F11d_8drby6!19sChIJmfrPHNZOjjkROoVqQMrubh8?authuser=0&hl=zh-TW&rclk=1
ChIJaUrel3hPjjkRN_Gw0AIvlXI,Yadav Tea Stall,,False,9,"Name: Yadav ji restaurant
link: https://www.google.com/maps/search/Yadav+ji+restaurant/@25.105751899999998,82.8709745?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Yadav tea stall
link: https://www.google.com/maps/search/Yadav+tea+stall/@25.295508899999998,83.00492129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Tea stall
link: https://www.google.com/maps/search/Tea+stall/@25.1011006,82.8694833?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Yadav Tea Stall (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PqUfizDmUqhVgH-dU05cBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=198.33313&pitch=0&thumbfov=100,Cha Yi Guan ,Cha Yi Guan ,2.7,,Open All Days,,"23C3+GW3 Yadav Tea Stall, Ahraura - Chakia Rd, Anandipur, Uttar Pradesh 231301Yin Du ",,https://www.google.com/maps/place/Yadav+Tea+Stall/data=!4m7!3m6!1s0x398e4f7897de4a69:0x72952f02d0b0f137!8m2!3d25.0212623!4d83.0548019!16s%2Fg%2F11kz40v11w!19sChIJaUrel3hPjjkRN_Gw0AIvlXI?authuser=0&hl=zh-TW&rclk=1
ChIJsbzDzE1PjjkRQsW9_3k4iN4,AIRTEL STORE,,False,7,"Name: Airtel Store
link: https://www.google.com/maps/search/Airtel+Store/@25.3247529,83.0297599?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Maurya Electronic
link: https://www.google.com/maps/search/Maurya+Electronic/@25.020719999999997,83.0331415?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",,AIRTEL STORE (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO7En-4laWZSjVFye7oaCCGs3vbkWYc5uQSLqFh=w408-h536-k-no,Ka Pei Ting ,Ka Pei Ting ,4,,Open All Days,,"AIRTEL STORE, police station, Ahraura, Uttar Pradesh 231301Yin Du ",,https://www.google.com/maps/place/AIRTEL+STORE/data=!4m7!3m6!1s0x398e4f4dccc3bcb1:0xde883879ffbdc542!8m2!3d25.0133812!4d83.0292569!16s%2Fg%2F11f62t3nd1!19sChIJsbzDzE1PjjkRQsW9_3k4iN4?authuser=0&hl=zh-TW&rclk=1
ChIJ2fAX69ZOjjkRq29lJ8ciHEA,"Pavan Online, Ahraura",,False,6,"Name: Vartika Net World & Cyber Cafe & Stationery Shop
link: https://www.google.com/maps/search/Vartika+Net+World+%26+Cyber+Cafe+%26+Stationery+Shop/@25.229589999999998,82.9388865?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Pavan Syber & CSC Center
link: https://www.google.com/maps/search/Pavan+Syber+%26+CSC+Center/@25.2020476,82.9326432?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: WhatsApp Cyber Cafe
link: https://www.google.com/maps/search/WhatsApp+Cyber+Cafe/@25.2288216,82.97290559999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,"Pavan Online, Ahraura (Ye Zhu )",https://www.google.com/maps/contrib/109180322596153230278,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CORK-2E79CljJMlS1E_NuQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=11.415773&pitch=0&thumbfov=100,Wang Ba ,Wang Ba ,3.8,09:00-20:00,Open All Days,+91 90444 52627,"Pavan Online, Ahraura, Chowk, Bazar Road, near Alumil, Ahraura, Maghwa, Uttar Pradesh 231301Yin Du ",,"https://www.google.com/maps/place/Pavan+Online,+Ahraura/data=!4m7!3m6!1s0x398e4ed6eb17f0d9:0x401c22c727656fab!8m2!3d25.0182047!4d83.0324246!16s%2Fg%2F11c2r3n28r!19sChIJ2fAX69ZOjjkRq29lJ8ciHEA?authuser=0&hl=zh-TW&rclk=1"
ChIJX2-Z2HdJjjkR1h4s8opLVOU,Ashutosh online works & digital studio,,False,4,"Name: Shaury Digital Sewa
link: https://www.google.com/maps/search/Shaury+Digital+Sewa/@25.121580599999998,83.0350031?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Pavan Online, Ahraura
link: https://www.google.com/maps/search/Pavan+Online%2C+Ahraura/@25.0182047,83.0324246?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: ASHUTOSH INTERNET SOLUTION
link: https://www.google.com/maps/search/ASHUTOSH+INTERNET+SOLUTION/@25.4923577,83.15888059999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Ashutosh online works & digital studio (Ye Zhu ),https://www.google.com/maps/contrib/118361961546127658763,https://lh5.googleusercontent.com/p/AF1QipP5-NsYSozn61ej1rfIBAR4d0YBys5Ed90TZ7B9=w424-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,24 Xiao Shi Ying Ye ,Xing Qi Ri ,,"Ashutosh online works & digital studio, Shiv mandir ke pass, Adhawar, Ahraura, Uttar Pradesh 231301Yin Du ",,https://www.google.com/maps/place/Ashutosh+online+works+%26+digital+studio/data=!4m7!3m6!1s0x398e4977d8996f5f:0xe5544b8af22c1ed6!8m2!3d25.0741796!4d82.9989769!16s%2Fg%2F11rcgx55v9!19sChIJX2-Z2HdJjjkR1h4s8opLVOU?authuser=0&hl=zh-TW&rclk=1
ChIJsbtP3qtPjjkR4vNmhOfDv40,SATYNARAYAN PRAJAPATI,,False,3,"Name: Amarnath prajapati Pan bhandar
link: https://www.google.com/maps/search/Amarnath+prajapati+Pan+bhandar/@25.1187237,82.90939709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Prajapati Jalpan Centre
link: https://www.google.com/maps/search/Prajapati+Jalpan+Centre/@25.5004445,83.1588123?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,SATYNARAYAN PRAJAPATI (Ye Zhu ),https://www.google.com/maps/contrib/112339154995484230429,https://lh5.googleusercontent.com/p/AF1QipP26pO7LqpUtEAhlcP2PXpj6EZ0CE8vKsdLiLCi=w519-h240-k-no,Cha Xie Dian ,Cha Xie Dian ,5,24 Xiao Shi Ying Ye ,Open All Days,,"SATYNARAYAN PRAJAPATI, Ahraura, Uttar Pradesh 231301Yin Du ",,https://www.google.com/maps/place/SATYNARAYAN+PRAJAPATI/data=!4m7!3m6!1s0x398e4fabde4fbbb1:0x8dbfc3e78466f3e2!8m2!3d25.0253125!4d83.0293125!16s%2Fg%2F11fd6d7kxk!19sChIJsbtP3qtPjjkR4vNmhOfDv40?authuser=0&hl=zh-TW&rclk=1
ChIJZdIAP99NjjkR4_2bXShqL40,Online center,,False,3,"Name: praaimrii skuul bairmpur
link: https://www.google.com/maps/search/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%87%E0%A4%AE%E0%A4%B0%E0%A5%80+%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A5%82%E0%A4%B2+%E0%A4%AC%E0%A5%88%E0%A4%B0%E0%A4%AE%E0%A4%AA%E0%A5%81%E0%A4%B0/@25.012809999999998,82.99182069999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Online center (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPljxpcb67PxOFDJ48Ov_daCvmopH0TZQjoodXn=w408-h907-k-no,Ka Pei Ting ,Ka Pei Ting ,3.7,,Open All Days,,"2X6R+978 Online center, Unnamed Road, Uttar Pradesh 231301Yin Du ",,https://www.google.com/maps/place/Online+center/data=!4m7!3m6!1s0x398e4ddf3f00d265:0x8d2f6a285d9bfde3!8m2!3d25.0109136!4d82.990688!16s%2Fg%2F11h_9w2hjl!19sChIJZdIAP99NjjkR4_2bXShqL40?authuser=0&hl=zh-TW&rclk=1
ChIJO1hWq0BLjjkRmBbyPWZbHMA,caay paan kii dukaan,,False,2,,,caay paan kii dukaan (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ArBe_wpGh6tFxUB7uzJEbg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=5.5707955&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,3,05:00-21:00,Open All Days,,"3X3F+FC8 caay paan kii dukaan, Jamui - Ahraura Rd, Bhagauti Dei, Sonbersa Kalan, Uttar Pradesh 231301Yin Du ",,https://www.google.com/maps/place/%E0%A4%9A%E0%A4%BE%E0%A4%AF+%E0%A4%AA%E0%A4%BE%E0%A4%A8+%E0%A4%95%E0%A5%80+%E0%A4%A6%E0%A5%81%E0%A4%95%E0%A4%BE%E0%A4%A8/data=!4m7!3m6!1s0x398e4b40ab56583b:0xc01c5b663df21698!8m2!3d25.0536563!4d82.9735641!16s%2Fg%2F11l1kx5gd2!19sChIJO1hWq0BLjjkRmBbyPWZbHMA?authuser=0&hl=zh-TW&rclk=1
ChIJE-xPWt5PjjkRTC2BEyYU2mk,Deepak sweet house,,False,2,"Name: Deepmaalika sweet & restaurant
link: https://www.google.com/maps/search/Deepmaalika+sweet+%26+restaurant/@25.317108599999997,83.01267709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Deepak Sweet House
link: https://www.google.com/maps/search/Deepak+Sweet+House/@25.1826306,82.78809079999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Shivam Sweet House
link: https://www.google.com/maps/search/Shivam+Sweet+House/@25.182613099999998,82.78809009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Deepak sweet house (Ye Zhu ),https://www.google.com/maps/contrib/112992354722358076488,https://lh5.googleusercontent.com/p/AF1QipNtejg_XCcRNB4C1-APyYOpTIlKj23Io-zipMYu=w533-h240-k-no,Zao Can Can Ting ,Zao Can Can Ting ,5,06:30-20:00,Open All Days,,"Deepak sweet house, Tikra kharanja, Ahraura, Uttar Pradesh 231301Yin Du ",,https://www.google.com/maps/place/Deepak+sweet+house/data=!4m7!3m6!1s0x398e4fde5a4fec13:0x69da142613812d4c!8m2!3d25.0158913!4d83.0326622!16s%2Fg%2F11m0842285!19sChIJE-xPWt5PjjkRTC2BEyYU2mk?authuser=0&hl=zh-TW&rclk=1
