place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJlWrHfSi6XxMRD5Yv407tcAw,Cityzen Espresso Kitchen Bar,,False,1588,"Name: TOURIST Aegio
link: https://www.google.com/maps/search/TOURIST+Aegio/@38.2537983,22.0860885?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1484 reviews

Name: Anemoni
link: https://www.google.com/maps/search/Anemoni/@38.250926899999996,22.0814946?authuser=0&hl=zh-TW&entry=ttu
Reviews: 378 reviews

Name: Restaurant ""In the Kitchen""
link: https://www.google.com/maps/search/Restaurant+%22In+the+Kitchen%22/@38.252456099999996,22.0881914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 162 reviews

Name: Habit Cafe
link: https://www.google.com/maps/search/Habit+Cafe/@38.2514125,22.0884871?authuser=0&hl=zh-TW&entry=ttu
Reviews: 124 reviews

Name: Bullseye
link: https://www.google.com/maps/search/Bullseye/@38.2514846,22.084173?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews",https://www.facebook.com/Cityzen-Espresso-Kitchen-Bar-624632251023133/,Cityzen Espresso Kitchen Bar (Ye Zhu ),https://www.google.com/maps/contrib/114159303450276983771,https://lh5.googleusercontent.com/p/AF1QipMsohUHn50nEDx6IRNai73VwQW39BZFs7NqqQZi=w663-h240-k-no,Jia Ting Can Ting ,"Jia Ting Can Ting , Ka Pei Ting , Can Ting ",4.6,09:00-01:30,Open All Days,+30 698 601 4876,"Cityzen Espresso Kitchen Bar, Zoodochou Pigis 109, Egio 251 00Xi La ","Hai , Diao Jiu , Yin Le , Ka Pei Ting , Nai You , Zao Wu Can , Jia Ge ",https://www.google.com/maps/place/Cityzen+Espresso+Kitchen+Bar/data=!4m7!3m6!1s0x135fba287dc76a95:0xc70ed4ee32f960f!8m2!3d38.2533247!4d22.0839071!16s%2Fg%2F11c1n2q9ll!19sChIJlWrHfSi6XxMRD5Yv407tcAw?authuser=0&hl=zh-TW&rclk=1
ChIJGUtZ4yK6XxMR4fmrXcWH4Yo,Nesi Cafe Bar Restaurant,,False,793,"Name: TOURIST Aegio
link: https://www.google.com/maps/search/TOURIST+Aegio/@38.2537983,22.0860885?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1484 reviews

Name: Deja-vu Cafe Bar
link: https://www.google.com/maps/search/Deja-vu+Cafe+Bar/@38.250853,22.083569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 181 reviews

Name: PURGOS CAFE BAR
link: https://www.google.com/maps/search/%CE%A0%CE%A5%CE%A1%CE%93%CE%9F%CE%A3+CAFE+BAR/@38.2513217,22.0825997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@38.2496673,22.089145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 106 reviews",https://www.facebook.com/caferestaurantnisi/,Nesi Cafe Bar Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/101289625527227579868,https://lh5.googleusercontent.com/p/AF1QipNLoOLY8QORI8SG6RiXRdDyLZvL21vxGWk-VtHc=w408-h510-k-no,Ka Pei Dian ,"Ka Pei Dian , Jiu Ba , Can Ting ",4.5,08:30-03:00,Open All Days,+30 2691 023804,"Nesi Cafe Bar Restaurant, Psaron 2, Egio 251 00Xi La ","Tian Dian , Jia Ge ",https://www.google.com/maps/place/%CE%9D%CE%B7%CF%83%CE%AF+Cafe+Bar+Restaurant/data=!4m7!3m6!1s0x135fba22e3594b19:0x8ae187c55dabf9e1!8m2!3d38.2613762!4d22.0744001!16s%2Fg%2F11cn6dzh62!19sChIJGUtZ4yK6XxMR4fmrXcWH4Yo?authuser=0&hl=zh-TW&rclk=1
ChIJa6MavIK5XxMRNQJLQegqmBo,Kotsobolos - Aigio,,False,526,"Name: Zacharakis Electronica
link: https://www.google.com/maps/search/Zacharakis+Electronica/@38.2501418,22.0903056?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: GERMANOS
link: https://www.google.com/maps/search/%CE%93%CE%95%CE%A1%CE%9C%CE%91%CE%9D%CE%9F%CE%A3/@38.250756,22.0886273?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: ELECTRONET
link: https://www.google.com/maps/search/ELECTRONET/@38.2512677,22.0877467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Spanos, G., & Co. O.E.
link: https://www.google.com/maps/search/Spanos%2C+G.%2C+%26+Co.+O.E./@38.2481265,22.089250900000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: spanos elektrika aigio
link: https://www.google.com/maps/search/%CF%83%CF%80%CE%B1%CE%BD%CE%BF%CF%83+%CE%B7%CE%BB%CE%B5%CE%BA%CF%84%CF%81%CE%B9%CE%BA%CE%B1+%CE%B1%CE%B9%CE%B3%CE%B9%CE%BF/@38.248264,22.089097?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.kotsovolos.gr/site/,Kotsobolos - Aigio (Ye Zhu ),https://www.google.com/maps/contrib/113227382826281669393,https://lh5.googleusercontent.com/p/AF1QipPYcUYKTXoG7XaaUk851QE6KAbKo0dbdkURNPyJ=w408-h305-k-no,Dian Qi Ling Shou ,Dian Qi Ling Shou ,3.9,09:00-21:00,Xing Qi Ri ,+30 21 0289 9999,"Kotsobolos - Aigio, Korinthou 52 kai Agias Kuriakes, Egio 251 00Xi La ",,https://www.google.com/maps/place/%CE%9A%CF%89%CF%84%CF%83%CF%8C%CE%B2%CE%BF%CE%BB%CE%BF%CF%82+-+%CE%91%CE%AF%CE%B3%CE%B9%CE%BF/data=!4m7!3m6!1s0x135fb982bc1aa36b:0x1a982ae8414b0235!8m2!3d38.2433318!4d22.092882!16s%2Fg%2F11b7819ln_!19sChIJa6MavIK5XxMRNQJLQegqmBo?authuser=0&hl=zh-TW&rclk=1
ChIJ0c13kqCwXxMR9A8PWgiqTuE,Anemelo Cafe,,False,436,"Name: Il Porto
link: https://www.google.com/maps/search/Il+Porto/@38.2753964,22.046896099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 277 reviews

Name: Korali Cafe
link: https://www.google.com/maps/search/%CE%9A%CE%BF%CF%81%CE%AC%CE%BB%CE%B9+Cafe/@38.2767696,22.0505074?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Almyra (Cafe - Bar - Cuisine)
link: https://www.google.com/maps/search/Almyra+%28Cafe+-+Bar+-+Cuisine%29/@38.275824199999995,22.0481102?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews",http://www.facebook.com/Anemelo,Anemelo Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117088448424700117267,https://lh5.googleusercontent.com/p/AF1QipPeHywQ2PZMmzgPRDbWphrkDkyCX2Fu2a7VAM_h=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,,Open All Days,+30 697 751 9348,"Anemelo Cafe, Par. Paralias, Egialia 251 00Xi La ","Hai , Jia Ge ",https://www.google.com/maps/place/Anemelo+Cafe/data=!4m7!3m6!1s0x135fb0a09277cdd1:0xe14eaa085a0f0ff4!8m2!3d38.2752051!4d22.0460309!16s%2Fg%2F11f3vbc6xs!19sChIJ0c13kqCwXxMR9A8PWgiqTuE?authuser=0&hl=zh-TW&rclk=1
ChIJ7VQbvc67XxMRPcF0PoCo5XM,Edyle,,False,381,"Name: TOURIST Aegio
link: https://www.google.com/maps/search/TOURIST+Aegio/@38.2537983,22.0860885?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1484 reviews

Name: Deja-vu Cafe Bar
link: https://www.google.com/maps/search/Deja-vu+Cafe+Bar/@38.250853,22.083569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 181 reviews

Name: PURGOS CAFE BAR
link: https://www.google.com/maps/search/%CE%A0%CE%A5%CE%A1%CE%93%CE%9F%CE%A3+CAFE+BAR/@38.2513217,22.0825997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews",https://www.facebook.com/%25CE%2597%25CE%25B4%25CF%258D%25CE%25BB%25CE%25B7-beach-bar-1420507218265201/,Edyle (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPovW8h7hAoQpkriwQEDScUHumIoMER5brAZcEL=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:00-02:00,Open All Days,+30 2691 028705,"Edyle, Paralia Aluke, Egio 251 00Xi La ",Sha Tan ,https://www.google.com/maps/place/%C4%92d%C3%BDl%C4%93/data=!4m7!3m6!1s0x135fbbcebd1b54ed:0x73e5a8803e74c13d!8m2!3d38.2611596!4d22.1020333!16s%2Fg%2F11gb3zckgf!19sChIJ7VQbvc67XxMRPcF0PoCo5XM?authuser=0&hl=zh-TW&rclk=1
ChIJ3RZN7IC5XxMR3-7WFTJg63o,Sklabenites,,False,339,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@38.23885,22.09478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 699 reviews

Name: Galaxias
link: https://www.google.com/maps/search/Galax%C3%ADas/@38.236782999999996,22.095684?authuser=0&hl=zh-TW&entry=ttu
Reviews: 395 reviews

Name: AB Basilopoulos
link: https://www.google.com/maps/search/%CE%91%CE%92+%CE%92%CE%B1%CF%83%CE%B9%CE%BB%CF%8C%CF%80%CE%BF%CF%85%CE%BB%CE%BF%CF%82/@38.2477087,22.089819199999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: KURIAZOPOULOS Market Trophimon
link: https://www.google.com/maps/search/%CE%9A%CE%A5%CE%A1%CE%99%CE%91%CE%96%CE%9F%CE%A0%CE%9F%CE%A5%CE%9B%CE%9F%CE%A3+Market+%CE%A4%CF%81%CE%BF%CF%86%CE%AF%CE%BC%CF%89%CE%BD/@38.2491035,22.089086899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Mini Market
link: https://www.google.com/maps/search/Mini+Market/@38.2481751,22.0825911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.sklavenitis.gr/,Sklabenites (Ye Zhu ),https://www.google.com/maps/contrib/117976857621875945098,https://lh5.googleusercontent.com/p/AF1QipOG0PvEEVWc3ANRvm-kS46A7COkxtTiDzUtbRy_=w408-h544-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.5,08:00-21:00,"Xing Qi Yi , Xing Qi Er ",+30 2691 026650,"Sklabenites, Kanellopoulou 51, Egio 251 00Xi La ",,https://www.google.com/maps/place/%CE%A3%CE%BA%CE%BB%CE%B1%CE%B2%CE%B5%CE%BD%CE%B9%CF%84%CE%B7%CF%82/data=!4m7!3m6!1s0x135fb980ec4d16dd:0x7aeb603215d6eedf!8m2!3d38.2478339!4d22.0916197!16s%2Fg%2F11ddzpdj2j!19sChIJ3RZN7IC5XxMR3-7WFTJg63o?authuser=0&hl=zh-TW&rclk=1
ChIJeTtkAii6XxMR3KKOJLotT6w,DROPS,,False,228,"Name: Kubos Spirits and Snacks
link: https://www.google.com/maps/search/%CE%9A%CF%8D%CE%B2%CE%BF%CF%82+Spirits+and+Snacks/@38.2534618,22.0849862?authuser=0&hl=zh-TW&entry=ttu
Reviews: 772 reviews

Name: Deja-vu Cafe Bar
link: https://www.google.com/maps/search/Deja-vu+Cafe+Bar/@38.250853,22.083569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 181 reviews

Name: Movida
link: https://www.google.com/maps/search/Movida/@38.250954199999995,22.0839911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: PURGOS CAFE BAR
link: https://www.google.com/maps/search/%CE%A0%CE%A5%CE%A1%CE%93%CE%9F%CE%A3+CAFE+BAR/@38.2513217,22.0825997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Mood cafe
link: https://www.google.com/maps/search/Mood+cafe/@38.25085990000001,22.083342599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",http://www.facebook.com/dropsaigio,DROPS (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN1FWXJr6_VKcGsWC4lpkEHVA8l7F5s6isrxOLv=w408-h408-k-no,Jiu Ba ,Jiu Ba ,4.5,09:00-02:00,Open All Days,+30 2691 029870,"DROPS, Mitropoleos 57, Egio 251 00Xi La ",,https://www.google.com/maps/place/DROPS/data=!4m7!3m6!1s0x135fba2802643b79:0xac4f2dba248ea2dc!8m2!3d38.2509026!4d22.0839409!16s%2Fg%2F11cnnt_1b8!19sChIJeTtkAii6XxMR3KKOJLotT6w?authuser=0&hl=zh-TW&rclk=1
ChIJj9COHSm6XxMRR4AD5CoeKnQ,PAGOTOMANIA AIGIOU LTD,,False,220,"Name: Zakharoplasteio DEMETRIOU
link: https://www.google.com/maps/search/%CE%96%CE%B1%CF%87%CE%B1%CF%81%CE%BF%CF%80%CE%BB%CE%B1%CF%83%CF%84%CE%B5%CE%AF%CE%BF+%CE%94%CE%97%CE%9C%CE%97%CE%A4%CE%A1%CE%99%CE%9F%CE%A5/@38.248812,22.087361899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 291 reviews

Name: Zakharoplasteio Fresh
link: https://www.google.com/maps/search/%CE%96%CE%B1%CF%87%CE%B1%CF%81%CE%BF%CF%80%CE%BB%CE%B1%CF%83%CF%84%CE%B5%CE%AF%CE%BF+Fresh/@38.249924,22.0806672?authuser=0&hl=zh-TW&entry=ttu
Reviews: 96 reviews

Name: Artopoieio TELIGADES
link: https://www.google.com/maps/search/%CE%91%CF%81%CF%84%CE%BF%CF%80%CE%BF%CE%B9%CE%B5%CE%AF%CE%BF+%CE%A4%CE%97%CE%9B%CE%99%CE%93%CE%91%CE%94%CE%97%CE%A3/@38.249212,22.0846153?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: GALA PROTO AIGIO
link: https://www.google.com/maps/search/%CE%93%CE%91%CE%9B%CE%91+%CE%A0%CE%A1%CE%A9%CE%A4%CE%9F+%CE%91%CE%99%CE%93%CE%99%CE%9F/@38.249823500000005,22.092121499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://ice-cream-shop-2171.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,PAGOTOMANIA AIGIOU LTD (Ye Zhu ),https://www.google.com/maps/contrib/110457549318295299181,https://lh5.googleusercontent.com/p/AF1QipNHU3F3eraChUOGSCWKHbERXGGRYl3l35aDlACR=w519-h240-k-no,Xue Gao Dian ,"Xue Gao Dian , Ka Pei Dian , Tang Guo Gao Bing Dian ",4.7,09:00-02:00,Open All Days,+30 2691 062131,"PAGOTOMANIA AIGIOU LTD, Zoodochou Pigis 83, Egio 251 00Xi La ",,https://www.google.com/maps/place/PAGOTOMANIA+AIGIOU+LTD/data=!4m7!3m6!1s0x135fba291d8ed08f:0x742a1e2ae4038047!8m2!3d38.2536379!4d22.08605!16s%2Fg%2F11bzx2pb6_!19sChIJj9COHSm6XxMRR4AD5CoeKnQ?authuser=0&hl=zh-TW&rclk=1
ChIJk1HMQIK5XxMRo7M5-5e6w0Q,Bompotsiaris Dimitrios,,False,220,"Name: Zakharoplasteio DEMETRIOU
link: https://www.google.com/maps/search/%CE%96%CE%B1%CF%87%CE%B1%CF%81%CE%BF%CF%80%CE%BB%CE%B1%CF%83%CF%84%CE%B5%CE%AF%CE%BF+%CE%94%CE%97%CE%9C%CE%97%CE%A4%CE%A1%CE%99%CE%9F%CE%A5/@38.248812,22.087361899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 291 reviews

Name: Artopoieio TELIGADES
link: https://www.google.com/maps/search/%CE%91%CF%81%CF%84%CE%BF%CF%80%CE%BF%CE%B9%CE%B5%CE%AF%CE%BF+%CE%A4%CE%97%CE%9B%CE%99%CE%93%CE%91%CE%94%CE%97%CE%A3/@38.249212,22.0846153?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: BreadBox
link: https://www.google.com/maps/search/BreadBox/@38.2510012,22.0827779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Artozakharoplasteio Mpompotsiares
link: https://www.google.com/maps/search/%CE%91%CF%81%CF%84%CE%BF%CE%B6%CE%B1%CF%87%CE%B1%CF%81%CE%BF%CF%80%CE%BB%CE%B1%CF%83%CF%84%CE%B5%CE%AF%CE%BF+%CE%9C%CF%80%CE%BF%CE%BC%CF%80%CE%BF%CF%84%CF%83%CE%B9%CE%AC%CF%81%CE%B7%CF%82/@38.2514085,22.088275199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Zakharoplasteio Karaphlos
link: https://www.google.com/maps/search/%CE%96%CE%B1%CF%87%CE%B1%CF%81%CE%BF%CF%80%CE%BB%CE%B1%CF%83%CF%84%CE%B5%CE%B9%CE%BF+%CE%9A%CE%B1%CF%81%CE%B1%CF%86%CE%BB%CE%BF%CF%82/@38.2476201,22.0812292?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",http://www.bobotsiaris.gr/,Bompotsiaris Dimitrios (Ye Zhu ),https://www.google.com/maps/contrib/107456687289184355731,https://lh5.googleusercontent.com/p/AF1QipPDLIcJXnIFm85X6wlRzSf7ABPCztGPBnNsjYwE=w426-h240-k-no,Gao Bing Dian ,Gao Bing Dian ,4.6,05:00-22:00,Open All Days,+30 2691 021143,"Bompotsiaris Dimitrios, Korinthou 60, Egio 251 00Xi La ",,https://www.google.com/maps/place/Bompotsiaris+Dimitrios/data=!4m7!3m6!1s0x135fb98240cc5193:0x44c3ba97fb39b3a3!8m2!3d38.2429188!4d22.0931174!16s%2Fg%2F11bzx22tnf!19sChIJk1HMQIK5XxMRo7M5-5e6w0Q?authuser=0&hl=zh-TW&rclk=1
ChIJqTm8Aii6XxMR2Q3LDGg4VC4,Becinto cafe,,False,218,"Name: Cafe Momento
link: https://www.google.com/maps/search/Cafe+Momento/@38.2486062,22.0808282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Habit Cafe
link: https://www.google.com/maps/search/Habit+Cafe/@38.2514125,22.0884871?authuser=0&hl=zh-TW&entry=ttu
Reviews: 124 reviews

Name: PURGOS CAFE BAR
link: https://www.google.com/maps/search/%CE%A0%CE%A5%CE%A1%CE%93%CE%9F%CE%A3+CAFE+BAR/@38.2513217,22.0825997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Mood cafe
link: https://www.google.com/maps/search/Mood+cafe/@38.25085990000001,22.083342599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Coffee & Pie
link: https://www.google.com/maps/search/Coffee+%26+Pie/@38.2510882,22.0867494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/Becinto/,Becinto cafe (Ye Zhu ),https://www.google.com/maps/contrib/106078164941211758177,https://lh5.googleusercontent.com/p/AF1QipMRHXvhR-rMYPL65sqvisDeJLehn4RWcjwlsEkb=w408-h312-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,08:00-03:00,Open All Days,,"Becinto cafe, Mitropoleos 53-69, Egio 251 00Xi La ",,https://www.google.com/maps/place/Becinto+cafe/data=!4m7!3m6!1s0x135fba2802bc39a9:0x2e5438680ccb0dd9!8m2!3d38.2509444!4d22.0839707!16s%2Fg%2F11c60kq80d!19sChIJqTm8Aii6XxMR2Q3LDGg4VC4?authuser=0&hl=zh-TW&rclk=1
