place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJMweGHdBDihIRkY7XqelsuPs,Cafe Ben Taher for travelers,,False,14,"Name: qhw@ `mr
link: https://www.google.com/maps/search/%D9%82%D9%87%D9%88%D8%A9+%D8%B9%D9%85%D8%A7%D8%B1/@34.8450517,4.1608554?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Cafe farouk
link: https://www.google.com/maps/search/Cafe+farouk/@34.849127599999996,4.1602835?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: mqh~ `mr
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B9%D9%85%D8%B1/@34.8455185,4.1651145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Ben Taher for travelers (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMm5FFFmEWZfTYyi87qhftUtw7IS8uw17W1otC_=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,,Open All Days,,"R5W6+7J9 Cafe Ben Taher for travelers, N89, Ain El Melh, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cafe+Ben+Taher+for+travelers/data=!4m7!3m6!1s0x128a43d01d860733:0xfbb86ce9a9d78e91!8m2!3d34.8456654!4d4.1616107!16s%2Fg%2F11b7q6_19m!19sChIJMweGHdBDihIRkY7XqelsuPs?authuser=0&hl=zh-TW&rclk=1
ChIJk8re9UxDihIR72piGd6VhIg,Cafe farouk,,False,3,"Name: qhw@ `mr
link: https://www.google.com/maps/search/%D9%82%D9%87%D9%88%D8%A9+%D8%B9%D9%85%D8%A7%D8%B1/@34.8450517,4.1608554?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: mqh~ `mr
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B9%D9%85%D8%B1/@34.8455185,4.1651145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe farouk (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,4.7,,Open All Days,,"R5X6+M43 Cafe farouk, N89, Ain El Melh, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cafe+farouk/data=!4m7!3m6!1s0x128a434cf5deca93:0x888495de19626aef!8m2!3d34.8491276!4d4.1602835!16s%2Fg%2F11h07fpqv4!19sChIJk8re9UxDihIR72piGd6VhIg?authuser=0&hl=zh-TW&rclk=1
ChIJTfFuXChDihIRnY_0dVvEJ3c,qhw@ `mr,,False,3,"Name: mqh~ `mr
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B9%D9%85%D8%B1/@34.8455185,4.1651145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,qhw@ `mr (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,4.7,,Open All Days,,"R5W6+28H qhw@ `mr, Ain El Melh, A Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%82%D9%87%D9%88%D8%A9+%D8%B9%D9%85%D8%A7%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x128a43285c6ef14d:0x7727c45b75f48f9d!8m2!3d34.8450517!4d4.1608554!16s%2Fg%2F11hdp2px28!19sChIJTfFuXChDihIRnY_0dVvEJ3c?authuser=0&hl=zh-TW&rclk=1
ChIJEWhg3NpDihIR6-vdYh-t4SI,Cyber Jrah Dz,,False,3,"Name: tj mt`dd lkhdmt
link: https://www.google.com/maps/search/%D8%AA%D8%A7%D8%AC+%D9%85%D8%AA%D8%B9%D8%AF%D8%AF+%D8%A7%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA/@35.0356534,4.5714999999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: mqh~ ntrnt bshyry
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA+%D8%A8%D8%B4%D9%8A%D8%B1%D9%8A/@34.849123899999995,4.1600212999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: 'stwdyw lhdy@ llkhdmt lfny@
link: https://www.google.com/maps/search/%D8%A3%D8%B3%D8%AA%D9%88%D8%AF%D9%8A%D9%88+%D8%A7%D9%84%D9%87%D8%AF%D9%8A%D8%A9+%D9%84%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA+%D8%A7%D9%84%D9%81%D9%86%D9%8A%D8%A9/@35.040111599999996,4.5613760999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cyber Jrah Dz (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMPIpLPOvFJvgNvK5BrqZfMBVCpbnQBZYxkVoQf=w426-h240-k-no,Wang Ba ,Wang Ba ,5,,Open All Days,+213 664 39 76 96,"R5X6+H59 Cyber Jrah Dz, N89, Ain El Melh, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cyber+Jrah+Dz/data=!4m7!3m6!1s0x128a43dadc606811:0x22e1ad1f62ddebeb!8m2!3d34.848901!4d4.1604855!16s%2Fg%2F11c1q9kp0z!19sChIJEWhg3NpDihIR6-vdYh-t4SI?authuser=0&hl=zh-TW&rclk=1
ChIJEUyOeIBDihIRRvtTws9IQtw,mqh~ lHdyq@ `yn lmlH,,False,3,"Name: Hdyq@ jardin
link: https://www.google.com/maps/search/%D8%AD%D8%AF%D9%8A%D9%82%D8%A9+jardin/@34.849900999999996,4.1575467999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: mqh~ `mr
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B9%D9%85%D8%B1/@34.8455185,4.1651145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,mqh~ lHdyq@ `yn lmlH (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO-eU3Fivs9a5GzYNWoGvwbvIXhlewM-LMNwK-x=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3,,Open All Days,,"R5W6+GM2 mqh~ lHdyq@ `yn lmlH, N89, Ain El MelhA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D9%82%D8%A9+%D8%B9%D9%8A%D9%86+%D8%A7%D9%84%D9%85%D9%84%D8%AD%E2%80%AD/data=!4m7!3m6!1s0x128a4380788e4c11:0xdc4248cfc253fb46!8m2!3d34.8462557!4d4.1616419!16s%2Fg%2F11h3m7_kp7!19sChIJEUyOeIBDihIRRvtTws9IQtw?authuser=0&hl=zh-TW&rclk=1
ChIJuSCuhz5DihIR7yAsscemFN0,mqhy bwkHyl,,False,2,"Name: mqh~ `mr
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B9%D9%85%D8%B1/@34.8455185,4.1651145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,mqhy bwkHyl (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,3.5,,Open All Days,,"R5V8+R4X mqhy bwkHyl, Ain El MelhA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%8A+%D8%A8%D9%88%D9%83%D8%AD%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x128a433e87ae20b9:0xdd14a6c7b12c20ef!8m2!3d34.8446149!4d4.1653512!16s%2Fg%2F11gvr_7h5n!19sChIJuSCuhz5DihIR7yAsscemFN0?authuser=0&hl=zh-TW&rclk=1
ChIJoZk1yZpDihIR7KcY1tP0E7w,shy bynk | mHl lby` lshy b`d@ nkht w lmksrt | Tea Benk,,False,1,"Name: Dedenaa Kingdom health natural blends oils and creams Algamal.oashab
link: https://www.google.com/maps/search/Dedenaa+Kingdom+health+natural+blends+oils+and+creams+Algamal.oashab/@34.8481887,4.1591765?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: shy wmksrt
link: https://www.google.com/maps/search/%D8%B4%D8%A7%D9%8A+%D9%88%D9%85%D9%83%D8%B3%D8%B1%D8%A7%D8%AA/@34.8467202,4.1618039?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,shy bynk | mHl lby` lshy b`d@ nkht w lmksrt | Tea Benk (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPGc3bJ_lswxMj4h8bO5sqSrRsMwB4utzLOuMxN=w408-h389-k-no,Cha Yi Guan ,Cha Yi Guan ,5,,Open All Days,+213 664 92 11 67,"V524+4XC shy bynk | mHl lby` lshy b`d@ nkht w lmksrt | Tea Benk, Unnamed Road,, `yn lmlH,A Er Ji Li Ya ",,https://www.google.com/maps/place/%D8%B4%D8%A7%D9%8A+%D8%A8%D9%8A%D9%86%D9%83+%7C+%D9%85%D8%AD%D9%84+%D9%84%D8%A8%D9%8A%D8%B9+%D8%A7%D9%84%D8%B4%D8%A7%D9%8A+%D8%A8%D8%B9%D8%AF%D8%A9+%D9%86%D9%83%D9%87%D8%A7%D8%AA+%D9%88+%D8%A7%D9%84%D9%85%D9%83%D8%B3%D8%B1%D8%A7%D8%AA+%7C+Tea+Benk%E2%80%AD/data=!4m7!3m6!1s0x128a439ac93599a1:0xbc13f4d3d618a7ec!8m2!3d34.8503233!4d4.1574011!16s%2Fg%2F11k2b4xn1b!19sChIJoZk1yZpDihIR7KcY1tP0E7w?authuser=0&hl=zh-TW&rclk=1
ChIJu-CrMSlDihIR7FkJMVyWrP0,mqh~ ntrnt bshyry,,False,,"Name: Cyber Jrah Dz
link: https://www.google.com/maps/search/Cyber+Jrah+Dz/@34.848901,4.1604855?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: mqhy ntrnt bn `mr
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%8A+%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%A7%D8%AA+%D8%A8%D9%86+%D8%A7%D8%B9%D9%85%D8%B1/@34.9919125,4.0931719?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: sbr ntrnt (mqh~ ntrnt)
link: https://www.google.com/maps/search/%D8%B3%D8%A8%D8%A7%D8%B1+%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA+%28%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA%29/@34.7107133,3.767692?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,mqh~ ntrnt bshyry (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPaHSAy5q786HPhXsdIT-xYD0Af7qFORxzQZzyb=w408-h408-k-no,Wang Ba ,Wang Ba ,,08:00-23:30,Open All Days,+213 662 30 67 08,"R5X6+J2R mqh~ ntrnt bshyry, N89, Ain El MelhA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA+%D8%A8%D8%B4%D9%8A%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x128a432931abe0bb:0xfdac965c310959ec!8m2!3d34.8491239!4d4.1600213!16s%2Fg%2F11h5pxjrr5!19sChIJu-CrMSlDihIR7FkJMVyWrP0?authuser=0&hl=zh-TW&rclk=1
ChIJrYzvMBZDihIRUi9bsrOrAUU,mqh~ `mr,,False,,"Name: qhw@ `mr
link: https://www.google.com/maps/search/%D9%82%D9%87%D9%88%D8%A9+%D8%B9%D9%85%D8%A7%D8%B1/@34.8450517,4.1608554?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,mqh~ `mr (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,,04:00-20:02,Open All Days,,"R5W8+625 mqh~ `mr, Ain El MelhA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%B9%D9%85%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x128a431630ef8cad:0x4501abb3b25b2f52!8m2!3d34.8455185!4d4.1651145!16s%2Fg%2F11snwgzlsg!19sChIJrYzvMBZDihIRUi9bsrOrAUU?authuser=0&hl=zh-TW&rclk=1
ChIJ_9llg0BDihIR68XZXtGG7ZE,mqh~ lshhyd zyny s`yd,,False,,,,mqh~ lshhyd zyny s`yd (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,,,Open All Days,,"V52C+95F mqh~ lshhyd zyny s`yd, shr` wl nwfmbr, Ain El MelhA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%B4%D9%87%D9%8A%D8%AF+%D8%B2%D9%8A%D8%A7%D9%86%D9%8A+%D8%B3%D8%B9%D9%8A%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x128a43408365d9ff:0x91ed86d15ed9c5eb!8m2!3d34.8509479!4d4.1704143!16s%2Fg%2F11l1ndr60j!19sChIJ_9llg0BDihIR68XZXtGG7ZE?authuser=0&hl=zh-TW&rclk=1
