place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJP8-Nn08BBDQRNoMCpzVTO6w,Xiao Huo Yan Han Shi Ka Pei Can Ting ,,False,521,"Name: Alfafa
link: https://www.google.com/maps/search/Alfafa/@22.338217399999998,114.1869023?authuser=0&hl=zh-TW&entry=ttu
Reviews: 551 reviews

Name: Han Tai Zhan 
link: https://www.google.com/maps/search/%E9%9F%93%E5%8F%B0%E7%AB%99/@22.453467099999997,114.17481319999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Man Wu Chu Fang 
link: https://www.google.com/maps/search/%E6%BB%BF%E5%B1%8B%E5%BB%9A%E6%88%BF/@22.3382401,114.18726889999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Han Shi 
link: https://www.google.com/maps/search/%E9%9F%93%E9%A3%9F/@22.335393,114.1878924?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://aidan.oddle.me/,Xiao Huo Yan Han Shi Ka Pei Can Ting  (Ye Zhu ),https://www.google.com/maps/contrib/105226513094103208355,https://lh5.googleusercontent.com/p/AF1QipMeB_PJ1TExyTVOWHChLeEIPa6KCLx66ZVoD6bM=w408-h306-k-no,Han Guo Can Ting ,"Han Guo Can Ting , Ka Pei Ting , Tian Pin Can Ting , Chun Su Can Ting ",3.9,11:30-22:00,Open All Days,3618 8203,"1Lou 1171-1179Hao Pu , Xiao Huo Yan Han Shi Ka Pei Can Ting Le Fu Guang Chang  AQu 198Hao  Junction Rd, Lo Fu Ngam","Nian Gao , Yan , Zi Cai , Zhi Su , Xian , Xue Hua Bing , Qi Si Jiang , Ru Suan , Jia , Rong Yan ",https://www.google.com/maps/place/%E5%B0%8F%E7%81%AB%E7%84%B0%E9%9F%93%E5%BC%8F%E5%92%96%E5%95%A1%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3404014f9f8dcf3f:0xac3b5335a7028336!8m2!3d22.3382401!4d114.1872689!16s%2Fg%2F11c40kg_2b!19sChIJP8-Nn08BBDQRNoMCpzVTO6w?authuser=0&hl=zh-TW&rclk=1
ChIJicXbDw73AzQRGYvZDzSyF24,CoHee Studio,,False,403,"Name: Mf Cafe
link: https://www.google.com/maps/search/Mf+Cafe/@22.4372884,114.06327019999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Da Fan Tang  Sweet Cafe
link: https://www.google.com/maps/search/%E5%A4%A7%E9%A3%AF%E7%B3%96+Sweet+Cafe/@22.4426824,114.05556689999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: CoHee (Fanling)
link: https://www.google.com/maps/search/CoHee+%28Fanling%29/@22.4951418,114.13985339999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews

Name: Kachimushi Kam Tin
link: https://www.google.com/maps/search/Kachimushi+Kam+Tin/@22.4395967,114.0668494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews",http://www.coheehk.com/,CoHee Studio (Ye Zhu ),https://www.google.com/maps/contrib/104022653748409257364,https://lh5.googleusercontent.com/p/AF1QipN0IL0VsReZdb6qRB536AXCwZW406itHGgdm0x3=w408-h318-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.4,09:00-18:00,Open All Days,9449 7310,"CoHee Studio, 152 Kam Tin Shi St, Kam Tin","Shu Shi , bagel, flat white, Ji Lian Zhi Shi , Chao Dan , Zhi Shi Dan Gao , Niu You Guo , Xiang Wei ",https://www.google.com/maps/place/CoHee+Studio/data=!4m7!3m6!1s0x3403f70e0fdbc589:0x6e17b2340fd98b19!8m2!3d22.4404745!4d114.0612807!16s%2Fg%2F11ghyw6wc2!19sChIJicXbDw73AzQRGYvZDzSyF24?authuser=0&hl=zh-TW&rclk=1
ChIJ-bJTRgkBBDQRBoDzrY0Ocm0,Between,,False,173,"Name: Ban Lu Ka Pei 
link: https://www.google.com/maps/search/%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1/@22.284756299999998,114.14971609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 682 reviews

Name: The Chinese Library
link: https://www.google.com/maps/search/The+Chinese+Library/@22.2817737,114.1541034?authuser=0&hl=zh-TW&entry=ttu
Reviews: 280 reviews

Name: Cafe Claudel
link: https://www.google.com/maps/search/Caf%C3%A9+Claudel/@22.281761499999998,114.1539037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews",https://between.life/,Between (Ye Zhu ),https://www.google.com/maps/contrib/108419950176386515789,https://lh5.googleusercontent.com/p/AF1QipODaknMcy6dSzeLCbu-tCcnloSf7RB79_YrOExd=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",3.9,11:00-20:00,Xing Qi Yi ,2877 8711,"Between, 2/F, JC Contemporary, Tai Kwun, 10 Hollywood Rd, Central","Ye Zi , Ta , cream cheese, Dan Huang Jiang , Yi Da Li Mian , Shi Duo Pi Li , Ri Ben Liao Li , Qi Wei Fen , Ji Lie ",https://www.google.com/maps/place/Between/data=!4m7!3m6!1s0x340401094653b2f9:0x6d720e8dadf38006!8m2!3d22.2810872!4d114.1536148!16s%2Fg%2F11qmmxff0w!19sChIJ-bJTRgkBBDQRBoDzrY0Ocm0?authuser=0&hl=zh-TW&rclk=1
ChIJrYGZeFoBBDQRAk18JXb_0EM,Cafe Claudel,,False,168,"Name: Madame Fu-Grand Cafe Chinois
link: https://www.google.com/maps/search/Madame+Fu-Grand+Cafe+Chinois/@22.281415,114.15386470000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 377 reviews

Name: The Chinese Library
link: https://www.google.com/maps/search/The+Chinese+Library/@22.2817737,114.1541034?authuser=0&hl=zh-TW&entry=ttu
Reviews: 280 reviews

Name: Le Cha Xuan  (Zhong Huan )
link: https://www.google.com/maps/search/%E6%A8%82%E8%8C%B6%E8%BB%92+%28%E4%B8%AD%E7%92%B0%29/@22.281719600000002,114.1543571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 197 reviews

Name: Dong Jie Ka Pei 
link: https://www.google.com/maps/search/%E6%9D%B1%E8%A1%97%E5%92%96%E5%95%A1/@22.2847249,114.14912960000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Magistracy Dining Room
link: https://www.google.com/maps/search/Magistracy+Dining+Room/@22.2812107,114.1545046?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews",https://www.pastis.hk/cafe-claudel,Cafe Claudel (Ye Zhu ),https://www.google.com/maps/contrib/104362467543147016159,https://lh5.googleusercontent.com/p/AF1QipPsE3dNaDNoDoabH4xNU6yndWhyZMU1QMG_OsAn=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,09:00-00:00,Open All Days,4447 2285,"Cafe Claudel, Shop 01-G08, Tai Kwun Central","Huan Jing , brunch, Zuo , Jia Ge , Xiao Guan , Fa Shi , Sha Lu , Hong Jiu , happy hour, Xia Wu ",https://www.google.com/maps/place/Caf%C3%A9+Claudel/data=!4m7!3m6!1s0x3404015a789981ad:0x43d0ff76257c4d02!8m2!3d22.2817615!4d114.1539037!16s%2Fg%2F11ghr9_29m!19sChIJrYGZeFoBBDQRAk18JXb_0EM?authuser=0&hl=zh-TW&rclk=1
ChIJRTlC3BX7AzQR2z6Nk6KCQgU,Bai Yang Ka Pei ,,False,159,"Name: Le Pei Plus
link: https://www.google.com/maps/search/%E6%A8%82%E5%95%A1Plus/@22.399240199999998,113.9776574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 171 reviews

Name: The Alchemist Cafe (Tuen Mun)
link: https://www.google.com/maps/search/The+Alchemist+Cafe+%28Tuen+Mun%29/@22.3928095,113.97806039999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews

Name: Lorway Coffee & Bakery
link: https://www.google.com/maps/search/Lorway+Coffee+%26+Bakery/@22.381296199999998,113.971954?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Qing Yang Te Se Cha Zuo 
link: https://www.google.com/maps/search/%E9%9D%92%E6%A5%8A%E7%89%B9%E8%89%B2%E8%8C%B6%E5%BA%A7/@22.399209199999998,113.97014519999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.whitegoatscoffee.com/,Bai Yang Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/118339523124195482403,https://lh5.googleusercontent.com/p/AF1QipPAZr_280VFx7E-xeOGcSOjYio-n8tbyuOkpAMO=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,07:15-19:00,Open All Days,5405 8815,"Di Pu , Bai Yang Ka Pei  Zhi Le , Hua Le Da Sha 104Hao  Tsing Ho Square, Tuen Mun","Jia Qian , Dou , latte, San Wen Zhi , Bei , Zuo Wei , Song Bing , Kao , Xiang , Tian ",https://www.google.com/maps/place/%E7%99%BD%E7%BE%8A%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3403fb15dc423945:0x54282a2938d3edb!8m2!3d22.3886491!4d113.9792878!16s%2Fg%2F11c45452vp!19sChIJRTlC3BX7AzQR2z6Nk6KCQgU?authuser=0&hl=zh-TW&rclk=1
ChIJLYG88SEBBDQRK9W7mH16gus,Cofflow Shun Liu Jing Pin Ka Pei ,,False,118,"Name: PHVLO HATCH
link: https://www.google.com/maps/search/PHVLO+HATCH/@22.3279498,114.1645569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 177 reviews

Name: DOZY
link: https://www.google.com/maps/search/DOZY/@22.327826599999998,114.1630916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: BOLD Coffee
link: https://www.google.com/maps/search/BOLD+Coffee/@22.3270476,114.1644456?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Flow
link: https://www.google.com/maps/search/Flow/@22.3273652,114.1628777?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",https://www.cofflow.com/,Cofflow Shun Liu Jing Pin Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/105584754717186269603,https://lh5.googleusercontent.com/p/AF1QipPYZ-_4Aj5TD_V02DDbRJULpzn09Pe4w5LciR2O=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,10:00-18:00,Open All Days,,Shen Shui Bu Huang Zhu Jie 2cHao Cofflow Shun Liu Jing Pin Ka Pei ,"Bei Guo , Niu You Guo , Chao Dan , Huai Jiu , Sheng Tong , Yun Ni Na Xue Gao , Tie , Niu Ba , Bei Cha ",https://www.google.com/maps/place/Cofflow+%E9%A0%86%E6%B5%81%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x34040121f1bc812d:0xeb827a7d98bbd52b!8m2!3d22.3268363!4d114.1639344!16s%2Fg%2F11mhgq_n5x!19sChIJLYG88SEBBDQRK9W7mH16gus?authuser=0&hl=zh-TW&rclk=1
ChIJS4nXuZn4AzQR9URsu1H0j5c,Loving Nature Fortunate Coffee,,False,117,"Name: Simplylife
link: https://www.google.com/maps/search/Simplylife/@22.3571389,114.12736389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 589 reviews

Name: Mu Yang Shao Nian Ka Pei Guan  (Kui Fang )
link: https://www.google.com/maps/search/%E7%89%A7%E7%BE%8A%E5%B0%91%E5%B9%B4%E5%92%96%E5%95%A1%E9%A4%A8+%28%E8%91%B5%E8%8A%B3%29/@22.356899,114.12619199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 443 reviews

Name: Relax Coffee
link: https://www.google.com/maps/search/Relax+Coffee/@22.3624549,114.1322952?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Jia Jia Le Su Shi Kuai Can Dian 
link: https://www.google.com/maps/search/%E5%AE%B6%E5%AE%B6%E6%A8%82%E7%B4%A0%E9%A3%9F%E5%BF%AB%E9%A4%90%E5%BA%97/@22.370779199999998,114.13789129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",http://www.facebook.com/lovingnaturehk,Loving Nature Fortunate Coffee (Ye Zhu ),https://www.google.com/maps/contrib/108786132292054886262,https://lh5.googleusercontent.com/p/AF1QipMx_T1F5mDP9S1d7RhqEYDQBKo4zqrDxV90CvQ-=w408-h544-k-no,Vegetarian cafe and deli,Vegetarian cafe and deli,4.3,10:30-17:30,Xing Qi Ri ,3628 3884,"Kui Yong Kui Rong Lu 30Hao 1Lou 107Hao Pu  Edge, Loving Nature Fortunate Coffee","Shu Fu , atmosphere, Shou Si , Cai , Mian Ji , Han Bao , Tian Bei , Dou Nai , Niu You Guo , Xing Fu ",https://www.google.com/maps/place/Loving+Nature+Fortunate+Coffee/data=!4m7!3m6!1s0x3403f899b9d7894b:0x978ff451bb6c44f5!8m2!3d22.3667951!4d114.1346441!16s%2Fg%2F11cm18qpcl!19sChIJS4nXuZn4AzQR9URsu1H0j5c?authuser=0&hl=zh-TW&rclk=1
ChIJawd_8DQBBDQRpbfnVnT_178,% Arabica (K11 MUSEA),,False,83,"Name: % Arabica (Star Ferry)
link: https://www.google.com/maps/search/%25+Arabica+%28Star+Ferry%29/@22.293812799999998,114.1682218?authuser=0&hl=zh-TW&entry=ttu
Reviews: 468 reviews

Name: Curator
link: https://www.google.com/maps/search/Curator/@22.2943882,114.17450079999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 235 reviews

Name: The Coffee Academics (K11 MUSEA)
link: https://www.google.com/maps/search/The+Coffee+Academ%C3%AFcs+%28K11+MUSEA%29/@22.2940996,114.1741299?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: % Arabica (K11 ATELIER)
link: https://www.google.com/maps/search/%25+Arabica+%28K11+ATELIER%29/@22.2911701,114.2074356?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Omotesando Koffee (K11 MUSEA)
link: https://www.google.com/maps/search/Omotesando+Koffee+%28K11+MUSEA%29/@22.2943714,114.1746878?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews",http://www.arabica.hk/,% Arabica (K11 MUSEA) (Ye Zhu ),https://www.google.com/maps/contrib/106984220614807328517,https://lh5.googleusercontent.com/p/AF1QipMyarrg_ekiQpPVudqozCHtShFBcSjoHu6XXqUX=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,10:00-19:00,Open All Days,2253 0238,"% Arabica (K11 MUSEA) HK Jiu Long  Jian Sha Ju  Shop No.06, Level 0, K11 Musea Victoria Dockside, 18 Salisbury Rd, Tsim Sha Tsui","Bei , matcha, Lian Nai , Jia Ge , Gou Wu Zhong Xin , La Hua , Gan Jue , Tou , She Ji ",https://www.google.com/maps/place/%25+Arabica+%28K11+MUSEA%29/data=!4m7!3m6!1s0x34040134f07f076b:0xbfd7ff7456e7b7a5!8m2!3d22.2939395!4d114.1751014!16s%2Fg%2F11fprg_qpb!19sChIJawd_8DQBBDQRpbfnVnT_178?authuser=0&hl=zh-TW&rclk=1
ChIJQS2PCJsBBDQRoxouli_O8Z8,Colour Brown x GO.ON Space,,False,69,"Name: Colour Brown Coffee
link: https://www.google.com/maps/search/Colour+Brown+Coffee/@22.3033789,114.1688508?authuser=0&hl=zh-TW&entry=ttu
Reviews: 450 reviews

Name: Dog99 Coffee
link: https://www.google.com/maps/search/Dog99+Coffee/@22.3293236,114.1659097?authuser=0&hl=zh-TW&entry=ttu
Reviews: 346 reviews

Name: PHVLO HATCH
link: https://www.google.com/maps/search/PHVLO+HATCH/@22.3279498,114.1645569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 177 reviews

Name: Cofflow Shun Liu Jing Pin Ka Pei 
link: https://www.google.com/maps/search/Cofflow+%E9%A0%86%E6%B5%81%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1/@22.3268363,114.16393439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: KOKONI
link: https://www.google.com/maps/search/KOKONI/@22.327672,114.163713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews",https://www.instagram.com/colourbrown_ssp/,Colour Brown x GO.ON Space (Ye Zhu ),https://www.google.com/maps/contrib/101326635002944927357,https://lh5.googleusercontent.com/p/AF1QipPx6q34o3_6W23u5poG_iqW1x9nqjMHkGadnKan=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,10:00-19:00,Open All Days,2791 7128,Shen Shui Bu Huang Zhu Jie 13Hao Colour Brown x GO.ON SpaceDi Xia Ji Yi Lou ,"Lou Ti , atmosphere, Zhao Pian , Bei , Nai ",https://www.google.com/maps/place/Colour+Brown+x+GO.ON+Space/data=!4m7!3m6!1s0x3404019b088f2d41:0x9ff1ce2f962e1aa3!8m2!3d22.3279766!4d114.164572!16s%2Fg%2F11qpl0p8nz!19sChIJQS2PCJsBBDQRoxouli_O8Z8?authuser=0&hl=zh-TW&rclk=1
ChIJjwV9D64BBDQRbpbfl_pabyM,% Arabica (K11 ATELIER),,False,47,"Name: % Arabica (Star Ferry)
link: https://www.google.com/maps/search/%25+Arabica+%28Star+Ferry%29/@22.293812799999998,114.1682218?authuser=0&hl=zh-TW&entry=ttu
Reviews: 468 reviews

Name: % Arabica (IFC)
link: https://www.google.com/maps/search/%25+Arabica+%28IFC%29/@22.2862513,114.157693?authuser=0&hl=zh-TW&entry=ttu
Reviews: 462 reviews

Name: % Arabica (Monster Mansion)
link: https://www.google.com/maps/search/%25+Arabica+%28Monster+Mansion%29/@22.2839515,114.21255389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: % Arabica (K11 MUSEA)
link: https://www.google.com/maps/search/%25+Arabica+%28K11+MUSEA%29/@22.2939395,114.17510139999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 83 reviews

Name: % Arabica (Admiralty)
link: https://www.google.com/maps/search/%25+Arabica+%28Admiralty%29/@22.2785877,114.16095380000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://arabica.hk/locations/hong-kong-k11-atelier-kings-road,% Arabica (K11 ATELIER) (Ye Zhu ),https://www.google.com/maps/contrib/106460154229893771582,https://lh5.googleusercontent.com/p/AF1QipNfvWFxBDzrf-cTX--RnzkyBfAi5c420Jy2wDrc=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,3.9,08:00-19:00,Open All Days,2131 8836,"Shop G01, % Arabica (K11 ATELIER), Atelier K11, 728 King's Rd, Quarry Bay",latte,https://www.google.com/maps/place/%25+Arabica+%28K11+ATELIER%29/data=!4m7!3m6!1s0x340401ae0f7d058f:0x236f5afa97df966e!8m2!3d22.2911701!4d114.2074356!16s%2Fg%2F11k924f9h4!19sChIJjwV9D64BBDQRbpbfl_pabyM?authuser=0&hl=zh-TW&rclk=1
