place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJjRD240e8FgcRNRT7qv-cVvk,Panificacao Central,,False,1092,"Name: Kidoce Padaria
link: https://www.google.com/maps/search/Kidoce+Padaria/@-12.1366368,-38.421692199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 918 reviews

Name: Panificacao&Lanchonete Super Pao
link: https://www.google.com/maps/search/Panifica%C3%A7%C3%A3o%26Lanchonete+Super+P%C3%A3o/@-12.1272393,-38.4189869?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Panificacao Santo Antonio
link: https://www.google.com/maps/search/Panifica%C3%A7%C3%A3o+Santo+Ant%C3%B4nio/@-12.1309599,-38.419891899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: PANET
link: https://www.google.com/maps/search/PANET/@-12.139291499999999,-38.430040999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Panificacao Conceicao
link: https://www.google.com/maps/search/Panifica%C3%A7%C3%A3o+Concei%C3%A7%C3%A3o/@-12.1350394,-38.4219113?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",https://m.facebook.com/pages/category/Wholesale-Bakery/Panifica%25C3%25A7%25C3%25A3o-Central-536493040113205/,Panificacao Central (Ye Zhu ),https://www.google.com/maps/contrib/114072290118230231692,https://lh5.googleusercontent.com/p/AF1QipPTfy9o_CMxe40bEohFn3L-QG1t8iYp9LVSM1ye=w408-h240-k-no-pi-0-ya200-ro0-fo100,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Zao Can Can Ting ",4.5,06:00-20:00,Xing Qi Ri ,+55 75 98821-1420,"Panificacao Central - R. Visc. de Sao Lourenco, 94 - Centro, Alagoinhas - BA, 48010-100Ba Xi ","Chan Pin , Jia Ge , Huan Jing , Can , Ka Pei , Tang , Ke Ren , Xiao Chi Dian ",https://www.google.com/maps/place/Panifica%C3%A7%C3%A3o+Central/data=!4m7!3m6!1s0x716bc47e3f6108d:0xf9569cffaafb1435!8m2!3d-12.1355205!4d-38.422879!16s%2Fg%2F1pwfbgmkb!19sChIJjRD240e8FgcRNRT7qv-cVvk?authuser=0&hl=zh-TW&rclk=1
ChIJua-nGki8FgcRMuAQ2lJXLz0,Kidoce Padaria,,False,918,"Name: Panificacao Central
link: https://www.google.com/maps/search/Panifica%C3%A7%C3%A3o+Central/@-12.1355205,-38.42287900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1092 reviews

Name: Mari Bolos
link: https://www.google.com/maps/search/Mari+Bolos/@-12.134604999999999,-38.4176966?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Pierrott Doceria e Cafeteria
link: https://www.google.com/maps/search/Pierrott+Doceria+e+Cafeteria/@-12.1380229,-38.415482499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Padaria E Delicatesse Quero Mais
link: https://www.google.com/maps/search/Padaria+E+Delicatesse+Quero+Mais/@-12.140249299999999,-38.4249954?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://kidocepadaria.com/,Kidoce Padaria (Ye Zhu ),https://www.google.com/maps/contrib/114849284182229537590,https://lh5.googleusercontent.com/p/AF1QipN13FcXSLtvrEZ-e9k4GTLb3tPrTvJg5ofLsaaV=w426-h240-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting ",4.5,08:00-21:00,Xing Qi Ri ,+55 75 3422-2123,"Kidoce Padaria - R. Rodrigues Lima, 132 - Centro, Alagoinhas - BA, 48010-040Ba Xi ","Chan Pin , Ka Pei , Pai , Jia Ge , Shou Shi , Qing Shi , Huan Jing ",https://www.google.com/maps/place/Kidoce+Padaria/data=!4m7!3m6!1s0x716bc481aa7afb9:0x3d2f5752da10e032!8m2!3d-12.1366368!4d-38.4216922!16s%2Fg%2F11bzs3c617!19sChIJua-nGki8FgcRMuAQ2lJXLz0?authuser=0&hl=zh-TW&rclk=1
ChIJ7QfnRze8FgcRLcd1g-V996E,Casa da Manteiga,,False,750,"Name: Casa da Mukeca
link: https://www.google.com/maps/search/Casa+da+Mukeca/@-12.1394577,-38.4109305?authuser=0&hl=zh-TW&entry=ttu
Reviews: 215 reviews

Name: Casa de Vo Restaurante
link: https://www.google.com/maps/search/Casa+de+V%C3%B3+Restaurante/@-12.134782300000001,-38.4033531?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: Lanchonete e Restaurante Sergipano
link: https://www.google.com/maps/search/Lanchonete+e+Restaurante+Sergipano/@-12.1348069,-38.4218436?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Lanchonete Dantas
link: https://www.google.com/maps/search/Lanchonete+Dantas/@-12.1397705,-38.4249157?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: O Geladao Lanches
link: https://www.google.com/maps/search/O+Gelad%C3%A3o+Lanches/@-12.1375677,-38.423632999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://contate.me/casadamanteiga,Casa da Manteiga (Ye Zhu ),https://www.google.com/maps/contrib/108358339554329367371,https://lh5.googleusercontent.com/p/AF1QipMH1ug6HN4r0XtxlA9Fc4l787tQnWvvW2Z4nYAH=w408-h306-k-no,Xiao Shi /Ling Shi Ba ,"Xiao Shi /Ling Shi Ba , A Ga La Ji Can Ting , Zao Wu Can Can Ting , Ka Pei Dian , Zheng Liu Ka Pei Ba , Guo Zhi Dian , Wu Can Can Ting , Tian Ran Shi Pin Dian , Can Ting , San Wen Zhi Dian ",4.4,06:00-21:00,Xing Qi Ri ,+55 75 99951-4050,"Casa da Manteiga - R. Dr. Dantas Biao, 6 - Alagoinhas Velha, Alagoinhas - BA, 48030-030Ba Xi ","Jia Ge , Wu Can , Ka Pei , Zhu Can , Guo Zhi , Tang , Dan Gao ",https://www.google.com/maps/place/Casa+da+Manteiga/data=!4m7!3m6!1s0x716bc3747e707ed:0xa1f77de58375c72d!8m2!3d-12.1376196!4d-38.4169511!16s%2Fg%2F11bzt6s4_z!19sChIJ7QfnRze8FgcRLcd1g-V996E?authuser=0&hl=zh-TW&rclk=1
ChIJmXUTXM-9FgcR9b8RFpfzLQo,Atacadao,,False,684,"Name: Atakarejo - Alagoinhas
link: https://www.google.com/maps/search/Atakarejo+-+Alagoinhas/@-12.1218559,-38.399212399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 312 reviews

Name: Atacadao O Bom Preco
link: https://www.google.com/maps/search/Atacad%C3%A3o+O+Bom+Pre%C3%A7o/@-12.1400297,-38.4262879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Atacado Alagoinhas
link: https://www.google.com/maps/search/Atacado+Alagoinhas/@-12.1417473,-38.42736430000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: ATACADAO DA CENTRAL
link: https://www.google.com/maps/search/ATACAD%C3%83O+DA+CENTRAL/@-12.1397415,-38.4278872?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Atacadao das Carnes Itamira
link: https://www.google.com/maps/search/Atacad%C3%A3o+das+Carnes+Itamira/@-12.1400215,-38.4255566?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.atacadao.com.br/,Atacadao (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPDfI8pA_C5PUN21Cpictct6PkXIUnu6O9w7aw=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.3,07:00-21:00,Open All Days,+55 800 722 0422,"Atacadao - Av. Gov. Landulfo Alves - Alagoinhas, BA, Ba Xi ","Jia Ge , Zu Zhi , Ting Che , Xin Yong Qia , Zhi Fu , Huan Jing , Pin Pai , Tui Guang , Ke Ren ",https://www.google.com/maps/place/Atacad%C3%A3o/data=!4m7!3m6!1s0x716bdcf5c137599:0xa2df3971611bff5!8m2!3d-12.1646787!4d-38.4122714!16s%2Fg%2F11h11dcmz9!19sChIJmXUTXM-9FgcR9b8RFpfzLQo?authuser=0&hl=zh-TW&rclk=1
ChIJR1N26De8FgcRDSU1tvzisRU,Bob's Shakes,,False,240,"Name: Raffa's Burguer
link: https://www.google.com/maps/search/Raffa%27s+Burguer/@-12.147184300000001,-38.4155569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 687 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@-12.137814299999999,-38.4206308?authuser=0&hl=zh-TW&entry=ttu
Reviews: 648 reviews

Name: Restaurante Bob's - Drive Thru - Praca Conselheiro Ruy Barbosa
link: https://www.google.com/maps/search/Restaurante+Bob%27s+-+Drive+Thru+-+Pra%C3%A7a+Conselheiro+Ruy+Barbosa/@-12.1372693,-38.4212284?authuser=0&hl=zh-TW&entry=ttu
Reviews: 520 reviews

Name: MR. SHAKE ALAGOINHAS
link: https://www.google.com/maps/search/MR.+SHAKE+ALAGOINHAS/@-12.1376534,-38.424228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 387 reviews

Name: BUFFALO BURGER BEER
link: https://www.google.com/maps/search/BUFFALO+BURGER+BEER/@-12.1376592,-38.418085999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews",https://www.bobs.com.br/,Bob's Shakes (Ye Zhu ),https://www.google.com/maps/contrib/108037742376982299673,https://lh5.googleusercontent.com/p/AF1QipMCq9_ynTKD3sDGKPmhfZ7p8XUxHO4lrKV57osR=w426-h240-k-no,Kuai Can Dian ,"Kuai Can Dian , Han Bao Can Ting , Xue Gao Dian , Can Ting ",4.1,10:00-18:00,Xing Qi Ri ,+55 75 99971-6388,"Bob's Shakes - R. Padre Vieira, S/N - Centro, Alagoinhas - BA, 48010-130Ba Xi ","Qing Shi , Chan Pin ",https://www.google.com/maps/place/Bob%27s+Shakes/data=!4m7!3m6!1s0x716bc37e8765347:0x15b1e2fcb635250d!8m2!3d-12.1402302!4d-38.4244203!16s%2Fg%2F11b6j731qs!19sChIJR1N26De8FgcRDSU1tvzisRU?authuser=0&hl=zh-TW&rclk=1
ChIJSUAl-TC8FgcREvP1dwgB1Ng,"Manuel Joaquim, Bar Restaurante & Creparia.",,False,200,"Name: Gastro Cozinha Artesanal Restaurante
link: https://www.google.com/maps/search/Gastr%C3%B4+Cozinha+Artesanal+Restaurante/@-12.1451848,-38.4265541?authuser=0&hl=zh-TW&entry=ttu
Reviews: 533 reviews

Name: Rafaela Culinaria
link: https://www.google.com/maps/search/Rafaela+Culin%C3%A1ria/@-12.1473757,-38.4118175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Cafeteria Requinte da Chapada
link: https://www.google.com/maps/search/Cafeteria+Requinte+da+Chapada/@-12.1378428,-38.423848?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Cafe Requinte Da Chapada
link: https://www.google.com/maps/search/Cafe+Requinte+Da+Chapada/@-12.1364518,-38.4034694?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://instagram.com/manueljoaquimcafe%3Figshid%3DYzg5MTU1MDY%3D,"Manuel Joaquim, Bar Restaurante & Creparia. (Ye Zhu )",https://www.google.com/maps/contrib/108276585809996730969,https://lh5.googleusercontent.com/p/AF1QipPPnQ5hvcf4q-vERPPAd3YPwbCBJLNZoMuax-9r=w408-h544-k-no,Fa Shi Bo Bing Can Ting ,"Fa Shi Bo Bing Can Ting , Ji Wei Jiu Jiu Ba , Can Ting ",4.7,"11:30-15:00, 18:00-23:00",Xing Qi Yi ,+55 75 99807-9404,"Manuel Joaquim, Bar Restaurante & Creparia. - Tv. Dr. Dantas Biao, 2 - Centro, Alagoinhas - BA, 48030-040Ba Xi ","Jia Ge , Yin Le ","https://www.google.com/maps/place/Manuel+Joaquim,+Bar+Restaurante+%26+Creparia./data=!4m7!3m6!1s0x716bc30f9254049:0xd8d4010877f5f312!8m2!3d-12.1390317!4d-38.4143117!16s%2Fg%2F11g6bgd17v!19sChIJSUAl-TC8FgcREvP1dwgB1Ng?authuser=0&hl=zh-TW&rclk=1"
ChIJ8Vnc7BW8FgcRNQmnurIR57c,Casa do Pao,,False,42,"Name: Panificacao&Lanchonete Super Pao
link: https://www.google.com/maps/search/Panifica%C3%A7%C3%A3o%26Lanchonete+Super+P%C3%A3o/@-12.1272393,-38.4189869?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Panificacao Santo Antonio
link: https://www.google.com/maps/search/Panifica%C3%A7%C3%A3o+Santo+Ant%C3%B4nio/@-12.1309599,-38.419891899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Panificadora Pao Nosso
link: https://www.google.com/maps/search/Panificadora+P%C3%A3o+Nosso/@-12.129527399999999,-38.4195925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",http://www.casadopaodequeijo.com.br/,Casa do Pao (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN2XhiUj7WrfBZc6rKUcBrwEzgzkZaCtIfJbiko=w408-h544-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.1,06:00-20:30,Open All Days,+55 75 3421-5992,"Casa do Pao - Av. Silva, 454 - Santa Terezinha, Alagoinhas - BA, 48011-250Ba Xi ",,https://www.google.com/maps/place/Casa+do+P%C3%A3o/data=!4m7!3m6!1s0x716bc15ecdc59f1:0xb7e711b2baa70935!8m2!3d-12.1261968!4d-38.4177763!16s%2Fg%2F1ptz11n7w!19sChIJ8Vnc7BW8FgcRNQmnurIR57c?authuser=0&hl=zh-TW&rclk=1
ChIJg-GwBn-9FgcRdBNcY0zFILY,Cacau Show,,False,37,"Name: Passarela Dos Doces
link: https://www.google.com/maps/search/Passarela+Dos+Doces/@-12.137944400000002,-38.4227785?authuser=0&hl=zh-TW&entry=ttu
Reviews: 133 reviews

Name: Acai Fruit Show - Alagoinhas
link: https://www.google.com/maps/search/A%C3%A7a%C3%AD+Fruit+Show+-+Alagoinhas/@-12.137369,-38.418475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Floricultura ENCANTUS
link: https://www.google.com/maps/search/Floricultura+ENCANTUS/@-12.1369209,-38.4218445?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Casa da Cesta
link: https://www.google.com/maps/search/Casa+da+Cesta/@-12.1332669,-38.4231033?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: R&R Chocolates
link: https://www.google.com/maps/search/R%26R+Chocolates/@-12.137037399999999,-38.4227547?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.cacaushow.com.br/,Cacau Show (Ye Zhu ),https://www.google.com/maps/contrib/105835380710084398310,https://lh5.googleusercontent.com/p/AF1QipN_4ZOLEuSeSAGVzfBdF3RUH3uAjlXtk60CHK1q=w426-h240-k-no,Qiao Ke Li Gong Chang ,"Qiao Ke Li Gong Chang , Tang Guo Dian , Qiao Ke Li Gong Jiang , Ka Pei Dian , Xue Gao Dian ",4.6,09:00-18:00,Xing Qi Ri ,+55 75 3181-5727,"Cacau Show - R. Rodrigues Lima, 138 - Centro, Alagoinhas - BA, 48010-040Ba Xi ",,https://www.google.com/maps/place/Cacau+Show/data=!4m7!3m6!1s0x716bd7f06b0e183:0xb620c54c635c1374!8m2!3d-12.1367063!4d-38.421471!16s%2Fg%2F11h_bf3_jk!19sChIJg-GwBn-9FgcRdBNcY0zFILY?authuser=0&hl=zh-TW&rclk=1
ChIJmUQYx6u9FgcRNkumYlMvyes,Armazem Fit Store | Alagoinhas,,False,33,"Name: Universo Verde
link: https://www.google.com/maps/search/Universo+Verde/@-12.1360467,-38.4225616?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Emporio dos Graos - Produtos Naturais
link: https://www.google.com/maps/search/Emporio+dos+Graos+-+Produtos+Naturais/@-12.139397899999999,-38.4218007?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: NUTRISTORE ALAGOINHAS
link: https://www.google.com/maps/search/NUTRISTORE+ALAGOINHAS/@-12.140819599999999,-38.4226507?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Armazem TopGraos
link: https://www.google.com/maps/search/Armaz%C3%A9m+TopGr%C3%A3os/@-12.138138999999999,-38.420536?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: CA Produtos Naturais
link: https://www.google.com/maps/search/CA+Produtos+Naturais/@-12.1409038,-38.42660720000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.armazemfitstore.com.br/,Armazem Fit Store | Alagoinhas (Ye Zhu ),https://www.google.com/maps/contrib/113632632475775674979,https://lh5.googleusercontent.com/p/AF1QipMKqehA1g4xYcafBs7ClO-UGbx8iEErH1X77QYB=w408-h261-k-no,Jian Kang Shi Pin Zhuan Mai Dian ,"Jian Kang Shi Pin Zhuan Mai Dian , Za Huo Pei Song Fu Wu , Chao Ji Shi Chang ",4.6,07:57-18:27,Xing Qi Ri ,+55 75 3033-0656,"Armazem Fit Store | Alagoinhas - R. 7 de Setembro, Ndeg 09 - Centro, Alagoinhas - BA, 48005-060Ba Xi ",,https://www.google.com/maps/place/Armaz%C3%A9m+Fit+Store+%7C+Alagoinhas/data=!4m7!3m6!1s0x716bdabc7184499:0xebc92f5362a64b36!8m2!3d-12.1411307!4d-38.4233573!16s%2Fg%2F11h6cwyrsc!19sChIJmUQYx6u9FgcRNkumYlMvyes?authuser=0&hl=zh-TW&rclk=1
ChIJzcc-f068FgcRi44sMfWfwZM,PANET,,False,16,"Name: Panificacao Central
link: https://www.google.com/maps/search/Panifica%C3%A7%C3%A3o+Central/@-12.1355205,-38.42287900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1092 reviews

Name: Panificacao&Lanchonete Super Pao
link: https://www.google.com/maps/search/Panifica%C3%A7%C3%A3o%26Lanchonete+Super+P%C3%A3o/@-12.1272393,-38.4189869?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Casa do Pao
link: https://www.google.com/maps/search/Casa+do+P%C3%A3o/@-12.126196799999999,-38.4177763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews

Name: Panificadora Pao Nosso
link: https://www.google.com/maps/search/Panificadora+P%C3%A3o+Nosso/@-12.129527399999999,-38.4195925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: PANIFICACAO GLORIA
link: https://www.google.com/maps/search/PANIFICA%C3%87%C3%83O+GLORIA/@-12.1328941,-38.436074500000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.panet.com.br/,PANET (Ye Zhu ),https://www.google.com/maps/contrib/115303315881664618384,https://lh5.googleusercontent.com/p/AF1QipMqkxWq8RkAH74vNKYxT7S5Dpclj5zmVw_8843q=w506-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.8,07:00-19:30,Xing Qi Ri ,+55 75 3181-3909,"PANET - R. Silva Jardim, 86 - 86 - Silva Jardim, Alagoinhas - BA, 48060-000Ba Xi ",,https://www.google.com/maps/place/PANET/data=!4m7!3m6!1s0x716bc4e7f3ec7cd:0x93c19ff5312c8e8b!8m2!3d-12.1392915!4d-38.430041!16s%2Fg%2F11f_4s1jbd!19sChIJzcc-f068FgcRi44sMfWfwZM?authuser=0&hl=zh-TW&rclk=1
