place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJOYWBuxsxUBMRCpjsacARfuY,Komiteti Bar - Tirane,,False,725,"Name: Antigua Specialty Coffee
link: https://www.google.com/maps/search/Antigua+Specialty+Coffee/@41.3181782,19.8175469?authuser=0&hl=zh-TW&entry=ttu
Reviews: 384 reviews

Name: EUROPA CAFFE
link: https://www.google.com/maps/search/EUROPA+CAFFE/@41.328854199999995,19.822061299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 159 reviews

Name: La Portena
link: https://www.google.com/maps/search/La+Porte%C3%B1a/@41.320966,19.8245348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: The Tea Room
link: https://www.google.com/maps/search/The+Tea+Room/@41.3214857,19.801996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Coin Cafe
link: https://www.google.com/maps/search/Coin+Caf%C3%A8/@41.3221275,19.807105000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",https://www.facebook.com/komiteti.kafemuzeum/,Komiteti Bar - Tirane (Ye Zhu ),https://www.google.com/maps/contrib/106856665443405312614,https://lh5.googleusercontent.com/p/AF1QipPV0Zo2Vu2_R-mZ0pe-jecv9i7_2eNF3pSrjS8c=w408-h348-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.6,07:00-00:00,Open All Days,+355 69 445 2772,"Komiteti Bar - Tirane, Rruga Papa Gjon Pali II, Tirana, A Er Ba Ni Ya ","Bo Wu Guan , Diao Jiu , Feng Mi , Jia Ju , Ban Shou Li , Jiu Lei , Wen Wu ",https://www.google.com/maps/place/Komiteti+Bar+-+Tiran%C3%AB/data=!4m7!3m6!1s0x1350311bbb818539:0xe67e11c069ec980a!8m2!3d41.3232223!4d19.8224391!16s%2Fg%2F11cn8t6g0y!19sChIJOYWBuxsxUBMRCpjsacARfuY?authuser=0&hl=zh-TW&rclk=1
ChIJ04Vt9nAxUBMRWQaPODmAOIg,Antigua Specialty Coffee,,False,389,"Name: Komiteti Bar - Tirane
link: https://www.google.com/maps/search/Komiteti+Bar+-+Tiran%C3%AB/@41.3232223,19.8224391?authuser=0&hl=zh-TW&entry=ttu
Reviews: 722 reviews

Name: La Portena
link: https://www.google.com/maps/search/La+Porte%C3%B1a/@41.320966,19.8245348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Arte Cafe Tirana
link: https://www.google.com/maps/search/Art%C3%A9+Caf%C3%A9+Tirana/@41.319928399999995,19.8185905?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Prince Coffee Shop
link: https://www.google.com/maps/search/Prince+Coffee+Shop/@41.3273057,19.8220312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://antiguacaffe.al/,Antigua Specialty Coffee (Ye Zhu ),https://www.google.com/maps/contrib/106760511053844928397,https://lh5.googleusercontent.com/p/AF1QipMwLGHEi0B6mSLYLM105LBOucw7F9Dap8r88PDp=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,07:30-19:00,Xing Qi Ri ,+355 69 898 3443,"Antigua Specialty Coffee, Rruga Perlat Rexhepi 1001, Tirana, A Er Ba Ni Ya ","Gao , atmosphere, flat white, Ke Song , wifi, Dou , Bi Dian , Kao ",https://www.google.com/maps/place/Antigua+Specialty+Coffee/data=!4m7!3m6!1s0x13503170f66d85d3:0x88388039388f0659!8m2!3d41.3181782!4d19.8175469!16s%2Fg%2F11j5bvsgcc!19sChIJ04Vt9nAxUBMRWQaPODmAOIg?authuser=0&hl=zh-TW&rclk=1
ChIJD2n7vRExUBMR44er4GbSEFE,Mulliri Vjeter - Rruga e Barrikadave,,False,388,"Name: Komiteti Bar - Tirane
link: https://www.google.com/maps/search/Komiteti+Bar+-+Tiran%C3%AB/@41.3232223,19.8224391?authuser=0&hl=zh-TW&entry=ttu
Reviews: 722 reviews

Name: Mulliri Gourmet
link: https://www.google.com/maps/search/Mulliri+Gourmet/@41.3217007,19.8174994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 231 reviews

Name: Mulliri Plus
link: https://www.google.com/maps/search/Mulliri+Plus/@41.3362552,19.8171389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews

Name: Mulliri i Vjeter
link: https://www.google.com/maps/search/Mulliri+i+Vjet%C3%ABr/@41.325350799999995,19.826132299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Mulliri Vjeter - Coffee Company
link: https://www.google.com/maps/search/Mulliri+Vjet%C3%ABr+-+Coffee+Company/@41.371193,19.6865103?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://mullirivjeter.al/,Mulliri Vjeter - Rruga e Barrikadave (Ye Zhu ),https://www.google.com/maps/contrib/115479896405626292582,https://lh5.googleusercontent.com/p/AF1QipMqskdhanNZut_ergxVau5bet3bR5Le_it34SLO=w408-h612-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,07:00-22:00,Open All Days,+355 4 240 7923,"Mulliri Vjeter - Rruga e Barrikadave, Rruga e Barrikadave Villa Petrela Hyrja Nr.1 Njesia Bashkiake Nr.9 Tirana, 1001A Er Ba Ni Ya ","Jia Ge , Tian Tian Quan , Bing Sha , Chan Pin , Tian Dian , Qia Bu Qi Nuo , Zao Can , San Ming Zhi , espresso, Na Tie ",https://www.google.com/maps/place/Mulliri+Vjeter+-+Rruga+e+Barrikadave/data=!4m7!3m6!1s0x13503111bdfb690f:0x5110d266e0ab87e3!8m2!3d41.3308112!4d19.8205713!16s%2Fg%2F11b75qpnww!19sChIJD2n7vRExUBMR44er4GbSEFE?authuser=0&hl=zh-TW&rclk=1
ChIJ7weI6AQxUBMR0g1YSHo7vdE,Mulliri Vjeter - Shallvaret (Rruga Deshmoret e 4 Shkurtit),,False,250,"Name: Mulliri Gourmet
link: https://www.google.com/maps/search/Mulliri+Gourmet/@41.3217007,19.8174994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 231 reviews

Name: Mon Cheri Coffee Shop
link: https://www.google.com/maps/search/Mon+Ch%C3%A9ri+Coffee+Shop/@41.328074,19.815393?authuser=0&hl=zh-TW&entry=ttu
Reviews: 143 reviews

Name: Mulliri Plus
link: https://www.google.com/maps/search/Mulliri+Plus/@41.3362552,19.8171389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews

Name: Mulliri i Vjeter
link: https://www.google.com/maps/search/Mulliri+i+Vjet%C3%ABr/@41.325350799999995,19.826132299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Bar Cafe ""Shallvaret""
link: https://www.google.com/maps/search/Bar+Cafe+%22Shallvaret%22/@41.3248888,19.816266?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://mullirivjeter.al/,Mulliri Vjeter - Shallvaret (Rruga Deshmoret e 4 Shkurtit) (Ye Zhu ),https://www.google.com/maps/contrib/108409868709840216095,https://lh5.googleusercontent.com/p/AF1QipNh5O_WAbPZcXOPjfAghfnvEEoPZ8lhguQjfM46=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,06:30-22:00,Open All Days,+355 4 240 7923,"Mulliri Vjeter - Shallvaret (Rruga Deshmoret e 4 Shkurtit), Rruga Deshmoret e 4 Shkurtit, Tirana, A Er Ba Ni Ya ","Jia Ge , Zao Can , atmosphere, Tian Tian Quan , Xuan Ze , Nai Xi , Xiao Chi , wifi, Huan Jing , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Mulliri+Vjeter+-+Shallvaret+%28Rruga+Deshmoret+e+4+Shkurtit%29/data=!4m7!3m6!1s0x13503104e88807ef:0xd1bd3b7a48580dd2!8m2!3d41.3248206!4d19.8169793!16s%2Fg%2F11fqqnn0rm!19sChIJ7weI6AQxUBMR0g1YSHo7vdE?authuser=0&hl=zh-TW&rclk=1
ChIJRaCc7ywxUBMR-lXsXges1nY,Hana Corner Cafe,,False,217,"Name: EUROPA CAFFE
link: https://www.google.com/maps/search/EUROPA+CAFFE/@41.328854199999995,19.822061299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 159 reviews

Name: The Tea Room
link: https://www.google.com/maps/search/The+Tea+Room/@41.3214857,19.801996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Hana Bar and Snacks
link: https://www.google.com/maps/search/Hana+Bar+and+Snacks/@41.347031,19.858037799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://instagram.com/hana_cornercafe?igshid=YmMyMTA2M2Y=,Hana Corner Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115736890708717842817,https://lh5.googleusercontent.com/p/AF1QipO5UWvJi_kyxdw7XHozsq8xl9p-9Vnlr5sq91ZD=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Jiu Ba ",4.8,10:00-23:00,Open All Days,+355 67 688 0348,"Hana Corner Cafe, Rruga Gjin Bue Shpata 4, Tirana 1001A Er Ba Ni Ya ","Tian Dian , atmosphere, Ru Luo Dan Gao , Jia Ge , Xuan Ze , Mo Cha , Min Zhong , Bu Lang Ni , Shu , Jing Yan ",https://www.google.com/maps/place/Hana+Corner+Cafe/data=!4m7!3m6!1s0x1350312cef9ca045:0x76d6ac075eec55fa!8m2!3d41.3205474!4d19.8116115!16s%2Fg%2F11tfgyrjb9!19sChIJRaCc7ywxUBMR-lXsXges1nY?authuser=0&hl=zh-TW&rclk=1
ChIJT-o3OBwxUBMR3REpQtcQJGE,D'Angelo Chocolate & Coffee (Coin),,False,169,"Name: Cioccolatitaliani Bllok
link: https://www.google.com/maps/search/Cioccolatitaliani+Bllok/@41.3201957,19.8182778?authuser=0&hl=zh-TW&entry=ttu
Reviews: 839 reviews

Name: Coin Cafe
link: https://www.google.com/maps/search/Coin+Caf%C3%A8/@41.3221275,19.807105000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Angolo Bar
link: https://www.google.com/maps/search/Angolo+Bar/@41.3293669,19.8345035?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: L'Angolo Dolce
link: https://www.google.com/maps/search/L%27Angolo+Dolce/@41.3331583,19.807589699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Ada Cafe
link: https://www.google.com/maps/search/Ada+Cafe/@41.3179613,19.826132299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://www.dangelo.al/,D'Angelo Chocolate & Coffee (Coin) (Ye Zhu ),https://www.google.com/maps/contrib/115429462695457313557,https://lh5.googleusercontent.com/p/AF1QipNyRsvnZficB3m77YL8B-69CF5QRGIlWLcZrRSf=w408-h305-k-no,Qiao Ke Li Ka Pei Guan ,"Qiao Ke Li Ka Pei Guan , Ka Pei Ting , Tang Guo Dian , Zhu Gu Li Dian , Ka Pei Dian , Fa Shi Bo Bing Can Ting , Ru Luo Xue Gao Dian , Xue Gao Dian , Guo Zhi Dian , Gao Bing Dian ",4.4,07:30-23:30,Open All Days,+355 69 977 9669,"D'Angelo Chocolate & Coffee (Coin), 1001, Rruga Papa Gjon Pali II, Tirane, A Er Ba Ni Ya ","Song Bing , Bing Qi Lin , Guo Zhi , Ke Li Bing , Rou Gui , Kong Jian ",https://www.google.com/maps/place/D%27Angelo+Chocolate+%26+Coffee+%28Coin%29/data=!4m7!3m6!1s0x1350311c3837ea4f:0x612410d7422911dd!8m2!3d41.3202349!4d19.8234332!16s%2Fg%2F11g698dfb1!19sChIJT-o3OBwxUBMR3REpQtcQJGE?authuser=0&hl=zh-TW&rclk=1
ChIJIZAGaFNCUBMRGv7Q892gwrk,Coffee House,,False,165,"Name: Boulevard Cafe
link: https://www.google.com/maps/search/Boulevard+Cafe/@41.1151713,20.0885265?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Elbasan
link: https://www.google.com/maps/search/Elbasan/@41.1103028,20.086625899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Athen's Coffee House
link: https://www.google.com/maps/search/Athen%27s+Coffee+House/@41.104630900000004,20.081124?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Bar Coffee Kristi
link: https://www.google.com/maps/search/%E2%84%AC%F0%9D%92%B6%F0%9D%93%87+%F0%9D%92%9E%F0%9D%91%9C%F0%9D%92%BB%F0%9D%92%BB%F0%9D%91%92%F0%9D%91%92+%F0%9D%92%A6%F0%9D%93%87%F0%9D%92%BE%F0%9D%93%88%F0%9D%93%89%F0%9D%92%BE/@41.1228586,20.077964599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.coffeehouse.com/,Coffee House (Ye Zhu ),https://www.google.com/maps/contrib/118263221785719809676,https://lh5.googleusercontent.com/p/AF1QipP-4oYYC0Mr4APLwh_oCKMWv6F-YNtwKkw0G9bh=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,24 Xiao Shi Ying Ye ,Open All Days,+212 627-267099,"Coffee House, Bulevardi Qemal Stafa, Elbasan, A Er Ba Ni Ya ",,https://www.google.com/maps/place/Coffee+House/data=!4m7!3m6!1s0x1350425368069021:0xb9c2a0ddf3d0fe1a!8m2!3d41.1138995!4d20.0858932!16s%2Fg%2F11bwkdp5cz!19sChIJIZAGaFNCUBMRGv7Q892gwrk?authuser=0&hl=zh-TW&rclk=1
ChIJV2-3gAUxUBMRtfDqZnVGv8U,Mon Cheri Coffee Shop,,False,143,"Name: Mon Cheri, Sheshi Wilson
link: https://www.google.com/maps/search/Mon+Cheri%2C+Sheshi+Wilson/@41.3182129,19.8143715?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: Mon Cheri 9-kateshet
link: https://www.google.com/maps/search/Mon+Cheri+9-kat%C3%ABshet/@41.330240800000006,19.8212472?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: Mon Cheri, Rruga e Elbasanit
link: https://www.google.com/maps/search/Mon+Cheri%2C+Rruga+e+Elbasanit/@41.3250108,19.8254505?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Mon Cheri Coffee Shop
link: https://www.google.com/maps/search/Mon+Cheri+Coffee+Shop/@41.3277904,19.8028522?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Mon Cheri Rruga e Durresit-Qender
link: https://www.google.com/maps/search/Mon+Cheri+Rruga+e+Durr%C3%ABsit-Qend%C3%ABr/@41.3291471,19.8154246?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",http://www.moncheri.al/,Mon Cheri Coffee Shop (Ye Zhu ),https://www.google.com/maps/contrib/107288749297751266365,https://lh5.googleusercontent.com/p/AF1QipPyhoKlY01KTA3zVdojnsxaST19H4q45TEHxzJo=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,3.9,07:00-22:30,Open All Days,+355 68 203 0955,"Mon Cheri Coffee Shop, Rruga, Tirana, A Er Ba Ni Ya ",espresso,https://www.google.com/maps/place/Mon+Ch%C3%A9ri+Coffee+Shop/data=!4m7!3m6!1s0x1350310580b76f57:0xc5bf467566eaf0b5!8m2!3d41.328074!4d19.815393!16s%2Fg%2F11bz_wg_7t!19sChIJV2-3gAUxUBMRtfDqZnVGv8U?authuser=0&hl=zh-TW&rclk=1
ChIJ5ycHg1wxUBMRpC8Qg-8ND-A,Mulliri Vjeter - Rruga e Kavajes,,False,130,"Name: Mulliri Gourmet
link: https://www.google.com/maps/search/Mulliri+Gourmet/@41.3217007,19.8174994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 231 reviews

Name: Mon Cheri Coffee Shop
link: https://www.google.com/maps/search/Mon+Ch%C3%A9ri+Coffee+Shop/@41.328074,19.815393?authuser=0&hl=zh-TW&entry=ttu
Reviews: 143 reviews

Name: Mulliri Plus
link: https://www.google.com/maps/search/Mulliri+Plus/@41.3362552,19.8171389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews

Name: Mulliri i Vjeter
link: https://www.google.com/maps/search/Mulliri+i+Vjet%C3%ABr/@41.325350799999995,19.826132299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",https://mullirivjeter.al/,Mulliri Vjeter - Rruga e Kavajes (Ye Zhu ),https://www.google.com/maps/contrib/102467046520805650305,https://lh5.googleusercontent.com/p/AF1QipOa5VWoy_fwScvGvOsMdnetl46GGX97qVKUs4Yo=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,06:30-22:30,Open All Days,+355 4 240 7923,"Mulliri Vjeter - Rruga e Kavajes, Rruga e Kavajes, Ndertesa nr.97/1, kati 1, nr. Pasurie 4/94, Tirane Tirana, 1001A Er Ba Ni Ya ","Jia Ge , Zao Can , Qia Bu Qi Nuo , Tian Dian , Shu , Zhi Fu , atmosphere",https://www.google.com/maps/place/Mulliri+Vjeter+-+Rruga+e+Kavajes/data=!4m7!3m6!1s0x1350315c830727e7:0xe00f0def83102fa4!8m2!3d41.3279981!4d19.8112171!16s%2Fg%2F11j3v94ckv!19sChIJ5ycHg1wxUBMRpC8Qg-8ND-A?authuser=0&hl=zh-TW&rclk=1
ChIJuT4NcRkxUBMRsJpYp8YOD-c,Mulliri Vjeter - Rr. Elbasanit (Pjeter Budi),,False,123,"Name: Mulliri Gourmet
link: https://www.google.com/maps/search/Mulliri+Gourmet/@41.3217007,19.8174994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 231 reviews

Name: Mulliri Plus
link: https://www.google.com/maps/search/Mulliri+Plus/@41.3362552,19.8171389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews

Name: Mulliri i Vjeter
link: https://www.google.com/maps/search/Mulliri+i+Vjet%C3%ABr/@41.325350799999995,19.826132299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Mulliri
link: https://www.google.com/maps/search/Mulliri/@41.3278062,19.8028363?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Kafe ""Aroma""
link: https://www.google.com/maps/search/Kafe+%22Aroma%22/@41.3205062,19.829020399999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.mullirivjeter.al/,Mulliri Vjeter - Rr. Elbasanit (Pjeter Budi) (Ye Zhu ),https://www.google.com/maps/contrib/103835405327409913971,https://lh5.googleusercontent.com/p/AF1QipNAcV55LV7e-1XprZu6IfiCWFaZ1XbnvvSyPh3Q=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,07:00-22:00,Open All Days,+355 4 240 7923,"Mulliri Vjeter - Rr. Elbasanit (Pjeter Budi), Rruga Pjeter Budi 6, Tirana 1010A Er Ba Ni Ya ","wifi, Xiao Chi ",https://www.google.com/maps/place/Mulliri+Vjeter+-+Rr.+Elbasanit+%28Pjeter+Budi%29/data=!4m7!3m6!1s0x13503119710d3eb9:0xe70f0ec6a7589ab0!8m2!3d41.3235512!4d19.8250828!16s%2Fg%2F11cn8s_8ll!19sChIJuT4NcRkxUBMRsJpYp8YOD-c?authuser=0&hl=zh-TW&rclk=1
