place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJnbJthkCE50cRkUVVNbvJjGQ,Au Bureau Amiens (centre-ville),,False,2746,"Name: le forum
link: https://www.google.com/maps/search/le+forum/@49.893738299999995,2.2976726999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1142 reviews

Name: Ail des Ours
link: https://www.google.com/maps/search/Ail+des+Ours/@49.8931933,2.2991612999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 623 reviews

Name: Miam's Amiens
link: https://www.google.com/maps/search/Miam%27s+Amiens/@49.895253999999994,2.297151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 435 reviews

Name: Le Baratin
link: https://www.google.com/maps/search/Le+Baratin/@49.8962739,2.3047996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 337 reviews

Name: Les Petits Bonheurs
link: https://www.google.com/maps/search/Les+Petits+Bonheurs/@49.890973699999996,2.302682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 325 reviews",https://www.aubureau.fr/restaurant/%3Fville%3DAB_Amiens%26y_source%3D1_MTE2NjU1ODQtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Au Bureau Amiens (centre-ville) (Ye Zhu ),https://www.google.com/maps/contrib/108595357949896760394,https://lh5.googleusercontent.com/p/AF1QipO9mkqQm1PwFrKMn2ccF_wUEwAsYS5czkOSD9vU=w426-h240-k-no,Can Ting ,"Can Ting , Jiu Ba , Ou Zhou Can Ting , Fa Guo Can Ting , Han Bao Can Ting , Ai Er Lan Can Ting , Yun Dong Jiu Ba ",4,10:00-00:00,Open All Days,+33 3 22 80 96 47,"Au Bureau Amiens (centre-ville), 2 Rue Albert Dauphin, 80000 Amiens, Fa Guo ","Sheng Dan Shi Ji , Ce Suo , happy hour",https://www.google.com/maps/place/Au+Bureau+Amiens+%28centre-ville%29/data=!4m7!3m6!1s0x47e78440866db29d:0x648cc9bb35554591!8m2!3d49.8937398!4d2.2963674!16s%2Fg%2F1tkc5_pt!19sChIJnbJthkCE50cRkUVVNbvJjGQ?authuser=0&hl=zh-TW&rclk=1
ChIJb3xsLTiE50cRASGBrMVkmU0,Ad Hoc Cafe,,False,1253,"Name: Au Bureau Amiens (centre-ville)
link: https://www.google.com/maps/search/Au+Bureau+Amiens+%28centre-ville%29/@49.8937398,2.2963674?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2744 reviews

Name: Le Dos D'Ane
link: https://www.google.com/maps/search/Le+Dos+D%27%C3%82ne/@49.8966995,2.3041343999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 891 reviews

Name: Le Phare
link: https://www.google.com/maps/search/Le+Phare/@49.8912826,2.3064275?authuser=0&hl=zh-TW&entry=ttu
Reviews: 575 reviews

Name: Oz'ange
link: https://www.google.com/maps/search/Oz%27ange/@49.894256,2.3017244999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 484 reviews

Name: Restaurant Leu Duo
link: https://www.google.com/maps/search/Restaurant+Leu+Duo/@49.89606510000001,2.3032367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 437 reviews",https://www.instagram.com/ad_hoc_cafe_amiens/,Ad Hoc Cafe (Ye Zhu ),https://www.google.com/maps/contrib/118177654051795051600,https://lh5.googleusercontent.com/p/AF1QipPaozHAogCAATfr35X1IwAB6uQNI2aCHIu7SZL3=w408-h271-k-no,Xiao Can Guan  (Bistro),"Xiao Can Guan  (Bistro), Jiu Ba , Dao Hui Fu Wu , Ka Pei Dian , Fa Guo Can Ting , Can Ting ",4.3,10:00-01:00,"Xing Qi Ri , Xing Qi Yi ",+33 3 22 22 00 06,"Ad Hoc Cafe, 1 Pl. du Don, 80000 Amiens, Fa Guo ","Liao Li , happy hour, Xiang Kuang , Jiu Ping , Da Jiao Tang ",https://www.google.com/maps/place/Ad+Hoc+Cafe/data=!4m7!3m6!1s0x47e784382d6c7c6f:0x4d9964c5ac812101!8m2!3d49.8958444!4d2.3033361!16s%2Fg%2F1tfl8zw9!19sChIJb3xsLTiE50cRASGBrMVkmU0?authuser=0&hl=zh-TW&rclk=1
ChIJLe1BqziE50cRMM-gMuqhVMc,Creperie La Mangeoire Amiens Centre,,False,1061,"Name: Le Dos D'Ane
link: https://www.google.com/maps/search/Le+Dos+D%27%C3%82ne/@49.8966995,2.3041343999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 891 reviews

Name: Le Phare
link: https://www.google.com/maps/search/Le+Phare/@49.8912826,2.3064275?authuser=0&hl=zh-TW&entry=ttu
Reviews: 575 reviews

Name: Miam's Amiens
link: https://www.google.com/maps/search/Miam%27s+Amiens/@49.895253999999994,2.297151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 435 reviews

Name: La Creperie du Vieux Beffroi
link: https://www.google.com/maps/search/La+Cr%C3%AAperie+du+Vieux+Beffroi/@49.895891999999996,2.296449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 363 reviews

Name: Les Petits Bonheurs
link: https://www.google.com/maps/search/Les+Petits+Bonheurs/@49.890973699999996,2.302682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 325 reviews",https://www.facebook.com/Creperie.La.mangeoire.Amiens.Centre/,Creperie La Mangeoire Amiens Centre (Ye Zhu ),https://www.google.com/maps/contrib/117493100383198834568,https://lh5.googleusercontent.com/p/AF1QipMcJNh18R2QsTBs6rGh2CWwie20ZjR4457dEeol=w408-h306-k-no,Fa Shi Bo Bing Can Ting ,"Fa Shi Bo Bing Can Ting , Fa Guo Can Ting ",4.3,11:30-22:00,Open All Days,+33 3 22 91 11 28,"Creperie La Mangeoire Amiens Centre, 3 Rue des Sergents, 80000 Amiens, Fa Guo ","Da Jiao Tang , You Ji , Xia Ding , Sheng Dan Shi Ji ",https://www.google.com/maps/place/Cr%C3%AAperie+La+Mangeoire+Amiens+Centre/data=!4m7!3m6!1s0x47e78438ab41ed2d:0xc754a1ea32a0cf30!8m2!3d49.8938834!4d2.2982032!16s%2Fg%2F1tfwjpbj!19sChIJLe1BqziE50cRMM-gMuqhVMc?authuser=0&hl=zh-TW&rclk=1
ChIJJbzeXkiE50cRTXqtb7aYNlg,Mamatte Boulangerie Cafe,,False,901,"Name: Miam's Amiens
link: https://www.google.com/maps/search/Miam%27s+Amiens/@49.895253999999994,2.297151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 435 reviews

Name: MAISON LUTON
link: https://www.google.com/maps/search/MAISON+LUTON/@49.8931372,2.2945141000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: La Maie
link: https://www.google.com/maps/search/La+Maie/@49.8880084,2.2887687?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Maison Guillot
link: https://www.google.com/maps/search/Maison+Guillot/@49.895650499999995,2.299483?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: Patachoux Boulangerie-Patisserie Amiens Nord Guynemer
link: https://www.google.com/maps/search/Patachoux+Boulangerie-P%C3%A2tisserie+Amiens+Nord+Guynemer/@49.9110978,2.3008132999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews",http://www.mamatte.fr/,Mamatte Boulangerie Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117838305389909145181,https://lh5.googleusercontent.com/p/AF1QipN10CzOw7aqMqFo8C48YGmcmVh_KK3F3_y3fr4r=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Kuai Can Dian , Fa Guo Can Ting ",4.3,07:00-20:00,Xing Qi Yi ,+33 3 22 91 47 83,"Mamatte Boulangerie Cafe, 15 Rue de Noyon, 80000 Amiens, Fa Guo ","Dian Yuan , Qiao Ke Li Ke Song , Fa Guo Mian Bao , Zao Wu Can , Ke Ke , Ning Meng Zhi ",https://www.google.com/maps/place/Mamatte+Boulangerie+Caf%C3%A9/data=!4m7!3m6!1s0x47e784485edebc25:0x583698b66fad7a4d!8m2!3d49.8909898!4d2.3054338!16s%2Fg%2F11ddzpc6v8!19sChIJJbzeXkiE50cRTXqtb7aYNlg?authuser=0&hl=zh-TW&rclk=1
ChIJ__972DmE50cR_spRPUGv2KQ,Le Dos D'Ane,,False,893,"Name: Creperie La Mangeoire Amiens Centre
link: https://www.google.com/maps/search/Cr%C3%AAperie+La+Mangeoire+Amiens+Centre/@49.8938834,2.2982032?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1060 reviews

Name: L'ENVIE
link: https://www.google.com/maps/search/L%27ENVIE/@49.896229999999996,2.305261?authuser=0&hl=zh-TW&entry=ttu
Reviews: 799 reviews

Name: Le Phare
link: https://www.google.com/maps/search/Le+Phare/@49.8912826,2.3064275?authuser=0&hl=zh-TW&entry=ttu
Reviews: 575 reviews

Name: Restaurant Leu Duo
link: https://www.google.com/maps/search/Restaurant+Leu+Duo/@49.89606510000001,2.3032367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 437 reviews

Name: Miam's Amiens
link: https://www.google.com/maps/search/Miam%27s+Amiens/@49.895253999999994,2.297151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 435 reviews",http://ledosdane.fr/,Le Dos D'Ane (Ye Zhu ),https://www.google.com/maps/contrib/104476456799421644722,https://lh5.googleusercontent.com/p/AF1QipN-KjbF4boBmLZT2_hqFf0SnbSssCSK-no1hjFY=w408-h306-k-no,Can Ting ,"Can Ting , Fa Shi Bo Bing Can Ting ",4.3,"12:00-14:00, 19:00-21:00","Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+33 3 75 50 28 45,"Le Dos D'Ane, 1 Rue de la Dodane, 80000 Amiens, Fa Guo ","Ke Li Bing , Bai Pan , Da Jiao Tang , Xian Pai ",https://www.google.com/maps/place/Le+Dos+D%27%C3%82ne/data=!4m7!3m6!1s0x47e78439d87bffff:0xa4d8af413d51cafe!8m2!3d49.8966995!4d2.3041344!16s%2Fg%2F11f5btn547!19sChIJ__972DmE50cR_spRPUGv2KQ?authuser=0&hl=zh-TW&rclk=1
ChIJeX6lGmqH50cRYmmRPnIHH6c,Crepe Touch Shopping Promenade Amiens,,False,837,"Name: Restaurant le Comptoir du Malt Shopping Promenade
link: https://www.google.com/maps/search/Restaurant+le+Comptoir+du+Malt+Shopping+Promenade/@49.9224574,2.308684?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2827 reviews

Name: IT - Italian Trattoria Amiens Nord
link: https://www.google.com/maps/search/IT+-+Italian+Trattoria+Amiens+Nord/@49.92292510000001,2.3065184?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1046 reviews

Name: La Creperie du Vieux Beffroi
link: https://www.google.com/maps/search/La+Cr%C3%AAperie+du+Vieux+Beffroi/@49.895891999999996,2.296449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 363 reviews

Name: FAIT TA CREPE
link: https://www.google.com/maps/search/FAIT+TA+CR%C3%8APE/@49.893084699999996,2.2993669?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews",https://www.crepetouch.com/nos_restaurants/crepe-touch-amiens%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmybusiness-website,Crepe Touch Shopping Promenade Amiens (Ye Zhu ),https://www.google.com/maps/contrib/104502583726446272938,https://lh5.googleusercontent.com/p/AF1QipPu522c3p4H8RyobLPkVj0fcj00ytJa2EkjREta=w408-h322-k-no,Can Ting ,"Can Ting , Ji Wei Jiu Jiu Ba , Ka Pei Dian , Fa Shi Bo Bing Can Ting , Tian Pin Can Ting , Xue Gao Dian , Guo Zhi Dian , Wai Song Su Di Can Ting , Wai Mai Zi Qu Can Ting , Sha Lu Dian ",4.3,11:30-22:00,Open All Days,+33 3 22 35 06 87,"Crepe Touch Shopping Promenade Amiens, Centre Commercial Shopping Promenade, 150 Av. de l'Europe, 80080 Amiens, Fa Guo ","Song Bing , Tang , Gai Nian , Bai Pan , Xia Ding , Fang Jian , Zhong Wu ",https://www.google.com/maps/place/Cr%C3%AApe+Touch+Shopping+Promenade+Amiens/data=!4m7!3m6!1s0x47e7876a1aa57e79:0xa71f07723e916962!8m2!3d49.9224608!4d2.3087633!16s%2Fg%2F11fm_6k2jm!19sChIJeX6lGmqH50cRYmmRPnIHH6c?authuser=0&hl=zh-TW&rclk=1
ChIJY8Q4qUCE50cRiKUU744v2u4,La Croustille,,False,752,"Name: MAMATTE BOULANGERIE CAFE
link: https://www.google.com/maps/search/MAMATTE+BOULANGERIE+CAFE/@49.8929465,2.2973163999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 557 reviews

Name: Le Capuccino
link: https://www.google.com/maps/search/Le+Capuccino/@49.8942281,2.298498?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews

Name: La Graineterie Amiens
link: https://www.google.com/maps/search/La+Graineterie+Amiens/@49.8909483,2.3046075999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews

Name: Kusmi Tea | Amiens
link: https://www.google.com/maps/search/Kusmi+Tea+%7C+Amiens/@49.892325199999995,2.299548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews",https://www.facebook.com/croustilleamiens/%3Ffref%3Dts,La Croustille (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMaT6HGxr270S_e-qMkRhKgyYbIb5nvxPP6HQhr=w408-h306-k-no,Cha Yi Guan ,"Cha Yi Guan , Gao Bing Dian ",3.3,09:00-19:30,Xing Qi Ri ,+33 3 22 80 00 62,"La Croustille, 6 Pl. Gambetta, 80000 Amiens, Fa Guo ","Xia Ding , Ce Suo , Re Yin , Leng , Ke Li Bing , Ju Kao ",https://www.google.com/maps/place/La+Croustille/data=!4m7!3m6!1s0x47e78440a938c463:0xeeda2f8eef14a588!8m2!3d49.8933409!4d2.2979175!16s%2Fg%2F1hbpwqxsm!19sChIJY8Q4qUCE50cRiKUU744v2u4?authuser=0&hl=zh-TW&rclk=1
ChIJr368Qh5Gc0ER1sHLr_xKo0o,DASI FRERES,,False,675,"Name: La Croustille
link: https://www.google.com/maps/search/La+Croustille/@49.8933409,2.2979175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 752 reviews

Name: La Graineterie Amiens
link: https://www.google.com/maps/search/La+Graineterie+Amiens/@49.8909483,2.3046075999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews

Name: Coffea, boutique de cafe et de the a Amiens
link: https://www.google.com/maps/search/Coffea%2C+boutique+de+caf%C3%A9+et+de+th%C3%A9+%C3%A0+Amiens/@49.89378980000001,2.296236?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: Dasi Freres
link: https://www.google.com/maps/search/Dasi+Fr%C3%A8res/@49.8582366,2.3899619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.dasifreres.com/,DASI FRERES (Ye Zhu ),https://www.google.com/maps/contrib/105732296057972670362,https://lh5.googleusercontent.com/p/AF1QipMUzkHkwcLnaNpeI0zMNWs-9F0FFMsVszVzaxjE=w408-h434-k-no,Ka Pei Hong Bei Shang ,Ka Pei Hong Bei Shang ,4.5,10:00-19:00,"Xing Qi Ri , Xing Qi Yi ",+33 3 22 91 38 07,"DASI FRERES, 20 Rue de Beauvais, 80000 Amiens, Fa Guo ","Cha Dian , Gao , Dian Yuan , Xuan Ze , Zao Wu Can , Xiang Kuang , Can Ju , Re Yin ",https://www.google.com/maps/place/DASI+FRERES/data=!4m7!3m6!1s0x4173461e42bc7eaf:0x4aa34afcafcbc1d6!8m2!3d49.8929476!4d2.2936589!16s%2Fg%2F11b6_9qn1w!19sChIJr368Qh5Gc0ER1sHLr_xKo0o?authuser=0&hl=zh-TW&rclk=1
ChIJg5r3IIyF50cRz1xVl1AkZbk,MAMATTE BOULANGERIE CAFE,,False,559,"Name: La Mie Caline
link: https://www.google.com/maps/search/La+Mie+Caline/@49.8930851,2.2970893?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: La Maie
link: https://www.google.com/maps/search/La+Maie/@49.8880084,2.2887687?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Maison Guillot
link: https://www.google.com/maps/search/Maison+Guillot/@49.895650499999995,2.299483?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: Patachoux Boulangerie-Patisserie Amiens Nord Guynemer
link: https://www.google.com/maps/search/Patachoux+Boulangerie-P%C3%A2tisserie+Amiens+Nord+Guynemer/@49.9110978,2.3008132999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews

Name: Tarterie des jacobins
link: https://www.google.com/maps/search/Tarterie+des+jacobins/@49.8923078,2.2976969?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews",http://www.mamatte.fr/,MAMATTE BOULANGERIE CAFE (Ye Zhu ),https://www.google.com/maps/contrib/110604092392865235553,https://lh5.googleusercontent.com/p/AF1QipMvWuBWLUEnsPkB5RrM0yJrY4-c34pkI5TgcUW4=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4,07:00-20:00,Xing Qi Yi ,+33 3 22 89 70 52,"MAMATTE BOULANGERIE CAFE, 2 Pl. Gambetta, 80000 Amiens, Fa Guo ","Zao Wu Can , Zhuo , Lou Ceng , Song Bing , qr code, Re Yin ",https://www.google.com/maps/place/MAMATTE+BOULANGERIE+CAFE/data=!4m7!3m6!1s0x47e7858c20f79a83:0xb965245097555ccf!8m2!3d49.8929465!4d2.2973164!16s%2Fg%2F11pxw9d2dd!19sChIJg5r3IIyF50cRz1xVl1AkZbk?authuser=0&hl=zh-TW&rclk=1
ChIJJ3xwLDiE50cRVqNQ5poSaYA,Couleur Cafe - Bar a Cocktails Rhumerie Saint Leu Amiens,,False,408,"Name: Delirium Cafe
link: https://www.google.com/maps/search/Delirium+Caf%C3%A9/@49.8994493,2.3006390000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1118 reviews

Name: Taverne Electrik
link: https://www.google.com/maps/search/Taverne+Electrik/@49.8983268,2.3009217?authuser=0&hl=zh-TW&entry=ttu
Reviews: 299 reviews

Name: Street cafe
link: https://www.google.com/maps/search/Street+caf%C3%A9/@49.8955437,2.3034106999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 277 reviews

Name: Bar du Midi
link: https://www.google.com/maps/search/Bar+du+Midi/@49.8936299,2.2982896999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: LE P.L.S
link: https://www.google.com/maps/search/LE+P.L.S/@49.896926,2.3043233?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews",http://couleur-cafe-amiens.edan.io/,Couleur Cafe - Bar a Cocktails Rhumerie Saint Leu Amiens (Ye Zhu ),https://www.google.com/maps/contrib/117764322144280169969,https://lh5.googleusercontent.com/p/AF1QipOq3CDd-TrYQ1OCZhDZtLMgPCEhwCAsi6rDyOE7=w408-h543-k-no,Ji Wei Jiu Jiu Ba ,"Ji Wei Jiu Jiu Ba , Jiu Ba , Pi Jiu Guan , Ka Pei Dian ",4.3,16:00-01:00,Open All Days,+33 3 22 91 40 14,"Couleur Cafe - Bar a Cocktails Rhumerie Saint Leu Amiens, 8 Rue des Bondes, 80000 Amiens, Fa Guo ","mojito, happy hour, Jia Ge , Lan Mu , Xiao Rong ",https://www.google.com/maps/place/Couleur+Caf%C3%A9+-+Bar+%C3%A0+Cocktails+Rhumerie+Saint+Leu+Amiens/data=!4m7!3m6!1s0x47e784382c707c27:0x8069129ae650a356!8m2!3d49.8956853!4d2.3037945!16s%2Fg%2F1tptpyd5!19sChIJJ3xwLDiE50cRVqNQ5poSaYA?authuser=0&hl=zh-TW&rclk=1
