place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ0w53VXfEw0cRlp3Dsm8HvC4,Kaffabar,,False,1138,"Name: Cafe Capitale
link: https://www.google.com/maps/search/Caf%C3%A9+Capitale/@50.8465315,4.3498725?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1810 reviews

Name: Cappuccino
link: https://www.google.com/maps/search/Cappuccino/@50.8407377,4.3427249?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1475 reviews

Name: Cafe du Sablon.
link: https://www.google.com/maps/search/Caf%C3%A9+du+Sablon./@50.8401962,4.3568121?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1433 reviews

Name: Creme
link: https://www.google.com/maps/search/Cr%C3%A8me/@50.841921,4.3533137?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1230 reviews

Name: Cafe Novo
link: https://www.google.com/maps/search/Caf%C3%A9+Novo/@50.8440048,4.3524736?authuser=0&hl=zh-TW&entry=ttu
Reviews: 545 reviews",http://kaffabar.be/,Kaffabar (Ye Zhu ),https://www.google.com/maps/contrib/118287405678482863800,https://lh5.googleusercontent.com/p/AF1QipOOigyj0eF9eabXza9rn97hgvEia6JgEq7IZEzz=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting ",4.7,08:00-18:00,"Xing Qi Ri , Xing Qi Yi ",+32 498 42 66 84,"Kaffabar, Pl. Rouppe 1, 1000 Bruxelles, Bi Li Shi ","vegan, Xian Pai , Liu Cheng Zhi , Zao Wu Can , You Ge , Song Bing , Wen Qing ",https://www.google.com/maps/place/Kaffabar/data=!4m7!3m6!1s0x47c3c47755770ed3:0x2ebc076fb2c39d96!8m2!3d50.8431528!4d4.3453611!16s%2Fg%2F11clsflst_!19sChIJ0w53VXfEw0cRlp3Dsm8HvC4?authuser=0&hl=zh-TW&rclk=1
ChIJV2POyX7Ew0cRaDm64WWua28,Cafe Novo,,False,545,"Name: Cafe Capitale
link: https://www.google.com/maps/search/Caf%C3%A9+Capitale/@50.8465315,4.3498725?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1810 reviews

Name: Cafe du Sablon.
link: https://www.google.com/maps/search/Caf%C3%A9+du+Sablon./@50.8401962,4.3568121?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1433 reviews

Name: Kaffabar
link: https://www.google.com/maps/search/Kaffabar/@50.843152800000006,4.3453611?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1137 reviews

Name: Frank.
link: https://www.google.com/maps/search/Frank./@50.8499002,4.3546084?authuser=0&hl=zh-TW&entry=ttu
Reviews: 834 reviews

Name: Santana Cafe
link: https://www.google.com/maps/search/Santana+Cafe/@50.84232960000001,4.345682399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews",https://www.cafenovo.be/,Cafe Novo (Ye Zhu ),https://www.google.com/maps/contrib/113372602476214066107,https://lh5.googleusercontent.com/p/AF1QipMpQTL4w11kk5BAGvcbQn-4X2vl3gyfwQ5hUrrf=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Fa Shi Can Ting ",4,10:00-00:00,Open All Days,+32 2 503 09 05,"Cafe Novo, Pl. de la Vieille Halle aux Bles 37, 1000 Bruxelles, Bi Li Shi ","Shu Tiao , Bai Pan , Liao Li , Hua Yuan , Yi Dao Cai , Rou Yuan , Niu Pai ",https://www.google.com/maps/place/Caf%C3%A9+Novo/data=!4m7!3m6!1s0x47c3c47ec9ce6357:0x6f6bae65e1ba3968!8m2!3d50.8440048!4d4.3524736!16s%2Fg%2F1tcwkq_j!19sChIJV2POyX7Ew0cRaDm64WWua28?authuser=0&hl=zh-TW&rclk=1
ChIJ-QN3KyjEw0cRTlTs31PnkLU,TotalEnergies,,False,436,"Name: Esso Anderlecht
link: https://www.google.com/maps/search/Esso+Anderlecht/@50.821188899999996,4.3077682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews

Name: AS 24
link: https://www.google.com/maps/search/AS+24/@50.816035,4.3043327?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Servauto
link: https://www.google.com/maps/search/Servauto/@50.8158884,4.3040538999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: TotalEnergies Charging Station
link: https://www.google.com/maps/search/TotalEnergies+Charging+Station/@50.820340099999996,4.3127843?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://services.totalenergies.be/,TotalEnergies (Ye Zhu ),https://www.google.com/maps/contrib/111776504736214704582,https://lh5.googleusercontent.com/p/AF1QipP9FPnRA4XKi7Uz5W20VlTg8BVMxhaYap_Bmk_K=w426-h240-k-no,You Zhan ,"You Zhan , Ka Pei Dian , San Wen Zhi Dian ",4.1,05:00-19:30,Xing Qi Ri ,+32 2 520 16 48,"TotalEnergies, Bd International 11, 1070 Anderlecht, Bi Li Shi ","San Ming Zhi , Jia Ge , E ",https://www.google.com/maps/place/TotalEnergies/data=!4m7!3m6!1s0x47c3c4282b7703f9:0xb590e753dfec544e!8m2!3d50.816!4d4.3043!16s%2Fg%2F1v83082w!19sChIJ-QN3KyjEw0cRTlTs31PnkLU?authuser=0&hl=zh-TW&rclk=1
ChIJCzN-CJ_Gw0cRPBvBMIJoMuc,Capri,,False,384,"Name: Il Cappuccino
link: https://www.google.com/maps/search/Il+Cappuccino/@50.8730319,4.3247371999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 220 reviews

Name: Miss Waffle belgium
link: https://www.google.com/maps/search/Miss+Waffle+belgium/@50.819142799999995,4.2799485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Il Gelato
link: https://www.google.com/maps/search/Il+Gelato/@50.838703599999995,4.2876136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Capri Delice
link: https://www.google.com/maps/search/Capri+D%C3%A9lice/@50.836570099999996,4.3167747?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Glace
link: https://www.google.com/maps/search/Glace/@50.827833299999995,4.2622694?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.glaces-capri.be/,Capri (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMN4zbHotdBjN8RZbCKzGYsUA-ErgxfY0sTZWMf=w408-h306-k-no,Xue Gao Dian ,"Xue Gao Dian , Can Ting ",3.8,11:30-20:00,Xing Qi Yi ,+32 2 733 11 82,"Capri, Rdpt du Meir 2, 1070 Anderlecht, Bi Li Shi ","Jia Ge , Bing He , Shou Gong , Ke Li Bing , Zhuo , Gong Yuan , Ka Pei ",https://www.google.com/maps/place/Capri/data=!4m7!3m6!1s0x47c3c69f087e330b:0xe732688230c11b3c!8m2!3d50.8322303!4d4.3028083!16s%2Fg%2F1tcydmlj!19sChIJCzN-CJ_Gw0cRPBvBMIJoMuc?authuser=0&hl=zh-TW&rclk=1
ChIJx4yXUoXGw0cR7zzBwF6TITM,TotalEnergies,,False,383,"Name: DATS 24 Veeweyde
link: https://www.google.com/maps/search/DATS+24+Veeweyde/@50.8278113,4.3024154?authuser=0&hl=zh-TW&entry=ttu
Reviews: 688 reviews

Name: Shell Express
link: https://www.google.com/maps/search/Shell+Express/@50.8280544,4.3019789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 217 reviews

Name: Q8 easy
link: https://www.google.com/maps/search/Q8+easy/@50.8130526,4.2890125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 110 reviews

Name: Cora-tankstation
link: https://www.google.com/maps/search/Cora-tankstation/@50.819672000000004,4.2767867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: TotalEnergies Charging Station
link: https://www.google.com/maps/search/TotalEnergies+Charging+Station/@50.820340099999996,4.3127843?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://services.totalenergies.be/,TotalEnergies (Ye Zhu ),https://www.google.com/maps/contrib/108220409418768540175,https://lh5.googleusercontent.com/p/AF1QipMloYdgOh3Av9zMwV9_SEQo2-fId1rZYmFDkO0N=w426-h240-k-no,You Zhan ,"You Zhan , Ka Pei Dian , San Wen Zhi Dian ",4.2,05:00-20:00,Open All Days,+32 2 527 02 57,"TotalEnergies, Bergensesteenweg 1253, 1070 Anderlecht, Bi Li Shi ",San Ming Zhi ,https://www.google.com/maps/place/TotalEnergies/data=!4m7!3m6!1s0x47c3c68552978cc7:0x3321935ec0c13cef!8m2!3d50.8187!4d4.292!16s%2Fg%2F12lr5wl1l!19sChIJx4yXUoXGw0cR7zzBwF6TITM?authuser=0&hl=zh-TW&rclk=1
ChIJr6hTk23Ew0cRnOEsDSSPeQ0,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,331,"Name: Pret A Manger
link: https://www.google.com/maps/search/Pret+A+Manger/@50.836786000000004,4.3359092?authuser=0&hl=zh-TW&entry=ttu
Reviews: 176 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@50.8794779,4.2529394?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Java Coffee House
link: https://www.google.com/maps/search/Java+Coffee+House/@50.835653799999996,4.3374749999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews","https://www.starbucks.com/store-locator%3Fmap%3D50.831921,4.33318,12z",Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/111607021091127985948,https://lh5.googleusercontent.com/p/AF1QipNRS3f76aqCK-E6Ihi-idhm5UgeJv6oomyzx_TQ=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting ",3.6,05:30-21:00,Open All Days,+32 2 523 86 89,"Starbucks, Av. Fonsny 46, 1060 Saint-Gilles, Bi Li Shi ","Che Zhan , Xiao Rong , Jing Yan , Na Tie , Jie Yun , Ming , Bei , Shou Fu Ti , Ke Ke , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x47c3c46d9353a8af:0xd798f240d2ce19c!8m2!3d50.8364654!4d4.3363414!16s%2Fg%2F11ddt3968l!19sChIJr6hTk23Ew0cRnOEsDSSPeQ0?authuser=0&hl=zh-TW&rclk=1
ChIJqSwYMPjFw0cR1isaEZgxLe8,La Fourmiliere,,False,263,"Name: Le Millepertuis
link: https://www.google.com/maps/search/Le+Millepertuis/@50.814513,4.2822262?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: Cafe D'Aumale
link: https://www.google.com/maps/search/Cafe+D%27Aumale/@50.839556699999996,4.312061?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Cafe La Resistance
link: https://www.google.com/maps/search/Cafe+La+Resistance/@50.8364719,4.3120839?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",http://la-fourmiliere.be/,La Fourmiliere (Ye Zhu ),https://www.google.com/maps/contrib/116588175944895316348,https://lh5.googleusercontent.com/p/AF1QipO-2Ui8rVHKoU8tau3L4BPEvtkj4OeGSODsTBwE=w408-h545-k-no,Ka Pei Dian ,"Ka Pei Dian , Jiu Ba ",4.7,12:00-00:00,Open All Days,,"La Fourmiliere, Rue d'Aumale 19c, 1070 Bruxelles, Bi Li Shi ","Pi Jiu , Jia Ge , Gai Nian , Bang Wan , Bing Gan , Ling , Bei Zi , Yin Du Nai Cha ",https://www.google.com/maps/place/La+Fourmili%C3%A8re/data=!4m7!3m6!1s0x47c3c5f830182ca9:0xef2d3198111a2bd6!8m2!3d50.8365553!4d4.307381!16s%2Fg%2F11gxrw_vxs!19sChIJqSwYMPjFw0cR1isaEZgxLe8?authuser=0&hl=zh-TW&rclk=1
ChIJFfDWIX7Fw0cRD4PrckIyJYE,Rocket's Specialty Coffee,,False,257,"Name: Friterie Stalle
link: https://www.google.com/maps/search/Friterie+Stalle/@50.7931514,4.3200724?authuser=0&hl=zh-TW&entry=ttu
Reviews: 542 reviews

Name: Dinette
link: https://www.google.com/maps/search/D%C3%AEnette/@50.813787399999995,4.3488039999999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: Kiosque Cafe Brasserie
link: https://www.google.com/maps/search/Kiosque+Caf%C3%A9+Brasserie/@50.80987880000001,4.3162907?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: L'horloge
link: https://www.google.com/maps/search/L%27horloge/@50.813405599999996,4.3386651999999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: Deliway Vorst
link: https://www.google.com/maps/search/Deliway+Vorst/@50.820107099999994,4.3246247?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.rocketscafe.be/,Rocket's Specialty Coffee (Ye Zhu ),https://www.google.com/maps/contrib/112722782273789382510,https://lh5.googleusercontent.com/p/AF1QipM50e7qymkZWoybCen8Vqr2UignefKI6uoDYBvK=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Zheng Liu Ka Pei Ba ",4.4,08:00-19:00,Open All Days,+32 2 303 64 64,"Rocket's Specialty Coffee, Bd de la Deuxieme Armee Britannique 3/9, 1190 Forest, Bi Li Shi ","You Le Chang , Jia Ge , Shu , Liu Hua Ti , Jia Chang , Gai Nian , Bing Gan , wifi, Qia Bu Qi Nuo , Wan Ju ",https://www.google.com/maps/place/Rocket%27s+Specialty+Coffee/data=!4m7!3m6!1s0x47c3c57e21d6f015:0x8125324272eb830f!8m2!3d50.8202568!4d4.3253866!16s%2Fg%2F11fkp_xgr1!19sChIJFfDWIX7Fw0cRD4PrckIyJYE?authuser=0&hl=zh-TW&rclk=1
ChIJOxm9UrjGw0cRnaVmMKK1rrM,TotalEnergies,,False,250,"Name: Shell Express
link: https://www.google.com/maps/search/Shell+Express/@50.8177283,4.3084222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 159 reviews

Name: Esso Anderlecht
link: https://www.google.com/maps/search/Esso+Anderlecht/@50.821188899999996,4.3077682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews

Name: louis delhaize
link: https://www.google.com/maps/search/louis+delhaize/@50.815675,4.307942199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Cora-tankstation
link: https://www.google.com/maps/search/Cora-tankstation/@50.819672000000004,4.2767867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Shell Express
link: https://www.google.com/maps/search/Shell+Express/@50.8812115,4.354133?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://services.totalenergies.be/,TotalEnergies (Ye Zhu ),https://www.google.com/maps/contrib/113008675328899655501,https://lh5.googleusercontent.com/p/AF1QipOQQb4if5oBd9psOv0mhFUkt4Gf1zpwJcfGiKt4=w408-h306-k-no,You Zhan ,"You Zhan , Ka Pei Dian , Za Zhi Dian , San Wen Zhi Dian ",4,06:00-19:30,Xing Qi Ri ,+32 2 524 28 00,"TotalEnergies, Bd Sylvain Dupuis 299, 1070 Anderlecht, Bi Li Shi ","Jia Ge , Xiao Rong , Ka Pei ",https://www.google.com/maps/place/TotalEnergies/data=!4m7!3m6!1s0x47c3c6b852bd193b:0xb3aeb5a23066a59d!8m2!3d50.8381!4d4.2851!16s%2Fg%2F1hflsvwq_!19sChIJOxm9UrjGw0cRnaVmMKK1rrM?authuser=0&hl=zh-TW&rclk=1
ChIJUcTPRQfEw0cRSbr3Qc9CP1w,TotalEnergies,,False,225,"Name: Shell Express
link: https://www.google.com/maps/search/Shell+Express/@50.8466983,4.2933897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 162 reviews

Name: Esso
link: https://www.google.com/maps/search/Esso/@50.8501039,4.3342751?authuser=0&hl=zh-TW&entry=ttu
Reviews: 111 reviews

Name: Cora-tankstation
link: https://www.google.com/maps/search/Cora-tankstation/@50.819672000000004,4.2767867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Texaco
link: https://www.google.com/maps/search/Texaco/@50.816381400000004,4.2632972?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Q8 easy
link: https://www.google.com/maps/search/Q8+easy/@50.8570753,4.3231828?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",https://services.totalenergies.be/fr/ma-station-service/me-rendre-en-station/comment-trouver-une-station-service-totalenergies-en,TotalEnergies (Ye Zhu ),https://www.google.com/maps/contrib/107067746709306740031,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DJ07gWCJjCKyFkx8WXLaWg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=315.61313&pitch=0&thumbfov=100,You Zhan ,"You Zhan , Ka Pei Dian , San Wen Zhi Dian ",4.2,07:00-18:30,Xing Qi Ri ,+32 2 410 98 56,"TotalEnergies, Ninoofsesteenweg 279, 1070 Anderlecht, Bi Li Shi ","Yuan Gong , Xiao Rong ",https://www.google.com/maps/place/TotalEnergies/data=!4m7!3m6!1s0x47c3c40745cfc451:0x5c3f42cf41f7ba49!8m2!3d50.8485!4d4.316!16s%2Fg%2F1vqmhjfw!19sChIJUcTPRQfEw0cRSbr3Qc9CP1w?authuser=0&hl=zh-TW&rclk=1
