place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_ZtRHscABDQRexqwGUqMwmw,Hands-On Coffee,,False,189,"Name: Studio Caffeine (Jordan)
link: https://www.google.com/maps/search/Studio+Caffeine+%28Jordan%29/@22.303930899999997,114.169822?authuser=0&hl=zh-TW&entry=ttu
Reviews: 775 reviews

Name: Alternative Cafe
link: https://www.google.com/maps/search/Alternative+Cafe/@22.3035233,114.17011330000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 198 reviews

Name: Heart Coffee
link: https://www.google.com/maps/search/Heart+Coffee/@22.3035195,114.1696181?authuser=0&hl=zh-TW&entry=ttu
Reviews: 165 reviews

Name: ELF Coffee Zuo Dun  Ka Pei Zhuan Men Dian 
link: https://www.google.com/maps/search/ELF+Coffee+%E4%BD%90%E6%95%A6+%E5%92%96%E5%95%A1%E5%B0%88%E9%96%80%E5%BA%97/@22.3069904,114.17070000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Cafe Addict
link: https://www.google.com/maps/search/Cafe+Addict/@22.3036673,114.17152519999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",https://www.handsoncoffee.com.hk/,Hands-On Coffee (Ye Zhu ),https://www.google.com/maps/contrib/117654590882741206798,https://lh5.googleusercontent.com/p/AF1QipPrwKteGHme6dlFIRMVwqZJ03_aZg9ZJK257CFM=w408-h408-k-no,Pei Xun Zhong Xin ,"Pei Xun Zhong Xin , Ka Pei Hong Bei Shang , Ka Pei Pi Fa Shang ",4,,Open All Days,6060 8796,Jian Sha Ju Ke Shi Dian Lu 8Lou 13Shi Huan Li Shang Ye Da Sha Hands-On Coffee 8/F,"Shu Fu , Shou , Zao Can , Sha Lu , Han Bao , Yi Fen , Tian Pin , Bei , Zhuang Xiu , Zuo ",https://www.google.com/maps/place/Hands-On+Coffee/data=!4m7!3m6!1s0x340400c71e519bfd:0x6cc28c4a19b01a7b!8m2!3d22.3020814!4d114.1759134!16s%2Fg%2F11bym_kn9q!19sChIJ_ZtRHscABDQRexqwGUqMwmw?authuser=0&hl=zh-TW&rclk=1
ChIJB8p6_DMBBDQRk0Z-7zTYnlo,An Le Jia Bei ,,False,93,"Name: Knockbox Coffee Company
link: https://www.google.com/maps/search/Knockbox+Coffee+Company/@22.3176204,114.17255829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 713 reviews

Name: Coffee Break
link: https://www.google.com/maps/search/Coffee+Break/@22.315861299999998,114.17136049999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews

Name: Jimmy's Coffee & Kitchen
link: https://www.google.com/maps/search/Jimmy%27s+Coffee+%26+Kitchen/@22.323892,114.170628?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews",https://coffeeanalog.hk/,An Le Jia Bei  (Ye Zhu ),https://www.google.com/maps/contrib/104710136770924660322,https://lh5.googleusercontent.com/p/AF1QipPc3pC9cVK11dPeMDfKBLgPlgJjIQIzJmGMLsQD=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,13:00-18:00,Open All Days,6711 5971,Wang Jiao Xi Yang Cai Bei Jie 169Hao An Le Jia Bei ,"Wei Shi Ji , Dan Gao , Bei , espresso, Bei Cha , Niang Zao , Dou Zi , Bang Wan , Xia Wu , Ma ",https://www.google.com/maps/place/%E5%AE%89%E6%A8%82%E7%8F%88%E7%90%B2/data=!4m7!3m6!1s0x34040133fc7aca07:0x5a9ed834ef7e4693!8m2!3d22.325818!4d114.168558!16s%2Fg%2F11lgygwhp1!19sChIJB8p6_DMBBDQRk0Z-7zTYnlo?authuser=0&hl=zh-TW&rclk=1
ChIJLcgVD2f_AzQRkUUqAJjWEVo,852HOME Xiang Gang Jia Ju ,,False,1,"Name: Homie Living - Jia Jia Ju Wang Gou Dian  | Xiang Gang Xian Shang Jia Ju Ping Tai 
link: https://www.google.com/maps/search/Homie+Living+-+%E5%82%A2%E4%BF%AC%E5%82%A2%E4%BF%B1%E7%B6%B2%E8%B3%BC%E5%BA%97+%7C+%E9%A6%99%E6%B8%AF%E7%B7%9A%E4%B8%8A%E5%AE%B6%E5%B1%85%E5%B9%B3%E5%8F%B0/@22.3135145,114.2226386?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: MyConcept Shek Tong Tsui Contemporary Furniture Store
link: https://www.google.com/maps/search/MyConcept+Shek+Tong+Tsui+Contemporary+Furniture+Store/@22.286979199999998,114.1334528?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: SofaGoodSofa HKU Showroom
link: https://www.google.com/maps/search/SofaGoodSofa+HKU+Showroom/@22.2869325,114.13364299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Ye Chang Jia Zhuang Shi Gong Si 
link: https://www.google.com/maps/search/%E6%A5%AD%E6%98%8C%E5%82%A2%E4%BF%AC%E8%A3%9D%E9%A3%BE%E5%85%AC%E5%8F%B8/@22.2868495,114.1415615?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: ASTEL-TKS Office
link: https://www.google.com/maps/search/ASTEL-TKS+Office/@22.285038,114.1415433?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://852-home.com/,852HOME Xiang Gang Jia Ju  (Ye Zhu ),https://www.google.com/maps/contrib/104944026158274436081,https://lh5.googleusercontent.com/p/AF1QipOKEd4nZ2IfQ0NDGKFSMmhdt5HXn0R9r31QL0eh=w426-h240-k-no,Jia Dian ,Jia Dian ,5,11:00-20:00,Open All Days,2887 7991,"Sai Ying Pun, Queen's Rd W, 323Hao An Da Zhong Xin 852HOME Xiang Gang Jia Ju  2Lou Quan Ceng ",,https://www.google.com/maps/place/852HOME+%E9%A6%99%E6%B8%AF%E5%AE%B6%E5%B1%85/data=!4m7!3m6!1s0x3403ff670f15c82d:0x5a11d698002a4591!8m2!3d22.2870453!4d114.1418984!16s%2Fg%2F11rwvgqw_d!19sChIJLcgVD2f_AzQRkUUqAJjWEVo?authuser=0&hl=zh-TW&rclk=1
ChIJJ_zvQlcBBDQRruBhjHCbTi4,Coffvengers Coffee Academy,,False,,"Name: Coffee Corner by FOREX
link: https://www.google.com/maps/search/Coffee+Corner+by+FOREX/@22.322350999999998,114.208449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Germinate Coffee Roastery
link: https://www.google.com/maps/search/Germinate+Coffee+Roastery/@22.3162894,114.2124495?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: The Coffee Gallery Ka Pei Jia Le 
link: https://www.google.com/maps/search/The+Coffee+Gallery+%E5%92%96%E5%95%A1%E5%AE%B6%E6%A8%82/@22.323850999999998,114.210443?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: FREEOCLOCK TEA HOUSE
link: https://www.google.com/maps/search/FREEOCLOCK+TEA+HOUSE/@22.3249024,114.21050059999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.coffvengers.com/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D472570972857656728,Coffvengers Coffee Academy (Ye Zhu ),https://www.google.com/maps/contrib/101316823078149502811,https://lh5.googleusercontent.com/p/AF1QipOxJpmWxFQENuX5dP7ZIeInrEnkPy5nHgJ-b5vL=w408-h306-k-no,Jiao Yu Zhong Xin ,"Jiao Yu Zhong Xin , Jiao Yu Gu Wen ",,10:00-18:00,Xing Qi Ri ,6627 6488,"Coffvengers Coffee Academy, Huan Qiu Gong Shang Da Sha 20 Sheung Yuet Rd, Kowloon Bay",,https://www.google.com/maps/place/Coffvengers+Coffee+Academy/data=!4m7!3m6!1s0x3404015742effc27:0x2e4e9b708c61e0ae!8m2!3d22.3215895!4d114.2106869!16s%2Fg%2F11t1gkdrz1!19sChIJJ_zvQlcBBDQRruBhjHCbTi4?authuser=0&hl=zh-TW&rclk=1
ChIJnyxVkzT_AzQR-V7aqo5blzA,Skyler Mattress - Sai Ying Pun (Hong Kong Furniture),,False,,"Name: Hush Home - Sheung Wan Flagship
link: https://www.google.com/maps/search/Hush+Home+-+Sheung+Wan+Flagship/@22.2877826,114.1489052?authuser=0&hl=zh-TW&entry=ttu
Reviews: 342 reviews

Name: Stockroom Contemporary Furniture Outlet Hong Kong Jia , Jia Ju 
link: https://www.google.com/maps/search/Stockroom+Contemporary+Furniture+Outlet+Hong+Kong+%E5%82%A2%E4%BF%AC%2C+%E5%AE%B6%E5%85%B7/@22.2869814,114.13347019999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 146 reviews

Name: Savoir Beds Hong Kong
link: https://www.google.com/maps/search/Savoir+Beds+Hong+Kong/@22.282162,114.156678?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: 852HOME Xiang Gang Jia Ju 
link: https://www.google.com/maps/search/852HOME+%E9%A6%99%E6%B8%AF%E5%AE%B6%E5%B1%85/@22.2870453,114.14189839999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.skyler.hk/,Skyler Mattress - Sai Ying Pun (Hong Kong Furniture) (Ye Zhu ),https://www.google.com/maps/contrib/112989597314521930681,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nSgmtpAx8Eud-2a0l6hYfw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=38.076317&pitch=0&thumbfov=100,Chuang Ru Dian ,Chuang Ru Dian ,,11:00-20:00,Open All Days,2887 7991,"2/F, Skyler Mattress - Sai Ying Pun (Hong Kong Furniture), An Da Zhong Xin 323 Queen's Rd W, Sai Ying Pun",,https://www.google.com/maps/place/Skyler+Mattress+-+Sai+Ying+Pun+%28Hong+Kong+Furniture%29/data=!4m7!3m6!1s0x3403ff3493552c9f:0x30975b8eaada5ef9!8m2!3d22.2870453!4d114.1418984!16s%2Fg%2F11k3pzt_6l!19sChIJnyxVkzT_AzQR-V7aqo5blzA?authuser=0&hl=zh-TW&rclk=1
ChIJ8wFODjf0AzQRg0sBJ_OnL7A,Andes Cafe,,False,36,"Name: Ming Dian Ka Pei Yu Cha 
link: https://www.google.com/maps/search/%E5%90%8D%E5%85%B8%E5%92%96%E5%95%A1%E8%AA%9E%E8%8C%B6/@22.5412,114.0889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: andes cafe
link: https://www.google.com/maps/search/andes+cafe/@22.541698999999998,114.065256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Andes cafe
link: https://www.google.com/maps/search/Andes+cafe/@22.535223,114.068811?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: And Cafe
link: https://www.google.com/maps/search/And+Cafe/@22.522199999999998,114.0441?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Endian Coffee
link: https://www.google.com/maps/search/Endian+Coffee/@22.544382,114.07091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Andes Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMqq8tujwhvllZ6zSoOcmblKXW_IbagMALL9UKw=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4,,Open All Days,+86 755 2399 0415,Zhong Guo Yan Dong Sheng Shen Zhen Shi Fu Tian Qu Yuan Ling Shen Nan Da Dao 2008Hao Zhong Guo Feng Huang Da Sha Andes Cafe You Zheng Bian Ma : 518026,,https://www.google.com/maps/place/Andes+Cafe/data=!4m7!3m6!1s0x3403f4370e4e01f3:0xb02fa7f327014b83!8m2!3d22.5449729!4d114.081216!16s%2Fg%2F1td9bc3v!19sChIJ8wFODjf0AzQRg0sBJ_OnL7A?authuser=0&hl=zh-TW&rclk=1
ChIJhaIf6YD_AzQRXGoCxjqbFpM,Andes Plaza,,False,7,"Name: An Da Shang Chang 
link: https://www.google.com/maps/search/%E5%AE%89%E9%81%94%E5%95%86%E5%A0%B4/@22.3209129,114.2338483?authuser=0&hl=zh-TW&entry=ttu
Reviews: 734 reviews

Name: Xin An Da Lou 
link: https://www.google.com/maps/search/%E6%96%B0%E5%AE%89%E5%A4%A7%E6%A8%93/@22.285930999999998,114.13553999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Hua Ming Zhong Xin 
link: https://www.google.com/maps/search/%E8%8F%AF%E6%98%8E%E4%B8%AD%E5%BF%83/@22.2863243,114.13720119999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Zhong Yuan Zhong Xin Shang Chang 
link: https://www.google.com/maps/search/%E4%B8%AD%E6%BA%90%E4%B8%AD%E5%BF%83%E5%95%86%E5%A0%B4/@22.2852239,114.14998879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: An Le Da Lou 
link: https://www.google.com/maps/search/%E5%AE%89%E6%A8%82%E5%A4%A7%E6%A8%93/@22.286361199999998,114.13326479999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Andes Plaza (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOLTLyaiHpat_1AO0vhgG7qPTvKShbVFoToDi_J=w408-h306-k-no,Zhu Zhai ,Zhu Zhai ,3.9,06:00-18:00,Open All Days,,Xi Ying Pan Huang Hou Da Dao Xi 323Hao Andes Plaza,,https://www.google.com/maps/place/Andes+Plaza/data=!4m7!3m6!1s0x3403ff80e91fa285:0x93169b3ac6026a5c!8m2!3d22.2870862!4d114.1419007!16s%2Fg%2F1v16mxqq!19sChIJhaIf6YD_AzQRXGoCxjqbFpM?authuser=0&hl=zh-TW&rclk=1
ChIJHSZVfr_vAzQR_iTThmMHAlY,Andes Cafe,,False,1,"Name: Andes Cafee
link: https://www.google.com/maps/search/Andes+Cafee/@22.485353,113.92441199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Ya Re Dai 
link: https://www.google.com/maps/search/%E4%BA%9E%E7%86%B1%E5%B8%B6/@22.485391,113.923222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Nanhai Tea House
link: https://www.google.com/maps/search/Nanhai+Tea+House/@22.4843252,113.92054440000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: World Coffee House
link: https://www.google.com/maps/search/World+Coffee+House/@22.487008,113.922511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: andes cafe
link: https://www.google.com/maps/search/andes+cafe/@22.541698999999998,114.065256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Andes Cafe (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,+86 755 2668 6704,Zhong Guo Yan Dong Sheng Shen Zhen Shi Nan Shan Qu Wang Hai Lu Nan Hai Mei Gui Yuan 40Hao Shang Pu (Jin Nan Hai Mei Gui Yuan 2Qi Zheng Men )Andes Cafe,,https://www.google.com/maps/place/Andes+Cafe/data=!4m7!3m6!1s0x3403efbf7e55261d:0x5602076386d324fe!8m2!3d22.484149!4d113.928256!16s%2Fg%2F1tffrjbq!19sChIJHSZVfr_vAzQR_iTThmMHAlY?authuser=0&hl=zh-TW&rclk=1
ChIJyw7pMwX0AzQRp3vWw3N4kgo,Andes cafe,,False,,"Name: Xia Coffee
link: https://www.google.com/maps/search/Xia+Coffee/@22.53088,114.07024?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: andes cafe
link: https://www.google.com/maps/search/andes+cafe/@22.541698999999998,114.065256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Andes Cafe
link: https://www.google.com/maps/search/Andes+Cafe/@22.534827,114.059574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Yong He Da Wang 
link: https://www.google.com/maps/search/%E6%B0%B8%E5%92%8C%E5%A4%A7%E7%8E%8B/@22.534534,114.068609?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: And Cafe
link: https://www.google.com/maps/search/And+Cafe/@22.522199999999998,114.0441?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Andes cafe (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,+86 755 8280 1089,Zhong Guo Yan Dong Sheng Shen Zhen Shi Fu Tian Qu Fu Hua Lu 3Hao Yi Jing Zhong Xin Cheng fl1016-fl1017Hao Andes cafe You Zheng Bian Ma : 518033,,https://www.google.com/maps/place/Andes+cafe/data=!4m7!3m6!1s0x3403f40533e90ecb:0xa927873c3d67ba7!8m2!3d22.535223!4d114.068811!16s%2Fg%2F1tfqz03g!19sChIJyw7pMwX0AzQRp3vWw3N4kgo?authuser=0&hl=zh-TW&rclk=1
ChIJa4NPtYrzAzQRH1XbKCsevyk,Andes Cafe,,False,,"Name: Ming Dian Ka Pei Yu Cha 
link: https://www.google.com/maps/search/%E5%90%8D%E5%85%B8%E5%92%96%E5%95%A1%E8%AA%9E%E8%8C%B6/@22.53264,114.082084?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: andes cafe
link: https://www.google.com/maps/search/andes+cafe/@22.541698999999998,114.065256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Andes cafe
link: https://www.google.com/maps/search/Andes+cafe/@22.535223,114.068811?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: And Cafe
link: https://www.google.com/maps/search/And+Cafe/@22.522199999999998,114.0441?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: As Coffee
link: https://www.google.com/maps/search/As+Coffee/@22.52317,114.04561?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Andes Cafe (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,+86 755 8826 6143,Zhong Guo Yan Dong Sheng Shen Zhen Shi Fu Tian Qu Shen Nan Lu Tou Zi Da Sha Zhan Hang Tian Da Sha Shou Ceng Andes Cafe,,https://www.google.com/maps/place/Andes+Cafe/data=!4m7!3m6!1s0x3403f38ab54f836b:0x29bf1e2b28db551f!8m2!3d22.551614!4d114.047371!16s%2Fg%2F1tgnzdj3!19sChIJa4NPtYrzAzQRH1XbKCsevyk?authuser=0&hl=zh-TW&rclk=1
