place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJg7yZRS0T-DkR2PItnsPS9aI,HAPPY HOURS-Best Cafe Shop In Arambh|Best Hookah Cafe In Arambagh,,False,23,"Name: Cha er Hut
link: https://www.google.com/maps/search/Cha+er+Hut/@22.902001199999997,87.77424289999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: ARAMBAGH COFEE HOUSE
link: https://www.google.com/maps/search/ARAMBAGH+COFEE+HOUSE/@22.8868416,87.78348779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Asik Coffee Shop
link: https://www.google.com/maps/search/Asik+Coffee+Shop/@22.8768341,87.78635849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: caa dokaan
link: https://www.google.com/maps/search/%E0%A6%9A%E0%A6%BE+%E0%A6%A6%E0%A7%8B%E0%A6%95%E0%A6%BE%E0%A6%A8/@22.884833999999998,87.7734117?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://happyhours-coffeeshop.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,HAPPY HOURS-Best Cafe Shop In Arambh|Best Hookah Cafe In Arambagh (Ye Zhu ),https://www.google.com/maps/contrib/103012983393598241757,https://lh5.googleusercontent.com/p/AF1QipN4nvnHro9Gf7s7m_JVT9JXJ40ke2sz1RQR7wga=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Shui Yan Dian ",4.8,11:00-22:00,Open All Days,+91 79088 74336,"HAPPY HOURS-Best Cafe Shop In Arambh|Best Hookah Cafe In Arambagh, Pwallishree, Arambag, Paschim Shibpur P, West Bengal 712601Yin Du ",,https://www.google.com/maps/place/HAPPY+HOURS-Best+Cafe+Shop+In+Arambh%7CBest+Hookah+Cafe+In+Arambagh/data=!4m7!3m6!1s0x39f8132d4599bc83:0xa2f5d2c39e2df2d8!8m2!3d22.8905505!4d87.7795205!16s%2Fg%2F11k4l63gv4!19sChIJg7yZRS0T-DkR2PItnsPS9aI?authuser=0&hl=zh-TW&rclk=1
ChIJ3fw6CaMX-DkRvceg5G7UAlo,Raw-Cha.Com (r-caa.km),,False,15,"Name: Cha er Hut
link: https://www.google.com/maps/search/Cha+er+Hut/@22.902001199999997,87.77424289999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Rakib Tea Shop & Stationery
link: https://www.google.com/maps/search/Rakib+Tea+Shop+%26+Stationery/@22.9063288,87.9060628?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: caa dokaan
link: https://www.google.com/maps/search/%E0%A6%9A%E0%A6%BE+%E0%A6%A6%E0%A7%8B%E0%A6%95%E0%A6%BE%E0%A6%A8/@22.884833999999998,87.7734117?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://raw-cha.com.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Raw-Cha.Com (r-caa.km) (Ye Zhu ),https://www.google.com/maps/contrib/114288428352641791802,https://lh5.googleusercontent.com/p/AF1QipPKXxfVkl5nseCWT0Y_SwryvSP9b5MhA4xIoj93=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.9,,Open All Days,+91 83919 36500,"Raw-Cha.Com (r-caa.km), Bhatarmore (Beli, SH 2, Goghat, Arambag, West Bengal 712602Yin Du ",Bei ,https://www.google.com/maps/place/Raw-Cha.Com+%28%E0%A6%B0-%E0%A6%9A%E0%A6%BE.%E0%A6%95%E0%A6%AE%29/data=!4m7!3m6!1s0x39f817a3093afcdd:0x5a02d46ee4a0c7bd!8m2!3d22.8923125!4d87.7635625!16s%2Fg%2F11s61t7ph9!19sChIJ3fw6CaMX-DkRvceg5G7UAlo?authuser=0&hl=zh-TW&rclk=1
ChIJI2NWDu4T-DkRq4zXhzChISo,Coffee House,,False,582,"Name: Taj Biryani House
link: https://www.google.com/maps/search/Taj+Biryani+House/@22.8748386,87.7940376?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews

Name: HOME KITCHEN
link: https://www.google.com/maps/search/HOME+KITCHEN/@22.8835377,87.7918807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: THE ADWAIT CAFE & RESTAURANT
link: https://www.google.com/maps/search/THE+ADWAIT+CAFE+%26+RESTAURANT/@22.8822424,87.789253?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: ARAMBAGH COFEE HOUSE
link: https://www.google.com/maps/search/ARAMBAGH+COFEE+HOUSE/@22.8868416,87.78348779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Coffee House (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP6JN3_Xr3HwookbAGsV0RD9C4XH_WBYlkILyNF=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Ka Pei Ting , Dong Bei Yin Du Can Ting , Nan Yin Du Can Ting ",4,09:00-22:00,Open All Days,+91 3211 256 097,"Ward No.13, Coffee House, Ahilyabai Holkar Rd, Arambag, West Bengal 712601Yin Du ","Shi Wu Pin Zhi , Jia Ge , Jing Yan , Ji Rou , Xiao Chi ",https://www.google.com/maps/place/Coffee+House/data=!4m7!3m6!1s0x39f813ee0e566323:0x2a21a13087d78cab!8m2!3d22.8782443!4d87.7906885!16s%2Fg%2F11gcz3152l!19sChIJI2NWDu4T-DkRq4zXhzChISo?authuser=0&hl=zh-TW&rclk=1
ChIJfeYMERMT-DkRxxIeMhCStcw,Cafe Vibe,,False,151,,,Cafe Vibe (Ye Zhu ),https://www.google.com/maps/contrib/113627681151340925189,https://lh5.googleusercontent.com/p/AF1QipOks7dEBf2HROfQsgaKFSPyIb-uV1fUpFMo-iOK=w408-h645-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,12:30-23:00,Open All Days,,"Cafe Vibe, More, Basantapur, Arambag, West Bengal 712601Yin Du ","Xing Wei , Shi Wu Pin Zhi , Jia Ting , Suan , Ji Rou , atmosphere, Da Xia , Mei Gan , Shu Liang ",https://www.google.com/maps/place/Cafe+Vibe/data=!4m7!3m6!1s0x39f81313110ce67d:0xccb59210321e12c7!8m2!3d22.8839415!4d87.7874533!16s%2Fg%2F11l1n2mrck!19sChIJfeYMERMT-DkRxxIeMhCStcw?authuser=0&hl=zh-TW&rclk=1
ChIJW5ZC7-wT-DkRHkW7u3XQ6iw,Take To Adda,,False,11,"Name: Coffee House
link: https://www.google.com/maps/search/Coffee+House/@22.8782443,87.7906885?authuser=0&hl=zh-TW&entry=ttu
Reviews: 580 reviews

Name: Moyna tiffin house
link: https://www.google.com/maps/search/Moyna+tiffin+house/@22.8793998,87.79076669999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: THE ADWAIT CAFE & RESTAURANT
link: https://www.google.com/maps/search/THE+ADWAIT+CAFE+%26+RESTAURANT/@22.8822424,87.789253?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: khlil paan sttl
link: https://www.google.com/maps/search/%E0%A6%96%E0%A6%B2%E0%A6%BF%E0%A6%B2+%E0%A6%AA%E0%A6%BE%E0%A6%A8+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%B2/@22.8832602,87.78401029999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Take To Adda (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN8Uml3bJeq25yFqfvgHnrRd5HhzFponRuA9HVV=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,08:00-23:00,Xing Qi Ri ,+91 95635 46821,"VQGV+2Q3 Take To Adda, Arambag, West Bengal 712601Yin Du ",,https://www.google.com/maps/place/Take+To+Adda/data=!4m7!3m6!1s0x39f813ecef42965b:0x2cead075bbbb451e!8m2!3d22.8750164!4d87.7944071!16s%2Fg%2F11ddx56dq8!19sChIJW5ZC7-wT-DkRHkW7u3XQ6iw?authuser=0&hl=zh-TW&rclk=1
ChIJ346mpu8V-DkRvuJstHYWZEc,Subho Tea stall,,False,4,"Name: Moyna tiffin house
link: https://www.google.com/maps/search/Moyna+tiffin+house/@22.8793998,87.79076669999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: khlil paan sttl
link: https://www.google.com/maps/search/%E0%A6%96%E0%A6%B2%E0%A6%BF%E0%A6%B2+%E0%A6%AA%E0%A6%BE%E0%A6%A8+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%B2/@22.8832602,87.78401029999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: ARAMBAGH COFEE HOUSE
link: https://www.google.com/maps/search/ARAMBAGH+COFEE+HOUSE/@22.8868416,87.78348779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Subho Tea stall (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOQVgtb_W6SAJuHUTkY7nPjaOHiF37GHT_bnfhF=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,5,07:03-22:03,Open All Days,,"VQVQ+59C Subho Tea stall, Arambag, Daulatpur, West Bengal 712601Yin Du ",,https://www.google.com/maps/place/Subho+Tea+stall/data=!4m7!3m6!1s0x39f815efa6a68edf:0x47641676b46ce2be!8m2!3d22.8929434!4d87.7883797!16s%2Fg%2F11t30l6b6n!19sChIJ346mpu8V-DkRvuJstHYWZEc?authuser=0&hl=zh-TW&rclk=1
ChIJ6QxtpGQT-DkRdVoZ8W4qMzs,Jamai tea stall,,False,4,"Name: Tapu Tea corner and confectionery
link: https://www.google.com/maps/search/Tapu+Tea+corner+and+confectionery/@22.8868853,87.7829872?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Apanjan Tea Stall
link: https://www.google.com/maps/search/Apanjan+Tea+Stall/@22.886668099999998,87.7878483?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Jamai tea stall (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPhU1uiPkM3qviHavCcWD7qQLHleCOGSRmO0dml=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"VQPM+V92 Jamai tea stall, Unnamed Road, Arambag, Paschim Shibpur P, West Bengal 712601Yin Du ",,https://www.google.com/maps/place/Jamai+tea+stall/data=!4m7!3m6!1s0x39f81364a46d0ce9:0x3b332a6ef1195a75!8m2!3d22.8871422!4d87.7833863!16s%2Fg%2F11h27zfsg9!19sChIJ6QxtpGQT-DkRdVoZ8W4qMzs?authuser=0&hl=zh-TW&rclk=1
ChIJa5ZvVPIX-DkReX1kswa4ybI,Cha er Hut,,False,3,"Name: Mr Chai Wala & Mr Momo Wala
link: https://www.google.com/maps/search/Mr+Chai+Wala+%26+Mr+Momo+Wala/@22.892051,87.78852739999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 300 reviews

Name: HAPPY HOURS-Best Cafe Shop In Arambh|Best Hookah Cafe In Arambagh
link: https://www.google.com/maps/search/HAPPY+HOURS-Best+Cafe+Shop+In+Arambh%7CBest+Hookah+Cafe+In+Arambagh/@22.8905505,87.7795205?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: THE ADWAIT CAFE & RESTAURANT
link: https://www.google.com/maps/search/THE+ADWAIT+CAFE+%26+RESTAURANT/@22.8822424,87.789253?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: ARAMBAGH COFEE HOUSE
link: https://www.google.com/maps/search/ARAMBAGH+COFEE+HOUSE/@22.8868416,87.78348779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cha er Hut (Ye Zhu ),https://www.google.com/maps/contrib/101512741668948315041,https://lh5.googleusercontent.com/p/AF1QipNmSSmCAeBetAvN-zxW1JBdqYwgidGBDSbjawQr=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"Cha er Hut, Arambagh - Burdwan Rd, Arambag, Daulatpur, West Bengal 712601Yin Du ",,https://www.google.com/maps/place/Cha+er+Hut/data=!4m7!3m6!1s0x39f817f2546f966b:0xb2c9b806b3647d79!8m2!3d22.9020012!4d87.7742429!16s%2Fg%2F11s635kbyh!19sChIJa5ZvVPIX-DkReX1kswa4ybI?authuser=0&hl=zh-TW&rclk=1
ChIJVTB9VvcT-DkRYoN6C9WY6Wo,Molin Tea Shop,,False,3,"Name: Mr Chai Wala & Mr Momo Wala
link: https://www.google.com/maps/search/Mr+Chai+Wala+%26+Mr+Momo+Wala/@22.892051,87.78852739999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 300 reviews

Name: Indian Tea and TiffIn Time
link: https://www.google.com/maps/search/Indian+Tea+and+TiffIn+Time/@22.8831067,87.76960629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: khlil paan sttl
link: https://www.google.com/maps/search/%E0%A6%96%E0%A6%B2%E0%A6%BF%E0%A6%B2+%E0%A6%AA%E0%A6%BE%E0%A6%A8+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%B2/@22.8832602,87.78401029999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Molin Tea Shop (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kh1iURSB_FcpUQXKV9dMXA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.113903&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,3.3,,Open All Days,,"VQPP+2G4 Molin Tea Shop, SH 2, Arambag, West Bengal 712601Yin Du ",,https://www.google.com/maps/place/Molin+Tea+Shop/data=!4m7!3m6!1s0x39f813f7567d3055:0x6ae998d50b7a8362!8m2!3d22.8850102!4d87.7863181!16s%2Fg%2F11h9zbr446!19sChIJVTB9VvcT-DkRYoN6C9WY6Wo?authuser=0&hl=zh-TW&rclk=1
ChIJs2hA1YcR-DkRThRtcZy89rc,Indian Tea and TiffIn Time,,False,2,"Name: Moyna tiffin house
link: https://www.google.com/maps/search/Moyna+tiffin+house/@22.8793998,87.79076669999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: SAHEB TIFFIN HOUSE
link: https://www.google.com/maps/search/SAHEB+TIFFIN+HOUSE/@22.882258500000002,87.73487349999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Apanjan Tea Stall
link: https://www.google.com/maps/search/Apanjan+Tea+Stall/@22.886668099999998,87.7878483?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Indian Tea and TiffIn Time (Ye Zhu ),https://www.google.com/maps/contrib/109561691525110804213,https://lh5.googleusercontent.com/p/AF1QipO5VxHOP-lyEzHmqFzlMYlWdvH_XfKnD5PnM8PH=w533-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,,"Indian Tea and TiffIn Time, Arambagh-Kamarpukur Road, Arambag, West Bengal 712616Yin Du ",,https://www.google.com/maps/place/Indian+Tea+and+TiffIn+Time/data=!4m7!3m6!1s0x39f81187d54068b3:0xb7f6bc9c716d144e!8m2!3d22.8831067!4d87.7696063!16s%2Fg%2F11ptx8h18k!19sChIJs2hA1YcR-DkRThRtcZy89rc?authuser=0&hl=zh-TW&rclk=1
