place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ81w02S7lljMR1vv5K5k6wdg,Banal na Bundok Nature Park,,False,66,"Name: KAFFE UNO
link: https://www.google.com/maps/search/KAFF%C3%88+UNO/@15.216600199999997,120.71186859999999?authuser=0&hl=en&entry=ttu
Reviews: 103 reviews

Name: Banal A Bunduc Dalan Ning Krus
link: https://www.google.com/maps/search/Banal+A+Bunduc+Dalan+Ning+Krus/@15.2090356,120.724995?authuser=0&hl=en&entry=ttu
Reviews: 61 reviews

Name: Cafe Beni
link: https://www.google.com/maps/search/Caf%C3%A9+B%C3%A9ni/@15.2139043,120.6625278?authuser=0&hl=en&entry=ttu
Reviews: 23 reviews

Name: Bale Cafe
link: https://www.google.com/maps/search/Bale+Caf%C3%A9/@15.214866899999999,120.6644471?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews

Name: BANAL NA BUNDOK Station 6
link: https://www.google.com/maps/search/BANAL+NA+BUNDOK+Station+6/@15.2128362,120.71694199999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/banalnabundoknaturepark,Banal na Bundok Nature Park (Owner),https://www.google.com/maps/contrib/101621365071250079112,https://lh5.googleusercontent.com/p/AF1QipP86_oR4hO1SrY34nCJZs1kiRJFY7DQqyXiD5cQ=w408-h335-k-no,Cafe,Cafe,4.5,6 AM-8 PM,Open All Days,+63 906 571 5708,"6P78+H2G Banal na Bundok Nature Park, Banal na Bundok Dalan ning Krus 7th Station, Orchard Village, Magalang, 2011 Pampanga, Philippines",,https://www.google.com/maps/place/Banal+na+Bundok+Nature+Park/data=!4m7!3m6!1s0x3396e52ed9345cf3:0xd8c13a992bf9fbd6!8m2!3d15.2118489!4d120.7178084!16s%2Fg%2F11rrp49wb5!19sChIJ81w02S7lljMR1vv5K5k6wdg?authuser=0&hl=en&rclk=1
ChIJvZ2SoojvljMRXsXTx_msbYM,Cafe Alaya,,False,41,"Name: KAFFE UNO
link: https://www.google.com/maps/search/KAFF%C3%88+UNO/@15.216600199999997,120.71186859999999?authuser=0&hl=en&entry=ttu
Reviews: 103 reviews

Name: Cafe Adrianne
link: https://www.google.com/maps/search/Cafe+Adrianne/@15.2210859,120.65807439999999?authuser=0&hl=en&entry=ttu
Reviews: 25 reviews

Name: Bale Cafe
link: https://www.google.com/maps/search/Bale+Caf%C3%A9/@15.214866899999999,120.6644471?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews

Name: Kape Alasas
link: https://www.google.com/maps/search/Kape+Alasas/@15.208886999999999,120.661228?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Cafe
link: https://www.google.com/maps/search/Cafe/@15.216976,120.7088668?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/cafealayaph/,Cafe Alaya (Owner),https://www.google.com/maps/contrib/107313968535948085691,https://lh5.googleusercontent.com/p/AF1QipOrZnHvxkW8c3aHDN59TnOr2CSYR0PcXsXaPpc-=w408-h725-k-no,Coffee shop,Coffee shop,4.8,9 AM-9 PM,"Monday, Tuesday, Wednesday, Thursday, Friday",,"Cafe Alaya, Tent City, Ayala, Magalang, 2011 Pampanga, Philippines",sandwiches,https://www.google.com/maps/place/Cafe+Alaya/data=!4m7!3m6!1s0x3396ef88a2929dbd:0x836dacf9c7d3c55e!8m2!3d15.220691!4d120.7053814!16s%2Fg%2F11ph57pd6c!19sChIJvZ2SoojvljMRXsXTx_msbYM?authuser=0&hl=en&rclk=1
ChIJ23qlRU_lljMROzUQlIOwjxc,Kofeya Cafe,,False,32,"Name: Clad Cafe
link: https://www.google.com/maps/search/Clad+Cafe/@15.125199900000002,120.77589419999998?authuser=0&hl=en&entry=ttu
Reviews: 28 reviews

Name: Mang Cha-a
link: https://www.google.com/maps/search/Mang+Cha-a/@15.1475162,120.76863279999999?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Cafe Jello
link: https://www.google.com/maps/search/Caf%C3%A9+Jello/@15.1356249,120.77378350000001?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: M.Tea Cafe
link: https://www.google.com/maps/search/M.Tea+Cafe/@15.1587596,120.7738364?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Day Tea Cafe
link: https://www.google.com/maps/search/Day+Tea+Cafe/@15.1514033,120.74338800000001?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/kofeyacafe/%3Fref%3Dpy_c,Kofeya Cafe (Owner),https://www.google.com/maps/contrib/112256432751702660004,https://lh5.googleusercontent.com/p/AF1QipNJ-gUAxdk_V9xSSC26XNT0pL0W3ekL4dB7naUj=w408-h875-k-no,Coffee shop,Coffee shop,4.5,11 AM-10 PM,Open All Days,,"Kofeya Cafe, Arayat, Pampanga, Philippines",,https://www.google.com/maps/place/Kofeya+Cafe/data=!4m7!3m6!1s0x3396e54f45a57adb:0x178fb0839410353b!8m2!3d15.1504468!4d120.7453573!16s%2Fg%2F11q26z9h65!19sChIJ23qlRU_lljMROzUQlIOwjxc?authuser=0&hl=en&rclk=1
ChIJxQE8PgLvljMRhGHntLIF650,URBAN POINT PAMPANGA,,False,21,"Name: Moonlight Cafe
link: https://www.google.com/maps/search/Moonlight+Cafe/@15.2173047,120.66165050000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Cupampangan
link: https://www.google.com/maps/search/Cupampangan/@15.2058055,120.66316459999997?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: CoFFee
link: https://www.google.com/maps/search/CoFFee/@15.213765,120.66115969999998?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: BREW BEN
link: https://www.google.com/maps/search/BREW+BEN/@15.1894404,120.63578000000001?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/profile.php%3Fid%3D100088113235151%26mibextid%3DZbWKwL,URBAN POINT PAMPANGA (Owner),,https://lh5.googleusercontent.com/p/AF1QipNvvkjZvPDQFVmmfLSN_L2R808DiACSPglO3XnF=w408-h306-k-no,Coffee shop,Coffee shop,3.9,11 AM-10 PM,Open All Days,+63 956 986 8881,"5JVP+8RX URBAN POINT PAMPANGA, Magalang, Pampanga, Philippines",buffet,https://www.google.com/maps/place/URBAN+POINT+PAMPANGA/data=!4m7!3m6!1s0x3396ef023e3c01c5:0x9deb05b2b4e76184!8m2!3d15.1933547!4d120.6371137!16s%2Fg%2F11k3zjl2ft!19sChIJxQE8PgLvljMRhGHntLIF650?authuser=0&hl=en&rclk=1
ChIJnbI1Hu7vljMRAv4tOlRv02I,Bale Cafe,,False,10,"Name: KAFFE UNO
link: https://www.google.com/maps/search/KAFF%C3%88+UNO/@15.216600199999997,120.71186859999999?authuser=0&hl=en&entry=ttu
Reviews: 103 reviews

Name: Cafe Alaya
link: https://www.google.com/maps/search/Cafe+Alaya/@15.220690999999999,120.7053814?authuser=0&hl=en&entry=ttu
Reviews: 40 reviews

Name: Cafe Beni
link: https://www.google.com/maps/search/Caf%C3%A9+B%C3%A9ni/@15.2139043,120.6625278?authuser=0&hl=en&entry=ttu
Reviews: 23 reviews

Name: Kape Alasas
link: https://www.google.com/maps/search/Kape+Alasas/@15.208886999999999,120.661228?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Bale Kusina Catering Service
link: https://www.google.com/maps/search/Bale+Kusina+Catering+Service/@15.2186053,120.66390100000001?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews",https://m.facebook.com/Bale-Caf%25C3%25A9-112474694223697/,Bale Cafe (Owner),https://www.google.com/maps/contrib/107633281413876142015,https://lh5.googleusercontent.com/p/AF1QipMfQ5d8qlCk8LWqK_RstjfgT4dbFELgA8Ls0MiM=w408-h544-k-no,Coffee shop,Coffee shop,4.6,2-11 PM,Open All Days,,"Bale Cafe, Magalang, Pampanga, Philippines",,https://www.google.com/maps/place/Bale+Caf%C3%A9/data=!4m7!3m6!1s0x3396efee1e35b29d:0x62d36f543a2dfe02!8m2!3d15.2148669!4d120.6644471!16s%2Fg%2F11spxmh683!19sChIJnbI1Hu7vljMRAv4tOlRv02I?authuser=0&hl=en&rclk=1
ChIJ32c0LhfvljMRMownQ4bKnbE,Burrito & Beans,,False,7,"Name: es*cafe
link: https://www.google.com/maps/search/es%E2%80%A2cafe/@15.151254899999998,120.7706781?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Cafe Bale Batu
link: https://www.google.com/maps/search/Cafe+Bale+Batu/@15.190344399999999,120.70019549999999?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: Bite & Beans Cafe
link: https://www.google.com/maps/search/Bite+%26+Beans+Cafe/@15.1454576,120.5963973?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://burritoandbeans.com/,Burrito & Beans (Owner),https://www.google.com/maps/contrib/102014840948820568770,https://lh5.googleusercontent.com/p/AF1QipNGce_bXGZzbuWmsaU0p_P5BUgNoW-2ygtPIJTG=w408-h639-k-no,Cafe,"Cafe, Restaurant",4.7,10 AM-9 PM,Open All Days,,"Burrito & Beans, Purok Uno, Arayat, 2012 Pampanga, Philippines",,https://www.google.com/maps/place/Burrito+%26+Beans/data=!4m7!3m6!1s0x3396ef172e3467df:0xb19dca8643278c32!8m2!3d15.1919058!4d120.6738112!16s%2Fg%2F11rk5dwm7g!19sChIJ32c0LhfvljMRMownQ4bKnbE?authuser=0&hl=en&rclk=1
ChIJkcD_FH7vljMRPKQZXCWGFeU,Chocolate World Main - MilkTea Corner,,False,4,"Name: Mang Cha-a
link: https://www.google.com/maps/search/Mang+Cha-a/@15.1475162,120.76863279999999?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Chocolate World
link: https://www.google.com/maps/search/Chocolate+World/@15.1769763,120.64909379999999?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Chocolate World Arayat
link: https://www.google.com/maps/search/Chocolate+World+Arayat/@15.146744700000001,120.76597260000001?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Chocolate World Sta.Lucia Branch
link: https://www.google.com/maps/search/Chocolate+World+Sta.Lucia+Branch/@15.223378199999999,120.6283596?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Chocolate World Angeles
link: https://www.google.com/maps/search/Chocolate+World+Angeles/@15.133942,120.59258159999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://m.facebook.com/jmmilkteacornercafe/?refid=46&__xts__%5B0%5D=12.%7B%22unit_id_click_type%22%3A%22graph_search_results_item_tapped%22%2C%22click_type%22%3A%22result%22%2C%22module_id%22%3A1%2C%22result_id%22%3A175031480083703%2C%22session_id%22%3A%2283568658a073bf9d131bcb18d7ccca03%22%2C%22module_role%22%3A%22ENTITY_PLACES%22%2C%22unit_id%22%3A%22browse_rl%3A712fbf3a-8867-4448-97d1-fead452a4ccf%22%2C%22browse_result_type%22%3A%22browse_type_page%22%2C%22unit_id_result_id%22%3A175031480083703%2C%22module_result_position%22%3A0%7D&_rdr,Chocolate World Main - MilkTea Corner (Owner),,https://lh5.googleusercontent.com/p/AF1QipPtt7WnKeIPpO3TFEX0TR2HrD9utdeuxXjXTx8f=w408-h306-k-no,Cafe,Cafe,4,11 AM-7 PM,Monday,+63 966 940 7565,"5MGH+PJ8 Chocolate World Main - MilkTea Corner, Magalang - Arayat Rd, Arayat, Pampanga, Philippines",,https://www.google.com/maps/place/Chocolate+World+Main+-+MilkTea+Corner/data=!4m7!3m6!1s0x3396ef7e14ffc091:0xe51586255c19a43c!8m2!3d15.1767787!4d120.6790881!16s%2Fg%2F11hdpvz63k!19sChIJkcD_FH7vljMRPKQZXCWGFeU?authuser=0&hl=en&rclk=1
ChIJo4RTz6HlljMRtzI2GH5irWs,Chocolate World Arayat,,False,2,"Name: Puregold Arayat
link: https://www.google.com/maps/search/Puregold+Arayat/@15.1538359,120.7707377?authuser=0&hl=en&entry=ttu
Reviews: 280 reviews

Name: Chocolate World
link: https://www.google.com/maps/search/Chocolate+World/@15.1769763,120.64909379999999?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Chocolate World Main - MilkTea Corner
link: https://www.google.com/maps/search/Chocolate+World+Main+-+MilkTea+Corner/@15.1767787,120.6790881?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Chabelita's chocolate store
link: https://www.google.com/maps/search/Chabelita%E2%80%99s+chocolate+store/@15.1505709,120.76850060000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Chocolate World Sta.Lucia Branch
link: https://www.google.com/maps/search/Chocolate+World+Sta.Lucia+Branch/@15.223378199999999,120.6283596?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://web.facebook.com/Chocolate-World-Arayat-Branch-112828417976704/,Chocolate World Arayat (Owner),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3JRbtEGCQBCdWI4yCm3bRg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=326.7851&pitch=0&thumbfov=100,Ice cream shop,Ice cream shop,5,11 AM-8 PM,Open All Days,+63 926 362 5232,"4QW8+M9X Chocolate World Arayat, Magalang - Arayat Rd, Arayat, Pampanga, Philippines",,https://www.google.com/maps/place/Chocolate+World+Arayat/data=!4m7!3m6!1s0x3396e5a1cf5384a3:0x6bad627e183632b7!8m2!3d15.1467447!4d120.7659726!16s%2Fg%2F11sq6nq48b!19sChIJo4RTz6HlljMRtzI2GH5irWs?authuser=0&hl=en&rclk=1
ChIJuVE7jKTvljMRu-zGQS4CmT8,BAY Cafe,,False,2,"Name: COFFEEBAY
link: https://www.google.com/maps/search/COFFEEBAY/@15.1355592,120.5667761?authuser=0&hl=en&entry=ttu
Reviews: 249 reviews

Name: Cafe Beni
link: https://www.google.com/maps/search/Caf%C3%A9+B%C3%A9ni/@15.2139043,120.6625278?authuser=0&hl=en&entry=ttu
Reviews: 23 reviews

Name: Bale Cafe
link: https://www.google.com/maps/search/Bale+Caf%C3%A9/@15.214866899999999,120.6644471?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews

Name: Moonlight Cafe
link: https://www.google.com/maps/search/Moonlight+Cafe/@15.2173047,120.66165050000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Cafe Station One
link: https://www.google.com/maps/search/Cafe+Station+One/@15.216296599999998,120.71275789999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/baycafe.magalang,BAY Cafe (Owner),https://www.google.com/maps/contrib/112152341537137302741,https://lh5.googleusercontent.com/p/AF1QipOF9Fiq5yJ9L2LBDp_lCP0p55eHxbn9sgi9wi5b=w408-h544-k-no,Coffee shop,Coffee shop,5,2-9 PM,Open All Days,,"BAY Cafe, D&E bldg, Stall #2 Morales, 1 Poblacion, Magalang, 2011 Pampanga, Philippines",,https://www.google.com/maps/place/BAY+Caf%C3%A9/data=!4m7!3m6!1s0x3396efa48c3b51b9:0x3f99022e41c6ecbb!8m2!3d15.215455!4d120.6584456!16s%2Fg%2F11sdb5y4ln!19sChIJuVE7jKTvljMRu-zGQS4CmT8?authuser=0&hl=en&rclk=1
ChIJiZWIL8jvljMRXIcpWS3W6c8,Top Tea - Magalang,,False,2,"Name: Taste from the Greens - Magalang
link: https://www.google.com/maps/search/Taste+from+the+Greens+-+Magalang/@15.212237300000002,120.65549559999998?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Tea Plus Milk Tea Shop (Sta. Cruz- Magalang)
link: https://www.google.com/maps/search/Tea+Plus+Milk+Tea+Shop+%28Sta.+Cruz-+Magalang%29/@15.212610900000001,120.6597717?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: Mangchai cafe Magalang
link: https://www.google.com/maps/search/Mangchai+cafe+Magalang/@15.2108583,120.6531886?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Cafe
link: https://www.google.com/maps/search/Cafe/@15.216976,120.7088668?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Shugar Bubble Tea
link: https://www.google.com/maps/search/Shugar+Bubble+Tea/@15.214228299999998,120.66406759999998?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",http://www.facebook.com/Top-Tea-Magalang,Top Tea - Magalang (Owner),,https://lh5.googleusercontent.com/p/AF1QipNsoQivQBgbj2fxlo7kCAIuSciCQI-AC4NMkkHi=w499-h240-k-no,Cafe,Cafe,3,,Open All Days,,"6M9J+FFH Top Tea - Magalang, Luis Dizon Dr, Magalang, Pampanga, Philippines",,https://www.google.com/maps/place/Top+Tea+-+Magalang/data=!4m7!3m6!1s0x3396efc82f889589:0xcfe9d62d5929875c!8m2!3d15.2186896!4d120.6812319!16s%2Fg%2F11flrm9_gk!19sChIJiZWIL8jvljMRXIcpWS3W6c8?authuser=0&hl=en&rclk=1
ChIJFUI2ZfrlljMRgG1zHodiNIg,BigBrew Poblacion - Arayat,,False,1,,https://www.facebook.com/profile.php%3Fid%3D61551449009138,BigBrew Poblacion - Arayat (Owner),https://www.google.com/maps/contrib/108417570960936366566,https://lh5.googleusercontent.com/p/AF1QipM0Skll42o8x7JVMbwPbA5DP4PG3dLbrZUrDDdS=w408-h725-k-no,Coffee store,Coffee store,5,11 AM-8 PM,Tuesday,+63 962 216 5927,"BigBrew Poblacion - Arayat, J.M. Espino, Arayat, 2012 Pampanga, Philippines",,https://www.google.com/maps/place/BigBrew+Poblacion+-+Arayat/data=!4m7!3m6!1s0x3396e5fa65364215:0x883462871e736d80!8m2!3d15.1497905!4d120.7697797!16s%2Fg%2F11vbg0yv_y!19sChIJFUI2ZfrlljMRgG1zHodiNIg?authuser=0&hl=en&rclk=1
