place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJO_ZarEFPZkARnZRI5OE3glI,CarrefourSA,,False,499,"Name: Sok Market
link: https://www.google.com/maps/search/%C5%9Eok+Market/@41.1881031,40.9733928?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Dostlar Market
link: https://www.google.com/maps/search/Dostlar+Market/@41.185850099999996,40.9847764?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.carrefoursa.com/,CarrefourSA (Ye Zhu ),https://www.google.com/maps/contrib/101378536867702009574,https://lh5.googleusercontent.com/p/AF1QipNKdD3baq4OAsKwD-DGGZo-RqNQklAlq1Fur5pR=w408-h725-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.6,08:00-22:00,Open All Days,+90 464 715 38 86,"Cumhuriyet, CarrefourSA, Ataturk Cd. No:239/A, 53400 Ardesen/Rize, Tu Er Qi ",,https://www.google.com/maps/place/CarrefourSA/data=!4m7!3m6!1s0x40664f41ac5af63b:0x528237e1e448949d!8m2!3d41.1912065!4d40.9857486!16s%2Fg%2F11b5yyh6pr!19sChIJO_ZarEFPZkARnZRI5OE3glI?authuser=0&hl=zh-TW&rclk=1
ChIJZ8gowfZFZkAR6gubQGeDCzc,Peruma Rafting Cafe&Restaurant,,False,270,,https://perumarafting.business.site/,Peruma Rafting Cafe&Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/104513732961786372156,https://lh5.googleusercontent.com/p/AF1QipOV5zpzdOtCSqoWnDvdrluHYphY5a9CXqc_6K9H=w427-h240-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Zhu Ti Gong Yuan Ji Dong You Xi , Zao Can Can Ting , Mei Shi Ba Fang , Ka Pei Dian , Shui Yan Hu Ba , Chuan Shao Kao Rou Dian , Fan Zhou , Can Ting , Cha Yi Guan ",4.4,09:00-00:00,Open All Days,+90 464 715 26 25,"Peruma Rafting Cafe&Restaurant, Ayder yolu uzeri 1.km Ardesen /RIZE, 53400 Ardesen/Rize, Tu Er Qi ","He , Mei , Kong Jian , Jia Ge , Shi Yan , Nian Qing Ren ",https://www.google.com/maps/place/Peruma+Rafting+Cafe%26Restaurant/data=!4m7!3m6!1s0x406645f6c128c867:0x370b8367409b0bea!8m2!3d41.17688!4d40.968893!16s%2Fg%2F11byt_cdpj!19sChIJZ8gowfZFZkAR6gubQGeDCzc?authuser=0&hl=zh-TW&rclk=1
ChIJR_P-2JdPZkARvLQ6Umr600w,Yerumoni,,False,143,"Name: Rubix Cafe
link: https://www.google.com/maps/search/Rubix+Cafe/@41.1943037,40.9972782?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: ANTIQ CAFE ARDESEN
link: https://www.google.com/maps/search/ANT%C4%B0Q+CAFE+ARDE%C5%9EEN/@41.1914934,40.9877385?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Hanimeli
link: https://www.google.com/maps/search/Hanimeli/@41.1931587,40.9947515?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.yerumoni.com.tr/,Yerumoni (Ye Zhu ),https://www.google.com/maps/contrib/105467514748016638143,https://lh5.googleusercontent.com/p/AF1QipMQVDGst8vICSJCIeyOTA2P43eJLCTUF8dFYpCq=w425-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,09:00-23:30,Open All Days,+90 532 320 80 53,"Merkez, Yerumoni, Ataturk Cd. No: 146/A, 53400 Ardesen/Rize, Tu Er Qi ",,https://www.google.com/maps/place/Yerumoni/data=!4m7!3m6!1s0x40664f97d8fef347:0x4cd3fa6a523ab4bc!8m2!3d41.1923593!4d40.9916678!16s%2Fg%2F11h1138vsk!19sChIJR_P-2JdPZkARvLQ6Umr600w?authuser=0&hl=zh-TW&rclk=1
ChIJVVVVVURPZkARNPVDFSCwWnY,A101,,False,81,"Name: a101
link: https://www.google.com/maps/search/a101/@41.1770989,40.91313350000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Sok Market
link: https://www.google.com/maps/search/%C5%9Eok+Market/@41.188971699999996,40.9703952?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: BIM MARKET
link: https://www.google.com/maps/search/BIM+MARKET/@41.1892104,40.9708222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews

Name: Mini Market
link: https://www.google.com/maps/search/Mini+Market/@41.1891825,40.982239799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Asya Market
link: https://www.google.com/maps/search/Asya+Market/@41.1866443,40.9739523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.a101.com.tr/,A101 (Ye Zhu ),https://www.google.com/maps/contrib/108915878367635880814,https://lh5.googleusercontent.com/p/AF1QipNIOgbI5_32DbRze_MuWlo__CMsS0cC7_Xg14bw=w408-h544-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Ping Jia Chao Ji Shi Chang ",3.8,09:00-21:00,Open All Days,+90 462 717 61 91,"Deniz, A101, 53000 Ardesen/Rize, Tu Er Qi ",,https://www.google.com/maps/place/A101/data=!4m7!3m6!1s0x40664f4455555555:0x765ab0201543f534!8m2!3d41.190371!4d40.976474!16s%2Fg%2F1ptynnpn9!19sChIJVVVVVURPZkARNPVDFSCwWnY?authuser=0&hl=zh-TW&rclk=1
ChIJ17EsWmhPZkARo3-mEZod8fk,Berlin Cafe,,False,80,"Name: Masal Kafe
link: https://www.google.com/maps/search/Masal+Kafe/@41.1947755,40.997949299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 273 reviews

Name: Kahve Konagi Ardesen
link: https://www.google.com/maps/search/Kahve+Kona%C4%9F%C4%B1+Arde%C5%9Fen/@41.194875599999996,40.9981516?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: Derya Kafe
link: https://www.google.com/maps/search/Derya+Kafe/@41.1908622,40.9905835?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Nesh Waffle Burger Coffee Ardesen
link: https://www.google.com/maps/search/Nesh+Waffle+Burger+Coffee+Arde%C5%9Fen/@41.1934379,40.9954665?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Berlin Cafe 2
link: https://www.google.com/maps/search/Berlin+Cafe+2/@41.192139499999996,40.9901409?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",http://www.berlinkafe.com/,Berlin Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117673067055073259302,https://lh5.googleusercontent.com/p/AF1QipMhCMiIzIZZLeGunkgPQLgn5Zh3TEWPkKAYe50Z=w408-h280-k-no,Kuai Can Dian ,"Kuai Can Dian , Ka Pei Ting , Tu Er Qi Xuan Zhuan Kao Rou Can Ting , Han Bao Can Ting , Bo Bing Wai Mai Zi Qu , Zhong Dong San Jiao Su Bing Can Ting , Tang Pin Can Ting ",4.1,10:00-23:00,Open All Days,+90 464 715 44 88,"Deniz, Berlin Cafe, Ataturk Cd. No:322, 53400 Ardesen/Rize, Tu Er Qi ",,https://www.google.com/maps/place/Berlin+Cafe/data=!4m7!3m6!1s0x40664f685a2cb1d7:0xf9f11d9a11a67fa3!8m2!3d41.1903415!4d40.9754246!16s%2Fg%2F11clybfnfv!19sChIJ17EsWmhPZkARo3-mEZod8fk?authuser=0&hl=zh-TW&rclk=1
ChIJx0TfQWZPZkARphV6K_LIKDQ,Sok Market,,False,78,"Name: ERNA MARKET
link: https://www.google.com/maps/search/ERNA+MARKET/@41.1883653,40.968505199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: A101
link: https://www.google.com/maps/search/A101/@41.188794,40.970182?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Hamidiye Market
link: https://www.google.com/maps/search/Hamidiye+Market/@41.181090999999995,40.948178?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Dostlar Market
link: https://www.google.com/maps/search/Dostlar+Market/@41.185850099999996,40.9847764?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://kurumsal.sokmarket.com.tr/%3Futm_source%3DGMB%26utm_medium%3D2933%26utm_campaign%3Dmagazayonlendirme,Sok Market (Ye Zhu ),https://www.google.com/maps/contrib/109766592606554041360,https://lh5.googleusercontent.com/p/AF1QipP6RT3Y4WKCozBeaDpElkTR8RdGlTXF-XhdJxPi=w408-h725-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Ping Jia Chao Ji Shi Chang ",4,09:00-21:00,Open All Days,+90 850 808 0000,"Firtina, Sok Market, Ataturk Cd. NO: 409/C, 53400 Ardesen/Rize, Tu Er Qi ",,https://www.google.com/maps/place/%C5%9Eok+Market/data=!4m7!3m6!1s0x40664f6641df44c7:0x3428c8f22b7a15a6!8m2!3d41.1889717!4d40.9703952!16s%2Fg%2F11c1tdvxkx!19sChIJx0TfQWZPZkARphV6K_LIKDQ?authuser=0&hl=zh-TW&rclk=1
ChIJc1cOCYtPZkAR_k3DTK-mHC4,Kahve Konagi Ardesen,,False,60,"Name: Mora Restaurant cafe & House
link: https://www.google.com/maps/search/Mora+Restaurant+cafe+%26+House/@41.1676842,40.980591499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 350 reviews

Name: Kiana Cafe
link: https://www.google.com/maps/search/Kiana+Cafe/@41.1943796,40.9973406?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: gokkusagi kafe kahvalti
link: https://www.google.com/maps/search/g%C3%B6kku%C5%9Fag%C4%B1+kafe+kahvalt%C4%B1/@41.1944315,40.9975122?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: ANTIQ CAFE ARDESEN
link: https://www.google.com/maps/search/ANT%C4%B0Q+CAFE+ARDE%C5%9EEN/@41.1914934,40.9877385?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Rainbow Cafe
link: https://www.google.com/maps/search/Rainbow+Cafe/@41.1863058,40.9711511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",https://kahve-konag-ardesen.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Kahve Konagi Ardesen (Ye Zhu ),https://www.google.com/maps/contrib/108415446802176592759,https://lh5.googleusercontent.com/p/AF1QipOlhVnFVvXr7cPvAr0I9NsHneDDnbQtXZO6Xh1m=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,08:00-23:00,Open All Days,+90 537 793 86 98,"Yeni, Kahve Konagi Ardesen, Ataturk Cd., 53400 Ardesen/Rize, Tu Er Qi ",,https://www.google.com/maps/place/Kahve+Kona%C4%9F%C4%B1+Arde%C5%9Fen/data=!4m7!3m6!1s0x40664f8b090e5773:0x2e1ca6af4cc34dfe!8m2!3d41.1948756!4d40.9981516!16s%2Fg%2F11h6vp1znr!19sChIJc1cOCYtPZkAR_k3DTK-mHC4?authuser=0&hl=zh-TW&rclk=1
ChIJ9QuvPTBPZkARvwdIYy80NIA,Katik doner ardesen,,False,58,"Name: Ardesen Mama Durum
link: https://www.google.com/maps/search/Arde%C5%9Fen+Mama+D%C3%BCr%C3%BCm/@41.1908494,40.9824029?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: katik
link: https://www.google.com/maps/search/kat%C4%B1k/@41.180828399999996,40.888155499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: KRALIM DONER
link: https://www.google.com/maps/search/KRALIM+D%C3%96NER/@41.1932043,40.9958349?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: KRAL'im DONER
link: https://www.google.com/maps/search/KRAL%27%C4%B1m+D%C3%96NER/@41.191835999999995,40.988005799999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Ardesen Hatay Durumcusu
link: https://www.google.com/maps/search/Arde%C5%9Fen+Hatay+D%C3%BCr%C3%BCmc%C3%BCs%C3%BC/@41.1908236,40.98273400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://katik-doner-ardesen.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Katik doner ardesen (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMWbD3qXwZsnMD9GKMBPLbRpmRWwTh4L-sUBzUq=w408-h725-k-no,Tu Er Qi Xuan Zhuan Kao Rou Can Ting ,Tu Er Qi Xuan Zhuan Kao Rou Can Ting ,3.9,10:00-23:00,Open All Days,+90 546 715 18 00,"Katik doner ardesen, Merkez, Ataturk Cd., 53400 Ardesen/Rize, Tu Er Qi ",,https://www.google.com/maps/place/Katik+doner+ardesen/data=!4m7!3m6!1s0x40664f303daf0bf5:0x8034342f634807bf!8m2!3d41.1927711!4d40.9934966!16s%2Fg%2F11fsbcvk0b!19sChIJ9QuvPTBPZkARvwdIYy80NIA?authuser=0&hl=zh-TW&rclk=1
ChIJgzTBymVPZkARW_TWd43qiR8,CHOCOLATE LOUNGE & COFFEE - ARDESEN,,False,55,,http://chocolateloungecoffee.com/,CHOCOLATE LOUNGE & COFFEE - ARDESEN (Ye Zhu ),https://www.google.com/maps/contrib/110030434501579538075,https://lh5.googleusercontent.com/p/AF1QipMf5K2wJrm-KdCgwaBwodZLzSc4br6QBjNkA31l=w408-h544-k-no,Zhu Gu Li Dian ,Zhu Gu Li Dian ,4.8,10:00-00:00,Open All Days,+90 850 309 1953,"Cumhuriyet, CHOCOLATE LOUNGE & COFFEE - ARDESEN, Park Ardesen Avm, Sultan Alpaslan Caddesi No 2/1 Teras kat, 53400 Ardesen/Rize, Tu Er Qi ",,https://www.google.com/maps/place/CHOCOLATE+LOUNGE+%26+COFFEE+-+ARDE%C5%9EEN/data=!4m7!3m6!1s0x40664f65cac13483:0x1f89ea8d77d6f45b!8m2!3d41.1912335!4d40.9868911!16s%2Fg%2F11kj81x65t!19sChIJgzTBymVPZkARW_TWd43qiR8?authuser=0&hl=zh-TW&rclk=1
ChIJ4_njyDhPZkARz3SIxlrBpUI,Kardelen Internet & Playstation Cafe,,False,53,"Name: Nova Internet Cafe
link: https://www.google.com/maps/search/Nova+%C4%B0nternet+Cafe/@41.1908196,40.987754599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Yildiz Internet Cafe
link: https://www.google.com/maps/search/Yildiz+Internet+Cafe/@41.1918559,40.9877805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cagdas playstation & Eglence Merkezi
link: https://www.google.com/maps/search/%C3%87a%C4%9Fda%C5%9F+playstation+%26+E%C4%9Flence+Merkezi/@41.191808099999996,40.9928766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Firtina Internet Cafe
link: https://www.google.com/maps/search/Firtina+Internet+Cafe/@41.1918295,40.989464399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Yildiz Playstation
link: https://www.google.com/maps/search/Yildiz+Playstation/@41.191228699999996,40.9874532?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/kardelenint.cafe,Kardelen Internet & Playstation Cafe (Ye Zhu ),https://www.google.com/maps/contrib/100062578217763858352,https://lh5.googleusercontent.com/p/AF1QipMnhP_H8jNyFQuvQOUcYIpGcq0atjDPUmxteN_P=w426-h240-k-no,Wang Ba ,"Wang Ba , Ka Pei Ting , Zi Zhu Can Ting , You Le Chang , You Xi Ji Zhong Xin ",4.2,10:00-23:00,Open All Days,+90 464 715 45 44,"Merkez, Kardelen Internet & Playstation Cafe, Saraloglu Ali Efendi Sk. No:12, 53400 Ardesen/Rize, Tu Er Qi ",,https://www.google.com/maps/place/Kardelen+%C4%B0nternet+%26+Playstation+Cafe/data=!4m7!3m6!1s0x40664f38c8e3f9e3:0x42a5c15ac68874cf!8m2!3d41.1920747!4d40.9936257!16s%2Fg%2F113h7w3lb!19sChIJ4_njyDhPZkARz3SIxlrBpUI?authuser=0&hl=zh-TW&rclk=1
