place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJv7aIKFuEoRQRoFIxtITB5vQ,Trolley cafe,,False,4492,"Name: Enalio
link: https://www.google.com/maps/search/Enalio/@37.9670991,24.006411399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2241 reviews

Name: Coava rock cafe bar
link: https://www.google.com/maps/search/Coava+rock+cafe+bar/@37.9781151,24.008521299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1307 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@37.9717354,24.008295?authuser=0&hl=zh-TW&entry=ttu
Reviews: 383 reviews

Name: Garden cafe-bar
link: https://www.google.com/maps/search/Garden+cafe-bar/@37.9857979,24.012414000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",https://m.facebook.com/pages/category/Coffee-Shop/Trolley-Cafe-Bar-244578425892663/%3Flocale2%3Del_GR,Trolley cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO3hUkV0YU34f3u34JY05foWx6yQvQ75KRJ-K6r=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,09:00-01:00,Open All Days,+30 2294 084660,"Trolley cafe, Leof. Artemidos 193, Artemis 190 16Xi La ","Sha Tan , Jia Ge , Yin Le , Xiao Hai , You Yong , Mian Ji , Diao Jiu , atmosphere, Su Shi Dian , Jia Ting ",https://www.google.com/maps/place/Trolley+cafe/data=!4m7!3m6!1s0x14a1845b2888b6bf:0xf4e6c184b43152a0!8m2!3d37.9854842!4d24.0125758!16s%2Fg%2F1pv6yf35p!19sChIJv7aIKFuEoRQRoFIxtITB5vQ?authuser=0&hl=zh-TW&rclk=1
ChIJzXHG4VOEoRQRUGrf7XuMCxs,Albatross Beach Bar,,False,3336,"Name: Ta Delfinia
link: https://www.google.com/maps/search/Ta+Delfinia/@37.9734005,24.010206999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1771 reviews

Name: SEA SIDE all day bar-restaurant
link: https://www.google.com/maps/search/SEA+SIDE+all+day+bar-restaurant/@37.9820752,24.0097322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 506 reviews

Name: Banana Beach Bar
link: https://www.google.com/maps/search/Banana+Beach+Bar/@37.9904861,24.0224132?authuser=0&hl=zh-TW&entry=ttu
Reviews: 480 reviews

Name: Artemis Beach
link: https://www.google.com/maps/search/Artemis+Beach/@37.9761344,24.0087618?authuser=0&hl=zh-TW&entry=ttu
Reviews: 299 reviews

Name: Ippokampos Beach Bar
link: https://www.google.com/maps/search/%CE%99%CF%80%CF%80%CF%8C%CE%BA%CE%B1%CE%BC%CF%80%CE%BF%CF%82+Beach+Bar/@37.9367762,24.0127123?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",https://www.facebook.com/albatross.allday/,Albatross Beach Bar (Ye Zhu ),https://www.google.com/maps/contrib/117635693358258535247,https://lh5.googleusercontent.com/p/AF1QipOfHwvNxI5gcYDeW5KJwuRZKlkm0bAqpBft1iWd=w428-h240-k-no,Can Ting ,"Can Ting , Jiu Ba , Ka Pei Ting ",4.4,,Open All Days,+30 2294 086370,"Albatross Beach Bar, Leof. Artemidos 112, Artemis 190 16Xi La ","Hai , atmosphere, Huan Jing , Chong Lang , Diao Jiu , Han Bao , Yin Le , Wan Shang , Xiao Chi , Xia Tian ",https://www.google.com/maps/place/Albatross+Beach+Bar/data=!4m7!3m6!1s0x14a18453e1c671cd:0x1b0b8c7beddf6a50!8m2!3d37.978359!4d24.0085205!16s%2Fg%2F11b8twmrpv!19sChIJzXHG4VOEoRQRUGrf7XuMCxs?authuser=0&hl=zh-TW&rclk=1
ChIJzSR461OEoRQRLXdl7NXDHlw,Coava rock cafe bar,,False,1309,"Name: Enalio
link: https://www.google.com/maps/search/Enalio/@37.9670991,24.006411399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2241 reviews

Name: Davis Beach Bar
link: https://www.google.com/maps/search/Davis+Beach+Bar/@37.955567599999995,24.0105996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 426 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@37.9717354,24.008295?authuser=0&hl=zh-TW&entry=ttu
Reviews: 383 reviews

Name: Davis Cafe-Bar
link: https://www.google.com/maps/search/Davis+Cafe-Bar/@37.951994899999995,24.006962599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Aqua Note
link: https://www.google.com/maps/search/Aqua+Note/@37.9830714,24.0103001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews",https://coava.business.site/,Coava rock cafe bar (Ye Zhu ),https://www.google.com/maps/contrib/115181939155415304876,https://lh5.googleusercontent.com/p/AF1QipN0bH_JLTOQv1AFHYKdsmQLgfWF-Vwcvf0me40y=w427-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.2,08:00-01:00,Open All Days,+30 2294 083700,"Coava rock cafe bar, Leof. Artemidos 105, 106,108, Artemis 190 16Xi La ","Sha Tan , Jia Ge , Yin Le , Jing Yan , Chou Yan , Lin Yu Jian , Min Zhong , atmosphere, San ",https://www.google.com/maps/place/Coava+rock+cafe+bar/data=!4m7!3m6!1s0x14a18453eb7824cd:0x5c1ec3d5ec65772d!8m2!3d37.9781151!4d24.0085213!16s%2Fg%2F1tkn4_31!19sChIJzSR461OEoRQRLXdl7NXDHlw?authuser=0&hl=zh-TW&rclk=1
ChIJz9K0zqqkoRQRBkbMv38h0nQ,Santa Maria Del Mar,,False,1294,"Name: Davis Beach Bar
link: https://www.google.com/maps/search/Davis+Beach+Bar/@37.955567599999995,24.0105996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 426 reviews

Name: Artemis Beach
link: https://www.google.com/maps/search/Artemis+Beach/@37.9761344,24.0087618?authuser=0&hl=zh-TW&entry=ttu
Reviews: 299 reviews

Name: La Playa Beach Bar Artemida
link: https://www.google.com/maps/search/La+Playa+Beach+Bar+%CE%91%CF%81%CF%84%CE%AD%CE%BC%CE%B9%CE%B4%CE%B1/@37.9906692,24.022602?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews

Name: Ippokampos Beach Bar
link: https://www.google.com/maps/search/%CE%99%CF%80%CF%80%CF%8C%CE%BA%CE%B1%CE%BC%CF%80%CE%BF%CF%82+Beach+Bar/@37.9367762,24.0127123?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",https://m.facebook.com/SantaMariaDelMareGR/?locale2=el_GR,Santa Maria Del Mar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPm4iYQr9EozfFtDTQIGTLvuS3pzTztGGKmUQDm=w408-h778-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Sha Tan Yu Le Yong Pin Dian , Jiu Ba Ya Zuo ",4.2,08:00-01:00,Open All Days,+30 2294 302447,"Santa Maria Del Mar, Artemis 190 16Xi La ","Yin Le , Lin Yu Jian , Jia Ge ",https://www.google.com/maps/place/Santa+Maria+Del+Mar/data=!4m7!3m6!1s0x14a1a4aaceb4d2cf:0x74d2217fbfcc4606!8m2!3d37.990938!4d24.023443!16s%2Fg%2F11bbwq2_mz!19sChIJz9K0zqqkoRQRBkbMv38h0nQ?authuser=0&hl=zh-TW&rclk=1
ChIJC8ITIhWEoRQRyigCwYHnjAk,RICCI Cafe - Bar,,False,1040,"Name: La Playa Beach Bar Artemida
link: https://www.google.com/maps/search/La+Playa+Beach+Bar+%CE%91%CF%81%CF%84%CE%AD%CE%BC%CE%B9%CE%B4%CE%B1/@37.9906692,24.022602?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews

Name: Garden cafe-bar
link: https://www.google.com/maps/search/Garden+cafe-bar/@37.9857979,24.012414000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",https://m.facebook.com/ricci.cafebar/%3F__tn__%3D%257E%257E-R,RICCI Cafe - Bar (Ye Zhu ),https://www.google.com/maps/contrib/103836472946346187568,https://lh5.googleusercontent.com/p/AF1QipO19Zqoy23DLJsu6scdsGrLn85GbCEcHabtmC6k=w426-h240-k-no,Jiu Ba ,"Jiu Ba , Ka Pei Dian ",4.5,09:00-01:00,Open All Days,+30 2294 029138,"RICCI Cafe - Bar, 25is Martiou 62, Artemis 190 16Xi La ","Sha Tan , Diao Jiu , Huan Jing ",https://www.google.com/maps/place/RICCI+Cafe+-+Bar/data=!4m7!3m6!1s0x14a184152213c20b:0x98ce781c10228ca!8m2!3d37.9908645!4d24.0266628!16s%2Fg%2F11g6bkbwxy!19sChIJC8ITIhWEoRQRyigCwYHnjAk?authuser=0&hl=zh-TW&rclk=1
ChIJcW0-HlGEoRQRRw45XncXVI4,Il Peccato - Gelateria Italiana,,False,495,"Name: Theodosiou Pastry shops
link: https://www.google.com/maps/search/Theodosiou+Pastry+shops/@37.973918,24.008430999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 306 reviews

Name: Pingo gelato
link: https://www.google.com/maps/search/Pingo+gelato/@37.979641199999996,24.0083208?authuser=0&hl=zh-TW&entry=ttu
Reviews: 146 reviews

Name: Escobar Coffee
link: https://www.google.com/maps/search/Escobar+Coffee/@37.9755763,24.0084184?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: AZUL
link: https://www.google.com/maps/search/AZUL/@37.983405,24.0106173?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://www.facebook.com/ilpeccatogelateria/,Il Peccato - Gelateria Italiana (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNfC4a9rbkfSi4cSMnf-vFDVJseS4lUniI6Yupp=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,4.7,15:00-00:30,Open All Days,+30 2294 088084,"Il Peccato - Gelateria Italiana, Leof. Artemidos 127, Artemis 190 16Xi La ","Kai Xin Guo , Song Bing , Jia Ge ",https://www.google.com/maps/place/Il+Peccato+-+Gelateria+Italiana/data=!4m7!3m6!1s0x14a184511e3e6d71:0x8e5417775e390e47!8m2!3d37.9808817!4d24.0089462!16s%2Fg%2F11dzsrnml_!19sChIJcW0-HlGEoRQRRw45XncXVI4?authuser=0&hl=zh-TW&rclk=1
ChIJ9-RTI4aFoRQR493_FM3VUOs,Dodone Artemida,,False,450,"Name: Enalio
link: https://www.google.com/maps/search/Enalio/@37.9670991,24.006411399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2241 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@37.9717354,24.008295?authuser=0&hl=zh-TW&entry=ttu
Reviews: 383 reviews

Name: Opera cafe
link: https://www.google.com/maps/search/Opera+cafe/@37.9840027,24.011115?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: Kaf Odon
link: https://www.google.com/maps/search/Kaf+Odon/@37.9690534,24.0013898?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews

Name: Sina Coffee & Food
link: https://www.google.com/maps/search/Sina+Coffee+%26+Food/@37.9633804,24.005599399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews",https://m.facebook.com/dodoniartemida/,Dodone Artemida (Ye Zhu ),https://www.google.com/maps/contrib/103681188524336475692,https://lh5.googleusercontent.com/p/AF1QipOeGG2P4ZR_fKHXjm8hKQ-FnFYb_F5IiwdqPj6G=w533-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.7,09:00-23:00,Open All Days,+30 2294 045440,"Dodone Artemida, Leof. Vravronos 62, Artemis 190 16Xi La ","Bing Qi Lin , Song Bing ",https://www.google.com/maps/place/%CE%94%CF%89%CE%B4%CF%8E%CE%BD%CE%B7+%CE%91%CF%81%CF%84%CE%AD%CE%BC%CE%B9%CE%B4%CE%B1/data=!4m7!3m6!1s0x14a185862353e4f7:0xeb50d5cd14ffdde3!8m2!3d37.9360619!4d24.012372!16s%2Fg%2F11crytxdrq!19sChIJ9-RTI4aFoRQR493_FM3VUOs?authuser=0&hl=zh-TW&rclk=1
ChIJ8aM2jKyFoRQR_xufbUR08Gw,Coffee Island,,False,383,"Name: Enalio
link: https://www.google.com/maps/search/Enalio/@37.9670991,24.006411399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2241 reviews

Name: Tea Time
link: https://www.google.com/maps/search/Tea+Time/@37.9779882,24.0080563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 314 reviews

Name: Gregores
link: https://www.google.com/maps/search/Gr%C4%93g%C3%B3r%C4%93s/@37.9698365,24.0061592?authuser=0&hl=zh-TW&entry=ttu
Reviews: 281 reviews

Name: coffee berry Artemida
link: https://www.google.com/maps/search/coffee+berry+%CE%91%CF%81%CF%84%CE%B5%CE%BC%CE%B9%CE%B4%CE%B1/@37.9695344,24.0043935?authuser=0&hl=zh-TW&entry=ttu
Reviews: 212 reviews

Name: Kaf Odon
link: https://www.google.com/maps/search/Kaf+Odon/@37.9690534,24.0013898?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews",https://www.coffeeisland.gr/?utm_campaign=website&utm_medium=organic&utm_source=google,Coffee Island (Ye Zhu ),https://www.google.com/maps/contrib/106790156345361055305,https://lh5.googleusercontent.com/p/AF1QipMtOjhR3NyIceGvWOMG02a_SZ6rrw3DQCutB9fU=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,05:30-21:00,Open All Days,+30 2294 086080,"Coffee Island, Leof. Artemidos 1, Artemis 190 16Xi La ",,https://www.google.com/maps/place/Coffee+Island/data=!4m7!3m6!1s0x14a185ac8c36a3f1:0x6cf074446d9f1bff!8m2!3d37.9717354!4d24.008295!16s%2Fg%2F11g9gjfmsm!19sChIJ8aM2jKyFoRQR_xufbUR08Gw?authuser=0&hl=zh-TW&rclk=1
ChIJFa0txqaFoRQRHeHThoU1cAk,Lithaios Cafe,,False,329,"Name: Trolley cafe
link: https://www.google.com/maps/search/Trolley+cafe/@37.985484199999995,24.0125758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4489 reviews

Name: Enalio
link: https://www.google.com/maps/search/Enalio/@37.9670991,24.006411399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2241 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@37.9717354,24.008295?authuser=0&hl=zh-TW&entry=ttu
Reviews: 383 reviews

Name: Aqua Note
link: https://www.google.com/maps/search/Aqua+Note/@37.9830714,24.0103001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Emistron
link: https://www.google.com/maps/search/Emistron/@37.9608002,23.980394099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews",https://www.facebook.com/Cafe-%CE%BA%CF%81%CE%AD%CF%80%CE%B1-%CF%88%CE%B9%CE%BB%CE%B9%CE%BA%CE%AC-%CE%9B%CE%B7%CE%B8%CE%B1%CE%B9%CE%BF%CF%82-717462371714764/,Lithaios Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNOrrl9UkKy9BqLcOs8t7JM7rlw_rtBXcfHCl1z=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,06:30-23:00,Open All Days,+30 2294 088416,"Lithaios Cafe, Leof. Vravronos 98, Artemis 190 16Xi La ",,https://www.google.com/maps/place/Lithaios+Cafe/data=!4m7!3m6!1s0x14a185a6c62dad15:0x970358586d3e11d!8m2!3d37.9598686!4d24.0053888!16s%2Fg%2F11c6y8g_sh!19sChIJFa0txqaFoRQRHeHThoU1cAk?authuser=0&hl=zh-TW&rclk=1
ChIJP4oA4L6FoRQRh8CzZ5rg6tw,EVDOMI CAFE ARTEMIDA,,False,316,"Name: Emistron
link: https://www.google.com/maps/search/Emistron/@37.9608002,23.980394099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Flavors coffee and brunch
link: https://www.google.com/maps/search/Flavors+coffee+and+brunch/@37.9478197,24.007622599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: Sina Coffee & Food
link: https://www.google.com/maps/search/Sina+Coffee+%26+Food/@37.9633804,24.005599399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews",https://m.facebook.com/CafeeLatteEvdomi/?locale2=el_GR,EVDOMI CAFE ARTEMIDA (Ye Zhu ),https://www.google.com/maps/contrib/117402598959424663045,https://lh5.googleusercontent.com/p/AF1QipMRPFhKjUUdXYHnmUpHlyTduVI44cG3cqDTWum2=w428-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Zi Zhu Can Ting ",4.7,06:30-21:00,Open All Days,+30 2294 047916,"EVDOMI CAFE ARTEMIDA, Leophoros Brauronos, Stase 7e, Artemis 190 16Xi La ",,https://www.google.com/maps/place/EVDOMI+CAFE+ARTEMIDA/data=!4m7!3m6!1s0x14a185bee0008a3f:0xdceae09a67b3c087!8m2!3d37.9457175!4d24.0075385!16s%2Fg%2F11fkrx2gvs!19sChIJP4oA4L6FoRQRh8CzZ5rg6tw?authuser=0&hl=zh-TW&rclk=1
