place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ7ZhOX9pQw0cR7Rco0hoLdSA,'t Brugs Beertje,,False,1758,"Name: De Garre
link: https://www.google.com/maps/search/De+Garre/@51.208334699999995,3.2258407?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2924 reviews

Name: Le Trappiste
link: https://www.google.com/maps/search/Le+Trappiste/@51.210837999999995,3.222809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2695 reviews

Name: Bieratelier Brugge
link: https://www.google.com/maps/search/Bieratelier+Brugge/@51.20205060000001,3.2252592?authuser=0&hl=zh-TW&entry=ttu
Reviews: 723 reviews

Name: Duvelorium Belgian Beer Bar
link: https://www.google.com/maps/search/Duvelorium+Belgian+Beer+Bar/@51.2091809,3.224951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 398 reviews

Name: Cafe Cambrinus
link: https://www.google.com/maps/search/Cafe+Cambrinus/@51.2094968,3.2252315?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews",https://www.brugsbeertje.be/,'t Brugs Beertje (Ye Zhu ),https://www.google.com/maps/contrib/103138562652326492437,https://lh5.googleusercontent.com/p/AF1QipNuZsNblBran5orvLkSEY_kWDlL9rBMTAAH79uD=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.7,16:00-00:00,Xing Qi San ,+32 50 33 96 16,"'t Brugs Beertje, Kemelstraat 5, 8000 Brugge, Bi Li Shi ","Xiao Jiu Ba , Lu You , Diao Jiu Shi , Gu Dian ",https://www.google.com/maps/place/%27%27t+Brugs+Beertje%27/data=!4m7!3m6!1s0x47c350da5f4e98ed:0x20750b1ad22817ed!8m2!3d51.2068237!4d3.2217179!16s%2Fg%2F1v6l6nd6!19sChIJ7ZhOX9pQw0cR7Rco0hoLdSA?authuser=0&hl=zh-TW&rclk=1
ChIJ8-ydWc9Qw0cRT-ijSlE6A70,Sanseveria Bagelsalon,,False,1585,"Name: Balthasar Brugge
link: https://www.google.com/maps/search/Balthasar+Brugge/@51.2082376,3.2216663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 939 reviews

Name: @Tattie's
link: https://www.google.com/maps/search/%40Tattie%27s/@51.211760999999996,3.2257336999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 692 reviews

Name: Kottee Kaffee
link: https://www.google.com/maps/search/Kottee+Kaffee/@51.2137531,3.2178832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Brunch & Blunch
link: https://www.google.com/maps/search/Brunch+%26+Blunch/@51.2097911,3.2248332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.sanseveria.be/,Sanseveria Bagelsalon (Ye Zhu ),https://www.google.com/maps/contrib/103582225172644962298,https://lh5.googleusercontent.com/p/AF1QipPu_zTmIuTXFdO7nJ32_BfA-WckoNSlxVqpUZoV=w426-h240-k-no,Mian Bao Quan Dian ,"Mian Bao Quan Dian , Fan He Gong Ying Shang , Zao Can Can Ting , Zao Wu Can Can Ting , Ka Pei Ting , Ka Pei Dian , Chu Fang Gai Jian Gong Si , Wu Can Can Ting ",4.6,08:00-17:00,Open All Days,+32 50 34 81 43,"Sanseveria Bagelsalon, Predikherenstraat 11, 8000 Brugge, Bi Li Shi ","Su Shi , You Ge , Wan , Lu You , Qiao Ke Li Dan Gao , Fu Gu ",https://www.google.com/maps/place/Sanseveria+Bagelsalon/data=!4m7!3m6!1s0x47c350cf599decf3:0xbd033a514aa3e84f!8m2!3d51.2085157!4d3.2303043!16s%2Fg%2F11b6zv191r!19sChIJ8-ydWc9Qw0cRT-ijSlE6A70?authuser=0&hl=zh-TW&rclk=1
ChIJr1rDRcNQw0cRsxN43ozQrpQ,Carpe Diem Bakery & Tea-room,,False,1434,"Name: Le Pain Quotidien
link: https://www.google.com/maps/search/Le+Pain+Quotidien/@51.2063658,3.2225856?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2134 reviews

Name: Aux Merveilleux De Fred Bruges
link: https://www.google.com/maps/search/Aux+Merveilleux+De+Fred+Bruges/@51.2091479,3.2228833?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1346 reviews

Name: Tea-Room De Proeverie
link: https://www.google.com/maps/search/Tea-Room+De+Proeverie/@51.2036218,3.2246492?authuser=0&hl=zh-TW&entry=ttu
Reviews: 633 reviews

Name: Patisserie Schaeverbeke
link: https://www.google.com/maps/search/Patisserie+Schaeverbeke/@51.20452160000001,3.232078?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: Patisserie Vanmullem
link: https://www.google.com/maps/search/Patisserie+Vanmullem/@51.2107083,3.2245028?authuser=0&hl=zh-TW&entry=ttu
Reviews: 228 reviews",http://www.tearoom-carpediem.be/,Carpe Diem Bakery & Tea-room (Ye Zhu ),https://www.google.com/maps/contrib/117927799271153683113,https://lh5.googleusercontent.com/p/AF1QipPMe0Kf9cfiHxOuzVUUjYukqkwNzZJLvbL03Kpa=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Fa Shi Can Ting ",4.5,07:00-18:00,Open All Days,+32 50 33 54 47,"Carpe Diem Bakery & Tea-room, Wijngaardstraat 8, 8000 Brugge, Bi Li Shi ","Zao Can , Song Bing , Ke Ke , Cha Dian , Zao Wu Can , atmosphere, Ou Mu Dan , Lu You , Zhuang Xiu , Shou Gong ",https://www.google.com/maps/place/Carpe+Diem+Bakery+%26+Tea-room/data=!4m7!3m6!1s0x47c350c345c35aaf:0x94aed08cde7813b3!8m2!3d51.2023!4d3.2253278!16s%2Fg%2F1td41nf6!19sChIJr1rDRcNQw0cRsxN43ozQrpQ?authuser=0&hl=zh-TW&rclk=1
ChIJo-2hVOdQw0cRVjwdJXZy2-s,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1167,"Name: EspressoBar - I Love Coffee
link: https://www.google.com/maps/search/EspressoBar+-+I+Love+Coffee/@51.2094428,3.2224904?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1160 reviews

Name: Vero Caffe
link: https://www.google.com/maps/search/Vero+Caff%C3%A8/@51.210729699999995,3.2256923000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 858 reviews

Name: EXKI Brugge
link: https://www.google.com/maps/search/EXKI+Brugge/@51.1968463,3.2165974?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: FlavouRRs Brugge station
link: https://www.google.com/maps/search/FlavouRRs+Brugge+station/@51.1974149,3.2182424999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: Bruno Foodcorner Brugge
link: https://www.google.com/maps/search/Bruno+Foodcorner+Brugge/@51.197207999999996,3.2181254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews",http://www.starbucks.com/,Starbucks (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNEvqVTh-qEB_XBhesc81Lz3XC1Id429J7w0ax2=w408-h560-k-no,Ka Pei Dian ,Ka Pei Dian ,4,06:00-20:00,Open All Days,+32 50 72 09 25,"Starbucks, Stationsplein 5, 8000 Brugge, Bi Li Shi ","Che Zhan , Yuan Gong , Ming , Qia Bu Qi Nuo , Nai , Bing Gan , Ka Pei Shi , wifi, Chan Pin , Ma Ke Bei ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x47c350e754a1eda3:0xebdb7276251d3c56!8m2!3d51.1970777!4d3.2177888!16s%2Fg%2F11g_64469!19sChIJo-2hVOdQw0cRVjwdJXZy2-s?authuser=0&hl=zh-TW&rclk=1
ChIJOXp8YdBQw0cRCZPqetyVDSQ,EspressoBar - I Love Coffee,,False,1160,"Name: The Republic
link: https://www.google.com/maps/search/The+Republic/@51.210260100000006,3.2214601000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2514 reviews

Name: Vero Caffe
link: https://www.google.com/maps/search/Vero+Caff%C3%A8/@51.210729699999995,3.2256923000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 858 reviews

Name: Li O Lait
link: https://www.google.com/maps/search/Li+O+Lait/@51.2057609,3.2194206?authuser=0&hl=zh-TW&entry=ttu
Reviews: 826 reviews

Name: WE ARE COFFEE MAKERS
link: https://www.google.com/maps/search/WE+ARE+COFFEE+MAKERS/@51.2102526,3.2214071?authuser=0&hl=zh-TW&entry=ttu
Reviews: 508 reviews

Name: Coffeebar Adriaan
link: https://www.google.com/maps/search/Coffeebar+Adriaan/@51.2108078,3.2237238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews",http://ilovecoffeebrugge.com/,EspressoBar - I Love Coffee (Ye Zhu ),https://www.google.com/maps/contrib/100196845099131857233,https://lh5.googleusercontent.com/p/AF1QipOSJsLebOdeaM9ENEEt4WD2QxVfkP7uQxG-38mm=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,09:00-18:00,Xing Qi Si ,,"EspressoBar - I Love Coffee, Sint-Jakobsstraat 10, 8000 Brugge, Bi Li Shi ","Ke Ke , Ce Suo , flat white, Yin Du Nai Cha , Zhuang Xiu , Pin Guo Pai , Qiao Ke Li Niu Nai ",https://www.google.com/maps/place/EspressoBar+-+I+Love+Coffee/data=!4m7!3m6!1s0x47c350d0617c7a39:0x240d95dc7aea9309!8m2!3d51.2094428!4d3.2224904!16s%2Fg%2F11b727rj0g!19sChIJOXp8YdBQw0cRCZPqetyVDSQ?authuser=0&hl=zh-TW&rclk=1
ChIJA1bQ089Qw0cR2KdBiljoChY,Vero Caffe,,False,860,"Name: Sanseveria Bagelsalon
link: https://www.google.com/maps/search/Sanseveria+Bagelsalon/@51.2085157,3.2303043?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1580 reviews

Name: EspressoBar - I Love Coffee
link: https://www.google.com/maps/search/EspressoBar+-+I+Love+Coffee/@51.2094428,3.2224904?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1160 reviews

Name: Kottee Kaffee
link: https://www.google.com/maps/search/Kottee+Kaffee/@51.2137531,3.2178832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Tea-Room De Proeverie
link: https://www.google.com/maps/search/Tea-Room+De+Proeverie/@51.2036218,3.2246492?authuser=0&hl=zh-TW&entry=ttu
Reviews: 633 reviews

Name: Coffeebar Adriaan
link: https://www.google.com/maps/search/Coffeebar+Adriaan/@51.2108078,3.2237238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews",https://www.verocaffe.be/,Vero Caffe (Ye Zhu ),https://www.google.com/maps/contrib/116099626392950351141,https://lh5.googleusercontent.com/p/AF1QipNUb8OokNYnywEcxGtChOGTzr0y3ZVq4_DQrBhm=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Zao Wu Can Can Ting , Wu Can Can Ting ",4.4,09:00-17:00,"Xing Qi San , Xing Qi Si ",+32 484 76 41 10,"Vero Caffe, Sint-Jansplein 9, 8000 Brugge, Bi Li Shi ","vegan, Zao Wu Can , Bu Lang Ni , Lu You , Song Bing , Bei Guo , Qiao Ke Li Dan Gao , Re Dian ",https://www.google.com/maps/place/Vero+Caff%C3%A8/data=!4m7!3m6!1s0x47c350cfd3d05603:0x160ae8588a41a7d8!8m2!3d51.2107297!4d3.2256923!16s%2Fg%2F1q69jdxhd!19sChIJA1bQ089Qw0cR2KdBiljoChY?authuser=0&hl=zh-TW&rclk=1
ChIJkbBGzNtQw0cRddu0C29LCMo,Li O Lait,,False,828,"Name: EspressoBar - I Love Coffee
link: https://www.google.com/maps/search/EspressoBar+-+I+Love+Coffee/@51.2094428,3.2224904?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1160 reviews

Name: Vero Caffe
link: https://www.google.com/maps/search/Vero+Caff%C3%A8/@51.210729699999995,3.2256923000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 858 reviews

Name: Kottee Kaffee
link: https://www.google.com/maps/search/Kottee+Kaffee/@51.2137531,3.2178832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Cafe Au Lait
link: https://www.google.com/maps/search/Cafe+Au+Lait/@51.2077728,3.2204603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 654 reviews

Name: Coffeebar Adriaan
link: https://www.google.com/maps/search/Coffeebar+Adriaan/@51.2108078,3.2237238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews",https://www.liolait.be/,Li O Lait (Ye Zhu ),https://www.google.com/maps/contrib/108086989679761850346,https://lh5.googleusercontent.com/p/AF1QipOBsMho1ACfIFNd71Z_9MoYj64TT968kxFbm7Hc=w408-h293-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,09:00-17:30,Xing Qi Yi ,+32 50 70 85 70,"Li O Lait, Dweersstraat 30, 8000 Brugge, Bi Li Shi ","Bei Guo , Zao Can , Zao Wu Can , Guo Zhi , Qian , Ke Song , Qiao Ke Li Niu Nai , Yuan Gong , Ce Suo ",https://www.google.com/maps/place/Li+O+Lait/data=!4m7!3m6!1s0x47c350dbcc46b091:0xca084b6f0bb4db75!8m2!3d51.2057609!4d3.2194206!16s%2Fg%2F11bxwd4y86!19sChIJkbBGzNtQw0cRddu0C29LCMo?authuser=0&hl=zh-TW&rclk=1
ChIJr90rbdpQw0cRcihCFEf4QMg,Cafe Au Lait,,False,654,"Name: That's Toast
link: https://www.google.com/maps/search/That%27s+Toast/@51.2063875,3.2192167?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2724 reviews

Name: Li O Lait
link: https://www.google.com/maps/search/Li+O+Lait/@51.2057609,3.2194206?authuser=0&hl=zh-TW&entry=ttu
Reviews: 826 reviews

Name: Kottee Kaffee
link: https://www.google.com/maps/search/Kottee+Kaffee/@51.2137531,3.2178832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Sale et sucre
link: https://www.google.com/maps/search/Sal%C3%A9+et+sucr%C3%A9/@51.208624199999996,3.2218199?authuser=0&hl=zh-TW&entry=ttu
Reviews: 472 reviews

Name: Coffeebar Adriaan
link: https://www.google.com/maps/search/Coffeebar+Adriaan/@51.2108078,3.2237238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews",http://cafeaulaitbrugge.be/,Cafe Au Lait (Ye Zhu ),https://www.google.com/maps/contrib/111166419381609235888,https://lh5.googleusercontent.com/p/AF1QipOPCYdbttlGng8S2H8RW2ehce0tFG1vnjkyla6x=w408-h306-k-no,Cha Yi Guan ,"Cha Yi Guan , Ban Ji Dian ",4.1,09:30-18:00,"Xing Qi San , Xing Qi Ri ",+32 50 34 45 34,"Cafe Au Lait, Noordzandstraat 28, 8000 Brugge, Bi Li Shi ","Song Bing , Zao Can , Zhuo , Qia Bu Qi Nuo , Ke Li Bing , Zao Wu Can , Cha Bao ",https://www.google.com/maps/place/Cafe+Au+Lait/data=!4m7!3m6!1s0x47c350da6d2bddaf:0xc840f84714422872!8m2!3d51.2077728!4d3.2204603!16s%2Fg%2F11b808207l!19sChIJr90rbdpQw0cRcihCFEf4QMg?authuser=0&hl=zh-TW&rclk=1
ChIJfyd1aUdRw0cR9JO0prgFJ8w,Kaffee Kamiel,,False,537,"Name: Cafedraal
link: https://www.google.com/maps/search/Cafedraal/@51.2060629,3.2203567?authuser=0&hl=zh-TW&entry=ttu
Reviews: 663 reviews

Name: Kottee Kaffee
link: https://www.google.com/maps/search/Kottee+Kaffee/@51.2137531,3.2178832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Cafe Au Lait
link: https://www.google.com/maps/search/Cafe+Au+Lait/@51.2077728,3.2204603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 654 reviews

Name: Coffeebar Adriaan
link: https://www.google.com/maps/search/Coffeebar+Adriaan/@51.2108078,3.2237238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews

Name: Margritt
link: https://www.google.com/maps/search/Margritt/@51.2084683,3.2221083999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 355 reviews",https://www.kaffeekamiel.be/,Kaffee Kamiel (Ye Zhu ),https://www.google.com/maps/contrib/114673181590250107710,https://lh5.googleusercontent.com/p/AF1QipMc1OxBKwsbRBxxFlLfJO_LBL6_WyG985M9LrvT=w408-h277-k-no,Wu Can Can Ting ,"Wu Can Can Ting , Zao Can Can Ting , Shang Dian ",4.4,08:30-17:00,"Xing Qi Si , Xing Qi Ri ",+32 50 68 66 60,"Kaffee Kamiel, Zilverpand 7, 8000 Brugge, Bi Li Shi ","Song Bing , Yuan Gong , Zao Wu Can , Di Tu , Ban Ni Di Ke Dan , Ya Li , Pei Gen ",https://www.google.com/maps/place/Kaffee+Kamiel/data=!4m7!3m6!1s0x47c351476975277f:0xcc2705b8a6b493f4!8m2!3d51.2068096!4d3.2201052!16s%2Fg%2F11h8rbvzb6!19sChIJfyd1aUdRw0cR9JO0prgFJ8w?authuser=0&hl=zh-TW&rclk=1
ChIJb1nwzdFQw0cRBmGPaS1jGvo,WE ARE COFFEE MAKERS,,False,508,"Name: EspressoBar - I Love Coffee
link: https://www.google.com/maps/search/EspressoBar+-+I+Love+Coffee/@51.2094428,3.2224904?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1160 reviews

Name: Vero Caffe
link: https://www.google.com/maps/search/Vero+Caff%C3%A8/@51.210729699999995,3.2256923000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 858 reviews

Name: Coffeebar Adriaan
link: https://www.google.com/maps/search/Coffeebar+Adriaan/@51.2108078,3.2237238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews

Name: Fresh Waffles
link: https://www.google.com/maps/search/Fresh+Waffles/@51.20213580000001,3.2247027?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://www.wearecoffeemakers.com/,WE ARE COFFEE MAKERS (Ye Zhu ),https://www.google.com/maps/contrib/114757093769121207699,https://lh5.googleusercontent.com/p/AF1QipNo8hpyxmymhG7HJRDxqlNwEv1cmXul1OVKiu2j=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Hong Bei Shang ",4.5,08:30-17:00,"Xing Qi Yi , Xing Qi Er ",,"WE ARE COFFEE MAKERS, Sint-Jakobsstraat 36, 8000 Brugge, Bi Li Shi ","espresso, Qia Bu Qi Nuo , Yin Le , flat white, Kao , Bei Guo , vegan, Lu You , Hu Luo Bo Dan Gao ",https://www.google.com/maps/place/WE+ARE+COFFEE+MAKERS/data=!4m7!3m6!1s0x47c350d1cdf0596f:0xfa1a632d698f6106!8m2!3d51.2102526!4d3.2214071!16s%2Fg%2F11cn18417_!19sChIJb1nwzdFQw0cRBmGPaS1jGvo?authuser=0&hl=zh-TW&rclk=1
