place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJb7BMHO4ABDQRdd8G_JKTARY,N1 Coffee & Co. (Tsim Sha Tsui),,False,975,"Name: Urban Coffee Roaster
link: https://www.google.com/maps/search/Urban+Coffee+Roaster/@22.2973689,114.17289339999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 799 reviews

Name: Cafe on M
link: https://www.google.com/maps/search/Caf%C3%A9+on+M/@22.2991018,114.1794664?authuser=0&hl=zh-TW&entry=ttu
Reviews: 306 reviews

Name: CREMA COFFEE-Jian Dong Ka Pei Dian 
link: https://www.google.com/maps/search/CREMA+COFFEE-%E5%B0%96%E6%9D%B1%E5%92%96%E5%95%A1%E5%BA%97/@22.299346999999997,114.1770507?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: NOC (Tsim Sha Tsui East)
link: https://www.google.com/maps/search/NOC+%28Tsim+Sha+Tsui+East%29/@22.2983261,114.17847959999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: Coffee Corner
link: https://www.google.com/maps/search/Coffee+Corner/@22.2958043,114.17189590000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.facebook.com/N1-Coffee-Co-473097382816950/,N1 Coffee & Co. (Tsim Sha Tsui) (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNE6owDiQ1Sz2wGF0f3Bew8hFSp27G1v5vVbU72=w408-h305-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting ",4.2,09:00-18:00,Open All Days,3568 4726,"N1 Coffee & Co. (Tsim Sha Tsui), 34 Mody Rd, Tsim Sha Tsui","espresso, flat white, La Hua , brunch, Yan Xun Gui Yu , Ban Ni Di Ke Dan ",https://www.google.com/maps/place/N1+Coffee+%26+Co.+%28Tsim+Sha+Tsui%29/data=!4m7!3m6!1s0x340400ee1c4cb06f:0x16019392fc06df75!8m2!3d22.2971553!4d114.1747068!16s%2Fg%2F1q627wgy3!19sChIJb7BMHO4ABDQRdd8G_JKTARY?authuser=0&hl=zh-TW&rclk=1
ChIJD7Hyk08BBDQRaw-thWRWFf4,Xing Ba Ke  (APM),"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,759,"Name: UCC Coffee Shop
link: https://www.google.com/maps/search/UCC+Coffee+Shop/@22.3122535,114.22511829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: The Cupping Room (Guan Tang )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E8%A7%80%E5%A1%98%29/@22.312486699999997,114.22501849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Blooms Coffee (APM)
link: https://www.google.com/maps/search/Blooms+Coffee+%28APM%29/@22.312197200000004,114.2251299?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Lobby Cafe by DS studio
link: https://www.google.com/maps/search/Lobby+Cafe+by+DS+studio/@22.3114599,114.2239341?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Ka Pei Hui Guan You Xian Gong Si 
link: https://www.google.com/maps/search/%E5%92%96%E5%95%A1%E6%9C%83%E9%A4%A8%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/@22.3118841,114.2244217?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.starbucks.com.hk/,Xing Ba Ke  (APM) (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMHV-pPozw8OKI8i1wkpT2TUahepBsEVpBjQCk=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,3.7,07:00-22:00,Open All Days,3542 5191,Guan Tang Dao 418Hao Chuang Ji Zhi Cheng Di Wu Qi  APM 2 Ceng 15 Hao Xing Ba Ke  (APM),"Shu Shi , Zuo , Zhuang Xiu , Bei , Jia Qian , Bo Li , Ke Fu , Gou Wu Zhong Xin , Chuang , Na Tie ",https://www.google.com/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B+%28APM%29/data=!4m7!3m6!1s0x3404014f93f2b10f:0xfe15566485ad0f6b!8m2!3d22.3125899!4d114.2250258!16s%2Fg%2F1tf2pv6f!19sChIJD7Hyk08BBDQRaw-thWRWFf4?authuser=0&hl=zh-TW&rclk=1
ChIJbQ3JbuoABDQRcY7VxhAfInA,Xing Ba Ke ,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,670,"Name: Knockbox Coffee Company
link: https://www.google.com/maps/search/Knockbox+Coffee+Company/@22.3176204,114.17255829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 710 reviews

Name: Pause It
link: https://www.google.com/maps/search/Pause+It/@22.3188733,114.1716623?authuser=0&hl=zh-TW&entry=ttu
Reviews: 474 reviews

Name: An Le Jia Bei 
link: https://www.google.com/maps/search/%E5%AE%89%E6%A8%82%E7%8F%88%E7%90%B2/@22.325817999999998,114.16855799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: The Coffee Academics (Mong Kok)
link: https://www.google.com/maps/search/The+Coffee+Academ%C3%AFcs+%28Mong+Kok%29/@22.318866699999997,114.1685026?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews",http://www.starbucks.com.hk/,Xing Ba Ke  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNIP47zJuN-rov4vMM1gwyg_0vRYND43M3sy5RW=w485-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,3.7,07:00-22:00,Open All Days,3165 8182,"Shop 2, Xing Ba Ke 8 Argyle St, Mong Kok","Zuo Wei , Shu Fu , Bei , Gan Jue , Fu Wu , wifi, Shang Chang , Xuan Ze ",https://www.google.com/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B/data=!4m7!3m6!1s0x340400ea6ec90d6d:0x70221f10c6d58e71!8m2!3d22.3184032!4d114.1686944!16s%2Fg%2F1tgntv6t!19sChIJbQ3JbuoABDQRcY7VxhAfInA?authuser=0&hl=zh-TW&rclk=1
ChIJtcQZbfIABDQRRcD8UTlJMgY,Xing Ba Ke Ka Pei ,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,655,"Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.2973011,114.1728997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 422 reviews

Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.297346299999997,114.17647729999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 256 reviews

Name: Panash Cafe
link: https://www.google.com/maps/search/Panash+Cafe/@22.297024999999998,114.17189590000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 223 reviews

Name: Coffee Corner
link: https://www.google.com/maps/search/Coffee+Corner/@22.2958043,114.17189590000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.2951043,114.16664209999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.starbucks.com.hk/,Xing Ba Ke Ka Pei  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPhgzToXKBdzgox-AcOMiZO66LyLh76d0avVnqc=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,3.9,08:00-22:00,Open All Days,2947 9553,"LB02, Xing Ba Ke Ka Pei  iSQUARE International Plaza, 63 Nathan Rd, Tsim Sha Tsui","Chuang , Shu Shi , Zuo Wei , Mo Cha , Gou Wu Zhong Xin , Kong Jian , Re Dian , Huan Jing , Qia Bu Qi Nuo , Bei ",https://www.google.com/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x340400f26d19c4b5:0x632493951fcc045!8m2!3d22.2967581!4d114.1721685!16s%2Fg%2F1tcy1xr4!19sChIJtcQZbfIABDQRRcD8UTlJMgY?authuser=0&hl=zh-TW&rclk=1
ChIJqRHsimQABDQRJvq1GA6jrZk,Xing Ba Ke ,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,526,"Name: Xing Ba Ke  (Shan Ding )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E5%B1%B1%E9%A0%82%29/@22.2706014,114.1496652?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: Black Sugar Coffee & Lifestyle - Central
link: https://www.google.com/maps/search/Black+Sugar+Coffee+%26+Lifestyle+-+Central/@22.2819549,114.1561536?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: Artisan Cafe Tin Hau
link: https://www.google.com/maps/search/Artisan+Cafe+Tin+Hau/@22.2832328,114.19219179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@22.2831518,114.1570606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.starbucks.com.hk/,Xing Ba Ke  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOkHF7RWk4eLa1G6RXe0Nm2ulpBcoqzaVECtY4p=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,07:00-20:30,Open All Days,2526 1839,"201, Xing Ba Ke 16-20 Chater Rd, Central","Bian Li , Huan Jing , Zhuo Zi , Fan Xin , Hui Yi , Zuo Wei , Sha La , Jia Ge , Liao Tian , 20",https://www.google.com/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B/data=!4m7!3m6!1s0x340400648aec11a9:0x99ada30e18b5fa26!8m2!3d22.281453!4d114.1584445!16s%2Fm%2F0p3r96v!19sChIJqRHsimQABDQRJvq1GA6jrZk?authuser=0&hl=zh-TW&rclk=1
ChIJLw_XI3wABDQR7Q3TGPc6qsQ,Barista Jam,,False,420,"Name: Ban Lu Ka Pei 
link: https://www.google.com/maps/search/%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1/@22.284756299999998,114.14971609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 675 reviews

Name: Kaffeine
link: https://www.google.com/maps/search/Kaffeine/@22.2853119,114.15054339999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 323 reviews

Name: Coco Espresso
link: https://www.google.com/maps/search/Coco+Espresso/@22.285214699999997,114.1523998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Detour
link: https://www.google.com/maps/search/Detour/@22.2862029,114.1489862?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews

Name: Rhythm Coffee
link: https://www.google.com/maps/search/Rhythm+Coffee/@22.287106899999998,114.14933900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",http://www.baristajam.com.hk/,Barista Jam (Ye Zhu ),https://www.google.com/maps/contrib/116842599404319479312,https://lh5.googleusercontent.com/p/AF1QipNLRl3oqdtbt4V1436AcevtBpE6Fmb_7d_mohQb=w408-h270-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,08:00-18:00,Open All Days,2854 2211,"G/F, Barista Jam, 97 Jervois St, Sheung Wan","Dou , Bei , Huan Jing , Nai , San Ming Zhi , flat white, Xiang Wei , Gan Jue , Guang , Jia Ge ",https://www.google.com/maps/place/Barista+Jam/data=!4m7!3m6!1s0x3404007c23d70f2f:0xc4aa3af718d30ded!8m2!3d22.285622!4d114.150544!16s%2Fg%2F1thptfl3!19sChIJLw_XI3wABDQR7Q3TGPc6qsQ?authuser=0&hl=zh-TW&rclk=1
ChIJ28GzWUUBBDQRsKchA7EwzZ8,Coffee Art,,False,340,"Name: MG Cafe
link: https://www.google.com/maps/search/MG+Cafe/@22.3129003,114.2172106?authuser=0&hl=zh-TW&entry=ttu
Reviews: 363 reviews

Name: NUTMAD cafe and dining
link: https://www.google.com/maps/search/NUTMAD+cafe+and+dining/@22.313354,114.2228428?authuser=0&hl=zh-TW&entry=ttu
Reviews: 250 reviews

Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.3108932,114.2262793?authuser=0&hl=zh-TW&entry=ttu
Reviews: 127 reviews

Name: Coffee or tea
link: https://www.google.com/maps/search/Coffee+or+tea/@22.3148834,114.2246718?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews",https://www.facebook.com/coffeeart.kt,Coffee Art (Ye Zhu ),https://www.google.com/maps/contrib/113462334169434819732,https://lh5.googleusercontent.com/p/AF1QipNqpXCR0xr26k1GUybiTGYvq2NXTB4w9ozibhn5=w408-h391-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Zao Wu Can Can Ting , Tian Pin Dian , Can Ting , Xi Can Ting ",3.9,11:30-21:30,Open All Days,5403 7883,"Coffee Art Cheng Ye Jie  7 Hao , Dong Guang Chang Di Xia  46-48 Hao Pu , Kwun Tong","Yi Fen , Sha Lu , Lu Cha , breakfast, Fu Wu , Zuo , Shu Fu , Jian , Mi , Shu Tiao ",https://www.google.com/maps/place/Coffee+Art/data=!4m7!3m6!1s0x3404014559b3c1db:0x9fcd30b10321a7b0!8m2!3d22.3109587!4d114.2262485!16s%2Fg%2F11btm3fk5d!19sChIJ28GzWUUBBDQRsKchA7EwzZ8?authuser=0&hl=zh-TW&rclk=1
ChIJxSWqCPUBBDQR8gdYC_CAPfg,Espresso Alchemy,,False,336,"Name: Mu Yang Shao Nian Ka Pei Guan  (Jian Sha Ju )
link: https://www.google.com/maps/search/%E7%89%A7%E7%BE%8A%E5%B0%91%E5%B9%B4%E5%92%96%E5%95%A1%E9%A4%A8+%28%E5%B0%96%E6%B2%99%E5%92%80%29/@22.2972778,114.1733357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 358 reviews

Name: The Coffee Academics (Harbour City)
link: https://www.google.com/maps/search/The+Coffee+Academ%C3%AFcs+%28Harbour+City%29/@22.296335499999998,114.1687219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 225 reviews

Name: Cupping Room (Harbour City)
link: https://www.google.com/maps/search/Cupping+Room+%28Harbour+City%29/@22.2963456,114.1683446?authuser=0&hl=zh-TW&entry=ttu
Reviews: 108 reviews

Name: Omotesando Koffee (Harbour City)
link: https://www.google.com/maps/search/Omotesando+Koffee+%28Harbour+City%29/@22.299342199999998,114.16813839999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: INFINITI C (Harbour City)
link: https://www.google.com/maps/search/INFINITI+C+%28Harbour+City%29/@22.2947826,114.16632220000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",http://www.alchemycoffee.net/,Espresso Alchemy (Ye Zhu ),https://www.google.com/maps/contrib/117846064836825641216,https://lh5.googleusercontent.com/p/AF1QipN83cMF_c7Uf_1HohkVB57xJZogSIYPNK04EBky=w408-h278-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,08:00-20:30,Open All Days,2610 2998,"Shop G104, G/F, Espresso Alchemy, Gateway Arcade, Hai Gang Cheng 25 Canton Rd, Tsim Sha Tsui","Qing Jiang , Hu Xia , Sheng Tong , Gong , Jiao Tang Jiang , Lu Sun ",https://www.google.com/maps/place/Espresso+Alchemy/data=!4m7!3m6!1s0x340401f508aa25c5:0xf83d80f00b5807f2!8m2!3d22.2995109!4d114.1679292!16s%2Fg%2F11n1591dkc!19sChIJxSWqCPUBBDQR8gdYC_CAPfg?authuser=0&hl=zh-TW&rclk=1
ChIJ8RlimckABDQRwyMXqZZ7bHU,Tai Ping Yang Ka Pei ,,False,250,"Name: Pause It
link: https://www.google.com/maps/search/Pause+It/@22.3188733,114.1716623?authuser=0&hl=zh-TW&entry=ttu
Reviews: 474 reviews

Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.3222329,114.1692564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 351 reviews

Name: An Le Jia Bei 
link: https://www.google.com/maps/search/%E5%AE%89%E6%A8%82%E7%8F%88%E7%90%B2/@22.325817999999998,114.16855799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: EPARK COFFEE
link: https://www.google.com/maps/search/EPARK+COFFEE/@22.3235405,114.1672809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://www.pacificcoffee.com/,Tai Ping Yang Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/106447881482009197028,https://lh5.googleusercontent.com/p/AF1QipO8-3Upn4XKOxwZ5g0JJX0IZiKGobhm-KVrKGs-=w408-h305-k-no,Ka Pei Dian ,Ka Pei Dian ,3.8,07:30-19:00,Open All Days,2350 2400,"Shop A, G/F, Tai Ping Yang Ka Pei Tai Zi Da Lou 222H Fa Yuen St, Mong Kok","Hua , Jia Ge , Shi Chang , Zuo Wei , wifi, latte, Jing Yan , San Ming Zhi , Bei ",https://www.google.com/maps/place/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x340400c9996219f1:0x756c7b96a91723c3!8m2!3d22.3245828!4d114.1701582!16s%2Fg%2F11c2lj2n0f!19sChIJ8RlimckABDQRwyMXqZZ7bHU?authuser=0&hl=zh-TW&rclk=1
ChIJKzRZjlkBBDQRdxvRsF1yeGs,Apt. Coffee Wanchai,,False,245,"Name: Elephant Grounds (Wan Chai)
link: https://www.google.com/maps/search/Elephant+Grounds+%28Wan+Chai%29/@22.276757,114.1682316?authuser=0&hl=zh-TW&entry=ttu
Reviews: 563 reviews

Name: Mansons Lot Coffee House
link: https://www.google.com/maps/search/Mansons+Lot+Coffee+House/@22.2754599,114.17147349999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 376 reviews

Name: Tai Ping Yang Ka Pei 
link: https://www.google.com/maps/search/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/@22.2770477,114.1746795?authuser=0&hl=zh-TW&entry=ttu
Reviews: 330 reviews

Name: Blue Bottle Coffee
link: https://www.google.com/maps/search/Blue+Bottle+Coffee/@22.2760081,114.1691362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews",http://www.apt-coffee.com/,Apt. Coffee Wanchai (Ye Zhu ),https://www.google.com/maps/contrib/109822809569005851015,https://lh5.googleusercontent.com/p/AF1QipNxyUxYS63cU_3IUH0CSB8oDkUQQU-IuPqeeuMo=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,08:00-18:00,Open All Days,3619 4393,"Apt. Coffee Wanchai, Shop A&B,G/f 2, 12 Moon St, Wan Chai","toast, Chao Dan , Suan Zhong , brunch, He Tao , Wu Hua Guo , Mo Jiang ",https://www.google.com/maps/place/Apt.+Coffee+Wanchai/data=!4m7!3m6!1s0x340401598e59342b:0x6b78725db0d11b77!8m2!3d22.2761649!4d114.1684939!16s%2Fg%2F11h5vrmgmq!19sChIJKzRZjlkBBDQRdxvRsF1yeGs?authuser=0&hl=zh-TW&rclk=1
