place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJS6LKcvFVrRIRmVjjPdKlnEA,"Secrets de Pains Aurillac - Pains, Viennoiseries, Patisseries",,False,217,"Name: Boulangerie patisserie Maison Mas & Banette
link: https://www.google.com/maps/search/Boulangerie+p%C3%A2tisserie+Maison+Mas+%26+Banette/@44.9108371,2.4438595?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Le fournil auvergnat
link: https://www.google.com/maps/search/Le+fournil+auvergnat/@44.9110423,2.4266769?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Marie Blachere Boulangerie Sandwicherie Tarterie
link: https://www.google.com/maps/search/Marie+Blach%C3%A8re+Boulangerie+Sandwicherie+Tarterie/@44.9122552,2.4501963?authuser=0&hl=zh-TW&entry=ttu
Reviews: 106 reviews

Name: Au Fournil de Marmiers
link: https://www.google.com/maps/search/Au+Fournil+de+Marmiers/@44.911601,2.435964?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Le Palais Gourmand
link: https://www.google.com/maps/search/Le+Palais+Gourmand/@44.9306518,2.447095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://secretdepain.com/,"Secrets de Pains Aurillac - Pains, Viennoiseries, Patisseries (Ye Zhu )",https://www.google.com/maps/contrib/115861657826456854687,https://lh5.googleusercontent.com/p/AF1QipMKsN1qvNuYNkCmf8wm0yG8K1A9_T2LHVQi66UI=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Kuai Can Dian ",4.2,05:00-19:00,Xing Qi Liu ,+33 4 71 62 77 47,"Secrets de Pains Aurillac - Pains, Viennoiseries, Patisseries, 29 Av. Georges Pompidou, 15000 Aurillac, Fa Guo ","San Ming Zhi , Jia Ge , Xiao Rong , Sha La , Zao Can , Tuan Dui , Yang San , Shu Tiao , Pi Sa ","https://www.google.com/maps/place/Secrets+de+Pains+Aurillac+-+Pains,+Viennoiseries,+P%C3%A2tisseries/data=!4m7!3m6!1s0x12ad55f172caa24b:0x409ca5d23de35899!8m2!3d44.9115752!4d2.4522386!16s%2Fg%2F11b6d3k277!19sChIJS6LKcvFVrRIRmVjjPdKlnEA?authuser=0&hl=zh-TW&rclk=1"
ChIJv_bLBptVrRIR5t3-LtHAYKM,Cafe de France,,False,206,"Name: La Taverne, Table de Caractere
link: https://www.google.com/maps/search/La+Taverne%2C+Table+de+Caract%C3%A8re/@44.9213953,2.4351534999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 786 reviews

Name: La Brasserie d'Aurillac
link: https://www.google.com/maps/search/La+Brasserie+d%27Aurillac/@44.927847299999996,2.4462007999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 434 reviews

Name: Brasserie B 15
link: https://www.google.com/maps/search/Brasserie+B+15/@44.9238152,2.4405228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 178 reviews

Name: Brasserie Le Gravier
link: https://www.google.com/maps/search/Brasserie+Le+Gravier/@44.928073999999995,2.4466326?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: Le Bistrot des Amis
link: https://www.google.com/maps/search/Le+Bistrot+des+Amis/@44.929793,2.4461168?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews",http://www.cafe-de-france.fr/,Cafe de France (Ye Zhu ),https://www.google.com/maps/contrib/103956448412266678659,https://lh5.googleusercontent.com/p/AF1QipOC0z9rZmbZZYc5CnSMHuG3epeVr8TFVqCIM68P=w630-h240-k-no,Fa Shi Can Ting ,"Fa Shi Can Ting , Jiu Ba , Ka Pei Ting , Fa Guo Can Ting ",4.3,"11:00-14:00, 18:00-02:00","Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Ri ",+33 4 71 48 02 27,"Cafe de France, 1 bis Pl. Gerbert, 15000 Aurillac, Fa Guo ","Zao Can , Jia Ge , Chu Fang , Ba , Xiao Rong , Bang Wan , Zhong Wu ",https://www.google.com/maps/place/Caf%C3%A9+de+France/data=!4m7!3m6!1s0x12ad559b06cbf6bf:0xa360c0d12efedde6!8m2!3d44.9299141!4d2.4478348!16s%2Fg%2F1tk69r2m!19sChIJv_bLBptVrRIR5t3-LtHAYKM?authuser=0&hl=zh-TW&rclk=1
ChIJTe2fmJdVrRIRlZCHq2-lZts,Boulangerie - Patisserie - Chocolatier : Maison Proumen,,False,202,"Name: Boulangerie patisserie Maison Mas & Banette
link: https://www.google.com/maps/search/Boulangerie+p%C3%A2tisserie+Maison+Mas+%26+Banette/@44.9108371,2.4438595?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Maison ROUCHET boulangerie patisserie
link: https://www.google.com/maps/search/Maison+ROUCHET+boulangerie+p%C3%A2tisserie/@44.908186699999995,2.4386698?authuser=0&hl=zh-TW&entry=ttu
Reviews: 199 reviews

Name: Maison Cantarel
link: https://www.google.com/maps/search/Maison+Cantarel/@44.9239057,2.4407115?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: P & M Marcou
link: https://www.google.com/maps/search/P+%26+M+Marcou/@44.9279331,2.4421545?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Artisan Boulanger Patissier - G. Moissinac
link: https://www.google.com/maps/search/Artisan+Boulanger+P%C3%A2tissier+-+G.+Moissinac/@44.923726099999996,2.4410751?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",http://www.maison-proumen.fr/,Boulangerie - Patisserie - Chocolatier : Maison Proumen (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNUIZG6ieo_PblgnCTHX61pbGeRtqQvqh0aKbqn=w408-h240-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Gao Bing Dian , Cha Yi Guan ",4.4,06:30-19:00,Xing Qi Yi ,+33 4 71 48 26 27,"Boulangerie - Patisserie - Chocolatier : Maison Proumen, 29 Rue des Carmes, 15000 Aurillac, Fa Guo ","Jia Ge , Tang , Qiao Ke Li , Ma Qia Long , Xuan Ze , San Ming Zhi , Sha La , Mao Yi ",https://www.google.com/maps/place/Boulangerie+-+P%C3%A2tisserie+-+Chocolatier+:+Maison+Proumen/data=!4m7!3m6!1s0x12ad5597989fed4d:0xdb66a56fab879095!8m2!3d44.9261235!4d2.4429076!16s%2Fg%2F1tf83z2q!19sChIJTe2fmJdVrRIRlZCHq2-lZts?authuser=0&hl=zh-TW&rclk=1
ChIJE7oSXs5VrRIRvwJCW8z4I-g,Le fournil auvergnat,,False,200,"Name: Fournil Cafe
link: https://www.google.com/maps/search/Fournil+Caf%C3%A9/@44.914889599999995,2.4409628?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: Boulangerie patisserie Maison Mas & Banette
link: https://www.google.com/maps/search/Boulangerie+p%C3%A2tisserie+Maison+Mas+%26+Banette/@44.9108371,2.4438595?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Boulangerie Llinares Victor Hugo
link: https://www.google.com/maps/search/Boulangerie+Llinares+Victor+Hugo/@44.928771700000006,2.4457622999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 148 reviews

Name: Le Petit Fournil
link: https://www.google.com/maps/search/Le+Petit+Fournil/@44.9206003,2.427078?authuser=0&hl=zh-TW&entry=ttu
Reviews: 108 reviews

Name: Au Fournil de Marmiers
link: https://www.google.com/maps/search/Au+Fournil+de+Marmiers/@44.911601,2.435964?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews",http://www.fournil-auvergnat.com/,Le fournil auvergnat (Ye Zhu ),https://www.google.com/maps/contrib/110667493954632884630,https://lh5.googleusercontent.com/p/AF1QipMk8DVmoYR0Pd_rM7RIZ9p8vkPEkZEzh8yevAsD=w427-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.3,07:00-19:00,Xing Qi Yi ,+33 4 71 64 19 98,"Le fournil auvergnat, 100 Av. Charles de Gaulle, 15000 Aurillac, Fa Guo ","San Ming Zhi , Xiao Rong , Qiao Ke Li Ke Song , Fa Guo Mian Bao , Jia Ge ",https://www.google.com/maps/place/Le+fournil+auvergnat/data=!4m7!3m6!1s0x12ad55ce5e12ba13:0xe823f8cc5b4202bf!8m2!3d44.9110423!4d2.4266769!16s%2Fg%2F1th467sn!19sChIJE7oSXs5VrRIRvwJCW8z4I-g?authuser=0&hl=zh-TW&rclk=1
ChIJy2U8-utVrRIRYMoQQowdaBo,Brasserie B 15,,False,178,"Name: La Taverne, Table de Caractere
link: https://www.google.com/maps/search/La+Taverne%2C+Table+de+Caract%C3%A8re/@44.9213953,2.4351534999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 786 reviews

Name: La Brasserie d'Aurillac
link: https://www.google.com/maps/search/La+Brasserie+d%27Aurillac/@44.927847299999996,2.4462007999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 434 reviews

Name: BRASSERIE de LESCUDILLIER
link: https://www.google.com/maps/search/BRASSERIE+de+LESCUDILLIER/@44.9161456,2.4284276?authuser=0&hl=zh-TW&entry=ttu
Reviews: 251 reviews

Name: Brasserie La Fontaine
link: https://www.google.com/maps/search/Brasserie+La+Fontaine/@44.9282536,2.4459784?authuser=0&hl=zh-TW&entry=ttu
Reviews: 222 reviews

Name: Brasserie Le Gravier
link: https://www.google.com/maps/search/Brasserie+Le+Gravier/@44.928073999999995,2.4466326?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews",https://b15.business.site/,Brasserie B 15 (Ye Zhu ),https://www.google.com/maps/contrib/107328285138439576054,https://lh5.googleusercontent.com/p/AF1QipOu3u5v3YXR8SeU3J_K2dCYr6iqooc6BjnLBV_F=w416-h240-k-no,Fa Shi Can Ting ,"Fa Shi Can Ting , Pi Jiu Guan , Wai Mai Zi Qu Can Ting ",4.3,07:30-18:00,"Xing Qi Liu , Xing Qi Ri ",+33 4 71 64 22 69,"Brasserie B 15, 64 Rue des Carmes, 15000 Aurillac, Fa Guo ","Jia Ge , Liao Li , Bai Pan , Ba , Tuan Dui , Jie Ri , Yi Dao Cai ",https://www.google.com/maps/place/Brasserie+B+15/data=!4m7!3m6!1s0x12ad55ebfa3c65cb:0x1a681d8c4210ca60!8m2!3d44.9238152!4d2.4405228!16s%2Fg%2F1tpfg1_z!19sChIJy2U8-utVrRIRYMoQQowdaBo?authuser=0&hl=zh-TW&rclk=1
ChIJJ77Fm9xVrRIRp9OB89Qst8c,LevIaette Cafe Aurillac,,False,86,"Name: Cafe de France
link: https://www.google.com/maps/search/Caf%C3%A9+de+France/@44.9299141,2.4478348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 205 reviews

Name: Five Eleven
link: https://www.google.com/maps/search/Five+Eleven/@44.93054370000001,2.4464701?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews

Name: Le cafe de ma mere
link: https://www.google.com/maps/search/Le+caf%C3%A9+de+ma+m%C3%A8re/@44.9292076,2.446549?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Sixty Nine Cafe
link: https://www.google.com/maps/search/Sixty+Nine+Caf%C3%A9/@44.9337577,2.4488345?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",https://www.levrettecafe.fr/,LevIaette Cafe Aurillac (Ye Zhu ),https://www.google.com/maps/contrib/116657690413370359209,https://lh5.googleusercontent.com/p/AF1QipMoucjpGrUtLm_Qa-Cxu5EC0pwl_w0Efck3GTh-=w426-h240-k-no,Jiu Ba ,"Jiu Ba , Pi Jiu Guan , Ka Pei Dian , Xi Ban Ya Xiao Shi Jiu Ba , Pu Tao Jiu Ba ",4.3,17:00-00:00,"Xing Qi Yi , Xing Qi Ri ",+33 4 71 46 33 35,"LevIaette Cafe Aurillac, Ancien Bateau Lavoir, Pl. Gerbert, 15000 Aurillac, Fa Guo ","Tuan Dui , Diao Jiu , Gai Nian , Xiang Kuang , DJ",https://www.google.com/maps/place/Lev%D0%AFette+Caf%C3%A9+Aurillac/data=!4m7!3m6!1s0x12ad55dc9bc5be27:0xc7b72cd4f381d3a7!8m2!3d44.9301335!4d2.4486591!16s%2Fg%2F11pcmhm5x7!19sChIJJ77Fm9xVrRIRp9OB89Qst8c?authuser=0&hl=zh-TW&rclk=1
ChIJhUg70RpVrRIRn2akI0L-uVQ,L'Engrenage cafe,,False,63,"Name: Le Kiosque
link: https://www.google.com/maps/search/Le+Kiosque/@44.9281605,2.444305?authuser=0&hl=zh-TW&entry=ttu
Reviews: 264 reviews

Name: FREERIDER CAFE
link: https://www.google.com/maps/search/FREERIDER+CAFE/@44.930565099999995,2.4470137999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: LevIaette Cafe Aurillac
link: https://www.google.com/maps/search/Lev%D0%AFette+Caf%C3%A9+Aurillac/@44.9301335,2.4486591?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: Le Gotham
link: https://www.google.com/maps/search/Le+Gotham/@44.9302473,2.4479423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Sixty Nine Cafe
link: https://www.google.com/maps/search/Sixty+Nine+Caf%C3%A9/@44.9337577,2.4488345?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",https://www.facebook.com/engrenage.cafe/,L'Engrenage cafe (Ye Zhu ),https://www.google.com/maps/contrib/102409741115360765599,https://lh5.googleusercontent.com/p/AF1QipMHeQwOgNleGXw2x3ov_NufMusVa-ma_hKZ-peA=w408-h306-k-no,Jiu Ba ,Jiu Ba ,4.9,,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Liu , Xing Qi Ri ",+33 6 03 09 21 11,"L'Engrenage cafe, 6 Rue des Forgerons, 15000 Aurillac, Fa Guo ","You Xi , Song Bing , Xiao Rong , Yan , Jia Ting ",https://www.google.com/maps/place/L%27Engrenage+caf%C3%A9/data=!4m7!3m6!1s0x12ad551ad13b4885:0x54b9fe4223a4669f!8m2!3d44.9301212!4d2.4463841!16s%2Fg%2F11mts036x2!19sChIJhUg70RpVrRIRn2akI0L-uVQ?authuser=0&hl=zh-TW&rclk=1
ChIJl2WImJlVrRIR2g_jOeGihJk,Helios Cafe,,False,57,"Name: L'Excuse Bar A Bieres
link: https://www.google.com/maps/search/L%27Excuse+Bar+%C3%80+Bi%C3%A8res/@44.930096999999996,2.4481549?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews

Name: Chez Lulu
link: https://www.google.com/maps/search/Chez+Lulu/@44.929280999999996,2.4442497999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 217 reviews

Name: LevIaette Cafe Aurillac
link: https://www.google.com/maps/search/Lev%D0%AFette+Caf%C3%A9+Aurillac/@44.9301335,2.4486591?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: Sixty Nine Cafe
link: https://www.google.com/maps/search/Sixty+Nine+Caf%C3%A9/@44.9337577,2.4488345?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Bar de la Paix
link: https://www.google.com/maps/search/Bar+de+la+Paix/@44.9251067,2.4412537999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews",http://fr-fr.facebook.com/H%25C3%25A9lios-Caf%25C3%25A9-officiel-1481587642055173/,Helios Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOMaBE0oZTff3ChMRj4RB7NkfSrsbyTkwnzdAW6=w408-h426-k-no,Jiu Ba ,Jiu Ba ,4.1,01:00-06:30,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Ri ",+33 4 71 48 02 18,"Helios Cafe, 15 Rue de la Bride, 15000 Aurillac, Fa Guo ",,https://www.google.com/maps/place/H%C3%A9lios+Caf%C3%A9/data=!4m7!3m6!1s0x12ad559998886597:0x9984a2e139e30fda!8m2!3d44.9292569!4d2.4444039!16s%2Fg%2F1tlz8ht6!19sChIJl2WImJlVrRIR2g_jOeGihJk?authuser=0&hl=zh-TW&rclk=1
ChIJIQVuNe5VrRIR5fGY8GbjA2o,Dreams Donuts,,False,52,,http://www.dreamsdonuts.be/,Dreams Donuts (Ye Zhu ),https://www.google.com/maps/contrib/109604856571454661865,https://lh5.googleusercontent.com/p/AF1QipMQa7aM-d4Bnut60m58mwGrhl_JbmDrD5Vk6ohH=w408-h408-k-no,Dong Shuai Dian ,"Dong Shuai Dian , Zhen Zhu Nai Cha Dian , Tian Pin Dian , Fa Shi Gao Bing Dian ",4.6,10:00-18:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+33 9 86 09 92 15,"Dreams Donuts, 17 Rue de la Bride, 15000 Aurillac, Fa Guo ","Xuan Ze , Jing Pin Dian , Zhen Zhu , Jia Ge , Xiao Rong ",https://www.google.com/maps/place/Dreams+Donuts/data=!4m7!3m6!1s0x12ad55ee356e0521:0x6a03e366f098f1e5!8m2!3d44.9291767!4d2.4444504!16s%2Fg%2F11v0_f4ptb!19sChIJIQVuNe5VrRIR5fGY8GbjA2o?authuser=0&hl=zh-TW&rclk=1
ChIJncMxm4dVrRIRfUYKMejdfQ0,Sereni'the a Aurillac,,False,39,"Name: L'Arsene Sur Cour
link: https://www.google.com/maps/search/L%27Ars%C3%A8ne+Sur+Cour/@44.9303795,2.4437547?authuser=0&hl=zh-TW&entry=ttu
Reviews: 375 reviews

Name: Moment'Cafe
link: https://www.google.com/maps/search/Moment%27Caf%C3%A9/@44.928320899999996,2.4450051999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 138 reviews

Name: Le cafe de ma mere
link: https://www.google.com/maps/search/Le+caf%C3%A9+de+ma+m%C3%A8re/@44.9292076,2.446549?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Les ateliers
link: https://www.google.com/maps/search/Les+ateliers/@44.9215995,2.4353968?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: The ou Cafe
link: https://www.google.com/maps/search/Th%C3%A9+ou+Caf%C3%A9/@44.928272299999996,2.4448384?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://www.facebook.com/S%25C3%25A9r%25C3%25A9niTh%25C3%25A9-Aurillac-102972865032075,Sereni'the a Aurillac (Ye Zhu ),https://www.google.com/maps/contrib/106119376491211370859,https://lh5.googleusercontent.com/p/AF1QipOQWdbNRxZ98theskbZq-7dkHZPHaV7csLc_hwS=w408-h306-k-no,Cha Yi Guan ,"Cha Yi Guan , You Ji Can Ting , Su Shi Can Ting ",4.8,09:00-18:30,"Xing Qi Yi , Xing Qi Ri ",+33 4 71 62 76 46,"Sereni'the a Aurillac, 3 Pl. Claude Erignac, 15000 Aurillac, Fa Guo ","Yin Shi , Ta , Bing Qi Lin , Gao ",https://www.google.com/maps/place/S%C3%A9r%C3%A9ni%27th%C3%A9+%C3%A0+Aurillac/data=!4m7!3m6!1s0x12ad55879b31c39d:0xd7ddde8310a467d!8m2!3d44.9294099!4d2.446636!16s%2Fg%2F11n6h06tkv!19sChIJncMxm4dVrRIRfUYKMejdfQ0?authuser=0&hl=zh-TW&rclk=1
