place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJyxZLHUyNWDkR8ZjuJ6EQM-Y,Jay mataji Gujrat babra,,False,1,"Name: JAFRI ICE-CREAM & SODA SHOP
link: https://www.google.com/maps/search/JAFRI+ICE-CREAM+%26+SODA+SHOP/@21.8443898,71.3050128?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Bharkadevi Ice Cream
link: https://www.google.com/maps/search/Bharkadevi+Ice+Cream/@21.850378799999998,71.30341829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Jai Durga Restaurant Babra
link: https://www.google.com/maps/search/Jai+Durga+Restaurant+Babra/@21.8503933,71.30354779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: JAY DURGA PAV BHAJI
link: https://www.google.com/maps/search/JAY+DURGA+PAV+BHAJI/@21.8505215,71.3016425?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://jay-mataji-gujrat-babra.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Jay mataji Gujrat babra (Ye Zhu ),https://www.google.com/maps/contrib/113394389328828299329,https://lh5.googleusercontent.com/p/AF1QipOUdIzteL2NVKpM0a3sC18QeaRcyn33Nx6Mjd8f=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,5,,Open All Days,,"Jay mataji Gujrat babra, high way, Lilvla road, Bhavnagar - Rajkot Rd, Babra, Gujarat 365421Yin Du ",,https://www.google.com/maps/place/Jay+mataji+Gujrat+babra/data=!4m7!3m6!1s0x39588d4c1d4b16cb:0xe63310a127ee98f1!8m2!3d21.8531657!4d71.3005156!16s%2Fg%2F11r7dqsp25!19sChIJyxZLHUyNWDkR8ZjuJ6EQM-Y?authuser=0&hl=zh-TW&rclk=1
ChIJSUhtikGMWDkRyZb148RcxPI,Tirath Garden Restaurant,,False,93,"Name: Pooja Vihar Restaurant
link: https://www.google.com/maps/search/Pooja+Vihar+Restaurant/@21.8453098,71.3115223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 301 reviews

Name: Bhavnath Smily Parlour
link: https://www.google.com/maps/search/Bhavnath+Smily+Parlour/@21.8485294,71.3098083?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Gaytri Restaurants - Babra
link: https://www.google.com/maps/search/Gaytri+Restaurants+-+Babra/@21.845247699999998,71.3115421?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Gurukrupa Restaurant
link: https://www.google.com/maps/search/Gurukrupa+Restaurant/@21.8491823,71.3053872?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: Balkrushan Garden Restaurant
link: https://www.google.com/maps/search/Balkrushan+Garden+Restaurant/@21.8396662,71.297434?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",,Tirath Garden Restaurant (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNwaW5R8r3jQ68FgvY4BOGkFNSurTBLLz_GgKpQ=w419-h240-k-no,Jia Ting Can Ting ,"Jia Ting Can Ting , Zao Can Can Ting , Su Shi Can Ting ",4,09:00-23:00,Open All Days,+91 97234 80514,"R8V7+55W Tirath Garden Restaurant, Bhavnagar-Rajkot Rd,Khakhriya, Babra, Gujarat 365421Yin Du ",,https://www.google.com/maps/place/Tirath+Garden+Restaurant/data=!4m7!3m6!1s0x39588c418a6d4849:0xf2c45cc4e3f596c9!8m2!3d21.8429848!4d71.3129381!16s%2Fg%2F11b_2hx6y9!19sChIJSUhtikGMWDkRyZb148RcxPI?authuser=0&hl=zh-TW&rclk=1
ChIJvTv0dpSNWDkRYpEudDagnEo,JAFRI ICE-CREAM & SODA SHOP,,False,32,"Name: Uma Kothi ice cream
link: https://www.google.com/maps/search/Uma+Kothi+ice+cream/@21.845747600000003,71.31087959999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Jay mataji Gujrat babra
link: https://www.google.com/maps/search/Jay+mataji+Gujrat+babra/@21.853165699999998,71.3005156?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: je bhgvaan keNttrrs baabraa
link: https://www.google.com/maps/search/%E0%AA%9C%E0%AB%87+%E0%AA%AD%E0%AA%97%E0%AA%B5%E0%AA%BE%E0%AA%A8+%E0%AA%95%E0%AB%85%E0%AA%9F%E0%AA%B0%E0%AA%B0%E0%AB%8D%E0%AA%B8+%E0%AA%AC%E0%AA%BE%E0%AA%AC%E0%AA%B0%E0%AA%BE/@21.842167699999997,71.2994875?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,JAFRI ICE-CREAM & SODA SHOP (Ye Zhu ),https://www.google.com/maps/contrib/111161883657000510946,https://lh5.googleusercontent.com/p/AF1QipOcmV9eN7OP0OVcLPmhBDEEEb9x0BToA46OBol4=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,4.6,09:00-23:00,Open All Days,,"JAFRI ICE-CREAM & SODA SHOP, bus stand, Ambrapara, Chital Rd, Babra, Gujarat 365421Yin Du ",,https://www.google.com/maps/place/JAFRI+ICE-CREAM+%26+SODA+SHOP/data=!4m7!3m6!1s0x39588d9476f43bbd:0x4a9ca036742e9162!8m2!3d21.8443898!4d71.3050128!16s%2Fg%2F11g0zqw7q1!19sChIJvTv0dpSNWDkRYpEudDagnEo?authuser=0&hl=zh-TW&rclk=1
ChIJuRyFtGWMWDkRdpF8esNXwwY,Bharkadevi Ice Cream,,False,9,"Name: Madhuram Restaurant &fastfood
link: https://www.google.com/maps/search/Madhuram+Restaurant+%26fastfood/@21.8457392,71.3108997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews

Name: Butbhavani Bakery
link: https://www.google.com/maps/search/Butbhavani+Bakery/@21.845188399999998,71.3049193?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Bharkadevi Pav Bhaji
link: https://www.google.com/maps/search/Bharkadevi+Pav+Bhaji/@21.8453835,71.3110083?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Jai Durga Restaurant Babra
link: https://www.google.com/maps/search/Jai+Durga+Restaurant+Babra/@21.8503933,71.30354779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Jay mataji Gujrat babra
link: https://www.google.com/maps/search/Jay+mataji+Gujrat+babra/@21.853165699999998,71.3005156?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Bharkadevi Ice Cream (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMgRc9n_Bg4anfCyvbkMTuj7EK0Gwln4gxDdWLf=w408-h408-k-no,Xue Gao Dian ,Xue Gao Dian ,3.6,08:00-23:00,Open All Days,,"V823+593 Bharkadevi Ice Cream, Babra, Gujarat 365421Yin Du ",,https://www.google.com/maps/place/Bharkadevi+Ice+Cream/data=!4m7!3m6!1s0x39588c65b4851cb9:0x6c357c37a7c9176!8m2!3d21.8503788!4d71.3034183!16s%2Fg%2F11d_7t5xg2!19sChIJuRyFtGWMWDkRdpF8esNXwwY?authuser=0&hl=zh-TW&rclk=1
ChIJgX88kzeNWDkREbsBs0CUr6I,Zamzam Soda Centre,,False,5,"Name: JAFRI ICE-CREAM & SODA SHOP
link: https://www.google.com/maps/search/JAFRI+ICE-CREAM+%26+SODA+SHOP/@21.8443898,71.3050128?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: je bhgvaan keNttrrs baabraa
link: https://www.google.com/maps/search/%E0%AA%9C%E0%AB%87+%E0%AA%AD%E0%AA%97%E0%AA%B5%E0%AA%BE%E0%AA%A8+%E0%AA%95%E0%AB%85%E0%AA%9F%E0%AA%B0%E0%AA%B0%E0%AB%8D%E0%AA%B8+%E0%AA%AC%E0%AA%BE%E0%AA%AC%E0%AA%B0%E0%AA%BE/@21.842167699999997,71.2994875?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Zamzam Soda Centre (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y31nWxIAYjk85bEGpWsjHg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=223.8741&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,4.8,,Open All Days,,"R7RX+WVX Zamzam Soda Centre, Babra, Gujarat 365421Yin Du ",,https://www.google.com/maps/place/Zamzam+Soda+Centre/data=!4m7!3m6!1s0x39588d37933c7f81:0xa2af9440b301bb11!8m2!3d21.8423555!4d71.2997189!16s%2Fg%2F11h85f804_!19sChIJgX88kzeNWDkREbsBs0CUr6I?authuser=0&hl=zh-TW&rclk=1
ChIJ1TbGHVqNWDkRt0o6NfhEw7U,Uma Kothi ice cream,,False,4,"Name: JAFRI ICE-CREAM & SODA SHOP
link: https://www.google.com/maps/search/JAFRI+ICE-CREAM+%26+SODA+SHOP/@21.8443898,71.3050128?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Shri Shakti Kothi Ice Cream
link: https://www.google.com/maps/search/Shri+Shakti+Kothi+Ice+Cream/@21.6011259,71.2223606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: PM Kothi Ice cream
link: https://www.google.com/maps/search/PM+Kothi+Ice+cream/@21.3346426,71.31127240000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",,Uma Kothi ice cream (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO6xjnl8HnTC1XfEZ2cxwPO9yrD9NiYZV-zv3kb=w408-h544-k-no,Xue Gao Dian ,Xue Gao Dian ,5,,Open All Days,,"R8W6+79R Uma Kothi ice cream, Babra, Gujarat 365421Yin Du ",,https://www.google.com/maps/place/Uma+Kothi+ice+cream/data=!4m7!3m6!1s0x39588d5a1dc636d5:0xb5c344f8353a4ab7!8m2!3d21.8457476!4d71.3108796!16s%2Fg%2F11fl40ycfk!19sChIJ1TbGHVqNWDkRt0o6NfhEw7U?authuser=0&hl=zh-TW&rclk=1
ChIJYcvXl2-NWDkRybUuVYEdRNg,Ram Or Shayam Ice Dish,,False,3,"Name: Bharkadevi Ice Cream
link: https://www.google.com/maps/search/Bharkadevi+Ice+Cream/@21.850378799999998,71.30341829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Shree Khodiyar Farsan
link: https://www.google.com/maps/search/Shree+Khodiyar+Farsan/@21.852333299999998,71.2955267?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Jay mataji Gujrat babra
link: https://www.google.com/maps/search/Jay+mataji+Gujrat+babra/@21.853165699999998,71.3005156?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Ram Or Shayam Ice Dish (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNuSAvdDbEpoJzdDXfLNUDa7LOlRnsg1mN6UB8i=w426-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,3.7,16:00-00:00,Open All Days,,"V822+H6V Ram Or Shayam Ice Dish, Babra, Gujarat 365421Yin Du ",,https://www.google.com/maps/place/Ram+Or+Shayam+Ice+Dish/data=!4m7!3m6!1s0x39588d6f97d7cb61:0xd8441d81552eb5c9!8m2!3d21.8514883!4d71.3005377!16s%2Fg%2F11swcx8zrv!19sChIJYcvXl2-NWDkRybUuVYEdRNg?authuser=0&hl=zh-TW&rclk=1
ChIJOzs0rWWMWDkREyBFQ6WQBvI,Shyam Delux,,False,2,"Name: Balkrushan Garden Restaurant
link: https://www.google.com/maps/search/Balkrushan+Garden+Restaurant/@21.8396662,71.297434?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: s.s. restaurant
link: https://www.google.com/maps/search/s.s.+restaurant/@21.845367,71.3114512?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Jai Durga Restaurant Babra
link: https://www.google.com/maps/search/Jai+Durga+Restaurant+Babra/@21.8503933,71.30354779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Shyam Delux (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO8uf02NsWhhqLQU2oVY9KFb_Fq1b7a5lOmNkOS=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,08:00-18:00,Open All Days,+91 97244 56664,"V823+556 Shyam Delux, Bhavnagar - Rajkot Rd, Babra, Gujarat 365421Yin Du ",,https://www.google.com/maps/place/Shyam+Delux/data=!4m7!3m6!1s0x39588c65ad343b3b:0xf20690a543452013!8m2!3d21.8504209!4d71.3028902!16s%2Fg%2F11c5zyw_xg!19sChIJOzs0rWWMWDkREyBFQ6WQBvI?authuser=0&hl=zh-TW&rclk=1
ChIJa5sC_ZONWDkRpzXPwjFbKN8,Prince Namkeen,,False,2,"Name: Butbhavani Bakery
link: https://www.google.com/maps/search/Butbhavani+Bakery/@21.845188399999998,71.3049193?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: DELUX PAN
link: https://www.google.com/maps/search/DELUX+PAN/@21.8461864,71.3107568?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Chamunda Pan Centre
link: https://www.google.com/maps/search/Chamunda+Pan+Centre/@21.844706199999997,71.3117405?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Prince Namkeen (Ye Zhu ),https://www.google.com/maps/contrib/100670537482606143231,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_I3_f9YIBkb3H3imQo0k1g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=143.17458&pitch=0&thumbfov=100,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4,24 Xiao Shi Ying Ye ,Open All Days,,"Prince Namkeen, Umiya Nagarbabra, Amreli Rd, Babra, Gujarat 365421Yin Du ",,https://www.google.com/maps/place/Prince+Namkeen/data=!4m7!3m6!1s0x39588d93fd029b6b:0xdf285b31c2cf35a7!8m2!3d21.841104!4d71.3025926!16s%2Fg%2F11p6x1ds8h!19sChIJa5sC_ZONWDkRpzXPwjFbKN8?authuser=0&hl=zh-TW&rclk=1
ChIJNTB4GoWNWDkR9ufU_mbbtRc,Chamuda Pan,,False,1,"Name: Bapa sitaram
link: https://www.google.com/maps/search/Bapa+sitaram/@21.682713,71.23157739999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: hNsraajbhaai caa vaallaa nii dukaan
link: https://www.google.com/maps/search/%E0%AA%B9%E0%AA%82%E0%AA%B8%E0%AA%B0%E0%AA%BE%E0%AA%9C%E0%AA%AD%E0%AA%BE%E0%AA%87+%E0%AA%9A%E0%AA%BE+%E0%AA%B5%E0%AA%BE%E0%AA%B3%E0%AA%BE+%E0%AA%A8%E0%AB%80+%E0%AA%A6%E0%AB%81%E0%AA%95%E0%AA%BE%E0%AA%A8/@21.9806423,71.3815712?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",,Chamuda Pan (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"R8X3+C8F Chamuda Pan, Unnamed Road, Babra, Gujarat 365421Yin Du ",,https://www.google.com/maps/place/Chamuda+Pan/data=!4m7!3m6!1s0x39588d851a783035:0x17b5db66fed4e7f6!8m2!3d21.8485618!4d71.3032888!16s%2Fg%2F11h1jscwkb!19sChIJNTB4GoWNWDkR9ufU_mbbtRc?authuser=0&hl=zh-TW&rclk=1
