place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJO7F9zbpPtJER7c8wUsVTQAY,Amazon Coffee,,False,27,"Name: Nacxe Amazon Coffee
link: https://www.google.com/maps/search/Nacxe+Amazon+Coffee/@-5.7552585999999994,-78.4451012?authuser=0&hl=en&entry=ttu
Reviews: 15 reviews

Name: CAC Bagua Grande
link: https://www.google.com/maps/search/CAC+Bagua+Grande/@-5.758395,-78.440435?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Coffee Plaza
link: https://www.google.com/maps/search/Coffee+Plaza/@-5.754037299999999,-78.4425621?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Amacof
link: https://www.google.com/maps/search/Amacof/@-5.7584541,-78.42924?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Negocios Generales Amazonas G&M E.I.R.L
link: https://www.google.com/maps/search/Negocios+Generales+Amazonas+G%26M+E.I.R.L/@-5.7560598999999995,-78.4360805?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/114058164058703/posts/463698755761307/%3Fsubstory_index%3D2,Amazon Coffee (Owner),https://www.google.com/maps/contrib/100204569913465116515,https://lh5.googleusercontent.com/p/AF1QipOzUaG5UlmDtK6_RCgLnBD6AXRx8J1W4feQcSop=w408-h612-k-no,Coffee shop,Coffee shop,4.7,2-11 PM,Open All Days,+51 970 295 457,"Amazon Coffee, Jr. Jorge chavez 125, Bagua Grande 01621, Peru",,https://www.google.com/maps/place/Amazon+Coffee/data=!4m7!3m6!1s0x91b44fbacd7db13b:0x64053c55230cfed!8m2!3d-5.7549609!4d-78.4404117!16s%2Fg%2F11s0q2chy9!19sChIJO7F9zbpPtJER7c8wUsVTQAY?authuser=0&hl=en&rclk=1
ChIJC1udxCVPtJERMA7Sl68BmEI,La Cabana Cafe y Pasteleria,,False,11,"Name: Panaderia y Pasteleria La Dulzura
link: https://www.google.com/maps/search/Panader%C3%ADa+y+Pasteler%C3%ADa+La+Dulzura/@-5.7572867,-78.442239?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Rumba & Sabor
link: https://www.google.com/maps/search/Rumba+%26+Sabor/@-5.7565732,-78.4529761?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: F Panaderia
link: https://www.google.com/maps/search/F+Panader%C3%ADa/@-5.7619672,-78.44593119999999?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Panaderia y Pasteleria Andino EIRL
link: https://www.google.com/maps/search/Panaderia+y+Pasteleria+Andino+EIRL/@-5.7568043,-78.4385904?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Pasteleria Sealcas
link: https://www.google.com/maps/search/Pasteleria+Sealcas/@-5.7561025,-78.440748?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://la-cabana-cafe-y-pasteleria.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,La Cabana Cafe y Pasteleria (Owner),https://www.google.com/maps/contrib/102895525215613709135,https://lh5.googleusercontent.com/p/AF1QipOy954vA1ldJPPGqQ4xYkgC1sXvsAMT9TIiGvGi=w408-h544-k-no,Cafeteria,Cafeteria,4.3,7 AM-10 PM,Open All Days,,"La Cabana Cafe y Pasteleria, Jiron, Simon Bolivar 289, Bagua Grande, Peru",,https://www.google.com/maps/place/La+Caba%C3%B1a+Cafe+y+Pasteleria/data=!4m7!3m6!1s0x91b44f25c49d5b0b:0x429801af97d20e30!8m2!3d-5.7547435!4d-78.4418779!16s%2Fg%2F11mpclmhhw!19sChIJC1udxCVPtJERMA7Sl68BmEI?authuser=0&hl=en&rclk=1
ChIJradjsKJPtJERIwwuKOqOsFw,CAC Bagua Grande,,False,7,"Name: Cooperativa Agraria Cafetalera Bagua Grande LTDA
link: https://www.google.com/maps/search/Cooperativa+Agraria+Cafetalera+Bagua+Grande+LTDA/@-5.7662178,-78.4247788?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews

Name: Cooperativa Agraria Bagua Grande - Oficina
link: https://www.google.com/maps/search/Cooperativa+Agraria+Bagua+Grande+-+Oficina/@-5.7581792,-78.440342?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Centro de acopio-CECAFE- Bagua Grande
link: https://www.google.com/maps/search/Centro+de+acopio-CECAFE-+Bagua+Grande/@-5.7657567,-78.4269217?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Cooperativa Agraria Bagua Grande - Estacionamiento
link: https://www.google.com/maps/search/Cooperativa+Agraria+Bagua+Grande+-+Estacionamiento/@-5.758895600000001,-78.4404991?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Amacof
link: https://www.google.com/maps/search/Amacof/@-5.7584541,-78.42924?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://cacbaguagrande.pe/,CAC Bagua Grande (Owner),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tUFx1W_Op6Ro4E14Fg5OAQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=114.52728&pitch=0&thumbfov=100,Corporate office,Corporate office,3.6,,Open All Days,,"CAC Bagua Grande, Jose Santos Chocano 1201, Bagua Grande 01621, Peru",,https://www.google.com/maps/place/CAC+Bagua+Grande/data=!4m7!3m6!1s0x91b44fa2b063a7ad:0x5cb08eea282e0c23!8m2!3d-5.758395!4d-78.440435!16s%2Fg%2F11dxlg82ft!19sChIJradjsKJPtJERIwwuKOqOsFw?authuser=0&hl=en&rclk=1
ChIJl7VW6yRPtJER9lHxUcZ1KU8,Pasteleria Sealcas,,False,1,"Name: La Cabana Cafe y Pasteleria
link: https://www.google.com/maps/search/La+Caba%C3%B1a+Cafe+y+Pasteleria/@-5.7547435,-78.4418779?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: Panaderia y Pasteleria La Dulzura
link: https://www.google.com/maps/search/Panader%C3%ADa+y+Pasteler%C3%ADa+La+Dulzura/@-5.7572867,-78.442239?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Pasteleria Las Delicias
link: https://www.google.com/maps/search/Pasteler%C3%ADa+Las+Delicias/@-5.6378314,-78.53185359999999?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: F Panaderia
link: https://www.google.com/maps/search/F+Panader%C3%ADa/@-5.7619672,-78.44593119999999?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Panaderia y Pasteleria Andino EIRL
link: https://www.google.com/maps/search/Panaderia+y+Pasteleria+Andino+EIRL/@-5.7568043,-78.4385904?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://web.facebook.com/Pasteleria-Sealcas-108847507150318/,Pasteleria Sealcas (Owner),https://www.google.com/maps/contrib/105954079486769081744,https://lh5.googleusercontent.com/p/AF1QipPnYc3HuoZg4NaOrCPdtLy85e1HO9oJWOGtvh5Q=w426-h240-k-no,Cake shop,Cake shop,5,5 AM-9 PM,Open All Days,+51 916 718 507,"Pasteleria Sealcas, Av. Chachapoyas 2277, Bagua Grande 01001, Peru",,https://www.google.com/maps/place/Pasteleria+Sealcas/data=!4m7!3m6!1s0x91b44f24eb56b597:0x4f2975c651f151f6!8m2!3d-5.7561025!4d-78.440748!16s%2Fg%2F11h_bnbdfd!19sChIJl7VW6yRPtJER9lHxUcZ1KU8?authuser=0&hl=en&rclk=1
ChIJmxt7mF1PtJERM20_4WT-aic,Valley Coffee Trading S.A.C.,,False,,"Name: CAC Bagua Grande
link: https://www.google.com/maps/search/CAC+Bagua+Grande/@-5.758395,-78.440435?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Coffee Plaza
link: https://www.google.com/maps/search/Coffee+Plaza/@-5.754037299999999,-78.4425621?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Centro de acopio-CECAFE- Bagua Grande
link: https://www.google.com/maps/search/Centro+de+acopio-CECAFE-+Bagua+Grande/@-5.7657567,-78.4269217?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: De Altura Cafe Bar
link: https://www.google.com/maps/search/De+Altura+Cafe+Bar/@-5.756664,-78.443955?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Negocios Generales Amazonas G&M E.I.R.L
link: https://www.google.com/maps/search/Negocios+Generales+Amazonas+G%26M+E.I.R.L/@-5.7560598999999995,-78.4360805?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://cafedelvalle.org/,Valley Coffee Trading S.A.C. (Owner),https://www.google.com/maps/contrib/103554816390525484874,https://lh5.googleusercontent.com/p/AF1QipMMgtCpAqSx27pp3iFaLJ80LMw7MC_zPTo22Mjk=w408-h288-k-no,Commercial agent,Commercial agent,,8 AM-6 PM,Sunday,,"Valley Coffee Trading S.A.C., Sec. San Luis, Jr, Mayta Capac Nro. 950, Bagua Grande 01621, Peru",,https://www.google.com/maps/place/Valley+Coffee+Trading+S.A.C./data=!4m7!3m6!1s0x91b44f5d987b1b9b:0x276afe64e13f6d33!8m2!3d-5.7650322!4d-78.4244116!16s%2Fg%2F11t7f36d__!19sChIJmxt7mF1PtJERM20_4WT-aic?authuser=0&hl=en&rclk=1
ChIJOT5XN89PtJERjF6wlMNKNjw,La Confetteria - Pastry Coffe,,False,,,https://www.facebook.com/profile.php%3Fid%3D100063474671566%26mibextid%3DLQQJ4d,La Confetteria - Pastry Coffe (Owner),https://www.google.com/maps/contrib/114268126135974461688,https://lh5.googleusercontent.com/p/AF1QipNQPdsmfuJQanv0Ppyvl-9EzdyPqRnlev_SPkxQ=w408-h271-k-no,Pastry shop,Pastry shop,,3:30-10:30 PM,Monday,+51 944 680 345,"La Confetteria - Pastry Coffe, Angamos 113, Bagua Grande 01621, Peru",,https://www.google.com/maps/place/La+Confetteria+-+Pastry+Coffe/data=!4m7!3m6!1s0x91b44fcf37573e39:0x3c364ac394b05e8c!8m2!3d-5.7558201!4d-78.4406676!16s%2Fg%2F11l6znn0r6!19sChIJOT5XN89PtJERjF6wlMNKNjw?authuser=0&hl=en&rclk=1
ChIJMTPHs_RPtJERKOQDR6oV6Z8,Bar La oficina,,False,,,https://www.facebook.com/la.oficina.video.pub%3Fmibextid%3DZbWKwL,Bar La oficina (Owner),https://www.google.com/maps/contrib/106133847814071676648,https://lh5.googleusercontent.com/p/AF1QipP67NSYjB5-yYuEyPGpSXZmEsPL4ddZjytNs-O8=w408-h302-k-no,Gastropub,Gastropub,,4 PM-12 AM,Open All Days,+51 937 346 575,"Bar La oficina, Higos Urco 234, Bagua Grande 01621, Peru",,https://www.google.com/maps/place/Bar+La+oficina/data=!4m7!3m6!1s0x91b44ff4b3c73331:0x9fe915aa4703e428!8m2!3d-5.7563368!4d-78.4422221!16s%2Fg%2F11v9vsq40c!19sChIJMTPHs_RPtJERKOQDR6oV6Z8?authuser=0&hl=en&rclk=1
ChIJRzC_FqBPtJERlO5oxXqlDow,Restaurante Rebeca,,False,153,"Name: Restaurante ""El Chacho""
link: https://www.google.com/maps/search/Restaurante+%22El+Chacho%22/@-5.7554934,-78.43936529999999?authuser=0&hl=en&entry=ttu
Reviews: 223 reviews

Name: Restaurant Romana
link: https://www.google.com/maps/search/Restaurant+Romana/@-5.7548791999999995,-78.4430375?authuser=0&hl=en&entry=ttu
Reviews: 93 reviews

Name: Restaurante ""El Dorado"" en AV. MARIANO MELGAR 1323 Bagua grande utcubamba Amazonas Peru
link: https://www.google.com/maps/search/Restaurante+%22El+Dorado%22+en+AV.+MARIANO+MELGAR+1323+Bagua+grande+utcubamba+Amazonas+Per%C3%BA/@-5.7590021,-78.4398021?authuser=0&hl=en&entry=ttu
Reviews: 14 reviews

Name: RESTAURANT EL CUMBENITO
link: https://www.google.com/maps/search/RESTAURANT+EL+CUMBE%C3%91ITO/@-5.7570434,-78.4374945?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: La Rebeca
link: https://www.google.com/maps/search/La+Rebeca/@-5.756664,-78.443955?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",,Restaurante Rebeca (Owner),,https://lh5.googleusercontent.com/p/AF1QipO8xI7R4yNc-oTSM1rpUt2cw_R-OInN5QKBpcoE=w408-h306-k-no,Restaurant,Restaurant,4.1,7 AM-10 PM,Open All Days,,"6HR9+PMW Restaurante Rebeca, Bagua Grande 01621, Peru",cooked,https://www.google.com/maps/place/Restaurante+Rebeca/data=!4m7!3m6!1s0x91b44fa016bf3047:0x8c0ea57ac568ee94!8m2!3d-5.7581347!4d-78.4307976!16s%2Fg%2F11fxw6khpn!19sChIJRzC_FqBPtJERlO5oxXqlDow?authuser=0&hl=en&rclk=1
ChIJVxFV8rxPtJERfDqFUDKdX0I,Heladeria El Refugio,,False,56,"Name: Heladeria ""La Colmena""
link: https://www.google.com/maps/search/Heladeria+%22La+Colmena%22/@-5.755431,-78.4428009?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Fuente de Soda LAC DAY
link: https://www.google.com/maps/search/Fuente+de+Soda+LAC+DAY/@-5.755458399999999,-78.4397563?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: FARUK
link: https://www.google.com/maps/search/FARUK/@-5.754106999999999,-78.4414841?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: HELADOS ICE CREAM
link: https://www.google.com/maps/search/HELADOS+ICE+CREAM/@-5.6394421999999995,-78.5326163?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",,Heladeria El Refugio (Owner),https://www.google.com/maps/contrib/116443269975992291271,https://lh5.googleusercontent.com/p/AF1QipPe6NhNh-4aXbK2Aoao7LN1i0g0yKLoTC6l89m9=w408-h307-k-no,Ice cream shop,Ice cream shop,4,3:30-10:30 PM,"Tuesday, Saturday",+51 958 477 334,"Heladeria El Refugio, Daniel A Carrion 595, Bagua Grande 01621, Peru",,https://www.google.com/maps/place/Helader%C3%ADa+El+Refugio/data=!4m7!3m6!1s0x91b44fbcf2551157:0x425f9d3250853a7c!8m2!3d-5.7502258!4d-78.4465533!16s%2Fg%2F11fx8hmhv4!19sChIJVxFV8rxPtJERfDqFUDKdX0I?authuser=0&hl=en&rclk=1
ChIJ9c3AtqpPtJERg9u2B-PMwD0,Nacxe Amazon Coffee,,False,15,"Name: Amazon Coffee
link: https://www.google.com/maps/search/Amazon+Coffee/@-5.7549608999999995,-78.4404117?authuser=0&hl=en&entry=ttu
Reviews: 27 reviews

Name: La Cabana Cafe y Pasteleria
link: https://www.google.com/maps/search/La+Caba%C3%B1a+Cafe+y+Pasteleria/@-5.7547435,-78.4418779?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: CAC Bagua Grande
link: https://www.google.com/maps/search/CAC+Bagua+Grande/@-5.758395,-78.440435?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Coffee Plaza
link: https://www.google.com/maps/search/Coffee+Plaza/@-5.754037299999999,-78.4425621?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Amacof
link: https://www.google.com/maps/search/Amacof/@-5.7584541,-78.42924?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",,Nacxe Amazon Coffee (Owner),,https://lh5.googleusercontent.com/p/AF1QipNILguICgbjh7G8n99A2keSKeIyIFXnefxB6hvk=w408-h725-k-no,Cafe,Cafe,4.1,,Open All Days,+51 41 261714,"Nacxe Amazon Coffee, Mariscal Castilla 413, Bagua Grande 01621, Peru",,https://www.google.com/maps/place/Nacxe+Amazon+Coffee/data=!4m7!3m6!1s0x91b44faab6c0cdf5:0x3dc0cce307b6db83!8m2!3d-5.7552586!4d-78.4451012!16s%2Fg%2F11g0g2jdpt!19sChIJ9c3AtqpPtJERg9u2B-PMwD0?authuser=0&hl=en&rclk=1
