place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZZ7RVQHORBYRVDIt5UXpj3s,Blue Jayz Bar and Restaurant,,False,17,"Name: Wude Coffee
link: https://www.google.com/maps/search/Wude+Coffee/@11.5976451,37.3840071?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: chachaho yabaahele megebe beete-Checheho Cultural Restaurant
link: https://www.google.com/maps/search/%E1%8C%A8%E1%8C%A8%E1%88%86+%E1%8B%A8%E1%89%A3%E1%88%85%E1%88%8D+%E1%88%9D%E1%8C%8D%E1%89%A5+%E1%89%A4%E1%89%B5-Checheho+Cultural+Restaurant/@11.5980713,37.3834592?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Lemat Restaurant
link: https://www.google.com/maps/search/Lemat+Restaurant/@11.5942391,37.3921274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Piazza Restaurant & Bar
link: https://www.google.com/maps/search/Piazza+Restaurant+%26+Bar/@11.593027,37.3883037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://blue-jayz-restaurant.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Blue Jayz Bar and Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/105142824006517870156,https://lh5.googleusercontent.com/p/AF1QipMYWaTLaBfSh1HmSiz7xIsFS16-tuiotPL00D6j=w408-h272-k-no,Can Ting ,"Can Ting , Jiu Ba , Mao Mi Ji Su Zhong Xin ",4.5,07:00-20:00,Open All Days,+251 91 834 1031,"H9VP+GVG Blue Jayz Bar and Restaurant, Bahir Dar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Blue+Jayz+Bar+and+Restaurant/data=!4m7!3m6!1s0x1644ce0155d19e65:0x7b8fe945e52d3254!8m2!3d11.5939109!4d37.3872835!16s%2Fg%2F1hhmtqby_!19sChIJZZ7RVQHORBYRVDIt5UXpj3s?authuser=0&hl=zh-TW&rclk=1
ChIJyUIuXMnPRBYRECsfC_iKdc4,Th HuB coffee maker,,False,16,"Name: Wude Coffee
link: https://www.google.com/maps/search/Wude+Coffee/@11.5976451,37.3840071?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Ours Cafe
link: https://www.google.com/maps/search/Ours+Cafe/@11.59366,37.3878091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Karibu Coffee
link: https://www.google.com/maps/search/Karibu+Coffee/@11.593922,37.386801399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Fikir coffee
link: https://www.google.com/maps/search/Fikir+coffee/@11.5953029,37.3870181?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Naty
link: https://www.google.com/maps/search/Naty/@11.575899999999999,37.375364?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://coffee-hub-coffee-store.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Th HuB coffee maker (Ye Zhu ),https://www.google.com/maps/contrib/106006491354058547614,https://lh5.googleusercontent.com/p/AF1QipN4YTWWBDgmHWRbSY0gHg5c0jwDOhKjBP0MclSV=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.7,07:00-20:45,Open All Days,,"Th HuB coffee maker, Georgis road, Bahir Dar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Th+HuB+coffee+maker/data=!4m7!3m6!1s0x1644cfc95c2e42c9:0xce758af80b1f2b10!8m2!3d11.5934677!4d37.3882328!16s%2Fg%2F11jgnv248j!19sChIJyUIuXMnPRBYRECsfC_iKdc4?authuser=0&hl=zh-TW&rclk=1
ChIJh2SpCJbNRBYRfY2leLtHxSU,Enabe Coffee Shop,,False,15,"Name: Zenbaba Cafe and Restaurant
link: https://www.google.com/maps/search/Zenbaba+Cafe+and+Restaurant/@11.599940799999999,37.3668197?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Abrhot Cafe
link: https://www.google.com/maps/search/Abrhot+Cafe/@11.585606199999999,37.3767414?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Wow Coffee / waawe bunaa
link: https://www.google.com/maps/search/Wow+Coffee+%2F+%E1%8B%8B%E1%8B%8D+%E1%89%A1%E1%8A%93/@11.597041700000002,37.3750339?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Wombo coffee wamebo kofi
link: https://www.google.com/maps/search/Wombo+coffee+%E1%8B%88%E1%88%9D%E1%89%A6+%E1%8A%AE%E1%8D%8A/@11.6001018,37.372567499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://enabe-coffee-shop.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Enabe Coffee Shop (Ye Zhu ),https://www.google.com/maps/contrib/101721722623687704235,https://lh5.googleusercontent.com/p/AF1QipO-cWnyVDJpsXNxp4lKMiADAUQUgmbXd-7KeOKa=w408-h544-k-no,Ka Pei Hong Bei Shang ,Ka Pei Hong Bei Shang ,4.6,01:00-21:00,"Xing Qi Si , Xing Qi Liu ",+251 91 369 4369,"Enabe Coffee Shop, Bahir Dar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Enabe+Coffee+Shop/data=!4m7!3m6!1s0x1644cd9608a96487:0x25c547bb78a58d7d!8m2!3d11.5988796!4d37.3646622!16s%2Fg%2F11f6cj7hhc!19sChIJh2SpCJbNRBYRfY2leLtHxSU?authuser=0&hl=zh-TW&rclk=1
ChIJD0IeserPRBYRYZxkxiqzCZs,Unison Cafe yunisane kaafee,,False,13,"Name: Wude Coffee
link: https://www.google.com/maps/search/Wude+Coffee/@11.5976451,37.3840071?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Ours Cafe
link: https://www.google.com/maps/search/Ours+Cafe/@11.59366,37.3878091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Th HuB coffee maker
link: https://www.google.com/maps/search/Th+HuB+coffee+maker/@11.593467700000001,37.3882328?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Yomucha Coffee Club
link: https://www.google.com/maps/search/Yomucha+Coffee+Club/@11.593691,37.385397999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Grand Cafe
link: https://www.google.com/maps/search/Grand+Cafe/@11.591807699999999,37.388312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.unisonhotelandspa.com/,Unison Cafe yunisane kaafee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN6cLkfKme6jery49SbTwqGVHmm9GRIulQ8_wAG=w493-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4,06:00-22:00,Open All Days,,"H9WP+74J Unison Cafe yunisane kaafee, Mulualem Rd, Bahir Dar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Unison+Cafe+%E1%8B%A9%E1%8A%92%E1%88%B0%E1%8A%95+%E1%8A%AB%E1%8D%8C/data=!4m7!3m6!1s0x1644cfeab11e420f:0x9b09b32ac6649c61!8m2!3d11.5957039!4d37.3852686!16s%2Fg%2F11j3wxcjrt!19sChIJD0IeserPRBYRYZxkxiqzCZs?authuser=0&hl=zh-TW&rclk=1
ChIJpZGiP2zPRBYRpBlTNgdEH8M,Ras Coffee,,False,10,"Name: Th HuB coffee maker
link: https://www.google.com/maps/search/Th+HuB+coffee+maker/@11.593467700000001,37.3882328?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Melat Cafe
link: https://www.google.com/maps/search/Melat+Cafe/@11.5926932,37.3883575?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Afro Coffee
link: https://www.google.com/maps/search/Afro+Coffee/@11.5936705,37.389367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Merry Coffee, foods
link: https://www.google.com/maps/search/Merry+Coffee%2C+foods/@11.594606,37.3835014?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Fikir coffee
link: https://www.google.com/maps/search/Fikir+coffee/@11.5953029,37.3870181?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.rascoffee.com/,Ras Coffee (Ye Zhu ),https://www.google.com/maps/contrib/102981950682275074554,https://lh5.googleusercontent.com/p/AF1QipNoj55wRM7ROVoFv7HUhyCuHBvFVmwnix1getld=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,,Open All Days,+251 91 127 0701,"Ras Coffee, A3, Bahir Dar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Ras+Coffee/data=!4m7!3m6!1s0x1644cf6c3fa291a5:0xc31f4407365319a4!8m2!3d11.5945733!4d37.3926906!16s%2Fg%2F11jh2y0xbb!19sChIJpZGiP2zPRBYRpBlTNgdEH8M?authuser=0&hl=zh-TW&rclk=1
ChIJ8bMbqZHNRBYR52rlW9w34D4,Goh cafe and restaurant,,False,9,"Name: Wude Coffee
link: https://www.google.com/maps/search/Wude+Coffee/@11.5976451,37.3840071?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Ours Cafe
link: https://www.google.com/maps/search/Ours+Cafe/@11.59366,37.3878091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: FOOD WAY RESTORANT&cafe
link: https://www.google.com/maps/search/FOOD+WAY+RESTORANT%26cafe/@11.5936598,37.38678000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Melat Cafe
link: https://www.google.com/maps/search/Melat+Cafe/@11.5926932,37.3883575?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://gohcafeandrestaurant.durable.co/,Goh cafe and restaurant (Ye Zhu ),https://www.google.com/maps/contrib/111527757634344261097,https://lh5.googleusercontent.com/p/AF1QipPOLELqH8DpODtYo8BB_tsWGIhgsbYuIHF8TB24=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Mian Bao Xi Bing Dian , Can Ting ",4.3,06:00-21:00,Open All Days,+251 92 025 2181,"Goh cafe and restaurant, Bahir Dar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Goh+cafe+and+restaurant/data=!4m7!3m6!1s0x1644cd91a91bb3f1:0x3ee037dc5be56ae7!8m2!3d11.6050737!4d37.3652406!16s%2Fg%2F11sz3lx0yy!19sChIJ8bMbqZHNRBYR52rlW9w34D4?authuser=0&hl=zh-TW&rclk=1
ChIJvYz_UnLPRBYRi5htzVhM2RY,Dinp Restaurant & Bar,,False,4,"Name: Misrak Restaurant meseraaqe leyu megebe
link: https://www.google.com/maps/search/Misrak+Restaurant+%E1%88%9D%E1%88%B5%E1%88%AB%E1%89%85+%E1%88%8D%E1%8B%A9+%E1%88%9D%E1%8C%8D%E1%89%A5/@11.5991822,37.3819665?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: FOOD WAY RESTORANT&cafe
link: https://www.google.com/maps/search/FOOD+WAY+RESTORANT%26cafe/@11.5936598,37.38678000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: dabera berehaane
link: https://www.google.com/maps/search/%E1%8B%B0%E1%89%A5%E1%88%A8+%E1%89%A5%E1%88%AD%E1%88%83%E1%8A%95/@11.595053199999999,37.3861753?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Central Snacks & Pastry
link: https://www.google.com/maps/search/Central+Snacks+%26+Pastry/@11.5912429,37.3900688?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Merry Coffee, foods
link: https://www.google.com/maps/search/Merry+Coffee%2C+foods/@11.594606,37.3835014?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.mmwdinp.com/,Dinp Restaurant & Bar (Ye Zhu ),https://www.google.com/maps/contrib/108262531926720865475,https://lh5.googleusercontent.com/p/AF1QipNgxxkffcR-iWO1a7CePSNDp2XgZcZxFlHrIDw9=w533-h240-k-no,Can Ting ,Can Ting ,3.8,06:00-22:00,Open All Days,+251 94 944 4444,"Dinp Restaurant & Bar, Mulualem Rd, Bahir Dar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Dinp+Restaurant+%26+Bar/data=!4m7!3m6!1s0x1644cf7252ff8cbd:0x16d94c58cd6d988b!8m2!3d11.5954342!4d37.3849674!16s%2Fg%2F11h810v_qt!19sChIJvYz_UnLPRBYRi5htzVhM2RY?authuser=0&hl=zh-TW&rclk=1
ChIJ_dTzhbbNRBYRSZM66bCB1jQ,Nigest bar & restaurant negesete baare 'enaa reesetoraanete,,False,4,"Name: Blue Jayz Bar and Restaurant
link: https://www.google.com/maps/search/Blue+Jayz+Bar+and+Restaurant/@11.5939109,37.3872835?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Lemat Restaurant
link: https://www.google.com/maps/search/Lemat+Restaurant/@11.5942391,37.3921274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Piazza Restaurant & Bar
link: https://www.google.com/maps/search/Piazza+Restaurant+%26+Bar/@11.593027,37.3883037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Yenemar Restaurant
link: https://www.google.com/maps/search/Yenemar+Restaurant/@11.6039722,37.371844599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://nigestrestaurant.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Nigest bar & restaurant negesete baare 'enaa reesetoraanete (Ye Zhu ),https://www.google.com/maps/contrib/106268901845081518391,https://lh5.googleusercontent.com/p/AF1QipOYdVmsC52trCgIsV671zSKWVHB3It8ZFQqnR1w=w457-h240-k-no,Can Ting ,Can Ting ,3.8,,Open All Days,+251 91 871 3366,"7G3VJ937+JG Nigest bar & restaurant negesete baare 'enaa reesetoraanete, Bahir Dar 6000Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Nigest+bar+%26+restaurant+%E1%8A%95%E1%8C%8D%E1%88%B5%E1%89%B5+%E1%89%A3%E1%88%AD+%E1%8A%A5%E1%8A%93+%E1%88%AC%E1%88%B5%E1%89%B6%E1%88%AB%E1%8A%95%E1%89%B5/data=!4m7!3m6!1s0x1644cdb685f3d4fd:0x34d681b0e93a9349!8m2!3d11.6040319!4d37.3637811!16s%2Fg%2F11qnv4y01d!19sChIJ_dTzhbbNRBYRSZM66bCB1jQ?authuser=0&hl=zh-TW&rclk=1
ChIJwZeaF4jTRBYRdV5WrpyvYq0,Celine Coffee,,False,,"Name: Naty
link: https://www.google.com/maps/search/Naty/@11.575899999999999,37.375364?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: 14(NO SIGNAL SEFER)
link: https://www.google.com/maps/search/14%28NO+SIGNAL+SEFER%29/@11.5815437,37.3748115?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Nile Cafe
link: https://www.google.com/maps/search/Nile+Cafe/@11.5909538,37.3887169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Ethiopia traditional Coffee
link: https://www.google.com/maps/search/Ethiopia+traditional+Coffee/@11.5952678,37.386587299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.celinecoffee.com/,Celine Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOIdtqUyj1toWesesECeCp_XCJUtpgmFypAIO_F=w408-h373-k-no,Ka Pei Dian ,Ka Pei Dian ,,07:30-19:30,Open All Days,+251 92 067 4067,"Celine Coffee, Bahir Dar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Celine+Coffee/data=!4m7!3m6!1s0x1644d388179a97c1:0xad62af9cae565e75!8m2!3d11.5742086!4d37.3613533!16s%2Fg%2F11t6xmpp0_!19sChIJwZeaF4jTRBYRdV5WrpyvYq0?authuser=0&hl=zh-TW&rclk=1
ChIJXZ1lWv3NRBYR5IkaGVP5bRk,Wude Coffee,,False,67,"Name: chachaho yabaahele megebe beete-Checheho Cultural Restaurant
link: https://www.google.com/maps/search/%E1%8C%A8%E1%8C%A8%E1%88%86+%E1%8B%A8%E1%89%A3%E1%88%85%E1%88%8D+%E1%88%9D%E1%8C%8D%E1%89%A5+%E1%89%A4%E1%89%B5-Checheho+Cultural+Restaurant/@11.5980713,37.3834592?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Blue Jayz Bar and Restaurant
link: https://www.google.com/maps/search/Blue+Jayz+Bar+and+Restaurant/@11.5939109,37.3872835?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: FOOD WAY RESTORANT&cafe
link: https://www.google.com/maps/search/FOOD+WAY+RESTORANT%26cafe/@11.5936598,37.38678000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Piazza Restaurant & Bar
link: https://www.google.com/maps/search/Piazza+Restaurant+%26+Bar/@11.593027,37.3883037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",,Wude Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMiskONf6TaK_HegqB5LqQ_QxmnFNU7nd1ZbfmO=w408-h306-k-no,Can Ting ,Can Ting ,4,24 Xiao Shi Ying Ye ,Open All Days,,"H9XM+3J2 Wude Coffee, Bahir Dar, Ai Sai E Bi Ya ","Ka Pei Ting , Zao Can ",https://www.google.com/maps/place/Wude+Coffee/data=!4m7!3m6!1s0x1644cdfd5a659d5d:0x196df953191a89e4!8m2!3d11.5976451!4d37.3840071!16s%2Fg%2F11c2nt2rnl!19sChIJXZ1lWv3NRBYR5IkaGVP5bRk?authuser=0&hl=zh-TW&rclk=1
