place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJp3xttv7_ljMRVr5isGTqnpI,Starbucks SM City Baliwag,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,327,"Name: Starbucks SM Center Pulilan
link: https://www.google.com/maps/search/Starbucks+SM+Center+Pulilan/@14.8986921,120.8701934?authuser=0&hl=en&entry=ttu
Reviews: 245 reviews

Name: Cafe Beam
link: https://www.google.com/maps/search/Cafe+Beam/@14.9412393,120.88124080000001?authuser=0&hl=en&entry=ttu
Reviews: 160 reviews

Name: The Coffee Bean & Tea Leaf - SM Baliwag
link: https://www.google.com/maps/search/The+Coffee+Bean+%26+Tea+Leaf+-+SM+Baliwag/@14.9598136,120.89093?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: DUNKIN' SM Baliuag
link: https://www.google.com/maps/search/DUNKIN%27+SM+Baliuag/@14.960086399999998,120.89020359999999?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: cafe Tribu baliwag
link: https://www.google.com/maps/search/cafe+Tribu+baliwag/@14.969337099999997,120.9077241?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.starbucks.ph/,Starbucks SM City Baliwag (Owner),,https://lh5.googleusercontent.com/p/AF1QipNbEwCFgaweuc2VrTQ7k8F9QrMOa6Meg80DShef=w408-h240-k-no-pi-0-ya32.999996-ro-0-fo100,Coffee shop,Coffee shop,4.5,9 AM-9 PM,Open All Days,+63 44 244 6139,"Starbucks SM City Baliwag, G/F Dona Remedios Trinidad Hwy, Baliwag, Bulacan, Philippines","mall, meeting, business, baristas",https://www.google.com/maps/place/Starbucks+SM+City+Baliwag/data=!4m7!3m6!1s0x3396fffeb66d7ca7:0x929eea64b062be56!8m2!3d14.9596219!4d120.8901873!16s%2Fg%2F11ckvl3p1m!19sChIJp3xttv7_ljMRVr5isGTqnpI?authuser=0&hl=en&rclk=1
ChIJyw-k7OurlzMRzrYEF4Vn8IQ,EC Cafe,,False,30,"Name: Ericahlicious Brew & Bake Baliwag
link: https://www.google.com/maps/search/Ericahlicious+Brew+%26+Bake+Baliwag/@14.960562999999999,120.89826309999998?authuser=0&hl=en&entry=ttu
Reviews: 32 reviews

Name: BigBrew Baliwag
link: https://www.google.com/maps/search/BigBrew+Baliwag/@14.9549513,120.89998130000001?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: ETERNITEA BALIUAG
link: https://www.google.com/maps/search/ETERNITEA+BALIUAG/@14.956776999999999,120.8993647?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Del Eatery
link: https://www.google.com/maps/search/Del+Eatery/@14.931279700000001,120.88739629999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.eccafeph.com/,EC Cafe (Owner),https://www.google.com/maps/contrib/104792635474314935560,https://lh5.googleusercontent.com/p/AF1QipMaBTBjDyrXYrDBsjfePnfn6CT54UudiqxDdm2d=w408-h544-k-no,Restaurant,Restaurant,4.7,6 AM-3 AM,Open All Days,+63 906 752 1699,"EC Cafe, 826 F. Vergel de Dios St, Baliwag, 3006 Bulacan, Philippines",,https://www.google.com/maps/place/EC+Cafe/data=!4m7!3m6!1s0x3397abebeca40fcb:0x84f067851704b6ce!8m2!3d14.9540159!4d120.8985647!16s%2Fg%2F11tspwp_x6!19sChIJyw-k7OurlzMRzrYEF4Vn8IQ?authuser=0&hl=en&rclk=1
ChIJ3Yb3PYD_ljMRC-Fpu0ar960,iPlant Garden & Cafe,,False,28,"Name: The Coffee Bean & Tea Leaf - SM Baliwag
link: https://www.google.com/maps/search/The+Coffee+Bean+%26+Tea+Leaf+-+SM+Baliwag/@14.9598136,120.89093?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: The Bypass Cafe - 2nd Floor Sto. Cristo, baliuag
link: https://www.google.com/maps/search/The+Bypass+Cafe+-+2nd+Floor+Sto.+Cristo%2C+baliuag/@14.9563507,120.89467950000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Hiccup - Baliuag, Bulacan
link: https://www.google.com/maps/search/Hiccup+-+Baliuag%2C+Bulacan/@14.957763000000002,120.899753?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Lemon & Tea's
link: https://www.google.com/maps/search/Lemon+%26+Tea%27s/@14.9504984,120.89603410000001?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Hidden Leaf
link: https://www.google.com/maps/search/Hidden+Leaf/@14.953621799999999,120.90049400000001?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/iplantphilippines,iPlant Garden & Cafe (Owner),https://www.google.com/maps/contrib/106119214738538938999,https://lh5.googleusercontent.com/p/AF1QipO4DZhDq6-PXBfghHlgmeZ7MG9FQLd_B7M5128j=w408-h272-k-no,Coffee shop,Coffee shop,4.8,10 AM-10 PM,Open All Days,+63 44 309 7596,"iPlant Garden & Cafe, Baliwag, Bulacan, Philippines",,https://www.google.com/maps/place/iPlant+Garden+%26+Caf%C3%A9/data=!4m7!3m6!1s0x3396ff803df786dd:0xadf7ab46bb69e10b!8m2!3d14.9574099!4d120.894817!16s%2Fg%2F11t831pmzd!19sChIJ3Yb3PYD_ljMRC-Fpu0ar960?authuser=0&hl=en&rclk=1
ChIJOd14EBgBlzMRE0KHz1yoI0U,Dear Joe Baliwag,,False,13,,https://www.facebook.com/dearjoephl,Dear Joe Baliwag (Owner),,https://lh5.googleusercontent.com/p/AF1QipOTOT7C5IS1QHVCJzv1iD9EGwJcl2YXH3EJEdPV=w408-h306-k-no,Coffee shop,Coffee shop,3.8,,Open All Days,,"XV8W+7HQ Dear Joe Baliwag, Benigno S. Aquino Avenue, Baliwag, Bulacan, Philippines","price, self service",https://www.google.com/maps/place/Dear+Joe+Baliwag/data=!4m7!3m6!1s0x339701181078dd39:0x4523a85ccf874213!8m2!3d14.9658153!4d120.8958574!16s%2Fg%2F11l5f8c5c8!19sChIJOd14EBgBlzMRE0KHz1yoI0U?authuser=0&hl=en&rclk=1
ChIJEyTjHyT_ljMRhDy1Q4ghwDo,"Dear, K Cafe",,False,12,"Name: Cafe Beam
link: https://www.google.com/maps/search/Cafe+Beam/@14.9412393,120.88124080000001?authuser=0&hl=en&entry=ttu
Reviews: 160 reviews

Name: Bavarian Coffee
link: https://www.google.com/maps/search/Bavarian+Coffee/@14.955329599999999,120.8866439?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Caffeine Drip - Baliwag Bayan
link: https://www.google.com/maps/search/Caffeine+Drip+-+Baliwag+Bayan/@14.9608176,120.90166260000001?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Baldough Kitchen and Cafe Baliuag Branch
link: https://www.google.com/maps/search/Baldough+Kitchen+and+Cafe+Baliuag+Branch/@14.964807599999999,120.8998431?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: cafe Tribu baliwag
link: https://www.google.com/maps/search/cafe+Tribu+baliwag/@14.969337099999997,120.9077241?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.instagram.com/dearkcafeph/,"Dear, K Cafe (Owner)",https://www.google.com/maps/contrib/117141586629288978213,https://lh5.googleusercontent.com/p/AF1QipPZ2qe8fPL9S6OnIXzRiP9TX9cGPuZ6Zi_SvcCa=w426-h240-k-no,Cafe,Cafe,4.7,12-8 PM,Open All Days,,"Dear, K Cafe, Ramon, Magsaysay St, Baliwag, 3006 Bulacan, Philippines",,"https://www.google.com/maps/place/Dear,+K+Caf%C3%A9/data=!4m7!3m6!1s0x3396ff241fe32413:0x3ac0218843b53c84!8m2!3d14.9780415!4d120.8794823!16s%2Fg%2F11rhqv7jl4!19sChIJEyTjHyT_ljMRhDy1Q4ghwDo?authuser=0&hl=en&rclk=1"
ChIJy0soZGqrlzMR9csBx95pKeQ,Master Kopi,,False,5,"Name: Starbucks SM City Baliwag
link: https://www.google.com/maps/search/Starbucks+SM+City+Baliwag/@14.9596219,120.89018730000001?authuser=0&hl=en&entry=ttu
Reviews: 326 reviews

Name: Cafe Ri*se
link: https://www.google.com/maps/search/Cafe+Ri%E2%80%A2se/@14.9679544,120.8962496?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: The Coffee Bean & Tea Leaf - SM Baliwag
link: https://www.google.com/maps/search/The+Coffee+Bean+%26+Tea+Leaf+-+SM+Baliwag/@14.9598136,120.89093?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: Caffeine Drip - Baliwag Bayan
link: https://www.google.com/maps/search/Caffeine+Drip+-+Baliwag+Bayan/@14.9608176,120.90166260000001?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Coffee Maker
link: https://www.google.com/maps/search/Coffee+Maker/@14.962427199999997,120.89748410000001?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://facebook.com/Master-Kopi-112825650844250/%3Ftsid%3D0.984425139280606%26source%3Dresult,Master Kopi (Owner),,https://lh5.googleusercontent.com/p/AF1QipOumAVqVnzzJwZWAiIt7eyxevnXnCKdG87JYc7C=w408-h544-k-no,Coffee shop,Coffee shop,4.8,10 AM-9 PM,Open All Days,+63 905 515 5936,"XV3X+7QC Master Kopi, Gil Carlos St, Brgy. Poblacion, Baliwag, 3006 Bulacan, Philippines",,https://www.google.com/maps/place/Master+Kopi/data=!4m7!3m6!1s0x3397ab6a64284bcb:0xe42969dec701cbf5!8m2!3d14.9531821!4d120.8993937!16s%2Fg%2F11ptvcmckl!19sChIJy0soZGqrlzMR9csBx95pKeQ?authuser=0&hl=en&rclk=1
ChIJJ-CEky3_ljMRVCNDRcjNKco,Bookirin Warehouse and Cafe,,False,3,"Name: Dear, K Cafe
link: https://www.google.com/maps/search/Dear%2C+K+Caf%C3%A9/@14.978041500000002,120.87948229999999?authuser=0&hl=en&entry=ttu
Reviews: 12 reviews

Name: Bavarian Coffee
link: https://www.google.com/maps/search/Bavarian+Coffee/@14.955329599999999,120.8866439?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Baldough Kitchen and Cafe Baliuag Branch
link: https://www.google.com/maps/search/Baldough+Kitchen+and+Cafe+Baliuag+Branch/@14.964807599999999,120.8998431?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Cafe Booktok
link: https://www.google.com/maps/search/Cafe+Booktok/@14.897634,120.8663955?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Jobo's Favorites Store
link: https://www.google.com/maps/search/Jobo%27s+Favorites+Store/@14.9598648,120.9062264?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/BooKirinCafe/,Bookirin Warehouse and Cafe (Owner),,https://lh5.googleusercontent.com/p/AF1QipPn17rcZJi7K_uglZVjVH0WpJ-1o2TaiAt3VHsF=w408-h306-k-no,Coffee shop,Coffee shop,3.7,10 AM-9 PM,Open All Days,+63 917 912 5724,"XVWR+8M4 Bookirin Warehouse and Cafe, Baliwag, Bulacan, Philippines",,https://www.google.com/maps/place/Bookirin+Warehouse+and+Cafe/data=!4m7!3m6!1s0x3396ff2d9384e027:0xca29cdc845432354!8m2!3d14.9957545!4d120.8916929!16s%2Fg%2F11ptsn4jyw!19sChIJJ-CEky3_ljMRVCNDRcjNKco?authuser=0&hl=en&rclk=1
ChIJI5pNgNj_ljMRG3eBiDzwSIw,Caffeine Drip - Tangos,,False,3,"Name: Cafe Ri*se
link: https://www.google.com/maps/search/Cafe+Ri%E2%80%A2se/@14.9679544,120.8962496?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: Kapeccino
link: https://www.google.com/maps/search/Kapeccino/@14.9643643,120.90871920000001?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: CAFE SESSION
link: https://www.google.com/maps/search/CAF%C3%88+SESSION/@14.952795300000002,120.8987811?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://m.facebook.com/officialcaffeinedrip/,Caffeine Drip - Tangos (Owner),https://www.google.com/maps/contrib/109360769728320334341,https://lh5.googleusercontent.com/p/AF1QipM7ht-4yFZz-a5_3J892Nou2408wiW2f5nWYBKl=w408-h544-k-no,Coffee shop,Coffee shop,5,10 AM-8 PM,Open All Days,+63 917 304 4428,"Caffeine Drip - Tangos, Baliwag, Bulacan, Philippines",,https://www.google.com/maps/place/Caffeine+Drip+-+Tangos/data=!4m7!3m6!1s0x3396ffd8804d9a23:0x8c48f03c8881771b!8m2!3d14.9766085!4d120.8941351!16s%2Fg%2F11q8swvv2s!19sChIJI5pNgNj_ljMRG3eBiDzwSIw?authuser=0&hl=en&rclk=1
ChIJHZZFMCMBlzMRMqmvxoIuP8c,Caffeine Drip - Baliwag Bayan,,False,2,"Name: Cafe Beam
link: https://www.google.com/maps/search/Cafe+Beam/@14.9412393,120.88124080000001?authuser=0&hl=en&entry=ttu
Reviews: 160 reviews

Name: Brewlakan
link: https://www.google.com/maps/search/Brewlakan/@14.9558378,120.9003664?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: Bavarian Coffee
link: https://www.google.com/maps/search/Bavarian+Coffee/@14.955329599999999,120.8866439?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: The Coffee Bean & Tea Leaf - SM Baliwag
link: https://www.google.com/maps/search/The+Coffee+Bean+%26+Tea+Leaf+-+SM+Baliwag/@14.9598136,120.89093?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: Frappea
link: https://www.google.com/maps/search/Frappea/@14.954443,120.90018199999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://m.facebook.com/officialcaffeinedrip/,Caffeine Drip - Baliwag Bayan (Owner),,https://lh5.googleusercontent.com/p/AF1QipPcCCC6KlHzcc5TlHhdnyfpgoulWhWy71FCpLbm=w408-h306-k-no,Coffee shop,Coffee shop,5,10 AM-8 PM,Open All Days,+63 923 083 4972,"XW62+8MF Caffeine Drip - Baliwag Bayan, Baliwag, Bulacan, Philippines",,https://www.google.com/maps/place/Caffeine+Drip+-+Baliwag+Bayan/data=!4m7!3m6!1s0x339701233045961d:0xc73f2e82c6afa932!8m2!3d14.9608176!4d120.9016626!16s%2Fg%2F11q8sw2vvl!19sChIJHZZFMCMBlzMRMqmvxoIuP8c?authuser=0&hl=en&rclk=1
ChIJvdUWTayqlzMRH4Tu6qUQO4U,Hermosa Store and Cafe,,False,2,"Name: Cocina Avelina
link: https://www.google.com/maps/search/Cocina+Avelina/@14.944835,120.8921685?authuser=0&hl=en&entry=ttu
Reviews: 50 reviews

Name: Bavarian Coffee
link: https://www.google.com/maps/search/Bavarian+Coffee/@14.955329599999999,120.8866439?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Baldough Kitchen and Cafe Baliuag Branch
link: https://www.google.com/maps/search/Baldough+Kitchen+and+Cafe+Baliuag+Branch/@14.964807599999999,120.8998431?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Frappea
link: https://www.google.com/maps/search/Frappea/@14.954443,120.90018199999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: CAFE SESSION
link: https://www.google.com/maps/search/CAF%C3%88+SESSION/@14.952795300000002,120.8987811?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/pages/Hermosa-Store-and-Cafe/317352874957191,Hermosa Store and Cafe (Owner),,https://lh5.googleusercontent.com/p/AF1QipOs0TAK62Nw9uYW3fh-Sm9a234qvzxgyJQh0u2I=w408-h544-k-no,Cafe,Cafe,5,9 AM-9 PM,Open All Days,,"WVWX+PVJ Hermosa Store and Cafe, Baliwag, Bulacan, Philippines",,https://www.google.com/maps/place/Hermosa+Store+and+Cafe/data=!4m7!3m6!1s0x3397aaac4d16d5bd:0x853b10a5eaee841f!8m2!3d14.9468337!4d120.8996413!16s%2Fg%2F11h0918_3!19sChIJvdUWTayqlzMRH4Tu6qUQO4U?authuser=0&hl=en&rclk=1
