place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ2QaVRqrwXxARwnyfhnPkFF0,Restaurant,,False,189,"Name: Hotel Jenif
link: https://www.google.com/maps/search/Hotel+Jenif/@5.1411055999999995,10.5268829?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Restaurant la Gabonaise
link: https://www.google.com/maps/search/Restaurant+la+Gabonaise/@5.142322399999999,10.520358800000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Snack-bar VIP
link: https://www.google.com/maps/search/Snack-bar+VIP/@5.140971899999999,10.536931300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Snack bar
link: https://www.google.com/maps/search/Snack+bar/@5.1427426,10.536092799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: PAYONG RESTAURANT SNACK BAR
link: https://www.google.com/maps/search/PAYONG+RESTAURANT+SNACK+BAR/@5.1443560999999995,10.5239867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Restaurant (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNcr2D5r9HQ3qj5wDjT-h_o4eDYAjxbo5Q8RmBz=w408-h306-k-no,Jiu Ba ,Jiu Ba ,3.4,16:01-23:00,Open All Days,+237 6 71 35 04 53,"4GRG+978 Restaurant, Bangangte, Ke Mai Long ","Zhi Kao , Shao , Yu ",https://www.google.com/maps/place/Restaurant/data=!4m7!3m6!1s0x105ff0aa469506d9:0x5d14e473869f7cc2!8m2!3d5.1409183!4d10.5257005!16s%2Fg%2F1tfhjfl6!19sChIJ2QaVRqrwXxARwnyfhnPkFF0?authuser=0&hl=zh-TW&rclk=1
ChIJI6uBv4zxXxARS9JTuNFv57s,La Baguette du Nde,,False,84,"Name: Boutique butrice
link: https://www.google.com/maps/search/Boutique+butrice/@5.139131,10.523771199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Brasserie
link: https://www.google.com/maps/search/Brasserie/@5.149769099999999,10.518236700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Restaurant la Gabonaise
link: https://www.google.com/maps/search/Restaurant+la+Gabonaise/@5.142322399999999,10.520358800000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Pain Chaud
link: https://www.google.com/maps/search/Pain+Chaud/@5.1469678,10.5192486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Le Petit Gourmet
link: https://www.google.com/maps/search/Le+Petit+Gourmet/@5.1443560999999995,10.5239867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,La Baguette du Nde (Ye Zhu ),https://www.google.com/maps/contrib/102732722025716676687,https://lh5.googleusercontent.com/p/AF1QipMfrEiRmC_dZOiRzp9AljFgXeSMJbfQCILm_WU2=w408-h544-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,3.5,06:30-22:00,Open All Days,+237 6 97 38 78 84,"La Baguette du Nde, 9921, Bangangte, Ke Mai Long ",,https://www.google.com/maps/place/La+Baguette+du+Nde/data=!4m7!3m6!1s0x105ff18cbf81ab23:0xbbe76fd1b853d24b!8m2!3d5.1451244!4d10.5190673!16s%2Fg%2F11mw4_w1qy!19sChIJI6uBv4zxXxARS9JTuNFv57s?authuser=0&hl=zh-TW&rclk=1
ChIJZQC5VQf6XxARCNGejjB8iGM,Boutique butrice,,False,49,"Name: La Baguette du Nde
link: https://www.google.com/maps/search/La+Baguette+du+Nde/@5.145124399999999,10.5190673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Pierre's Boutique
link: https://www.google.com/maps/search/Pierre%27s+Boutique/@5.1410744,10.530797999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews

Name: Boutique Bea Bgte
link: https://www.google.com/maps/search/Boutique+Bea+Bgte/@5.1456849,10.517994999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Marcam
link: https://www.google.com/maps/search/Marcam/@5.138980999999999,10.5237641?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Boucherie oudi
link: https://www.google.com/maps/search/Boucherie+oudi/@5.1400448,10.5233638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Boutique butrice (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO7J6hqa7OD1_RrppkfaMnLy4tRnIXqsrG4Kzml=w408-h306-k-no,Za Huo Dian ,Za Huo Dian ,3.7,24 Xiao Shi Ying Ye ,Open All Days,+237 6 77 26 30 18,"4GQF+MG2 Boutique butrice, Bangangte, Ke Mai Long ",,https://www.google.com/maps/place/Boutique+butrice/data=!4m7!3m6!1s0x105ffa0755b90065:0x63887c308e9ed108!8m2!3d5.139131!4d10.5237712!16s%2Fg%2F11c585wzgn!19sChIJZQC5VQf6XxARCNGejjB8iGM?authuser=0&hl=zh-TW&rclk=1
ChIJcz58m-jxXxARh8BukFwieaw,Brasserie,,False,29,"Name: La Baguette du Nde
link: https://www.google.com/maps/search/La+Baguette+du+Nde/@5.145124399999999,10.5190673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: RIMA Boutique
link: https://www.google.com/maps/search/RIMA+Boutique/@5.1443658,10.519659599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Centre Multimedia De Bangangte
link: https://www.google.com/maps/search/Centre+Multimedia+De+Bangangt%C3%A9/@5.1407584,10.524559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Boutique Bea Bgte
link: https://www.google.com/maps/search/Boutique+Bea+Bgte/@5.1456849,10.517994999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Pain Chaud
link: https://www.google.com/maps/search/Pain+Chaud/@5.1469678,10.5192486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Brasserie (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNgl_XL_6X7kMdOVcqcfTPHt3mshNamvJN5N6FH=w408-h725-k-no,Gou Wu Zhong Xin ,Gou Wu Zhong Xin ,3.8,,Open All Days,,"4GX9+W75 Brasserie, Bangangte, Ke Mai Long ",,https://www.google.com/maps/place/Brasserie/data=!4m7!3m6!1s0x105ff1e89b7c3e73:0xac79225c906ec087!8m2!3d5.1497691!4d10.5182367!16s%2Fg%2F11fhr79tt5!19sChIJcz58m-jxXxARh8BukFwieaw?authuser=0&hl=zh-TW&rclk=1
ChIJs--gmanwXxARMSyWj_lww6o,PHARMACIE DE LA DIGNITE,,False,6,"Name: PHARMACIE DE L ESPOIR
link: https://www.google.com/maps/search/PHARMACIE+DE+L+ESPOIR/@5.1420376,10.5208?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: PHARMACIE DE LA MIFI
link: https://www.google.com/maps/search/PHARMACIE+DE+LA+MIFI/@5.4795527,10.4191475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: pharmacie du nde
link: https://www.google.com/maps/search/pharmacie+du+nde/@5.139956,10.524339099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Pharmacie Les Martyres
link: https://www.google.com/maps/search/Pharmacie+Les+Martyres/@5.4777844,10.4167369?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Morgue de Bangangte
link: https://www.google.com/maps/search/Morgue+de+Bangangte/@5.1417578,10.5189382?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,PHARMACIE DE LA DIGNITE (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNbLy1zJELIFp5psAcJjQhN6RV4QXqzI4Ou54jx=w408-h240-k-no-pi0-ya237-ro-0-fo100,Yao Fang ,Yao Fang ,3.5,24 Xiao Shi Ying Ye ,Open All Days,+237 6 55 44 14 28,"4GRF+9FM PHARMACIE DE LA DIGNITE, Bangangte, Ke Mai Long ",,https://www.google.com/maps/place/PHARMACIE+DE+LA+DIGNITE/data=!4m7!3m6!1s0x105ff0a999a0efb3:0xaac370f98f962c31!8m2!3d5.1409512!4d10.5236759!16s%2Fg%2F1hf1jpz9j!19sChIJs--gmanwXxARMSyWj_lww6o?authuser=0&hl=zh-TW&rclk=1
ChIJ6cPyIvfxXxAR2rQNlscWDDw,Cafe UCCAO,,False,3,"Name: Brasserie
link: https://www.google.com/maps/search/Brasserie/@5.149769099999999,10.518236700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Cafe Uccao, Marche B
link: https://www.google.com/maps/search/Caf%C3%A9+Uccao%2C+March%C3%A9+B/@5.484801699999999,10.4092834?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: UCCAO
link: https://www.google.com/maps/search/UCCAO/@5.4815596,10.4271347?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Pain Chaud
link: https://www.google.com/maps/search/Pain+Chaud/@5.1469678,10.5192486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Dorki cuisto
link: https://www.google.com/maps/search/Dorki+cuisto/@5.1395156,10.5212287?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe UCCAO (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPfOAwPK69g2exL2ce4YEJx4mkxcTgdBYzU-9hX=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,,Open All Days,,"4GRC+5WW Cafe UCCAO, Bangangte, Ke Mai Long ",,https://www.google.com/maps/place/Caf%C3%A9+UCCAO/data=!4m7!3m6!1s0x105ff1f722f2c3e9:0x3c0c16c7960db4da!8m2!3d5.1404959!4d10.5223221!16s%2Fg%2F11nxd0w0gg!19sChIJ6cPyIvfxXxAR2rQNlscWDDw?authuser=0&hl=zh-TW&rclk=1
ChIJb4ZCWkbxXxARJGGS_gbEdmI,Pain Chaud,,False,2,"Name: La Baguette du Nde
link: https://www.google.com/maps/search/La+Baguette+du+Nde/@5.145124399999999,10.5190673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Boutique butrice
link: https://www.google.com/maps/search/Boutique+butrice/@5.139131,10.523771199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Brasserie
link: https://www.google.com/maps/search/Brasserie/@5.149769099999999,10.518236700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Marcam
link: https://www.google.com/maps/search/Marcam/@5.138980999999999,10.5237641?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Ma Waa Boutique
link: https://www.google.com/maps/search/Ma+Waa+Boutique/@5.1443560999999995,10.5239867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Pain Chaud (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP9EmrcAHFTgDymS_AtEOugHcQMBSJ3_PkGJnsm=w428-h240-k-no,Za Huo Dian ,Za Huo Dian ,4.5,07:00-21:00,Open All Days,,"4GW9+QMQ Pain Chaud, Bangangte, Ke Mai Long ",,https://www.google.com/maps/place/Pain+Chaud/data=!4m7!3m6!1s0x105ff1465a42866f:0x6276c406fe926124!8m2!3d5.1469678!4d10.5192486!16s%2Fg%2F11fn5t_ls4!19sChIJb4ZCWkbxXxARJGGS_gbEdmI?authuser=0&hl=zh-TW&rclk=1
ChIJVfbvgDzxXxAR8mw5gNVUEws,Pitch & Business,,False,2,"Name: Brasserie
link: https://www.google.com/maps/search/Brasserie/@5.149769099999999,10.518236700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: ETs MBAM'S & FILS
link: https://www.google.com/maps/search/ETs+MBAM%27S+%26+FILS/@5.1391513,10.5229128?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: simcomputer bgte
link: https://www.google.com/maps/search/simcomputer+bgte/@5.139965900000001,10.5225952?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Exponentielle technologie
link: https://www.google.com/maps/search/Exponentielle+technologie/@5.1473127,10.5184743?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Pitch & Business (Ye Zhu ),https://www.google.com/maps/contrib/117969574669486565446,https://lh5.googleusercontent.com/p/AF1QipOgc6koNu93IerDoXf6HLEagGVrohALE5sfQR5C=w408-h725-k-no,Dian Qi Ling Shou ,Dian Qi Ling Shou ,3,,Open All Days,+237 6 72 19 72 49,"Pitch & Business, Bp432 672197249, Bangangte, Ke Mai Long ",,https://www.google.com/maps/place/Pitch+%26+Business/data=!4m7!3m6!1s0x105ff13c80eff655:0xb1354d580396cf2!8m2!3d5.1511459!4d10.5167902!16s%2Fg%2F11q1dbr63y!19sChIJVfbvgDzxXxAR8mw5gNVUEws?authuser=0&hl=zh-TW&rclk=1
ChIJ67KfmV_xXxARuh5lM72yQYw,Restaurant la princesse,,False,,"Name: Red Top Restaurant
link: https://www.google.com/maps/search/Red+Top+Restaurant/@5.141069,10.5215389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Le Keurtis Bangangte, Cameroun
link: https://www.google.com/maps/search/Le+Keurtis+Bangangt%C3%A9%2C+Cameroun/@5.141541,10.521778200000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Restaurant la Gabonaise
link: https://www.google.com/maps/search/Restaurant+la+Gabonaise/@5.142322399999999,10.520358800000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Le Petit Gourmet
link: https://www.google.com/maps/search/Le+Petit+Gourmet/@5.1443560999999995,10.5239867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: PAYONG RESTAURANT SNACK BAR
link: https://www.google.com/maps/search/PAYONG+RESTAURANT+SNACK+BAR/@5.1443560999999995,10.5239867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Restaurant la princesse (Ye Zhu ),,,Jia Ting Can Ting ,Jia Ting Can Ting ,,,Open All Days,,"Restaurant la princesse, Entree Nde Airlines, Bangangte, Ke Mai Long ",,https://www.google.com/maps/place/Restaurant+la+princesse/data=!4m7!3m6!1s0x105ff15f999fb2eb:0x8c41b2bd33651eba!8m2!3d5.1404955!4d10.521915!16s%2Fg%2F11q8v3s084!19sChIJ67KfmV_xXxARuh5lM72yQYw?authuser=0&hl=zh-TW&rclk=1
ChIJfRsAlej3XxARRmAbjwgmZ-s,Snack bar,,False,,"Name: Restaurant
link: https://www.google.com/maps/search/Restaurant/@5.1409183,10.5257005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews

Name: Villageois Bar
link: https://www.google.com/maps/search/Villageois+Bar/@5.1435794,10.5409718?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Restaurant la Gabonaise
link: https://www.google.com/maps/search/Restaurant+la+Gabonaise/@5.142322399999999,10.520358800000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Snack-bar VIP
link: https://www.google.com/maps/search/Snack-bar+VIP/@5.140971899999999,10.536931300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Bamena
link: https://www.google.com/maps/search/Bamena/@5.1443560999999995,10.5239867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Snack bar (Ye Zhu ),,,Jiu Ba ,Jiu Ba ,,,Open All Days,,"4GVP+3CW Snack bar, Unnamed Road, Bangangte, Ke Mai Long ",,https://www.google.com/maps/place/Snack+bar/data=!4m7!3m6!1s0x105ff7e895001b7d:0xeb6726088f1b6046!8m2!3d5.1427426!4d10.5360928!16s%2Fg%2F11ll79nzdk!19sChIJfRsAlej3XxARRmAbjwgmZ-s?authuser=0&hl=zh-TW&rclk=1
