place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJgzxgJSPD7zkRR4sjr8x52G0,Digital online center Banmankhi,,False,3,"Name: Banmankhi
link: https://www.google.com/maps/search/Banmankhi/@25.8823534,87.1911192?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Online Marketing Service
link: https://www.google.com/maps/search/Online+Marketing+Service/@25.8883974,87.191417?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Csc Center
link: https://www.google.com/maps/search/Csc+Center/@25.883072,87.19182959999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/wasimzack.1%3Figshid%3DMWI4MTIyMDE%3D,Digital online center Banmankhi (Ye Zhu ),https://www.google.com/maps/contrib/116306101464961616488,https://lh5.googleusercontent.com/p/AF1QipOxuF7kkSV1ur9pYRheT1s3MESod5cLWeMcx9Ld=w408-h648-k-no,Wang Ba ,Wang Ba ,4.3,08:00-21:00,Open All Days,+91 94700 67866,"ward no 10, Digital online center Banmankhi, Darzi, Darzee Patti, Banmankhi, Bihar 854202Yin Du ",,https://www.google.com/maps/place/Digital+online+center+Banmankhi/data=!4m7!3m6!1s0x39efc32325603c83:0x6dd879ccaf238b47!8m2!3d25.8920154!4d87.1907636!16s%2Fg%2F11sgdksf_r!19sChIJgzxgJSPD7zkRR4sjr8x52G0?authuser=0&hl=zh-TW&rclk=1
ChIJ7buhvPzD7zkRRm9IqBIYaAg,Dharhara Comman Service Center,,False,24,"Name: Csc Rajnandani Center Mohania Chakla
link: https://www.google.com/maps/search/Csc+Rajnandani+Center+Mohania+Chakla/@25.9148474,87.12880419999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Bajrang Bali Chouk
link: https://www.google.com/maps/search/Bajrang+Bali+Chouk/@26.0121006,87.22942830000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Charaiya-Dhaneshwari Marg
link: https://www.google.com/maps/search/Charaiya-Dhaneshwari+Marg/@26.004135700000003,87.11922969999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Dharhara Comman Service Center (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN53ZMNw2ywv_vqYMk2M8OzsB0juP_9DtPeLML-=w477-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4,,Open All Days,,"W53J+V6C Dharhara Comman Service Center, Dharhara Milik, Bihar 854202Yin Du ",,https://www.google.com/maps/place/Dharhara+Comman+Service+Center/data=!4m7!3m6!1s0x39efc3fcbca1bbed:0x8681812a8486f46!8m2!3d25.9046989!4d87.1805038!16s%2Fg%2F11flzqp93z!19sChIJ7buhvPzD7zkRRm9IqBIYaAg?authuser=0&hl=zh-TW&rclk=1
ChIJcVkXikTE7zkRktWnQTqwx4k,akash rj,,False,20,"Name: Akash Misthan Bhandar
link: https://www.google.com/maps/search/Akash+Misthan+Bhandar/@26.125941599999997,87.08001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,akash rj (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPMl6pBdnYr8nqVzMSwcHtazogdyDQIXfSyfvlh=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,,Open All Days,,"V4P8+9GW akash rj, purnea banmankhi janki nagar, near bsnl tawer, Banmankhi, Bihar 854102Yin Du ",,https://www.google.com/maps/place/akash+rj/data=!4m7!3m6!1s0x39efc4448a175971:0x89c7b03a41a7d592!8m2!3d25.885998!4d87.1163222!16s%2Fg%2F11cjj6g6x8!19sChIJcVkXikTE7zkRktWnQTqwx4k?authuser=0&hl=zh-TW&rclk=1
ChIJhQyiifvD7zkR9QPJRfD05lg,Darji Patti Ward 10 Banmankhi,,False,19,"Name: Tanisha Fast Food & Pizza Corner
link: https://www.google.com/maps/search/Tanisha+Fast+Food+%26+Pizza+Corner/@25.8879827,87.1924983?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: praaciin bjrNgblii mNdir bnmnkhii
link: https://www.google.com/maps/search/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%9A%E0%A5%80%E0%A4%A8+%E0%A4%AC%E0%A4%9C%E0%A4%B0%E0%A4%82%E0%A4%97%E0%A4%AC%E0%A4%B2%E0%A5%80+%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%BF%E0%A4%B0+%E0%A4%AC%E0%A4%A8%E0%A4%AE%E0%A4%A8%E0%A4%96%E0%A5%80/@25.8904788,87.1910201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",,Darji Patti Ward 10 Banmankhi (Ye Zhu ),https://www.google.com/maps/contrib/111517974899967821663,https://lh5.googleusercontent.com/p/AF1QipMZMtTCAgXqXpCIiSgDl0n58q39nx9CyQKqH4hn=w408-h805-k-no,Ka Pei Ting ,Ka Pei Ting ,3.7,,Open All Days,,"Darji Patti Ward 10 Banmankhi, Darzee Patti, Maheshkhunt - Madhepura - Purnia Rd, Banmankhi, Bihar 854202Yin Du ",,https://www.google.com/maps/place/Darji+Patti+Ward+10+Banmankhi/data=!4m7!3m6!1s0x39efc3fb89a20c85:0x58e6f4f045c903f5!8m2!3d25.891012!4d87.1911872!16s%2Fg%2F11hf26tpd0!19sChIJhQyiifvD7zkR9QPJRfD05lg?authuser=0&hl=zh-TW&rclk=1
ChIJRS0YCX3B7zkRcjBLJfvxC9Q,Nasruddin Interprises,,False,15,"Name: Dharhara Comman Service Center
link: https://www.google.com/maps/search/Dharhara+Comman+Service+Center/@25.9046989,87.1805038?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: NM DIGITAL CENTRE RAMJANI
link: https://www.google.com/maps/search/NM+DIGITAL+CENTRE+RAMJANI/@25.859216399999998,87.0512688?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Charaiya-Dhaneshwari Marg
link: https://www.google.com/maps/search/Charaiya-Dhaneshwari+Marg/@26.004135700000003,87.11922969999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Shahid Cafe
link: https://www.google.com/maps/search/Shahid+Cafe/@25.889190799999998,87.1907368?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Nasruddin Interprises (Ye Zhu ),https://www.google.com/maps/contrib/105117606103617260073,https://lh5.googleusercontent.com/p/AF1QipPgiFiEWdYBoXNMSBNt_0mCJe2JhUv8RKhNPP_0=w408-h408-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,,Open All Days,,"Nasruddin Interprises, KHAJURI, BHATGAMA ROAD, Banmankhi, Bihar 854202Yin Du ",,https://www.google.com/maps/place/Nasruddin+Interprises/data=!4m7!3m6!1s0x39efc17d09182d45:0xd40bf1fb254b3072!8m2!3d25.9213703!4d87.1743984!16s%2Fg%2F11c2y41909!19sChIJRS0YCX3B7zkRcjBLJfvxC9Q?authuser=0&hl=zh-TW&rclk=1
ChIJkaZ_3BbD7zkR_mZIGxBqI6Q,Shiv Cake House,,False,11,"Name: Shiv Cake Palace
link: https://www.google.com/maps/search/Shiv+Cake+Palace/@25.7732207,87.47592259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: NEW LAXMI BEKARI MODEL STORE
link: https://www.google.com/maps/search/NEW+LAXMI+BEKARI+MODEL+STORE/@25.8871005,87.19389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Shivam Hotel
link: https://www.google.com/maps/search/Shivam+Hotel/@25.885805599999998,87.1937421?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: SATYAM SHIVAM CAKE PALACE
link: https://www.google.com/maps/search/SATYAM+SHIVAM+CAKE+PALACE/@25.7771439,87.4752551?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Shiv Cake House (Ye Zhu ),https://www.google.com/maps/contrib/117720814775051421256,https://lh5.googleusercontent.com/p/AF1QipORAii-8XNBlSG1F6mwmFZK4vGJtSh-20fek0S9=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,3.8,24 Xiao Shi Ying Ye ,Open All Days,+91 62040 40005,"Shiv Cake House, sonar, Darzee Patti, Banmankhi, Bihar 854202Yin Du ",,https://www.google.com/maps/place/Shiv+Cake+House/data=!4m7!3m6!1s0x39efc316dc7fa691:0xa4236a101b4866fe!8m2!3d25.888045!4d87.1925081!16s%2Fg%2F11f62wbh42!19sChIJkaZ_3BbD7zkR_mZIGxBqI6Q?authuser=0&hl=zh-TW&rclk=1
ChIJleNMckXC7zkRix_2nuaO64c,Meera Studio,,False,8,"Name: Bishwnath&Panma Digital Studio
link: https://www.google.com/maps/search/Bishwnath%26Panma+Digital+Studio/@25.8893138,87.1911123?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Meera Photo Studio
link: https://www.google.com/maps/search/Meera+Photo+Studio/@25.887224900000003,87.1936975?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Darpan Studio
link: https://www.google.com/maps/search/Darpan+Studio/@25.8882841,87.1954409?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Meera Studio (Ye Zhu ),https://www.google.com/maps/contrib/112261878150966526785,https://lh5.googleusercontent.com/p/AF1QipOniDl22sZxe2qJlFXExM_wlXVmPxbe5NAvHRtg=w408-h612-k-no,Xiang Ji Dian ,Xiang Ji Dian ,3.9,24 Xiao Shi Ying Ye ,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Liu ",+91 79923 73331,"Meera Studio, Banmankhi, Bihar 854202Yin Du ",,https://www.google.com/maps/place/Meera+Studio/data=!4m7!3m6!1s0x39efc245724ce395:0x87eb8ee69ef61f8b!8m2!3d25.8866875!4d87.1931875!16s%2Fg%2F11c2r7b69j!19sChIJleNMckXC7zkRix_2nuaO64c?authuser=0&hl=zh-TW&rclk=1
ChIJAyBm0RnD7zkR-xrYPsD6ilI,Rajkumar Tea stall banmankhi,,False,6,,,Rajkumar Tea stall banmankhi (Ye Zhu ),https://www.google.com/maps/contrib/100258721042483676741,,Cha Xie Dian ,Cha Xie Dian ,5,,Open All Days,,"V5MR+35C Rajkumar Tea stall banmankhi, banmankhi, Dhokardhara, Bihar 854202Yin Du ",,https://www.google.com/maps/place/Rajkumar+Tea+stall+banmankhi/data=!4m7!3m6!1s0x39efc319d1662003:0x528afac03ed81afb!8m2!3d25.8826875!4d87.1903906!16s%2Fg%2F11kk5cns_0!19sChIJAyBm0RnD7zkR-xrYPsD6ilI?authuser=0&hl=zh-TW&rclk=1
ChIJ0Q1HrP3D7zkRTX4gWuEbOG4,Sanjay Tea Stall,,False,5,,,Sanjay Tea Stall (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPV0jaT26CJZItI29P76EtDN8COP5yM0TtyQJDI=w520-h240-k-no,Cha Xie Dian ,Cha Xie Dian ,4.4,08:00-21:00,Open All Days,,"V5MV+JG4 Sanjay Tea Stall, Unnamed Road, Banmankhi, Bihar 854202Yin Du ",,https://www.google.com/maps/place/Sanjay+Tea+Stall/data=!4m7!3m6!1s0x39efc3fdac470dd1:0x6e381be15a207e4d!8m2!3d25.8840205!4d87.1938255!16s%2Fg%2F11fk1ky522!19sChIJ0Q1HrP3D7zkRTX4gWuEbOG4?authuser=0&hl=zh-TW&rclk=1
ChIJ_____0vC7zkRHdkWAXXy5WE,Mithu Tea Store And Service,,False,5,,,Mithu Tea Store And Service (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Sui_EWMsBVWPSdUCo43RWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=319.22906&pitch=0&thumbfov=100,Can Ting ,"Can Ting , Cha Yi Guan ",4.4,,Open All Days,+91 88639 39428,"V5RP+2VJ Mithu Tea Store And Service, my location, Banmankhi Bazar, Bihar 854202Yin Du ",,https://www.google.com/maps/place/Mithu+Tea+Store+And+Service/data=!4m7!3m6!1s0x39efc24bffffffff:0x61e5f2750116d91d!8m2!3d25.8900898!4d87.1871537!16s%2Fg%2F11csb12vp1!19sChIJ_____0vC7zkRHdkWAXXy5WE?authuser=0&hl=zh-TW&rclk=1
