place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJMfEis-CipBIRTwj_y1yzGg0,Lilo Brunch Specialty Coffee,"Laid-back hangout serving brunch & vegan options, as well as speciality coffees.",False,3430,"Name: Citizen Cafe Barcelona
link: https://www.google.com/maps/search/Citizen+Caf%C3%A9+Barcelona/@41.3894258,2.1727998?authuser=0&hl=en&entry=ttu
Reviews: 4898 reviews

Name: Billy Brunch
link: https://www.google.com/maps/search/Billy+Brunch/@41.397720299999996,2.1693751?authuser=0&hl=en&entry=ttu
Reviews: 4574 reviews

Name: EatMyTrip - Brunch & Bakery Barcelona
link: https://www.google.com/maps/search/EatMyTrip+-+Brunch+%26+Bakery+Barcelona/@41.395174999999995,2.171434?authuser=0&hl=en&entry=ttu
Reviews: 3653 reviews

Name: Eixampeling Brunch Cafe
link: https://www.google.com/maps/search/Eixampeling+Brunch+Caf%C3%A9/@41.3833074,2.1580714?authuser=0&hl=en&entry=ttu
Reviews: 2494 reviews

Name: KILELE brunch & cocktails
link: https://www.google.com/maps/search/KILELE+brunch+%26+cocktails/@41.3981132,2.1701315?authuser=0&hl=en&entry=ttu
Reviews: 643 reviews",http://lilobrunch.com/,Lilo Brunch Specialty Coffee (Owner),https://www.google.com/maps/contrib/107827578380924923858,https://lh5.googleusercontent.com/p/AF1QipPxMZl0ZWo6MyexZxT1Ay2Iq1Le4LCJzosUYUux=w408-h544-k-no,Brunch restaurant,"Brunch restaurant, Dog cafe, Espresso bar, Health food restaurant, Vegan restaurant, Vegetarian restaurant",4.7,9 AM-5 PM,Open All Days,+34 935 16 39 44,"Lilo Brunch Specialty Coffee, C/ de la Diputacio, 443, Eixample, 08013 Barcelona, Spain","vegan, presentation, mimosas, teddy bears, arepas, health food, cachitos, acai, sagrada familia",https://www.google.com/maps/place/Lilo+Brunch+Specialty+Coffee/data=!4m7!3m6!1s0x12a4a2e0b322f131:0xd1ab35ccbff084f!8m2!3d41.3998454!4d2.1794841!16s%2Fg%2F11f29_v1wj!19sChIJMfEis-CipBIRTwj_y1yzGg0?authuser=0&hl=en&rclk=1
ChIJy3JYwWCipBIRlv2wJSQeBsY,Federal Cafe,,False,2951,"Name: La Desayuneria
link: https://www.google.com/maps/search/La+Desayuner%C3%ADa/@41.3782952,2.1610451999999998?authuser=0&hl=en&entry=ttu
Reviews: 4719 reviews

Name: Cafe Cometa
link: https://www.google.com/maps/search/Caf%C3%A9+Cometa/@41.3758611,2.1620101?authuser=0&hl=en&entry=ttu
Reviews: 1782 reviews

Name: Manso's Cafe
link: https://www.google.com/maps/search/Manso%27s+Cafe/@41.3754849,2.1587624?authuser=0&hl=en&entry=ttu
Reviews: 1276 reviews

Name: Il Caffe di Francesco
link: https://www.google.com/maps/search/Il+Caffe+di+Francesco/@41.3760671,2.1600865?authuser=0&hl=en&entry=ttu
Reviews: 548 reviews

Name: Federal Cafe Poblenou
link: https://www.google.com/maps/search/Federal+Cafe+Poblenou/@41.3996798,2.2058339?authuser=0&hl=en&entry=ttu
Reviews: 507 reviews",http://federalcafe.es/barcelona/,Federal Cafe (Owner),https://www.google.com/maps/contrib/104293849930886647147,https://lh5.googleusercontent.com/p/AF1QipPO68-ZoVhjX17O2Rygz6Jrr-BwbrZwI85F-Dbe=w408-h269-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Brunch restaurant, Lunch restaurant, Restaurant",3.9,9 AM-4 PM,Open All Days,+34 935 84 36 95,"Federal Cafe, C/ del Parlament, 39, L'Eixample, 08015 Barcelona, Spain","brunch, hipster, floor, eggs benedict, barcelona, computer, parliament, roof terrace, salmon, shakshuka",https://www.google.com/maps/place/Federal+Caf%C3%A8/data=!4m7!3m6!1s0x12a4a260c15872cb:0xc6061e2425b0fd96!8m2!3d41.3769204!4d2.1628355!16s%2Fg%2F1tlnsjrd!19sChIJy3JYwWCipBIRlv2wJSQeBsY?authuser=0&hl=en&rclk=1
ChIJ0c3t9laipBIRvEUHQJkXfJU,Federal Cafe Gotic,,False,2904,"Name: Right Side Coffee Bar
link: https://www.google.com/maps/search/Right+Side+Coffee+Bar/@41.3826099,2.1752634?authuser=0&hl=en&entry=ttu
Reviews: 2452 reviews

Name: Cafe Cometa
link: https://www.google.com/maps/search/Caf%C3%A9+Cometa/@41.3758611,2.1620101?authuser=0&hl=en&entry=ttu
Reviews: 1782 reviews

Name: Departure Coffee Co.
link: https://www.google.com/maps/search/Departure+Coffee+Co./@41.3836145,2.1649125000000002?authuser=0&hl=en&entry=ttu
Reviews: 1032 reviews

Name: Federal Cafe Poblenou
link: https://www.google.com/maps/search/Federal+Cafe+Poblenou/@41.3996798,2.2058339?authuser=0&hl=en&entry=ttu
Reviews: 507 reviews

Name: Tostaderos Bon Mercat Llibreteria
link: https://www.google.com/maps/search/Tostaderos+Bon+Mercat+Llibreteria/@41.3835693,2.1777311?authuser=0&hl=en&entry=ttu
Reviews: 104 reviews",http://federalcafe.es/barcelona-gotic/,Federal Cafe Gotic (Owner),https://www.google.com/maps/contrib/106581089277358026078,https://lh5.googleusercontent.com/p/AF1QipMHd3e5m3LjkoxMxrmUPRxbCP-TSo9n9hYvvbCM=w408-h408-k-no,Coffee shop,"Coffee shop, Brunch restaurant, Internet cafe, Restaurant",4.1,9 AM-4:30 PM,Open All Days,+34 932 80 81 71,"Federal Cafe Gotic, Ptge. de la Pau, 11, Ciutat Vella, 08002 Barcelona, Spain","brunch, laptop, eggs benedict, pancakes, barcelona, healthy food, poached egg, shakshuka, baked eggs, bald",https://www.google.com/maps/place/Federal+Caf%C3%A8+G%C3%B2tic/data=!4m7!3m6!1s0x12a4a256f6edcdd1:0x957c1799400745bc!8m2!3d41.3780022!4d2.1777241!16s%2Fg%2F11b7cp980_!19sChIJ0c3t9laipBIRvEUHQJkXfJU?authuser=0&hl=en&rclk=1
ChIJ8QcH9FeipBIROwANPD80KvI,ARTiSA Barcelona,"Trendy stop for cake, ice cream & coffee, dedicated to sustainable products & run by 2 sisters.",False,2774,"Name: Citizen Cafe Barcelona
link: https://www.google.com/maps/search/Citizen+Caf%C3%A9+Barcelona/@41.3894258,2.1727998?authuser=0&hl=en&entry=ttu
Reviews: 4898 reviews

Name: Right Side Coffee Bar
link: https://www.google.com/maps/search/Right+Side+Coffee+Bar/@41.3826099,2.1752634?authuser=0&hl=en&entry=ttu
Reviews: 2452 reviews

Name: Cafe de l'Opera
link: https://www.google.com/maps/search/Caf%C3%A8+de+l%27%C3%92pera/@41.38094890000001,2.173778?authuser=0&hl=en&entry=ttu
Reviews: 2028 reviews

Name: Croissanterie del Pi
link: https://www.google.com/maps/search/Croissanterie+del+Pi/@41.3834678,2.1740353?authuser=0&hl=en&entry=ttu
Reviews: 375 reviews

Name: Forn de la Vila
link: https://www.google.com/maps/search/Forn+de+la+Vila/@41.3805444,2.1799429?authuser=0&hl=en&entry=ttu
Reviews: 206 reviews",http://www.artisa.es/,ARTiSA Barcelona (Owner),https://www.google.com/maps/contrib/100725565967304056024,https://lh5.googleusercontent.com/p/AF1QipP5zwSSU0CxrC7rgYo66Yg6LxixJ2_MGsY0GXX5=w426-h240-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Confectionery, Creperie, Fast food restaurant, Gourmet grocery store, Ice cream shop",4.4,9 AM-10 PM,Open All Days,+34 658 87 98 17,"ARTiSA Barcelona, Carrer de Colom, 2, Ciutat Vella, 08002 Barcelona, Spain","cheesecake, gelato, crepes, brunch, empanadas, orange juice, churros and chocolate, merienda, handicrafts, crema catalana",https://www.google.com/maps/place/ARTiSA+Barcelona/data=!4m7!3m6!1s0x12a4a257f40707f1:0xf22a343f3c0d003b!8m2!3d41.3797283!4d2.1748844!16s%2Fg%2F1td5bnm2!19sChIJ8QcH9FeipBIROwANPD80KvI?authuser=0&hl=en&rclk=1
ChIJfb99MPiipBIRRm7r5cGAKF4,Right Side Coffee Bar,,False,2453,"Name: Citizen Cafe Barcelona
link: https://www.google.com/maps/search/Citizen+Caf%C3%A9+Barcelona/@41.3894258,2.1727998?authuser=0&hl=en&entry=ttu
Reviews: 4898 reviews

Name: Nomad Coffee - Lab & Shop
link: https://www.google.com/maps/search/Nomad+Coffee+-+Lab+%26+Shop/@41.3889218,2.1770391?authuser=0&hl=en&entry=ttu
Reviews: 1904 reviews

Name: Dalston Coffee Barcelona
link: https://www.google.com/maps/search/Dalston+Coffee+Barcelona/@41.3845342,2.1684742999999997?authuser=0&hl=en&entry=ttu
Reviews: 987 reviews

Name: Torradors Bon Mercat Llibreteria
link: https://www.google.com/maps/search/Torradors+Bon+Mercat+Llibreteria/@41.3835693,2.1777311?authuser=0&hl=en&entry=ttu
Reviews: 567 reviews

Name: Syra Coffee
link: https://www.google.com/maps/search/Syra+Coffee/@41.386558699999995,2.1667481?authuser=0&hl=en&entry=ttu
Reviews: 234 reviews",http://www.rightsidecoffee.com/,Right Side Coffee Bar (Owner),https://www.google.com/maps/contrib/104369031762951219337,https://lh5.googleusercontent.com/p/AF1QipNC8RrK7kEASaHM4nCsdBxzQJlM_oKwnvEkC8Ch=w408-h306-k-no,Cafe,"Cafe, Coffee shop, Espresso bar",4.2,9 AM-5 PM,Open All Days,+34 931 92 80 08,"Right Side Coffee Bar, C/ de l'Arc de Sant Ramon del Call, 11, Ciutat Vella, 08002 Barcelona, Spain","flat white, hipster, barcelona, oat milk, satan, chia, prams, cathedral, alleys, aeropress",https://www.google.com/maps/place/Right+Side+Coffee+Bar/data=!4m7!3m6!1s0x12a4a2f8307dbf7d:0x5e2880c1e5eb6e46!8m2!3d41.3826099!4d2.1752634!16s%2Fg%2F11b620cyxf!19sChIJfb99MPiipBIRRm7r5cGAKF4?authuser=0&hl=en&rclk=1
ChIJRaENMHuYpBIR7qtOrpH3MVs,Hidden Coffee Roasters - Les Corts,"Casual hangout serving sandwiches, bowls & vegan fare, plus matcha & specialty coffee.",False,2174,"Name: Buenas Migas
link: https://www.google.com/maps/search/Buenas+Migas/@41.389043799999996,2.1361881?authuser=0&hl=en&entry=ttu
Reviews: 1501 reviews

Name: Cafe del Born
link: https://www.google.com/maps/search/Caf%C3%A8+del+Born/@41.3851543,2.1836167?authuser=0&hl=en&entry=ttu
Reviews: 1338 reviews

Name: Hidden Coffee Roasters - El Born
link: https://www.google.com/maps/search/Hidden+Coffee+Roasters+-+El+Born/@41.3827882,2.1824279?authuser=0&hl=en&entry=ttu
Reviews: 1057 reviews

Name: Coffee Roasters Ciutat Vella
link: https://www.google.com/maps/search/Coffee+Roasters+Ciutat+Vella/@41.3835693,2.1777311?authuser=0&hl=en&entry=ttu
Reviews: 108 reviews

Name: Hidden Coffee Roasters - Roastery
link: https://www.google.com/maps/search/Hidden+Coffee+Roasters+-+Roastery/@41.4287376,2.1994226?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews",http://hiddencoffeeroasters.com/,Hidden Coffee Roasters - Les Corts (Owner),https://www.google.com/maps/contrib/114068892964945694596,https://lh5.googleusercontent.com/p/AF1QipPML9hl8TnmW5J8au8Nox_oCluFIiU5hLZHpiA6=w408-h272-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Coffee roasters",4.6,8 AM-7 PM,Open All Days,,"Hidden Coffee Roasters - Les Corts, C/ Constanca, Carrer de Deu i Mata, esquina, 08029 Barcelona, Spain","matcha, specialty coffee, cookies, vegan, cash, sugar, computer, mollete, pasticceria",https://www.google.com/maps/place/Hidden+Coffee+Roasters+-+Les+Corts/data=!4m7!3m6!1s0x12a4987b300da145:0x5b31f791ae4eabee!8m2!3d41.3883431!4d2.1358581!16s%2Fg%2F11by_zbqdg!19sChIJRaENMHuYpBIR7qtOrpH3MVs?authuser=0&hl=en&rclk=1
ChIJa5sR4_eipBIRaB7gutbKtYo,Cafe de l'Opera,"Breakfast, churros, coffee & sangria in a classically decorated venue with a terrace.",False,2031,"Name: ARTiSA Barcelona
link: https://www.google.com/maps/search/ARTiSA+Barcelona/@41.3797283,2.1748844?authuser=0&hl=en&entry=ttu
Reviews: 2773 reviews

Name: Cappuccino
link: https://www.google.com/maps/search/Cappuccino/@41.3809835,2.1736796?authuser=0&hl=en&entry=ttu
Reviews: 800 reviews

Name: Croissanterie del Pi
link: https://www.google.com/maps/search/Croissanterie+del+Pi/@41.3834678,2.1740353?authuser=0&hl=en&entry=ttu
Reviews: 375 reviews

Name: Forn de la Vila
link: https://www.google.com/maps/search/Forn+de+la+Vila/@41.3805444,2.1799429?authuser=0&hl=en&entry=ttu
Reviews: 206 reviews

Name: Liceu
link: https://www.google.com/maps/search/Liceu/@41.3815587,2.1731667999999997?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews",http://www.cafeoperabcn.com/,Cafe de l'Opera (Owner),,https://lh5.googleusercontent.com/p/AF1QipN3aeELc7C8b6XmP4PpNZxdIJFX71hW02MTikSX=w408-h306-k-no,Cafe,"Cafe, Coffee shop",4,8:30 AM-2:30 AM,Open All Days,+34 933 17 75 85,"Cafe de l'Opera, La Rambla, 74, Ciutat Vella, 08002 Barcelona, Spain","history, tourist, churros with chocolate, decoration, sangria, paella, crema catalana, preserved food, bohemian, 19th century",https://www.google.com/maps/place/Caf%C3%A8+de+l%27%C3%92pera/data=!4m7!3m6!1s0x12a4a2f7e3119b6b:0x8ab5cad6bae01e68!8m2!3d41.3809489!4d2.173778!16s%2Fg%2F1wcj_m0c!19sChIJa5sR4_eipBIRaB7gutbKtYo?authuser=0&hl=en&rclk=1
ChIJF3295_qipBIRFR8_uS69o6w,Nomad Coffee - Lab & Shop,,False,1906,"Name: Right Side Coffee Bar
link: https://www.google.com/maps/search/Right+Side+Coffee+Bar/@41.3826099,2.1752634?authuser=0&hl=en&entry=ttu
Reviews: 2452 reviews

Name: Three Marks Coffee
link: https://www.google.com/maps/search/Three+Marks+Coffee/@41.397245,2.183157?authuser=0&hl=en&entry=ttu
Reviews: 1392 reviews

Name: Dalston Coffee Barcelona
link: https://www.google.com/maps/search/Dalston+Coffee+Barcelona/@41.3845342,2.1684742999999997?authuser=0&hl=en&entry=ttu
Reviews: 987 reviews

Name: SlowMov
link: https://www.google.com/maps/search/SlowMov/@41.3985195,2.1539479?authuser=0&hl=en&entry=ttu
Reviews: 876 reviews

Name: Torradors Bon Mercat Llibreteria
link: https://www.google.com/maps/search/Torradors+Bon+Mercat+Llibreteria/@41.3835693,2.1777311?authuser=0&hl=en&entry=ttu
Reviews: 567 reviews",http://nomadcoffee.es/,Nomad Coffee - Lab & Shop (Owner),https://www.google.com/maps/contrib/100845792963190021901,https://lh5.googleusercontent.com/p/AF1QipO1I_fdUYdlBoPP02xtKafsD4A_6UbI_G8fljGC=w408-h258-k-no,Coffee shop,Coffee shop,4.6,8:30 AM-6 PM,"Saturday, Sunday",+34 628 56 62 35,"Nomad Coffee - Lab & Shop, Passatge Sert, 12, Ciutat Vella, 08003 Barcelona, Spain","beans, specialty coffee, flat white, sugar, third wave coffee, alley, barcelona, geek, benches, overs",https://www.google.com/maps/place/Nomad+Coffee+-+Lab+%26+Shop/data=!4m7!3m6!1s0x12a4a2fae7bd7d17:0xaca3bd2eb93f1f15!8m2!3d41.3889218!4d2.1770391!16s%2Fg%2F11b620zksj!19sChIJF3295_qipBIRFR8_uS69o6w?authuser=0&hl=en&rclk=1
ChIJa6oysT2jpBIR3fVfIHbKT-k,Little Fern,"Chic, low-key daytime eatery offering New Zealand-inspired brunch fare, including many vegan dishes.",False,1893,"Name: Billy Brunch
link: https://www.google.com/maps/search/Billy+Brunch/@41.397720299999996,2.1693751?authuser=0&hl=en&entry=ttu
Reviews: 4574 reviews

Name: Ugot Bruncherie
link: https://www.google.com/maps/search/Ugot+Bruncherie/@41.381329,2.1553249?authuser=0&hl=en&entry=ttu
Reviews: 3502 reviews

Name: Can Dende
link: https://www.google.com/maps/search/Can+Dende/@41.3983549,2.1984355?authuser=0&hl=en&entry=ttu
Reviews: 2140 reviews

Name: El Petit Princep Brunch
link: https://www.google.com/maps/search/El+Petit+Pr%C3%ADncep+Brunch/@41.3964,2.177116?authuser=0&hl=en&entry=ttu
Reviews: 1135 reviews

Name: Nolita
link: https://www.google.com/maps/search/Nolita/@41.402789999999996,2.2047215?authuser=0&hl=en&entry=ttu
Reviews: 801 reviews",http://www.littleferncafe.com/,Little Fern (Owner),https://www.google.com/maps/contrib/105950431577864091709,https://lh5.googleusercontent.com/p/AF1QipP5MxOJ5Dr5MGoVKDcjbfwSziN63Jwc5EGydi0r=w408-h408-k-no,Brunch restaurant,"Brunch restaurant, Breakfast restaurant, Cafe, Coffee shop, Coffee store, Health food restaurant, Lunch restaurant, New Zealand restaurant, Vegetarian restaurant",4.7,9 AM-4 PM,Open All Days,,"Little Fern, C/ de Pere IV, 168, Sant Marti, 08005 Barcelona, Spain","banana bread, vegan, avocado toast, turkish eggs, acai bowl, kimchi pancakes, granola, harissa, corn fritters, kiwi",https://www.google.com/maps/place/Little+Fern/data=!4m7!3m6!1s0x12a4a33db132aa6b:0xe94fca76205ff5dd!8m2!3d41.4023437!4d2.1975263!16s%2Fg%2F11f53ths3m!19sChIJa6oysT2jpBIR3fVfIHbKT-k?authuser=0&hl=en&rclk=1
ChIJiaDp1GaipBIRWhARd40IiYI,Cafe Cometa,"Coffees, juices & sandwiches at a bright, trendy cafe with artwork on the walls.",False,1782,"Name: Federal Cafe
link: https://www.google.com/maps/search/Federal+Caf%C3%A8/@41.376920399999996,2.1628355000000004?authuser=0&hl=en&entry=ttu
Reviews: 2951 reviews

Name: Manso's Cafe
link: https://www.google.com/maps/search/Manso%27s+Cafe/@41.3754849,2.1587624?authuser=0&hl=en&entry=ttu
Reviews: 1276 reviews

Name: Torradors Bon Mercat Llibreteria
link: https://www.google.com/maps/search/Torradors+Bon+Mercat+Llibreteria/@41.3835693,2.1777311?authuser=0&hl=en&entry=ttu
Reviews: 567 reviews

Name: Il Caffe di Francesco
link: https://www.google.com/maps/search/Il+Caffe+di+Francesco/@41.3760671,2.1600865?authuser=0&hl=en&entry=ttu
Reviews: 548 reviews",https://instagram.com/cafecometa?utm_medium=copy_link,Cafe Cometa (Owner),https://www.google.com/maps/contrib/104649417141228044656,https://lh5.googleusercontent.com/p/AF1QipN8o95TVxMOQ29GMeJbeGEvArdLz0goyIoUDX0_=w408-h305-k-no,Coffee shop,"Coffee shop, Dessert shop, Juice shop, Sandwich shop",4.2,9 AM-7 PM,Monday,,"Cafe Cometa, C/ del Parlament, 20, L'Eixample, 08015 Barcelona, Spain","fruit juice, carrot cake, bocadillos, decoration, vegan, hipster, bikini, ideal, specialty coffee",https://www.google.com/maps/place/Caf%C3%A9+Cometa/data=!4m7!3m6!1s0x12a4a266d4e9a089:0x8289088d7711105a!8m2!3d41.3758611!4d2.1620101!16s%2Fg%2F1hhgm12t9!19sChIJiaDp1GaipBIRWhARd40IiYI?authuser=0&hl=en&rclk=1
