place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJCyF4t0_bjT4RYBKMh8d58FI,Starbucks Barka Mall,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,208,"Name: CAFE 93deg
link: https://www.google.com/maps/search/CAF%C3%89+93%C2%B0/@23.6688382,57.88705869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 212 reviews

Name: Flame Caffee mqh~ flym kfy
link: https://www.google.com/maps/search/Flame+Caffee+%D9%85%D9%82%D9%87%D9%89+%D9%81%D9%84%D8%A7%D9%8A%D9%85+%D9%83%D8%A7%D9%81%D9%8A/@23.601450099999997,58.1585157?authuser=0&hl=zh-TW&entry=ttu
Reviews: 112 reviews

Name: dyrz kfyh llqhw@ lmkhtS@ (Deers cafe( specialty coffee
link: https://www.google.com/maps/search/%D8%AF%D9%8A%D8%B1%D8%B2+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D9%84%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%B5%D8%A9+%28Deers+cafe%28+specialty+coffee/@23.688743499999998,57.887172400000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews",https://locations.starbucks.com.om/directory/barka/barka-grand-center%3Futm_source%3DGMB%26utm_medium%3DYext%26y_source%3D1_MTU1MDQ4MjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Starbucks Barka Mall (Ye Zhu ),https://www.google.com/maps/contrib/110129340245913260974,https://lh5.googleusercontent.com/p/AF1QipO6o1UhFBnYrfDdI1JIm-DWrRpZ_Uz8RdwWQ-qi=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4,08:00-00:00,Open All Days,+968 22 303544,"Starbucks Barka Mall, Barka Grand Center Shop # 22, Barka 116A Man ","Kong Jian , Ka Pei Shi ",https://www.google.com/maps/place/Starbucks+Barka+Mall/data=!4m7!3m6!1s0x3e8ddb4fb778210b:0x52f079c7878c1260!8m2!3d23.664425!4d57.903427!16s%2Fg%2F11c55v1tn9!19sChIJCyF4t0_bjT4RYBKMh8d58FI?authuser=0&hl=zh-TW&rclk=1
ChIJVx2OpzjFjT4R74SYAG9XYng,LASAI,,False,26,"Name: Flame Caffee mqh~ flym kfy
link: https://www.google.com/maps/search/Flame+Caffee+%D9%85%D9%82%D9%87%D9%89+%D9%81%D9%84%D8%A7%D9%8A%D9%85+%D9%83%D8%A7%D9%81%D9%8A/@23.601450099999997,58.1585157?authuser=0&hl=zh-TW&entry=ttu
Reviews: 112 reviews

Name: dyrz kfyh llqhw@ lmkhtS@ (Deers cafe( specialty coffee
link: https://www.google.com/maps/search/%D8%AF%D9%8A%D8%B1%D8%B2+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D9%84%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%B5%D8%A9+%28Deers+cafe%28+specialty+coffee/@23.688743499999998,57.887172400000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Aventus cafe
link: https://www.google.com/maps/search/Aventus+cafe/@23.7010523,57.8905328?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: COFFEE DAY
link: https://www.google.com/maps/search/COFFEE+DAY/@23.7031766,57.89167819999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: lf kfyh LAVA CAFE
link: https://www.google.com/maps/search/%D9%84%D8%A7%D9%81%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D9%87+LAVA+CAFE/@23.715342,57.868007999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://instagram.com/lasai.om%3Figshid%3D10xemqvy2d17k,LASAI (Ye Zhu ),https://www.google.com/maps/contrib/116688346098324191864,https://lh5.googleusercontent.com/p/AF1QipPmcmpui347apL0_cglv_kIxmDvUrGTvB2P4D9U=w408-h740-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,08:00-23:00,Open All Days,+968 9456 7052,"LASAI, Way to souq Barka OM, 320A Man ",,https://www.google.com/maps/place/LASAI/data=!4m7!3m6!1s0x3e8dc538a78e1d57:0x7862576f009884ef!8m2!3d23.6822516!4d57.885874!16s%2Fg%2F11qz_6cpbp!19sChIJVx2OpzjFjT4R74SYAG9XYng?authuser=0&hl=zh-TW&rclk=1
ChIJjbcIVqHFjT4R9ri_PUnVi8E,Delicioso cafe,,False,14,"Name: Flame Caffee mqh~ flym kfy
link: https://www.google.com/maps/search/Flame+Caffee+%D9%85%D9%82%D9%87%D9%89+%D9%81%D9%84%D8%A7%D9%8A%D9%85+%D9%83%D8%A7%D9%81%D9%8A/@23.601450099999997,58.1585157?authuser=0&hl=zh-TW&entry=ttu
Reviews: 112 reviews

Name: LASAI
link: https://www.google.com/maps/search/LASAI/@23.682251599999997,57.885873999999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: COFFEE DAY
link: https://www.google.com/maps/search/COFFEE+DAY/@23.7031766,57.89167819999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: mqh~ sndwyk lHm Tzj
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B3%D8%A7%D9%86%D8%AF%D9%88%D9%8A%D9%83+%D9%84%D8%AD%D9%85+%D8%B7%D8%A7%D8%B2%D8%AC/@23.7085522,57.89392759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Marina Cafe
link: https://www.google.com/maps/search/Marina+Cafe/@23.7016118,57.89088759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.instagram.com/deliciosocafe_,Delicioso cafe (Ye Zhu ),https://www.google.com/maps/contrib/117725836549945404316,https://lh5.googleusercontent.com/p/AF1QipNTEoUyck39J-3k8LZuYK6Y-rlbDLl2nJ4qJRPx=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,"07:00-12:00, 16:00-00:00",Open All Days,+968 7879 2251,"Delicioso cafe, Barka Marina, Barka, A Man ",,https://www.google.com/maps/place/Delicioso+caf%C3%A9/data=!4m7!3m6!1s0x3e8dc5a15608b78d:0xc18bd5493dbfb8f6!8m2!3d23.7103668!4d57.8970945!16s%2Fg%2F11s4165wmd!19sChIJjbcIVqHFjT4R9ri_PUnVi8E?authuser=0&hl=zh-TW&rclk=1
ChIJuzP05IPxaS4RFO6N-0rRGj0,Barka Coffee,,False,12,"Name: Barack CAFEE
link: https://www.google.com/maps/search/Barack+CAFEE/@-6.2981386,106.7505485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: kopika
link: https://www.google.com/maps/search/kopika/@-6.2869122,106.75495769999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Barika coffee
link: https://www.google.com/maps/search/Barika+coffee/@-6.2899595,106.72345209999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Amia Kopi
link: https://www.google.com/maps/search/Amia+Kopi/@-6.278972899999999,106.74587869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://bit.ly/barkacoffee,Barka Coffee (Ye Zhu ),https://www.google.com/maps/contrib/107009544419484027323,https://lh5.googleusercontent.com/p/AF1QipNV-8b4eJ9dJbfbwhOKs07DDoeg1Ui_si2isFnf=w408-h408-k-no,Ka Pei Dian ,Ka Pei Dian ,5,07:00-19:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Ri ",,"Barka Coffee, Jl. Punai II No.4 Blok T3, Rengas, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412Yin Ni ",,https://www.google.com/maps/place/Barka+Coffee/data=!4m7!3m6!1s0x2e69f183e4f433bb:0x3d1ad14afb8dee14!8m2!3d-6.2814565!4d106.750576!16s%2Fg%2F11fm5yhr9y!19sChIJuzP05IPxaS4RFO6N-0rRGj0?authuser=0&hl=zh-TW&rclk=1
ChIJdfXp3Pt9eC4Rzn9l5Wj7GIA,Cafe Barka,,False,84,"Name: Cafe Monstera
link: https://www.google.com/maps/search/Cafe+Monstera/@-7.853321500000001,112.53221959999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2019 reviews

Name: CAFE BARONG
link: https://www.google.com/maps/search/CAFE+BARONG/@-7.8622817,112.53996649999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafe Rama
link: https://www.google.com/maps/search/Cafe+Rama/@-7.872760100000001,112.516639?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe Barka (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMSJloYB6B4x2ptboGPtG_cG0yHpLjYKc3AtkZz=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,11:00-22:00,Open All Days,+62 818-0809-9974,"Cafe Barka, BARKA Cafe, Gunungsari, Kec. Bumiaji, Kota Batu, Jawa Timur 65337Yin Ni ","Qia La ok, Jia Ge ",https://www.google.com/maps/place/Cafe+Barka/data=!4m7!3m6!1s0x2e787dfbdce9f575:0x8018fb68e5657fce!8m2!3d-7.8426212!4d112.5143754!16s%2Fg%2F11h6gwf2x3!19sChIJdfXp3Pt9eC4Rzn9l5Wj7GIA?authuser=0&hl=zh-TW&rclk=1
ChIJY1S7RxHFjT4RhPpiDGPkc9s,dyrz kfyh llqhw@ lmkhtS@ (Deers cafe( specialty coffee,,False,77,"Name: CAFE 93deg
link: https://www.google.com/maps/search/CAF%C3%89+93%C2%B0/@23.6688382,57.88705869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 212 reviews

Name: Starbucks Barka Mall
link: https://www.google.com/maps/search/Starbucks+Barka+Mall/@23.664424999999998,57.903427?authuser=0&hl=zh-TW&entry=ttu
Reviews: 208 reviews

Name: Flame Caffee mqh~ flym kfy
link: https://www.google.com/maps/search/Flame+Caffee+%D9%85%D9%82%D9%87%D9%89+%D9%81%D9%84%D8%A7%D9%8A%D9%85+%D9%83%D8%A7%D9%81%D9%8A/@23.601450099999997,58.1585157?authuser=0&hl=zh-TW&entry=ttu
Reviews: 112 reviews

Name: Abdool cafe - `bdwl kfyh
link: https://www.google.com/maps/search/Abdool+cafe+-+%D8%B9%D8%A8%D8%AF%D9%88%D9%84+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@23.7075566,57.880275100000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: COFFEE DAY
link: https://www.google.com/maps/search/COFFEE+DAY/@23.7031766,57.89167819999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",,dyrz kfyh llqhw@ lmkhtS@ (Deers cafe( specialty coffee (Ye Zhu ),https://www.google.com/maps/contrib/110728171240219569322,https://lh5.googleusercontent.com/p/AF1QipMsHF_BiOGzzBx5rwS7f_mxpQf5Tbqg0sEunp1d=w425-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,06:30-00:00,Open All Days,+968 9967 8811,"dyrz kfyh llqhw@ lmkhtS@ (Deers cafe( specialty coffee, Unnamed Road, Barka, A Man ","Na Tie , Jia Ge , Mei ",https://www.google.com/maps/place/%D8%AF%D9%8A%D8%B1%D8%B2+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D9%84%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%B5%D8%A9+%28Deers+cafe%28+specialty+coffee%E2%80%AD/data=!4m7!3m6!1s0x3e8dc51147bb5463:0xdb73e4630c62fa84!8m2!3d23.6887435!4d57.8871724!16s%2Fg%2F11h83r7bx0!19sChIJY1S7RxHFjT4RhPpiDGPkc9s?authuser=0&hl=zh-TW&rclk=1
ChIJRQq3f_fEjT4Ryj9T9q30NRM,BAIT BARKA COFFEE SHOP mqh~ byt brk,,False,43,"Name: CAFE 93deg
link: https://www.google.com/maps/search/CAF%C3%89+93%C2%B0/@23.6688382,57.88705869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 212 reviews

Name: dyrz kfyh llqhw@ lmkhtS@ (Deers cafe( specialty coffee
link: https://www.google.com/maps/search/%D8%AF%D9%8A%D8%B1%D8%B2+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D9%84%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%B5%D8%A9+%28Deers+cafe%28+specialty+coffee/@23.688743499999998,57.887172400000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: COFFEE DAY
link: https://www.google.com/maps/search/COFFEE+DAY/@23.7031766,57.89167819999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Marina Cafe
link: https://www.google.com/maps/search/Marina+Cafe/@23.7016118,57.89088759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,BAIT BARKA COFFEE SHOP mqh~ byt brk (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPUj0AEq50dB6xa5IunGOInIBXJwMjpdx2QhCIk=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3.5,07:00-00:00,Open All Days,+968 9367 8585,"PV4J+WV9 BAIT BARKA COFFEE SHOP mqh~ byt brk, Barka - Nakhl Road, Al Batinah, South GovernorateA Man ",,https://www.google.com/maps/place/BAIT+BARKA+COFFEE+SHOP+%D9%85%D9%82%D9%87%D9%89+%D8%A8%D9%8A%D8%AA+%D8%A8%D8%B1%D9%83%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x3e8dc4f77fb70a45:0x1335f4adf6533fca!8m2!3d23.7072945!4d57.8822499!16s%2Fg%2F11g01_dhsx!19sChIJRQq3f_fEjT4Ryj9T9q30NRM?authuser=0&hl=zh-TW&rclk=1
ChIJA4Y2DTqt1y0RZVGg4fuFmDQ,Kopi Barka,,False,36,"Name: AAA Cafe
link: https://www.google.com/maps/search/AAA+Cafe/@-7.7550087,113.2116403?authuser=0&hl=zh-TW&entry=ttu
Reviews: 365 reviews

Name: Cafe Kopas
link: https://www.google.com/maps/search/Cafe+Kopas/@-7.7562073,113.1770842?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Angkringan 88 Cafe
link: https://www.google.com/maps/search/Angkringan+88+Cafe/@-7.7584770999999995,113.2032821?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Kopi Barka (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPRlRIjVHQG7JyJOmz0B5-fnngUlV1G2K2ywy4l=w531-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,10:00-22:00,Open All Days,,"Kopi Barka, Gg. Pendawa No.17, Kanigaran, Probolinggo City, East Java 67271Yin Ni ",,https://www.google.com/maps/place/Kopi+Barka/data=!4m7!3m6!1s0x2dd7ad3a0d368603:0x349885fbe1a05165!8m2!3d-7.7639272!4d113.2017956!16s%2Fg%2F11l4tm8kb0!19sChIJA4Y2DTqt1y0RZVGg4fuFmDQ?authuser=0&hl=zh-TW&rclk=1
ChIJ50JE-u_FjT4Rc47xkiirFWU,COFFEE DAY,,False,13,"Name: Flame Caffee mqh~ flym kfy
link: https://www.google.com/maps/search/Flame+Caffee+%D9%85%D9%82%D9%87%D9%89+%D9%81%D9%84%D8%A7%D9%8A%D9%85+%D9%83%D8%A7%D9%81%D9%8A/@23.601450099999997,58.1585157?authuser=0&hl=zh-TW&entry=ttu
Reviews: 112 reviews

Name: dyrz kfyh llqhw@ lmkhtS@ (Deers cafe( specialty coffee
link: https://www.google.com/maps/search/%D8%AF%D9%8A%D8%B1%D8%B2+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D9%84%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%B5%D8%A9+%28Deers+cafe%28+specialty+coffee/@23.688743499999998,57.887172400000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: LASAI
link: https://www.google.com/maps/search/LASAI/@23.682251599999997,57.885873999999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: COFFEE SHOP
link: https://www.google.com/maps/search/COFFEE+SHOP/@23.7137352,57.851852099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Marina Cafe
link: https://www.google.com/maps/search/Marina+Cafe/@23.7016118,57.89088759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,COFFEE DAY (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMfYo6didwjW--QnpXZrA-iRYeNqppwipXvKyiX=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.7,08:00-00:00,Open All Days,+968 9898 3161,"PV3R+7MF COFFEE DAY, Next to Halawiyath al Iftar, barka souq road, Barka, A Man ",,https://www.google.com/maps/place/COFFEE+DAY/data=!4m7!3m6!1s0x3e8dc5effa4442e7:0x6515ab2892f18e73!8m2!3d23.7031766!4d57.8916782!16s%2Fg%2F11ff57321k!19sChIJ50JE-u_FjT4Rc47xkiirFWU?authuser=0&hl=zh-TW&rclk=1
ChIJseiBonXFjT4R_lf9wJxkm90,Saddel Cafe,,False,6,,,Saddel Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117713978362235639628,https://lh5.googleusercontent.com/p/AF1QipP0pyMkYeHw1yloyAwS5EWmWmVYCeKpglNEsHV5=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,3.8,08:30-23:30,Open All Days,+968 9601 1905,"Saddel Cafe, Barka - Coastal Road, Barka, A Man ",,https://www.google.com/maps/place/Saddel+Cafe/data=!4m7!3m6!1s0x3e8dc575a281e8b1:0xdd9b649cc0fd57fe!8m2!3d23.7090161!4d57.8934059!16s%2Fg%2F11kpjgj9wr!19sChIJseiBonXFjT4R_lf9wJxkm90?authuser=0&hl=zh-TW&rclk=1
