place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJCzdIaNEl1xIRFE-DHrv3aLo,Cafe des Gourmets,,False,468,"Name: Cafe Au Palais Des Glaces
link: https://www.google.com/maps/search/Caf%C3%A9+Au+Palais+Des+Glaces/@42.7009484,9.450670299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 388 reviews

Name: Restaurant L'Ardoise
link: https://www.google.com/maps/search/Restaurant+L%27Ardoise/@42.697254099999995,9.451452399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 333 reviews

Name: Ghisoni's Coffee House
link: https://www.google.com/maps/search/Ghisoni%27s+Coffee+House/@42.701513399999996,9.4498053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: Le Cosi
link: https://www.google.com/maps/search/Le+Cosi/@42.69659,9.452290999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 290 reviews

Name: O Resto
link: https://www.google.com/maps/search/O+Resto/@42.700911399999995,9.449790499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews",https://instagram.com/cafe_des_gourmets%3Futm_source%3Dig_profile_share%26igshid%3D19eq9utk24a84,Cafe des Gourmets (Ye Zhu ),https://www.google.com/maps/contrib/114931533156677558689,https://lh5.googleusercontent.com/p/AF1QipMjT_hyu65NjFBx5lNVqWvxcZPp2UfEc3yUB049=w408-h306-k-no,Fa Shi Can Ting ,Fa Shi Can Ting ,4.7,08:00-19:00,Xing Qi Yi ,+33 4 95 48 51 92,"Cafe des Gourmets, 23 Bd Paoli, 20200 Bastia, Fa Guo ","Zao Wu Can , Guo Zhi , Ban Ni Di Ke Dan , Song Bing , Gao , Ke Song , Tian Chuang , Chao Dan , Bu Li Ou ",https://www.google.com/maps/place/Caf%C3%A9+des+Gourmets/data=!4m7!3m6!1s0x12d725d16848370b:0xba68f7bb1e834f14!8m2!3d42.6986981!4d9.4493726!16s%2Fg%2F11fl46m1fd!19sChIJCzdIaNEl1xIRFE-DHrv3aLo?authuser=0&hl=zh-TW&rclk=1
ChIJafGurAYk1xIR3x7IxYsBiK8,Cafe Napoleon,,False,395,"Name: Cafe des Gourmets
link: https://www.google.com/maps/search/Caf%C3%A9+des+Gourmets/@42.69869810000001,9.4493726?authuser=0&hl=zh-TW&entry=ttu
Reviews: 468 reviews

Name: Cafe Au Palais Des Glaces
link: https://www.google.com/maps/search/Caf%C3%A9+Au+Palais+Des+Glaces/@42.7009484,9.450670299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 388 reviews

Name: Cafe des Palmiers
link: https://www.google.com/maps/search/Caf%C3%A9+des+Palmiers/@42.7001006,9.4504293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 217 reviews

Name: Cafe de la Place
link: https://www.google.com/maps/search/Cafe+de+la+Place/@42.7005798,9.450571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Cafe de Toga
link: https://www.google.com/maps/search/Caf%C3%A9+de+Toga/@42.708165099999995,9.454354?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews",https://www.facebook.com/Cafenapoleonbastia,Cafe Napoleon (Ye Zhu ),https://www.google.com/maps/contrib/108900125281521496013,https://lh5.googleusercontent.com/p/AF1QipMWS7cXkn74hn1eScZos8TfocJuQdgglkBEDFM5=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Pi Jiu Niang Zhi Chang , Xue Gao Dian , Can Ting ",3.2,06:00-22:00,Open All Days,+33 4 95 31 18 10,"Cafe Napoleon, 17 Bd du General de Gaulle, 20200 Bastia, Fa Guo ","Zao Can , Zhuo , Ce Suo , Liu Cheng Zhi , Du Lun , Lu You , Bing Qi Lin , Shu Tiao ",https://www.google.com/maps/place/Caf%C3%A9+Napol%C3%A9on/data=!4m7!3m6!1s0x12d72406acaef169:0xaf88018bc5c81edf!8m2!3d42.7017888!4d9.4509712!16s%2Fg%2F1tdlr5m7!19sChIJafGurAYk1xIR3x7IxYsBiK8?authuser=0&hl=zh-TW&rclk=1
ChIJh4c7pgYk1xIRnfkFD7SjaeY,Cafe Au Palais Des Glaces,,False,388,"Name: Cafe des Gourmets
link: https://www.google.com/maps/search/Caf%C3%A9+des+Gourmets/@42.69869810000001,9.4493726?authuser=0&hl=zh-TW&entry=ttu
Reviews: 468 reviews

Name: Ghisoni's Coffee House
link: https://www.google.com/maps/search/Ghisoni%27s+Coffee+House/@42.701513399999996,9.4498053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: Glacier - PAOLI GOURMET Artisan Glacier
link: https://www.google.com/maps/search/Glacier+-+PAOLI+GOURMET+Artisan+Glacier/@42.696934899999995,9.4496789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews

Name: Cafe de la Place
link: https://www.google.com/maps/search/Cafe+de+la+Place/@42.7005798,9.450571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Cafe Albert 1er
link: https://www.google.com/maps/search/Caf%C3%A9+Albert+1er/@42.7007299,9.4505948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews",http://www.lepalaisdesglaces.com/,Cafe Au Palais Des Glaces (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPmBFieGexSOWvWSCWIsXfzRFtsUaMPQaOoJ6jQ=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Di Zhong Hai Can Ting ",4,07:00-00:00,Open All Days,+33 4 95 31 05 01,"Cafe Au Palais Des Glaces, 13 Bd du General de Gaulle, 20200 Bastia, Fa Guo ","Bai Pan , Liao Li , Yu , Kai Sa Sha La , Bo He , Guang Chang ",https://www.google.com/maps/place/Caf%C3%A9+Au+Palais+Des+Glaces/data=!4m7!3m6!1s0x12d72406a63b8787:0xe669a3b40f05f99d!8m2!3d42.7009484!4d9.4506703!16s%2Fg%2F1vk4r1qv!19sChIJh4c7pgYk1xIRnfkFD7SjaeY?authuser=0&hl=zh-TW&rclk=1
ChIJ-4YLDwQk1xIRU0VCjQywxYo,Ghisoni's Coffee House,,False,311,"Name: Cafe des Gourmets
link: https://www.google.com/maps/search/Caf%C3%A9+des+Gourmets/@42.69869810000001,9.4493726?authuser=0&hl=zh-TW&entry=ttu
Reviews: 468 reviews

Name: Cafe Au Palais Des Glaces
link: https://www.google.com/maps/search/Caf%C3%A9+Au+Palais+Des+Glaces/@42.7009484,9.450670299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 388 reviews

Name: Le cafe du centre
link: https://www.google.com/maps/search/Le+caf%C3%A9+du+centre/@42.6994811,9.4500548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Columbus Cafe & Co
link: https://www.google.com/maps/search/Columbus+Caf%C3%A9+%26+Co/@42.698248299999996,9.448413?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: House Burger
link: https://www.google.com/maps/search/House+Burger/@42.694574499999995,9.4474837?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.ghisonis.com/,Ghisoni's Coffee House (Ye Zhu ),https://www.google.com/maps/contrib/114829857454213988369,https://lh5.googleusercontent.com/p/AF1QipPns6w9PaA81wl48dmstwqk4dXTVNM2-8b_iZvE=w408-h272-k-no,Han Bao Can Ting ,"Han Bao Can Ting , Mei Shi Can Ting , Bo Bing Can Ting , Can Ting , Sha Lu Dian ",4.5,08:00-20:00,Xing Qi Ri ,+33 4 95 44 05 63,"Ghisoni's Coffee House, 26 Rue Cesar Campinchi, 20200 Bastia, Fa Guo ","Jia Ge , Gao , Yi Dao Cai , Qiao Ke Li , Bu Jing , Fang Jian , Shi Zhong Xin , Zao Wu Can , Luo Li ",https://www.google.com/maps/place/Ghisoni%27s+Coffee+House/data=!4m7!3m6!1s0x12d724040f0b86fb:0x8ac5b00c8d424553!8m2!3d42.7015134!4d9.4498053!16s%2Fg%2F11cn3041ts!19sChIJ-4YLDwQk1xIRU0VCjQywxYo?authuser=0&hl=zh-TW&rclk=1
ChIJt9PQ1AMk1xIRUfN8bOn9zOE,Cafe des Intimes,,False,153,"Name: Cafe des Gourmets
link: https://www.google.com/maps/search/Caf%C3%A9+des+Gourmets/@42.69869810000001,9.4493726?authuser=0&hl=zh-TW&entry=ttu
Reviews: 468 reviews

Name: Cafe Au Palais Des Glaces
link: https://www.google.com/maps/search/Caf%C3%A9+Au+Palais+Des+Glaces/@42.7009484,9.450670299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 388 reviews

Name: Ghisoni's Coffee House
link: https://www.google.com/maps/search/Ghisoni%27s+Coffee+House/@42.701513399999996,9.4498053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: Le cafe du centre
link: https://www.google.com/maps/search/Le+caf%C3%A9+du+centre/@42.6994811,9.4500548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: L'impasse cafe
link: https://www.google.com/maps/search/L%E2%80%99impasse+cafe/@42.702532,9.451093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews",https://www.whatiseat.com/fr/menu/cafe-des-intimes/,Cafe des Intimes (Ye Zhu ),https://www.google.com/maps/contrib/110905686790355779567,https://lh5.googleusercontent.com/p/AF1QipPJrALhj_tTgrCnGppznSTYKkEec2AUeN74Y00=w408-h306-k-no,Can Ting ,"Can Ting , Zao Wu Can Can Ting , Ji Wei Jiu Jiu Ba , Xi Ban Ya Xiao Shi Jiu Ba , Cha Yi Guan ",4,07:00-01:00,Xing Qi Er ,+33 4 95 60 01 06,"Cafe des Intimes, 9 Place de l'Hotel de Ville, 20200 Bastia, Fa Guo ","tapas, Jia Ge , Hong Jiu , Zhuo , Ka Pei Ting , Zao Can , Shi Chang , Bei Zi ",https://www.google.com/maps/place/Caf%C3%A9+des+Intimes/data=!4m7!3m6!1s0x12d72403d4d0d3b7:0xe1ccfde96c7cf351!8m2!3d42.6975785!4d9.4512063!16s%2Fg%2F1td074b9!19sChIJt9PQ1AMk1xIRUfN8bOn9zOE?authuser=0&hl=zh-TW&rclk=1
ChIJmdvuMhYl1xIRE__iRSbVUJs,Columbus Cafe & Co,,False,137,"Name: Ghisoni's Coffee House
link: https://www.google.com/maps/search/Ghisoni%27s+Coffee+House/@42.701513399999996,9.4498053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: Le cafe du centre
link: https://www.google.com/maps/search/Le+caf%C3%A9+du+centre/@42.6994811,9.4500548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Cafe des Intimes
link: https://www.google.com/maps/search/Caf%C3%A9+des+Intimes/@42.6975785,9.451206299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Cafe Albert 1er
link: https://www.google.com/maps/search/Caf%C3%A9+Albert+1er/@42.7007299,9.4505948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: Cafe Casale Bastia
link: https://www.google.com/maps/search/Caf%C3%A9+Casale+Bastia/@42.6984767,9.4503606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews",https://www.columbuscafe.com/boutique/bastia/,Columbus Cafe & Co (Ye Zhu ),https://www.google.com/maps/contrib/116374917852169631123,https://lh5.googleusercontent.com/p/AF1QipOG1W6iRBhgDwcwDVA_8Oog_soBy-r8OZhqfwBg=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,08:00-22:00,Open All Days,,"Columbus Cafe & Co, Ter, Rue Cesar Campinchi 5, 20200 Bastia, Fa Guo ","Song Bing , wifi",https://www.google.com/maps/place/Columbus+Caf%C3%A9+%26+Co/data=!4m7!3m6!1s0x12d7251632eedb99:0x9b50d52645e2ff13!8m2!3d42.6982483!4d9.448413!16s%2Fg%2F11fhqr2y2h!19sChIJmdvuMhYl1xIRE__iRSbVUJs?authuser=0&hl=zh-TW&rclk=1
ChIJhZnMSQ4l1xIR-tblca5cMzc,Cafe marlow,,False,103,"Name: Le cafe du centre
link: https://www.google.com/maps/search/Le+caf%C3%A9+du+centre/@42.6994811,9.4500548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Columbus Cafe & Co
link: https://www.google.com/maps/search/Columbus+Caf%C3%A9+%26+Co/@42.698248299999996,9.448413?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Restaurant Brasserie Pizzeria Met-Cafe
link: https://www.google.com/maps/search/Restaurant+Brasserie+Pizzeria+Met-Cafe/@42.6988446,9.4487047?authuser=0&hl=zh-TW&entry=ttu
Reviews: 111 reviews

Name: Cafe Casale Bastia
link: https://www.google.com/maps/search/Caf%C3%A9+Casale+Bastia/@42.6984767,9.4503606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Mdmp
link: https://www.google.com/maps/search/Mdmp/@42.69709470000001,9.4479626?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/cafemarlow?utm_medium=copy_link,Cafe marlow (Ye Zhu ),https://www.google.com/maps/contrib/117087834588636139539,https://lh5.googleusercontent.com/p/AF1QipMrVyuEeWJ5QLx8z0fBr8bobR6Y6p3sLoRxj3qG=w408-h544-k-no,Zao Wu Can Can Ting ,"Zao Wu Can Can Ting , Ka Pei Ting , Can Ting ",4.5,09:00-19:00,Xing Qi Er ,+33 6 11 74 64 56,"Cafe marlow, 14 Rue Cesar Campinchi, 20200 Bastia, Fa Guo ","Song Bing , Yan , Yin Liao , Han Bao , Tu Si , Pan , Xuan Ze , Jia Ge ",https://www.google.com/maps/place/Caf%C3%A9+marlow/data=!4m7!3m6!1s0x12d7250e49cc9985:0x37335cae71e5d6fa!8m2!3d42.6990728!4d9.4490364!16s%2Fg%2F11qbkrjklh!19sChIJhZnMSQ4l1xIR-tblca5cMzc?authuser=0&hl=zh-TW&rclk=1
ChIJGdianwYk1xIR_YzNatZqQjw,Cafe Albert 1er,,False,99,"Name: Cafe Au Palais Des Glaces
link: https://www.google.com/maps/search/Caf%C3%A9+Au+Palais+Des+Glaces/@42.7009484,9.450670299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 388 reviews

Name: Brasserie de la gare
link: https://www.google.com/maps/search/Brasserie+de+la+gare/@42.7023347,9.4487043?authuser=0&hl=zh-TW&entry=ttu
Reviews: 247 reviews

Name: Le cafe du centre
link: https://www.google.com/maps/search/Le+caf%C3%A9+du+centre/@42.6994811,9.4500548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Cafe de la Place
link: https://www.google.com/maps/search/Cafe+de+la+Place/@42.7005798,9.450571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Cafe Casale Bastia
link: https://www.google.com/maps/search/Caf%C3%A9+Casale+Bastia/@42.6984767,9.4503606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews",https://www.facebook.com/CafeAlbert1er/,Cafe Albert 1er (Ye Zhu ),https://www.google.com/maps/contrib/101885533543828705573,https://lh5.googleusercontent.com/p/AF1QipO11e76Cb6FjJE9JYhrL7ZMgPniaiFLgwyBo2cM=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Fa Guo Can Ting , Fa Shi Can Ting ",4.1,06:00-02:00,Open All Days,+33 9 67 60 76 10,"Cafe Albert 1er, 11 Bd du General de Gaulle, 20200 Bastia, Fa Guo ","Ji Dan Zi , Ji Kuai , Du Lun , Jia Ge ",https://www.google.com/maps/place/Caf%C3%A9+Albert+1er/data=!4m7!3m6!1s0x12d724069f9ad819:0x3c426ad66acd8cfd!8m2!3d42.7007299!4d9.4505948!16s%2Fg%2F1tdlqwtp!19sChIJGdianwYk1xIR_YzNatZqQjw?authuser=0&hl=zh-TW&rclk=1
ChIJ18ldWgEk1xIRP88VreumKDg,L'impasse cafe,,False,91,"Name: Cafe des Intimes
link: https://www.google.com/maps/search/Caf%C3%A9+des+Intimes/@42.6975785,9.451206299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Couleur Cafe
link: https://www.google.com/maps/search/Couleur+Cafe/@42.704677499999995,9.4523031?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Placere Placet
link: https://www.google.com/maps/search/Placere+Placet/@42.696363399999996,9.4473487?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://limpasse-cafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral.fr,L'impasse cafe (Ye Zhu ),https://www.google.com/maps/contrib/109656652417236067418,https://lh5.googleusercontent.com/p/AF1QipOI7GDJcry6kA0pKdbxzEt6LhMxJ7DPayLhbrL1=w408-h544-k-no,Fa Shi Can Ting ,"Fa Shi Can Ting , Jiu Ba , Ka Pei Dian , Xue Gao Dian ",3.9,04:30-02:00,Xing Qi Ri ,+33 4 95 33 49 80,"L'impasse cafe, immeuble novelty, Rue Saint-Victor, 20200 Bastia, Fa Guo ","Ba , Jia Ge , Ce Suo , Shui , Xiao Rong ",https://www.google.com/maps/place/L%E2%80%99impasse+cafe/data=!4m7!3m6!1s0x12d724015a5dc9d7:0x3828a6ebad15cf3f!8m2!3d42.702532!4d9.451093!16s%2Fg%2F11dzt4mdl3!19sChIJ18ldWgEk1xIRP88VreumKDg?authuser=0&hl=zh-TW&rclk=1
ChIJIStDTM8l1xIRGFhPob_N9Xc,OKOFFEE ROASTER,,False,61,"Name: Cafe Au Palais Des Glaces
link: https://www.google.com/maps/search/Caf%C3%A9+Au+Palais+Des+Glaces/@42.7009484,9.450670299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 388 reviews

Name: Cafe de la Place
link: https://www.google.com/maps/search/Cafe+de+la+Place/@42.7005798,9.450571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Cake And Coffee
link: https://www.google.com/maps/search/Cake+And+Coffee/@42.6972671,9.448327599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Cafe Mariotti
link: https://www.google.com/maps/search/Caf%C3%A9+Mariotti/@42.6959793,9.4461622?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Okoncept
link: https://www.google.com/maps/search/Okoncept/@42.6945297,9.448205699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.okoffee.com/,OKOFFEE ROASTER (Ye Zhu ),https://www.google.com/maps/contrib/100628936803082984302,https://lh5.googleusercontent.com/p/AF1QipM9zOjL7hVgEtiOQrLLBmiugzMUClbEw9fDnZiQ=w479-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Hua Lang , Qiao Ke Li Ka Pei Guan , Zheng Liu Ka Pei Ba , Shi Pin Jia Gong She Bei , Cha Yi Guan ",4.9,09:30-17:30,"Xing Qi Ri , Xing Qi Yi ",,"OKOFFEE ROASTER, 11 Bd Auguste Gaudin, 20200 Bastia, Fa Guo ","Jing Yan , Re Qing , Yan Mai Nai , Yi Shu , atmosphere, Dan Gao , Ka Pei Shi , Jia Ge ",https://www.google.com/maps/place/OKOFFEE+ROASTER/data=!4m7!3m6!1s0x12d725cf4c432b21:0x77f5cdbfa14f5818!8m2!3d42.6945297!4d9.4482057!16s%2Fg%2F11qqx7hnrr!19sChIJIStDTM8l1xIRGFhPob_N9Xc?authuser=0&hl=zh-TW&rclk=1
