place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJz_WuCdV13jgRXsD7PFh3zqk,lsydkhwlddddrnkhs,,False,1,"Name: SHOP
link: https://www.google.com/maps/search/SHOP/@34.6806373,73.01384329999999?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: Adil Cold Drink
link: https://www.google.com/maps/search/Adil+Cold+Drink/@34.6792818,73.02230899999999?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Ikram General Store
link: https://www.google.com/maps/search/Ikram+General+Store/@34.683231299999996,73.0275748?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Lajawab Cold drinks And Chicken soup center
link: https://www.google.com/maps/search/Lajawab+Cold+drinks+And+Chicken+soup+center/@34.6755238,73.0299364?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/alsyedcold/,lsydkhwlddddrnkhs (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipMBoCAoIEkfWQMqcY0AvBDwry26uXft-c8wYpjN=w408-h544-k-no,IJssalon,IJssalon,5,24 uur geopend,Open All Days,+92 343 3045324,"M2HC+QRM lsydkhwlddddrnkhs, Battagram, Batagram, Khyber Pakhtunkhwa, Pakistan",,https://www.google.com/maps/place/%D8%A7%D9%84%D8%B3%DB%8C%D8%AF%DA%A9%D9%88%D9%84%DA%88%DA%88%D8%B1%D9%86%DA%A9%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x38de75d509aef5cf:0xa9ce77583cfbc05e!8m2!3d34.6794645!4d73.022058!16s%2Fg%2F11fl3yh3zb!19sChIJz_WuCdV13jgRXsD7PFh3zqk?authuser=0&hl=nl&rclk=1
ChIJ-1GYWLB13jgRvI-oiS03lME,Shangrila Hotel & Restaurant,,False,81,"Name: Thai Hotel & Food Mela Restaurant
link: https://www.google.com/maps/search/Thai+Hotel+%26+Food+Mela+Restaurant/@34.6757318,73.02933209999999?authuser=0&hl=nl&entry=ttu
Reviews: 182 reviews

Name: Bismillah Hotel & Hill Restaurant
link: https://www.google.com/maps/search/Bismillah+Hotel+%26+Hill+Restaurant/@34.676381299999996,73.0281995?authuser=0&hl=nl&entry=ttu
Reviews: 7 reviews

Name: Khyber Hotel & Battagram Food Centre
link: https://www.google.com/maps/search/Khyber+Hotel+%26+Battagram+Food+Centre/@34.6767262,73.0271588?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Islamabad Line Hotel
link: https://www.google.com/maps/search/Islamabad+Line+Hotel/@34.6791583,73.01375?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Serena Guest House Battagram
link: https://www.google.com/maps/search/Serena+Guest+House+Battagram/@34.6767855,73.02930479999999?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Shangrila Hotel & Restaurant (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipOWpuHKm9q1BrEKJSkdXV31GzTn8vw2Ox8f546a=w408-h541-k-no,Restaurant,Restaurant,3.9,06:00-01:00,Open All Days,+92 321 9891950,"M2HG+282 Shangrila Hotel & Restaurant, UBL, Battagram, Khyber Pakhtoonkhwa, N-35, Haripur, Khyber Pakhtunkhwa, Pakistan",,https://www.google.com/maps/place/Shangrila+Hotel+%26+Restaurant/data=!4m7!3m6!1s0x38de75b0589851fb:0xc194372d89a88fbc!8m2!3d34.6775181!4d73.0257666!16s%2Fg%2F11b6nplvr4!19sChIJ-1GYWLB13jgRvI-oiS03lME?authuser=0&hl=nl&rclk=1
ChIJQ2w-zA913jgRfcZpUCPpoBQ,Battagram Bazar,,False,21,,,Battagram Bazar (eigenaar),https://www.google.com/maps/contrib/106541272540913355290,https://lh5.googleusercontent.com/p/AF1QipN9e2KR8PyqORGVuWabrvW7faTUCKpWxf18uYbX=w408-h306-k-no,Fruit- en groentewinkel,Fruit- en groentewinkel,4.1,,Open All Days,,"Battagram Bazar, Bazar main road, Battagram, Batagram, Khyber Pakhtunkhwa, Pakistan",,https://www.google.com/maps/place/Battagram+Bazar/data=!4m7!3m6!1s0x38de750fcc3e6c43:0x14a0e9235069c67d!8m2!3d34.6773802!4d73.0247601!16s%2Fg%2F11kq28lgn5!19sChIJQ2w-zA913jgRfcZpUCPpoBQ?authuser=0&hl=nl&rclk=1
ChIJj79Yc6513jgRXTqk6TGSq1o,Dubai Hotel & Restaurants,,False,15,"Name: Shangrila Hotel & Restaurant
link: https://www.google.com/maps/search/Shangrila+Hotel+%26+Restaurant/@34.6775181,73.0257666?authuser=0&hl=nl&entry=ttu
Reviews: 81 reviews

Name: Khyber Hotel & Battagram Food Centre
link: https://www.google.com/maps/search/Khyber+Hotel+%26+Battagram+Food+Centre/@34.6767262,73.0271588?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Marhaba Hotel & Restaurant
link: https://www.google.com/maps/search/Marhaba+Hotel+%26+Restaurant/@34.6761155,73.0285311?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Islamabad Line Hotel
link: https://www.google.com/maps/search/Islamabad+Line+Hotel/@34.6791583,73.01375?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Malik Hotel
link: https://www.google.com/maps/search/Malik+Hotel/@34.6768114,73.0295529?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Dubai Hotel & Restaurants (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipMUaqSCl0x5OqIo4cAQr21DHkScwXFAa9gVrsFJ=w426-h240-k-no,Restaurant,Restaurant,3.7,06:00-01:00,Open All Days,+92 333 5241442,"M2GH+6XQ Dubai Hotel & Restaurants, MCB, Main Bazar, Battagram, Khyber Pakhtoonkhwa, N-35, Battagram, Batagram, Khyber Pakhtunkhwa, Pakistan",,https://www.google.com/maps/place/Dubai+Hotel+%26+Restaurants/data=!4m7!3m6!1s0x38de75ae7358bf8f:0x5aab9231e9a43a5d!8m2!3d34.6755816!4d73.0299865!16s%2Fg%2F11c3v_74jd!19sChIJj79Yc6513jgRXTqk6TGSq1o?authuser=0&hl=nl&rclk=1
ChIJFSkI7LB13jgRwEJqwBz3KVA,Asareen Chapali Kabab,,False,13,"Name: Swat Chapli Kabab
link: https://www.google.com/maps/search/Swat+Chapli+Kabab/@34.679308999999996,73.02229510000001?authuser=0&hl=nl&entry=ttu
Reviews: 9 reviews

Name: Pak Kabul Hotel & Restaurant
link: https://www.google.com/maps/search/Pak+Kabul+Hotel+%26+Restaurant/@34.6803241,73.0145002?authuser=0&hl=nl&entry=ttu
Reviews: 6 reviews

Name: Khyber Hotel & Battagram Food Centre
link: https://www.google.com/maps/search/Khyber+Hotel+%26+Battagram+Food+Centre/@34.6767262,73.0271588?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Halal Fish Centre & Shinwari
link: https://www.google.com/maps/search/Halal+Fish+Centre+%26+Shinwari/@34.6730107,72.99499670000002?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Shoukat Kababi Restaurant
link: https://www.google.com/maps/search/Shoukat+Kababi+Restaurant/@34.6796527,73.0159494?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Asareen Chapali Kabab (eigenaar),,,Restaurant,Restaurant,4.2,10:00-21:00,"dinsdag, woensdag",,"M2HF+2VR Asareen Chapali Kabab, Battagram, Batagram, Khyber Pakhtunkhwa, Pakistan",,https://www.google.com/maps/place/Asareen+Chapali+Kabab/data=!4m7!3m6!1s0x38de75b0ec082915:0x5029f71cc06a42c0!8m2!3d34.6776089!4d73.0246326!16s%2Fg%2F11csbs7jq8!19sChIJFSkI7LB13jgRwEJqwBz3KVA?authuser=0&hl=nl&rclk=1
ChIJ4bxf0LF13jgRvOx4p6uy4-Q,Bismillah Hotel & Hill Restaurant,,False,7,"Name: Shangrila Hotel & Restaurant
link: https://www.google.com/maps/search/Shangrila+Hotel+%26+Restaurant/@34.6775181,73.0257666?authuser=0&hl=nl&entry=ttu
Reviews: 81 reviews

Name: Marhaba Hotel & Restaurant
link: https://www.google.com/maps/search/Marhaba+Hotel+%26+Restaurant/@34.6761155,73.0285311?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Serena Guest House Battagram
link: https://www.google.com/maps/search/Serena+Guest+House+Battagram/@34.6767855,73.02930479999999?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Malik Hotel
link: https://www.google.com/maps/search/Malik+Hotel/@34.6768114,73.0295529?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Pakhtunkhwa Hotel & Restaurant
link: https://www.google.com/maps/search/Pakhtunkhwa+Hotel+%26+Restaurant/@34.6761823,73.02826519999999?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Bismillah Hotel & Hill Restaurant (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipPfxiY4xcF-sBsbAnjFZtBgcsp6AfT8n27Tp9ot=w408-h544-k-no,Restaurant,Restaurant,3.9,06:00-01:00,Open All Days,,"M2GH+H74 Bismillah Hotel & Hill Restaurant, KKH, Bairon Wagon Adda, Main Bazar, Battagram, Batagram, Khyber Pakhtunkhwa 21040, Pakistan",,https://www.google.com/maps/place/Bismillah+Hotel+%26+Hill+Restaurant/data=!4m7!3m6!1s0x38de75b1d05fbce1:0xe4e3b2aba778ecbc!8m2!3d34.6763813!4d73.0281995!16s%2Fg%2F12mkw8525!19sChIJ4bxf0LF13jgRvOx4p6uy4-Q?authuser=0&hl=nl&rclk=1
ChIJFSeMIK513jgRyVcFKHN-l0A,Sarhad Book Depot Battagram,,False,7,"Name: Chohan Book Depot
link: https://www.google.com/maps/search/Chohan+Book+Depot/@34.6756096,73.02968659999999?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Insaf Book Depot
link: https://www.google.com/maps/search/Insaf+Book+Depot/@34.6755533,73.0303522?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: DFC Office Battagram
link: https://www.google.com/maps/search/DFC+Office+Battagram/@34.675052,73.0269649?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Sarhad Photostate and Printing agency
link: https://www.google.com/maps/search/Sarhad+Photostate+and+Printing+agency/@34.6758849,73.0288556?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Chand Books Sellers and Stationers Battagram
link: https://www.google.com/maps/search/Chand+Books+Sellers+and+Stationers+Battagram/@34.6760258,73.028893?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Sarhad Book Depot Battagram (eigenaar),https://www.google.com/maps/contrib/115130363661510372967,https://lh5.googleusercontent.com/p/AF1QipOVHUsW4CS7ahYrGvZWaAEk7xyGzVSdCO3ht9eT=w408-h272-k-no,Kantoorboekhandel,Kantoorboekhandel,4.3,07:00-19:00,Open All Days,+92 997 310304,"Sarhad Book Depot Battagram, KKH, Habib bank, Main bazar, Battagram, Batagram, Khyber Pakhtunkhwa 21040, Pakistan",,https://www.google.com/maps/place/Sarhad+Book+Depot+Battagram/data=!4m7!3m6!1s0x38de75ae208c2715:0x40977e73280557c9!8m2!3d34.6757647!4d73.0289738!16s%2Fg%2F11clswq98x!19sChIJFSeMIK513jgRyVcFKHN-l0A?authuser=0&hl=nl&rclk=1
ChIJm2mjzLF13jgR7bnOCFBobUk,Luqman Tea Center Battagram,,False,5,"Name: Islam Tea & General Store
link: https://www.google.com/maps/search/Islam+Tea+%26+General+Store/@34.6776841,73.026552?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Anayat general store
link: https://www.google.com/maps/search/Anayat+general+store/@34.7089924,73.1484006?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Janan Tea Store
link: https://www.google.com/maps/search/Janan+Tea+Store/@34.676934599999996,73.0279851?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Luqman General Store
link: https://www.google.com/maps/search/Luqman+General+Store/@34.7052287,72.9788666?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Manahil General Store and Software House
link: https://www.google.com/maps/search/Manahil+General+Store+and+Software+House/@34.6764047,72.9835416?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Luqman Tea Center Battagram (eigenaar),https://www.google.com/maps/contrib/109250942294712685775,,Theegroothandel,Theegroothandel,4.6,08:00-19:00,Open All Days,,"Luqman Tea Center Battagram, Kalim Plaza KKH Jajmai Bazar, Main Bazar, Batagram, 21040, Pakistan",,https://www.google.com/maps/place/Luqman+Tea+Center+Battagram/data=!4m7!3m6!1s0x38de75b1cca3699b:0x496d685008ceb9ed!8m2!3d34.6754875!4d73.030746!16s%2Fg%2F11y9l4cpy!19sChIJm2mjzLF13jgR7bnOCFBobUk?authuser=0&hl=nl&rclk=1
ChIJg8oRJAx13jgRhQCw2BYtadA,Kuzabanda Service Area,,False,5,"Name: Fazal Azeem
link: https://www.google.com/maps/search/Fazal+Azeem/@34.6240792,73.003309?authuser=0&hl=nl&entry=ttu
Reviews: 7 reviews

Name: Khan Cafe, Kiargali
link: https://www.google.com/maps/search/Khan+Cafe%2C+Kiargali/@34.6642963,72.9926?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Kuzabanda
link: https://www.google.com/maps/search/Kuzabanda/@34.6310526,73.0052029?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Mera bazar kuzabanda
link: https://www.google.com/maps/search/Mera+bazar+kuzabanda/@34.6218029,73.0135234?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Raj Guliganda Spot
link: https://www.google.com/maps/search/Raj+Guliganda+Spot/@34.6305895,73.00591229999999?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Kuzabanda Service Area (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipMJgBpzP0V2A_0PKdyb6vO9Xz2EBkDk7GC709be=w408-h306-k-no,Koffiebar,Koffiebar,4.6,,Open All Days,,"J2M4+67 Kuzabanda Service Area, Kuzabanda, Batagram, Khyber Pakhtunkhwa, Pakistan",,https://www.google.com/maps/place/Kuzabanda+Service+Area/data=!4m7!3m6!1s0x38de750c2411ca83:0xd0692d16d8b00085!8m2!3d34.6330363!4d73.0056353!16s%2Fg%2F11sgqgqtrl!19sChIJg8oRJAx13jgRhQCw2BYtadA?authuser=0&hl=nl&rclk=1
ChIJVUhttbF13jgR7Y3cOzl9eIk,Khyber Hotel & Battagram Food Centre,,False,4,"Name: Thai Hotel & Food Mela Restaurant
link: https://www.google.com/maps/search/Thai+Hotel+%26+Food+Mela+Restaurant/@34.6757318,73.02933209999999?authuser=0&hl=nl&entry=ttu
Reviews: 182 reviews

Name: Shangrila Hotel & Restaurant
link: https://www.google.com/maps/search/Shangrila+Hotel+%26+Restaurant/@34.6775181,73.0257666?authuser=0&hl=nl&entry=ttu
Reviews: 81 reviews

Name: Marhaba Hotel & Restaurant
link: https://www.google.com/maps/search/Marhaba+Hotel+%26+Restaurant/@34.6761155,73.0285311?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Malik Hotel
link: https://www.google.com/maps/search/Malik+Hotel/@34.6768114,73.0295529?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Khyber Hotel & Battagram Food Centre (eigenaar),,,Restaurant,Restaurant,3.5,06:00-01:00,Open All Days,,"Khyber Hotel & Battagram Food Centre, National Market, KKH Main Bazar Rd, Battagram, Batagram, Khyber Pakhtunkhwa 21040, Pakistan",,https://www.google.com/maps/place/Khyber+Hotel+%26+Battagram+Food+Centre/data=!4m7!3m6!1s0x38de75b1b56d4855:0x89787d393bdc8ded!8m2!3d34.6767262!4d73.0271588!16s%2Fg%2F11y4fpmh9!19sChIJVUhttbF13jgR7Y3cOzl9eIk?authuser=0&hl=nl&rclk=1
