place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJVXtopFp9jhIR4UariEo52ns,Aldainin cafe,,False,18,"Name: cafe sayoud
link: https://www.google.com/maps/search/caf%C3%A9+sayoud/@36.5833899,3.5724487999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Cafeteria megdoud
link: https://www.google.com/maps/search/Caf%C3%A9teria+megdoud/@36.564720699999995,3.5965556999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: bwrmjn
link: https://www.google.com/maps/search/%D8%A8%D9%88%D8%B1%D9%85%D8%AC%D8%A7%D9%86/@36.5638541,3.5286448?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Aldainin cafe (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,4.2,24 Xiao Shi Ying Ye ,Open All Days,,"HH8R+4PP Aldainin cafe, Lakhdaria, A Er Ji Li Ya ",,https://www.google.com/maps/place/Aldainin+cafe/data=!4m7!3m6!1s0x128e7d5aa4687b55:0x7bda394a88ab46e1!8m2!3d36.5653317!4d3.5918266!16s%2Fg%2F1tdhpg8g!19sChIJVXtopFp9jhIR4UariEo52ns?authuser=0&hl=zh-TW&rclk=1
ChIJK-VxPJljjhIRqEcylq-A7rI,Station de repos EST,,False,16,"Name: Restaurant station de service
link: https://www.google.com/maps/search/Restaurant+station+de+service/@36.5534596,3.5914641000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Station Service Restaurant
link: https://www.google.com/maps/search/Station+Service+Restaurant/@36.5702342,3.5735650999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Cartier Salah
link: https://www.google.com/maps/search/Cartier+Salah/@36.5614833,3.5963548000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cafeteria des routiers
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+des+routiers/@36.545541799999995,3.9463364999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafeteria de routier
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+de+routier/@36.7212696,3.6262252999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Station de repos EST (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOrkmu7WW_hjsO5LHqRUtI1QcEeJWYGK5Y98gcM=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,24 Xiao Shi Ying Ye ,Open All Days,,"HH5G+QRV Station de repos EST, A1, Lakhdaria, A Er Ji Li Ya ",,https://www.google.com/maps/place/Station+de+repos+EST/data=!4m7!3m6!1s0x128e63993c71e52b:0xb2ee80af963247a8!8m2!3d36.5594085!4d3.5771177!16s%2Fg%2F11khbfckzp!19sChIJK-VxPJljjhIRqEcylq-A7rI?authuser=0&hl=zh-TW&rclk=1
ChIJybps3dt6jhIRFEg9DF7OZ-A,Boudali cafe,,False,11,"Name: Port cafe
link: https://www.google.com/maps/search/Port+cafe/@36.6950626,3.5937687000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: CAFE balial
link: https://www.google.com/maps/search/CAFE+balial/@36.7167173,3.2072593?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: cafe ami ali
link: https://www.google.com/maps/search/caf%C3%A9+ami+ali/@36.6926394,3.5945494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Superette Frere Bour
link: https://www.google.com/maps/search/Sup%C3%A9rette+Fr%C3%A8re+Bour/@36.6915937,3.5946914999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: cafe/Restaurant bawali
link: https://www.google.com/maps/search/caf%C3%A9%2FRestaurant+bawali/@36.7111425,3.5926084?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Boudali cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMTNxV3lmQ8wc-Ze8dlH5jqOgHnmY5u2VYGBVjc=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,,Open All Days,,"MHRW+72Q Boudali cafe, Souk El Had, A Er Ji Li Ya ",,https://www.google.com/maps/place/Boudali+cafe/data=!4m7!3m6!1s0x128e7adbdd6cbac9:0xe067ce5e0c3d4814!8m2!3d36.6907129!4d3.5951149!16s%2Fg%2F11bbtj3bj8!19sChIJybps3dt6jhIRFEg9DF7OZ-A?authuser=0&hl=zh-TW&rclk=1
ChIJ43wCfVt9jhIRHKoHcUWks6o,Cafe Aliouane,,False,11,"Name: Aldainin cafe
link: https://www.google.com/maps/search/Aldainin+cafe/@36.56533170000001,3.5918266?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Cafeteria megdoud
link: https://www.google.com/maps/search/Caf%C3%A9teria+megdoud/@36.564720699999995,3.5965556999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: l`Tf
link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%B9%D8%B7%D8%A7%D9%81/@36.5660009,3.5959673000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Aliouane (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM1LOh7e1Z48zlfcmpFMaXXyhGfBjTS1U919r8=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,,Open All Days,,"HH7W+JF4 Cafe Aliouane, Rue Hamana Omar, Lakhdaria, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Aliouane/data=!4m7!3m6!1s0x128e7d5b7d027ce3:0xaab3a4457107aa1c!8m2!3d36.5640211!4d3.5962174!16s%2Fg%2F11c4bdm7fb!19sChIJ43wCfVt9jhIRHKoHcUWks6o?authuser=0&hl=zh-TW&rclk=1
ChIJy7oo4YZ6jhIRr_80JTGCj_c,Cafe De L'arret,,False,8,"Name: mqh~ myshyry
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D9%85%D9%8A%D8%B4%D9%8A%D8%B1%D9%8A/@36.720909999999996,3.6201282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: mqh~ Hmz@
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%AD%D9%85%D8%B2%D8%A9/@36.7203666,3.6206244?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafeteria hamdach
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+hamdach/@36.7201381,3.61652?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Cafe De L'arret (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM-tBejLnfKaY5zb43Ll_lhvV5fuWHDIUH8BWNI=w408-h360-k-no,Ka Pei Ting ,Ka Pei Ting ,3.1,,Open All Days,,"PJC9+3HW Cafe De L'arret, Rue Rabah Arif, Si-Mustapha, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cafe+De+L%27arret/data=!4m7!3m6!1s0x128e7a86e128bacb:0xf78f82312534ffaf!8m2!3d36.7202473!4d3.6189661!16s%2Fg%2F11g6bk54c3!19sChIJy7oo4YZ6jhIRr_80JTGCj_c?authuser=0&hl=zh-TW&rclk=1
ChIJ9e7Im4F6jhIRAwCvA0LZTBg,Cafe Zanaz,,False,8,"Name: mqh~ Hmz@
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%AD%D9%85%D8%B2%D8%A9/@36.7203666,3.6206244?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Cafe Zanaz (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOFIUxxmL4ySzy6dS9OuttB2NW6h5M1_qmdrlYQ=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3.1,,Open All Days,,"PJF9+X2H Cafe Zanaz, Si Mustapha, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Zanaz/data=!4m7!3m6!1s0x128e7a819bc8eef5:0x184cd94203af0003!8m2!3d36.7249381!4d3.6175995!16s%2Fg%2F11c6cbd3zk!19sChIJ9e7Im4F6jhIRAwCvA0LZTBg?authuser=0&hl=zh-TW&rclk=1
ChIJaWGp2dJ-jhIRX5R2XmG-le0,Cafeteria rabah Si Lounes,,False,7,"Name: mqh~ lshhyd lHwl
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%B4%D9%87%D9%8A%D8%AF+%D9%84%D8%AD%D9%88%D9%84/@36.607839299999995,3.7211027?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Cafeteria rabah Si Lounes (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOj23QbGIlHr2brNeh_1cZBNrBeMhNOHIK4QOha=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3.6,,Open All Days,+213 772 15 32 81,"JMQW+425 Cafeteria rabah Si Lounes, Chabet El Ameur, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9t%C3%A9ria+rabah+Si+Loun%C3%A9s/data=!4m7!3m6!1s0x128e7ed2d9a96169:0xed95be615e76945f!8m2!3d36.637761!4d3.6950943!16s%2Fg%2F1jkxsmrh8!19sChIJaWGp2dJ-jhIRX5R2XmG-le0?authuser=0&hl=zh-TW&rclk=1
ChIJM621xDl7jhIRlibOdtzYiIg,CAFETERIA ESCALE,,False,6,"Name: Fast food MATACH
link: https://www.google.com/maps/search/Fast+food+MATACH/@36.66746,3.5920045?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Cafe Hattat
link: https://www.google.com/maps/search/Caf%C3%A9+Hattat/@36.671355,3.5974700000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,CAFETERIA ESCALE (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNJE3R5GyZ_fz80I7Aw6rFvCnWGs52OApTZFhhw=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,06:00-21:00,Open All Days,,"MH8R+QQ9 CAFETERIA ESCALE, Beni Amrane, A Er Ji Li Ya ",,https://www.google.com/maps/place/CAFETERIA+ESCALE/data=!4m7!3m6!1s0x128e7b39c4b5ad33:0x8888d8dc76ce2696!8m2!3d36.6669241!4d3.5919944!16s%2Fg%2F11dzdkqxs3!19sChIJM621xDl7jhIRlibOdtzYiIg?authuser=0&hl=zh-TW&rclk=1
ChIJn0BvzL97jhIR97grRcZfPdk,Beni amrane,,False,6,"Name: Superette Yacine Touil
link: https://www.google.com/maps/search/Sup%C3%A9rette+Yacine+Touil/@36.670324,3.5898749000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Hnwt Hmydwsh
link: https://www.google.com/maps/search/%D8%AD%D8%A7%D9%86%D9%88%D8%AA+%D8%AD%D9%85%D9%8A%D8%AF%D9%88%D8%B4/@36.6577504,3.5812401000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Amir 1
link: https://www.google.com/maps/search/Amir+1/@36.6653836,3.5981932000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: BOUABAD
link: https://www.google.com/maps/search/BOUABAD/@36.668717099999995,3.5900011999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Beni amrane (Ye Zhu ),,,Shang Dian ,Shang Dian ,4.8,,Open All Days,,"MH9Q+5R2 Beni amrane, Beni Amrane, A Er Ji Li Ya ",,https://www.google.com/maps/place/Beni+amrane/data=!4m7!3m6!1s0x128e7bbfcc6f409f:0xd93d5fc6452bb8f7!8m2!3d36.6678784!4d3.5895021!16s%2Fg%2F11scttgvcv!19sChIJn0BvzL97jhIR97grRcZfPdk?authuser=0&hl=zh-TW&rclk=1
ChIJY-pD6Qt_jhIRCQ_89eYR4Sk,Cafe Boukerma A,,False,6,"Name: mqh~ lshhyd lHwl
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%B4%D9%87%D9%8A%D8%AF+%D9%84%D8%AD%D9%88%D9%84/@36.607839299999995,3.7211027?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafe Boukerma S
link: https://www.google.com/maps/search/Caf%C3%A9+Boukerma+S/@36.601848499999996,3.7198655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Alimentation boukerma
link: https://www.google.com/maps/search/Alimentation+boukerma/@36.594898,3.7265445?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Boukerma A (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM5zx6pceX2RybddCz2jqTwrJn5P1MWMK4Ef7vI=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,06:00-21:00,Open All Days,+213 773 40 30 30,"HPX9+JJC Cafe Boukerma A, Chabet El Ameur, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Boukerma+A/data=!4m7!3m6!1s0x128e7f0be943ea63:0x29e111e6f5fc0f09!8m2!3d36.5990535!4d3.7190212!16s%2Fg%2F11dxl349p9!19sChIJY-pD6Qt_jhIRCQ_89eYR4Sk?authuser=0&hl=zh-TW&rclk=1
ChIJ-VS4mYh9jhIRPPfGd1R6X5I,Cafe habacha,,False,5,"Name: Cafe RIVAZ
link: https://www.google.com/maps/search/Caf%C3%A9+RIVAZ/@36.6282998,3.6156173999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafeteria hamdach
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+hamdach/@36.7201381,3.61652?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: cafe ami ali
link: https://www.google.com/maps/search/caf%C3%A9+ami+ali/@36.6926394,3.5945494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe habacha (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMGIc91tL9Pygp9GTuRDWj-xHIXXsPT-PO6ImaO=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,5,06:00-00:00,Open All Days,,"JJH8+53F Cafe habacha, Ammal, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+habacha/data=!4m7!3m6!1s0x128e7d8899b854f9:0x925f7a5477c6f73c!8m2!3d36.6279442!4d3.6151699!16s%2Fg%2F11nycvc3w1!19sChIJ-VS4mYh9jhIRPPfGd1R6X5I?authuser=0&hl=zh-TW&rclk=1
