place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJm6Y-xD1jjUcRIPWoXtPt5gI,Bagelstein,,False,960,"Name: Quick de Besancon
link: https://www.google.com/maps/search/Quick+de+Besan%C3%A7on/@47.2388887,6.0225219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1204 reviews

Name: Columbus Cafe & Co
link: https://www.google.com/maps/search/Columbus+Caf%C3%A9+%26+Co/@47.238295,6.0230068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 664 reviews

Name: Big Ban
link: https://www.google.com/maps/search/Big+Ban/@47.2385108,6.024564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 365 reviews

Name: SANDWICH CITY Besancon
link: https://www.google.com/maps/search/SANDWICH+CITY+Besan%C3%A7on/@47.246444,5.9974509?authuser=0&hl=zh-TW&entry=ttu
Reviews: 250 reviews

Name: Bubble Waffle & Cie
link: https://www.google.com/maps/search/Bubble+Waffle+%26+Cie/@47.2387779,6.0231735?authuser=0&hl=zh-TW&entry=ttu
Reviews: 151 reviews",https://www.bagelstein.com/restaurant/besancon-grand-rue/,Bagelstein (Ye Zhu ),https://www.google.com/maps/contrib/106098880436459462982,https://lh5.googleusercontent.com/p/AF1QipOAtstn78kU-KyU8gRdJFAz43365eUZNQ1oQkR5=w426-h240-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Mian Bao Quan Dian , Gao Bing Dian , Sha Lu Dian ",4.3,08:00-21:00,Open All Days,+33 3 81 48 10 89,"Bagelstein, 44 Grande Rue, 25000 Besancon, Fa Guo ","Xiao Rong , Gai Nian , Tang , Dan Gao , Leng , You Mo , Tang , Zhen Zhu , Bing Sha ",https://www.google.com/maps/place/Bagelstein/data=!4m7!3m6!1s0x478d633dc43ea69b:0x2e6edd35ea8f520!8m2!3d47.2381235!4d6.0234306!16s%2Fg%2F11c423dkc2!19sChIJm6Y-xD1jjUcRIPWoXtPt5gI?authuser=0&hl=zh-TW&rclk=1
ChIJCdEwsRdjjUcR3MXrQ6w4YsQ,The coffee Brass'eliande,,False,931,"Name: Madigan's
link: https://www.google.com/maps/search/Madigan%27s/@47.2383971,6.0243239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1077 reviews

Name: Les Arcades Bar
link: https://www.google.com/maps/search/Les+Arcades+Bar/@47.2392797,6.018316?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: Cafe Boheme
link: https://www.google.com/maps/search/Caf%C3%A9+Boh%C3%A8me/@47.237908999999995,6.028663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 261 reviews

Name: Pub de l'Etoile
link: https://www.google.com/maps/search/Pub+de+l%27%C3%89toile/@47.2394166,6.0210956?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews

Name: L'Arche
link: https://www.google.com/maps/search/L%27Arche/@47.2397219,6.017065?authuser=0&hl=zh-TW&entry=ttu
Reviews: 175 reviews",https://www.facebook.com/Brasseliandecafe/,The coffee Brass'eliande (Ye Zhu ),https://www.google.com/maps/contrib/107463673479116020097,https://lh5.googleusercontent.com/p/AF1QipMGH5IsGN3bNZh0X6t9f5DN9idSyxkzOpaGzctZ=w461-h240-k-no,Jiu Ba ,"Jiu Ba , Ka Pei Ting , Ji Wei Jiu Jiu Ba ",4,11:00-01:00,Open All Days,+33 3 81 81 15 25,"The coffee Brass'eliande, 1 Pl. Claude Francois Jouffroy d'Abbans, 25000 Besancon, Fa Guo ","Jia Ge , happy hour, Diao Jiu , Xiang Kuang , Ya Li , Zhuo , Xiao Rong ",https://www.google.com/maps/place/The+coffee+Brass%27%C3%A9liande/data=!4m7!3m6!1s0x478d6317b130d109:0xc46238ac43ebc5dc!8m2!3d47.2398763!4d6.0197769!16s%2Fg%2F1v4k5dx1!19sChIJCdEwsRdjjUcR3MXrQ6w4YsQ?authuser=0&hl=zh-TW&rclk=1
ChIJNzUxSjxjjUcRUGGm_ZskJjg,Iguane Cafe,,False,907,"Name: The coffee Brass'eliande
link: https://www.google.com/maps/search/The+coffee+Brass%27%C3%A9liande/@47.2398763,6.0197769?authuser=0&hl=zh-TW&entry=ttu
Reviews: 931 reviews

Name: Columbus Cafe & Co
link: https://www.google.com/maps/search/Columbus+Caf%C3%A9+%26+Co/@47.238295,6.0230068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 664 reviews

Name: RPB du Saugeais
link: https://www.google.com/maps/search/RPB+du+Saugeais/@47.2391468,6.018964599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 380 reviews

Name: Cafe Morand
link: https://www.google.com/maps/search/Caf%C3%A9+Morand/@47.2384741,6.0267574999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 259 reviews

Name: Le Sequane
link: https://www.google.com/maps/search/Le+S%C3%A9quane/@47.242702799999996,6.0209440999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 218 reviews",https://m.facebook.com/IguaneCafeBesancon/,Iguane Cafe (Ye Zhu ),https://www.google.com/maps/contrib/108031467124701288311,https://lh5.googleusercontent.com/p/AF1QipNkXaIEydrTEoR7PGZZSa0c1_8awfQx9KSscfGQ=w408-h272-k-no,Jiu Ba ,Jiu Ba ,3.8,08:00-01:00,Xing Qi Ri ,+33 3 81 82 05 90,"Iguane Cafe, 14 Pl. du 8 Septembre, 25000 Besancon, Fa Guo ","Diao Jiu , Xiao Rong , Liao Li , Xiang Kuang , Zhong Wu , Fa Shi Can Ting , Bing Cha ",https://www.google.com/maps/place/Iguane+Caf%C3%A9/data=!4m7!3m6!1s0x478d633c4a313537:0x3826249bfda66150!8m2!3d47.2381172!4d6.0249613!16s%2Fg%2F1tj1qzx8!19sChIJNzUxSjxjjUcRUGGm_ZskJjg?authuser=0&hl=zh-TW&rclk=1
ChIJie5KSjxjjUcR7HV2wbkXO0A,Brioche Doree,,False,803,"Name: Bagelstein
link: https://www.google.com/maps/search/Bagelstein/@47.23812350000001,6.023430599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 960 reviews

Name: Ost Cafe
link: https://www.google.com/maps/search/%C3%96st+Caf%C3%A9/@47.239382500000005,6.019194799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 253 reviews

Name: La Croissanterie
link: https://www.google.com/maps/search/La+Croissanterie/@47.215317,5.946438?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: ByS Restaurant
link: https://www.google.com/maps/search/ByS+Restaurant/@47.241715199999994,6.0207177?authuser=0&hl=zh-TW&entry=ttu
Reviews: 175 reviews

Name: PAUL
link: https://www.google.com/maps/search/PAUL/@47.2301599,5.9933919?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews",https://www.briochedoree.fr/restaurants/48-besancon-1-place-du-8-septembre,Brioche Doree (Ye Zhu ),https://www.google.com/maps/contrib/117196944181479268205,https://lh5.googleusercontent.com/p/AF1QipOVr3jL8Wao_VQONBdAzoar0h6uAqmRSifPdZyg=w426-h240-k-no,San Wen Zhi Dian ,"San Wen Zhi Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Qiao Ke Li Ka Pei Guan , Ka Pei Dian , Wai Dai Ka Pei Zhuan Mai Dian , Kuai Can Dian , Wai Mai Zi Qu Can Ting , Gao Bing Dian , Sha Lu Dian ",3.9,07:30-19:30,Xing Qi Ri ,+33 3 81 82 21 40,"Brioche Doree, 1 Pl. du 8 Septembre, 25000 Besancon, Fa Guo ","Ka Pei , Gao , Ce Suo , Zhuo , Ke Song ",https://www.google.com/maps/place/Brioche+Dor%C3%A9e/data=!4m7!3m6!1s0x478d633c4a4aee89:0x403b17b9c17675ec!8m2!3d47.2380836!4d6.0239296!16s%2Fg%2F1tdmjct7!19sChIJie5KSjxjjUcR7HV2wbkXO0A?authuser=0&hl=zh-TW&rclk=1
ChIJUTo-CTljjUcRSOOQuwRwmFU,Cafe des Felins,,False,676,"Name: Columbus Cafe & Co
link: https://www.google.com/maps/search/Columbus+Caf%C3%A9+%26+Co/@47.238295,6.0230068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 664 reviews

Name: Chez Ma Cousine
link: https://www.google.com/maps/search/Chez+Ma+Cousine/@47.2382287,6.0259823?authuser=0&hl=zh-TW&entry=ttu
Reviews: 401 reviews

Name: French Coffee Shop
link: https://www.google.com/maps/search/French+Coffee+Shop/@47.237522,6.026653?authuser=0&hl=zh-TW&entry=ttu
Reviews: 310 reviews

Name: Cafe Morand
link: https://www.google.com/maps/search/Caf%C3%A9+Morand/@47.2384741,6.0267574999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 259 reviews

Name: Cafe de L Hermitage
link: https://www.google.com/maps/search/Cafe+de+L+Hermitage/@47.2349581,6.028825299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 106 reviews",http://www.cafedesfelins.fr/,Cafe des Felins (Ye Zhu ),https://www.google.com/maps/contrib/116468822773733496457,https://lh5.googleusercontent.com/p/AF1QipN1f8obNUKMq79U3l3DUK2f7wlhtjJQizdS40oC=w408-h541-k-no,Ka Pei Dian ,"Ka Pei Dian , Qu Qi Bing Dian , Can Ting , Cha Yi Guan ",4.7,12:00-19:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi Liu ",,"Cafe des Felins, 135 Grande Rue, 25000 Besancon, Fa Guo ","Mao , Bing Gan , Gai Nian , Xing Fu Gan , Yong Bao , Yue Jing , Shui , Sha Fa , Re Yin ",https://www.google.com/maps/place/Caf%C3%A9+des+F%C3%A9lins/data=!4m7!3m6!1s0x478d6339093e3a51:0x55987004bb90e348!8m2!3d47.2350769!4d6.0288396!16s%2Fg%2F11b746l8rf!19sChIJUTo-CTljjUcRSOOQuwRwmFU?authuser=0&hl=zh-TW&rclk=1
ChIJzyegwD1jjUcRnmydGTLyw_8,Columbus Cafe & Co,,False,664,"Name: Cafe des Felins
link: https://www.google.com/maps/search/Caf%C3%A9+des+F%C3%A9lins/@47.235076899999996,6.0288395999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 676 reviews

Name: Chez Ma Cousine
link: https://www.google.com/maps/search/Chez+Ma+Cousine/@47.2382287,6.0259823?authuser=0&hl=zh-TW&entry=ttu
Reviews: 401 reviews

Name: French Coffee Shop
link: https://www.google.com/maps/search/French+Coffee+Shop/@47.237522,6.026653?authuser=0&hl=zh-TW&entry=ttu
Reviews: 310 reviews

Name: Cafe Morand
link: https://www.google.com/maps/search/Caf%C3%A9+Morand/@47.2384741,6.0267574999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 259 reviews

Name: Cafe de L Hermitage
link: https://www.google.com/maps/search/Cafe+de+L+Hermitage/@47.2349581,6.028825299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 106 reviews",https://www.columbuscafe.com/boutique/besancon-grande-rue/,Columbus Cafe & Co (Ye Zhu ),https://www.google.com/maps/contrib/110477315200078742026,https://lh5.googleusercontent.com/p/AF1QipOX3EhvyEqIEtPzu8x2vo59Vw0arkTEXwXahPZY=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,08:30-19:00,Open All Days,+33 3 81 61 41 20,"Columbus Cafe & Co, 40 Grande Rue, 25000 Besancon, Fa Guo ","Song Bing , Xiao Rong , Dian Yuan , Nai Xi , Bing Cha , Bing Sha , Tang , Re Yin ",https://www.google.com/maps/place/Columbus+Caf%C3%A9+%26+Co/data=!4m7!3m6!1s0x478d633dc0a027cf:0xffc3f232199d6c9e!8m2!3d47.238295!4d6.0230068!16s%2Fg%2F11dyp43vqx!19sChIJzyegwD1jjUcRnmydGTLyw_8?authuser=0&hl=zh-TW&rclk=1
ChIJdx2o5DtjjUcRwYQXNAcdNBQ,Betises et Volupthe,,False,547,"Name: Chez Ma Cousine
link: https://www.google.com/maps/search/Chez+Ma+Cousine/@47.2382287,6.0259823?authuser=0&hl=zh-TW&entry=ttu
Reviews: 401 reviews

Name: French Coffee Shop
link: https://www.google.com/maps/search/French+Coffee+Shop/@47.237522,6.026653?authuser=0&hl=zh-TW&entry=ttu
Reviews: 310 reviews

Name: Basilic Instant
link: https://www.google.com/maps/search/Basilic+Instant/@47.2368095,6.0285268?authuser=0&hl=zh-TW&entry=ttu
Reviews: 256 reviews

Name: Cafe Vaites
link: https://www.google.com/maps/search/Caf%C3%A9+Va%C3%AEtes/@47.261072999999996,6.0484019?authuser=0&hl=zh-TW&entry=ttu
Reviews: 255 reviews

Name: ATELIER NAMO
link: https://www.google.com/maps/search/ATELIER+NAMO/@47.236858999999995,6.0278781?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",https://www.facebook.com/BetisesEtVolupthe/,Betises et Volupthe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMcAqIEXdq3CvqJFd2kPqIngp_t-oUojZr9Tw_v=w408-h272-k-no,Cha Yi Guan ,Cha Yi Guan ,4.3,12:00-22:00,"Xing Qi Ri , Xing Qi Yi ",+33 3 81 50 83 45,"Betises et Volupthe, 79 Rue des Granges, 25000 Besancon, Fa Guo ","Chu Fang , Can , Ke Ke , Gao , Su Shi , Tui Che ",https://www.google.com/maps/place/B%C3%AAtises+et+Volupth%C3%A9/data=!4m7!3m6!1s0x478d633be4a81d77:0x14341d07341784c1!8m2!3d47.2371511!4d6.0276524!16s%2Fg%2F1tdp3y_v!19sChIJdx2o5DtjjUcRwYQXNAcdNBQ?authuser=0&hl=zh-TW&rclk=1
ChIJWzCYmT1jjUcRwIS8LuDNp10,Le Cafe Cafe,,False,507,"Name: La Petite Adresse
link: https://www.google.com/maps/search/La+Petite+Adresse/@47.2388671,6.020076?authuser=0&hl=zh-TW&entry=ttu
Reviews: 543 reviews

Name: Bistrot La Charrette
link: https://www.google.com/maps/search/Bistrot+La+Charrette/@47.241087799999995,6.0232179?authuser=0&hl=zh-TW&entry=ttu
Reviews: 475 reviews

Name: Les Gamins
link: https://www.google.com/maps/search/Les+Gamins/@47.238082399999996,6.0218603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 452 reviews

Name: Le Petit Atelier
link: https://www.google.com/maps/search/Le+Petit+Atelier/@47.2376152,6.0281129?authuser=0&hl=zh-TW&entry=ttu
Reviews: 405 reviews

Name: Le Saint Cerf
link: https://www.google.com/maps/search/Le+Saint+Cerf/@47.236407199999995,6.0229344?authuser=0&hl=zh-TW&entry=ttu
Reviews: 254 reviews",https://www.facebook.com/lecafecafeofficiel/?locale=fr_FR,Le Cafe Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115161573182087012767,https://lh5.googleusercontent.com/p/AF1QipN1sx7jXbuhHTeA4RpL7YkjSOJLNUOtK8AkkPKX=w408-h306-k-no,Can Ting ,"Can Ting , Fa Guo Can Ting ",4.6,"12:00-14:00, 19:00-21:30","Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+33 3 81 81 15 24,"Le Cafe Cafe, 36 Rue Claude Pouillet, 25000 Besancon, Fa Guo ","Bai Pan , Tian Dian , Ce Suo , Hong Jiu , Xiao Rong , Fang Jian , Xiang Kuang ",https://www.google.com/maps/place/Le+Caf%C3%A9+Caf%C3%A9/data=!4m7!3m6!1s0x478d633d9998305b:0x5da7cde02ebc84c0!8m2!3d47.2384148!4d6.0197265!16s%2Fg%2F1tftp_8y!19sChIJWzCYmT1jjUcRwIS8LuDNp10?authuser=0&hl=zh-TW&rclk=1
ChIJhTqfbDxjjUcRhOMCF1XuOKU,Chez Ma Cousine,,False,401,"Name: Columbus Cafe & Co
link: https://www.google.com/maps/search/Columbus+Caf%C3%A9+%26+Co/@47.238295,6.0230068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 664 reviews

Name: French Coffee Shop
link: https://www.google.com/maps/search/French+Coffee+Shop/@47.237522,6.026653?authuser=0&hl=zh-TW&entry=ttu
Reviews: 310 reviews

Name: Marotte et Charlie
link: https://www.google.com/maps/search/Marotte+et+Charlie/@47.2350634,6.0298259?authuser=0&hl=zh-TW&entry=ttu
Reviews: 309 reviews

Name: Cafe Morand
link: https://www.google.com/maps/search/Caf%C3%A9+Morand/@47.2384741,6.0267574999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 259 reviews

Name: Les Comptoirs The Cafe
link: https://www.google.com/maps/search/Les+Comptoirs+Th%C3%A9+Caf%C3%A9/@47.237223799999995,6.027079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews",http://chezmacousine.org/,Chez Ma Cousine (Ye Zhu ),https://www.google.com/maps/contrib/114618894704725481019,https://lh5.googleusercontent.com/p/AF1QipNoR8dWXW1w-wrflhQgA8ObfYdApcBrAlU8zFHF=w408-h271-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,13:00-19:00,Xing Qi Yi ,+33 9 53 30 06 40,"Chez Ma Cousine, 49 Rue des Granges, 25000 Besancon, Fa Guo ","Gao , Song Bing , Bing Sha , Zhuo You , Re Yin ",https://www.google.com/maps/place/Chez+Ma+Cousine/data=!4m7!3m6!1s0x478d633c6c9f3a85:0xa538ee551702e384!8m2!3d47.2382287!4d6.0259823!16s%2Fg%2F11fzfd7y0g!19sChIJhTqfbDxjjUcRhOMCF1XuOKU?authuser=0&hl=zh-TW&rclk=1
ChIJs6zpYMVjjUcRR7_lfbOeYeY,French Coffee Shop,,False,310,"Name: Cafe des Felins
link: https://www.google.com/maps/search/Caf%C3%A9+des+F%C3%A9lins/@47.235076899999996,6.0288395999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 676 reviews

Name: Columbus Cafe & Co
link: https://www.google.com/maps/search/Columbus+Caf%C3%A9+%26+Co/@47.238295,6.0230068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 664 reviews

Name: Chez Ma Cousine
link: https://www.google.com/maps/search/Chez+Ma+Cousine/@47.2382287,6.0259823?authuser=0&hl=zh-TW&entry=ttu
Reviews: 401 reviews

Name: Cafe Morand
link: https://www.google.com/maps/search/Caf%C3%A9+Morand/@47.2384741,6.0267574999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 259 reviews

Name: Les Comptoirs The Cafe
link: https://www.google.com/maps/search/Les+Comptoirs+Th%C3%A9+Caf%C3%A9/@47.237223799999995,6.027079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews",https://www.frenchcoffeeshop.com/shop/besancon,French Coffee Shop (Ye Zhu ),https://www.google.com/maps/contrib/102484354469634029747,https://lh5.googleusercontent.com/p/AF1QipNb3xemVNz3WJcl8iJCEptCxQ6Q70fhXunVYDWG=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,09:00-19:00,"Xing Qi Ri , Xing Qi Yi ",+33 3 81 85 18 48,"French Coffee Shop, 56 Rue des Granges, 25000 Besancon, Fa Guo ","Zhen Zhu , Gao , Bing Sha , Ke Ke , Bing Gan , Qia Bu Qi Nuo , Leng , star",https://www.google.com/maps/place/French+Coffee+Shop/data=!4m7!3m6!1s0x478d63c560e9acb3:0xe6619eb37de5bf47!8m2!3d47.237522!4d6.026653!16s%2Fg%2F11fm4mgvpp!19sChIJs6zpYMVjjUcRR7_lfbOeYeY?authuser=0&hl=zh-TW&rclk=1
