place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJO00ty-hLIjkRWfwjFvLL3rM,Shams ul Qamar kitab ghar and sports center,,False,5,"Name: Masha pakwan senter chiniot
link: https://www.google.com/maps/search/Masha+pakwan+senter+chiniot/@31.707271700000003,72.9757458?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Muharam shan
link: https://www.google.com/maps/search/Muharam+shan/@31.5659393,72.6447086?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Muza Ubhan
link: https://www.google.com/maps/search/Muza+Ubhan/@31.6307325,72.6249796?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",https://shams-ul-qamar-kitab-ghar-and-sports-center.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Shams ul Qamar kitab ghar and sports center (eigenaar),https://www.google.com/maps/contrib/108650459980087168553,,Cafe,Cafe,4.2,06:00-20:00,Open All Days,+92 341 5516241,"Shams ul Qamar kitab ghar and sports center, Pull mangoaana, Bhawana-Painsra Road, Mangoana, Chiniot, Punjab, Pakistan",,https://www.google.com/maps/place/Shams+ul+Qamar+kitab+ghar+and+sports+center/data=!4m7!3m6!1s0x39224be8cb2d4d3b:0xb3decbf21623fc59!8m2!3d31.4633986!4d72.7204732!16s%2Fg%2F11lr1yrs40!19sChIJO00ty-hLIjkRWfwjFvLL3rM?authuser=0&hl=nl&rclk=1
ChIJ7wTTlK_LIzkRjHzXS_L4_kM,Kalyar Restaurant,,False,172,"Name: Chiniot food
link: https://www.google.com/maps/search/Chiniot+food/@31.567847500000003,72.6457594?authuser=0&hl=nl&entry=ttu
Reviews: 20 reviews

Name: Royal kitchen
link: https://www.google.com/maps/search/Royal+kitchen/@31.570134499999998,72.6482247?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: jhwly l`l mrwndy hwttl
link: https://www.google.com/maps/search/%D8%AC%DA%BE%D9%88%D9%84%DB%92+%D9%84%D8%B9%D9%84+%D9%85%D8%B1%D9%88%D9%86%D8%AF%DB%8C+%DB%81%D9%88%D9%B9%D9%84/@31.5582541,72.6371065?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Kalyar Restaurant (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipP9WY2y1ujuXY7goxSu8rPKHWgnW-o6m2B1a-ZW=w425-h240-k-no,Restaurant,Restaurant,3.9,09:00-01:05,Open All Days,+92 345 7986709,"HMC2+GR7 Kalyar Restaurant, Chiniot-Jhang Rd, Bhawana, Punjab, Bhawana, Chiniot, Punjab, Pakistan","prijs, lunch",https://www.google.com/maps/place/Kalyar+Restaurant/data=!4m7!3m6!1s0x3923cbaf94d304ef:0x43fef8f24bd77c8c!8m2!3d31.5712795!4d72.6520529!16s%2Fg%2F11x9p6dbr!19sChIJ7wTTlK_LIzkRjHzXS_L4_kM?authuser=0&hl=nl&rclk=1
ChIJ055I8KzLIzkRLOh5qSlVk0M,Pizzeria,,False,21,"Name: Slice & Spice Pizza
link: https://www.google.com/maps/search/Slice+%26+Spice+Pizza/@31.562440799999997,72.6415895?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",,Pizzeria (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipOZCfnDVg1YnEobOZryOKlit7wmkULyyNkria0S=w408-h306-k-no,Snackbar,Snackbar,4.4,12:00-00:00,Open All Days,+92 345 5256593,"HJ9W+GGJ Pizzeria, jhang road, Bhawana, Chiniot, Punjab, Pakistan",,https://www.google.com/maps/place/Pizzeria/data=!4m7!3m6!1s0x3923cbacf0489ed3:0x43935529a979e82c!8m2!3d31.5688488!4d72.6462566!16s%2Fg%2F11syxltqlv!19sChIJ055I8KzLIzkRLOh5qSlVk0M?authuser=0&hl=nl&rclk=1
ChIJTVOx1yfLIzkRtb2v6fwo8dY,Chiniot food,,False,20,"Name: Student Biryani
link: https://www.google.com/maps/search/Student+Biryani/@31.719402300000002,72.9839011?authuser=0&hl=nl&entry=ttu
Reviews: 172 reviews

Name: Marhaba Biryani
link: https://www.google.com/maps/search/Marhaba+Biryani/@31.720012399999998,72.9832852?authuser=0&hl=nl&entry=ttu
Reviews: 151 reviews

Name: Foodies
link: https://www.google.com/maps/search/Foodies/@31.717440000000003,72.98410179999999?authuser=0&hl=nl&entry=ttu
Reviews: 21 reviews

Name: Chiniot Biryani and Samosas
link: https://www.google.com/maps/search/Chiniot+Biryani+and+Samosas/@31.5673116,72.6446139?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews",,Chiniot food (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipOwDiVKEbit8i-rAKG4O-VYOj-tv9xGlAaLJMpB=w408-h544-k-no,Restaurant,Restaurant,3.9,07:00-17:00,"maandag, zondag",+92 345 1725112,"HJ9W+48J Chiniot food, Jhang-Chiniot Rd, Bhawana, Chiniot, Punjab, Pakistan",,https://www.google.com/maps/place/Chiniot+food/data=!4m7!3m6!1s0x3923cb27d7b1534d:0xd6f128fce9afbdb5!8m2!3d31.5678475!4d72.6457594!16s%2Fg%2F11h6ml10xj!19sChIJTVOx1yfLIzkRtb2v6fwo8dY?authuser=0&hl=nl&rclk=1
ChIJQ2z-fHXLIzkRBYw5J2OWCyo,Mehar Juice corner and Ice Cream Bhowana,,False,6,"Name: New Cakes & Bakes
link: https://www.google.com/maps/search/New+Cakes+%26+Bakes/@31.570812500000002,72.6501875?authuser=0&hl=nl&entry=ttu
Reviews: 14 reviews

Name: A One Tea Shop
link: https://www.google.com/maps/search/A+One+Tea+Shop/@31.568603,72.6463102?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Paradise Sweet &baker+fast food.
link: https://www.google.com/maps/search/Paradise+Sweet+%26baker%2Bfast+food./@31.5628725,72.6503254?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Mehar Juice corner and Ice Cream Bhowana (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipPTzKlVcLaq82SepodtMhXhM7rbqu1rD-74Sgf5=w408-h306-k-no,Cafe,Cafe,4.3,09:00-00:00,Open All Days,+92 348 7477843,"HMC2+GWP Mehar Juice corner and Ice Cream Bhowana, Khawaja Abad Bhawana, Chiniot, Punjab, Pakistan",,https://www.google.com/maps/place/Mehar+Juice+corner+and+Ice+Cream+Bhowana/data=!4m7!3m6!1s0x3923cb757cfe6c43:0x2a0b966327398c05!8m2!3d31.5713463!4d72.6523424!16s%2Fg%2F11h7npyx_x!19sChIJQ2z-fHXLIzkRBYw5J2OWCyo?authuser=0&hl=nl&rclk=1
ChIJvaLl53LLIzkRzBH5MAGQvkI,Haveli Dera (Restaurant),,False,6,"Name: Chiniot food
link: https://www.google.com/maps/search/Chiniot+food/@31.567847500000003,72.6457594?authuser=0&hl=nl&entry=ttu
Reviews: 20 reviews

Name: khwshHl hwttl
link: https://www.google.com/maps/search/%D8%AE%D9%88%D8%B4%D8%AD%D8%A7%D9%84+%DB%81%D9%88%D9%B9%D9%84/@31.6048159,72.7289596?authuser=0&hl=nl&entry=ttu
Reviews: 6 reviews

Name: Chiniot Biryani and Samosas
link: https://www.google.com/maps/search/Chiniot+Biryani+and+Samosas/@31.5673116,72.6446139?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Chenab View Restaurant
link: https://www.google.com/maps/search/Chenab+View+Restaurant/@31.6147037,72.5829266?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Muharam shan
link: https://www.google.com/maps/search/Muharam+shan/@31.5659393,72.6447086?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Haveli Dera (Restaurant) (eigenaar),https://www.google.com/maps/contrib/102100134287265651741,https://lh5.googleusercontent.com/p/AF1QipPWckbySrNmy1wjaJnn_1D8EsUgUEs2hnyMUQU9=w408-h306-k-no,Restaurant,Restaurant,4.3,07:00-23:30,Open All Days,+92 345 7008579,"Haveli Dera (Restaurant), Haveli Dera,Chadhar market, Jhang-Chiniot Rd, Bhawana, 35350, Pakistan",,https://www.google.com/maps/place/Haveli+Dera+%28Restaurant%29/data=!4m7!3m6!1s0x3923cb72e7e5a2bd:0x42be900130f911cc!8m2!3d31.5660442!4d72.6435227!16s%2Fg%2F11jsyk_psz!19sChIJvaLl53LLIzkRzBH5MAGQvkI?authuser=0&hl=nl&rclk=1
ChIJa3E4cmvLIzkRxrJ6hAxNmGg,Royal kitchen,,False,4,"Name: Kalyar Restaurant
link: https://www.google.com/maps/search/Kalyar+Restaurant/@31.5712795,72.6520529?authuser=0&hl=nl&entry=ttu
Reviews: 172 reviews

Name: The Royal kitchen
link: https://www.google.com/maps/search/The+Royal+kitchen/@31.341238,73.0558762?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Royal kitchen (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipPy65GEj_AzFoxBr_N6AHDRYRehVI4endbE3ARB=w408-h883-k-no,Restaurant,Restaurant,5,,Open All Days,+92 346 9104060,"Royal kitchen, Honda showroom, Link Rd, Bhawana, Chiniot, Punjab 35350, Pakistan",,https://www.google.com/maps/place/Royal+kitchen/data=!4m7!3m6!1s0x3923cb6b7238716b:0x68984d0c847ab2c6!8m2!3d31.5701345!4d72.6482247!16s%2Fg%2F11llyskxzq!19sChIJa3E4cmvLIzkRxrJ6hAxNmGg?authuser=0&hl=nl&rclk=1
ChIJJ2T4h-XLIzkRzd3HucLQK9U,Chiniot Biryani and Samosas,,False,3,"Name: Student Biryani
link: https://www.google.com/maps/search/Student+Biryani/@31.719402300000002,72.9839011?authuser=0&hl=nl&entry=ttu
Reviews: 172 reviews

Name: Chiniot Biryani & Kunna
link: https://www.google.com/maps/search/Chiniot+Biryani+%26+Kunna/@31.4103895,73.1022775?authuser=0&hl=nl&entry=ttu
Reviews: 35 reviews

Name: Chiniot food
link: https://www.google.com/maps/search/Chiniot+food/@31.567847500000003,72.6457594?authuser=0&hl=nl&entry=ttu
Reviews: 20 reviews

Name: Time & Taste Chinioti Biryani
link: https://www.google.com/maps/search/Time+%26+Taste+Chinioti+Biryani/@31.712828899999998,72.98022879999999?authuser=0&hl=nl&entry=ttu
Reviews: 9 reviews

Name: Karachi nasseb biryani
link: https://www.google.com/maps/search/Karachi+nasseb+biryani/@31.717202900000004,72.9858799?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Chiniot Biryani and Samosas (eigenaar),,,Biryani restaurant,Biryani restaurant,5,,Open All Days,,"Chiniot Biryani and Samosas, Jamia Masjid Al-Hussain, Jhang-Chiniot Rd, Bhawana, Chiniot, Punjab 35350, Pakistan",,https://www.google.com/maps/place/Chiniot+Biryani+and+Samosas/data=!4m7!3m6!1s0x3923cbe587f86427:0xd52bd0c2b9c7ddcd!8m2!3d31.5673116!4d72.6446139!16s%2Fg%2F11llrpqlhn!19sChIJJ2T4h-XLIzkRzd3HucLQK9U?authuser=0&hl=nl&rclk=1
ChIJQUVeShfLIzkRXmnGLYmXXSU,Mian Naseer Tuck Shop,,False,3,"Name: Bismillah tuck shop
link: https://www.google.com/maps/search/Bismillah+tuck+shop/@31.5799648,72.7444009?authuser=0&hl=nl&entry=ttu
Reviews: 6 reviews

Name: Mian Machi Sweets Shop
link: https://www.google.com/maps/search/Mian+Machi+Sweets+Shop/@31.5458468,72.619059?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",,Mian Naseer Tuck Shop (eigenaar),,,Cafe,Cafe,4.3,07:00-22:00,Open All Days,+92 345 7610240,"GJV8+8CC Mian Naseer Tuck Shop, Haveli Bata Rd, Chiniot, Punjab, Pakistan",,https://www.google.com/maps/place/Mian+Naseer+Tuck+Shop/data=!4m7!3m6!1s0x3923cb174a5e4541:0x255d97892dc6695e!8m2!3d31.5433032!4d72.6160193!16s%2Fg%2F11h1kk0ljh!19sChIJQUVeShfLIzkRXmnGLYmXXSU?authuser=0&hl=nl&rclk=1
ChIJB47luBTLIzkRGHDfhTrdrgg,Imran Tea Stall & Coffee,,False,2,"Name: Qaiser Abbas Tea Stall
link: https://www.google.com/maps/search/Qaiser+Abbas+Tea+Stall/@31.2859084,72.4260737?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Rehman Tea Stall
link: https://www.google.com/maps/search/Rehman+Tea+Stall/@31.570846799999998,72.65034779999999?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Mitha Tea Stall
link: https://www.google.com/maps/search/Mitha+Tea+Stall/@31.3016951,72.3287989?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Mhr Sweets and Tea stall
link: https://www.google.com/maps/search/Mhr+Sweets+and+Tea+stall/@31.584726999999997,72.4225277?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Imran Tea Stall & Coffee (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipN3luzkhfTEhZ1LeLDc7CgMhV-xYQfW-7Na99lE=w408-h725-k-no,Theewinkel,Theewinkel,5,06:00-00:00,Open All Days,+92 345 7008920,"Imran Tea Stall & Coffee, Lal Chowk, Bhawana-Aminpur Road, Bhawana, Jhang, Punjab 35350, Pakistan",,https://www.google.com/maps/place/Imran+Tea+Stall+%26+Coffee/data=!4m7!3m6!1s0x3923cb14b8e58e07:0x8aedd3a85df7018!8m2!3d31.5632739!4d72.6495608!16s%2Fg%2F11j2jt466z!19sChIJB47luBTLIzkRGHDfhTrdrgg?authuser=0&hl=nl&rclk=1
