place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJUzW2wzO0c0ERnM-UvuRKOdo,Albert,,False,1485,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@50.545957099999995,13.771239099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1474 reviews

Name: Tesco
link: https://www.google.com/maps/search/Tesco/@50.5532209,13.786220499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 332 reviews

Name: Potraviny Hanka
link: https://www.google.com/maps/search/Potraviny+Hanka/@50.55643260000001,13.7772632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Astra food
link: https://www.google.com/maps/search/Astra+food/@50.558366199999995,13.777045?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Potraviny PANDA
link: https://www.google.com/maps/search/Potraviny+PANDA/@50.5410227,13.768359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews",https://www.albert.cz/aktualni-letaky,Albert (Ye Zhu ),https://www.google.com/maps/contrib/115497787078994930781,https://lh5.googleusercontent.com/p/AF1QipOf7vJZg57wG6ycOQoezwHMiI8mCb_WnQLfbdgL=w426-h240-k-no,Da Xing Chao Ji Shi Chang ,"Da Xing Chao Ji Shi Chang , Za Huo Dian ",3.8,07:00-21:00,Open All Days,+420 800 402 402,"Albert, Nabrezi 463, 418 01 Bilina 1, Jie Ke ",,https://www.google.com/maps/place/Albert/data=!4m7!3m6!1s0x4173b433c3b63553:0xda394ae4be94cf9c!8m2!3d50.5513073!4d13.7716732!16s%2Fg%2F11b72gc2vt!19sChIJUzW2wzO0c0ERnM-UvuRKOdo?authuser=0&hl=zh-TW&rclk=1
ChIJcTkC2-2JCUcRKuQ_RGNNVr4,Lidl,,False,1475,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@50.503510399999996,13.6440664?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1300 reviews

Name: Penny Market
link: https://www.google.com/maps/search/Penny+Market/@50.550303,13.774109999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 697 reviews

Name: Tesco
link: https://www.google.com/maps/search/Tesco/@50.5532209,13.786220499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 332 reviews

Name: Potraviny Hanka
link: https://www.google.com/maps/search/Potraviny+Hanka/@50.55643260000001,13.7772632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Bilina, Lidl
link: https://www.google.com/maps/search/B%C3%ADlina%2C+Lidl/@50.546352399999996,13.7709084?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.lidl.cz/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/116715276471200785560,https://lh5.googleusercontent.com/p/AF1QipPCmYs_Fs9A611RexuAdCiXDilFa3Z4RANm_oZk=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Ping Jia Chao Ji Shi Chang ",4.3,07:00-21:00,"Xing Qi Yi , Xing Qi Er ",+420 210 023 400,"Lidl, Spojovaci 376, 418 01 Bilina 1, Jie Ke ",,https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x470989eddb023971:0xbe564d63443fe42a!8m2!3d50.5459571!4d13.7712391!16s%2Fg%2F12hmqkhqs!19sChIJcTkC2-2JCUcRKuQ_RGNNVr4?authuser=0&hl=zh-TW&rclk=1
ChIJNfGD1pKJCUcRipCI8Fjz-GM,Penny Market,,False,697,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@50.545957099999995,13.771239099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1474 reviews

Name: Tesco
link: https://www.google.com/maps/search/Tesco/@50.5532209,13.786220499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 332 reviews

Name: Potraviny Hanka
link: https://www.google.com/maps/search/Potraviny+Hanka/@50.55643260000001,13.7772632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Potraviny PANDA
link: https://www.google.com/maps/search/Potraviny+PANDA/@50.5410227,13.768359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Potraviny U Pepika
link: https://www.google.com/maps/search/Potraviny+U+Pep%C3%ADka/@50.5501174,13.786767000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.penny.cz/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3DKL-local-marketing%26utm_content%3Dwebsite,Penny Market (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOCCkFHlxthcWV1oLUCedlnVR8tfCkeSwmYMhaa=w408-h306-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Ping Jia Chao Ji Shi Chang , Za Huo Dian ",3.8,07:00-20:00,Open All Days,+420 800 202 220,"Penny Market, Pivovarska 116, 418 01 Bilina 1, Jie Ke ",,https://www.google.com/maps/place/Penny+Market/data=!4m7!3m6!1s0x47098992d683f135:0x63f8f358f088908a!8m2!3d50.550303!4d13.77411!16s%2Fg%2F1tfj1wv3!19sChIJNfGD1pKJCUcRipCI8Fjz-GM?authuser=0&hl=zh-TW&rclk=1
ChIJQZ5oiI2JCUcR9xbuTt2qXSQ,Pepco,,False,381,"Name: Kik
link: https://www.google.com/maps/search/Kik/@50.552885499999995,13.772316?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Pepco
link: https://www.google.com/maps/search/Pepco/@50.5921741,13.604051499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Puncochove zbozi a spodni pradlo
link: https://www.google.com/maps/search/Pun%C4%8Dochov%C3%A9+zbo%C5%BE%C3%AD+a+spodn%C3%AD+pr%C3%A1dlo/@50.5484339,13.7739593?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: NKD
link: https://www.google.com/maps/search/NKD/@50.5530853,13.7723386?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://pepco.cz/,Pepco (Ye Zhu ),https://www.google.com/maps/contrib/102104482846826477664,https://lh5.googleusercontent.com/p/AF1QipONbfZDcc577_bCRd2I4NDavfIo6WoRMQoDA--6=w408-h306-k-no,Fu Zhuang Dian ,"Fu Zhuang Dian , Jia Ju Yong Pin Dian ",4.4,09:00-19:00,Open All Days,+420 228 881 508,"Pepco, Nabrezi 463, 418 01 Bilina 1, Jie Ke ",,https://www.google.com/maps/place/Pepco/data=!4m7!3m6!1s0x4709898d88689e41:0x245daadd4eee16f7!8m2!3d50.5542668!4d13.7726879!16s%2Fg%2F11cjnn5m2c!19sChIJQZ5oiI2JCUcR9xbuTt2qXSQ?authuser=0&hl=zh-TW&rclk=1
ChIJVzIdTfeJCUcRz9iYawR68HI,Lesni kavarna Kafac,,False,350,"Name: Restaurace U Kadi
link: https://www.google.com/maps/search/Restaurace+U+K%C3%A1di/@50.5414336,13.7602272?authuser=0&hl=zh-TW&entry=ttu
Reviews: 575 reviews

Name: Pivnice ""U Dedka""
link: https://www.google.com/maps/search/Pivnice+%22U+D%C4%9Bdka%22/@50.54325,13.7674758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Apache Bar
link: https://www.google.com/maps/search/Apache+Bar/@50.5421,13.7766047?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",https://www.facebook.com/kafac.cz/,Lesni kavarna Kafac (Ye Zhu ),https://www.google.com/maps/contrib/105017080589278316521,https://lh5.googleusercontent.com/p/AF1QipP3_0BaZl76nXtUCBl63jjJ6WGOPKeovii8YXEZ=w408-h306-k-no,Can Ting ,"Can Ting , Can Ting Huo Ka Pei Dian ",4.6,,Open All Days,+420 777 274 853,"Lesni kavarna Kafac, Kyselska 131, 418 01 Bilina 1-Mostecke Predmesti, Jie Ke ",,https://www.google.com/maps/place/Lesn%C3%AD+kav%C3%A1rna+Kaf%C3%A1%C4%8D/data=!4m7!3m6!1s0x470989f74d1d3257:0x72f07a046b98d8cf!8m2!3d50.5412037!4d13.7569841!16s%2Fg%2F1tw1ck6f!19sChIJVzIdTfeJCUcRz9iYawR68HI?authuser=0&hl=zh-TW&rclk=1
ChIJ7Tf375WJCUcR5L50Nj_B-_w,Tesco,,False,332,"Name: Albert
link: https://www.google.com/maps/search/Albert/@50.5513073,13.771673199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1484 reviews

Name: Penny Market
link: https://www.google.com/maps/search/Penny+Market/@50.550303,13.774109999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 697 reviews

Name: Astra food
link: https://www.google.com/maps/search/Astra+food/@50.558366199999995,13.777045?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Potraviny PANDA
link: https://www.google.com/maps/search/Potraviny+PANDA/@50.5410227,13.768359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Martin Potraviny
link: https://www.google.com/maps/search/Martin+Potraviny/@50.551258999999995,13.787550399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",https://itesco.cz/prodejny/obchody-tesco/supermarket-bilina,Tesco (Ye Zhu ),https://www.google.com/maps/contrib/109001874566330957945,https://lh5.googleusercontent.com/p/AF1QipMlpYV7Rti3hJKCFFGE2FqOXqiP2Vp3QV17pnzx=w408-h272-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.5,07:00-20:00,"Xing Qi Yi , Xing Qi Er ",+420 724 529 986,"Tesco, Sidl. za Chlumem 822, 418 01 Bilina 1-Teplicke Predmesti, Jie Ke ",,https://www.google.com/maps/place/Tesco/data=!4m7!3m6!1s0x47098995eff737ed:0xfcfbc13f3674bee4!8m2!3d50.5532209!4d13.7862205!16s%2Fg%2F12jp8jt3k!19sChIJ7Tf375WJCUcR5L50Nj_B-_w?authuser=0&hl=zh-TW&rclk=1
ChIJWxTdROyJCUcRuyuq-1ePMPg,Billiards club,,False,71,"Name: CASINO SPORT BAR 24
link: https://www.google.com/maps/search/CASINO+SPORT+BAR+24/@50.549338299999995,13.7750741?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: SportBar Bilina, Wolkerova
link: https://www.google.com/maps/search/SportBar+B%C3%ADlina%2C+Wolkerova/@50.5491016,13.7755744?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Fitness klub Bilina
link: https://www.google.com/maps/search/Fitness+klub+B%C3%ADlina/@50.5553284,13.7752473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.firmy.cz/detail/2562798-billiards-club-bilina.html,Billiards club (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMzRk_q2DpeUUL4PeEaKt2eMsDcT7ePRzn6xiOQ=w408-h272-k-no,Jiu Ba ,Jiu Ba ,4.3,19:00-03:00,"Xing Qi Ri , Xing Qi Yi ",+420 774 824 522,"Billiards club, Seifertova 15, 418 01 Bilina 1, Jie Ke ",,https://www.google.com/maps/place/Billiards+club/data=!4m7!3m6!1s0x470989ec44dd145b:0xf8308f57fbaa2bbb!8m2!3d50.5467109!4d13.77388!16s%2Fg%2F11bwny7jpn!19sChIJWxTdROyJCUcRuyuq-1ePMPg?authuser=0&hl=zh-TW&rclk=1
ChIJz9H4z-yJCUcRQjVNmQKK8bQ,CASINO SPORT BAR 24,,False,59,,http://forbescasino.cz/,CASINO SPORT BAR 24 (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMTcj4yolIddCmzggAA1epeEYcR2IvK_aMYADyM=w427-h240-k-no,Du Chang ,Du Chang ,3.9,24 Xiao Shi Ying Ye ,Open All Days,+420 608 609 022,"CASINO SPORT BAR 24, 6, Zelivskeho 67, 418 01 Bilina, Jie Ke ",,https://www.google.com/maps/place/CASINO+SPORT+BAR+24/data=!4m7!3m6!1s0x470989eccff8d1cf:0xb4f18a02994d3542!8m2!3d50.5493383!4d13.7750741!16s%2Fg%2F11c1nx0mq0!19sChIJz9H4z-yJCUcRQjVNmQKK8bQ?authuser=0&hl=zh-TW&rclk=1
ChIJOXYmW-yJCUcRS-pwKwAI-Mo,Pekarstvi - Cukrarstvi Bilina,,False,39,"Name: Potraviny Hanka
link: https://www.google.com/maps/search/Potraviny+Hanka/@50.55643260000001,13.7772632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: PECUD in. O. D. Zandov
link: https://www.google.com/maps/search/PECUD+in.+O.+D.+%C5%BDandov/@50.548464,13.7741353?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Potraviny PANDA
link: https://www.google.com/maps/search/Potraviny+PANDA/@50.5410227,13.768359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Cukrarna
link: https://www.google.com/maps/search/Cukr%C3%A1rna/@50.5482539,13.775261599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Pekarstvi Hela s.r.o.
link: https://www.google.com/maps/search/Peka%C5%99stv%C3%AD+Hela+s.r.o./@50.5420086,13.776662400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.pekarstvi-subrtova.cz/,Pekarstvi - Cukrarstvi Bilina (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOJHXOiADdFRYoXmhawWip-IeFoGwRa8y3LitcI=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.6,05:30-16:30,"Xing Qi Ri , Xing Qi Liu ",+420 608 830 829,"Pekarstvi - Cukrarstvi Bilina, Seifertova 17, 418 01 Bilina 1, Jie Ke ",,https://www.google.com/maps/place/Peka%C5%99stv%C3%AD+-+Cukr%C3%A1%C5%99stv%C3%AD+B%C3%ADlina/data=!4m7!3m6!1s0x470989ec5b267639:0xcaf808002b70ea4b!8m2!3d50.5468619!4d13.7740636!16s%2Fg%2F11c31xz10k!19sChIJOXYmW-yJCUcRS-pwKwAI-Mo?authuser=0&hl=zh-TW&rclk=1
ChIJnzBZ9zmJCUcRiTVVSeRTT9k,Muj obchod - Potraviny Prazanka,,False,,,https://mujobchod.cz/obchody/ustecky-kraj/potraviny-prazanka,Muj obchod - Potraviny Prazanka (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNV8r93arwiESI8x_N4son6QUFmMloeWXd-fTNu=w408-h724-k-no,Bian Li Dian ,Bian Li Dian ,,07:00-19:00,Open All Days,,"Muj obchod - Potraviny Prazanka, Aleska 268, 418 01 Bilina 1-Prazske Predmesti, Jie Ke ",,https://www.google.com/maps/place/M%C5%AFj+obchod+-+Potraviny+Pra%C5%BEanka/data=!4m7!3m6!1s0x47098939f759309f:0xd94f53e449553589!8m2!3d50.5419616!4d13.7771977!16s%2Fg%2F11v5dj2_l3!19sChIJnzBZ9zmJCUcRiTVVSeRTT9k?authuser=0&hl=zh-TW&rclk=1
