place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJc-xmyHDewEcRABbi8AQQxJw,Bruno Foodcorner,,False,1113,"Name: Bruno Foodcorner
link: https://www.google.com/maps/search/Bruno+Foodcorner/@50.9971745,5.4749479999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1242 reviews

Name: Chopin Food&Drinks
link: https://www.google.com/maps/search/Chopin+Food%26Drinks/@50.870286,5.5178671999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1139 reviews

Name: Esso
link: https://www.google.com/maps/search/Esso/@50.9084487,5.5226255?authuser=0&hl=zh-TW&entry=ttu
Reviews: 216 reviews

Name: Panos City
link: https://www.google.com/maps/search/Panos+City/@50.8705564,5.5159194?authuser=0&hl=zh-TW&entry=ttu
Reviews: 198 reviews

Name: Bruno Car Rental
link: https://www.google.com/maps/search/Bruno+Car+Rental/@50.90859390000001,5.5220918?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",http://www.groupbruno.be/,Bruno Foodcorner (Ye Zhu ),https://www.google.com/maps/contrib/117166903194804392043,https://lh5.googleusercontent.com/p/AF1QipOHusPGGXrOFFGKMQsOrC3TgBNJln3c4RTuxWHi=w640-h240-k-no,Bo Bing Can Ting ,"Bo Bing Can Ting , Ti Dai Ran Liao You Zhan , Ka Pei Dian , You Zhan , San Wen Zhi Dian , Shang Dian ",3.9,24 Xiao Shi Ying Ye ,Open All Days,+32 89 30 16 00,"Bruno Foodcorner, Kruisbosstraat 2b1, 3740 Bilzen, Bi Li Shi ","Yuan Gong , Jia Ge , Ting Che , Huo Che , Jia You Zhan , Xia Ding , Ce Suo , Lin Yu Jian , Leng ",https://www.google.com/maps/place/Bruno+Foodcorner/data=!4m7!3m6!1s0x47c0de70c866ec73:0x9cc41004f0e21600!8m2!3d50.9085324!4d5.522371!16s%2Fg%2F11g_dfzth!19sChIJc-xmyHDewEcRABbi8AQQxJw?authuser=0&hl=zh-TW&rclk=1
ChIJpT3HpibfwEcRlBSAb-wtqEg,Ons IJshuys,,False,471,"Name: Cremedaus
link: https://www.google.com/maps/search/Cr%C3%A8medaus/@50.8707912,5.5173106999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: Ijs de schepping
link: https://www.google.com/maps/search/Ijs+de+schepping/@50.8612212,5.582947?authuser=0&hl=zh-TW&entry=ttu
Reviews: 193 reviews

Name: Ijsronny
link: https://www.google.com/maps/search/Ijsronny/@50.8241534,5.5192377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.onsijshuys.be/,Ons IJshuys (Ye Zhu ),https://www.google.com/maps/contrib/111842116760823391795,https://lh5.googleusercontent.com/p/AF1QipN6vRcwbqbc4zpKvRgRhbpeRHtAxpV9HDQuHos6=w408-h272-k-no,Xue Gao Dian ,Xue Gao Dian ,4.6,14:00-18:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu ",+32 468 09 91 73,"Ons IJshuys, Oude Siemerstraat 5, 3740 Bilzen, Bi Li Shi ","Tian Tong , Yuan Gong , Gou , Song Bing , Jia Ge , Re Qing ",https://www.google.com/maps/place/Ons+IJshuys/data=!4m7!3m6!1s0x47c0df26a6c73da5:0x48a82dec6f801494!8m2!3d50.8976509!4d5.5247217!16s%2Fg%2F11g0zv3cyr!19sChIJpT3HpibfwEcRlBSAb-wtqEg?authuser=0&hl=zh-TW&rclk=1
ChIJR1q4xLHgwEcR9bXGkC14uxw,Tribunaal,,False,453,"Name: BaristabarBilzen
link: https://www.google.com/maps/search/BaristabarBilzen/@50.8700706,5.5160678?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: Cafe 't Jonckholt
link: https://www.google.com/maps/search/Caf%C3%A9+%27t+Jonckholt/@50.873419399999996,5.5591861?authuser=0&hl=zh-TW&entry=ttu
Reviews: 210 reviews

Name: De Lantaarn
link: https://www.google.com/maps/search/De+Lantaarn/@50.8604622,5.575326?authuser=0&hl=zh-TW&entry=ttu
Reviews: 198 reviews

Name: Cafe 't Raedhuys Bilzen
link: https://www.google.com/maps/search/Caf%C3%A9+%E2%80%98t+Raedhuys+Bilzen/@50.8709588,5.5172367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Het Walhof
link: https://www.google.com/maps/search/Het+Walhof/@50.8726628,5.5199001999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",http://www.cafetribunaal.be/,Tribunaal (Ye Zhu ),https://www.google.com/maps/contrib/107329667587914065929,https://lh5.googleusercontent.com/p/AF1QipOAjcIreEfEV7YHXEPcyVwHti3BaJYE5aIwD_Mf=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,10:00-01:00,Xing Qi Er ,+32 468 33 37 04,"Tribunaal, Kloosterstraat 1, 3740 Bilzen, Bi Li Shi ","Pi Jiu , Yin Le , Yuan Gong ",https://www.google.com/maps/place/Tribunaal/data=!4m7!3m6!1s0x47c0e0b1c4b85a47:0x1cbb782d90c6b5f5!8m2!3d50.8709074!4d5.5183867!16s%2Fg%2F1vy7fqsl!19sChIJR1q4xLHgwEcR9bXGkC14uxw?authuser=0&hl=zh-TW&rclk=1
ChIJUfT_CLHgwEcRZuQcOuU77Fo,Paper Clip - The papercup,,False,339,"Name: Chopin Food&Drinks
link: https://www.google.com/maps/search/Chopin+Food%26Drinks/@50.870286,5.5178671999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1139 reviews

Name: De Brasserie
link: https://www.google.com/maps/search/De+Brasserie/@50.870176199999996,5.5176902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 560 reviews

Name: Zoemerik
link: https://www.google.com/maps/search/Zoemerik/@50.869938499999996,5.5180492999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 478 reviews

Name: BaristabarBilzen
link: https://www.google.com/maps/search/BaristabarBilzen/@50.8700706,5.5160678?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: Deuce Food&Drinks
link: https://www.google.com/maps/search/Deuce+Food%26Drinks/@50.8648393,5.5107897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 236 reviews",http://www.papercup.be/,Paper Clip - The papercup (Ye Zhu ),https://www.google.com/maps/contrib/106923814810810623560,https://lh5.googleusercontent.com/p/AF1QipOQlMmqW95MUjaRAEkCKY2Ss3HBsECtqM1-Qhne=w513-h240-k-no,Mei Shi Can Che Dian ,Mei Shi Can Che Dian ,4.6,09:00-22:00,"Xing Qi Yi , Xing Qi Er ",+32 497 89 05 03,"Paper Clip - The papercup, Brugstraat 14, 3740 Bilzen, Bi Li Shi ","Zao Can , Jia Ge , Yuan Gong ",https://www.google.com/maps/place/Paper+Clip+-+The+papercup/data=!4m7!3m6!1s0x47c0e0b108fff451:0x5aec3be53a1ce466!8m2!3d50.8688944!4d5.5177698!16s%2Fg%2F11g_43zw8!19sChIJUfT_CLHgwEcRZuQcOuU77Fo?authuser=0&hl=zh-TW&rclk=1
ChIJzWrpRbDgwEcRlacWIv_fE2o,BaristabarBilzen,,False,271,"Name: De Brasserie
link: https://www.google.com/maps/search/De+Brasserie/@50.870176199999996,5.5176902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 560 reviews

Name: Paper Clip - The papercup
link: https://www.google.com/maps/search/Paper+Clip+-+The+papercup/@50.868894399999995,5.5177698?authuser=0&hl=zh-TW&entry=ttu
Reviews: 339 reviews

Name: Ontbijtboetiek
link: https://www.google.com/maps/search/Ontbijtboetiek/@50.902211199999996,5.4805832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Nicky's
link: https://www.google.com/maps/search/Nicky%27s/@50.8706586,5.5171681999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Barista Gerard
link: https://www.google.com/maps/search/Barista+Gerard/@50.878833900000004,5.5141342?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://www.baristabarbilzen.be/,BaristabarBilzen (Ye Zhu ),https://www.google.com/maps/contrib/103936832781678967940,https://lh5.googleusercontent.com/p/AF1QipPPMXktAviDX7TUXodQgbbXsFfWQXWA8qLzMl5K=w408-h544-k-no,Can Ting ,"Can Ting , Bi Li Shi Can Ting , Xi Bing Dian , Dong Shuai Dian , Wu Fu Zhi Shi Pin Can Ting , Ban Ji Dian , Gao Bing Dian , San Wen Zhi Dian , Su Shi Can Ting ",4.4,09:00-18:00,Xing Qi Ri ,+32 472 89 22 78,"BaristabarBilzen, De Commanderie 5, 3740 Bilzen, Bi Li Shi ","Ka Pei , Xia Ding , Yuan Gong , Gao , Zhuo , qr code, Qia Bu Qi Nuo , Bei Guo , Jia Ge ",https://www.google.com/maps/place/BaristabarBilzen/data=!4m7!3m6!1s0x47c0e0b045e96acd:0x6a13dfff2216a795!8m2!3d50.8700706!4d5.5160678!16s%2Fg%2F11ggf7q8rv!19sChIJzWrpRbDgwEcRlacWIv_fE2o?authuser=0&hl=zh-TW&rclk=1
ChIJCyn3t7HgwEcRBspStddhsl8,M37 - The Drink Experience,,False,252,"Name: De Brasserie
link: https://www.google.com/maps/search/De+Brasserie/@50.870176199999996,5.5176902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 560 reviews

Name: Zoemerik
link: https://www.google.com/maps/search/Zoemerik/@50.869938499999996,5.5180492999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 478 reviews

Name: Deuce Food&Drinks
link: https://www.google.com/maps/search/Deuce+Food%26Drinks/@50.8648393,5.5107897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 236 reviews

Name: Kimpelkaffee
link: https://www.google.com/maps/search/Kimpelkaffee/@50.865808699999995,5.5122164?authuser=0&hl=zh-TW&entry=ttu
Reviews: 205 reviews

Name: De Casteleyn Bilzen
link: https://www.google.com/maps/search/De+Casteleyn+Bilzen/@50.8704987,5.5181515?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews",https://www.m37.be/,M37 - The Drink Experience (Ye Zhu ),https://www.google.com/maps/contrib/110860444093542035421,https://lh5.googleusercontent.com/p/AF1QipM8BwrBQS_GTxG7-_gx1F4RzzmRgPNyuXX4-SoU=w427-h240-k-no,Jiu Ba ,Jiu Ba ,4.2,10:00-01:00,Open All Days,+32 89 21 38 42,"M37 - The Drink Experience, Markt 37, 3740 Bilzen, Bi Li Shi ","Diao Jiu , Yuan Gong , Qin Jiu , Jia Ge ",https://www.google.com/maps/place/M37+-+The+Drink+Experience/data=!4m7!3m6!1s0x47c0e0b1b7f7290b:0x5fb261d7b552ca06!8m2!3d50.8702244!4d5.517792!16s%2Fg%2F11g6xlycb4!19sChIJCyn3t7HgwEcRBspStddhsl8?authuser=0&hl=zh-TW&rclk=1
ChIJQzyHy7HgwEcRUa_Qf0TinZI,Cremedaus,,False,240,"Name: Ons IJshuys
link: https://www.google.com/maps/search/Ons+IJshuys/@50.897650899999995,5.5247217?authuser=0&hl=zh-TW&entry=ttu
Reviews: 471 reviews

Name: Ijs de schepping
link: https://www.google.com/maps/search/Ijs+de+schepping/@50.8612212,5.582947?authuser=0&hl=zh-TW&entry=ttu
Reviews: 193 reviews

Name: Cremerie Valvekens
link: https://www.google.com/maps/search/Cremerie+Valvekens/@50.9302874,5.3366223999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 148 reviews

Name: Bilzers Dierencrematorium Corculum
link: https://www.google.com/maps/search/Bilzers+Dierencrematorium+Corculum/@50.8676216,5.5279261?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Geso-ijs
link: https://www.google.com/maps/search/Geso-ijs/@50.9572927,5.4428732?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://cremedaus-ice-cream-shop.business.site/,Cremedaus (Ye Zhu ),https://www.google.com/maps/contrib/112917677534585148816,https://lh5.googleusercontent.com/p/AF1QipN0Ee9vCsPJGfGZp3oRUgreUOU-7jBgy-bu3Mxr=w408-h724-k-no,Xue Gao Dian ,Xue Gao Dian ,4.6,11:30-17:30,Xing Qi Ri ,+32 495 78 52 32,"Cremedaus, Markt 22A, 3740 Bilzen, Bi Li Shi ","Tian Tong , Yuan Gong , Jia Ge ",https://www.google.com/maps/place/Cr%C3%A8medaus/data=!4m7!3m6!1s0x47c0e0b1cb873c43:0x929de2447fd0af51!8m2!3d50.8707912!4d5.5173107!16s%2Fg%2F11c2pzw7bf!19sChIJQzyHy7HgwEcRUa_Qf0TinZI?authuser=0&hl=zh-TW&rclk=1
ChIJZyOk6ajnwEcRBrigcAr_g5k,cafe bij Guske,,False,230,"Name: Cafe 't Jonckholt
link: https://www.google.com/maps/search/Caf%C3%A9+%27t+Jonckholt/@50.873419399999996,5.5591861?authuser=0&hl=zh-TW&entry=ttu
Reviews: 210 reviews

Name: Kimpelkaffee
link: https://www.google.com/maps/search/Kimpelkaffee/@50.865808699999995,5.5122164?authuser=0&hl=zh-TW&entry=ttu
Reviews: 205 reviews

Name: Cafe Jengske
link: https://www.google.com/maps/search/Cafe+Jengske/@50.89447070000001,5.4989761?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Wijnants / Gustaaf
link: https://www.google.com/maps/search/Wijnants+%2F+Gustaaf/@50.846235199999995,5.5777933?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.cafebijguske.be/,cafe bij Guske (Ye Zhu ),https://www.google.com/maps/contrib/111392068295918946522,https://lh5.googleusercontent.com/p/AF1QipNo2OHUEeO3_0DcLADm_S8elItr0rzvhvHJuxc7=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,14:00-00:00,Xing Qi San ,+32 475 57 92 09,"cafe bij Guske, Rosmeerstraat 24, 3740 Bilzen, Bi Li Shi ",Pi Jiu ,https://www.google.com/maps/place/caf%C3%A9+bij+Guske/data=!4m7!3m6!1s0x47c0e7a8e9a42367:0x9983ff0a70a0b806!8m2!3d50.8461111!4d5.5777778!16s%2Fg%2F1tcwf3jk!19sChIJZyOk6ajnwEcRBrigcAr_g5k?authuser=0&hl=zh-TW&rclk=1
ChIJD-HuL0HnwEcRxIjjtEy_i9U,Willerseetkaffeeke,,False,220,"Name: De Brasserie
link: https://www.google.com/maps/search/De+Brasserie/@50.870176199999996,5.5176902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 560 reviews

Name: Het Magazijn
link: https://www.google.com/maps/search/Het+Magazijn/@50.8706866,5.515294099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 489 reviews

Name: Zoemerik
link: https://www.google.com/maps/search/Zoemerik/@50.869938499999996,5.5180492999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 478 reviews

Name: Remise New Style
link: https://www.google.com/maps/search/Remise+New+Style/@50.8896379,5.5263371999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 370 reviews

Name: Brasserie Bij Os
link: https://www.google.com/maps/search/Brasserie+Bij+Os/@50.8703162,5.513892?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",http://www.willerseetkaffeeke.be/,Willerseetkaffeeke (Ye Zhu ),https://www.google.com/maps/contrib/114536506316135445141,https://lh5.googleusercontent.com/p/AF1QipPyggC67ktVuJifehpaYA78i3zrk98aTeN6JAKX=w426-h240-k-no,Can Ting ,"Can Ting , Ka Pei Ting , Mei Shi Can Che Dian ",4.6,15:00-23:00,"Xing Qi Yi , Xing Qi Er ",+32 89 49 14 58,"Willerseetkaffeeke, Maastrichterstraat 181, 3740 Bilzen, Bi Li Shi ","Jia Ge , Chu Fang , Can Jiu Guan , Pi Jiu ",https://www.google.com/maps/place/Willerseetkaffeeke/data=!4m7!3m6!1s0x47c0e7412feee10f:0xd58bbf4cb4e388c4!8m2!3d50.8631115!4d5.5451204!16s%2Fg%2F11c1m7slq5!19sChIJD-HuL0HnwEcRxIjjtEy_i9U?authuser=0&hl=zh-TW&rclk=1
ChIJlQlenmbnwEcRWIwDJB4Kyro,Cafe 't Jonckholt,,False,210,"Name: De Brasserie
link: https://www.google.com/maps/search/De+Brasserie/@50.870176199999996,5.5176902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 560 reviews

Name: Tribunaal
link: https://www.google.com/maps/search/Tribunaal/@50.8709074,5.518386700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 453 reviews

Name: Cafe Jengske
link: https://www.google.com/maps/search/Cafe+Jengske/@50.89447070000001,5.4989761?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Eetcafe 't Lindje
link: https://www.google.com/maps/search/Eetcaf%C3%A9+%27t+Lindje/@50.8396031,5.517623899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews",https://tjonckholt.be/,Cafe 't Jonckholt (Ye Zhu ),https://www.google.com/maps/contrib/114801628410496654718,https://lh5.googleusercontent.com/p/AF1QipPifjlHq8xRPVH1xNO-FA-exong0E4fHmnDmt2V=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,14:00-00:00,"Xing Qi San , Xing Qi Si , Xing Qi Ri ",+32 473 76 61 68,"Cafe 't Jonckholt, 't Jonckholt, Hoelbeekstraat 83, 3746 Bilzen, Bi Li Shi ","Pi Jiu , Yi Fen , Jian Xing , Jiao Ta Che ",https://www.google.com/maps/place/Caf%C3%A9+%27t+Jonckholt/data=!4m7!3m6!1s0x47c0e7669e5e0995:0xbaca0a1e24038c58!8m2!3d50.8734194!4d5.5591861!16s%2Fg%2F11b6s_t_6j!19sChIJlQlenmbnwEcRWIwDJB4Kyro?authuser=0&hl=zh-TW&rclk=1
