place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJH_3ZddAfqwcRQqB21n_rvk0,Augusta Padaria Artesanal,,False,1416,"Name: Padaria Boa Viagem.
link: https://www.google.com/maps/search/Padaria+Boa+Viagem./@-8.1151021,-34.8922215?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9298 reviews

Name: Diplomata Delicatessen
link: https://www.google.com/maps/search/Diplomata+Delicatessen/@-8.1085493,-34.890450699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2263 reviews

Name: Carmem Padaria Gourmet - Paes e Buffet
link: https://www.google.com/maps/search/Carmem+Padaria+Gourmet+-+P%C3%A3es+e+Buffet/@-8.114270399999999,-34.893630099999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1959 reviews

Name: Vila Amizade Padaria Artesanal
link: https://www.google.com/maps/search/Vila+Amizade+Padaria+Artesanal/@-8.050639,-34.9000312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1885 reviews

Name: Padaria Miramar
link: https://www.google.com/maps/search/Padaria+Miramar/@-8.0989501,-34.8859523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1035 reviews",https://instagram.com/augustapadariaartesanal%3Figshid%3DYmMyMTA2M2Y%3D,Augusta Padaria Artesanal (Ye Zhu ),https://www.google.com/maps/contrib/113221084953347727909,https://lh5.googleusercontent.com/p/AF1QipNOxTJ2QtX_oZZCYbQ8dMaFmmNwclnRiUjsAJBQ=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.6,06:30-21:00,Xing Qi Yi ,+55 81 3129-8800,"Augusta Padaria Artesanal - Av. Conselheiro Aguiar, 1980 - Boa Viagem, Recife - PE, 51111-010Ba Xi ","Guo Jiang , Yi , Pu Ta , Tai Shi , Zuo , Fa Xiao , Shou Shi , Jin Kou ",https://www.google.com/maps/place/Augusta+Padaria+Artesanal/data=!4m7!3m6!1s0x7ab1fd075d9fd1f:0x4dbeeb7fd676a042!8m2!3d-8.107184!4d-34.8898381!16s%2Fg%2F11hdqk782d!19sChIJH_3ZddAfqwcRQqB21n_rvk0?authuser=0&hl=zh-TW&rclk=1
ChIJLdoGEgwfqwcRb7vnl8MXjyU,Harina Cafe,,False,1357,"Name: Borsoi Cafe
link: https://www.google.com/maps/search/Borsoi+Caf%C3%A9/@-8.104525299999999,-34.8876054?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1086 reviews

Name: Vicalli
link: https://www.google.com/maps/search/Vicalli/@-8.1131347,-34.8982879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 797 reviews

Name: Kaffe Roasting and Training
link: https://www.google.com/maps/search/Kaffe+Roasting+and+Training/@-8.1087521,-34.8904068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 496 reviews

Name: Harina Cafe | Shopping Recife
link: https://www.google.com/maps/search/Harina+Caf%C3%A9+%7C+Shopping+Recife/@-8.118894899999999,-34.9063429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://instagram.com/harina.cafe%3Figshid%3DOGQ5ZDc2ODk2ZA%3D%3D,Harina Cafe (Ye Zhu ),https://www.google.com/maps/contrib/112835818446739535257,https://lh5.googleusercontent.com/p/AF1QipMMNEgpoHrOjjRMS5wPJA6MZe_Dat_-2oC0PGj_=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Can Ting ",4.5,07:00-21:00,Open All Days,+55 81 3090-6471,"Harina Cafe - R. Franca Pereira, 137 - Boa Viagem, Recife - PE, 51111-150Ba Xi ","Ke Song , Guo Jiang , Zao Wu Can , Pin Wei , Ou Mu Dan ",https://www.google.com/maps/place/Harina+Caf%C3%A9/data=!4m7!3m6!1s0x7ab1f0c1206da2d:0x258f17c397e7bb6f!8m2!3d-8.1065182!4d-34.8889222!16s%2Fg%2F11gf61mgv3!19sChIJLdoGEgwfqwcRb7vnl8MXjyU?authuser=0&hl=zh-TW&rclk=1
ChIJz110rA0fqwcRx3KTizhCNeI,Borsoi Cafe,,False,1086,"Name: Harina Cafe
link: https://www.google.com/maps/search/Harina+Caf%C3%A9/@-8.106518200000002,-34.888922199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1356 reviews

Name: Tokyo's Cafe
link: https://www.google.com/maps/search/Tokyo%27s+Caf%C3%A9/@-8.038588599999999,-34.9009285?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1253 reviews

Name: Barbarico Caffe
link: https://www.google.com/maps/search/Barbarico+Caff%C3%A9/@-8.1129721,-34.8934992?authuser=0&hl=zh-TW&entry=ttu
Reviews: 435 reviews

Name: Diana Cafe com Emocao
link: https://www.google.com/maps/search/Diana+Caf%C3%A9+com+Emo%C3%A7%C3%A3o/@-8.1026138,-34.8876093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews",https://www.borsoicafe.com/,Borsoi Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115007830742444759855,https://lh5.googleusercontent.com/p/AF1QipP3NbtHvgW_G0JqjbXzoZlFBhRNY63xZE7w8VZh=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,08:00-20:00,Open All Days,+55 81 3071-6834,"Borsoi Cafe, Condominio Edificio California - R. Artur Muniz, 82 - Boa Viagem, Recife - PE, 51111-190Ba Xi ","Chong Wu , Guo Jiang , Qing Tang , Pin Wei ",https://www.google.com/maps/place/Borsoi+Caf%C3%A9/data=!4m7!3m6!1s0x7ab1f0dac745dcf:0xe23542388b9372c7!8m2!3d-8.1045253!4d-34.8876054!16s%2Fg%2F11c5hw77pm!19sChIJz110rA0fqwcRx3KTizhCNeI?authuser=0&hl=zh-TW&rclk=1
ChIJDesTYa0fqwcRbZ4RtWqhcs4,CoffeeTown Recife - The American cake and Co.,,False,1004,"Name: Sao Braz Coffee Shop
link: https://www.google.com/maps/search/S%C3%A3o+Braz+Coffee+Shop/@-8.1187367,-34.904321599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 645 reviews

Name: Cake & Bake - Shopping Recife
link: https://www.google.com/maps/search/Cake+%26+Bake+-+Shopping+Recife/@-8.1191847,-34.9030328?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews

Name: Coffeetown - The American Coffee And Cake
link: https://www.google.com/maps/search/Coffeetown+-+The+American+Coffee+And+Cake/@-8.118945499999999,-34.9048274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Harina Cafe | Shopping Recife
link: https://www.google.com/maps/search/Harina+Caf%C3%A9+%7C+Shopping+Recife/@-8.118894899999999,-34.9063429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.coffeetown.com.br/,CoffeeTown Recife - The American cake and Co. (Ye Zhu ),https://www.google.com/maps/contrib/112181012337084973796,https://lh5.googleusercontent.com/p/AF1QipMVjsN4k_-I5OYspQl6Zh682LxcqWK0FoOQ-wls=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,10:00-22:00,Open All Days,+55 81 3038-6799,"CoffeeTown Recife - The American cake and Co. - R. Padre Carapuceiro, 777 - Boa Viagem, Recife - PE, 51020-280Ba Xi ","Shang Chang , Pai , Song Bing , Qia Bu Qi Nuo , Ru Luo Dan Gao , Pin Wei , Xiao Cai ",https://www.google.com/maps/place/CoffeeTown+Recife+-+The+American+cake+and+Co./data=!4m7!3m6!1s0x7ab1fad6113eb0d:0xce72a16ab5119e6d!8m2!3d-8.1186111!4d-34.9058333!16s%2Fg%2F11f3f3btbf!19sChIJDesTYa0fqwcRbZ4RtWqhcs4?authuser=0&hl=zh-TW&rclk=1
ChIJf4ZaHi4eqwcRE5Wh6nHRHZs,Cia do Croissant Setubal,,False,958,"Name: Panificadora Setubal
link: https://www.google.com/maps/search/Panificadora+Set%C3%BAbal/@-8.1363902,-34.9122789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1112 reviews

Name: Sao Braz Coffee Shop - Setubal
link: https://www.google.com/maps/search/S%C3%A3o+Braz+Coffee+Shop+-+Setubal/@-8.142724,-34.909673999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 557 reviews

Name: Cafeteria Santa Clara Setubal
link: https://www.google.com/maps/search/Cafeteria+Santa+Clara+Set%C3%BAbal/@-8.1411061,-34.9060038?authuser=0&hl=zh-TW&entry=ttu
Reviews: 456 reviews

Name: Cia do Croissant Casa Forte
link: https://www.google.com/maps/search/Cia+do+Croissant+Casa+Forte/@-8.0393841,-34.918895?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",http://ciadocroissant.com.br/,Cia do Croissant Setubal (Ye Zhu ),https://www.google.com/maps/contrib/117707400228255791366,https://lh5.googleusercontent.com/p/AF1QipMYgr1NRVK8s9wT-CL4gACVrWsT06VsbtiFEvFw=w408-h270-k-no,Ka Pei Dian ,"Ka Pei Dian , Mei Shi Can Che Dian ",4.8,14:00-21:00,Xing Qi Yi ,+55 81 99198-4797,"Cia do Croissant Setubal - R. Camboim, 421 E - Setubal, Recife - PE, 51030-150Ba Xi ","Huan Jing , Chan Pin , Nei Xian , Jing Yan , Guo Jiang , Kou , Sheng Ming , Tuan Dui , Shan Gu ",https://www.google.com/maps/place/Cia+do+Croissant+Setubal/data=!4m7!3m6!1s0x7ab1e2e1e5a867f:0x9b1dd171eaa19513!8m2!3d-8.137021!4d-34.9132467!16s%2Fg%2F11cst1297y!19sChIJf4ZaHi4eqwcRE5Wh6nHRHZs?authuser=0&hl=zh-TW&rclk=1
ChIJLzbjaK0fqwcR8rEov247Lk8,Bacio di Latte - Shopping Recife,,False,956,"Name: Frisabor Shopping Recife 1: Sorvete, Picole, Sorveteria, Delivery em Recife PE
link: https://www.google.com/maps/search/Frisabor+Shopping+Recife+1%3A+Sorvete%2C+Picol%C3%A9%2C+Sorveteria%2C+Delivery+em+Recife+PE/@-8.1190477,-34.904668199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 269 reviews

Name: Sorveteria 50 sabores shopping Recife
link: https://www.google.com/maps/search/Sorveteria+50+sabores+shopping+Recife/@-8.118872999999999,-34.9037673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 213 reviews

Name: San Paolo
link: https://www.google.com/maps/search/San+Paolo/@-8.118945499999999,-34.9048274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews",https://baciodilatte.com.br/,Bacio di Latte - Shopping Recife (Ye Zhu ),https://www.google.com/maps/contrib/117144562594097925575,https://lh5.googleusercontent.com/p/AF1QipOCk4pIpNMcnYMf2vPCtzuQgiJHm2IpJRFFmNEF=w426-h240-k-no,Xue Gao Dian ,"Xue Gao Dian , Ka Pei Ting , Xi Bing Dian , Tang Guo Dian , Ka Pei Dian , Tian Pin Can Ting ",4.7,10:00-22:00,Open All Days,,"Bacio di Latte - Shopping Recife - R. Padre Carapuceiro, 777 - Boa Viagem, Recife - PE, 51020-000Ba Xi ","Kou Wei , Kai Xin Guo , Ka Pei , Huan Jing , Jing Yan , Jiao Tang Niu Nai , Shui , Zhuo ",https://www.google.com/maps/place/Bacio+di+Latte+-+Shopping+Recife/data=!4m7!3m6!1s0x7ab1fad68e3362f:0x4f2e3b6ebf28b1f2!8m2!3d-8.118712!4d-34.9059469!16s%2Fg%2F11ggs2rl47!19sChIJLzbjaK0fqwcR8rEov247Lk8?authuser=0&hl=zh-TW&rclk=1
ChIJddV1o6gfqwcR1hpsbpGu6mw,Sao Braz Coffee Shop,,False,926,"Name: Harina Cafe
link: https://www.google.com/maps/search/Harina+Caf%C3%A9/@-8.106518200000002,-34.888922199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1356 reviews

Name: Vicalli
link: https://www.google.com/maps/search/Vicalli/@-8.1131347,-34.8982879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 797 reviews

Name: Sao Braz Coffee Shop - Setubal
link: https://www.google.com/maps/search/S%C3%A3o+Braz+Coffee+Shop+-+Setubal/@-8.142724,-34.909673999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 557 reviews",http://www.saobraz.com.br/,Sao Braz Coffee Shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOmVwjnvNl4tdGTTGB9cx0gKN6WIh8nRX4uxPSg=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,08:30-20:00,Open All Days,+55 81 3037-0338,"Sao Braz Coffee Shop - R. Maria Carolina, 315 - Boa Viagem, Recife - PE, 51020-220Ba Xi ","Hui Yi , Sheng Yi , Pin Wei , Jia Meng ",https://www.google.com/maps/place/S%C3%A3o+Braz+Coffee+Shop/data=!4m7!3m6!1s0x7ab1fa8a375d575:0x6ceaae916e6c1ad6!8m2!3d-8.1145461!4d-34.8960469!16s%2Fg%2F1yhbl8mbh!19sChIJddV1o6gfqwcR1hpsbpGu6mw?authuser=0&hl=zh-TW&rclk=1
ChIJM4Ai_qgfqwcR9NdeO7em_xc,Vicalli,,False,797,"Name: Harina Cafe
link: https://www.google.com/maps/search/Harina+Caf%C3%A9/@-8.106518200000002,-34.888922199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1356 reviews

Name: Sao Braz Coffee Shop
link: https://www.google.com/maps/search/S%C3%A3o+Braz+Coffee+Shop/@-8.1145461,-34.8960469?authuser=0&hl=zh-TW&entry=ttu
Reviews: 926 reviews

Name: We Lov Bistro
link: https://www.google.com/maps/search/We+Lov+Bistr%C3%B4/@-8.1087803,-34.8909083?authuser=0&hl=zh-TW&entry=ttu
Reviews: 188 reviews",https://bit.ly/vicallievento,Vicalli (Ye Zhu ),https://www.google.com/maps/contrib/115480173020654789700,https://lh5.googleusercontent.com/p/AF1QipM0FUwk6S1PK0AhyjkhFh46toxGSsl-mncw-cOm=w426-h240-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Biao Yan Chang Di , Jiu Pin Zhuan Mai Dian ",4.4,08:30-21:00,Open All Days,+55 81 3090-2848,"Vicalli - R. Maria Carolina, 574 - Boa Viagem, Recife - PE, 51020-221Ba Xi ","Huan Jing , Ka Pei Ting , Hui Yi , Xin , Fei Li , Zao Wu Can , Qia Bu Qi Nuo , Zhuang Xiu , Pin Wei ",https://www.google.com/maps/place/Vicalli/data=!4m7!3m6!1s0x7ab1fa8fe228033:0x17ffa6b73b5ed7f4!8m2!3d-8.1131347!4d-34.8982879!16s%2Fg%2F11f5hkh6bh!19sChIJM4Ai_qgfqwcR9NdeO7em_xc?authuser=0&hl=zh-TW&rclk=1
ChIJF2BjAAcZqwcRnuBQDNr6lGk,Delikata Sweet and Savory,,False,731,"Name: Simone Barros - Boa Viagem
link: https://www.google.com/maps/search/Simone+Barros+-+Boa+Viagem/@-8.103997699999999,-34.8886703?authuser=0&hl=zh-TW&entry=ttu
Reviews: 591 reviews

Name: Delicias da Prazeres | Boa Viagem - Kit Festa, Tortas, Salgados e Doces
link: https://www.google.com/maps/search/Del%C3%ADcias+da+Prazeres+%7C+Boa+Viagem+-+Kit+Festa%2C+Tortas%2C+Salgados+e+Doces/@-8.1242898,-34.904288799999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 365 reviews

Name: Cakes Doceria
link: https://www.google.com/maps/search/Cakes+Doceria/@-8.1055261,-34.889450599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Art Doces e Salgados
link: https://www.google.com/maps/search/Art+Doces+e+Salgados/@-8.126368,-34.908055399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.delikata.com.br/,Delikata Sweet and Savory (Ye Zhu ),https://www.google.com/maps/contrib/115493215861016773637,https://lh5.googleusercontent.com/p/AF1QipMBcX6CKS-Kl47D9OVH7tm1YCG26spGmRXPYSNu=w408-h240-k-no,Tang Guo Dian ,"Tang Guo Dian , Ka Pei Dian , Tian Pin Dian , Pai Dui Zhuang Shi Yong Pin Dian , Gao Bing Dian , Fa Shi Gao Bing Dian ",4.6,11:00-19:00,Open All Days,+55 81 3038-0606,"Delikata Sweet and Savory - Av. Eng. Domingos Ferreira, 2041 - Boa Viagem, Recife - PE, 51111-020Ba Xi ","Jia Ge , Chan Pin , Pai , Ke Ren , Ju Hui , Cao Mei , Huan Jing ",https://www.google.com/maps/place/Delikata+Sweet+and+Savory/data=!4m7!3m6!1s0x7ab190700636017:0x6994fada0c50e09e!8m2!3d-8.1075708!4d-34.890327!16s%2Fg%2F1vgqd92v!19sChIJF2BjAAcZqwcRnuBQDNr6lGk?authuser=0&hl=zh-TW&rclk=1
ChIJ4VpscCIfqwcRLRlRGZnWR8s,OrangeBake Cafe,,False,684,"Name: Annie Cake Shop Boa Viagem
link: https://www.google.com/maps/search/Annie+Cake+Shop+Boa+Viagem/@-8.113961,-34.8978034?authuser=0&hl=zh-TW&entry=ttu
Reviews: 322 reviews

Name: Anna Corinna Douce et Chocolat
link: https://www.google.com/maps/search/Anna+Corinna+Douce+et+Chocolat/@-8.0988987,-34.888123799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 185 reviews

Name: Cake & Bake - Shopping Recife
link: https://www.google.com/maps/search/Cake+%26+Bake+-+Shopping+Recife/@-8.1191847,-34.9030328?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews

Name: Cake Box - Doceria Artesanal & Drinks
link: https://www.google.com/maps/search/Cake+Box+-+Doceria+Artesanal+%26+Drinks/@-8.1283905,-34.9085009?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Bru' Cakes
link: https://www.google.com/maps/search/Bru%27+Cakes/@-8.1286079,-34.899493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://orange.goomer.app/,OrangeBake Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102024015991569303984,https://lh5.googleusercontent.com/p/AF1QipMRsVWArKXR2AkF5Jsx0JQXM3JZHyuy7_yG6is-=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Tang Guo Dian ",4.9,12:00-20:00,Open All Days,+55 81 97111-8889,"OrangeBake Cafe - R. Padre Giordano, 310 - Boa Viagem, Recife - PE, 51021-490Ba Xi ","Guo Jiang , Pai , Kai Xin Guo , Zhuang Xiu , Fen Wei , Jian Guo , Xia ",https://www.google.com/maps/place/OrangeBake+Caf%C3%A9/data=!4m7!3m6!1s0x7ab1f22706c5ae1:0xcb47d6991951192d!8m2!3d-8.1282234!4d-34.905789!16s%2Fg%2F11tc9dkq6t!19sChIJ4VpscCIfqwcRLRlRGZnWR8s?authuser=0&hl=zh-TW&rclk=1
