place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJCTX3p6tXDkcRz6o8FWvcpas,Biedronka,,False,768,"Name: Delikatesy Centrum
link: https://www.google.com/maps/search/Delikatesy+Centrum/@50.7635326,16.1699755?authuser=0&hl=zh-TW&entry=ttu
Reviews: 248 reviews

Name: Media Expert
link: https://www.google.com/maps/search/Media+Expert/@50.7571541,16.212611499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 152 reviews

Name: Drogeria Rossmann
link: https://www.google.com/maps/search/Drogeria+Rossmann/@50.757201699999996,16.2134836?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@50.7572495,16.2123274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Odido. Sklep spozywczo - przemyslowy
link: https://www.google.com/maps/search/Odido.+Sklep+spo%C5%BCywczo+%E2%80%93+przemys%C5%82owy/@50.768651399999996,16.1753689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/113587027335813479361,https://lh5.googleusercontent.com/p/AF1QipMQnPFT5s-udOgpR1uobJvPrvY6Unvx_bGTaca-=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4.1,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Walbrzyska 8, 58-370 Boguszow-Gorce, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x470e57aba7f73509:0xaba5dc6b153caacf!8m2!3d50.757543!4d16.2142505!16s%2Fg%2F113k7slzb!19sChIJCTX3p6tXDkcRz6o8FWvcpas?authuser=0&hl=zh-TW&rclk=1
ChIJ4Wf4ptNXDkcRdyDgPO1cnFk,Biedronka,,False,565,"Name: Dino
link: https://www.google.com/maps/search/Dino/@50.7654387,16.1624667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 285 reviews

Name: Delikatesy Centrum
link: https://www.google.com/maps/search/Delikatesy+Centrum/@50.7635326,16.1699755?authuser=0&hl=zh-TW&entry=ttu
Reviews: 248 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@50.7634895,16.1698079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: Odido. Sklep spozywczo - przemyslowy
link: https://www.google.com/maps/search/Odido.+Sklep+spo%C5%BCywczo+%E2%80%93+przemys%C5%82owy/@50.768651399999996,16.1753689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Sklep spozywczy
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy/@50.764032099999994,16.1687042?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/105062589547653648616,https://lh5.googleusercontent.com/p/AF1QipPuIA-gzjCzGWj9zp8PnCk8gNRxMFvq7_kEIg0d=w426-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Romualda Traugutta 20, 58-371 Boguszow-Gorce, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x470e57d3a6f867e1:0x599c5ced3ce02077!8m2!3d50.7647159!4d16.1636239!16s%2Fg%2F113gblzkf!19sChIJ4Wf4ptNXDkcRdyDgPO1cnFk?authuser=0&hl=zh-TW&rclk=1
ChIJ0UXbnIRXDkcR0R3hKB7P_a4,Choco&Latte Bistro-Cafe,,False,490,"Name: Magdalenka
link: https://www.google.com/maps/search/Magdalenka/@50.7638992,16.1713412?authuser=0&hl=zh-TW&entry=ttu
Reviews: 546 reviews

Name: Baryt
link: https://www.google.com/maps/search/Baryt/@50.7567975,16.2045727?authuser=0&hl=zh-TW&entry=ttu
Reviews: 456 reviews

Name: Elplk
link: https://www.google.com/maps/search/Elplk/@50.7564997,16.2066798?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Choco-Cafe. Wisniewska J.
link: https://www.google.com/maps/search/Choco-Cafe.+Wi%C5%9Bniewska+J./@50.7474387,16.2937378?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.choco-latte.metro.biz/,Choco&Latte Bistro-Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117530344933541609277,https://lh5.googleusercontent.com/p/AF1QipPizKniBl68BXssi3y1muR6lv6c8rcUT-Z7xdng=w408-h402-k-no,Ka Pei Ting ,"Ka Pei Ting , Xiao Can Guan  (Bistro), Wu Can Can Ting , Xi Ban Ya Xiao Shi Can Ting ",4.9,10:00-19:00,Open All Days,+48 519 655 440,"Choco&Latte Bistro-Cafe, Glowna 34, 58-370 Boguszow-Gorce, Bo Lan ",,https://www.google.com/maps/place/Choco%26Latte+Bistro-Cafe/data=!4m7!3m6!1s0x470e57849cdb45d1:0xaefdcf1e28e11dd1!8m2!3d50.7568718!4d16.2075209!16s%2Fg%2F11h0t4f5r3!19sChIJ0UXbnIRXDkcR0R3hKB7P_a4?authuser=0&hl=zh-TW&rclk=1
ChIJPdp_e65XDkcRiheJxsNri8o,Biedronka,,False,422,"Name: Dino
link: https://www.google.com/maps/search/Dino/@50.755139899999996,16.2016547?authuser=0&hl=zh-TW&entry=ttu
Reviews: 241 reviews

Name: Media Expert
link: https://www.google.com/maps/search/Media+Expert/@50.7571541,16.212611499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 152 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@50.7572495,16.2123274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Odido. Sklep spozywczo - przemyslowy
link: https://www.google.com/maps/search/Odido.+Sklep+spo%C5%BCywczo+%E2%80%93+przemys%C5%82owy/@50.768651399999996,16.1753689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/114193579302834445440,https://lh5.googleusercontent.com/p/AF1QipNssmtp3e9FdQQtDr8hJ7TAZwdFwbgvoGveNNu-=w426-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",3.7,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Strazacka 7, 58-370 Boguszow-Gorce, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x470e57ae7b7fda3d:0xca8b6bc3c689178a!8m2!3d50.7558184!4d16.2053314!16s%2Fg%2F1tc_pqyl!19sChIJPdp_e65XDkcRiheJxsNri8o?authuser=0&hl=zh-TW&rclk=1
ChIJA9DKc9VXDkcRohScc_KHr8k,Dino,,False,285,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@50.764715900000006,16.1636239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 565 reviews

Name: Delikatesy Centrum
link: https://www.google.com/maps/search/Delikatesy+Centrum/@50.7635326,16.1699755?authuser=0&hl=zh-TW&entry=ttu
Reviews: 248 reviews

Name: Dino Market
link: https://www.google.com/maps/search/Dino+Market/@50.6656583,16.1863326?authuser=0&hl=zh-TW&entry=ttu
Reviews: 235 reviews

Name: Jedrus. Sklep spozywczy. Tyczkowski A.
link: https://www.google.com/maps/search/J%C4%99dru%C5%9B.+Sklep+spo%C5%BCywczy.+Tyczkowski+A./@50.7542585,16.2057914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Odido. Sklep spozywczo - przemyslowy
link: https://www.google.com/maps/search/Odido.+Sklep+spo%C5%BCywczo+%E2%80%93+przemys%C5%82owy/@50.768651399999996,16.1753689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://marketdino.pl/,Dino (Ye Zhu ),https://www.google.com/maps/contrib/108835576113167941127,https://lh5.googleusercontent.com/p/AF1QipOGHbXKG12T79q5LAdb-ZmBwJ0mk2qnPo2ZQqlp=w408-h306-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Rou Fan , Za Huo Dian ",4,06:00-22:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",,"Dino, Romualda Traugutta 27, 58-371 Boguszow-Gorce, Bo Lan ",,https://www.google.com/maps/place/Dino/data=!4m7!3m6!1s0x470e57d573cad003:0xc9af87f2739c14a2!8m2!3d50.7654387!4d16.1624667!16s%2Fg%2F1w2yy578!19sChIJA9DKc9VXDkcRohScc_KHr8k?authuser=0&hl=zh-TW&rclk=1
ChIJa2PKptNXDkcRSp8--t5Zvu8,Delikatesy Centrum,,False,248,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@50.764715900000006,16.1636239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 565 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@50.7634895,16.1698079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: Odido. Sklep spozywczo - przemyslowy
link: https://www.google.com/maps/search/Odido.+Sklep+spo%C5%BCywczo+%E2%80%93+przemys%C5%82owy/@50.768651399999996,16.1753689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Delikatesy pod Chelmcem
link: https://www.google.com/maps/search/Delikatesy+pod+Che%C5%82mcem/@50.7567135,16.2050843?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Sklep spozywczy
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy/@50.764032099999994,16.1687042?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.delikatesy.pl/,Delikatesy Centrum (Ye Zhu ),https://www.google.com/maps/contrib/110191626198556296904,https://lh5.googleusercontent.com/p/AF1QipP-oGKlnGzOPILBaMfwUAAds8cDdF3ufJyUNyh0=w408-h306-k-no,Za Huo Dian ,"Za Huo Dian , Shou Shi Dian , Chao Ji Shi Chang ",4.1,06:00-21:00,Xing Qi Ri ,+48 74 844 02 91,"Delikatesy Centrum, Romualda Traugutta 2A, 58-371 Boguszow-Gorce, Bo Lan ",,https://www.google.com/maps/place/Delikatesy+Centrum/data=!4m7!3m6!1s0x470e57d3a6ca636b:0xefbe59defa3e9f4a!8m2!3d50.7635326!4d16.1699755!16s%2Fg%2F1hc53t1vw!19sChIJa2PKptNXDkcRSp8--t5Zvu8?authuser=0&hl=zh-TW&rclk=1
ChIJ5T1aadJXDkcRudXbPwsmt6U,Dino,,False,241,"Name: Dino Market
link: https://www.google.com/maps/search/Dino+Market/@50.6656583,16.1863326?authuser=0&hl=zh-TW&entry=ttu
Reviews: 235 reviews

Name: Sklep U Reni
link: https://www.google.com/maps/search/Sklep+U+Reni/@50.751601,16.226853?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Jedrus. Sklep spozywczy. Tyczkowski A.
link: https://www.google.com/maps/search/J%C4%99dru%C5%9B.+Sklep+spo%C5%BCywczy.+Tyczkowski+A./@50.7542585,16.2057914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: SKLEP SPOZYWCZY ""JEDYNKA""
link: https://www.google.com/maps/search/SKLEP+SPO%C5%BBYWCZY+%22JEDYNKA%22/@50.7381376,16.226758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://marketdino.pl/,Dino (Ye Zhu ),https://www.google.com/maps/contrib/118393187252430227610,https://lh5.googleusercontent.com/p/AF1QipPz0agrzBPHwcqR2AiRI4eztLje5S5dkhY5xjXL=w408-h306-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4.3,06:00-22:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",,"Dino, Henryka Sienkiewicza 46a, 58-370 Boguszow-Gorce, Bo Lan ",,https://www.google.com/maps/place/Dino/data=!4m7!3m6!1s0x470e57d2695a3de5:0xa5b7260b3fdbd5b9!8m2!3d50.7551399!4d16.2016547!16s%2Fg%2F11fj5cb8ng!19sChIJ5T1aadJXDkcRudXbPwsmt6U?authuser=0&hl=zh-TW&rclk=1
ChIJCUvlgNRXDkcRPHTGlVgUPME,Restauracja Elsa,,False,164,"Name: Szyb Witold Pub & Restaurant
link: https://www.google.com/maps/search/Szyb+Witold+Pub+%26+Restaurant/@50.764020599999995,16.165518?authuser=0&hl=zh-TW&entry=ttu
Reviews: 641 reviews

Name: Magdalenka
link: https://www.google.com/maps/search/Magdalenka/@50.7638992,16.1713412?authuser=0&hl=zh-TW&entry=ttu
Reviews: 546 reviews

Name: Baryt
link: https://www.google.com/maps/search/Baryt/@50.7567975,16.2045727?authuser=0&hl=zh-TW&entry=ttu
Reviews: 456 reviews

Name: Restauracja Stodola
link: https://www.google.com/maps/search/Restauracja+Stodo%C5%82a/@50.7665297,16.2017092?authuser=0&hl=zh-TW&entry=ttu
Reviews: 246 reviews

Name: Pizza Time
link: https://www.google.com/maps/search/Pizza+Time/@50.768117399999994,16.1746503?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews",http://www.restauracja-elsa.com/,Restauracja Elsa (Ye Zhu ),https://www.google.com/maps/contrib/115589768459058060787,https://lh5.googleusercontent.com/p/AF1QipNV6vRI5T7byHa8Zdcs_hvYiLwJpmrXyXucg-hG=w408-h304-k-no,Can Ting ,"Can Ting , Jiu Ba , Ka Pei Ting , Ji Wei Jiu Jiu Ba , Bo Bing Su Di , Bo Bing Can Ting , Bo Bing Wai Mai Zi Qu , Bo Lan Can Ting , Hun Li Gao Bing Dian ",4.2,12:00-20:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San ",+48 889 467 898,"Restauracja Elsa, Romualda Traugutta 13a, 58-371 Boguszow-Gorce, Bo Lan ",,https://www.google.com/maps/place/Restauracja+Elsa/data=!4m7!3m6!1s0x470e57d480e54b09:0xc13c145895c6743c!8m2!3d50.7641291!4d16.1683241!16s%2Fg%2F1tcyd5nz!19sChIJCUvlgNRXDkcRPHTGlVgUPME?authuser=0&hl=zh-TW&rclk=1
ChIJF7up50dXDkcRadEWIFdb8tc,Zabka,,False,101,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@50.764715900000006,16.1636239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 565 reviews

Name: Delikatesy Centrum
link: https://www.google.com/maps/search/Delikatesy+Centrum/@50.7635326,16.1699755?authuser=0&hl=zh-TW&entry=ttu
Reviews: 248 reviews

Name: Zaklad Fryzerski Damsko - Meski
link: https://www.google.com/maps/search/Zak%C5%82ad+Fryzerski+Damsko+-+M%C4%99ski/@50.7635645,16.169457299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Odido. Sklep spozywczo - przemyslowy
link: https://www.google.com/maps/search/Odido.+Sklep+spo%C5%BCywczo+%E2%80%93+przemys%C5%82owy/@50.768651399999996,16.1753689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Sklep spozywczy
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy/@50.764032099999994,16.1687042?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.zabka.pl/,Zabka (Ye Zhu ),https://www.google.com/maps/contrib/102718628059999680596,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eFgpXME7mU9KaQn__yNuLQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=244.16245&pitch=0&thumbfov=100,Za Huo Dian ,"Za Huo Dian , Pi Jiu Zhuan Mai Dian , Ka Pei Ting , Su Di Fu Wu , Re Gou Can Ting , Song Bao Fu Wu , Jiu Pin Zhuan Mai Dian ",4,06:00-23:00,Open All Days,+48 61 856 37 00,"Zabka, Romualda Traugutta 5, 58-371 Boguszow-Gorce, Bo Lan ",,https://www.google.com/maps/place/%C5%BBabka/data=!4m7!3m6!1s0x470e5747e7a9bb17:0xd7f25b572016d169!8m2!3d50.7634895!4d16.1698079!16s%2Fg%2F11rjv2_mw8!19sChIJF7up50dXDkcRadEWIFdb8tc?authuser=0&hl=zh-TW&rclk=1
ChIJba1yaW9XDkcRT7VUhG-9yro,Zabka,,False,57,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@50.757543,16.214250500000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 767 reviews

Name: Jedrus. Sklep spozywczy. Tyczkowski A.
link: https://www.google.com/maps/search/J%C4%99dru%C5%9B.+Sklep+spo%C5%BCywczy.+Tyczkowski+A./@50.7542585,16.2057914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",https://www.zabka.pl/,Zabka (Ye Zhu ),https://www.google.com/maps/contrib/103325812707381261704,https://lh5.googleusercontent.com/p/AF1QipOytKn1tXgKNFVIS7lRMWjSv61oAAScQyswXbw6=w408-h839-k-no,Za Huo Dian ,"Za Huo Dian , Pi Jiu Zhuan Mai Dian , Ka Pei Ting , Su Di Fu Wu , Re Gou Can Ting , Song Bao Fu Wu , Jiu Pin Zhuan Mai Dian ",3.1,06:00-23:00,Open All Days,+48 61 856 37 00,"Zabka, plac Odrodzenia 13, 58-370 Boguszow-Gorce, Bo Lan ",,https://www.google.com/maps/place/%C5%BBabka/data=!4m7!3m6!1s0x470e576f6972ad6d:0xbacabd6f8454b54f!8m2!3d50.756785!4d16.2045618!16s%2Fg%2F11fv71htk5!19sChIJba1yaW9XDkcRT7VUhG-9yro?authuser=0&hl=zh-TW&rclk=1
