place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJRwZzOvUBBDQRdpc8bO8r-mc,Da Zha Ge Cha Ji ,,False,853,"Name: Long Cheng Bing Shi 
link: https://www.google.com/maps/search/%E9%BE%8D%E5%9F%8E%E5%86%B0%E5%AE%A4/@22.32538,114.21504399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 942 reviews

Name: Ri Yue Xing Kuai Can Dian 
link: https://www.google.com/maps/search/%E6%97%A5%E6%9C%88%E6%98%9F%E5%BF%AB%E9%A4%90%E5%BA%97/@22.3262794,114.2148319?authuser=0&hl=zh-TW&entry=ttu
Reviews: 321 reviews

Name: Da Jia Le 
link: https://www.google.com/maps/search/%E5%A4%A7%E5%AE%B6%E6%A8%82/@22.3214703,114.213084?authuser=0&hl=zh-TW&entry=ttu
Reviews: 268 reviews

Name: Jiu Long Bing Shi 
link: https://www.google.com/maps/search/%E4%B9%9D%E9%BE%8D%E5%86%B0%E5%AE%A4/@22.323238399999997,114.21048739999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 160 reviews

Name: Zha Ge 
link: https://www.google.com/maps/search/%E6%B8%A3%E5%93%A5/@22.3225154,114.2127467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 152 reviews",https://zh-hk.facebook.com/JarGor1996,Da Zha Ge Cha Ji  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPkQdboXROJYmdstRVU2TMESDsU6IzmRqZiujAo=w408-h306-k-no,Ya Zhou Cai Can Ting ,"Ya Zhou Cai Can Ting , Jiu Lou ",4.2,07:00-21:30,Open All Days,2555 1996,Jiu Long Wan Chang Yue Dao 21Hao The Eastmark Di Xia Da Zha Ge Cha Ji ,"Cha Can Ting , Zao Can , Nai Cha , Bei , Sha Dia , Chao Dan , Ju , Niu Rou Mian , Zhu Ba , Jian ",https://www.google.com/maps/place/%E5%A4%A7%E6%B8%A3%E5%93%A5%E8%8C%B6%E8%A8%98/data=!4m7!3m6!1s0x340401f53a730647:0x67fa2bef6c3c9776!8m2!3d22.3221292!4d114.2111059!16s%2Fg%2F11l9l130rm!19sChIJRwZzOvUBBDQRdpc8bO8r-mc?authuser=0&hl=zh-TW&rclk=1
ChIJHybb_BuboRQRgJKMAF-jff0,Coffee Bike,,False,464,"Name: bike
link: https://www.google.com/maps/search/bike/@37.9753866,23.767653499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 622 reviews

Name: Coffee Berry Pallene
link: https://www.google.com/maps/search/Coffee+Berry+%CE%A0%CE%B1%CE%BB%CE%BB%CE%AE%CE%BD%CE%B7/@38.0038595,23.881817299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@38.0036579,23.879852399999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Sport Cafe S.A.
link: https://www.google.com/maps/search/Sport+Cafe+S.A./@37.9234125,23.7411528?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",http://www.coffeebike.net/,Coffee Bike (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPaLl9Be6kfUEZl1wkU36kHnUAtFTBT6c-r3DDs=w408-h472-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,06:45-17:00,Open All Days,+30 21 6900 3030,"Coffee Bike, Pallini 190 09Xi La ","Xiao Chi , Guo Zhi ",https://www.google.com/maps/place/Coffee+Bike/data=!4m7!3m6!1s0x14a19b1bfcdb261f:0xfd7da35f008c9280!8m2!3d37.9974386!4d23.9236632!16s%2Fg%2F11b81y07bd!19sChIJHybb_BuboRQRgJKMAF-jff0?authuser=0&hl=zh-TW&rclk=1
ChIJgaHutFK5M0cR1cg-Gr6QYRc,Coffee-Bike Cafe,,False,313,"Name: Lounge Coffee
link: https://www.google.com/maps/search/Lounge+Coffee/@48.675798799999995,26.5736552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: Black Cocaine Coffee
link: https://www.google.com/maps/search/Black+Cocaine+Coffee/@48.6863514,26.5871796?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Kav'yarnya Podil's'ka Kava
link: https://www.google.com/maps/search/Kav%27yarnya+Podil%CA%B9s%CA%B9ka+Kava/@48.675002299999996,26.571781899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.instagram.com/coffeebike.kp/,Coffee-Bike Cafe (Ye Zhu ),https://www.google.com/maps/contrib/101044211809300701897,https://lh5.googleusercontent.com/p/AF1QipNNYuHIp_NsC8C2ueKdxbr_anbVnGfdKRIm02XJ=w425-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Zheng Liu Ka Pei Ba ",4.6,08:00-22:00,Open All Days,+380 97 539 4793,"Coffee-Bike Cafe, Soborna St, 9, Kam'yanets'-Podil's'kyi, Khmelnytskyi Oblast, Wu Ke Lan 32301","Jia Ge , Zao Can , Gao ",https://www.google.com/maps/place/Coffee-Bike+Cafe/data=!4m7!3m6!1s0x4733b952b4eea181:0x176190be1a3ec8d5!8m2!3d48.6795354!4d26.5856266!16s%2Fg%2F11ll55f61z!19sChIJgaHutFK5M0cR1cg-Gr6QYRc?authuser=0&hl=zh-TW&rclk=1
ChIJIa0hOOwABDQRNYDLHrT7w6c,HABITU,,False,281,"Name: Burgeroom
link: https://www.google.com/maps/search/Burgeroom/@22.300934100000003,114.17263709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 540 reviews

Name: The Chop House
link: https://www.google.com/maps/search/The+Chop+House/@22.300797,114.172178?authuser=0&hl=zh-TW&entry=ttu
Reviews: 303 reviews

Name: Mei Qiu Shou Si Mei Deng Li Zong Ben Dian 
link: https://www.google.com/maps/search/%E6%A2%85%E4%B8%98%E5%A3%BD%E5%8F%B8%E7%BE%8E%E7%99%BB%E5%88%A9%E7%B8%BD%E6%9C%AC%E5%BA%97/@22.3006559,114.1721209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Hermit Cafe and Bar
link: https://www.google.com/maps/search/Hermit+Cafe+and+Bar/@22.2968838,114.1747291?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",http://www.habitu.com.hk/,HABITU (Ye Zhu ),https://www.google.com/maps/contrib/113371757391414165110,https://lh5.googleusercontent.com/p/AF1QipMLYVWPY8ZUt-b1Xq349P7jJ3kjJPL3WXpH8KiW=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Ting , Ka Pei Dian , Kuai Di Gong Si , Wai Song Su Di Can Ting ",3.8,11:30-22:00,Open All Days,,"HABITU Shop B142, B1, Mira Place 1, Tsim Sha Tsui","Ka Pei , Jia Ge , Shu Shi , Yi Fen , Jiang Zhi , Yi Da Li Fan , pizza, San Wen Yu , Dan ",https://www.google.com/maps/place/HABIT%C5%AA/data=!4m7!3m6!1s0x340400ec3821ad21:0xa7c3fbb41ecb8035!8m2!3d22.3009313!4d114.1721837!16s%2Fg%2F11gbkxp3b9!19sChIJIa0hOOwABDQRNYDLHrT7w6c?authuser=0&hl=zh-TW&rclk=1
ChIJy30GVnS4M0cR5vlHQRaspYo,Coffee-Bike-Centre,,False,249,"Name: Lounge Coffee
link: https://www.google.com/maps/search/Lounge+Coffee/@48.675798799999995,26.5736552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: Black Cocaine Coffee
link: https://www.google.com/maps/search/Black+Cocaine+Coffee/@48.67607640000001,26.5897224?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: LUX COFFEE
link: https://www.google.com/maps/search/LUX+COFFEE/@48.6778712,26.5873426?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.instagram.com/coffeebike.kp/,Coffee-Bike-Centre (Ye Zhu ),https://www.google.com/maps/contrib/112490323321570731299,https://lh5.googleusercontent.com/p/AF1QipPIy1q1yssWx2UtjiXAnIrH8Py0RiHgc7k4aynE=w425-h240-k-no,Zheng Liu Ka Pei Ba ,Zheng Liu Ka Pei Ba ,4.8,08:00-21:00,Open All Days,+380 97 539 4793,"Coffee-Bike-Centre, Haharina St, 43, Kam'yanets'-Podil's'kyi, Khmelnytskyi Oblast, Wu Ke Lan 32301",Ka Pei Shi ,https://www.google.com/maps/place/Coffee-Bike-Centre/data=!4m7!3m6!1s0x4733b87456067dcb:0x8aa5ac164147f9e6!8m2!3d48.6814825!4d26.5896117!16s%2Fg%2F11c6v4z1p3!19sChIJy30GVnS4M0cR5vlHQRaspYo?authuser=0&hl=zh-TW&rclk=1
ChIJ0YP7wSkBBDQRC1QExjZrZc0,FINEPRINT,,False,233,"Name: Peace
link: https://www.google.com/maps/search/Peace/@22.2810508,114.19209219999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: HeyDay Cafe
link: https://www.google.com/maps/search/HeyDay+Cafe/@None,None?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: 101 Binary
link: https://www.google.com/maps/search/101+Binary/@22.2846427,114.19229179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: FINEPRINT Pop-up
link: https://www.google.com/maps/search/FINEPRINT+Pop-up/@22.285285899999998,114.16172209999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.fineprint.hk/,FINEPRINT (Ye Zhu ),https://www.google.com/maps/contrib/105094297650758967268,https://lh5.googleusercontent.com/p/AF1QipPUgHhOC4WMh7A1Lk7zGfQLs9pGFUhR3FVkFEzm=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Zheng Liu Ka Pei Ba , Pu Tao Jiu Ba ",4.2,06:00-18:00,Open All Days,5331 5205,"FINEPRINT, 1 Lily St, Tai Hang","Suan Zhong , flat white, Gou , Gao , Zao Wu Can , Niu Jiao Bao , Wai Dai ",https://www.google.com/maps/place/FINEPRINT/data=!4m7!3m6!1s0x34040129c1fb83d1:0xcd656b36c604540b!8m2!3d22.2793829!4d114.1923995!16s%2Fg%2F11fj2wzj2_!19sChIJ0YP7wSkBBDQRC1QExjZrZc0?authuser=0&hl=zh-TW&rclk=1
ChIJdXkObuq5M0cRpcKqAXLVs9U,Coffee-Bike,,False,233,"Name: Lounge Coffee
link: https://www.google.com/maps/search/Lounge+Coffee/@48.675798799999995,26.5736552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: Black Cocaine Coffee
link: https://www.google.com/maps/search/Black+Cocaine+Coffee/@48.667810599999996,26.5847595?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: LUX COFFEE
link: https://www.google.com/maps/search/LUX+COFFEE/@48.6778712,26.5873426?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.instagram.com/coffeebike.kp/,Coffee-Bike (Ye Zhu ),https://www.google.com/maps/contrib/114411797181532924293,https://lh5.googleusercontent.com/p/AF1QipMSz18QonoKmPlQU8gd9GCVkKMER6pQFA8dHc6O=w408-h543-k-no,Ka Pei Dian ,"Ka Pei Dian , Zheng Liu Ka Pei Ba ",4.6,08:00-22:00,Open All Days,+380 97 539 4793,"Coffee-Bike, Lesi Ukrainky St, 81, Kam'yanets'-Podil's'kyi, Khmelnytskyi Oblast, Wu Ke Lan 32300",,https://www.google.com/maps/place/Coffee-Bike/data=!4m7!3m6!1s0x4733b9ea6e0e7975:0xd5b3d57201aac2a5!8m2!3d48.668688!4d26.5831282!16s%2Fg%2F11g1lrwljy!19sChIJdXkObuq5M0cRpcKqAXLVs9U?authuser=0&hl=zh-TW&rclk=1
ChIJ30Ov-HepQjQRpiC_NxpmEeY,N2-coffee Bike Dan Qi Leng Cui Ka Pei ,,False,225,"Name: Te You Zhong Shang Xing Realguts cafe(Yi Wen Ka Pei )
link: https://www.google.com/maps/search/%E7%89%B9%E6%9C%89%E7%A8%AE%E5%95%86%E8%A1%8CRealguts+cafe%EF%BC%88%E8%97%9D%E6%96%87%E5%92%96%E5%95%A1%EF%BC%89/@25.0409178,121.5307165?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1953 reviews

Name: SUGARbISTRO(Xiao Shi Tang )
link: https://www.google.com/maps/search/SUGARbISTRO%EF%BC%88%E5%B0%8F%E9%A3%9F%E7%B3%96%EF%BC%89/@25.034252,121.52946800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1538 reviews

Name: TWO SHOTS Dong Men Dian 
link: https://www.google.com/maps/search/TWO+SHOTS+%E6%9D%B1%E9%96%80%E5%BA%97/@25.033806799999997,121.5277303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 277 reviews

Name: Condos coffee&tea
link: https://www.google.com/maps/search/Condos+coffee%26tea/@25.0361352,121.52703369999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://n2-coffee-bike.business.site/,N2-coffee Bike Dan Qi Leng Cui Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/100786937856933435738,https://lh5.googleusercontent.com/p/AF1QipNW3YD0_210h0QUU5qgNcvKujXIlIWFOYHfUBDG=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,11:30-18:30,Open All Days,+886 958 215 106,100Tai Wan Tai Bei Shi Zhong Zheng Qu Xin Yi Lu Er Duan 17Xiang 10Hao N2-coffee Bike Dan Qi Leng Cui Ka Pei ,"Pi Jiu , Kou Gan , Hong Cha , Tian , Dian Mian , Pao Mo , Wai Dai , Bei ",https://www.google.com/maps/place/N2-coffee+Bike+%E6%B0%AE%E6%B0%A3%E5%86%B7%E8%90%83%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3442a977f8af43df:0xe611661a37bf20a6!8m2!3d25.035834!4d121.5255763!16s%2Fg%2F11c37hyxwt!19sChIJ30Ov-HepQjQRpiC_NxpmEeY?authuser=0&hl=zh-TW&rclk=1
ChIJPdrvrvL4AzQRbfi36RkoFu0,Xing Ba Ke  (Lu Yang Fang ),"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,172,"Name: Xing Ba Ke  (Hai Yi Ban Dao )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E6%B5%B7%E6%80%A1%E5%8D%8A%E5%B3%B6%29/@22.243852399999998,114.14633289999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: STARBUCKS COFFEE
link: https://www.google.com/maps/search/STARBUCKS+COFFEE/@22.370707300000003,114.11438000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Xing Ba Ke  (Shan Ding )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E5%B1%B1%E9%A0%82%29/@22.2706014,114.1496652?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: Tai Ping Yang Ka Pei 
link: https://www.google.com/maps/search/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/@22.373136499999998,114.118754?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Flash Coffee
link: https://www.google.com/maps/search/Flash+Coffee/@22.3694767,114.11744619999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",http://www.starbucks.com.hk/,Xing Ba Ke  (Lu Yang Fang ) (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM_Whf3OQb-hSP1_xCmk3O-ae4fBqz17-aqsXrZ=w533-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,3.6,07:30-22:00,Open All Days,2237 1895,Quan Wan Hui Quan Lu 22Hao Lu Yang Xin Cun KZuo Xing Ba Ke  (Lu Yang Fang ),Fu Wu ,https://www.google.com/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E7%B6%A0%E9%99%BD%E5%9D%8A%29/data=!4m7!3m6!1s0x3403f8f2aeefda3d:0xed162819e9b7f86d!8m2!3d22.3731082!4d114.1197019!16s%2Fg%2F11c3ysdsfb!19sChIJPdrvrvL4AzQRbfi36RkoFu0?authuser=0&hl=zh-TW&rclk=1
ChIJkbw9iZcIBDQRnwME6q12HM0,Xing Ba Ke  (Ke Xue Yuan ),"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,159,"Name: Tai Ping Yang Ka Pei 
link: https://www.google.com/maps/search/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/@22.4257081,114.2122059?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: sensory ZERO - Science Park
link: https://www.google.com/maps/search/sensory+ZERO+-+Science+Park/@22.4267555,114.20876679999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: SMACK
link: https://www.google.com/maps/search/SMACK/@22.4270578,114.20940999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: NUK Cafe Hong Kong
link: https://www.google.com/maps/search/NUK+Caf%C3%A9+Hong+Kong/@22.426724399999998,114.21072199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.388932,114.20874520000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://www.starbucks.com.hk/,Xing Ba Ke  (Ke Xue Yuan ) (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM9N28KYCdTJCY_1xnA-0wwJCvNvdW1iTzu3UfS=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,07:30-19:00,Open All Days,2655 9909,Ke Xue Yuan Ke Ji Da Dao Dong 1Hao He Xin Da Lou Yi Zuo Xing Ba Ke  (Ke Xue Yuan ),"Fu Wu , Ke Xue , Huan Jing , Pin Zhi ",https://www.google.com/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E7%A7%91%E5%AD%B8%E5%9C%92%29/data=!4m7!3m6!1s0x34040897893dbc91:0xcd1c76adea04039f!8m2!3d22.4251031!4d114.2132912!16s%2Fg%2F11c1pg27x_!19sChIJkbw9iZcIBDQRnwME6q12HM0?authuser=0&hl=zh-TW&rclk=1
