place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJCxw3J1TjLj4Rnw5JE-Us01M,bwnq kfyh llqhw@ lmkhtS@,,False,1090,"Name: Capri Cafe
link: https://www.google.com/maps/search/Capri+Cafe/@24.792716199999997,46.648964799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2586 reviews

Name: wrjnyk dryb
link: https://www.google.com/maps/search/%D8%A7%D9%88%D8%B1%D8%AC%D8%A7%D9%86%D9%8A%D9%83+%D8%AF%D8%B1%D9%8A%D8%A8/@24.808325699999997,46.6389159?authuser=0&hl=zh-TW&entry=ttu
Reviews: 356 reviews

Name: Oga coffee
link: https://www.google.com/maps/search/%C3%96ga+coffee/@24.8081875,46.638687499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 179 reviews

Name: BUNA Cafe in advsto
link: https://www.google.com/maps/search/BUNA+Cafe+in+advsto/@24.7466881,46.723195000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: qhw@ nwq
link: https://www.google.com/maps/search/%D9%82%D9%87%D9%88%D8%A9+%D9%86%D9%88%D9%82%D8%A7/@24.7509445,46.7221267?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://bonga-coffee-shop.business.site/%3Fm%3Dtrue,bwnq kfyh llqhw@ lmkhtS@ (Ye Zhu ),https://www.google.com/maps/contrib/100960886138034343208,https://lh5.googleusercontent.com/p/AF1QipOSaX1v8YxXg37L589iaYK5PiTUJSttB-I1Rren=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Yi Lang Ka Pei Ting , Ka Pei Ting , Qiao Ke Li Ka Pei Guan , Ka Pei Fan Mai Ji , Tang Guo Gao Bing Dian , Zheng Liu Ka Pei Ba , Cha Yi Guan ",4.4,,Open All Days,+966 50 430 3408,"bwnq kfyh llqhw@ lmkhtS@, mjm` wrkyd ltjry, Tryq ltkhSSy Hy, As Sahafah, Riyadh 13315Sha Di A La Bo ","flat white, Zhu Bao , Xiang Fa , Ti La Mi Su , Ru Luo Dan Gao , Mang Guo , Kai Xin Guo , Zheng ",https://www.google.com/maps/place/%D8%A8%D9%88%D9%86%D9%82%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D9%84%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%B5%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2ee35427371c0b:0x53d32ce513490e9f!8m2!3d24.7882967!4d46.646884!16s%2Fg%2F11hk9ccx52!19sChIJCxw3J1TjLj4Rnw5JE-Us01M?authuser=0&hl=zh-TW&rclk=1
ChIJAQBACzMBBDQRFS4LR8h_AM8,Boncafe (Hong Kong) Limited | Coffee Machine Purchase / Rental | Coffee Beans & Capsules,,False,4,"Name: Coffee Corner by FOREX
link: https://www.google.com/maps/search/Coffee+Corner+by+FOREX/@22.322350999999998,114.208449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Yi Xian Nong Ka Pei You Xian Gong Si 
link: https://www.google.com/maps/search/%E5%A3%B9%E9%AE%AE%E6%BF%83%E5%92%96%E5%95%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/@22.316928,114.215153?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Black Mellow
link: https://www.google.com/maps/search/Black+Mellow/@22.3219984,114.20923590000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: La Marzocco Hong Kong Xiang Gang 
link: https://www.google.com/maps/search/La+Marzocco+Hong+Kong+%E9%A6%99%E6%B8%AF/@22.3119922,114.22042789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.boncafe.com.hk/,Boncafe (Hong Kong) Limited | Coffee Machine Purchase / Rental | Coffee Beans & Capsules (Ye Zhu ),https://www.google.com/maps/contrib/103152631127504085411,https://lh5.googleusercontent.com/p/AF1QipPdgSWOVrocdSdMIU6AnPU-2v0VPjoq7NRgGUxQ=w408-h270-k-no,Ka Pei Hong Bei Shang ,"Ka Pei Hong Bei Shang , Ka Pei Ji Gong Ying Shang , Ka Pei Pi Fa Shang ",4.3,09:00-18:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Liu , Xing Qi Ri ",2415 6080,"Boncafe (Hong Kong) Limited | Coffee Machine Purchase / Rental | Coffee Beans & CapsulesNan Feng Shang Ye Zhong Xin  Unit 1520, 15/F, No.19 Lam Lok St, Kowloon Bay",,https://www.google.com/maps/place/Boncaf%C3%A9+%28Hong+Kong%29+Limited+%7C+Coffee+Machine+Purchase+%2F+Rental+%7C+Coffee+Beans+%26+Capsules/data=!4m7!3m6!1s0x340401330b400001:0xcf007fc8470b2e15!8m2!3d22.3227562!4d114.2077498!16s%2Fg%2F11df0ry8h1!19sChIJAQBACzMBBDQRFS4LR8h_AM8?authuser=0&hl=zh-TW&rclk=1
ChIJETRmMpsBlzMRoYVIklzGr-s,Caffeinated Ally,,False,1,"Name: Balangay Cafe
link: https://www.google.com/maps/search/Balangay+Cafe/@14.938893199999997,120.92667320000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Kamote n' Bites
link: https://www.google.com/maps/search/Kamote+n%27+Bites/@14.944791799999999,120.9071552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Beans&Bites.
link: https://www.google.com/maps/search/Beans%26Bites./@14.955304600000002,120.91025599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: TEAMANGO - BUISAN
link: https://www.google.com/maps/search/TEAMANGO+-+BUISAN/@14.906425100000002,120.91725869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/QBBulacan,Caffeinated Ally (Ye Zhu ),https://www.google.com/maps/contrib/112127362645780848415,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FiAMyxOYXpB3QEZUAfde-w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=213.34276&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,5,11:00-18:00,Xing Qi Si ,+63 915 351 1492,"Caffeinated Ally, 492 Gonzales Subdivision, Bustos, 3007 Bulacan, Fei Lu Bin ",,https://www.google.com/maps/place/Caffeinated+Ally/data=!4m7!3m6!1s0x3397019b32663411:0xebafc65c924885a1!8m2!3d14.9587493!4d120.9427335!16s%2Fg%2F11sqv9y0xk!19sChIJETRmMpsBlzMRoYVIklzGr-s?authuser=0&hl=zh-TW&rclk=1
ChIJf2B3wVYBlzMRX0BY2n1BlGI,Brewing Dreams,,False,,,https://www.facebook.com/profile.php?id=100067406432089&mibextid=ZbWKwL,Brewing Dreams (Ye Zhu ),https://www.google.com/maps/contrib/106446694584516698153,https://lh5.googleusercontent.com/p/AF1QipNokYlxYoUYPrXHHyqYbhFdEbYwj0mvAsoguxVh=w408-h543-k-no,Ka Pei Dian ,Ka Pei Dian ,,10:00-23:00,Open All Days,+63 970 027 5514,"Brewing Dreams, 604 Claro Santos, Bustos, 3007 Bulacan, Fei Lu Bin ",,https://www.google.com/maps/place/Brewing+Dreams/data=!4m7!3m6!1s0x33970156c177607f:0x6294417dda58405f!8m2!3d14.9504575!4d120.9390247!16s%2Fg%2F11stjbk01t!19sChIJf2B3wVYBlzMRX0BY2n1BlGI?authuser=0&hl=zh-TW&rclk=1
ChIJUQPI5ncAlzMRbPNxJUsQWEs,Cafe Apolonio and Restaurant sa Bahay Na Bato,,False,195,"Name: Cafe Portillo
link: https://www.google.com/maps/search/Cafe+Portillo/@14.9560029,120.90947609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 266 reviews

Name: RICOS Bustos
link: https://www.google.com/maps/search/RICOS+Bustos/@14.9480409,120.91470269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 172 reviews

Name: Kusina ni Utoy
link: https://www.google.com/maps/search/Kusina+ni+Utoy/@14.951036600000002,120.9384338?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Manang N' Loly's Food Corner
link: https://www.google.com/maps/search/Manang+N%27+Loly%27s+Food+Corner/@14.952910699999999,120.9176607?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Bikoy's
link: https://www.google.com/maps/search/Bikoy%27s/@14.953185999999999,120.915691?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Apolonio and Restaurant sa Bahay Na Bato (Ye Zhu ),https://www.google.com/maps/contrib/117197253508167299861,https://lh5.googleusercontent.com/p/AF1QipMloX-duHl0qNchjEc_mo7yo48tnfa7G9Dd50zA=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Yi Lang Ka Pei Ting , Zao Wu Can Can Ting , Zi Zhu Can Ting , Dao Hui Fu Wu , Mei Shi Can Che Dian , Biao Yan Chang Di , Fei Lu Bin Can Ting , Mei Shi Guang Chang , Can Ting ",4.4,11:00-21:00,Open All Days,+63 945 761 9877,"194, Cafe Apolonio and Restaurant sa Bahay Na Bato, 135 General Alejo G. Santos Hwy, Bustos, 3007 Bulacan, Fei Lu Bin ","Wu , Can , Mi , Ting Che , Hai Xian , Qian , Bing Cha , atmosphere",https://www.google.com/maps/place/Cafe+Apolonio+and+Restaurant+sa+Bahay+Na+Bato/data=!4m7!3m6!1s0x33970077e6c80351:0x4b58104b2571f36c!8m2!3d14.9502994!4d120.9287672!16s%2Fg%2F11cky7hkcl!19sChIJUQPI5ncAlzMRbPNxJUsQWEs?authuser=0&hl=zh-TW&rclk=1
ChIJp8lthc6x-DkR8G1XHfBG5p4,The Bong Cafe,,False,39,"Name: British Cafe
link: https://www.google.com/maps/search/British+Cafe/@22.8396206,88.651726?authuser=0&hl=zh-TW&entry=ttu
Reviews: 537 reviews

Name: Panda Cafe
link: https://www.google.com/maps/search/Panda+Cafe/@22.8366456,88.7017678?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: Cafeteria
link: https://www.google.com/maps/search/Cafeteria/@22.8289334,88.64014279999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Amazing Cafe
link: https://www.google.com/maps/search/Amazing+Cafe/@22.8366875,88.6444375?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,The Bong Cafe (Ye Zhu ),https://www.google.com/maps/contrib/100893877206512576348,https://lh5.googleusercontent.com/p/AF1QipO0k_iarIgu3sHGpip_UkoSC5g2Cjx4-kZKCnO8=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.5,14:00-22:00,Xing Qi Yi ,,"The Bong Cafe, Jirat Rd, Habra, West Bengal 743268Yin Du ",,https://www.google.com/maps/place/The+Bong+Cafe/data=!4m7!3m6!1s0x39f8b1ce856dc9a7:0x9ee646f01d576df0!8m2!3d22.8415295!4d88.6487786!16s%2Fg%2F11hdw5s4cs!19sChIJp8lthc6x-DkR8G1XHfBG5p4?authuser=0&hl=zh-TW&rclk=1
ChIJdQ6AcEXVBDkRpvu0BYaKNLM,Bonga Forever,,False,28,"Name: Stark Cafe
link: https://www.google.com/maps/search/Stark+Cafe/@31.713971799999996,76.5263477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Mr. Guleria's cafe
link: https://www.google.com/maps/search/Mr.+Guleria%27s+cafe/@31.6861745,76.52130919999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Gupshup with Cupshup
link: https://www.google.com/maps/search/Gupshup+with+Cupshup/@31.7002469,76.519949?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Cafe hideout reloaded
link: https://www.google.com/maps/search/Cafe+hideout+reloaded/@31.699668100000004,76.51847409999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",,Bonga Forever (Ye Zhu ),https://www.google.com/maps/contrib/102837595678577461622,https://lh5.googleusercontent.com/p/AF1QipNNv8xvEsFdky_X38YEjIn4stqUsYhhUCOTsoEo=w508-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:30-22:30,Open All Days,,"Bonga Forever, V.P.O Daruhi gopalnagar Teh. &, Distt, Hamirpur, Himachal Pradesh 177001Yin Du ",,https://www.google.com/maps/place/Bonga+Forever/data=!4m7!3m6!1s0x3904d54570800e75:0xb3348a8605b4fba6!8m2!3d31.692724!4d76.502121!16s%2Fg%2F11tj0nhbkd!19sChIJdQ6AcEXVBDkRpvu0BYaKNLM?authuser=0&hl=zh-TW&rclk=1
ChIJPZei8Gu9rhcR90fRzLEAtB8,Coffee Land Hotel,,False,21,"Name: Bonga green view hotel
link: https://www.google.com/maps/search/Bonga+green+view+hotel/@7.2665016,36.2446193?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Bahidar Hotel @Bonga baahhere daare hoteele
link: https://www.google.com/maps/search/Bahidar+Hotel+%40Bonga+%E1%89%A3%E1%88%95%E1%88%AD+%E1%8B%B3%E1%88%AD+%E1%88%86%E1%89%B4%E1%88%8D/@7.2642031,36.246711499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Tilahun Hotel, Bonga
link: https://www.google.com/maps/search/Tilahun+Hotel%2C+Bonga/@7.282849400000001,36.2269096?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Harone Hotel haronee hoteele
link: https://www.google.com/maps/search/Harone+Hotel+%E1%88%80%E1%88%AE%E1%8A%94+%E1%88%86%E1%89%B4%E1%88%8D/@7.2838221999999995,36.236913699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Coffee Land Hotel (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOhRooheW-6GG7lm7pvTvPg9rIQrrVSEApNkgBb=w533-h240-k-no,Jiu Dian ,Jiu Dian ,3.5,,Open All Days,+251 47 331 0010,"769W+2CX Coffee Land Hotel, Bonga, Ai Sai E Bi Ya ",Ka Pei ,https://www.google.com/maps/place/Coffee+Land+Hotel/data=!4m7!3m6!1s0x17aebd6bf0a2973d:0x1fb400b1ccd147f7!8m2!3d7.2676043!4d36.2460986!16s%2Fg%2F11c5xwjp1j!19sChIJPZei8Gu9rhcR90fRzLEAtB8?authuser=0&hl=zh-TW&rclk=1
ChIJPQ5cuJm9rhcR61lUK6L-kyU,"NATIONAL MUSEUM OF COFFEE, BONGA",,False,5,"Name: Kafa Biosphere Reserve
link: https://www.google.com/maps/search/Kafa+Biosphere+Reserve/@7.369928100000001,36.0564877?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: The Orgin of Coffee Lodge
link: https://www.google.com/maps/search/The+Orgin+of+Coffee+Lodge/@7.2509361000000006,36.252036000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Bonga library
link: https://www.google.com/maps/search/Bonga+library/@7.267189300000001,36.2467986?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Coffeehouse
link: https://www.google.com/maps/search/Coffeehouse/@7.2691782,36.2446753?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,"NATIONAL MUSEUM OF COFFEE, BONGA (Ye Zhu )",,https://lh5.googleusercontent.com/p/AF1QipOAWHLZ1rSoPQSbt-nC4dJgdKR0T25ULeyyu_fi=w493-h240-k-no,Bo Wu Guan ,Bo Wu Guan ,2.8,,Open All Days,+251 92 094 9305,"766X+X8Q NATIONAL MUSEUM OF COFFEE, BONGA, Bonga, Ai Sai E Bi Ya ",,"https://www.google.com/maps/place/NATIONAL+MUSEUM+OF+COFFEE,+BONGA/data=!4m7!3m6!1s0x17aebd99b85c0e3d:0x2593fea22b5459eb!8m2!3d7.2624736!4d36.248368!16s%2Fg%2F11flpng0t2!19sChIJPQ5cuJm9rhcR61lUK6L-kyU?authuser=0&hl=zh-TW&rclk=1"
ChIJa_597OSZ-zkRhM_cqCZBgYY,"Pachu Tea stall, Bonga Chandoil",,False,4,"Name: bhrraa caayyer aaddddaa ( Bohora Tea Stall)
link: https://www.google.com/maps/search/%E0%A6%AC%E0%A6%B9%E0%A7%9C%E0%A6%BE+%E0%A6%9A%E0%A6%BE%E0%A7%9F%E0%A7%87%E0%A6%B0+%E0%A6%86%E0%A6%A1%E0%A7%8D%E0%A6%A1%E0%A6%BE+%28+Bohora+Tea+Stall%29/@24.709656199999998,88.5027494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Mohon tea stall
link: https://www.google.com/maps/search/Mohon+tea+stall/@24.709993599999997,88.5035908?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Horipur Tea & Coffee House
link: https://www.google.com/maps/search/Horipur+Tea+%26+Coffee+House/@24.5752246,88.29492809999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Kharikadanga tea stall
link: https://www.google.com/maps/search/Kharikadanga+tea+stall/@24.785484099999998,88.4917638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Taijul Tea Stall
link: https://www.google.com/maps/search/Taijul+Tea+Stall/@24.818749099999998,88.5343575?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,"Pachu Tea stall, Bonga Chandoil (Ye Zhu )",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9C5VpRlLWSsNxD86EaQjXA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=8.768664&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,4.5,,Open All Days,,"QFRH+9PM Pachu Tea stall, Bonga Chandoil, Unnamed Road, Meng Jia La ",,"https://www.google.com/maps/place/Pachu+Tea+stall,+Bonga+Chandoil/data=!4m7!3m6!1s0x39fb99e4ec7dfe6b:0x86814126a8dccf84!8m2!3d24.7909505!4d88.4792956!16s%2Fg%2F11nn0_hfyp!19sChIJa_597OSZ-zkRhM_cqCZBgYY?authuser=0&hl=zh-TW&rclk=1"
