place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJoTFQ0em9jBIRjOMW3b5nEsg,Beninou Gelato,,False,30,"Name: Softy BBA
link: https://www.google.com/maps/search/Softy+BBA/@36.0706153,4.7560964?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: brj 
link: https://www.google.com/maps/search/%D8%A8%D8%B1%D8%AC+%E2%80%8F/@36.0864938,4.645035?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: zinette gelato
link: https://www.google.com/maps/search/zinette+gelato/@36.0792919,4.7626308?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://facebook.com/100032758067141/,Beninou Gelato (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPr1bvXEk3tuSgdD5w1UIrLzQkwkqofxzlw4Aly=w426-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.5,09:00-01:00,Open All Days,+213 35 72 36 90,"3P9X+C68 Beninou Gelato, Rue Degdeg Mohamed, Bordj Bou Arreridj, A Er Ji Li Ya ",,https://www.google.com/maps/place/Beninou+Gelato/data=!4m7!3m6!1s0x128cbde9d15031a1:0xc81267bedd16e38c!8m2!3d36.0685306!4d4.7480652!16s%2Fg%2F11c43pcw6t!19sChIJoTFQ0em9jBIRjOMW3b5nEsg?authuser=0&hl=zh-TW&rclk=1
ChIJWYJYG4m9jBIRCP4WWPs6eRY,Cafe Zadam,,False,6,"Name: Cafe
link: https://www.google.com/maps/search/Caf%C3%A9/@36.0722042,4.7506347?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Cafe ZOUACHE
link: https://www.google.com/maps/search/Caf%C3%A9+ZOUACHE/@36.0839852,4.770493399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Coffee break
link: https://www.google.com/maps/search/Coffee+break/@36.062576199999995,4.7743611999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cafe ElManar
link: https://www.google.com/maps/search/Caf%C3%A9+ElManar/@36.0824485,4.763499599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Cafeteria Hammouche
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+Hammouche/@36.0595728,4.7684776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://cafe-zadam.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Cafe Zadam (Ye Zhu ),https://www.google.com/maps/contrib/113907181495368552814,https://lh5.googleusercontent.com/p/AF1QipN1XTPzG5iGjsvRUzZi-hA0T63M6yiqDtDVT07K=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,5,03:30-00:00,Open All Days,+213 791 77 80 52,"Cafe Zadam, Hy 500mskn `mr@40rqm123/124, Bordj Bou Arreridj 34000A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Zadam/data=!4m7!3m6!1s0x128cbd891b588259:0x16793afb5816fe08!8m2!3d36.0667637!4d4.7781317!16s%2Fg%2F11h1kttz8f!19sChIJWYJYG4m9jBIRCP4WWPs6eRY?authuser=0&hl=zh-TW&rclk=1
ChIJUcaFz3--jBIRDA5j97Kar0A,cafe santawi,,False,27,"Name: Cafe ZOUACHE
link: https://www.google.com/maps/search/Caf%C3%A9+ZOUACHE/@36.0839852,4.770493399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: mqh~ lsnTwy
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%B3%D9%86%D8%B7%D8%A7%D9%88%D9%8A/@36.070416699999996,4.7564258?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafe Chetioui
link: https://www.google.com/maps/search/Caf%C3%A9+Chetioui/@36.088136,4.7731183?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: mqh~
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89/@36.088645,4.7665583?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,cafe santawi (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNK7mg2KRktHZkYZL-bZKPNMiGOssm2y3WMOI7y=w506-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.7,,Open All Days,+213 776 16 62 93,"3QM9+JX7 cafe santawi, Rue A, Bordj Bou Arreridj, A Er Ji Li Ya ",,https://www.google.com/maps/place/caf%C3%A9+santawi/data=!4m7!3m6!1s0x128cbe7fcf85c651:0x40af9ab2f7630e0c!8m2!3d36.0840298!4d4.7699225!16s%2Fg%2F1ptxy090f!19sChIJUcaFz3--jBIRDA5j97Kar0A?authuser=0&hl=zh-TW&rclk=1
ChIJKfRYxue9jBIR9687fGTC9iE,Cafe 5 Juillet,,False,25,"Name: Cafe
link: https://www.google.com/maps/search/Caf%C3%A9/@36.0722042,4.7506347?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: mqh~ ljwd
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%AF/@36.070394199999996,4.7400009?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cafe ElManar
link: https://www.google.com/maps/search/Caf%C3%A9+ElManar/@36.0824485,4.763499599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Cafeteria Nabil
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+Nabil/@36.0639234,4.746518099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Cafe 5 Juillet (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPRQ1TV3ufRtjI1DmNE-7Tu0FuaMPgiE5wB0Sxx=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,3.7,06:00-21:00,Open All Days,,"3PFW+4M6 Cafe 5 Juillet, Bordj Bou Arreridj, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+5+Juillet/data=!4m7!3m6!1s0x128cbde7c658f429:0x21f6c2647c3baff7!8m2!3d36.0727923!4d4.7466381!16s%2Fg%2F1hjgz29sl!19sChIJKfRYxue9jBIR9687fGTC9iE?authuser=0&hl=zh-TW&rclk=1
ChIJecrGLtq9jBIR0RXhkuPZIGQ,RED BoX pizzeria & salon de the,,False,20,"Name: Le Miam's {Restauration Rapide}
link: https://www.google.com/maps/search/Le+Miam%E2%80%99s+%7BRestauration+Rapide%7D/@36.0711215,4.7574068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Pizzeria Chaker
link: https://www.google.com/maps/search/Pizzeria+Chaker/@36.076200199999995,4.768906299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Fast Food Dodo
link: https://www.google.com/maps/search/Fast+Food+Dodo/@36.0686447,4.7672706?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Pizzeria Chez Okba Afafsa
link: https://www.google.com/maps/search/Pizzeria+Chez+Okba+Afafsa/@36.0842641,4.7485419?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Pizzeria 4
link: https://www.google.com/maps/search/Pizzeria+4/@36.0746275,4.760562?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,RED BoX pizzeria & salon de the (Ye Zhu ),https://www.google.com/maps/contrib/102561837445222375906,https://lh5.googleusercontent.com/p/AF1QipNYLQsVmEZwSiuY3jSd3Uwl8blZwLnBjQJVW389=w425-h240-k-no,Can Ting ,Can Ting ,4,09:30-21:00,Xing Qi Wu ,+213 555 23 48 57,"RED BoX pizzeria & salon de the, Rue Zerouki Mohamed, Bordj Bou Arreridj, A Er Ji Li Ya ",,https://www.google.com/maps/place/RED+BoX+pizzeria+%26+salon+de+th%C3%A9/data=!4m7!3m6!1s0x128cbdda2ec6ca79:0x6420d9e392e115d1!8m2!3d36.0716354!4d4.7626493!16s%2Fg%2F11j0hnj5_1!19sChIJecrGLtq9jBIR0RXhkuPZIGQ?authuser=0&hl=zh-TW&rclk=1
ChIJi6J1IQG9jBIRo9MdPrd9AO4,Cafeteria & pizzeria le carrefour,,False,19,"Name: Centre Comercial Carrefour Bordj bou arreridj
link: https://www.google.com/maps/search/Centre+Comercial+Carrefour+Bordj+bou+arreridj/@36.069380599999995,4.7897333?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: Pizzeria R M
link: https://www.google.com/maps/search/Pizzeria+R+M/@36.0750271,4.7723683?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Coffee break
link: https://www.google.com/maps/search/Coffee+break/@36.062576199999995,4.7743611999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cafe ElManar
link: https://www.google.com/maps/search/Caf%C3%A9+ElManar/@36.0824485,4.763499599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Cafeteria & pizzeria le carrefour (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPi1UNZNCu7p1IrB4scvWoA0KCuCCvsUC399u2S=w408-h511-k-no,Ka Pei Dian ,Ka Pei Dian ,3.3,,Open All Days,+213 697 87 60 25,"3Q9R+HG8 Cafeteria & pizzeria le carrefour, Bordj Bou Arreridj, A Er Ji Li Ya ",Yan ,https://www.google.com/maps/place/Cafeteria+%26+pizzeria+le+carrefour/data=!4m7!3m6!1s0x128cbd012175a28b:0xee007db73e1dd3a3!8m2!3d36.0689094!4d4.7913158!16s%2Fg%2F11qpht9_8r!19sChIJi6J1IQG9jBIRo9MdPrd9AO4?authuser=0&hl=zh-TW&rclk=1
ChIJ9Q-Y_9q9jBIR4kYk1NwSUL4,Patisserie Baizid,,False,18,"Name: Patisserie Viennoiserie OUSSALAH <<Djabi Since 1953>>
link: https://www.google.com/maps/search/P%C3%A2tisserie+Viennoiserie+OUSSALAH+%C2%ABDjabi+Since+1953%C2%BB/@36.0709106,4.7621531?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Patisserie Yasmine
link: https://www.google.com/maps/search/P%C3%A2tisserie+Yasmine/@36.0656288,4.7484669?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Miz cafe
link: https://www.google.com/maps/search/Miz+caf%C3%A9/@36.0795131,4.7650787999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: patisserie delice chez moussa
link: https://www.google.com/maps/search/p%C3%A2tisserie+d%C3%A9lice+chez+moussa/@36.0730286,4.7554675?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Beyazit Bonheur fr` brj bw`ryryj
link: https://www.google.com/maps/search/Beyazit+Bonheur+%D9%81%D8%B1%D8%B9+%D8%A8%D8%B1%D8%AC+%D8%A8%D9%88%D8%B9%D8%B1%D9%8A%D8%B1%D9%8A%D8%AC/@36.0731695,4.7575478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Patisserie Baizid (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNle7w7ni9HBIQN_sksivVSoM7ODbMc-1_c4SHP=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Fa Shi Gao Bing Dian ",3.8,08:00-23:00,Open All Days,,"3QF4+HG9 Patisserie Baizid, Bordj Bou Arreridj, A Er Ji Li Ya ",,https://www.google.com/maps/place/Patisserie+Baizid/data=!4m7!3m6!1s0x128cbddaff980ff5:0xbe5012dcd42446e2!8m2!3d36.0739043!4d4.7563653!16s%2Fg%2F1pp2x9tz9!19sChIJ9Q-Y_9q9jBIR4kYk1NwSUL4?authuser=0&hl=zh-TW&rclk=1
ChIJb7KQzM-9jBIRV60GUOVJXic,CAFE YAHIA AISSA,,False,17,"Name: Cafe
link: https://www.google.com/maps/search/Caf%C3%A9/@36.0722042,4.7506347?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Cafe ZOUACHE
link: https://www.google.com/maps/search/Caf%C3%A9+ZOUACHE/@36.0839852,4.770493399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Coffee break
link: https://www.google.com/maps/search/Coffee+break/@36.062576199999995,4.7743611999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Miz cafe
link: https://www.google.com/maps/search/Miz+caf%C3%A9/@36.0795131,4.7650787999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: mqh~
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89/@36.0729496,4.7623926?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,CAFE YAHIA AISSA (Ye Zhu ),https://www.google.com/maps/contrib/109395192424045428025,https://lh5.googleusercontent.com/p/AF1QipNyWrljwQDQXnCoh3-_zQ01MwKJ65aGm6iM0fmG=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.8,04:00-21:00,Xing Qi Wu ,+213 35 73 94 55,"CAFE YAHIA AISSA, Rue Hadj Med El Mokrani, Bordj Bou Arreridj, A Er Ji Li Ya ",,https://www.google.com/maps/place/CAFE+YAHIA+AISSA/data=!4m7!3m6!1s0x128cbdcfcc90b26f:0x275e49e55006ad57!8m2!3d36.0701666!4d4.7613819!16s%2Fg%2F11cm0hy74f!19sChIJb7KQzM-9jBIRV60GUOVJXic?authuser=0&hl=zh-TW&rclk=1
ChIJb_GZUxW9jBIR1WRZpTmHBj4,Ga3da Box,,False,17,"Name: Mono Cafe
link: https://www.google.com/maps/search/Mono+Caf%C3%A9/@36.0662021,4.7538428?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: 99' Box
link: https://www.google.com/maps/search/99%27+Box/@36.0657579,4.7484804?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Cafeteria Messaoud
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+Messaoud/@36.0714183,4.7776436?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Dopper box - Cabage box, 2017
link: https://www.google.com/maps/search/Dopper+box+-+Cabage+box%2C+2017/@36.0743649,4.7732389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: FAST FOOD Bouguerra
link: https://www.google.com/maps/search/FAST+FOOD+Bouguerra/@36.0714961,4.7509076?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Ga3da Box (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOF_9mpq51La0htrb7uvK34AzTVj34PA6q1zbHY=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,06:00-23:00,Open All Days,,"3P8X+89W Ga3da Box, Rue Degdeg Mohamed, Bordj Bou Arreridj, A Er Ji Li Ya ",,https://www.google.com/maps/place/Ga3da+Box/data=!4m7!3m6!1s0x128cbd155399f16f:0x3e068739a55964d5!8m2!3d36.0658708!4d4.7484681!16s%2Fg%2F11fghmrg9g!19sChIJb_GZUxW9jBIR1WRZpTmHBj4?authuser=0&hl=zh-TW&rclk=1
ChIJ_yqLJd29jBIRMZKlcPM47ps,Cafe,,False,15,"Name: CAFE YAHIA AISSA
link: https://www.google.com/maps/search/CAFE+YAHIA+AISSA/@36.0701666,4.7613819?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Cafe Zadam
link: https://www.google.com/maps/search/Caf%C3%A9+Zadam/@36.066763699999996,4.778131699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Cafeteria Bourennane
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+Bourennane/@36.0715289,4.7403569999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Cafeteria Nabil
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+Nabil/@36.0639234,4.746518099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO2XGIAcxQjgTN1cys_aNTk58gHOvOwpCjSzwLq=w408-h408-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,,Open All Days,,"3QC2+V7J Cafe, Rue Djouadi Abdellah, Bordj Bou Arreridj, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9/data=!4m7!3m6!1s0x128cbddd258b2aff:0x9bee38f370a59231!8m2!3d36.0722042!4d4.7506347!16s%2Fg%2F1hm4tc5xr!19sChIJ_yqLJd29jBIRMZKlcPM47ps?authuser=0&hl=zh-TW&rclk=1
