place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJYd5BUPNfJA0R_0oPRFdAuVc,Pingo Doce,,False,1285,"Name: Continente Modelo Trofa
link: https://www.google.com/maps/search/Continente+Modelo+Trofa/@41.3255676,-8.567876799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 678 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarch%C3%A9/@41.330333499999995,-8.564396799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Pingo Doce - BP
link: https://www.google.com/maps/search/Pingo+Doce+-+BP/@41.3263411,-8.570235499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 96 reviews

Name: Supermercado Santiago
link: https://www.google.com/maps/search/Supermercado+Santiago/@41.3370131,-8.575322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",https://www.pingodoce.pt/,Pingo Doce (Ye Zhu ),https://www.google.com/maps/contrib/114345196610171962094,https://lh5.googleusercontent.com/p/AF1QipOB8RwgbG6z1GZlfeLLZywI0i2f5ZTvJRUlkuoO=w426-h240-k-no,Da Xing Chao Ji Shi Chang ,"Da Xing Chao Ji Shi Chang , Za Huo Dian , Chao Ji Shi Chang ",4.1,08:00-21:30,Open All Days,+351 938 042 614,"Pingo Doce, Rua Aldeias de Cima Santiago De Bougado, 4785-699 Trofa, Pu Tao Ya ","Jia Ge , Zu Zhi , You Hui , Shui Guo , Ting Che , Kong Jian , Yu , Jia Zi ",https://www.google.com/maps/place/Pingo+Doce/data=!4m7!3m6!1s0xd245ff35041de61:0x57b94057440f4aff!8m2!3d41.3269716!4d-8.5691445!16s%2Fg%2F11bxfdxp8x!19sChIJYd5BUPNfJA0R_0oPRFdAuVc?authuser=0&hl=zh-TW&rclk=1
ChIJd5YOLgtfJA0RicG8EZt5Res,Mordomias Gastropub,,False,449,"Name: Os Braguinhas
link: https://www.google.com/maps/search/Os+Braguinhas/@41.328983699999995,-8.566252900000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 660 reviews

Name: Malte Taberna
link: https://www.google.com/maps/search/Malte+Taberna/@41.337919,-8.5533921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 436 reviews

Name: Restaurante Hipoppotamus
link: https://www.google.com/maps/search/Restaurante+Hipoppotamus/@41.329046,-8.5535509?authuser=0&hl=zh-TW&entry=ttu
Reviews: 246 reviews

Name: Marma- Coffee & Brunch
link: https://www.google.com/maps/search/Marma-+Coffee+%26+Brunch/@41.332979699999996,-8.556962?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews",https://mordomiasgastropub.com/,Mordomias Gastropub (Ye Zhu ),https://www.google.com/maps/contrib/109941249356409565249,https://lh5.googleusercontent.com/p/AF1QipMLL_ZN8XerY_0tFYloTa1Sq0i69vRWI6sqgWLR=w408-h408-k-no,Can Ting ,"Can Ting , Jiu Ba , Ka Pei Ting ",4.5,"12:00-15:00, 18:00-01:00","Xing Qi Yi , Xing Qi Er , Xing Qi San ",+351 22 096 4799,"Mordomias Gastropub, R. Camilo Castelo Branco n.o 352, 4785-293 Trofa, Pu Tao Ya ","Huan Jing , Jia Ge , Ka Pei , Bei Zi , Pin Wei , tapas, Huai Yi , Ba , Ke Li Bing ",https://www.google.com/maps/place/Mordomias+Gastropub/data=!4m7!3m6!1s0xd245f0b2e0e9677:0xeb45799b11bcc189!8m2!3d41.3371839!4d-8.5589014!16s%2Fg%2F11gtz1jk8_!19sChIJd5YOLgtfJA0RicG8EZt5Res?authuser=0&hl=zh-TW&rclk=1
ChIJURXu3r1eJA0RkmT8h_w99Io,Minipreco,,False,291,"Name: Mercadona
link: https://www.google.com/maps/search/Mercadona/@41.343826199999995,-8.55583?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1365 reviews

Name: Continente Modelo Trofa
link: https://www.google.com/maps/search/Continente+Modelo+Trofa/@41.3255676,-8.567876799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 678 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarch%C3%A9/@41.330333499999995,-8.564396799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Kombi Mini-mercado
link: https://www.google.com/maps/search/Kombi+Mini-mercado/@41.3375014,-8.553321500000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Euro Preco
link: https://www.google.com/maps/search/Euro+Pre%C3%A7o/@41.3363705,-8.5566363?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.minipreco.pt/,Minipreco (Ye Zhu ),https://www.google.com/maps/contrib/100733901394351958068,https://lh5.googleusercontent.com/p/AF1QipOOOUQQw5D1MviiXpOFyE18pa-R6GeU3_NxlsgO=w427-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Ka Pei Ting , Za Huo Dian ",4.1,09:00-20:00,Open All Days,+351 808 200 795,"Minipreco, R. Dom Pedro V, 4785-307 BOUGADO (Sao Martinho), Pu Tao Ya ",,https://www.google.com/maps/place/Minipre%C3%A7o/data=!4m7!3m6!1s0xd245ebddeee1551:0x8af43dfc87fc6492!8m2!3d41.33891!4d-8.559612!16s%2Fg%2F11b7hf_0g_!19sChIJURXu3r1eJA0RkmT8h_w99Io?authuser=0&hl=zh-TW&rclk=1
ChIJJ2zazJdeJA0RKLVNfPoeMTM,ETC Lounge,,False,189,"Name: Cafe Lord
link: https://www.google.com/maps/search/Caf%C3%A9+Lord/@41.334455299999995,-8.561769199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Rotacoes Social Club
link: https://www.google.com/maps/search/Rota%C3%A7%C3%B5es+Social+Club/@41.338661599999995,-8.5612791?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews

Name: M18 cafe
link: https://www.google.com/maps/search/M18+caf%C3%A9/@41.3370362,-8.5634058?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Cafe Leme
link: https://www.google.com/maps/search/Caf%C3%A9+Leme/@41.336955800000005,-8.5645103?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",https://www.facebook.com/profile.php%3Fid%3D61553884439076,ETC Lounge (Ye Zhu ),https://www.google.com/maps/contrib/106967186918041996840,https://lh5.googleusercontent.com/p/AF1QipNjwBRkQixBYiMRLrH09BNSrZhgNqyHkd6KUgjS=w426-h240-k-no,Jiu Ba ,"Jiu Ba , Zheng Liu Ka Pei Ba ",4.3,17:00-02:00,Xing Qi Ri ,,"ETC Lounge, R. Antonio Adao, 4785-306 Trofa, Pu Tao Ya ","Bei Zi , Fen Wei ",https://www.google.com/maps/place/ETC+Lounge/data=!4m7!3m6!1s0xd245e97ccda6c27:0x33311efa7c4db528!8m2!3d41.3417711!4d-8.5583423!16s%2Fg%2F1q62bl5dl!19sChIJJ2zazJdeJA0RKLVNfPoeMTM?authuser=0&hl=zh-TW&rclk=1
ChIJpe5v2VdfJA0R95RsLxqDuEQ,Galp,,False,,"Name: Galp
link: https://www.google.com/maps/search/Galp/@41.3372619,-8.5329678?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: TROFA
link: https://www.google.com/maps/search/TROFA/@41.334706,-8.5611?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Andrade & Silva, Lda
link: https://www.google.com/maps/search/Andrade+%26+Silva%2C+Lda/@41.3372618,-8.5329938?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Tangerina
link: https://www.google.com/maps/search/Tangerina/@41.085158799999995,-8.2521451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Grab&Go Trofa
link: https://www.google.com/maps/search/Grab%26Go+Trofa/@41.3374916,-8.5589376?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://galp.com/pt/pt/particulares/estrada/tangerina,Galp (Ye Zhu ),https://www.google.com/maps/contrib/106213102276249280282,https://lh5.googleusercontent.com/p/AF1QipMxRkN9xeJy4qMhKqmvacehkXq8pa6wWDHet-XS=w426-h240-k-no,Bian Li Dian ,Bian Li Dian ,,07:00-23:00,Open All Days,+351 800 200 200,"Galp, Rua Gandarinhas E.N.104 Km 18,8, 4785-000 BOUGADO (Sao Martinho), Pu Tao Ya ",,https://www.google.com/maps/place/Galp/data=!4m7!3m6!1s0xd245f57d96feea5:0x44b8831a2f6c94f7!8m2!3d41.3373162!4d-8.5331405!16s%2Fg%2F11rwrfmld7!19sChIJpe5v2VdfJA0R95RsLxqDuEQ?authuser=0&hl=zh-TW&rclk=1
ChIJjT_SWuteJA0RMZZCF1_P0RI,Grao D'Aroma - Snacks,,False,530,"Name: Desejos
link: https://www.google.com/maps/search/Desejos/@41.335906099999995,-8.564253299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: Confeitaria Miranda
link: https://www.google.com/maps/search/Confeitaria+Miranda/@41.3363437,-8.560372899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 250 reviews

Name: Rainha Trofa pastelaria - Snacks
link: https://www.google.com/maps/search/Rainha+Trofa+pastelaria+-+Snacks/@41.333285599999996,-8.562246100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Grao de Alegria
link: https://www.google.com/maps/search/Gr%C3%A3o+de+Alegria/@41.3337558,-8.5615808?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Grao D'Aroma - Snacks (Ye Zhu ),https://www.google.com/maps/contrib/108463035278318042544,https://lh5.googleusercontent.com/p/AF1QipPBYTRlK1im5sH__dIPVeo5JVc_K8RLZeZyUY5f=w408-h544-k-no,Gao Bing Dian ,"Gao Bing Dian , Dong Shuai Dian ",4.4,06:00-20:30,Open All Days,+351 252 411 600,"Grao D'Aroma - Snacks, R. Poe. Cesario Verde 68, 4785-099 BOUGADO (Sao Martinho), Pu Tao Ya ","Chan Pin , Ke Song , Zao Can , Jia Ge ",https://www.google.com/maps/place/Gr%C3%A3o+D%27Aroma+-+Snacks/data=!4m7!3m6!1s0xd245eeb5ad23f8d:0x12d1cf5f17429631!8m2!3d41.3389395!4d-8.549312!16s%2Fg%2F11bbrl0r7t!19sChIJjT_SWuteJA0RMZZCF1_P0RI?authuser=0&hl=zh-TW&rclk=1
ChIJeddozSZcJA0RpkHFlYcRoM4,Galeria Cafe,,False,54,"Name: Cafe Star
link: https://www.google.com/maps/search/Caf%C3%A9+Star/@41.3365582,-8.5563757?authuser=0&hl=zh-TW&entry=ttu
Reviews: 89 reviews

Name: Glam Cafe Trofa
link: https://www.google.com/maps/search/Glam+Caf%C3%A9+Trofa/@41.3317227,-8.564186?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: Cafe Enigma
link: https://www.google.com/maps/search/Caf%C3%A9+Enigma/@41.3349167,-8.5616678?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Galeria Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMMRjM7QlSPxzvI_ceLYl74vYcoua3etVgU95_J=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,08:00-00:00,Open All Days,+351 934 683 327,"Galeria Cafe, R. Santiago, Trofa, Pu Tao Ya ",Huan Jing ,https://www.google.com/maps/place/Galeria+Cafe/data=!4m7!3m6!1s0xd245c26cd68d779:0xcea0118795c541a6!8m2!3d41.3364734!4d-8.5754076!16s%2Fg%2F11gd1wphjp!19sChIJeddozSZcJA0RpkHFlYcRoM4?authuser=0&hl=zh-TW&rclk=1
ChIJm3-up5ReJA0ROTHZ5Hfrjlk,The Sagittarius,,False,35,"Name: Cafe Restaurante Regalo
link: https://www.google.com/maps/search/Caf%C3%A9+Restaurante+Regalo/@41.3377729,-8.5540737?authuser=0&hl=zh-TW&entry=ttu
Reviews: 360 reviews

Name: Sagitario XXI
link: https://www.google.com/maps/search/Sagit%C3%A1rio+XXI/@41.3581277,-8.5684036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 275 reviews

Name: Restaurant Sao Martinho
link: https://www.google.com/maps/search/Restaurant+S%C3%A3o+Martinho/@41.3377729,-8.5540737?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews

Name: Cafe Golfinho
link: https://www.google.com/maps/search/Caf%C3%A9+Golfinho/@41.342169399999996,-8.5581079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",,The Sagittarius (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aJAhHZ4tPxo8EDgPE5AT_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=322.04074&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,4.5,07:00-23:00,Open All Days,,"The Sagittarius, R. Armindo da Costa Azevedo, 4785-099 BOUGADO (Sao Martinho), Pu Tao Ya ",,https://www.google.com/maps/place/The+Sagittarius/data=!4m7!3m6!1s0xd245e94a7ae7f9b:0x598eeb77e4d93139!8m2!3d41.3386693!4d-8.5501085!16s%2Fg%2F11g6rkt512!19sChIJm3-up5ReJA0ROTHZ5Hfrjlk?authuser=0&hl=zh-TW&rclk=1
ChIJgTX4CFNdJA0RnuKhk7wuclM,Cafe Cruzeiro,,False,25,"Name: Cafe Snack Bar Artur's
link: https://www.google.com/maps/search/Caf%C3%A9+Snack+Bar+Artur%27s/@41.338679899999995,-8.5511827?authuser=0&hl=zh-TW&entry=ttu
Reviews: 138 reviews

Name: Galeria Cafe
link: https://www.google.com/maps/search/Galeria+Cafe/@41.336473399999996,-8.5754076?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Cruzeiro
link: https://www.google.com/maps/search/Cruzeiro/@41.3398557,-8.5555592?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Sao Jose
link: https://www.google.com/maps/search/S%C3%A3o+Jos%C3%A9/@41.3345577,-8.5631576?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",,Cafe Cruzeiro (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNgLfhvPLVxv2uvqGaEALg3fIXgzeHpk6rJXLmO=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,08:00-22:00,Open All Days,,"Cafe Cruzeiro, Largo Antonio Barreto 10, 4785-604 Trofa, Pu Tao Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Cruzeiro/data=!4m7!3m6!1s0xd245d5308f83581:0x53722ebc93a1e29e!8m2!3d41.3362933!4d-8.5734369!16s%2Fg%2F11j7vjzpwb!19sChIJgTX4CFNdJA0RnuKhk7wuclM?authuser=0&hl=zh-TW&rclk=1
ChIJu9p3FkNcJA0R6FSs7IeLNL8,"Panificadora De Bougado De Duarte & Sousa, Lda.",,False,14,"Name: Desejos
link: https://www.google.com/maps/search/Desejos/@41.335906099999995,-8.564253299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: Pao Quente Costa
link: https://www.google.com/maps/search/P%C3%A3o+Quente+Costa/@41.3295549,-8.5653905?authuser=0&hl=zh-TW&entry=ttu
Reviews: 198 reviews

Name: Ribapao
link: https://www.google.com/maps/search/Ribap%C3%A3o/@41.337914,-8.5606869?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Doce Familia
link: https://www.google.com/maps/search/Doce+Fam%C3%ADlia/@41.3405614,-8.5551795?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Padaria Casal Ribeiro, Lda.
link: https://www.google.com/maps/search/Padaria+Casal+Ribeiro%2C+Lda./@41.3431036,-8.553545699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,"Panificadora De Bougado De Duarte & Sousa, Lda. (Ye Zhu )",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=16awD9jp_KikWRCqlK2BkQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=199.86707&pitch=0&thumbfov=100,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.4,24 Xiao Shi Ying Ye ,Open All Days,+351 252 413 936,"Panificadora De Bougado De Duarte & Sousa, Lda., R. Nelson Ferreira 85, Trofa, Pu Tao Ya ",,"https://www.google.com/maps/place/Panificadora+De+Bougado+De+Duarte+%26+Sousa,+Lda./data=!4m7!3m6!1s0xd245c431677dabb:0xbf348b87ecac54e8!8m2!3d41.3358321!4d-8.6035784!16s%2Fg%2F1tzvxvms!19sChIJu9p3FkNcJA0R6FSs7IeLNL8?authuser=0&hl=zh-TW&rclk=1"
