place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJzezHDH8rbUcRiJtIT0D5tf0,Kavarna & bistro Karma,,False,618,"Name: coffee aldo
link: https://www.google.com/maps/search/coffee+aldo/@48.75531480000001,16.8878316?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: Kavarna Za Kasarnama
link: https://www.google.com/maps/search/Kav%C3%A1rna+Za+Kas%C3%A1rnama/@48.7666152,16.8919392?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews",https://karmakavarna.cz/,Kavarna & bistro Karma (Ye Zhu ),https://www.google.com/maps/contrib/114077744245135401268,https://lh5.googleusercontent.com/p/AF1QipMS-fkD_E75-FxCfylGWvKqVbGoLxWm-d7Hbru4=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Xiao Can Guan  (Bistro), Pu Tao Jiu Ba ",4.6,08:00-20:00,Open All Days,+420 603 925 960,"Kavarna & bistro Karma, 17. listopadu 51, 690 02 Breclav 2, Jie Ke ","Dan Gao , Zao Wu Can ",https://www.google.com/maps/place/Kav%C3%A1rna+%26+bistro+Karma/data=!4m7!3m6!1s0x476d2b7f0cc7eccd:0xfdb5f9404f489b88!8m2!3d48.7588599!4d16.8832552!16s%2Fg%2F11hz191tw2!19sChIJzezHDH8rbUcRiJtIT0D5tf0?authuser=0&hl=zh-TW&rclk=1
ChIJ0SfDaFzVbEcR8IaIslMOiZ0,Lokalka,,False,541,"Name: La Basta by gampl food
link: https://www.google.com/maps/search/La+Ba%C5%A1ta+by+gampl+food/@48.764621999999996,16.888144099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 504 reviews

Name: Pohoda
link: https://www.google.com/maps/search/Pohoda/@48.761893199999996,16.8884666?authuser=0&hl=zh-TW&entry=ttu
Reviews: 446 reviews

Name: Restaurace U Certa
link: https://www.google.com/maps/search/Restaurace+U+%C4%8Certa/@48.756474999999995,16.892333?authuser=0&hl=zh-TW&entry=ttu
Reviews: 389 reviews

Name: Letni zahradka U Kapra
link: https://www.google.com/maps/search/Letn%C3%AD+zahr%C3%A1dka+U+Kapra/@48.7604775,16.8754372?authuser=0&hl=zh-TW&entry=ttu
Reviews: 237 reviews

Name: mlemmlem restaurace
link: https://www.google.com/maps/search/mlemmlem+restaurace/@48.757302599999996,16.8842882?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews",http://www.mvgcatering.cz/,Lokalka (Ye Zhu ),https://www.google.com/maps/contrib/114570196679908709864,https://lh5.googleusercontent.com/p/AF1QipOU13qqQd8sPGNBjmK4vGV4LLqdUCcbCmkkgMu6=w408-h306-k-no,Zi Zhu Can Can Ting ,"Zi Zhu Can Can Ting , Xiao Can Guan  (Bistro), Zheng Liu Ka Pei Ba ",3.5,07:00-20:00,"Xing Qi Ri , Xing Qi Yi ",+420 775 469 183,"Lokalka, lokalka.mvg@seznam.cz, sady 28. rijna 3491/8A, 690 02 Breclav 2, Jie Ke ",Pi Jiu ,https://www.google.com/maps/place/Lok%C3%A1lka/data=!4m7!3m6!1s0x476cd55c68c327d1:0x9d890e53b28886f0!8m2!3d48.7536358!4d16.8919468!16s%2Fg%2F1t_tj2k6!19sChIJ0SfDaFzVbEcR8IaIslMOiZ0?authuser=0&hl=zh-TW&rclk=1
ChIJK0aE6lfVbEcRB8YqkwSq4Vc,Pohoda,,False,446,"Name: Park Restaurant
link: https://www.google.com/maps/search/Park+Restaurant/@48.7547034,16.8900079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1788 reviews

Name: Popocatepetl Mexican restaurant
link: https://www.google.com/maps/search/Popocatepetl+Mexican+restaurant/@48.7568219,16.8918095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1444 reviews

Name: Restaurace a penzion u Doubku
link: https://www.google.com/maps/search/Restaurace+a+penzion+u+Doubk%C5%AF/@48.751601099999995,16.853972199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 813 reviews

Name: Restaurace U Certa
link: https://www.google.com/maps/search/Restaurace+U+%C4%8Certa/@48.756474999999995,16.892333?authuser=0&hl=zh-TW&entry=ttu
Reviews: 389 reviews

Name: Restaurace Harmonie
link: https://www.google.com/maps/search/Restaurace+Harmonie/@48.76060100000001,16.880165100000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 206 reviews",https://www.restauracepohoda.cz/,Pohoda (Ye Zhu ),https://www.google.com/maps/contrib/101184409771541059812,https://lh5.googleusercontent.com/p/AF1QipMQcrlDKWzC5UkHiXs-WY6TnttNCwo1auPQgrSS=w408-h544-k-no,Can Ting ,"Can Ting , Ka Pei Dian ",4.3,07:00-15:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi Liu ",+420 519 325 384,"Pohoda, 9, Na Radku 3178, 690 02 Breclav, Jie Ke ","Sha La , Hong Jiu ",https://www.google.com/maps/place/Pohoda/data=!4m7!3m6!1s0x476cd557ea84462b:0x57e1aa04932ac607!8m2!3d48.7618932!4d16.8884666!16s%2Fg%2F1td_g0xr!19sChIJK0aE6lfVbEcRB8YqkwSq4Vc?authuser=0&hl=zh-TW&rclk=1
ChIJOWcliFvVbEcRw8zQ-38IqN0,DELIKAN Eiscafe,,False,278,"Name: MARTINES Cukrarna & Fresh snack
link: https://www.google.com/maps/search/MARTINES+Cukr%C3%A1rna+%26+Fresh+snack/@48.7817237,16.903261099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 279 reviews

Name: Patisserie U Krpalku
link: https://www.google.com/maps/search/Patisserie+U+Krp%C3%A1lk%C5%AF/@48.7570573,16.8867585?authuser=0&hl=zh-TW&entry=ttu
Reviews: 134 reviews

Name: Prava chorvatska zmrzlina
link: https://www.google.com/maps/search/Prav%C3%A1+chorvatsk%C3%A1+zmrzlina/@48.7570252,16.887848899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Krmilkova zmrzlina
link: https://www.google.com/maps/search/Krm%C3%ADlkova+zmrzlina/@48.7621566,16.88945?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.myjsmedelikana.cz/,DELIKAN Eiscafe (Ye Zhu ),https://www.google.com/maps/contrib/105725280259669941433,https://lh5.googleusercontent.com/p/AF1QipO8U2bqux2FSEzYiR9lgFTYs15lyKAqraLxMl4=w408-h306-k-no,Xi Bing Dian ,"Xi Bing Dian , Zao Can Can Ting , Ka Pei Dian , Tian Pin Dian , Xue Gao Dian ",3.8,07:00-18:00,Open All Days,+420 702 181 780,"DELIKAN Eiscafe, Stromoradni 3541, 690 02 Breclav 2, Jie Ke ","Huo Che , Jia Ge , Tian Dian ",https://www.google.com/maps/place/DELIKAN+Eiscafe/data=!4m7!3m6!1s0x476cd55b88256739:0xdda8087ffbd0ccc3!8m2!3d48.7548005!4d16.8924438!16s%2Fg%2F11cltkmyt8!19sChIJOWcliFvVbEcRw8zQ-38IqN0?authuser=0&hl=zh-TW&rclk=1
ChIJ2WnKGFnVbEcRZYoyFslRJZU,Tropi Cafe,,False,248,"Name: Bulldog Cafe Breclav
link: https://www.google.com/maps/search/Bulldog+Cafe+Breclav/@48.7581683,16.8915902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 497 reviews

Name: Fun Caffe
link: https://www.google.com/maps/search/Fun+Caffe/@48.7542788,16.8887226?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: Coffee Point
link: https://www.google.com/maps/search/Coffee+Point/@48.7581677,16.8544385?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: Golf CAFE
link: https://www.google.com/maps/search/Golf+CAF%C3%89/@48.759341799999994,16.8956946?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://www.tropicafe.cz/,Tropi Cafe (Ye Zhu ),https://www.google.com/maps/contrib/108559187058507121959,https://lh5.googleusercontent.com/p/AF1QipNEoBmrs7UY8oVLZ7b8dCBgB2xTDTEDsCL_E17-=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,08:00-20:00,Open All Days,+420 734 338 535,"Tropi Cafe, J. Palacha 2926, 690 02 Breclav 2, Jie Ke ",,https://www.google.com/maps/place/Tropi+Cafe/data=!4m7!3m6!1s0x476cd55918ca69d9:0x952551c916328a65!8m2!3d48.7570075!4d16.8881603!16s%2Fg%2F1td6f89m!19sChIJ2WnKGFnVbEcRZYoyFslRJZU?authuser=0&hl=zh-TW&rclk=1
ChIJs-Js8lvVbEcRLIyrjdoS2gc,Tearoom and Cafe Jantar,,False,233,"Name: Kavarna & bistro Karma
link: https://www.google.com/maps/search/Kav%C3%A1rna+%26+bistro+Karma/@48.7588599,16.8832552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 617 reviews

Name: Bulldog Cafe Breclav
link: https://www.google.com/maps/search/Bulldog+Cafe+Breclav/@48.7581683,16.8915902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 497 reviews

Name: Fun Caffe
link: https://www.google.com/maps/search/Fun+Caffe/@48.7542788,16.8887226?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: coffee aldo
link: https://www.google.com/maps/search/coffee+aldo/@48.75531480000001,16.8878316?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews",https://jantarbreclav.cz/kavarna-a-cajovna-jantar-breclav/,Tearoom and Cafe Jantar (Ye Zhu ),https://www.google.com/maps/contrib/104120858316479540445,https://lh5.googleusercontent.com/p/AF1QipPy87H-9jLCACrEkKf28FIXa0Abw0MClLHm0d-g=w618-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Cha Yi Guan ",4.7,12:00-22:00,Open All Days,+420 733 703 858,"Tearoom and Cafe Jantar, 4, Libusina 549, 690 02 Breclav, Jie Ke ",,https://www.google.com/maps/place/Tearoom+and+Cafe+Jantar/data=!4m7!3m6!1s0x476cd55bf26ce2b3:0x7da12da8dab8c2c!8m2!3d48.7553345!4d16.8916923!16s%2Fg%2F113h2p4p4!19sChIJs-Js8lvVbEcRLIyrjdoS2gc?authuser=0&hl=zh-TW&rclk=1
ChIJn8euhqgqbUcRw3atBp3UV2o,Kafe Piksla,,False,210,"Name: Kavarna & bistro Karma
link: https://www.google.com/maps/search/Kav%C3%A1rna+%26+bistro+Karma/@48.7588599,16.8832552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 617 reviews

Name: Bulldog Cafe Breclav
link: https://www.google.com/maps/search/Bulldog+Cafe+Breclav/@48.7581683,16.8915902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 497 reviews

Name: Tropi Cafe
link: https://www.google.com/maps/search/Tropi+Cafe/@48.7570075,16.8881603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 248 reviews

Name: Golf CAFE
link: https://www.google.com/maps/search/Golf+CAF%C3%89/@48.759341799999994,16.8956946?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://www.piksla.cz/,Kafe Piksla (Ye Zhu ),https://www.google.com/maps/contrib/103795176599148032030,https://lh5.googleusercontent.com/p/AF1QipPl1Dlf7oPtLQgZ7nRMYI3VMmrKWRIgWkWku68=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.5,19:00-02:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi San ",+420 776 254 427,"Kafe Piksla, Nar. hrdinu 439/14, 690 02 Breclav 2, Jie Ke ",,https://www.google.com/maps/place/Kaf%C3%A9+Piksla/data=!4m7!3m6!1s0x476d2aa886aec79f:0x6a57d49d06ad76c3!8m2!3d48.7616151!4d16.8826057!16s%2Fg%2F12hnqnr8c!19sChIJn8euhqgqbUcRw3atBp3UV2o?authuser=0&hl=zh-TW&rclk=1
ChIJZeCZpF7VbEcRNR69VnbwL6Q,Fun Caffe,,False,209,"Name: Bulldog Cafe Breclav
link: https://www.google.com/maps/search/Bulldog+Cafe+Breclav/@48.7581683,16.8915902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 497 reviews

Name: Tropi Cafe
link: https://www.google.com/maps/search/Tropi+Cafe/@48.7570075,16.8881603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 248 reviews

Name: Tearoom and Cafe Jantar
link: https://www.google.com/maps/search/Tearoom+and+Cafe+Jantar/@48.7553345,16.8916923?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: Cechova 663/15
link: https://www.google.com/maps/search/%C4%8Cechova+663%2F15/@48.7542444,16.8887221?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.funcaffe.cz/,Fun Caffe (Ye Zhu ),https://www.google.com/maps/contrib/116405377448514024019,https://lh5.googleusercontent.com/p/AF1QipPA4UPOh5qW1pa_4aCA_mJdexD69GNhobKOdxpl=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,15:00-22:00,Open All Days,+420 721 222 888,"Fun Caffe, Cechova 663/15, 690 02 Breclav 2, Jie Ke ",Ba ,https://www.google.com/maps/place/Fun+Caffe/data=!4m7!3m6!1s0x476cd55ea499e065:0xa42ff07656bd1e35!8m2!3d48.7542788!4d16.8887226!16s%2Fg%2F1vvr50cb!19sChIJZeCZpF7VbEcRNR69VnbwL6Q?authuser=0&hl=zh-TW&rclk=1
ChIJ0_qczF7VbEcR0efZl6RJnBw,coffee aldo,,False,158,"Name: Kavarna & bistro Karma
link: https://www.google.com/maps/search/Kav%C3%A1rna+%26+bistro+Karma/@48.7588599,16.8832552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 617 reviews

Name: Dvur
link: https://www.google.com/maps/search/Dv%C5%AFr/@48.755044299999994,16.8898705?authuser=0&hl=zh-TW&entry=ttu
Reviews: 284 reviews

Name: Tearoom and Cafe Jantar
link: https://www.google.com/maps/search/Tearoom+and+Cafe+Jantar/@48.7553345,16.8916923?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: Golf CAFE
link: https://www.google.com/maps/search/Golf+CAF%C3%89/@48.759341799999994,16.8956946?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://www.sanmarcokafe.cz/,coffee aldo (Ye Zhu ),https://www.google.com/maps/contrib/101302747129463842977,https://lh5.googleusercontent.com/p/AF1QipN-OP1XYBrTrbSwtBQ_MKd7Ysx1jTGVu_xfgl5o=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,09:00-22:00,Open All Days,+420 722 364 483,"coffee aldo, Cechova 2633, 690 02 Breclav 2, Jie Ke ",,https://www.google.com/maps/place/coffee+aldo/data=!4m7!3m6!1s0x476cd55ecc9cfad3:0x1c9c49a497d9e7d1!8m2!3d48.7553148!4d16.8878316!16s%2Fg%2F11b5pj9zhv!19sChIJ0_qczF7VbEcR0efZl6RJnBw?authuser=0&hl=zh-TW&rclk=1
ChIJBWNiDWorbUcRG2qbL8L5fz8,Fousek Kafe,,False,94,"Name: Bulldog Cafe Breclav
link: https://www.google.com/maps/search/Bulldog+Cafe+Breclav/@48.7581683,16.8915902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 497 reviews

Name: Fun Caffe
link: https://www.google.com/maps/search/Fun+Caffe/@48.7542788,16.8887226?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: Golf CAFE
link: https://www.google.com/maps/search/Golf+CAF%C3%89/@48.759341799999994,16.8956946?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://www.facebook.com/profile.php%3Fid%3D100089797601087,Fousek Kafe (Ye Zhu ),https://www.google.com/maps/contrib/117498425097876101763,https://lh5.googleusercontent.com/p/AF1QipOjIcIAYs5VsoQvYaPIaBeDG9UiYCokalbpX4Z6=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,10:00-18:00,Open All Days,+420 606 076 924,"Fousek Kafe, nam. T. G. Masaryka 976/13, 690 02 Breclav 2, Jie Ke ",,https://www.google.com/maps/place/Fousek+Kafe/data=!4m7!3m6!1s0x476d2b6a0d626305:0x3f7ff9c22f9b6a1b!8m2!3d48.7590353!4d16.881458!16s%2Fg%2F11sj615k4_!19sChIJBWNiDWorbUcRG2qbL8L5fz8?authuser=0&hl=zh-TW&rclk=1
