place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJzTsM_3sPyUwRTFcMebKDTLQ,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,2848,"Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@45.46111500000001,-73.4658178?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1621 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@45.4688028,-73.46859169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1097 reviews

Name: A&W Canada
link: https://www.google.com/maps/search/A%26W+Canada/@45.454411,-73.464586?authuser=0&hl=zh-TW&entry=ttu
Reviews: 897 reviews

Name: PFK
link: https://www.google.com/maps/search/PFK/@45.4726346,-73.46688259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 656 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@45.4558021,-73.4644763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 208 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTk2OTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/117565719162687162688,https://lh5.googleusercontent.com/p/AF1QipOKXsurRc5KsoJWu1rRAPr7z4XHhHr4mIw1YyXT=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3,05:00-23:00,Open All Days,+1 450-466-7040,"McDonald's, 7450 Taschereau Blvd, Brossard, Quebec J4W 1M9Jia Na Da ","Xia Ding , Ju Wu Ba , Di Ban , Ke Le Bing ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x4cc90f7bff0c3bcd:0xb44c83b2790c574c!8m2!3d45.4563596!4d-73.4657673!16s%2Fg%2F1tx_5znj!19sChIJzTsM_3sPyUwRTFcMebKDTLQ?authuser=0&hl=zh-TW&rclk=1
ChIJ77v2YgAGyUwREw3WuijiqYE,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1659,"Name: Harvey's
link: https://www.google.com/maps/search/Harvey%27s/@45.4710429,-73.4671795?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1436 reviews

Name: Five Guys
link: https://www.google.com/maps/search/Five+Guys/@45.450261,-73.4424059?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1415 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@45.458162699999995,-73.4195441?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: Poutine & co
link: https://www.google.com/maps/search/Poutine+%26+co/@45.457748099999996,-73.4192817?authuser=0&hl=zh-TW&entry=ttu
Reviews: 219 reviews

Name: Combo
link: https://www.google.com/maps/search/Combo/@45.483086799999995,-73.4563723?authuser=0&hl=zh-TW&entry=ttu
Reviews: 199 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTkxOTctNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/112874607099172361180,https://lh5.googleusercontent.com/p/AF1QipPGOh1dyWJ3x5WHFlGTeZzjubMRlvLHP-JucCa0=w408-h544-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.3,05:00-23:00,Open All Days,+1 450-678-9200,"McDonald's, 7505 Grande Allee, Brossard, Quebec J4Z 0E3Jia Na Da ","Xia Ding , Ka Pei , Leng , Ju Wu Ba , Ban Ye , Tang , Bei Guo ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x4cc9060062f6bbef:0x81a9e228bad60d13!8m2!3d45.4567424!4d-73.4174431!16s%2Fg%2F11bwyxmjzc!19sChIJ77v2YgAGyUwREw3WuijiqYE?authuser=0&hl=zh-TW&rclk=1
ChIJBeMI70cPyUwRrW3gcBHmggg,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1424,"Name: Restaurant ZIBO! Brossard
link: https://www.google.com/maps/search/Restaurant+ZIBO%21+Brossard/@45.4448321,-73.4356658?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1738 reviews

Name: Five Guys
link: https://www.google.com/maps/search/Five+Guys/@45.450261,-73.4424059?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1415 reviews

Name: Harvey's
link: https://www.google.com/maps/search/Harvey%27s/@45.437802,-73.4424919?authuser=0&hl=zh-TW&entry=ttu
Reviews: 644 reviews

Name: Mucho Burrito Fresh Mexican Grill
link: https://www.google.com/maps/search/Mucho+Burrito+Fresh+Mexican+Grill/@45.440078199999995,-73.4427851?authuser=0&hl=zh-TW&entry=ttu
Reviews: 441 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@45.4420516,-73.436052?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA1MjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/111582259165652463905,https://lh5.googleusercontent.com/p/AF1QipNt5iP2ez2CHTtazPfJUxZmDNX19KnwnkZqdj1T=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.1,05:00-23:00,Open All Days,+1 450-462-3580,"McDonald's, 8025 Bd du Quartier, Brossard, Quebec J4Y 0N6Jia Na Da ","Xia Ding , Ju Wu Ba , La Ji Tong , Ke Le Bing , Bai Pan , San Zhong Zou , Bing Xuan Feng ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x4cc90f47ef08e305:0x882e61170e06dad!8m2!3d45.4397088!4d-73.4430434!16s%2Fg%2F11b6sg_tkd!19sChIJBeMI70cPyUwRrW3gcBHmggg?authuser=0&hl=zh-TW&rclk=1
ChIJc_5ii08PyUwRIAnjAF0YXEs,Juliette & Chocolat,,False,1275,"Name: Chocolats Favoris
link: https://www.google.com/maps/search/Chocolats+Favoris/@45.4446211,-73.43536879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1415 reviews

Name: Brasserie T!
link: https://www.google.com/maps/search/Brasserie+T%21/@45.447478499999995,-73.4367303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 384 reviews

Name: Kuto
link: https://www.google.com/maps/search/K%C3%BCto/@45.4401091,-73.4427429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 224 reviews

Name: Queues de Castor - BeaverTails (Dix30)
link: https://www.google.com/maps/search/Queues+de+Castor+-+BeaverTails+%28Dix30%29/@45.443498299999995,-73.43683659999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: Chocolato - Mail Champlain
link: https://www.google.com/maps/search/Chocolato+-+Mail+Champlain/@45.4709211,-73.47199719999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews",http://www.julietteetchocolat.com/,Juliette & Chocolat (Ye Zhu ),https://www.google.com/maps/contrib/118147899309568348221,https://lh5.googleusercontent.com/p/AF1QipM6a2ZVewOU7D24YygX2eYoeADIN-p6YSgu09vs=w408-h240-k-no-pi-10-ya280-ro0-fo100,Can Ting ,"Can Ting , Zhu Gu Li Dian , Tian Pin Can Ting ",3.6,,Open All Days,+1 450-678-5353,"Juliette & Chocolat, 150 Prom. des Lanternes #10, Brossard, QC J4Y 0L1Jia Na Da ","Ke Li Bing , Bu Lang Ni , Ke Ke , Yuan Gong , Tang , Zao Yin , Song Bing , Bai Hui ",https://www.google.com/maps/place/Juliette+%26+Chocolat/data=!4m7!3m6!1s0x4cc90f4f8b62fe73:0x4b5c185d00e30920!8m2!3d45.4462377!4d-73.4377353!16s%2Fg%2F12hlv6k2g!19sChIJc_5ii08PyUwRIAnjAF0YXEs?authuser=0&hl=zh-TW&rclk=1
ChIJ9clTFREFyUwRz2jElkfWrfY,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1204,"Name: Brulerie Cafe Creme
link: https://www.google.com/maps/search/Br%C3%BBlerie+Caf%C3%A9+Cr%C3%A8me/@45.540959099999995,-73.4894771?authuser=0&hl=zh-TW&entry=ttu
Reviews: 615 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@45.506792499999996,-73.572606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 266 reviews

Name: La Boite a Cafe
link: https://www.google.com/maps/search/La+Boite+%C3%A0+Caf%C3%A9/@45.5118313,-73.43270079999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 219 reviews

Name: Cafe Depot Tour SSQ
link: https://www.google.com/maps/search/Caf%C3%A9+D%C3%A9p%C3%B4t+Tour+SSQ/@45.522642,-73.520754?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",https://fr.starbucks.ca/store-locator/store/834,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/106064679832501624329,https://lh5.googleusercontent.com/p/AF1QipMYbrmWOR_SpM5d2HlY58BqiT9a5taN_hj3bBog=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",3.9,05:30-22:30,Open All Days,+1 579-799-0813,"Starbucks, 3724 Bd Taschereau, Longueuil, QC J4V 2H9Jia Na Da ","De Lai Su , Zhuo , Ka Pei Shi , Xiao Rong , Chuang , Nan Gua , Mo Cha ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x4cc905111553c9f5:0xf6add64796c468cf!8m2!3d45.488084!4d-73.4719266!16s%2Fg%2F1trcg0zr!19sChIJ9clTFREFyUwRz2jElkfWrfY?authuser=0&hl=zh-TW&rclk=1
ChIJCc2tUFsPyUwRxyBJBnXXtLk,Mr. Puffs,,False,978,"Name: Chocolats Favoris
link: https://www.google.com/maps/search/Chocolats+Favoris/@45.4446211,-73.43536879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1415 reviews

Name: Premiere Moisson
link: https://www.google.com/maps/search/Premi%C3%A8re+Moisson/@45.4445696,-73.4402348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1193 reviews

Name: Menchie's
link: https://www.google.com/maps/search/Menchie%27s/@45.4467953,-73.4370595?authuser=0&hl=zh-TW&entry=ttu
Reviews: 151 reviews

Name: Les Glaceurs
link: https://www.google.com/maps/search/Les+Glaceurs/@45.444170199999995,-73.4405896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews",https://mrpuffs.com/store-locator/,Mr. Puffs (Ye Zhu ),https://www.google.com/maps/contrib/113328429655122585433,https://lh5.googleusercontent.com/p/AF1QipPsFCxFKkmq5mzSvUaRDsuVYnUxIw4K06pmIBOf=w408-h661-k-no,Ka Pei Dian ,"Ka Pei Dian , Tian Pin Dian , Dong Shuai Dian ",4.4,11:00-22:00,Open All Days,+1 450-676-6311,"Mr. Puffs, 8900 Boul. Leduc Ste 40, Brossard, Quebec J4Y 0B3Jia Na Da ","Fu Wu , Tang , Jian , He , Jiang , Rou Gui , Duo Rou ",https://www.google.com/maps/place/Mr.+Puffs/data=!4m7!3m6!1s0x4cc90f5b50adcd09:0xb9b4d775064920c7!8m2!3d45.4491499!4d-73.4427014!16s%2Fg%2F11c7t0cjh1!19sChIJCc2tUFsPyUwRxyBJBnXXtLk?authuser=0&hl=zh-TW&rclk=1
ChIJa9l64yIFyUwRGclN-wSUG-w,Tim Hortons,,False,954,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@45.49464940000001,-73.47998249999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3848 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@45.509082799999995,-73.5649098?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1289 reviews

Name: Eggsquis
link: https://www.google.com/maps/search/Eggsquis/@45.4945501,-73.4821656?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1197 reviews

Name: Beaver tails
link: https://www.google.com/maps/search/Beaver+tails/@45.4901963,-73.4765001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafe Nouvelle Experience
link: https://www.google.com/maps/search/Cafe+Nouvelle+Experience/@45.4975029,-73.48435239999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://locations.timhortons.ca/qc/greenfield-park/3319-boul-taschereau,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/105004638036157489051,https://lh5.googleusercontent.com/p/AF1QipM4QA8ijBizSZwJqUzQX2xwjwx9J2Y3nDqnnfIf=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.6,06:00-14:00,Open All Days,+1 450-443-8350,"Tim Hortons, 3319 Taschereau Blvd, Greenfield Park, Quebec J4V 2H5Jia Na Da ","De Lai Su , Tian Tian Quan , San Ming Zhi , Chuang , Qing Jie , Zhi , Song Bing ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cc90522e37ad96b:0xec1b9404fb4dc919!8m2!3d45.494441!4d-73.4796175!16s%2Fg%2F11bwbx3dkz!19sChIJa9l64yIFyUwRGclN-wSUG-w?authuser=0&hl=zh-TW&rclk=1
ChIJMV49kHMPyUwRDjy5xp0aWqk,Tim Hortons,,False,903,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@45.4563596,-73.4657673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2846 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@45.4688028,-73.46859169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1097 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@45.376042299999995,-73.3674061?authuser=0&hl=zh-TW&entry=ttu
Reviews: 444 reviews

Name: Restaurant Boustan
link: https://www.google.com/maps/search/Restaurant+Boustan/@45.4458092,-73.4701094?authuser=0&hl=zh-TW&entry=ttu
Reviews: 434 reviews

Name: Tim Longueuil
link: https://www.google.com/maps/search/Tim+Longueuil/@45.511015099999995,-73.4942056?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews",https://locations.timhortons.ca/fr/qc/brossard/8270-boul-taschereau/,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/111563869087821876414,https://lh5.googleusercontent.com/p/AF1QipMg-h0MIlmLc0STLgo9FF0sHJP-bjFn66cHku3G=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3,05:00-23:00,Open All Days,+1 450-466-0058,"Tim Hortons, 8270 Taschereau Blvd, Brossard, Quebec J4X 1C2Jia Na Da ","De Lai Su , Tian Tian Quan , Qing Jie , Bei Guo , Juan Bing , Pei Gen , Nong Chang , Ji ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cc90f73903d5e31:0xa95a1a9dc6b93c0e!8m2!3d45.4475206!4d-73.4705302!16s%2Fg%2F11b5wklkgn!19sChIJMV49kHMPyUwRDjy5xp0aWqk?authuser=0&hl=zh-TW&rclk=1
ChIJoa1psXEFyUwR2MogFiuPupw,Tim Hortons,,False,900,"Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@45.509082799999995,-73.5649098?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1289 reviews

Name: Eggsquis
link: https://www.google.com/maps/search/Eggsquis/@45.4731078,-73.4683074?authuser=0&hl=zh-TW&entry=ttu
Reviews: 815 reviews

Name: Ben & Florentine
link: https://www.google.com/maps/search/Ben+%26+Florentine/@45.469358,-73.467055?authuser=0&hl=zh-TW&entry=ttu
Reviews: 790 reviews

Name: Cafe Van Houtte
link: https://www.google.com/maps/search/Caf%C3%A9+Van+Houtte/@45.471907,-73.471677?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews",https://locations.timhortons.ca/en/qc/brossard/2141-boul-lapiniere/,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/108597488502488804950,https://lh5.googleusercontent.com/p/AF1QipMG7s43EMVhIkoqdClEDX3_Od6Wi7b6hsWfGSez=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.8,05:00-22:00,Xing Qi Yi ,+1 450-923-0997,"Tim Hortons, 2141 Boul. Lapiniere, Brossard, Quebec J4W 1L7Jia Na Da ","Fu Wu , Tian Tian Quan , Shou Yin , Yuan Gong , Xia Ding , Tang , Song Bing , Ce Suo , Juan Bing , Ke Ke ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cc90571b169ada1:0x9cba8f2b1620cad8!8m2!3d45.4749337!4d-73.4728002!16s%2Fg%2F1thf85cm!19sChIJoa1psXEFyUwR2MogFiuPupw?authuser=0&hl=zh-TW&rclk=1
ChIJ13IYDBAFyUwRJia8P-f_iFo,Tim Hortons,,False,840,"Name: Restaurant Chez Manuel Inc
link: https://www.google.com/maps/search/Restaurant+Chez+Manuel+Inc/@45.488931,-73.4639397?authuser=0&hl=zh-TW&entry=ttu
Reviews: 682 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@45.376042299999995,-73.3674061?authuser=0&hl=zh-TW&entry=ttu
Reviews: 444 reviews

Name: Tim Longueuil
link: https://www.google.com/maps/search/Tim+Longueuil/@45.511015099999995,-73.4942056?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: Resto Delice
link: https://www.google.com/maps/search/Resto+Delice/@45.4747966,-73.4425961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Transit Cafe
link: https://www.google.com/maps/search/Transit+Caf%C3%A9/@45.495565299999996,-73.47420490000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://locations.timhortons.ca/qc/longueuil/5710-grande-allee,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/110466054750152533563,https://lh5.googleusercontent.com/p/AF1QipM5elzLYNkhm93SK7do2zXz2tmH88PPqxuVfuTT=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3,05:00-16:30,Open All Days,+1 450-890-4091,"Tim Hortons, 5710 Grande Allee, Longueuil, Quebec J3Y 1B2Jia Na Da ","De Lai Su , Tian Tian Quan , Yuan Gong , Shou Yin , Bei Guo , Juan Bing , Zhou Liu , Chuang , Nong Chang ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cc905100c1872d7:0x5a88ffe73fbc2626!8m2!3d45.473122!4d-73.440315!16s%2Fg%2F1hg4xvbw_!19sChIJ13IYDBAFyUwRJia8P-f_iFo?authuser=0&hl=zh-TW&rclk=1
