place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJFXCA-M9Qw0cRzEawwFDICsE,De Garre,,False,2928,"Name: Le Trappiste
link: https://www.google.com/maps/search/Le+Trappiste/@51.210837999999995,3.222809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2695 reviews

Name: 't Poatersgat
link: https://www.google.com/maps/search/%27t+Poatersgat/@51.211852799999996,3.2237332999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1429 reviews

Name: Cafe Rose Red
link: https://www.google.com/maps/search/Cafe+Rose+Red/@51.2101103,3.2259607999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1415 reviews

Name: @ The Pub
link: https://www.google.com/maps/search/%40+The+Pub/@51.2078024,3.2246999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 763 reviews

Name: Beers Yesterday's World
link: https://www.google.com/maps/search/Beers+Yesterday%27s+World/@51.2023187,3.2254304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 419 reviews",http://www.degarre.be/,De Garre (Ye Zhu ),https://www.google.com/maps/contrib/108770836962541891420,https://lh5.googleusercontent.com/p/AF1QipMFmtrUQ_m4mQi4iMPAfShGINbVa15ftmJWItur=w408-h544-k-no,Jiu Ba ,"Jiu Ba , Ka Pei Ting ",4.7,12:00-23:30,Open All Days,+32 50 34 10 29,"De Garre, 1, 8000 Brugge, Bi Li Shi ","Qi Si , Zou Lang , Lu You , Gu Dian , Niang Zao , Pao Mo ",https://www.google.com/maps/place/De+Garre/data=!4m7!3m6!1s0x47c350cff8807015:0xc10ac850c0b046cc!8m2!3d51.2083347!4d3.2258407!16s%2Fg%2F121l0wjw!19sChIJFXCA-M9Qw0cRzEawwFDICsE?authuser=0&hl=zh-TW&rclk=1
ChIJa3RT4dpQw0cRkSAGqGh3-ck,The Old Chocolate House,"Mi Ren De Shang Dian Jian Ka Pei Ting ,Gong Ying Shou Gong Re Qiao Ke Li , Song Lu Qiao Ke Li , Jiang Bing , Bing Gan , Cha He Ka Pei . ",False,2251,"Name: Olivier's Chocolate Shop & Bar
link: https://www.google.com/maps/search/Olivier%27s+Chocolate+Shop+%26+Bar/@51.208566399999995,3.2228060999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 598 reviews

Name: Chocolatier Dumon
link: https://www.google.com/maps/search/Chocolatier+Dumon/@51.2094064,3.2229779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 593 reviews

Name: Chocolates & Happiness
link: https://www.google.com/maps/search/Chocolates+%26+Happiness/@51.2075415,3.226076?authuser=0&hl=zh-TW&entry=ttu
Reviews: 231 reviews

Name: Neuhaus Chocolates
link: https://www.google.com/maps/search/Neuhaus+Chocolates/@51.206790999999996,3.2221379999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 182 reviews

Name: Chocolaterie Brugge Home Sweet Home
link: https://www.google.com/maps/search/Chocolaterie+Brugge+Home+Sweet+Home/@51.207287699999995,3.2229891?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",http://www.oldchocolatehouse.be/,The Old Chocolate House (Ye Zhu ),https://www.google.com/maps/contrib/106295185631766868409,https://lh5.googleusercontent.com/p/AF1QipNz8G0gV0YOYghhRgMX47RQsuGWWCn6NR4eqGsw=w408-h408-k-no,Zhu Gu Li Dian ,"Zhu Gu Li Dian , Qiao Ke Li Ka Pei Guan , Tian Pin Can Ting , Cha Yi Guan ",4.6,10:00-18:00,Open All Days,,"The Old Chocolate House, Mariastraat 1c, 8000 Brugge, Bi Li Shi ","Song Bing , Cha Dian , Qiao Ke Li Niu Nai , Wan , Ma Ke Bei , Lou Ceng ",https://www.google.com/maps/place/The+Old+Chocolate+House/data=!4m7!3m6!1s0x47c350dae153746b:0xc9f97768a8062091!8m2!3d51.2060759!4d3.2230584!16s%2Fg%2F1tfkvgmv!19sChIJa3RT4dpQw0cRkSAGqGh3-ck?authuser=0&hl=zh-TW&rclk=1
ChIJMSVs5dpQw0cR52Xvz0QdmG4,Le Pain Quotidien,,False,2135,"Name: That's Toast
link: https://www.google.com/maps/search/That%27s+Toast/@51.2063875,3.2192167?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2724 reviews

Name: Sanseveria Bagelsalon
link: https://www.google.com/maps/search/Sanseveria+Bagelsalon/@51.2085157,3.2303043?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1580 reviews

Name: Kottee Kaffee
link: https://www.google.com/maps/search/Kottee+Kaffee/@51.2137531,3.2178832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Cafe Au Lait
link: https://www.google.com/maps/search/Cafe+Au+Lait/@51.2077728,3.2204603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 654 reviews

Name: 'T Eekhoetje
link: https://www.google.com/maps/search/%27T+Eekhoetje/@51.2067802,3.2275853999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 521 reviews",https://www.lepainquotidien.com/be/nl/locations/Simon_Stevin/Simon-Stevinplein-15%3Futm_medium%3Dbusiness-listing%26utm_source%3Dgoogle%26utm_campaign%3Dbusiness-listing%26y_source%3D1_OTQ2MDQ0Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,Le Pain Quotidien (Ye Zhu ),https://www.google.com/maps/contrib/106009430358563182456,https://lh5.googleusercontent.com/p/AF1QipMExW8SCfW1gmqW0omOLNFW6TE3zgX7umVZX9KE=w408-h281-k-no,Can Ting ,"Can Ting , Mian Bao Xi Bing Dian , Zao Can Can Ting , Zao Wu Can Can Ting , Ka Pei Dian ",4.2,07:30-18:00,Open All Days,+32 50 34 29 21,"Le Pain Quotidien, Simon Stevinplein 15, 8000 Brugge, Bi Li Shi ","Zao Wu Can , You Ji , Gao , Ke Song , Chao Dan , Na Tie , Zhong Ting ",https://www.google.com/maps/place/Le+Pain+Quotidien/data=!4m7!3m6!1s0x47c350dae56c2531:0x6e981d44cfef65e7!8m2!3d51.2063658!4d3.2225856!16s%2Fg%2F11c575qxms!19sChIJMSVs5dpQw0cR52Xvz0QdmG4?authuser=0&hl=zh-TW&rclk=1
ChIJ7ZhOX9pQw0cR7Rco0hoLdSA,'t Brugs Beertje,,False,1758,"Name: De Garre
link: https://www.google.com/maps/search/De+Garre/@51.208334699999995,3.2258407?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2924 reviews

Name: Le Trappiste
link: https://www.google.com/maps/search/Le+Trappiste/@51.210837999999995,3.222809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2695 reviews

Name: Bieratelier Brugge
link: https://www.google.com/maps/search/Bieratelier+Brugge/@51.20205060000001,3.2252592?authuser=0&hl=zh-TW&entry=ttu
Reviews: 723 reviews

Name: Duvelorium Belgian Beer Bar
link: https://www.google.com/maps/search/Duvelorium+Belgian+Beer+Bar/@51.2091809,3.224951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 398 reviews

Name: Cafe Cambrinus
link: https://www.google.com/maps/search/Cafe+Cambrinus/@51.2094968,3.2252315?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews",https://www.brugsbeertje.be/,'t Brugs Beertje (Ye Zhu ),https://www.google.com/maps/contrib/103138562652326492437,https://lh5.googleusercontent.com/p/AF1QipNuZsNblBran5orvLkSEY_kWDlL9rBMTAAH79uD=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.7,16:00-00:00,Xing Qi San ,+32 50 33 96 16,"'t Brugs Beertje, Kemelstraat 5, 8000 Brugge, Bi Li Shi ","Xiao Jiu Ba , Lu You , Diao Jiu Shi , Gu Dian ",https://www.google.com/maps/place/%27%27t+Brugs+Beertje%27/data=!4m7!3m6!1s0x47c350da5f4e98ed:0x20750b1ad22817ed!8m2!3d51.2068237!4d3.2217179!16s%2Fg%2F1v6l6nd6!19sChIJ7ZhOX9pQw0cR7Rco0hoLdSA?authuser=0&hl=zh-TW&rclk=1
ChIJ8-ydWc9Qw0cRT-ijSlE6A70,Sanseveria Bagelsalon,,False,1585,"Name: Balthasar Brugge
link: https://www.google.com/maps/search/Balthasar+Brugge/@51.2082376,3.2216663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 939 reviews

Name: @Tattie's
link: https://www.google.com/maps/search/%40Tattie%27s/@51.211760999999996,3.2257336999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 692 reviews

Name: Kottee Kaffee
link: https://www.google.com/maps/search/Kottee+Kaffee/@51.2137531,3.2178832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Brunch & Blunch
link: https://www.google.com/maps/search/Brunch+%26+Blunch/@51.2097911,3.2248332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.sanseveria.be/,Sanseveria Bagelsalon (Ye Zhu ),https://www.google.com/maps/contrib/103582225172644962298,https://lh5.googleusercontent.com/p/AF1QipPu_zTmIuTXFdO7nJ32_BfA-WckoNSlxVqpUZoV=w426-h240-k-no,Mian Bao Quan Dian ,"Mian Bao Quan Dian , Fan He Gong Ying Shang , Zao Can Can Ting , Zao Wu Can Can Ting , Ka Pei Ting , Ka Pei Dian , Chu Fang Gai Jian Gong Si , Wu Can Can Ting ",4.6,08:00-17:00,Open All Days,+32 50 34 81 43,"Sanseveria Bagelsalon, Predikherenstraat 11, 8000 Brugge, Bi Li Shi ","Su Shi , You Ge , Wan , Lu You , Qiao Ke Li Dan Gao , Fu Gu ",https://www.google.com/maps/place/Sanseveria+Bagelsalon/data=!4m7!3m6!1s0x47c350cf599decf3:0xbd033a514aa3e84f!8m2!3d51.2085157!4d3.2303043!16s%2Fg%2F11b6zv191r!19sChIJ8-ydWc9Qw0cRT-ijSlE6A70?authuser=0&hl=zh-TW&rclk=1
ChIJr1rDRcNQw0cRsxN43ozQrpQ,Carpe Diem Bakery & Tea-room,,False,1434,"Name: Le Pain Quotidien
link: https://www.google.com/maps/search/Le+Pain+Quotidien/@51.2063658,3.2225856?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2134 reviews

Name: Aux Merveilleux De Fred Bruges
link: https://www.google.com/maps/search/Aux+Merveilleux+De+Fred+Bruges/@51.2091479,3.2228833?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1346 reviews

Name: Tea-Room De Proeverie
link: https://www.google.com/maps/search/Tea-Room+De+Proeverie/@51.2036218,3.2246492?authuser=0&hl=zh-TW&entry=ttu
Reviews: 633 reviews

Name: Patisserie Schaeverbeke
link: https://www.google.com/maps/search/Patisserie+Schaeverbeke/@51.20452160000001,3.232078?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: Patisserie Vanmullem
link: https://www.google.com/maps/search/Patisserie+Vanmullem/@51.2107083,3.2245028?authuser=0&hl=zh-TW&entry=ttu
Reviews: 228 reviews",http://www.tearoom-carpediem.be/,Carpe Diem Bakery & Tea-room (Ye Zhu ),https://www.google.com/maps/contrib/117927799271153683113,https://lh5.googleusercontent.com/p/AF1QipPMe0Kf9cfiHxOuzVUUjYukqkwNzZJLvbL03Kpa=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Fa Shi Can Ting ",4.5,07:00-18:00,Open All Days,+32 50 33 54 47,"Carpe Diem Bakery & Tea-room, Wijngaardstraat 8, 8000 Brugge, Bi Li Shi ","Zao Can , Song Bing , Ke Ke , Cha Dian , Zao Wu Can , atmosphere, Ou Mu Dan , Lu You , Zhuang Xiu , Shou Gong ",https://www.google.com/maps/place/Carpe+Diem+Bakery+%26+Tea-room/data=!4m7!3m6!1s0x47c350c345c35aaf:0x94aed08cde7813b3!8m2!3d51.2023!4d3.2253278!16s%2Fg%2F1td41nf6!19sChIJr1rDRcNQw0cRsxN43ozQrpQ?authuser=0&hl=zh-TW&rclk=1
ChIJo-2hVOdQw0cRVjwdJXZy2-s,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1166,"Name: EspressoBar - I Love Coffee
link: https://www.google.com/maps/search/EspressoBar+-+I+Love+Coffee/@51.2094428,3.2224904?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1160 reviews

Name: Vero Caffe
link: https://www.google.com/maps/search/Vero+Caff%C3%A8/@51.210729699999995,3.2256923000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 858 reviews

Name: EXKI Brugge
link: https://www.google.com/maps/search/EXKI+Brugge/@51.1968463,3.2165974?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: FlavouRRs Brugge station
link: https://www.google.com/maps/search/FlavouRRs+Brugge+station/@51.1974149,3.2182424999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: Bruno Foodcorner Brugge
link: https://www.google.com/maps/search/Bruno+Foodcorner+Brugge/@51.197207999999996,3.2181254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews",http://www.starbucks.com/,Starbucks (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNEvqVTh-qEB_XBhesc81Lz3XC1Id429J7w0ax2=w408-h560-k-no,Ka Pei Dian ,Ka Pei Dian ,4,06:00-20:00,Open All Days,+32 50 72 09 25,"Starbucks, Stationsplein 5, 8000 Brugge, Bi Li Shi ","Che Zhan , Yuan Gong , Ming , Qia Bu Qi Nuo , Nai , Bing Gan , Ka Pei Shi , wifi, Chan Pin , Ma Ke Bei ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x47c350e754a1eda3:0xebdb7276251d3c56!8m2!3d51.1970777!4d3.2177888!16s%2Fg%2F11g_64469!19sChIJo-2hVOdQw0cRVjwdJXZy2-s?authuser=0&hl=zh-TW&rclk=1
ChIJOXp8YdBQw0cRCZPqetyVDSQ,EspressoBar - I Love Coffee,,False,1160,"Name: The Republic
link: https://www.google.com/maps/search/The+Republic/@51.210260100000006,3.2214601000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2514 reviews

Name: Vero Caffe
link: https://www.google.com/maps/search/Vero+Caff%C3%A8/@51.210729699999995,3.2256923000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 858 reviews

Name: Li O Lait
link: https://www.google.com/maps/search/Li+O+Lait/@51.2057609,3.2194206?authuser=0&hl=zh-TW&entry=ttu
Reviews: 826 reviews

Name: WE ARE COFFEE MAKERS
link: https://www.google.com/maps/search/WE+ARE+COFFEE+MAKERS/@51.2102526,3.2214071?authuser=0&hl=zh-TW&entry=ttu
Reviews: 508 reviews

Name: Coffeebar Adriaan
link: https://www.google.com/maps/search/Coffeebar+Adriaan/@51.2108078,3.2237238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews",http://ilovecoffeebrugge.com/,EspressoBar - I Love Coffee (Ye Zhu ),https://www.google.com/maps/contrib/100196845099131857233,https://lh5.googleusercontent.com/p/AF1QipOSJsLebOdeaM9ENEEt4WD2QxVfkP7uQxG-38mm=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,09:00-18:00,Xing Qi Si ,,"EspressoBar - I Love Coffee, Sint-Jakobsstraat 10, 8000 Brugge, Bi Li Shi ","Ke Ke , Ce Suo , flat white, Yin Du Nai Cha , Zhuang Xiu , Pin Guo Pai , Qiao Ke Li Niu Nai ",https://www.google.com/maps/place/EspressoBar+-+I+Love+Coffee/data=!4m7!3m6!1s0x47c350d0617c7a39:0x240d95dc7aea9309!8m2!3d51.2094428!4d3.2224904!16s%2Fg%2F11b727rj0g!19sChIJOXp8YdBQw0cRCZPqetyVDSQ?authuser=0&hl=zh-TW&rclk=1
ChIJ3xJNjs9Qw0cRvIUUnCqe1z8,Tompouce,,False,1056,"Name: Restaurant Diligence
link: https://www.google.com/maps/search/Restaurant+Diligence/@51.209225599999996,3.2278967?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1087 reviews

Name: Delice Brugge
link: https://www.google.com/maps/search/D%C3%A9lice+Brugge/@51.201872099999996,3.225014?authuser=0&hl=zh-TW&entry=ttu
Reviews: 736 reviews

Name: Bistrobar Boreas
link: https://www.google.com/maps/search/Bistrobar+Boreas/@51.2027908,3.2245917?authuser=0&hl=zh-TW&entry=ttu
Reviews: 379 reviews

Name: PlazaCafe
link: https://www.google.com/maps/search/PlazaCaf%C3%A9/@51.2090464,3.2272805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews",http://www.tompoucebrugge.be/,Tompouce (Ye Zhu ),https://www.google.com/maps/contrib/113861341404214424183,https://lh5.googleusercontent.com/p/AF1QipOL0fBj3ZG6i6pozUnJk64VOZY11hGV_wNUhLcu=w408-h272-k-no,Can Ting ,"Can Ting , Pi Jiu Guan , Xiao Can Guan  (Bistro), Mei Shi Ba Fang , Ka Pei Dian , Fa Shi Bo Bing Can Ting , Fa Shi Can Ting ",3.5,10:00-22:00,Open All Days,+32 50 33 03 36,"Tompouce, Burg 17, 8000 Brugge, Bi Li Shi ","Lu You , Song Bing , Dan Cai , Guang Chang , Tu , Bai Jiu , Ke Ke ",https://www.google.com/maps/place/Tompouce/data=!4m7!3m6!1s0x47c350cf8e4d12df:0x3fd79e2a9c1485bc!8m2!3d51.2084264!4d3.2262648!16s%2Fg%2F1tfptf41!19sChIJ3xJNjs9Qw0cRvIUUnCqe1z8?authuser=0&hl=zh-TW&rclk=1
ChIJA1bQ089Qw0cR2KdBiljoChY,Vero Caffe,,False,860,"Name: Sanseveria Bagelsalon
link: https://www.google.com/maps/search/Sanseveria+Bagelsalon/@51.2085157,3.2303043?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1580 reviews

Name: EspressoBar - I Love Coffee
link: https://www.google.com/maps/search/EspressoBar+-+I+Love+Coffee/@51.2094428,3.2224904?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1160 reviews

Name: Kottee Kaffee
link: https://www.google.com/maps/search/Kottee+Kaffee/@51.2137531,3.2178832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Tea-Room De Proeverie
link: https://www.google.com/maps/search/Tea-Room+De+Proeverie/@51.2036218,3.2246492?authuser=0&hl=zh-TW&entry=ttu
Reviews: 633 reviews

Name: Coffeebar Adriaan
link: https://www.google.com/maps/search/Coffeebar+Adriaan/@51.2108078,3.2237238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews",https://www.verocaffe.be/,Vero Caffe (Ye Zhu ),https://www.google.com/maps/contrib/116099626392950351141,https://lh5.googleusercontent.com/p/AF1QipNUb8OokNYnywEcxGtChOGTzr0y3ZVq4_DQrBhm=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Zao Wu Can Can Ting , Wu Can Can Ting ",4.4,09:00-17:00,"Xing Qi San , Xing Qi Si ",+32 484 76 41 10,"Vero Caffe, Sint-Jansplein 9, 8000 Brugge, Bi Li Shi ","vegan, Zao Wu Can , Bu Lang Ni , Lu You , Song Bing , Bei Guo , Qiao Ke Li Dan Gao , Re Dian ",https://www.google.com/maps/place/Vero+Caff%C3%A8/data=!4m7!3m6!1s0x47c350cfd3d05603:0x160ae8588a41a7d8!8m2!3d51.2107297!4d3.2256923!16s%2Fg%2F1q69jdxhd!19sChIJA1bQ089Qw0cR2KdBiljoChY?authuser=0&hl=zh-TW&rclk=1
