place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJcb0EdpDCQUcRhms190X8gy0,TESCO Pesterzsebet Hipermarket,,False,5853,"Name: Alma Gyogyszertar
link: https://www.google.com/maps/search/Alma+Gy%C3%B3gyszert%C3%A1r/@47.426809899999995,19.1463215?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Kinai aruhaz
link: https://www.google.com/maps/search/K%C3%ADnai+%C3%A1ruh%C3%A1z/@47.427768,19.1475689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Pesterzsebet Hipermarket
link: https://www.google.com/maps/search/Pesterzs%C3%A9bet+Hipermarket/@47.426963,19.145394?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Tesco Megapark Atvevopont
link: https://www.google.com/maps/search/Tesco+Megapark+%C3%81tvev%C5%91pont/@47.4282107,19.1475415?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://tesco.hu/aruhazak/aruhaz/tesco-pesterzsebet-hipermarket/,TESCO Pesterzsebet Hipermarket (Ye Zhu ),https://www.google.com/maps/contrib/112143626975423575729,https://lh5.googleusercontent.com/p/AF1QipMdvhOD3WnkLqmFkJ0x4L7QdbgleEpp6h-aGk21=w408-h306-k-no,Da Xing Chao Ji Shi Chang ,"Da Xing Chao Ji Shi Chang , Za Huo Dian , Gou Wu Zhong Xin , Chao Ji Shi Chang ",3.7,06:00-22:00,"Xing Qi Yi , Xing Qi Er ",,"Budapest, TESCO Pesterzsebet Hipermarket, Martirok utja 281, 1204 Xiong Ya Li ","Jia Ge , Ting Che , Jia Zi , Xu Qiu , Mian Bao ",https://www.google.com/maps/place/TESCO+Pesterzs%C3%A9bet+Hipermarket/data=!4m7!3m6!1s0x4741c2907604bd71:0x2d83fc45f7356b86!8m2!3d47.42753!4d19.14632!16s%2Fg%2F119tv5pxz!19sChIJcb0EdpDCQUcRhms190X8gy0?authuser=0&hl=zh-TW&rclk=1
ChIJZaUwZ63CQUcRJxdJJs2V5Vk,INTERSPAR,,False,4741,"Name: Center Pets Allateledel es felszereles
link: https://www.google.com/maps/search/Center+Pets+%C3%81llateledel+%C3%A9s+felszerel%C3%A9s/@47.4390442,19.1005878?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: Interspar Lottozo Pesterzsebet
link: https://www.google.com/maps/search/Interspar+Lott%C3%B3z%C3%B3+Pesterzs%C3%A9bet/@47.439313399999996,19.1002728?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Elelmiszer bolt
link: https://www.google.com/maps/search/%C3%89lelmiszer+bolt/@47.4408076,19.095960700000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: Interspar Parkolo
link: https://www.google.com/maps/search/Interspar+Parkol%C3%B3/@47.438676,19.1010268?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Supermarket
link: https://www.google.com/maps/search/Supermarket/@47.4419706,19.111594999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.spar.hu/uzletek/interspar-hipermarket-budapest-xx-1203-szechenyi-utca-1-,INTERSPAR (Ye Zhu ),https://www.google.com/maps/contrib/100397048281918202362,https://lh5.googleusercontent.com/p/AF1QipO5lpB1TRNcf8aImdpe943uIE-08eDCz9hW23EO=w533-h240-k-no,Da Xing Chao Ji Shi Chang ,"Da Xing Chao Ji Shi Chang , Chao Ji Shi Chang ",4.3,06:00-21:00,"Xing Qi Yi , Xing Qi Er ",+36 20 823 8076,"Budapest, INTERSPAR, Szechenyi u. 1, 1203 Xiong Ya Li ","Jia Ge , Ting Che , Shui Guo , Jia Zi ",https://www.google.com/maps/place/INTERSPAR/data=!4m7!3m6!1s0x4741c2ad6730a565:0x59e595cd26491727!8m2!3d47.4396519!4d19.1003535!16s%2Fg%2F1hjgpj34d!19sChIJZaUwZ63CQUcRJxdJJs2V5Vk?authuser=0&hl=zh-TW&rclk=1
ChIJGyzE_xTcQUcRlvjbtChDLtU,espresso embassy,,False,3863,"Name: Madal Ka Pei Guan 
link: https://www.google.com/maps/search/Madal+%E5%92%96%E5%95%A1%E9%A4%A8/@47.4925548,19.0561834?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2690 reviews

Name: Starbucks Promenade
link: https://www.google.com/maps/search/Starbucks+Promenade/@47.4952487,19.0489391?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1930 reviews

Name: Budapest Baristas
link: https://www.google.com/maps/search/Budapest+Baristas/@47.4925375,19.0606983?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1618 reviews

Name: Kontakt - speciality coffeeshop
link: https://www.google.com/maps/search/Kontakt+-+speciality+coffeeshop/@47.4955432,19.0578407?authuser=0&hl=zh-TW&entry=ttu
Reviews: 868 reviews

Name: GoodCafe
link: https://www.google.com/maps/search/GoodCaf%C3%A9/@47.5019613,19.0499671?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",https://espressoembassy.hu/,espresso embassy (Ye Zhu ),https://www.google.com/maps/contrib/100785442775333539775,https://lh5.googleusercontent.com/p/AF1QipNDcuDvX2Ogto1F9034A_8mw0sERkO5ujQk3PyT=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,08:30-17:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+36 20 445 0063,"Budapest, espresso embassy, Arany Janos u. 15, 1051 Xiong Ya Li ","flat white, Bi Dian , Zhuan , Dou Jiang , Zi Lai Shui ",https://www.google.com/maps/place/espresso+embassy/data=!4m7!3m6!1s0x4741dc14ffc42c1b:0xd52e4328b4dbf896!8m2!3d47.501941!4d19.049828!16s%2Fg%2F1q2wkxm7b!19sChIJGyzE_xTcQUcRlvjbtChDLtU?authuser=0&hl=zh-TW&rclk=1
ChIJWfezQE3cQUcRqgynIjQ5e6E,Kelet Kavezo es Galeria,"Liang Pang Pai Lie Zhu Shu Jia De Xiu Xian Ka Pei Guan ,Gong Ying Zao Can Zhu Shi , Yi Guo Feng Wei Jian Can ,Yi Ji Ka Pei He Pu Tao Jiu . ",False,3520,"Name: Cafe Frei
link: https://www.google.com/maps/search/Cafe+Frei/@47.475022499999994,19.0489757?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1716 reviews

Name: Magveto Cafe
link: https://www.google.com/maps/search/Magvet%C5%91+Caf%C3%A9/@47.495700799999995,19.0638522?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1482 reviews

Name: Spatula Cafe
link: https://www.google.com/maps/search/Spatula+Cafe/@47.4824201,19.0530146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 251 reviews

Name: Gross Arnold Gallery and Cafe
link: https://www.google.com/maps/search/Gross+Arnold+Gallery+and+Cafe/@47.4787515,19.0500811?authuser=0&hl=zh-TW&entry=ttu
Reviews: 197 reviews

Name: 7:55 Coffee Shop
link: https://www.google.com/maps/search/7%3A55+Coffee+Shop/@47.4776908,19.052450699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews",http://keletkavezo.hu/,Kelet Kavezo es Galeria (Ye Zhu ),https://www.google.com/maps/contrib/105303396199139728332,https://lh5.googleusercontent.com/p/AF1QipMwPurts4ufmbvHfaAW4a4Eymfgf9Gd-zOCsv1N=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,07:30-22:30,Open All Days,,"Budapest, Kelet Kavezo es Galeria, Bartok Bela ut 29, 1114 Xiong Ya Li ","atmosphere, Yue Du , Tu Shu Guan , Tang , Ou Mu Dan , Huan Jing , Di Ban , Za Zhi ",https://www.google.com/maps/place/Kelet+K%C3%A1v%C3%A9z%C3%B3+%C3%A9s+Gal%C3%A9ria/data=!4m7!3m6!1s0x4741dc4d40b3f759:0xa17b393422a70caa!8m2!3d47.4797724!4d19.0508635!16s%2Fg%2F11b6d0016_!19sChIJWfezQE3cQUcRqgynIjQ5e6E?authuser=0&hl=zh-TW&rclk=1
ChIJC15ObUTcQUcRi-7fu1-AU7k,Madal Ka Pei Guan ,,False,2691,"Name: espresso embassy
link: https://www.google.com/maps/search/espresso+embassy/@47.501940999999995,19.049827999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3861 reviews

Name: Budapest Baristas
link: https://www.google.com/maps/search/Budapest+Baristas/@47.4925375,19.0606983?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1618 reviews

Name: Mantra Specialty Coffee Minibar
link: https://www.google.com/maps/search/Mantra+Specialty+Coffee+Minibar/@47.490061999999995,19.0568764?authuser=0&hl=zh-TW&entry=ttu
Reviews: 946 reviews

Name: Kontakt - speciality coffeeshop
link: https://www.google.com/maps/search/Kontakt+-+speciality+coffeeshop/@47.4955432,19.0578407?authuser=0&hl=zh-TW&entry=ttu
Reviews: 868 reviews

Name: Mon Cafe
link: https://www.google.com/maps/search/Mon+Caf%C3%A9/@47.4921879,19.0551572?authuser=0&hl=zh-TW&entry=ttu
Reviews: 277 reviews",http://www.madalcafe.hu/,Madal Ka Pei Guan  (Ye Zhu ),https://www.google.com/maps/contrib/117129429237650574514,https://lh5.googleusercontent.com/p/AF1QipNhhdBph5wJngjj8tv1D_SMRx8bnfgwYPT-bL0_=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.6,07:30-19:30,Open All Days,+36 70 945 8279,"Budapest, Madal Ka Pei Guan  Ferenciek tere 3, 1053 Xiong Ya Li ","vegan, Ke Song , flat white, Ru Luo Dan Gao , Bi Dian , Wu Fu Zhi , Bu Lang Ni ",https://www.google.com/maps/place/Madal+%E5%92%96%E5%95%A1%E9%A4%A8/data=!4m7!3m6!1s0x4741dc446d4e5e0b:0xb953805fbbdfee8b!8m2!3d47.4925548!4d19.0561834!16s%2Fg%2F11c3sqf0m8!19sChIJC15ObUTcQUcRi-7fu1-AU7k?authuser=0&hl=zh-TW&rclk=1
ChIJ8Ycs9SfoQUcRwsKpzQMsJzg,ALDI,"Fan Shou Ge Zhong Za Huo , Rou Lei He Ru Zhi Pin De Lian Suo Ling Shou Shang . ",False,1866,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@47.41618,19.13102?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2164 reviews

Name: Zoldseges
link: https://www.google.com/maps/search/Z%C3%B6lds%C3%A9ges/@47.5635747,19.112586099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Szuper diszkont
link: https://www.google.com/maps/search/Szuper+diszkont/@47.423507699999995,19.1244354?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: AlzaBox
link: https://www.google.com/maps/search/AlzaBox/@47.422643099999995,19.1331806?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: FOXPOST
link: https://www.google.com/maps/search/FOXPOST/@47.4166059,19.142996999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.aldi.hu/,ALDI (Ye Zhu ),https://www.google.com/maps/contrib/114148961908622232997,https://lh5.googleusercontent.com/p/AF1QipMyFJF9-1hvyKNgTfG-69wDybDwMiKO9zGTIEcL=w408-h306-k-no,Za Huo Dian ,"Za Huo Dian , Ping Jia Chao Ji Shi Chang ",4.3,07:00-20:00,"Xing Qi Yi , Xing Qi Er ",+36 80 088 264,"Budapest, ALDI, Koves ut 9, 1204 Xiong Ya Li ",Jia Ge ,https://www.google.com/maps/place/ALDI/data=!4m7!3m6!1s0x4741e827f52c87f1:0x38272c03cda9c2c2!8m2!3d47.4165339!4d19.1426001!16s%2Fg%2F11b5pj68rf!19sChIJ8Ycs9SfoQUcRwsKpzQMsJzg?authuser=0&hl=zh-TW&rclk=1
ChIJURqcDK3CQUcRj6MH4eh8iwE,PENNY. Topanka,,False,1864,"Name: Nemzeti Dohanybolt
link: https://www.google.com/maps/search/Nemzeti+Doh%C3%A1nybolt/@47.437838,19.101124499999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Penny Market Parkolo
link: https://www.google.com/maps/search/Penny+Market+Parkol%C3%B3/@47.4380974,19.1009732?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Top-Market Kft.
link: https://www.google.com/maps/search/Top-Market+Kft./@47.432134999999995,19.095467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.penny.hu/,PENNY. Topanka (Ye Zhu ),https://www.google.com/maps/contrib/118335502647716126214,https://lh5.googleusercontent.com/p/AF1QipPTqHixjpt9Y6FZ45fuqQ2LRVou3oeCKP0nOKpy=w408-h306-k-no,Zhe Kou Shang Dian ,"Zhe Kou Shang Dian , Za Huo Dian , Chao Ji Shi Chang ",3.9,06:00-21:00,Open All Days,+36 29 339 345,"Budapest, PENNY. Topanka, Topanka u. 7, 1203 Xiong Ya Li ",,https://www.google.com/maps/place/PENNY.+Top%C3%A1nka/data=!4m7!3m6!1s0x4741c2ad0c9c1a51:0x18b7ce8e107a38f!8m2!3d47.4382152!4d19.1013924!16s%2Fg%2F12mkw93th!19sChIJURqcDK3CQUcRj6MH4eh8iwE?authuser=0&hl=zh-TW&rclk=1
ChIJBU1pkNfCQUcR1qaxqxhIfCg,CAFE FREI SHOPMARK,,False,1440,"Name: Cafe Frei Corvin setany
link: https://www.google.com/maps/search/Cafe+Frei+Corvin+s%C3%A9t%C3%A1ny/@47.485613199999996,19.0791126?authuser=0&hl=zh-TW&entry=ttu
Reviews: 267 reviews

Name: JoAsszony gyorsetterem - Shopmark
link: https://www.google.com/maps/search/J%C3%B3Asszony+gyors%C3%A9tterem+-+Shopmark/@47.463448799999995,19.128373699999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 111 reviews

Name: Cortesi Shopmark
link: https://www.google.com/maps/search/Cortesi+Shopmark/@47.46375690000001,19.1297596?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: COFFEINE STORE & CO
link: https://www.google.com/maps/search/COFFEINE+STORE+%26+CO/@47.4634982,19.128733900000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews",http://www.cafefrei.hu/,CAFE FREI SHOPMARK (Ye Zhu ),https://www.google.com/maps/contrib/110199407335312627315,https://lh5.googleusercontent.com/p/AF1QipNbty_-Uj1o4AxUO_XRAX1FwMEWgeemeEgr3NZq=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Qu Qi Bing Dian , Cha Yi Guan ",4.3,09:00-20:00,Open All Days,,"Budapest, CAFE FREI SHOPMARK, Ulloi ut 201, 1191 Xiong Ya Li ","Dan Gao , Qia Bu Qi Nuo ",https://www.google.com/maps/place/CAFE+FREI+SHOPMARK/data=!4m7!3m6!1s0x4741c2d790694d05:0x287c4818abb1a6d6!8m2!3d47.463728!4d19.1280998!16s%2Fg%2F11dxcjctyg!19sChIJBU1pkNfCQUcR1qaxqxhIfCg?authuser=0&hl=zh-TW&rclk=1
ChIJZRMj7x_DQUcRrqLmswpJxh8,Cafe Frei,,False,1017,"Name: Cafe Frei Karoly Korut
link: https://www.google.com/maps/search/Cafe+Frei+K%C3%A1roly+K%C3%B6r%C3%BAt/@47.496735099999995,19.057707399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2818 reviews

Name: Cafe Frei Corvin setany
link: https://www.google.com/maps/search/Cafe+Frei+Corvin+s%C3%A9t%C3%A1ny/@47.485613199999996,19.0791126?authuser=0&hl=zh-TW&entry=ttu
Reviews: 267 reviews

Name: Terminal Cafe
link: https://www.google.com/maps/search/Terminal+Cafe/@47.462457799999996,19.147569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Szamos Csokolade - Sutemeny
link: https://www.google.com/maps/search/Szamos+Csokol%C3%A1d%C3%A9+-+S%C3%BCtem%C3%A9ny/@47.462694000000006,19.147234700000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Box Cafe
link: https://www.google.com/maps/search/Box+Cafe/@47.462527099999996,19.1467217?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.cafefrei.hu/,Cafe Frei (Ye Zhu ),https://www.google.com/maps/contrib/105188390196488833478,https://lh5.googleusercontent.com/p/AF1QipO9651aQ-9LxpIl41PRVbKNhWUuiq9G15yrWBuH=w408-h305-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Qu Qi Bing Dian , Cha Yi Guan ",4.5,10:00-20:00,Open All Days,,"Budapest, Cafe Frei, Vak Bottyan u. 75/A-C, 1191 Xiong Ya Li ","Jia Ge , Dan Gao , Shu ",https://www.google.com/maps/place/Cafe+Frei/data=!4m7!3m6!1s0x4741c31fef231365:0x1fc6490ab3e6a2ae!8m2!3d47.4630936!4d19.1460619!16s%2Fg%2F11bbrj2nl2!19sChIJZRMj7x_DQUcRrqLmswpJxh8?authuser=0&hl=zh-TW&rclk=1
ChIJF8EuREXcQUcRCyTs_JF-sac,Mantra Specialty Coffee Minibar,,False,946,"Name: Madal Ka Pei Guan 
link: https://www.google.com/maps/search/Madal+%E5%92%96%E5%95%A1%E9%A4%A8/@47.4925548,19.0561834?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2690 reviews

Name: Budapest Baristas
link: https://www.google.com/maps/search/Budapest+Baristas/@47.4925375,19.0606983?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1618 reviews

Name: DoubleShot Coffee & Brunch
link: https://www.google.com/maps/search/DoubleShot+Coffee+%26+Brunch/@47.488618599999995,19.0580811?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1309 reviews

Name: Kontakt - speciality coffeeshop
link: https://www.google.com/maps/search/Kontakt+-+speciality+coffeeshop/@47.4955432,19.0578407?authuser=0&hl=zh-TW&entry=ttu
Reviews: 868 reviews

Name: Mon Cafe
link: https://www.google.com/maps/search/Mon+Caf%C3%A9/@47.4921879,19.0551572?authuser=0&hl=zh-TW&entry=ttu
Reviews: 277 reviews",http://mantracoffee.hu/,Mantra Specialty Coffee Minibar (Ye Zhu ),https://www.google.com/maps/contrib/113116588657506199175,https://lh5.googleusercontent.com/p/AF1QipPn6z6bvrn5NDOPq9rkKknJJ8NrL0uMp1X6qyf_=w426-h240-k-no,Zheng Liu Ka Pei Ba ,Zheng Liu Ka Pei Ba ,4.8,08:00-18:00,Open All Days,+36 70 392 0212,"Budapest, Mantra Specialty Coffee Minibar, Veres Palne u. 17, 1053 Xiong Ya Li ","atmosphere, Ka Pei Shi , Ru Luo Dan Gao , Kao , flat white, Yin Du Nai Cha , Dou , Sha Fa , Mo Cha , Bi Dian ",https://www.google.com/maps/place/Mantra+Specialty+Coffee+Minibar/data=!4m7!3m6!1s0x4741dc45442ec117:0xa7b17e91fcec240b!8m2!3d47.490062!4d19.0568764!16s%2Fg%2F11bbv128rm!19sChIJF8EuREXcQUcRCyTs_JF-sac?authuser=0&hl=zh-TW&rclk=1
