place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJDwmgytmCwRkRA5tR969gMkk,Amahoro Cafe,,False,56,"Name: Le Cafe Gourmand
link: https://www.google.com/maps/search/Le+Caf%C3%A9+Gourmand/@-3.3845475,29.368442299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 353 reviews

Name: Bujacafe
link: https://www.google.com/maps/search/Bujacafe/@-3.387021,29.360136299999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 134 reviews

Name: KEZAMIA Restaurant
link: https://www.google.com/maps/search/KEZAMIA+Restaurant/@-3.3850702,29.3778779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Aroma cafe
link: https://www.google.com/maps/search/Aroma+caf%C3%A9/@-3.3888718,29.3603265?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Hotel Amahoro
link: https://www.google.com/maps/search/Hotel+Amahoro/@-3.3845828,29.363564099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",https://www.facebook.com/amahorocafe/%3Ffref%3Dts,Amahoro Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOE4zRH9NXEvFcRTuJmaDjpQnnSedRaqbzeZdyJ=w408-h316-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,07:00-19:00,Xing Qi Ri ,+257 75 55 75 57,"Amahoro Cafe, 6 Boulevard du 28 Novembre, Bujumbura, Bu Long Di ","Juan Bing , Luo Li Jiang , Shu Pian , Zao Can , Sha Sha Jiang , Bing Sha ",https://www.google.com/maps/place/Amahoro+Cafe/data=!4m7!3m6!1s0x19c182d9caa0090f:0x493260aff7519b03!8m2!3d-3.3953198!4d29.3744809!16s%2Fg%2F11cp5z_0rr!19sChIJDwmgytmCwRkRA5tR969gMkk?authuser=0&hl=zh-TW&rclk=1
ChIJr5u3iMaCwRkR_YtnOVUkTx0,Vaya Apartments,,False,34,,https://orchid-apartments-services-45.webself.net/,Vaya Apartments (Ye Zhu ),https://www.google.com/maps/contrib/110442571206027263003,https://lh5.googleusercontent.com/p/AF1QipPy8CAYkfsbdEkFhAZv4IusDsg6GsYIh59I2Cs=w408-h260-k-no,Bin Guan ,"Bin Guan , Min Su , Jiu Dian , Xiang Cun Xiao Wu ",4.1,,Open All Days,+32 485 55 30 68,"Vaya Apartments, Kiriri B.P 1267, A cote du Monument de l'Unite, 127 Chaussee Prince Louis Rwagasore, Bujumbura, Bu Long Di ",,https://www.google.com/maps/place/Vaya+Apartments/data=!4m10!3m9!1s0x19c182c688b79baf:0x1d4f245539678bfd!5m2!4m1!1i2!8m2!3d-3.3934225!4d29.3895131!16s%2Fg%2F1pv0vf2ll!19sChIJr5u3iMaCwRkR_YtnOVUkTx0?authuser=0&hl=zh-TW&rclk=1
ChIJX3zP_GGDwRkRV-VW_3zm65s,Bahizi Cafe,,False,33,"Name: Bujacafe
link: https://www.google.com/maps/search/Bujacafe/@-3.387021,29.360136299999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 134 reviews

Name: Zanzi
link: https://www.google.com/maps/search/Zanzi/@-3.3840065999999998,29.359939999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews

Name: Amahoro Cafe
link: https://www.google.com/maps/search/Amahoro+Cafe/@-3.3953197999999998,29.3744809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: KEZAMIA Restaurant
link: https://www.google.com/maps/search/KEZAMIA+Restaurant/@-3.3850702,29.3778779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Coffee Planet
link: https://www.google.com/maps/search/Coffee+Planet/@-3.3804588,29.366633999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",http://www.bahizicafe.com/,Bahizi Cafe (Ye Zhu ),https://www.google.com/maps/contrib/109435762271978267931,https://lh5.googleusercontent.com/p/AF1QipOug76lnq11eh1SG4fL--9mAtUxDGKhUpEpuyJd=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,07:00-21:00,Open All Days,+257 79 04 34 69,"Bahizi Cafe, 14c, Rohero 1 Ave du 18 Septembre, Bujumbura, Bu Long Di ",Na Tie ,https://www.google.com/maps/place/Bahizi+Caf%C3%A9/data=!4m7!3m6!1s0x19c18361fccf7c5f:0x9bebe67cff56e557!8m2!3d-3.3841937!4d29.3602516!16s%2Fg%2F11pqwdp5pq!19sChIJX3zP_GGDwRkRV-VW_3zm65s?authuser=0&hl=zh-TW&rclk=1
ChIJY6KrFhuDwRkRov5WvvWCglQ,Aroma cafe,,False,28,"Name: Le Cafe Gourmand
link: https://www.google.com/maps/search/Le+Caf%C3%A9+Gourmand/@-3.3845475,29.368442299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 353 reviews

Name: Bujacafe
link: https://www.google.com/maps/search/Bujacafe/@-3.387021,29.360136299999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 134 reviews

Name: Amahoro Cafe
link: https://www.google.com/maps/search/Amahoro+Cafe/@-3.3953197999999998,29.3744809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Restaurant Snack Bar Arome
link: https://www.google.com/maps/search/Restaurant+Snack+Bar+Ar%C3%B4me/@-3.3896677,29.369041099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Amir cafe
link: https://www.google.com/maps/search/Amir+cafe/@-3.3843216999999997,29.354957799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.sambicoffee.com/,Aroma cafe (Ye Zhu ),https://www.google.com/maps/contrib/117121853147350040303,https://lh5.googleusercontent.com/p/AF1QipM9HFSRuaTtWa3qgmXLdZS1XAFSGpd_plC_sAKg=w408-h306-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Ka Pei Dian ",4.2,07:30-17:30,Open All Days,+257 71 54 20 61,"Aroma cafe, Av. du 18 Septembre, Bujumbura, Bu Long Di ",,https://www.google.com/maps/place/Aroma+caf%C3%A9/data=!4m7!3m6!1s0x19c1831b16aba263:0x548282f5be56fea2!8m2!3d-3.3888718!4d29.3603265!16s%2Fg%2F11dy5qdwns!19sChIJY6KrFhuDwRkRov5WvvWCglQ?authuser=0&hl=zh-TW&rclk=1
ChIJDfj5iD6DwRkRDwMGSnLAJdY,GELATO DELIGHTS,,False,14,"Name: Maison Cremerie
link: https://www.google.com/maps/search/Maison+Cremerie/@-3.3803691999999996,29.364545699999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Ice Cream Planet
link: https://www.google.com/maps/search/Ice+Cream+Planet/@-3.3804629999999998,29.3664451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: IL Gelato
link: https://www.google.com/maps/search/IL+Gelato/@-3.399344,29.352064?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://gelato-delights.com/Home.html,GELATO DELIGHTS (Ye Zhu ),https://www.google.com/maps/contrib/104725606546775726498,https://lh5.googleusercontent.com/p/AF1QipMYMc5yLjCD9nq0pkw_WE_ATddi6vqmjcjrx7su=w408-h272-k-no,Xue Gao Dian ,"Xue Gao Dian , Zhu Gu Li Dian ",4.6,16:00-21:00,"Xing Qi Yi , Xing Qi Er ",+257 67 32 00 00,"GELATO DELIGHTS, 27, Avenue hotel Tanganyika Quartier Kabondo, Bujumbura, Bu Long Di ",Kou Wei ,https://www.google.com/maps/place/GELATO+DELIGHTS/data=!4m7!3m6!1s0x19c1833e88f9f80d:0xd625c0724a06030f!8m2!3d-3.3939773!4d29.3570378!16s%2Fg%2F11ry7y6f39!19sChIJDfj5iD6DwRkRDwMGSnLAJdY?authuser=0&hl=zh-TW&rclk=1
ChIJS2hmghyDwRkREFnHf2VrdjY,Budget,,False,11,"Name: Fine Furniture (B) S.P.R.L
link: https://www.google.com/maps/search/Fine+Furniture+%28B%29+S.P.R.L/@-3.3834153999999996,29.3620337?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: GTS
link: https://www.google.com/maps/search/GTS/@None,None?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Palais Des Meubles
link: https://www.google.com/maps/search/Palais+Des+Meubles/@-3.3838383999999997,29.360154899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: GENUINE TRADING
link: https://www.google.com/maps/search/GENUINE+TRADING/@-3.3613597,29.359901899999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.budget.bi/,Budget (Ye Zhu ),https://www.google.com/maps/contrib/117951819184766978372,https://lh5.googleusercontent.com/p/AF1QipMNLp9T8JwiufxiDB53E36tASxh_RgQyTCZeplX=w408-h272-k-no,Jia Dian ,"Jia Dian , Dian Qi Yong Pin , Ban Gong Shi Jia Ju Dian ",4.2,09:00-18:00,Open All Days,+257 22 27 84 48,"Budget, Bd de l'Uprona, Bujumbura, Bu Long Di ",,https://www.google.com/maps/place/Budget/data=!4m7!3m6!1s0x19c1831c8266684b:0x36766b657fc75910!8m2!3d-3.3807839!4d29.36579!16s%2Fg%2F11b6dfkjd1!19sChIJS2hmghyDwRkREFnHf2VrdjY?authuser=0&hl=zh-TW&rclk=1
ChIJO4j41ouDwRkRRq2EmQkM4C4,HOBE SNACK BAR MINIMARKET,,False,4,"Name: Au Bon Prix
link: https://www.google.com/maps/search/Au+Bon+Prix/@-3.3938981999999998,29.371494299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: HOBE BAR-MINIMARKET
link: https://www.google.com/maps/search/HOBE+BAR-MINIMARKET/@-3.4062875999999997,29.3620898?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Alimentation Au Bon Prix
link: https://www.google.com/maps/search/Alimentation+Au+Bon+Prix/@-3.3833824999999997,29.3656908?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Supermarket
link: https://www.google.com/maps/search/Supermarket/@-3.3728873999999998,29.389810400000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/Hobe-Minimarket-287735638091295/,HOBE SNACK BAR MINIMARKET (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPL9vlGVXc5MmEbDUjAIzaXxkCrCeetSEJalfFp=w408-h305-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.8,"06:15-13:30, 15:30-22:00",Open All Days,+257 79 65 61 64,"HOBE SNACK BAR MINIMARKET, Kinanira 4, Av King Salomon no 23, Bujumbura, Bu Long Di ",,https://www.google.com/maps/place/HOBE+SNACK+BAR+MINIMARKET/data=!4m7!3m6!1s0x19c1838bd6f8883b:0x2ee00c099984ad46!8m2!3d-3.4180337!4d29.364208!16s%2Fg%2F11fd0lk8xq!19sChIJO4j41ouDwRkRRq2EmQkM4C4?authuser=0&hl=zh-TW&rclk=1
ChIJb3p6U92DwRkRC8HgDlBxUAs,Pick-up Coffee Bujumbura,,False,2,"Name: Le Cafe Gourmand
link: https://www.google.com/maps/search/Le+Caf%C3%A9+Gourmand/@-3.3845475,29.368442299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 353 reviews

Name: Bujacafe
link: https://www.google.com/maps/search/Bujacafe/@-3.387021,29.360136299999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 134 reviews

Name: Aura Cafe
link: https://www.google.com/maps/search/Aura+Caf%C3%A9/@-3.3845259999999997,29.362477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Cup Line
link: https://www.google.com/maps/search/Cup+Line/@-3.3825993999999997,29.364252099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews",https://instagram.com/pickup_coffee_buja%3Figshid%3DYmMyMTA2M2Y%3D,Pick-up Coffee Bujumbura (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOkBTX5wc3n9zKmjPKf7U5vjATh4sQhor8USryC=w408-h306-k-no,Can Ting ,Can Ting ,5,07:30-22:30,Xing Qi Ri ,+257 61 11 14 09,"J95F+4J5 Pick-up Coffee Bujumbura, Bujumbura, Bu Long Di ",,https://www.google.com/maps/place/Pick-up+Coffee+Bujumbura/data=!4m7!3m6!1s0x19c183dd537a7a6f:0xb5071500ee0c10b!8m2!3d-3.3922344!4d29.374094!16s%2Fg%2F11t1hgn92d!19sChIJb3p6U92DwRkRC8HgDlBxUAs?authuser=0&hl=zh-TW&rclk=1
ChIJFwr2PG2DwRkR4cr9-iaOIjw,MR BADAT ICE CREAM CORNER,,False,2,"Name: GELATO DELIGHTS
link: https://www.google.com/maps/search/GELATO+DELIGHTS/@-3.3939773,29.357037799999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Maison Cremerie
link: https://www.google.com/maps/search/Maison+Cremerie/@-3.3803691999999996,29.364545699999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Ice Cream Planet
link: https://www.google.com/maps/search/Ice+Cream+Planet/@-3.3804629999999998,29.3664451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Natura
link: https://www.google.com/maps/search/Natura/@-3.3908339,29.364568499999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://mrbadaticecreamcorner.business.site/,MR BADAT ICE CREAM CORNER (Ye Zhu ),https://www.google.com/maps/contrib/109813632476400977365,https://lh5.googleusercontent.com/p/AF1QipMwFQ2TLubeRgRSmYwj7q-1iC2Z7u39k2d-sL42=w426-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.5,10:00-21:00,Open All Days,+257 71 26 89 50,"MR BADAT ICE CREAM CORNER, GALARIE LA PERLE, Ave du 18 Septembre, Bujumbura, Bu Long Di ",,https://www.google.com/maps/place/MR+BADAT+ICE+CREAM+CORNER/data=!4m7!3m6!1s0x19c1836d3cf60a17:0x3c228e26fafdcae1!8m2!3d-3.3836817!4d29.3606504!16s%2Fg%2F11qrkydjv4!19sChIJFwr2PG2DwRkR4cr9-iaOIjw?authuser=0&hl=zh-TW&rclk=1
ChIJcxmkv1SDwRkRZJSgLKlWo6w,Alimentation Au Bon Prix,,False,1,"Name: Au Bon Prix
link: https://www.google.com/maps/search/Au+Bon+Prix/@-3.3938981999999998,29.371494299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Mini boutique alimentaire
link: https://www.google.com/maps/search/Mini+boutique+alimentaire/@-3.3847323,29.3629463?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Deux Plateaux
link: https://www.google.com/maps/search/Deux+Plateaux/@-3.3833865,29.3656977?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Supermarket
link: https://www.google.com/maps/search/Supermarket/@-3.3728873999999998,29.389810400000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://alimentation-au-bon-prix.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Alimentation Au Bon Prix (Ye Zhu ),https://www.google.com/maps/contrib/113628511344172272399,,Za Huo Dian ,Za Huo Dian ,2,,Open All Days,+257 79 98 94 25,"Alimentation Au Bon Prix, Bujumbura, Bu Long Di ",,https://www.google.com/maps/place/Alimentation+Au+Bon+Prix/data=!4m7!3m6!1s0x19c18354bfa41973:0xaca356a92ca09464!8m2!3d-3.3833825!4d29.3656908!16s%2Fg%2F11pfsfrj9b!19sChIJcxmkv1SDwRkRZJSgLKlWo6w?authuser=0&hl=zh-TW&rclk=1
