place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJhRXKXc9jvTMR0NA7_qY8Vgs,Starbucks SM City Calamba,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,463,"Name: Starbucks M Square
link: https://www.google.com/maps/search/Starbucks+M+Square/@14.218027200000002,121.1413144?authuser=0&hl=en&entry=ttu
Reviews: 163 reviews

Name: Beanstalk Cafe
link: https://www.google.com/maps/search/Beanstalk+Cafe/@14.2055318,121.1557936?authuser=0&hl=en&entry=ttu
Reviews: 124 reviews

Name: Coffee Town Calamba - Halang
link: https://www.google.com/maps/search/Coffee+Town+Calamba+-+Halang/@14.1983936,121.1615912?authuser=0&hl=en&entry=ttu
Reviews: 57 reviews

Name: D' Cream Coffee and Tea
link: https://www.google.com/maps/search/D%27+Cream+Coffee+and+Tea/@14.2033373,121.1552105?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Farron Cafe
link: https://www.google.com/maps/search/Farron+Cafe/@14.2029723,121.15467009999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.starbucks.ph/,Starbucks SM City Calamba (Owner),,https://lh5.googleusercontent.com/p/AF1QipPBt8XhHQQi3Ki4wlnNScLYryOY0jzjFJ24nCnG=w408-h306-k-no,Coffee shop,Coffee shop,4.4,8 AM-9:30 PM,Open All Days,+63 49 530 0090,"Starbucks SM City Calamba, SM City Calamba, National Highway, Real, Calamba, 4027 Laguna, Philippines","experience, frappe, mall, pastries, barista, chocolate",https://www.google.com/maps/place/Starbucks+SM+City+Calamba/data=!4m7!3m6!1s0x33bd63cf5dca1585:0xb563ca6fe3bd0d0!8m2!3d14.2034888!4d121.1547283!16s%2Fg%2F11bc7rbvsp!19sChIJhRXKXc9jvTMR0NA7_qY8Vgs?authuser=0&hl=en&rclk=1
ChIJoTWud95jvTMRunn1WHIXD7Y,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,448,"Name: The Coffee Bean & Tea Leaf
link: https://www.google.com/maps/search/The+Coffee+Bean+%26+Tea+Leaf/@14.197534,121.1618263?authuser=0&hl=en&entry=ttu
Reviews: 115 reviews

Name: Coffee Town Calamba - Halang
link: https://www.google.com/maps/search/Coffee+Town+Calamba+-+Halang/@14.1983936,121.1615912?authuser=0&hl=en&entry=ttu
Reviews: 57 reviews

Name: Cafetribu - Calamba
link: https://www.google.com/maps/search/Cafetribu+-+Calamba/@14.206788099999999,121.16194689999999?authuser=0&hl=en&entry=ttu
Reviews: 29 reviews

Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@14.236778999999999,121.0572425?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Cafe
link: https://www.google.com/maps/search/Cafe/@14.214154899999999,121.16662369999999?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",http://www.starbucks.ph/,Starbucks (Owner),,https://lh5.googleusercontent.com/p/AF1QipN3fN49bPBJrNvorw5r6fc3TqGTwrALuW2wUJLz=w408-h306-k-no,Coffee shop,Coffee shop,4.6,7 AM-12 AM,Open All Days,,"G/F, Starbucks, Brgy D ' Verde Commercial Center, National Highway, Calamba, 4027 Laguna, Philippines","parking, baristas, crew, products, cups",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x33bd63de77ae35a1:0xb60f177258f579ba!8m2!3d14.1932977!4d121.1654409!16s%2Fg%2F11d_855981!19sChIJoTWud95jvTMRunn1WHIXD7Y?authuser=0&hl=en&rclk=1
ChIJk11Kq6FjvTMRbb72quUHNqY,The Coffee Bean & Tea Leaf,Coffeehouse chain serving a variety of beverages including its signature ice-blended options.,False,115,"Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@14.193297699999999,121.16544089999998?authuser=0&hl=en&entry=ttu
Reviews: 448 reviews

Name: Beanstalk Cafe
link: https://www.google.com/maps/search/Beanstalk+Cafe/@14.2055318,121.1557936?authuser=0&hl=en&entry=ttu
Reviews: 124 reviews

Name: Coffee Town Calamba - Halang
link: https://www.google.com/maps/search/Coffee+Town+Calamba+-+Halang/@14.1983936,121.1615912?authuser=0&hl=en&entry=ttu
Reviews: 57 reviews

Name: Cafetribu - Calamba
link: https://www.google.com/maps/search/Cafetribu+-+Calamba/@14.206788099999999,121.16194689999999?authuser=0&hl=en&entry=ttu
Reviews: 29 reviews

Name: Coffee Spot Ciudad de Calamba
link: https://www.google.com/maps/search/Coffee+Spot+Ciudad+de+Calamba/@14.1862658,121.1241629?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",https://www.coffeebean.com.ph/,The Coffee Bean & Tea Leaf (Owner),,https://lh5.googleusercontent.com/p/AF1QipN9gIh0L0ce3yAgPJA6Ix9ZWuQmFiyCZ8hHtrc7=w408-h306-k-no,Coffee shop,Coffee shop,4.6,9 AM-8 PM,Open All Days,,"The Coffee Bean & Tea Leaf, D' Fresco Commercial Building, San Cristobal Bridge, Calamba, 4027 Laguna, Philippines",,https://www.google.com/maps/place/The+Coffee+Bean+%26+Tea+Leaf/data=!4m7!3m6!1s0x33bd63a1ab4a5d93:0xa63607e5aaf6be6d!8m2!3d14.197534!4d121.1618263!16s%2Fg%2F11hyj02n0x!19sChIJk11Kq6FjvTMRbb72quUHNqY?authuser=0&hl=en&rclk=1
ChIJISDvqvdjvTMRkap_005jNEU,OJ's Brew,,False,76,"Name: Beanstalk Cafe
link: https://www.google.com/maps/search/Beanstalk+Cafe/@14.2055318,121.1557936?authuser=0&hl=en&entry=ttu
Reviews: 124 reviews

Name: Speak Cafe
link: https://www.google.com/maps/search/Speak+Cafe/@14.185739300000002,121.1662026?authuser=0&hl=en&entry=ttu
Reviews: 42 reviews

Name: Coffee Spot Ciudad de Calamba
link: https://www.google.com/maps/search/Coffee+Spot+Ciudad+de+Calamba/@14.1862658,121.1241629?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Kofeholic Cafe
link: https://www.google.com/maps/search/Kofeholic+Caf%C3%A9/@14.190306699999999,121.16452419999999?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: Oozy Yel's
link: https://www.google.com/maps/search/Oozy+Yel%27s/@14.1911046,121.1655159?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",http://facebook.com/ojsbrew,OJ's Brew (Owner),https://www.google.com/maps/contrib/108890908918423109362,https://lh5.googleusercontent.com/p/AF1QipMfpIJOz4zE1rlzbGcLbPnge2Wi37Gw5UL4g7Lj=w408-h306-k-no,Coffee shop,"Coffee shop, Cafe",4.8,11 AM-8 PM,Open All Days,+63 49 546 2985,"OJ's Brew, Lakeview Subd, 306 Ipil-ipil St, Calamba, 4027 Laguna, Philippines",,https://www.google.com/maps/place/OJ%27s+Brew/data=!4m7!3m6!1s0x33bd63f7aaef2021:0x4534634ed37faa91!8m2!3d14.1913945!4d121.1659023!16s%2Fg%2F11gjxs79bv!19sChIJISDvqvdjvTMRkap_005jNEU?authuser=0&hl=en&rclk=1
ChIJVTiYAcpjvTMR9XPC25RaExI,Coffee Town Calamba - Halang,,False,57,"Name: Beanstalk Cafe
link: https://www.google.com/maps/search/Beanstalk+Cafe/@14.2055318,121.1557936?authuser=0&hl=en&entry=ttu
Reviews: 124 reviews

Name: The Coffee Bean & Tea Leaf
link: https://www.google.com/maps/search/The+Coffee+Bean+%26+Tea+Leaf/@14.197534,121.1618263?authuser=0&hl=en&entry=ttu
Reviews: 115 reviews

Name: Cafetribu - Calamba
link: https://www.google.com/maps/search/Cafetribu+-+Calamba/@14.206788099999999,121.16194689999999?authuser=0&hl=en&entry=ttu
Reviews: 29 reviews

Name: Cafe
link: https://www.google.com/maps/search/Cafe/@14.214154899999999,121.16662369999999?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Coffee Spot Ciudad de Calamba
link: https://www.google.com/maps/search/Coffee+Spot+Ciudad+de+Calamba/@14.1862658,121.1241629?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",https://www.facebook.com/coffeetowncalamba,Coffee Town Calamba - Halang (Owner),,https://lh5.googleusercontent.com/p/AF1QipMpZYy7UhdxVZpjgHXaYzRJO-enFyudHHAEmrkR=w408-h306-k-no,Cafe,"Cafe, Coffee shop",4.6,10:30 AM-8:30 PM,Monday,,"55X6+9J4 Coffee Town Calamba - Halang, Manila S Rd, Calamba, 4027 Laguna, Philippines","music, pasta, price",https://www.google.com/maps/place/Coffee+Town+Calamba+-+Halang/data=!4m7!3m6!1s0x33bd63ca01983855:0x12135a94dbc273f5!8m2!3d14.1983936!4d121.1615912!16s%2Fg%2F11h6yvwypc!19sChIJVTiYAcpjvTMR9XPC25RaExI?authuser=0&hl=en&rclk=1
ChIJA9yRX6VjvTMRaprodfXyhdM,Speak Cafe,,False,42,"Name: CafeAlea Bistro
link: https://www.google.com/maps/search/Caf%C3%A9Alea+Bistro/@14.1793806,121.156965?authuser=0&hl=en&entry=ttu
Reviews: 79 reviews

Name: OJ's Brew
link: https://www.google.com/maps/search/OJ%27s+Brew/@14.1913945,121.1659023?authuser=0&hl=en&entry=ttu
Reviews: 76 reviews

Name: Bypass Road Cafe
link: https://www.google.com/maps/search/Bypass+Road+Caf%C3%A9/@14.1813601,121.15895119999999?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Cafe
link: https://www.google.com/maps/search/Cafe/@14.214154899999999,121.16662369999999?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Miel's Artisan Cafe
link: https://www.google.com/maps/search/Miel%27s+Artisan+Cafe/@14.1799088,121.15807520000001?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews",http://miraricreations.com/,Speak Cafe (Owner),https://www.google.com/maps/contrib/104041925825527358517,https://lh5.googleusercontent.com/p/AF1QipNUyBQOxVSOrLeWpkb__juy1OxiSTrXRPZPFCZt=w408-h725-k-no,Coffee shop,Coffee shop,4.3,12 PM-12 AM,Open All Days,+63 965 740 1933,"Speak Cafe, Bucal Bypass Rd, Calamba, 4027 Laguna, Philippines","latte, salted, cookies, caramel, hazelnut",https://www.google.com/maps/place/Speak+Cafe/data=!4m7!3m6!1s0x33bd63a55f91dc03:0xd385f2f575e89a6a!8m2!3d14.1857393!4d121.1662026!16s%2Fg%2F11rjjx4hhz!19sChIJA9yRX6VjvTMRaprodfXyhdM?authuser=0&hl=en&rclk=1
ChIJsxsdxctjvTMRvL86ilmI5VE,Bypass Road Cafe,,False,33,"Name: CafeAlea Bistro
link: https://www.google.com/maps/search/Caf%C3%A9Alea+Bistro/@14.1793806,121.156965?authuser=0&hl=en&entry=ttu
Reviews: 79 reviews

Name: Nowadays Coffee
link: https://www.google.com/maps/search/Nowadays+Coffee/@14.1796361,121.1580013?authuser=0&hl=en&entry=ttu
Reviews: 50 reviews

Name: Forward Cafe & Bar
link: https://www.google.com/maps/search/Forward+Cafe+%26+Bar/@14.1802092,121.1581941?authuser=0&hl=en&entry=ttu
Reviews: 46 reviews

Name: Speak Cafe
link: https://www.google.com/maps/search/Speak+Cafe/@14.185739300000002,121.1662026?authuser=0&hl=en&entry=ttu
Reviews: 42 reviews

Name: Miel's Artisan Cafe
link: https://www.google.com/maps/search/Miel%27s+Artisan+Cafe/@14.1799088,121.15807520000001?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/bypassroadcafe,Bypass Road Cafe (Owner),https://www.google.com/maps/contrib/117086137726881882536,https://lh5.googleusercontent.com/p/AF1QipN8pvRgp9tutuyjwwVxn6z-bDVMPZhH9xmCQf9j=w408-h306-k-no,Coffee shop,Coffee shop,4.6,2 PM-12 AM,Open All Days,,"Bypass Road Cafe, Bucal Bypass Rd, Calamba, 4027 Laguna, Philippines","parking, velvet, cake",https://www.google.com/maps/place/Bypass+Road+Caf%C3%A9/data=!4m7!3m6!1s0x33bd63cbc51d1bb3:0x51e588598a3abfbc!8m2!3d14.1813601!4d121.1589512!16s%2Fg%2F11s5t73z3n!19sChIJsxsdxctjvTMRvL86ilmI5VE?authuser=0&hl=en&rclk=1
ChIJ-dd2fS1jvTMRlzS8x-OdMTE,Starbucks Turbina Calamba,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,29,,http://starbucks.ph/,Starbucks Turbina Calamba (Owner),,https://lh5.googleusercontent.com/p/AF1QipNqm48yvfOqE91QwlMceWB9DxJupA4s_ws5GSGh=w408-h306-k-no,Coffee shop,Coffee shop,4.4,6:30 AM-11 PM,Open All Days,,"Starbucks Turbina Calamba, 0444 national highway, Calamba, 4027 Laguna, Philippines",,https://www.google.com/maps/place/Starbucks+Turbina+Calamba/data=!4m7!3m6!1s0x33bd632d7d76d7f9:0x31319de3c7bc3497!8m2!3d14.1789258!4d121.1367439!16s%2Fg%2F11sw2643rd!19sChIJ-dd2fS1jvTMRlzS8x-OdMTE?authuser=0&hl=en&rclk=1
ChIJXXeTfYBjvTMRUBTWeJVHBdY,Morgan's Finest Coffee,,False,27,"Name: Starbucks SM City Calamba
link: https://www.google.com/maps/search/Starbucks+SM+City+Calamba/@14.203488799999999,121.15472829999999?authuser=0&hl=en&entry=ttu
Reviews: 463 reviews

Name: The Coffee Bean & Tea Leaf
link: https://www.google.com/maps/search/The+Coffee+Bean+%26+Tea+Leaf/@14.197534,121.1618263?authuser=0&hl=en&entry=ttu
Reviews: 115 reviews

Name: Aroma Caffe - Calamba
link: https://www.google.com/maps/search/Aroma+Caffe+-+Calamba/@14.1883396,121.16267520000001?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: Beanhoppers Coffee
link: https://www.google.com/maps/search/Beanhoppers+Coffee/@14.1824976,121.13647010000001?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",https://www.facebook.com/morganscoffee.ph,Morgan's Finest Coffee (Owner),,https://lh5.googleusercontent.com/p/AF1QipPeOmnRXm6Jj46avcuKHiwB8HadmLiyTObQpNP1=w408-h306-k-no,Coffee shop,Coffee shop,4.6,11 AM-10 PM,Open All Days,+63 906 424 1880,"Morgan's Finest Coffee, Calamba, 4027 Laguna, Philippines",,https://www.google.com/maps/place/Morgan%27s+Finest+Coffee/data=!4m7!3m6!1s0x33bd63807d93775d:0xd605479578d61450!8m2!3d14.1924863!4d121.1661902!16s%2Fg%2F11r554t67t!19sChIJXXeTfYBjvTMRUBTWeJVHBdY?authuser=0&hl=en&rclk=1
ChIJcV1vPA5lvTMRyoJLDXqfryk,Typica Coffee - Calamba,,False,25,"Name: Kau'i Coffee - Makiling
link: https://www.google.com/maps/search/Kau%27i+Coffee+-+Makiling/@14.1615074,121.13849470000001?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: Padma Coffee Shop
link: https://www.google.com/maps/search/Padma+Coffee+Shop/@14.177333299999999,121.1198056?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Kape Pilipinas
link: https://www.google.com/maps/search/Kape+Pilipinas/@14.1942331,121.15868249999998?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Cafe Titos and Milkteatos
link: https://www.google.com/maps/search/Cafe+Titos+and+Milkteatos/@14.2106139,121.16149899999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: COMFYTEA
link: https://www.google.com/maps/search/COMFYTEA/@14.1870668,121.13655609999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/typicacoffee.calamba,Typica Coffee - Calamba (Owner),https://www.google.com/maps/contrib/117697216209276579964,https://lh5.googleusercontent.com/p/AF1QipMaZYka6AlYyvV8GJGZEcf5uyEPyHVsykH7YoA-=w408-h408-k-no,Coffee shop,Coffee shop,4.9,9:30 AM-10 PM,Open All Days,+63 919 996 7646,"Typica Coffee - Calamba, Pueblo Laguna, Philippines","barista, spanish latte",https://www.google.com/maps/place/Typica+Coffee+-+Calamba/data=!4m7!3m6!1s0x33bd650e3c6f5d71:0x29af9f7a0d4b82ca!8m2!3d14.1614339!4d121.1384008!16s%2Fg%2F11s8zd4btx!19sChIJcV1vPA5lvTMRyoJLDXqfryk?authuser=0&hl=en&rclk=1
