place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ78PglcnovDMRz9nyoq6tbhY,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,369,"Name: Jollibee
link: https://www.google.com/maps/search/Jollibee/@13.408382099999999,121.17812859999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 278 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@13.4083589,121.17817439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Chowking
link: https://www.google.com/maps/search/Chowking/@13.412571499999999,121.17936370000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Blossom Food Delight
link: https://www.google.com/maps/search/Blossom+Food+Delight/@13.408812099999999,121.1784335?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://mcdonalds.com.ph/,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/102198325604079529405,https://lh5.googleusercontent.com/p/AF1QipMRNZwsvxOKfwTocfWA4PyQbt8ekLg81EykqYOG=w425-h240-k-no,Kuai Can Dian ,"Kuai Can Dian , Zao Can Can Ting ",4.1,24 Xiao Shi Ying Ye ,Open All Days,+63 2 8599 2576,"McDonald's, JP Rizal, Calapan, 5200 Oriental Mindoro, Fei Lu Bin ",Ka Pei ,https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x33bce8c995e0c3ef:0x166eadaea2f2d9cf!8m2!3d13.4079134!4d121.1782611!16s%2Fg%2F1vnrhkn0!19sChIJ78PglcnovDMRz9nyoq6tbhY?authuser=0&hl=zh-TW&rclk=1
ChIJT-Y7iczovDMRPL3rO6YbvX0,Puregold Calapan,,False,257,"Name: Robinsons Supermarket Calapan
link: https://www.google.com/maps/search/Robinsons+Supermarket+Calapan/@13.4031928,121.1839293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: BDO Calapan City - Puregold Branch
link: https://www.google.com/maps/search/BDO+Calapan+City+-+Puregold+Branch/@13.4039609,121.17346669999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Mercury Drug
link: https://www.google.com/maps/search/Mercury+Drug/@13.4001009,121.17096749999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Calapan Mart
link: https://www.google.com/maps/search/Calapan+Mart/@13.4093792,121.17467939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mercury Drug Store - Calapan Mabini Branch
link: https://www.google.com/maps/search/Mercury+Drug+Store+-+Calapan+Mabini+Branch/@13.41329,121.179049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.puregold.com.ph/,Puregold Calapan (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPAGTqkxgXEF2TBErAOSQr9ElFBwnUqPgJRn0Sq=w426-h240-k-no,Za Huo Dian ,"Za Huo Dian , Yao Fang , Chao Ji Shi Chang ",4.3,09:00-21:00,Open All Days,+63 43 288 2058,"C53F+HFJ Puregold Calapan, Strong Republic Nautical Hwy, Calapan, Oriental Mindoro, Fei Lu Bin ","Jia Ge , Ting Che Chang , Chan Pin , Ke Ren , Qing Jie ",https://www.google.com/maps/place/Puregold+Calapan/data=!4m7!3m6!1s0x33bce8cc893be64f:0x7dbd1ba63bebbd3c!8m2!3d13.4039563!4d121.1736507!16s%2Fg%2F1hm23xxf8!19sChIJT-Y7iczovDMRPL3rO6YbvX0?authuser=0&hl=zh-TW&rclk=1
ChIJ7ch9SZTpvDMRihEwtyNav3s,Casa Estela Boutique Hotel & Cafe,"Jian Yue Fan Dian ,Nei You Bu Zhi Jian Yue De Ke Fang , Can Ting He Ka Pei Ting ,Bing Ti Gong Zao Can . ",False,64,,https://www.facebook.com/casaestelahotelcafe,Casa Estela Boutique Hotel & Cafe (Ye Zhu ),https://www.google.com/maps/contrib/101965423292368821661,https://lh5.googleusercontent.com/p/AF1QipN1Elcbbs1kVvMrJGzk7ePr75p0gW_8QZehfldA=w408-h272-k-no,Jiu Dian ,"Jiu Dian , Mian Bao Xi Bing Dian , Jiu Ba , Min Su , Shang Ye Zhong Xin , Ka Pei Ting , Dao Hui Fu Wu , Ka Pei Dian , Biao Yan Chang Di , Can Ting ",4.5,,Open All Days,+63 950 663 5110,"Casa Estela Boutique Hotel & Cafe, Gov B Marasigan St, Calapan, Oriental Mindoro, Fei Lu Bin ","Ka Pei , Jia Ge ",https://www.google.com/maps/place/Casa+Estela+Boutique+Hotel+%26+Cafe/data=!4m10!3m9!1s0x33bce994497dc8ed:0x7bbf5a23b730118a!5m2!4m1!1i2!8m2!3d13.4143151!4d121.1838018!16s%2Fg%2F11h4dyvmxs!19sChIJ7ch9SZTpvDMRihEwtyNav3s?authuser=0&hl=zh-TW&rclk=1
ChIJGSepZJ7pvDMRBJzx3MqGpKs,Sinag Coffee Roastery,,False,33,"Name: La Aroma Cafe
link: https://www.google.com/maps/search/La+Aroma+Cafe/@13.394407,121.16783799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: add+ coffee
link: https://www.google.com/maps/search/add%2B+coffee/@13.4063319,121.1760345?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: Sinag Coffee at Richville
link: https://www.google.com/maps/search/Sinag+Coffee+at+Richville/@13.3830878,121.1584618?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: Coffee & Bar
link: https://www.google.com/maps/search/Coffee+%26+Bar/@13.403398399999999,121.1834457?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Cafe Seoul
link: https://www.google.com/maps/search/Cafe+Seoul/@13.408684,121.178359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://sinagcoffee.com/,Sinag Coffee Roastery (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPBnPcJ6rq8BnOkPpc8UeU9KhPsExAXT3VH9sj2=w408-h257-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,13:00-21:00,Xing Qi Ri ,+63 956 973 1295,"95XF+VHG Sinag Coffee Roastery, Atis, Calapan, Oriental Mindoro, Fei Lu Bin ",Dou ,https://www.google.com/maps/place/Sinag+Coffee+Roastery/data=!4m7!3m6!1s0x33bce99e64a92719:0xaba486cadcf19c04!8m2!3d13.3996883!4d121.1739465!16s%2Fg%2F11smqhwwft!19sChIJGSepZJ7pvDMRBJzx3MqGpKs?authuser=0&hl=zh-TW&rclk=1
ChIJV9cnLcfvvDMRf5YxqnIBQp0,Sinag Coffee at Richville,,False,30,"Name: Sinag Coffee Roastery
link: https://www.google.com/maps/search/Sinag+Coffee+Roastery/@13.3996883,121.17394650000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Coffee & Bar
link: https://www.google.com/maps/search/Coffee+%26+Bar/@13.403398399999999,121.1834457?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Continentea Cafe
link: https://www.google.com/maps/search/Continentea+Cafe/@13.390178899999999,121.16394790000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Cafe Seoul
link: https://www.google.com/maps/search/Cafe+Seoul/@13.408684,121.178359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Bets Coffee Station
link: https://www.google.com/maps/search/Bets+Coffee+Station/@13.336350399999999,121.17195969999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://sinagcoffee.com/,Sinag Coffee at Richville (Ye Zhu ),https://www.google.com/maps/contrib/111689201479409169877,https://lh5.googleusercontent.com/p/AF1QipMTn15Bmg61LiRPBZLEhc2Ss6-TLEDAf8PnmIDn=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,08:00-21:00,Open All Days,+63 976 262 5623,"Gate 1, Sinag Coffee at Richville, Richville Garden, Calapan, 5200 Oriental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/Sinag+Coffee+at+Richville/data=!4m7!3m6!1s0x33bcefc72d27d757:0x9d420172aa31967f!8m2!3d13.3830878!4d121.1584618!16s%2Fg%2F11sbp0t63y!19sChIJV9cnLcfvvDMRf5YxqnIBQp0?authuser=0&hl=zh-TW&rclk=1
ChIJhcoQbBLpvDMRH4cmVjNYEkY,Robinsons Supermarket Calapan,,False,27,"Name: Puregold Calapan
link: https://www.google.com/maps/search/Puregold+Calapan/@13.403956299999999,121.17365070000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews

Name: Robinsons Department Store Calapan
link: https://www.google.com/maps/search/Robinsons+Department+Store+Calapan/@13.4034058,121.18370379999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 255 reviews

Name: Citimart Supermarket
link: https://www.google.com/maps/search/Citimart+Supermarket/@13.4129043,121.1799715?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Red Ribbon
link: https://www.google.com/maps/search/Red+Ribbon/@13.4111361,121.17928289999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Mommy Sonia's Store
link: https://www.google.com/maps/search/Mommy+Sonia%27s+Store/@13.4004038,121.18992189999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.robinsons-supermarket.com.ph/,Robinsons Supermarket Calapan (Ye Zhu ),https://www.google.com/maps/contrib/110774311830050223822,https://lh5.googleusercontent.com/p/AF1QipNsDwrAoM3-2Ybkt8g2aN6QizzoIYKAtC9T9gdB=w408-h306-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4.4,08:00-21:00,Open All Days,+63 43 441 0546,"Robinsons Supermarket Calapan, Neo Calapan Mall, Roxas Drive, Brgy. Sto. Nino, Calapan City, Oriental, Mindoro, 5200 Oriental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/Robinsons+Supermarket+Calapan/data=!4m7!3m6!1s0x33bce9126c10ca85:0x461258335626871f!8m2!3d13.4031928!4d121.1839293!16s%2Fg%2F11q254djhs!19sChIJhcoQbBLpvDMRH4cmVjNYEkY?authuser=0&hl=zh-TW&rclk=1
ChIJ2dxf3YDpvDMRvNJ44aLJvV8,Quatro Bella Cafe,,False,24,"Name: La Aroma Cafe
link: https://www.google.com/maps/search/La+Aroma+Cafe/@13.394407,121.16783799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: add+ coffee
link: https://www.google.com/maps/search/add%2B+coffee/@13.4063319,121.1760345?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: CAFE MORI
link: https://www.google.com/maps/search/CAFE+MORI/@13.416779799999999,121.20946760000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Continentea Cafe
link: https://www.google.com/maps/search/Continentea+Cafe/@13.390178899999999,121.16394790000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Bestea Calapan City
link: https://www.google.com/maps/search/Bestea+Calapan+City/@13.3957176,121.18535569999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://quatrobella.plip.ph/,Quatro Bella Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNCiQbGfSgKeXrg2ou5nJxWjRHFRzWWMPe3y-gn=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,,Open All Days,,"Quatro Bella Cafe, Xenntro mall, Calapan, Oriental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/Quatro+Bella+Cafe/data=!4m7!3m6!1s0x33bce980dd5fdcd9:0x5fbdc9a2e178d2bc!8m2!3d13.4036492!4d121.1813472!16s%2Fg%2F11rz9203hd!19sChIJ2dxf3YDpvDMRvNJ44aLJvV8?authuser=0&hl=zh-TW&rclk=1
ChIJO9u4tc_ovDMRh7C0fGDfkOg,DC,,False,21,"Name: DUTCH CAFE
link: https://www.google.com/maps/search/DUTCH+CAFE/@13.4043969,121.1838777?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Coffee & Bar
link: https://www.google.com/maps/search/Coffee+%26+Bar/@13.403398399999999,121.1834457?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Dad & Me Cafe
link: https://www.google.com/maps/search/Dad+%26+Me+Cafe/@13.4161407,121.18199879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Dulce's Kitchen
link: https://www.google.com/maps/search/Dulce%27s+Kitchen/@13.4030522,121.18308940000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Theddis Burger
link: https://www.google.com/maps/search/Theddis+Burger/@13.4156076,121.17885550000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.fb.com/DutchCafeCalapan,DC (Ye Zhu ),https://www.google.com/maps/contrib/111571871748651767339,https://lh5.googleusercontent.com/p/AF1QipNpuVOY-xCXu6zyGR0M-T2QV_HZCKoP8uNDsgA9=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Ting , He Lan Can Ting , Zheng Liu Ka Pei Ba , Bo Bing Can Ting ",4.5,12:00-23:00,Open All Days,+63 906 234 8493,"DC, Unit 10, Filipiniana Complex,, Roxas Drive, Lumangbayan, Calapan, 5200Fei Lu Bin ",,https://www.google.com/maps/place/DC/data=!4m7!3m6!1s0x33bce8cfb5b8db3b:0xe890df607cb4b087!8m2!3d13.40466!4d121.183494!16s%2Fg%2F11cnbc3j03!19sChIJO9u4tc_ovDMRh7C0fGDfkOg?authuser=0&hl=zh-TW&rclk=1
ChIJs9SwmFnpvDMR3WKzGWfWTCg,LUCKY+LEO MILK TEA BAR,,False,18,"Name: La Aroma Cafe
link: https://www.google.com/maps/search/La+Aroma+Cafe/@13.394407,121.16783799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Coffee & Bar
link: https://www.google.com/maps/search/Coffee+%26+Bar/@13.403398399999999,121.1834457?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: I Love Milktea Calapan
link: https://www.google.com/maps/search/I+Love+Milktea+Calapan/@13.412600699999999,121.1795201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Oriental Milk Tea Shop
link: https://www.google.com/maps/search/Oriental+Milk+Tea+Shop/@13.4096911,121.1788722?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: QTEA Bubble Tea Shop
link: https://www.google.com/maps/search/QTEA+Bubble+Tea+Shop/@13.418216999999999,121.18633179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.instagram.com/luckyleomilkteabar/,LUCKY+LEO MILK TEA BAR (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMiPG4w4zXNulAav5_gyBheFuJEvzWwtbzX6j8Q=w408-h248-k-no,Zhen Zhu Nai Cha Dian ,Zhen Zhu Nai Cha Dian ,4.6,10:00-21:00,Open All Days,+63 939 118 1744,"C53P+5M3 LUCKY+LEO MILK TEA BAR, Calapan, Oriental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/LUCKY%2BLEO+MILK+TEA+BAR/data=!4m7!3m6!1s0x33bce95998b0d4b3:0x284cd66719b362dd!8m2!3d13.4028981!4d121.1866636!16s%2Fg%2F11j62q78nc!19sChIJs9SwmFnpvDMR3WKzGWfWTCg?authuser=0&hl=zh-TW&rclk=1
ChIJq3Bs41rpvDMRsWlIzJzBIT4,Paghanapin Ice Cream (Tawiran),,False,7,"Name: I Toscani Ice Cream
link: https://www.google.com/maps/search/I+Toscani+Ice+Cream/@13.404332199999999,121.18409869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Paghanapin Ice Cream
link: https://www.google.com/maps/search/Paghanapin+Ice+Cream/@13.4115343,121.17689120000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mnm Soft Ice Cream
link: https://www.google.com/maps/search/Mnm+Soft+Ice+Cream/@13.412941799999999,121.17997580000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Bayanan Ice
link: https://www.google.com/maps/search/Bayanan+Ice/@13.3701812,121.1679494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Pinky's Special Halayang Ube & Pasalubong Shop
link: https://www.google.com/maps/search/Pinky%27s+Special+Halayang+Ube+%26+Pasalubong+Shop/@13.406078299999999,121.18432769999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://paghanapin-ice-cream.business.site/,Paghanapin Ice Cream (Tawiran) (Ye Zhu ),https://www.google.com/maps/contrib/101549502285300504998,https://lh5.googleusercontent.com/p/AF1QipNezT_e8pvUIDjmDPyHwiNtItIqQ302xdwa-PVM=w408-h296-k-no,Xue Gao Dian ,Xue Gao Dian ,4.4,08:00-19:00,Open All Days,+63 936 575 3571,"Paghanapin Ice Cream (Tawiran), J.P. Rizal Street Brgy, Calapan, 5200 Oriental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/Paghanapin+Ice+Cream+%28Tawiran%29/data=!4m7!3m6!1s0x33bce95ae36c70ab:0x3e21c19ccc4869b1!8m2!3d13.3942699!4d121.1676864!16s%2Fg%2F11glfzjjc_!19sChIJq3Bs41rpvDMRsWlIzJzBIT4?authuser=0&hl=zh-TW&rclk=1
