place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJk6XUTK-zGA0R-x6OrmFZZc4,Restaurante Maratona,,False,2970,"Name: Sabores d'Italia
link: https://www.google.com/maps/search/Sabores+d%27It%C3%A1lia/@39.403583,-9.136553?authuser=0&hl=zh-TW&entry=ttu
Reviews: 915 reviews

Name: Citrus - Coffee & Healthy Food
link: https://www.google.com/maps/search/Citrus+-+Coffee+%26+Healthy+Food/@39.4037784,-9.1335412?authuser=0&hl=zh-TW&entry=ttu
Reviews: 567 reviews

Name: Restaurante Tacho
link: https://www.google.com/maps/search/Restaurante+Tacho/@39.403535,-9.134554999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 451 reviews

Name: Taskinha Do B3co
link: https://www.google.com/maps/search/Taskinha+Do+B3co/@39.4037419,-9.1366452?authuser=0&hl=zh-TW&entry=ttu
Reviews: 427 reviews

Name: Restaurante ""A Mimosa""
link: https://www.google.com/maps/search/Restaurante+%22A+Mimosa%22/@39.4034542,-9.1365657?authuser=0&hl=zh-TW&entry=ttu
Reviews: 338 reviews",https://www.maratona.tv/,Restaurante Maratona (Ye Zhu ),https://www.google.com/maps/contrib/118256758188907704714,https://lh5.googleusercontent.com/p/AF1QipPquK1JOF8SOkFrCsIbrpbNP01eJBUermHbmep2=w408-h273-k-no,Can Ting ,"Can Ting , Ka Pei Ting ",4.3,"08:30-15:30, 19:30-00:30",Open All Days,+351 262 841 483,"Restaurante Maratona, Praca 25 de Abril 15, 2500-110 Caldas da Rainha, Pu Tao Ya ","Han Bao , Guo Zhi , Su Shi , Ka Pei Ting , Qian Cai , Dun Fan , Ya , Chuang Xin ",https://www.google.com/maps/place/Restaurante+Maratona/data=!4m7!3m6!1s0xd18b3af4cd4a593:0xce655961ae8e1efb!8m2!3d39.4065703!4d-9.1366742!16s%2Fg%2F1tdvwkw8!19sChIJk6XUTK-zGA0R-x6OrmFZZc4?authuser=0&hl=zh-TW&rclk=1
ChIJxU9D2LqzGA0RvFpQ_4t18iM,Citrus - Coffee & Healthy Food,,False,569,"Name: Restaurante Maratona
link: https://www.google.com/maps/search/Restaurante+Maratona/@39.4065703,-9.1366742?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2970 reviews

Name: Rocky's Caffe
link: https://www.google.com/maps/search/Rocky%27s+Caff%C3%A9/@39.400571299999996,-9.136158499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 329 reviews

Name: Termas Cafe
link: https://www.google.com/maps/search/Termas+Caf%C3%A9/@39.4051361,-9.131265599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 322 reviews

Name: Cairo restaurante
link: https://www.google.com/maps/search/Cairo+restaurante/@39.40356,-9.143658199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews

Name: Maria Xica - Brunch & Tapas
link: https://www.google.com/maps/search/Maria+Xica+-+Brunch+%26+Tapas/@39.4067729,-9.1393113?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews",https://m.facebook.com/Citrus-Coffee-395417130879643/,Citrus - Coffee & Healthy Food (Ye Zhu ),https://www.google.com/maps/contrib/110214644334054550394,https://lh5.googleusercontent.com/p/AF1QipPge4Eu-JntjQKrvz1cAsUaiDv7oU49RodRQD36=w408-h272-k-no,Jian Kang Shi Pin Can Ting ,"Jian Kang Shi Pin Can Ting , Can Ting ",4.4,09:00-19:00,Open All Days,+351 262 085 945,"Citrus - Coffee & Healthy Food, Praca da Republica 78, 2500-798 Caldas da Rainha, Pu Tao Ya ","vegan, Bing Sha , Song Bing , Zao Wu Can , Ban Ni Di Ke Dan , Chan Pin , Shui Guo , Juan Bing , Kong Jian , Gai Nian ",https://www.google.com/maps/place/Citrus+-+Coffee+%26+Healthy+Food/data=!4m7!3m6!1s0xd18b3bad8434fc5:0x23f2758bff505abc!8m2!3d39.4037784!4d-9.1335412!16s%2Fg%2F11f3rrl7x3!19sChIJxU9D2LqzGA0RvFpQ_4t18iM?authuser=0&hl=zh-TW&rclk=1
ChIJvUP51bqzGA0RRIkJ6nW6UPc,Cafe-Pastelaria Central,,False,553,"Name: Galeria Cafe
link: https://www.google.com/maps/search/Galeria+Caf%C3%A9/@39.4009011,-9.1381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 492 reviews

Name: Central Bar Caldas
link: https://www.google.com/maps/search/Central+Bar+Caldas/@39.4021682,-9.1387681?authuser=0&hl=zh-TW&entry=ttu
Reviews: 415 reviews

Name: local cafe
link: https://www.google.com/maps/search/local+caf%C3%A9/@39.4038423,-9.1330263?authuser=0&hl=zh-TW&entry=ttu
Reviews: 193 reviews

Name: Cafe Bordalo
link: https://www.google.com/maps/search/Caf%C3%A9+Bordalo/@39.4046776,-9.1409639?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews",http://central-caldas.com/,Cafe-Pastelaria Central (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPhyxGykxxRtJStZbcIIj2aSPCQ1haya0VzxWum=w408-h306-k-no,Gao Bing Dian ,"Gao Bing Dian , Zao Can Can Ting ",4.4,08:00-19:30,Open All Days,+351 262 180 147,"Cafe-Pastelaria Central, Praca da Republica no 69, Caldas da Rainha, Pu Tao Ya ","Chan Pin , Wu Can , Li Shi , Jia Ge , Guo Zhi , star, Shi Chang , Ke Li Bing ",https://www.google.com/maps/place/Caf%C3%A9-Pastelaria+Central/data=!4m7!3m6!1s0xd18b3bad5f943bd:0xf750ba75ea098944!8m2!3d39.4038739!4d-9.1333079!16s%2Fg%2F1q5bn75b5!19sChIJvUP51bqzGA0RRIkJ6nW6UPc?authuser=0&hl=zh-TW&rclk=1
ChIJ8XQ6_aSzGA0RLb9FR7gZ0ic,Bar 120 - Gin Bar,,False,531,"Name: Daiquiri Bar
link: https://www.google.com/maps/search/Daiquiri+Bar/@39.403630299999996,-9.136031599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 427 reviews

Name: Bar Walkabout
link: https://www.google.com/maps/search/Bar+Walkabout/@39.396172899999996,-9.1330974?authuser=0&hl=zh-TW&entry=ttu
Reviews: 322 reviews

Name: Oliop's!
link: https://www.google.com/maps/search/Oliop%27s%21/@39.4080917,-9.1335791?authuser=0&hl=zh-TW&entry=ttu
Reviews: 185 reviews

Name: Cabaret Voltaire Lounge
link: https://www.google.com/maps/search/Cabaret+Voltaire+Lounge/@39.405338,-9.1345031?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Pikassos Bar
link: https://www.google.com/maps/search/Pikassos+Bar/@39.4109376,-9.140126799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews",http://www.bar120.com/,Bar 120 - Gin Bar (Ye Zhu ),https://www.google.com/maps/contrib/107043011288723031003,https://lh5.googleusercontent.com/p/AF1QipNfaLKHKcMkAVnT6xHUIKA9KuGeYj1DRxq8xOx3=w408-h544-k-no,Jiu Ba ,"Jiu Ba , Ji Wei Jiu Jiu Ba , Zheng Liu Ka Pei Ba ",4.5,14:00-03:00,Xing Qi Yi ,+351 262 831 562,"Bar 120 - Gin Bar, Praca 5 de Outubro no33, 2500-111 Caldas da Rainha, Pu Tao Ya ","Diao Jiu , Jia Ting , Jia Ge ",https://www.google.com/maps/place/Bar+120+-+Gin+Bar/data=!4m7!3m6!1s0xd18b3a4fd3a74f1:0x27d219b84745bf2d!8m2!3d39.403297!4d-9.136666!16s%2Fg%2F1tksk1bn!19sChIJ8XQ6_aSzGA0RLb9FR7gZ0ic?authuser=0&hl=zh-TW&rclk=1
ChIJacfzQqWzGA0RNBT-ZfB8pjk,Cale - Confeitaria Com Tradicao,,False,325,"Name: Doce Real - Padaria Pastelaria
link: https://www.google.com/maps/search/Doce+Real+-+Padaria+Pastelaria/@39.4126152,-9.1457413?authuser=0&hl=zh-TW&entry=ttu
Reviews: 235 reviews

Name: Cafe Creme
link: https://www.google.com/maps/search/Caf%C3%A9+Creme/@39.4046801,-9.1409831?authuser=0&hl=zh-TW&entry=ttu
Reviews: 225 reviews

Name: local cafe
link: https://www.google.com/maps/search/local+caf%C3%A9/@39.4038423,-9.1330263?authuser=0&hl=zh-TW&entry=ttu
Reviews: 193 reviews

Name: Cafe 5 Bicas- Pastelaria
link: https://www.google.com/maps/search/Caf%C3%A9+5+Bicas-+Pastelaria/@39.404934100000006,-9.132084599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: CS Cake
link: https://www.google.com/maps/search/CS+Cake/@39.4013394,-9.1405915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://confeitariacale.pt/,Cale - Confeitaria Com Tradicao (Ye Zhu ),https://www.google.com/maps/contrib/105496515753295568445,https://lh5.googleusercontent.com/p/AF1QipNY_6w12T1vquM4u_FOVtmKI87gQPzC1p9NLuOT=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Mian Bao Quan Dian , Zi Zhu Can Ting , Gao Bing Dian ",4.3,07:30-19:30,Xing Qi Ri ,+351 262 844 530,"Cale - Confeitaria Com Tradicao, R. Dr. Miguel Bombarda, 2500-238 Caldas da Rainha, Pu Tao Ya ","Chan Pin , Wu Can , Mian Bao Dian , Jia Ge , Zhuo , Zu Zhi , Guo Jiang ",https://www.google.com/maps/place/Cal%C3%A9+-+Confeitaria+Com+Tradi%C3%A7%C3%A3o/data=!4m7!3m6!1s0xd18b3a542f3c769:0x39a67cf065fe1434!8m2!3d39.4054076!4d-9.1359468!16s%2Fg%2F11cm49ln22!19sChIJacfzQqWzGA0RNBT-ZfB8pjk?authuser=0&hl=zh-TW&rclk=1
ChIJ6aA67p-zGA0RZQ6S50-DFEE,DAREMA Waffle Bubble - Caldas da Rainha (Lucky Flavor),,False,242,"Name: Lucky flavour coffee shop
link: https://www.google.com/maps/search/Lucky+flavour+coffee+shop/@39.4122583,-9.1381239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 241 reviews

Name: Gelataria Puzzle
link: https://www.google.com/maps/search/Gelataria+Puzzle/@39.4030154,-9.133906999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Cafe Fonte Nova
link: https://www.google.com/maps/search/Caf%C3%A9+Fonte+Nova/@39.4084352,-9.1429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 102 reviews

Name: DAREMA Waffle Bubble - Caldas da Rainha
link: https://www.google.com/maps/search/DAREMA+Waffle+Bubble+-+Caldas+da+Rainha/@39.409310399999995,-9.1440053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",http://www.daremabubble.com/,DAREMA Waffle Bubble - Caldas da Rainha (Lucky Flavor) (Ye Zhu ),https://www.google.com/maps/contrib/105617035119071740965,https://lh5.googleusercontent.com/p/AF1QipPesrOiVq2xRgSdNDwxn_PzJcNC7mrTDHAMuwv9=w408-h243-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Ka Pei Ting , Fa Shi Bo Bing Can Ting , Kuai Can Dian , Xue Gao Dian , Gao Bing Dian ",4.2,07:00-22:00,Open All Days,+351 910 322 239,"DAREMA Waffle Bubble - Caldas da Rainha (Lucky Flavor), Rua Professor Antonio Rainho no 3, 2500-241 Caldas da Rainha, Pu Tao Ya ","Ke Li Bing , Gao ",https://www.google.com/maps/place/DAREMA+Waffle+Bubble+-+Caldas+da+Rainha+%28Lucky+Flavor%29/data=!4m7!3m6!1s0xd18b39fee3aa0e9:0x4114834fe7920e65!8m2!3d39.4126095!4d-9.1380999!16s%2Fg%2F11ffw95sqg!19sChIJ6aA67p-zGA0RZQ6S50-DFEE?authuser=0&hl=zh-TW&rclk=1
ChIJbWLxR6WzGA0RzDbun10VlPk,Pastelaria Venezia,,False,232,"Name: Galeria Cafe
link: https://www.google.com/maps/search/Galeria+Caf%C3%A9/@39.4009011,-9.1381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 492 reviews

Name: local cafe
link: https://www.google.com/maps/search/local+caf%C3%A9/@39.4038423,-9.1330263?authuser=0&hl=zh-TW&entry=ttu
Reviews: 193 reviews

Name: Dimas Cafe
link: https://www.google.com/maps/search/Dimas+Caf%C3%A9/@39.4065541,-9.1379726?authuser=0&hl=zh-TW&entry=ttu
Reviews: 148 reviews

Name: Cafe Europa
link: https://www.google.com/maps/search/Caf%C3%A9+Europa/@39.410468,-9.139237999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://www.facebook.com/pastelariaVenezia/%3Flocale%3Dpt_BR,Pastelaria Venezia (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOXaH85WIMJGIhX0agroQuNMOhFiAqnK9-T1ZY9=w508-h240-k-no,Gao Bing Dian ,Gao Bing Dian ,4,07:00-19:30,Xing Qi Liu ,+351 961 961 443,"Pastelaria Venezia, R. Alm. Candido Reis 98, 2500-073 Caldas da Rainha, Pu Tao Ya ","Ke Ren , Jia Ge , Zhuo , Ka Pei Ting , Zhu Yi , Zhi Fu , star",https://www.google.com/maps/place/Pastelaria+Venezia/data=!4m7!3m6!1s0xd18b3a547f1626d:0xf994155d9fee36cc!8m2!3d39.4047679!4d-9.1351406!16s%2Fg%2F1tf725yf!19sChIJbWLxR6WzGA0RzDbun10VlPk?authuser=0&hl=zh-TW&rclk=1
ChIJZ6aczqSzGA0RMP4Yj1AgwnI,Pastelaria Dona Leonor,,False,196,"Name: Doce Real - Padaria Pastelaria
link: https://www.google.com/maps/search/Doce+Real+-+Padaria+Pastelaria/@39.4126152,-9.1457413?authuser=0&hl=zh-TW&entry=ttu
Reviews: 235 reviews

Name: Pastelaria Baia - Rei das Cavacas
link: https://www.google.com/maps/search/Pastelaria+Ba%C3%ADa+-+Rei+das+Cavacas/@39.403240499999995,-9.1331063?authuser=0&hl=zh-TW&entry=ttu
Reviews: 183 reviews

Name: Pastelaria Pingo de Mel
link: https://www.google.com/maps/search/Pastelaria+Pingo+de+Mel/@39.4041226,-9.1383762?authuser=0&hl=zh-TW&entry=ttu
Reviews: 178 reviews

Name: Pastelaria Paris
link: https://www.google.com/maps/search/Pastelaria+Paris/@39.4086584,-9.1374952?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews",https://pt-pt.facebook.com/pastelariadonaleonorcaldasdarainha,Pastelaria Dona Leonor (Ye Zhu ),https://www.google.com/maps/contrib/102516918607850181864,https://lh5.googleusercontent.com/p/AF1QipM7UuXGg5O72iYGI6hdyDztEQ7svqpPOk0qcW_5=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Gao Bing Dian ",4.6,07:30-19:00,Xing Qi Yi ,+351 262 084 923,"Pastelaria Dona Leonor, R. de Camoes no23, 2500-174 Caldas da Rainha, Pu Tao Ya ","Dan Gao , Guo Jiang , Chan Pin , Pai ",https://www.google.com/maps/place/Pastelaria+Dona+Leonor/data=!4m7!3m6!1s0xd18b3a4ce9ca667:0x72c220508f18fe30!8m2!3d39.4027604!4d-9.1348475!16s%2Fg%2F11c52603k_!19sChIJZ6aczqSzGA0RMP4Yj1AgwnI?authuser=0&hl=zh-TW&rclk=1
ChIJ0TPseJCzGA0RK6pCwY0jEsA,local cafe,,False,193,"Name: Citrus - Coffee & Healthy Food
link: https://www.google.com/maps/search/Citrus+-+Coffee+%26+Healthy+Food/@39.4037784,-9.1335412?authuser=0&hl=zh-TW&entry=ttu
Reviews: 567 reviews

Name: Cafe-Pastelaria Central
link: https://www.google.com/maps/search/Caf%C3%A9-Pastelaria+Central/@39.4038739,-9.1333079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 553 reviews

Name: Galeria Cafe
link: https://www.google.com/maps/search/Galeria+Caf%C3%A9/@39.4009011,-9.1381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 492 reviews

Name: Pastelaria Venezia
link: https://www.google.com/maps/search/Pastelaria+Venezia/@39.404767899999996,-9.1351406?authuser=0&hl=zh-TW&entry=ttu
Reviews: 232 reviews

Name: Cafe Bordalo
link: https://www.google.com/maps/search/Caf%C3%A9+Bordalo/@39.4046776,-9.1409639?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews",https://www.facebook.com/local.cafe.caldas/%3Fview_public_for%3D293434021551989,local cafe (Ye Zhu ),https://www.google.com/maps/contrib/105687047477351458171,https://lh5.googleusercontent.com/p/AF1QipPBoxyhW_V_NX_YTN3qlPn6pJyyB2lE3K9JMEbS=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,09:00-22:00,"Xing Qi Yi , Xing Qi Er ",+351 968 678 076,"local cafe, Largo Dr. Jose Barbosa 8, 2500-106 Caldas da Rainha, Pu Tao Ya ","Hong Jiu , Qi Si , Zao Wu Can , Yin Le , Re Qing , Chan Pin , Ji Jian , Ka Pei Shi , Ke Li Lu , vegan",https://www.google.com/maps/place/local+caf%C3%A9/data=!4m7!3m6!1s0xd18b39078ec33d1:0xc012238dc142aa2b!8m2!3d39.4038423!4d-9.1330263!16s%2Fg%2F11h15xpd17!19sChIJ0TPseJCzGA0RK6pCwY0jEsA?authuser=0&hl=zh-TW&rclk=1
ChIJh2RkuaWzGA0Rben52yBlPQo,Pastelaria Pingo de Mel,,False,179,"Name: Cafe-Pastelaria Central
link: https://www.google.com/maps/search/Caf%C3%A9-Pastelaria+Central/@39.4038739,-9.1333079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 553 reviews

Name: Doce Real - Padaria Pastelaria
link: https://www.google.com/maps/search/Doce+Real+-+Padaria+Pastelaria/@39.4126152,-9.1457413?authuser=0&hl=zh-TW&entry=ttu
Reviews: 235 reviews

Name: Pastelaria Dona Leonor
link: https://www.google.com/maps/search/Pastelaria+Dona+Leonor/@39.4027604,-9.1348475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 196 reviews

Name: Bistro Cafe Pastelaria
link: https://www.google.com/maps/search/Bistr%C3%B4+Caf%C3%A9+Pastelaria/@39.410342199999995,-9.1400851?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Cafe-Snack Bar Chamel
link: https://www.google.com/maps/search/Caf%C3%A9-Snack+Bar+Chamel/@39.4066511,-9.1377398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews",https://codigopostal.ciberforma.pt/dir/0/pastelaria-pingo-de-mel/,Pastelaria Pingo de Mel (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPPyJDoVuFvBoagTdjhK7s4dYyZoxCKFnrAs_uh=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,08:30-19:00,Xing Qi Ri ,+351 262 831 327,"Pastelaria Pingo de Mel, R. Sebastiao de Lima 32, 2500-273 Caldas da Rainha, Pu Tao Ya ",Dan Gao ,https://www.google.com/maps/place/Pastelaria+Pingo+de+Mel/data=!4m7!3m6!1s0xd18b3a5b9646487:0xa3d6520dbf9e96d!8m2!3d39.4041226!4d-9.1383762!16s%2Fg%2F11c0rv_20p!19sChIJh2RkuaWzGA0Rben52yBlPQo?authuser=0&hl=zh-TW&rclk=1
