place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJi0_WgHlnbQcRSV3VgqRhaeQ,Cacau Show,,False,19,"Name: Casa Das Embalagens
link: https://www.google.com/maps/search/Casa+Das+Embalagens/@-10.5060374,-40.3241661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: FORMOSAUTO PECAS - CAMPO FORMOSO
link: https://www.google.com/maps/search/FORMOSAUTO+PE%C3%87AS+-+CAMPO+FORMOSO/@-10.5121874,-40.316586199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: DOCERIA MARTINS
link: https://www.google.com/maps/search/DOCERIA+MARTINS/@-10.5051341,-40.317568699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Menino das flores
link: https://www.google.com/maps/search/Menino+das+flores/@-10.5435675,-40.298473699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.cacaushow.com.br/,Cacau Show (Ye Zhu ),https://www.google.com/maps/contrib/114275039825577131016,https://lh5.googleusercontent.com/p/AF1QipMG4EohPNrHhQKhsIZYn0LzBymdwi_Xje0mjinA=w426-h240-k-no,Qiao Ke Li Gong Chang ,"Qiao Ke Li Gong Chang , Tang Guo Dian , Qiao Ke Li Gong Jiang , Ka Pei Dian , Xue Gao Dian ",4.2,08:00-18:00,Xing Qi Ri ,+55 74 3645-2836,"Cacau Show - Av. Candido Ribeiro Peralva, 68 - Centro, Campo Formoso - BA, 44790-000Ba Xi ",,https://www.google.com/maps/place/Cacau+Show/data=!4m7!3m6!1s0x76d677980d64f8b:0xe46961a482d55d49!8m2!3d-10.509269!4d-40.3213668!16s%2Fg%2F11ggndkt7d!19sChIJi0_WgHlnbQcRSV3VgqRhaeQ?authuser=0&hl=zh-TW&rclk=1
ChIJY6wM-HBnbQcR4lCDiWnSQv8,Delicatessen Veneza,,False,529,"Name: Restaurante Blandina Gourmet
link: https://www.google.com/maps/search/Restaurante+Blandina+Gourmet/@-10.5086526,-40.3198259?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: Panificadora Vieira
link: https://www.google.com/maps/search/Panificadora+Vieira/@-10.506542399999999,-40.3209467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: Cafe Tiquara
link: https://www.google.com/maps/search/Caf%C3%A9+Tiquara/@-10.5147351,-40.3169253?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Docedeli
link: https://www.google.com/maps/search/Docedeli/@-10.5118333,-40.316487699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Vish, Que Delicia!
link: https://www.google.com/maps/search/Vish%2C+Que+Del%C3%ADcia%21/@-10.511655,-40.3180117?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Delicatessen Veneza (Ye Zhu ),https://www.google.com/maps/contrib/108227476274664238934,https://lh5.googleusercontent.com/p/AF1QipNhV4eFhlWHhwXJQ8zNixZkkTvPZVDkRmJyQ6R-=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,07:00-22:00,Open All Days,+55 74 3645-2169,"Delicatessen Veneza - R. Leonardo Galvao Bandeira, 93 - Campo Formoso, BA, 44790-000Ba Xi ","Chan Pin , Jia Ge , Xiao Chi , Guo Zhi , Pi Sa , Mian Bao Dian , Pai , Zhuo ",https://www.google.com/maps/place/Delicatessen+Veneza/data=!4m7!3m6!1s0x76d6770f80cac63:0xff42d269898350e2!8m2!3d-10.5085596!4d-40.3209226!16s%2Fg%2F11gbfmg94g!19sChIJY6wM-HBnbQcR4lCDiWnSQv8?authuser=0&hl=zh-TW&rclk=1
ChIJJ4qBkIJnbQcR5y_jo_eoz8Q,Cafe Tiquara,,False,56,"Name: Delicatessen Veneza
link: https://www.google.com/maps/search/Delicatessen+Veneza/@-10.5085596,-40.320922599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 529 reviews

Name: Cafe Botafogo Tiquara
link: https://www.google.com/maps/search/Caf%C3%A9+Botafogo+Tiquara/@-10.4673559,-40.5464953?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Cafessai
link: https://www.google.com/maps/search/Cafessa%C3%AD/@-10.5070897,-40.323459299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Point do acaraje tiquara
link: https://www.google.com/maps/search/Point+do+acaraj%C3%A9+tiquara/@-10.464924,-40.5462689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Cafe Tiquara (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN0tb3xAWwdt1guTwh5FCdvCRcBPdNulSKhTaLx=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,"07:00-12:00, 14:00-17:00",Xing Qi Ri ,+55 74 3645-1372,"Cafe Tiquara - Av. Tancredo Neves, s/n - Caixa Postal 039, Campo Formoso - BA, 44790-000Ba Xi ",,https://www.google.com/maps/place/Caf%C3%A9+Tiquara/data=!4m7!3m6!1s0x76d678290818a27:0xc4cfa8f7a3e32fe7!8m2!3d-10.5147351!4d-40.3169253!16s%2Fg%2F11b6hp4scz!19sChIJJ4qBkIJnbQcR5y_jo_eoz8Q?authuser=0&hl=zh-TW&rclk=1
ChIJyzY4gHFnbQcRamg_mGTUkYE,Casa do Queijo,,False,27,"Name: Casa Da Pizza
link: https://www.google.com/maps/search/Casa+Da+Pizza/@-10.505404,-40.3184456?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: CASA DO NORTE
link: https://www.google.com/maps/search/CASA+DO+NORTE/@-10.507109,-40.3210074?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Cafessai
link: https://www.google.com/maps/search/Cafessa%C3%AD/@-10.5070897,-40.323459299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: La casa de pastel
link: https://www.google.com/maps/search/La+casa+de+pastel/@-10.5104899,-40.3220677?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Casa do Queijo (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNJ7YUf7AyEazMYffZi8AKoBuCqf9ZLUWNq3AGj=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,07:00-18:00,Xing Qi Ri ,+55 74 99123-6866,"Casa do Queijo - R. Cel. Arsenio Alves, 61 - Campo Formoso, BA, 44790-000Ba Xi ",,https://www.google.com/maps/place/Casa+do+Queijo/data=!4m7!3m6!1s0x76d6771803836cb:0x8191d464983f686a!8m2!3d-10.5080413!4d-40.3240866!16s%2Fg%2F11c6cq98l4!19sChIJyzY4gHFnbQcRamg_mGTUkYE?authuser=0&hl=zh-TW&rclk=1
ChIJY8gLmJpBcgcR4QyrZt9meIM,Geovane&Luciene,,False,10,"Name: Bar Do Jilvan
link: https://www.google.com/maps/search/Bar+Do+Jilvan/@-10.1821627,-40.933497900000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Restaurante M&N
link: https://www.google.com/maps/search/Restaurante+M%26N/@-10.1093382,-40.819078499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Restaurante e Pousada Derly
link: https://www.google.com/maps/search/Restaurante+e+Pousada+Derly/@-10.112290999999999,-40.8216209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Eolico Delfina park
link: https://www.google.com/maps/search/Eolico+Delfina+park/@-10.0254361,-40.8461722?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Bar Do Cloves
link: https://www.google.com/maps/search/Bar+Do+Cloves/@-10.1111421,-40.8207397?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",,Geovane&Luciene (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNNZCrIp7FRP-Krj5bkB0m-zr3mCbEjTa_KmV8d=w408-h306-k-no,Cha Yi Guan ,Cha Yi Guan ,2.9,24 Xiao Shi Ying Ye ,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Liu ",+55 74 98836-4887,"Geovane&Luciene - bicas, Campo Formoso - BA, Ba Xi ",,https://www.google.com/maps/place/Geovane%26Luciene/data=!4m7!3m6!1s0x772419a980bc863:0x837866df66ab0ce1!8m2!3d-10.0266884!4d-40.8962397!16s%2Fg%2F11gnppx763!19sChIJY8gLmJpBcgcR4QyrZt9meIM?authuser=0&hl=zh-TW&rclk=1
ChIJ4bNrW3x7bQcR6PXKA7TWaf4,Cafe Botafogo Tiquara,,False,9,"Name: Delicatessen Veneza
link: https://www.google.com/maps/search/Delicatessen+Veneza/@-10.5085596,-40.320922599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 529 reviews

Name: Magazine Luiza
link: https://www.google.com/maps/search/Magazine+Luiza/@-10.5094467,-40.320774899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 359 reviews

Name: Cafe Tiquara
link: https://www.google.com/maps/search/Caf%C3%A9+Tiquara/@-10.5147351,-40.3169253?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Tiquara
link: https://www.google.com/maps/search/Tiquara/@-10.4657137,-40.5479294?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Igreja Bom Jesus Tiquara
link: https://www.google.com/maps/search/Igreja+Bom+Jesus+Tiquara/@-10.467240799999999,-40.547045499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Cafe Botafogo Tiquara (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PXt2Xvl7xlLZ46VyPShu6A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=137.10986&pitch=0&thumbfov=100,Xiao Shi /Ling Shi Ba ,Xiao Shi /Ling Shi Ba ,4.9,05:00-17:00,Xing Qi Ri ,+55 74 99938-6223,"Cafe Botafogo Tiquara - Rua principal, s/n, Tiquara, Campo Formoso - BA, Ba Xi ",,https://www.google.com/maps/place/Caf%C3%A9+Botafogo+Tiquara/data=!4m7!3m6!1s0x76d7b7c5b6bb3e1:0xfe69d6b403caf5e8!8m2!3d-10.4673559!4d-40.5464953!16s%2Fg%2F11ry7tvf5q!19sChIJ4bNrW3x7bQcR6PXKA7TWaf4?authuser=0&hl=zh-TW&rclk=1
ChIJH5DtIdxzbQcRlTOHbdz2QBw,Alagadico de Borda da Mata,,False,7,"Name: Borda Da Mata
link: https://www.google.com/maps/search/Borda+Da+Mata/@-10.5945682,-40.524673899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Tapera do acai
link: https://www.google.com/maps/search/Tapera+do+a%C3%A7ai/@-10.442119499999999,-40.841243?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Dartycleia Dias Souza
link: https://www.google.com/maps/search/Dartycleia+Dias+Souza/@-10.497159000000002,-40.396575?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Bar da Maria Jos
link: https://www.google.com/maps/search/Bar+da+Maria+Jos/@-10.4984292,-40.3980507?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Alagadico de Borda da Mata (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,4.6,,Open All Days,+55 74 99128-7157,"Alagadico de Borda da Mata, Campo Formoso - BA, 44790-000Ba Xi ",,https://www.google.com/maps/place/Alagadi%C3%A7o+de+Borda+da+Mata/data=!4m7!3m6!1s0x76d73dc21ed901f:0x1c40f6dc6d873395!8m2!3d-10.6207744!4d-40.5358208!16s%2Fg%2F11h3tktxcr!19sChIJH5DtIdxzbQcRlTOHbdz2QBw?authuser=0&hl=zh-TW&rclk=1
ChIJ2-eA3pSPbQcRaAL77MkheGE,Tapera do acai,,False,7,"Name: Restaurante Bar do Peixe
link: https://www.google.com/maps/search/Restaurante+Bar+do+Peixe/@-10.290500999999999,-40.7521889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Cafessai
link: https://www.google.com/maps/search/Cafessa%C3%AD/@-10.5070897,-40.323459299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: RP Lanches
link: https://www.google.com/maps/search/RP+Lanches/@-10.4647807,-40.547475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",,Tapera do acai (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOIY-OP9GPHM0Y-FkIAlbxMXVGManvj4RU_O9mR=w426-h240-k-no,Xiao Shi /Ling Shi Ba ,Xiao Shi /Ling Shi Ba ,4.9,,Open All Days,,"Tapera do acai - Campo Formoso, BA, 44790-000Ba Xi ",,https://www.google.com/maps/place/Tapera+do+a%C3%A7ai/data=!4m7!3m6!1s0x76d8f94de80e7db:0x617821c9ecfb0268!8m2!3d-10.4421195!4d-40.841243!16s%2Fg%2F11fpgb3f38!19sChIJ2-eA3pSPbQcRaAL77MkheGE?authuser=0&hl=zh-TW&rclk=1
ChIJL0hwNXdnbQcRNx4pGL0PaX8,Speed Way Cyber Cafe,,False,6,"Name: CYBER FLASH
link: https://www.google.com/maps/search/CYBER+FLASH/@-10.5050835,-40.318124999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Grafica Viana
link: https://www.google.com/maps/search/Gr%C3%A1fica+Viana/@-10.497529199999999,-40.3970682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Mundo Net Cyber Cafe
link: https://www.google.com/maps/search/Mundo+Net+Cyber+Caf%C3%A9/@-10.5089632,-40.320313?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cyber Flash Esmeralda
link: https://www.google.com/maps/search/Cyber+Flash+Esmeralda/@-10.5083902,-40.322597699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Speed Way Cyber Cafe (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OdMX54cM959hz0F5LllJJg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=216.41922&pitch=0&thumbfov=100,Wang Ba ,Wang Ba ,4,08:00-21:00,Xing Qi Ri ,+55 74 3645-2916,"Speed Way Cyber Cafe - Praca Frei Lino Graflage, 72 - Centro, Campo Formoso - BA, 44790-000Ba Xi ",,https://www.google.com/maps/place/Speed+Way+Cyber+Caf%C3%A9/data=!4m7!3m6!1s0x76d67773570482f:0x7f690fbd18291e37!8m2!3d-10.5086049!4d-40.3194955!16s%2Fg%2F1ptz6pd2_!19sChIJL0hwNXdnbQcRNx4pGL0PaX8?authuser=0&hl=zh-TW&rclk=1
ChIJ7acJo3BnbQcRjux69_YXdeQ,Cafessai,,False,5,"Name: Cafe Tiquara
link: https://www.google.com/maps/search/Caf%C3%A9+Tiquara/@-10.5147351,-40.3169253?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Restaurante Samuray
link: https://www.google.com/maps/search/Restaurante+Samuray/@-10.508324199999999,-40.3204614?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Restaurante Sabor Caseiro
link: https://www.google.com/maps/search/Restaurante+Sabor+Caseiro/@-10.505503,-40.3180081?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: RS Sabor Baiano
link: https://www.google.com/maps/search/RS+Sabor+Baiano/@-10.5098623,-40.3194258?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafessai (Ye Zhu ),https://www.google.com/maps/contrib/113996673571147570523,https://lh5.googleusercontent.com/p/AF1QipNXFPK6lCQAixKj4SuCviVbw5YxHCVZduRHzvSr=w408-h544-k-no,Can Ting ,"Can Ting , Zheng Liu Ka Pei Ba ",5,08:00-16:00,Xing Qi Ri ,+55 74 99109-9107,"Cafessai - R. Cel. Arsenio Alves, 90 - Centro, Campo Formoso - BA, 44790-000Ba Xi ",,https://www.google.com/maps/place/Cafessa%C3%AD/data=!4m7!3m6!1s0x76d6770a309a7ed:0xe47517f6f77aec8e!8m2!3d-10.5070897!4d-40.3234593!16s%2Fg%2F11t4dwvszk!19sChIJ7acJo3BnbQcRjux69_YXdeQ?authuser=0&hl=zh-TW&rclk=1
