place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJodrBjJnohpQRzO6gSdhLsrc,Bread and Such,,False,4129,"Name: Mais que Pao
link: https://www.google.com/maps/search/Mais+que+P%C3%A3o/@-20.4770224,-54.593362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1984 reviews

Name: Bread and Tal Express
link: https://www.google.com/maps/search/Bread+and+Tal+Express/@-20.4434328,-54.5724587?authuser=0&hl=zh-TW&entry=ttu
Reviews: 738 reviews

Name: Padaria Panificadora e Confeitaria Pao da Vida
link: https://www.google.com/maps/search/Padaria+Panificadora+e+Confeitaria+P%C3%A3o+da+Vida/@-20.4699883,-54.632062999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 549 reviews

Name: Panificadora Cafe & Pao
link: https://www.google.com/maps/search/Panificadora+Caf%C3%A9+%26+P%C3%A3o/@-20.4968932,-54.624630599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 163 reviews",https://paoetal.com.br/,Bread and Such (Ye Zhu ),https://www.google.com/maps/contrib/107165358832875863761,https://lh5.googleusercontent.com/p/AF1QipN3ZHOr23S3PqyhtFgwpkQpYtx1whswIQMhpKrA=w408-h265-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Dian , Gao Ji Shi Cai Dian ",4.5,06:00-22:00,Open All Days,+55 67 3382-5344,"Bread and Such - R. Euclides da Cunha, 595 - Jardim dos Estados, Campo Grande - MS, 79020-230Ba Xi ","Wu Can , Qing Shi , Pin Wei , Chi Dao Bao , Hui Yi ",https://www.google.com/maps/place/Bread+and+Such/data=!4m7!3m6!1s0x9486e8998cc1daa1:0xb7b24bd849a0eecc!8m2!3d-20.4565341!4d-54.5995862!16s%2Fg%2F1tgljdnd!19sChIJodrBjJnohpQRzO6gSdhLsrc?authuser=0&hl=zh-TW&rclk=1
ChIJSZ_4YKjohpQRglSjBOIWlFk,Panificadora Monte Libano,,False,3328,"Name: Mais que Pao
link: https://www.google.com/maps/search/Mais+que+P%C3%A3o/@-20.4770224,-54.593362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1984 reviews

Name: Emporio do Pao - PADARIA E CONFEITARIA
link: https://www.google.com/maps/search/Emp%C3%B3rio+do+P%C3%A3o+-+PADARIA+E+CONFEITARIA/@-20.475706199999998,-54.642505799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1229 reviews

Name: Panificadora Tiete
link: https://www.google.com/maps/search/Panificadora+Tiet%C3%AA/@-20.4564357,-54.633914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 402 reviews

Name: Padaria Toscano
link: https://www.google.com/maps/search/Padaria+Toscano/@-20.4413409,-54.6011586?authuser=0&hl=zh-TW&entry=ttu
Reviews: 183 reviews",http://www.pmlibano.com.br/,Panificadora Monte Libano (Ye Zhu ),https://www.google.com/maps/contrib/117376845301631586256,https://lh3.googleusercontent.com/gps-proxy/AMy85WJJV9knO_QniwxJ9GXX7CyY-ti-yr0Y7DAHlzlBTTy_iTLT3IAY1Dh_5BwBDbjSvigp2gra5ktHVZGd5bKu0IcbXMpNv5FqOs07hkzjva1QYOC6nyEdtRw-PxINiNLSGGloqgHHX3nCnC6HjP4hy3_A2pJOG4gJ_4NWw5P07RgT0g2wQN3ieN1ErpYfspbh6AvG8w=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Zao Can Can Ting ",4.5,06:00-20:00,Open All Days,+55 67 3382-0450,"Panificadora Monte Libano - R. Sebastiao Lima, 848 - Jardim Monte Libano, Campo Grande - MS, 79004-600Ba Xi ","Chan Pin , Qing Shi , Ji Rou , Jia Zhi ",https://www.google.com/maps/place/Panificadora+Monte+L%C3%ADbano/data=!4m7!3m6!1s0x9486e8a860f89f49:0x599416e204a35482!8m2!3d-20.4751475!4d-54.6069782!16s%2Fg%2F1tfbjttq!19sChIJSZ_4YKjohpQRglSjBOIWlFk?authuser=0&hl=zh-TW&rclk=1
ChIJqQWvgSrmhpQR1uRwrwPVaak,Kanto de Minas - Emporio e Cafe,,False,2303,"Name: Cafeteria Mais1. Cafe - Arthur Jorge
link: https://www.google.com/maps/search/Cafeteria+Mais1.+Caf%C3%A9+-+Arthur+Jorge/@-20.458648999999998,-54.606757699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 194 reviews

Name: Cafe Doce Lembranca
link: https://www.google.com/maps/search/Caf%C3%A9+Doce+Lembran%C3%A7a/@-20.4599641,-54.6116445?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Cafe de Minas
link: https://www.google.com/maps/search/Caf%C3%A9+de+Minas/@-20.4592916,-54.604400899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: Cafe e Cia
link: https://www.google.com/maps/search/Caf%C3%A9+e+Cia/@-20.4652746,-54.6149692?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: Cantina Cafe
link: https://www.google.com/maps/search/Cantina+Caf%C3%A9/@-20.458396399999998,-54.614377999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",http://www.kantodeminas.com.br/,Kanto de Minas - Emporio e Cafe (Ye Zhu ),https://www.google.com/maps/contrib/103541941893852965271,https://lh5.googleusercontent.com/p/AF1QipP5Qg7mpskGlBy0sLWp0OxaxW5eMva0dkw9OXpP=w630-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting , Gao Ji Shi Cai Dian , Mi Na Si Ji La Si Zhou Chuan Tong Mei Shi Can Ting ",4.7,08:00-22:00,Xing Qi Ri ,+55 67 3023-8080,"Kanto de Minas - Emporio e Cafe - R. Des. Eurindo Neves, 66 - Sao Francisco, Campo Grande - MS, 79010-100Ba Xi ","Kao Ma Ling Shu , Jiao Tang Niu Nai , Shou Gong ",https://www.google.com/maps/place/Kanto+de+Minas+-+Emp%C3%B3rio+e+Caf%C3%A9/data=!4m7!3m6!1s0x9486e62a81af05a9:0xa969d503af70e4d6!8m2!3d-20.4455978!4d-54.6096736!16s%2Fg%2F11h9qfglpd!19sChIJqQWvgSrmhpQR1uRwrwPVaak?authuser=0&hl=zh-TW&rclk=1
ChIJbeBvg4zohpQR2hq1qkMyAmA,Cafe Beltrao,,False,1375,"Name: Bourbon Cafe
link: https://www.google.com/maps/search/Bourbon+Caf%C3%A9/@-20.4536472,-54.6062349?authuser=0&hl=zh-TW&entry=ttu
Reviews: 263 reviews

Name: Baristro Cafes Especiais
link: https://www.google.com/maps/search/Baristr%C3%B4+Caf%C3%A9s+Especiais/@-20.4403519,-54.582240199999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 231 reviews

Name: Maria's Cafe
link: https://www.google.com/maps/search/Maria%27s+Caf%C3%A9/@-20.4951923,-54.5966446?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Cheirin Bao Campo Grande
link: https://www.google.com/maps/search/Cheirin+B%C3%A3o+Campo+Grande/@-20.494954099999998,-54.596020499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",https://cafe-beltrao.negocio.site/%3Fm%3Dtrue,Cafe Beltrao (Ye Zhu ),https://www.google.com/maps/contrib/115126338907325374026,https://lh5.googleusercontent.com/p/AF1QipPtrscJYOFtk-E4azqufK1chjCiSyYN0N8fwZ8D=w408-h272-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Jiao Se Ban Yan Ka Pei Ting , Gao Ji Shi Cai Dian ",4.7,08:00-19:00,Xing Qi Ri ,+55 67 3352-4565,"Cafe Beltrao - R. Cassilandia, 34 - Monte Carlo, Campo Grande - MS, 79022-420Ba Xi ","Guo Jiang , Pin Wei , Kao Ma Ling Shu ",https://www.google.com/maps/place/Caf%C3%A9+Beltr%C3%A3o/data=!4m7!3m6!1s0x9486e88c836fe06d:0x60023243aab51ada!8m2!3d-20.4438841!4d-54.5897132!16s%2Fg%2F1q648b501!19sChIJbeBvg4zohpQR2hq1qkMyAmA?authuser=0&hl=zh-TW&rclk=1
ChIJt7DvwC7phpQR87d9Gb0RCn8,Cafe du Centre Campo Grande,,False,1141,"Name: Cafe Doce Lembranca
link: https://www.google.com/maps/search/Caf%C3%A9+Doce+Lembran%C3%A7a/@-20.4599641,-54.6116445?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Cafe de Minas
link: https://www.google.com/maps/search/Caf%C3%A9+de+Minas/@-20.4592916,-54.604400899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: Coffee House
link: https://www.google.com/maps/search/Coffee+House/@-20.453913600000003,-54.6120872?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews",http://www.cafeducentre.com.br/,Cafe du Centre Campo Grande (Ye Zhu ),https://www.google.com/maps/contrib/103999087268842530117,https://lh5.googleusercontent.com/p/AF1QipNz56kMbiBWkl5r4psZG--0TZbx8WQnqHdZvnx7=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,08:30-20:00,Open All Days,+55 67 2525-0025,"Cafe du Centre Campo Grande - R. da Paz, 501 - Jardim dos Estados, Campo Grande - MS, 79020-250Ba Xi ","Huan Jing , Ke Song , Zhuang Xiu , Guo Jiang , Xian Pai , Jiao Yu , Mei Shi ",https://www.google.com/maps/place/Caf%C3%A9+du+Centre+Campo+Grande/data=!4m7!3m6!1s0x9486e92ec0efb0b7:0x7f0a11bd197db7f3!8m2!3d-20.4586514!4d-54.600521!16s%2Fg%2F11ghljxqc8!19sChIJt7DvwC7phpQR87d9Gb0RCn8?authuser=0&hl=zh-TW&rclk=1
ChIJg4nvk7PohpQR9Yrq5cwnxOk,Sweet Cafe e Eventos,,False,774,"Name: Doces Momentos
link: https://www.google.com/maps/search/Doces+Momentos/@-20.452527999999997,-54.606065799999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4269 reviews

Name: Doce Grao Cafeteria e Doceria
link: https://www.google.com/maps/search/Doce+Gr%C3%A3o+Cafeteria+e+Doceria/@-20.4830915,-54.5946767?authuser=0&hl=zh-TW&entry=ttu
Reviews: 306 reviews

Name: Cake 67 Confeitaria
link: https://www.google.com/maps/search/Cake+67+Confeitaria/@-20.4634386,-54.6104807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 284 reviews

Name: Doce Cafe
link: https://www.google.com/maps/search/Doce+Caf%C3%A9/@-20.462614199999997,-54.616177799999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Mary sweet doces
link: https://www.google.com/maps/search/Mary+sweet+doces/@-20.4779071,-54.598622199999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://www.confeitariasweet.com.br/,Sweet Cafe e Eventos (Ye Zhu ),https://www.google.com/maps/contrib/104663468969805673465,https://lh5.googleusercontent.com/p/AF1QipMxIHaFd7Vr4dg_QaCeQYTS8zq46HQbN-WMrLfj=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Xiao Can Guan  (Bistro), Zao Can Can Ting , Zao Wu Can Can Ting , Can Ting , Hun Li Gao Bing Dian ",4.6,08:00-20:00,Xing Qi Yi ,+55 67 3349-4441,"Sweet Cafe e Eventos - R. Catumbi, 159 - Jardim Bela Vista, Campo Grande - MS, 79003-070Ba Xi ","Guo Jiang , Huan Jing , Chan Pin , Pai ",https://www.google.com/maps/place/Sweet+Caf%C3%A9+e+Eventos/data=!4m7!3m6!1s0x9486e8b393ef8983:0xe9c427cce5ea8af5!8m2!3d-20.4770554!4d-54.5941011!16s%2Fg%2F1t_h_22h!19sChIJg4nvk7PohpQR9Yrq5cwnxOk?authuser=0&hl=zh-TW&rclk=1
ChIJpwIMs-rohpQR2TLaIPBCC9k,Cafe do Ponto,,False,738,"Name: Cafeteria Mais1. Cafe - Arthur Jorge
link: https://www.google.com/maps/search/Cafeteria+Mais1.+Caf%C3%A9+-+Arthur+Jorge/@-20.458648999999998,-54.606757699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 194 reviews

Name: Havanna
link: https://www.google.com/maps/search/Havanna/@-20.457352699999998,-54.5870934?authuser=0&hl=zh-TW&entry=ttu
Reviews: 177 reviews

Name: Tigre Cafe
link: https://www.google.com/maps/search/Tigre+Caf%C3%A9/@-20.4555753,-54.5939461?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews",http://www.cafedoponto.com.br/,Cafe do Ponto (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP7b6SOCWU5he9gZRyTFfvCblY8FLwudigaseE5=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.4,08:00-22:00,Open All Days,+55 800 707 7442,"Cafe do Ponto - Avenida Afonso Pena, 4909 - 814 Shopping - Cidade Jardim, Campo Grande - MS, 79031-900Ba Xi ","Jia Ge , Qia Bu Qi Nuo , Chan Pin , Pai ",https://www.google.com/maps/place/Caf%C3%A9+do+Ponto/data=!4m7!3m6!1s0x9486e8eab30c02a7:0xd90b42f020da32d9!8m2!3d-20.4576571!4d-54.5874131!16s%2Fg%2F1q5bmp5r1!19sChIJpwIMs-rohpQR2TLaIPBCC9k?authuser=0&hl=zh-TW&rclk=1
ChIJVQCVV5bohpQRi3trPpSidSc,"Milkshakeria, Almoco e Cafe",,False,523,"Name: Cafe du Centre Campo Grande
link: https://www.google.com/maps/search/Caf%C3%A9+du+Centre+Campo+Grande/@-20.4586514,-54.600521?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1141 reviews

Name: Cafe de Minas
link: https://www.google.com/maps/search/Caf%C3%A9+de+Minas/@-20.4592916,-54.604400899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: Milk Shake Up Campo Grande, Centro
link: https://www.google.com/maps/search/Milk+Shake+Up+Campo+Grande%2C+Centro/@-20.4661676,-54.6155006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.conecta.bio/milkshakeria,"Milkshakeria, Almoco e Cafe (Ye Zhu )",https://www.google.com/maps/contrib/106197942050610987745,https://lh3.googleusercontent.com/gps-proxy/AMy85WI-dDCxiSwAgyrKmaJxYC4d2SI-IVaQBASresSH73C3ZKwHCvTYvoABr-opQgnUFi9o_t3XJwuzw3Uuiv2vNLqCpTj2KBm536soPZ1VRy7zBMRSp7H7gNkP6SqwLjecQpf8fwIaZ28p1FIGWQhXuZHl5xzrUmwnkpJEF-JLR8gSGdVRAFzf83tIeJPyrbvwK29S6g=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Xue Gao Dian , Xian Ru Pei Song Fu Wu , Yin Di An Cai Can Ting , Can Ting ",4.3,08:30-18:00,"Xing Qi Liu , Xing Qi Ri ",+55 67 3211-1735,"Milkshakeria, Almoco e Cafe - R. da Paz, 1054 - Centro, Campo Grande - MS, 79020-250Ba Xi ","Chan Pin , Huan Jing , Bing Qi Lin , Tui Guang ","https://www.google.com/maps/place/Milkshakeria,+Almo%C3%A7o+e+Caf%C3%A9/data=!4m7!3m6!1s0x9486e89657950055:0x2775a2943e6b7b8b!8m2!3d-20.4580363!4d-54.5950395!16s%2Fg%2F1q69q15dt!19sChIJVQCVV5bohpQRi3trPpSidSc?authuser=0&hl=zh-TW&rclk=1"
ChIJJSte6AfphpQRchGbY6f3Hqk,Gairdin - Cafe e Cha no Jardim,,False,360,"Name: Cafe Beltrao
link: https://www.google.com/maps/search/Caf%C3%A9+Beltr%C3%A3o/@-20.4438841,-54.5897132?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1375 reviews

Name: Sweet Cafe e Eventos
link: https://www.google.com/maps/search/Sweet+Caf%C3%A9+e+Eventos/@-20.477055399999998,-54.5941011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 774 reviews

Name: Tigre Cafe
link: https://www.google.com/maps/search/Tigre+Caf%C3%A9/@-20.4555753,-54.5939461?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: Maria's Cafe
link: https://www.google.com/maps/search/Maria%27s+Caf%C3%A9/@-20.4951923,-54.5966446?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Ferrandin Cafe e Bar
link: https://www.google.com/maps/search/Ferrandin+Caf%C3%A9+e+Bar/@-20.397512,-54.559145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://instagram.com/gairdincg%3Figshid%3DYmMyMTA2M2Y%3D,Gairdin - Cafe e Cha no Jardim (Ye Zhu ),https://www.google.com/maps/contrib/105036531595434840311,https://lh5.googleusercontent.com/p/AF1QipPdnnB9-OiYlV_jPbGqWzG6l_gxZCm1_2hqD9DP=w408-h242-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Wu Can Can Ting , Ka Pei Ting ",4.7,14:30-20:00,Xing Qi Yi ,+55 67 99245-4830,"Gairdin - Cafe e Cha no Jardim - R. Fagundes Varela, 477 - Jardim Sao Bento, Campo Grande - MS, 79004-200Ba Xi ","Huan Jing , Jing Yan , Zao Can , Zao Wu Can , Chan Pin , Fu Wu , Zhou Mo , Yan , Song Bing ",https://www.google.com/maps/place/Gaird%C3%ADn+-+Caf%C3%A9+e+Ch%C3%A1+no+Jardim/data=!4m7!3m6!1s0x9486e907e85e2b25:0xa91ef7a7639b1172!8m2!3d-20.4743031!4d-54.6010457!16s%2Fg%2F11nfqy051f!19sChIJJSte6AfphpQRchGbY6f3Hqk?authuser=0&hl=zh-TW&rclk=1
ChIJVbogv8nvhpQRz4GZQ2YZKpA,Doce Grao Cafeteria e Doceria,,False,306,"Name: Sweet Cafe e Eventos
link: https://www.google.com/maps/search/Sweet+Caf%C3%A9+e+Eventos/@-20.477055399999998,-54.5941011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 774 reviews

Name: Cafe Doce Lembranca
link: https://www.google.com/maps/search/Caf%C3%A9+Doce+Lembran%C3%A7a/@-20.4599641,-54.6116445?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: DG Cafe - Gastronomia Funcional
link: https://www.google.com/maps/search/DG+Caf%C3%A9+-+Gastronomia+Funcional/@-20.4760924,-54.606785099999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Grao Espresso
link: https://www.google.com/maps/search/Gr%C3%A3o+Espresso/@-20.398131199999998,-54.5585761?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://docegraocafeteria.com.br/,Doce Grao Cafeteria e Doceria (Ye Zhu ),https://www.google.com/maps/contrib/101559629741804248938,https://lh5.googleusercontent.com/p/AF1QipOkZ8I6T8bOUfSBjdo3-i8guQwdFWos1l5FXPnd=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Gong Tong Gong Zuo Kong Jian , Tian Pin Dian ",4.8,08:00-19:00,Open All Days,+55 67 99281-5298,"Doce Grao Cafeteria e Doceria - Av. Bom Pastor, 578 - Vila Vilas Boas, Campo Grande - MS, 79051-220Ba Xi ","Huan Jing , Chan Pin , Jia Ge , Guo Jiang , Jing Yan , Shi Cai , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Doce+Gr%C3%A3o+Cafeteria+e+Doceria/data=!4m7!3m6!1s0x9486efc9bf20ba55:0x902a1966439981cf!8m2!3d-20.4830915!4d-54.5946767!16s%2Fg%2F11j0twfj7j!19sChIJVbogv8nvhpQRz4GZQ2YZKpA?authuser=0&hl=zh-TW&rclk=1
