place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_aFipZ01dpMR1Ma0UWgvkrg,O De Casa Delicias Caseiras E Cafe,,False,347,"Name: Padaria Delicias do Sul
link: https://www.google.com/maps/search/Padaria+Del%C3%ADcias+do+Sul/@-15.548872999999999,-55.1637098?authuser=0&hl=zh-TW&entry=ttu
Reviews: 658 reviews

Name: O De Casa Delicias Caseiras e Restaurante
link: https://www.google.com/maps/search/O+De+Casa+Del%C3%ADcias+Caseiras+e+Restaurante/@-15.5468775,-55.1696494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Doce Atelie de Confeitaria
link: https://www.google.com/maps/search/Doce+Ateli%C3%AA+de+Confeitaria/@-15.545941,-55.166290999999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Panificadora Cafe e Cia
link: https://www.google.com/maps/search/Panificadora+Caf%C3%A9+e+Cia/@-15.568464400000002,-55.181149899999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://www.facebook.com/%25C3%2594-de-Casa-Caf%25C3%25A9-2207044936196473/%3Fti%3Das,O De Casa Delicias Caseiras E Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115595706503579362251,https://lh5.googleusercontent.com/p/AF1QipNjgR9K2Gu-c8e74QxX2AaRnQlPVGJSLTVLI-0M=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.6,06:30-20:00,Xing Qi Ri ,+55 66 99671-7430,"O De Casa Delicias Caseiras E Cafe - Avenida Porto Alegre Ndeg860 Esquina com, Av. Mato Grosso - Centro, Campo Verde - MT, 78840-000Ba Xi ","Dan Gao , Jia Ting , Huan Jing , Xia Wu , Qing Shi , Guo Zhi , Chan Pin ",https://www.google.com/maps/place/%C3%94+De+Casa+Del%C3%ADcias+Caseiras+E+Caf%C3%A9/data=!4m7!3m6!1s0x9376359da562a1fd:0xb8922f6851b4c6d4!8m2!3d-15.5432233!4d-55.170474!16s%2Fg%2F11fcqfgcxj!19sChIJ_aFipZ01dpMR1Ma0UWgvkrg?authuser=0&hl=zh-TW&rclk=1
ChIJ29xBIQY1dpMRGFowWE5qXe8,Costacurta Salgados,,False,44,"Name: Vo fia Paes e Doces
link: https://www.google.com/maps/search/V%C3%B3+fia+P%C3%A3es+e+Doces/@-15.549239499999999,-55.1738521?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: Rota do Salgado
link: https://www.google.com/maps/search/Rota+do+Salgado/@-15.5489331,-55.1679872?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Salgados e cia
link: https://www.google.com/maps/search/Salgados+e+cia/@-15.5540233,-55.164629?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Oliveira salgados
link: https://www.google.com/maps/search/Oliveira+salgados/@-15.55299,-55.1475827?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Costacurta Congelados
link: https://www.google.com/maps/search/Costacurta+Congelados/@-15.5422265,-55.1713745?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://beacons.ai/costacurtacv,Costacurta Salgados (Ye Zhu ),https://www.google.com/maps/contrib/113067720030018689975,https://lh5.googleusercontent.com/p/AF1QipP0SXwTNA01o6KzOmgBqJ0NVqIj9dtBqO1Cvm6A=w408-h612-k-no,Ka Pei Ting ,"Ka Pei Ting , Mei Shi Can Che Dian ",4.6,07:00-20:00,Open All Days,+55 66 99622-6510,"Costacurta Salgados - Rua Teresina - Centro, Campo Verde - MT, 78840-000Ba Xi ",,https://www.google.com/maps/place/Costacurta+Salgados/data=!4m7!3m6!1s0x937635062141dcdb:0xef5d6a4e58305a18!8m2!3d-15.5491178!4d-55.1672232!16s%2Fg%2F11h_29zm6t!19sChIJ29xBIQY1dpMRGFowWE5qXe8?authuser=0&hl=zh-TW&rclk=1
ChIJq6pqENs1dpMR8CDn-rJjWEs,Cacau Show,,False,43,"Name: Chiquinho Sorvetes Campo Verde MT
link: https://www.google.com/maps/search/Chiquinho+Sorvetes+Campo+Verde+MT/@-15.549594400000002,-55.1684458?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Floriculture Magic Flowers
link: https://www.google.com/maps/search/Floriculture+Magic+Flowers/@-15.5446265,-55.1708717?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Doce Atelie de Confeitaria
link: https://www.google.com/maps/search/Doce+Ateli%C3%AA+de+Confeitaria/@-15.545941,-55.166290999999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Atelier Flores e Presentes
link: https://www.google.com/maps/search/Atelier+Flores+e+Presentes/@-15.544011399999999,-55.169125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Floricultura Doce Encanto
link: https://www.google.com/maps/search/Floricultura+Doce+Encanto/@-15.5422533,-55.167460999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.cacaushow.com.br/,Cacau Show (Ye Zhu ),https://www.google.com/maps/contrib/117633098735188184746,https://lh5.googleusercontent.com/p/AF1QipMlVvlvMuiCdv89yHlRD7cXkpKR1X5JZfeIFK3L=w426-h240-k-no,Qiao Ke Li Gong Chang ,"Qiao Ke Li Gong Chang , Tang Guo Dian , Qiao Ke Li Gong Jiang , Ka Pei Dian , Xue Gao Dian ",4.5,09:00-18:00,Xing Qi Ri ,+55 66 99969-6223,"Cacau Show - R. Fortaleza, 326 - Centro, Campo Verde - MT, 78840-000Ba Xi ",,https://www.google.com/maps/place/Cacau+Show/data=!4m7!3m6!1s0x937635db106aaaab:0x4b5863b2fae720f0!8m2!3d-15.5460039!4d-55.1671628!16s%2Fg%2F11f51wv12f!19sChIJq6pqENs1dpMR8CDn-rJjWEs?authuser=0&hl=zh-TW&rclk=1
ChIJFSzrt7s1dpMRld7QIttRWM0,"Mais1Cafe, Campo Verde - MT",,False,8,,https://instagram.com/mais1cafe.campoverde%3Figshid%3DYmMyMTA2M2Y%3D,"Mais1Cafe, Campo Verde - MT (Ye Zhu )",,https://lh5.googleusercontent.com/p/AF1QipN3-ayLLJVFlJr-gZxnZnJyfDBkmFMBdqEs7vjB=w408-h307-k-no,Ka Pei Dian ,Ka Pei Dian ,5,06:30-19:00,Open All Days,,"Mais1Cafe, Campo Verde - MT - Av. Mato Grosso, 797 - Centro, Campo Verde - MT, 78840-000Ba Xi ",,"https://www.google.com/maps/place/Mais1Caf%C3%A9,+Campo+Verde+-+MT/data=!4m7!3m6!1s0x937635bbb7eb2c15:0xcd5851db22d0de95!8m2!3d-15.5430903!4d-55.1712383!16s%2Fg%2F11kk6b3ss0!19sChIJFSzrt7s1dpMRld7QIttRWM0?authuser=0&hl=zh-TW&rclk=1"
ChIJkyhqwI81dpMRZkioXhs3HjA,Coffee On,,False,6,"Name: O De Casa Delicias Caseiras E Cafe
link: https://www.google.com/maps/search/%C3%94+De+Casa+Del%C3%ADcias+Caseiras+E+Caf%C3%A9/@-15.5432233,-55.170474?authuser=0&hl=zh-TW&entry=ttu
Reviews: 347 reviews

Name: Vo fia Paes e Doces
link: https://www.google.com/maps/search/V%C3%B3+fia+P%C3%A3es+e+Doces/@-15.549239499999999,-55.1738521?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: Panificadora Cafe e Cia
link: https://www.google.com/maps/search/Panificadora+Caf%C3%A9+e+Cia/@-15.568464400000002,-55.181149899999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://coffeeon.compraqui.app/,Coffee On (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNU0ToVC11iF-2wil0tn5ap1gh2oGC2W943FxSq=w408-h364-k-no,Ka Pei Dian ,Ka Pei Dian ,5,09:00-20:00,Open All Days,+55 65 99931-6797,"Coffee On - Tv. Londrina, 478 - Jardim Campo Verde, Campo Verde - MT, 78840-000Ba Xi ",,https://www.google.com/maps/place/Coffee+On/data=!4m7!3m6!1s0x9376358fc06a2893:0x301e371b5ea84866!8m2!3d-15.5508797!4d-55.1540766!16s%2Fg%2F11q4043m40!19sChIJkyhqwI81dpMRZkioXhs3HjA?authuser=0&hl=zh-TW&rclk=1
ChIJhxp_k2o1dpMRowpfWGbnde8,Chocolate Lugano Campo Verde,,False,4,,https://www.instagram.com/chocolatelugano.campoverde/,Chocolate Lugano Campo Verde (Ye Zhu ),https://www.google.com/maps/contrib/109243121319490814034,https://lh5.googleusercontent.com/p/AF1QipPyb2dAGP8cW8GWFJPSnhjJgmznzD7AE4ZLKZ8H=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,3.5,09:00-19:00,Open All Days,+55 66 99647-2914,"Chocolate Lugano Campo Verde - Esquina Avenida Mato Grosso, Av. Arnaldo Eckert - Campo Real II, Campo Verde - MT, 78840-000Ba Xi ",,https://www.google.com/maps/place/Chocolate+Lugano+Campo+Verde/data=!4m7!3m6!1s0x9376356a937f1a87:0xef75e766585f0aa3!8m2!3d-15.5417616!4d-55.1687469!16s%2Fg%2F11txlh07z6!19sChIJhxp_k2o1dpMRowpfWGbnde8?authuser=0&hl=zh-TW&rclk=1
ChIJ0bOKLbNjnZMRvLqLL2ZF-ao,Amarelinho lanchonete e restaurante,,False,27,"Name: Rota 364 Restaurante & Lanchonete da Serra ( DL )
link: https://www.google.com/maps/search/Rota+364+Restaurante+%26+Lanchonete+da+Serra+%28+DL+%29/@-15.8188681,-55.5257729?authuser=0&hl=zh-TW&entry=ttu
Reviews: 134 reviews

Name: Cafe Completo
link: https://www.google.com/maps/search/Caf%C3%A9+Completo/@-15.8190909,-55.524452399999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: Restaurante Canario
link: https://www.google.com/maps/search/Restaurante+Can%C3%A1rio/@-15.8310267,-55.436322399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Mary Lanches
link: https://www.google.com/maps/search/Mary+Lanches/@-15.9685836,-55.5362067?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",,Amarelinho lanchonete e restaurante (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNgYYm9kSIVhLBaUVC7M_mJ31IEpmQvG9YPpKsz=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,06:30-21:30,Open All Days,+55 66 98123-8221,"Amarelinho lanchonete e restaurante - MT-455 - Caite, Campo Verde - MT, 78180-000Ba Xi ",,https://www.google.com/maps/place/Amarelinho+lanchonete+e+restaurante/data=!4m7!3m6!1s0x939d63b32d8ab3d1:0xaaf945662f8bbabc!8m2!3d-15.8668065!4d-55.4973698!16s%2Fg%2F11g22bgh8h!19sChIJ0bOKLbNjnZMRvLqLL2ZF-ao?authuser=0&hl=zh-TW&rclk=1
ChIJB79trrs1dpMR-i269UiXyY4,Padaria Vo Fia Paes e Doces,,False,24,"Name: Vo fia Paes e Doces
link: https://www.google.com/maps/search/V%C3%B3+fia+P%C3%A3es+e+Doces/@-15.549239499999999,-55.1738521?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: Panificadora Brasil
link: https://www.google.com/maps/search/Panificadora+Brasil/@-15.552191899999999,-55.1745655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Casa do Pao
link: https://www.google.com/maps/search/Casa+do+P%C3%A3o/@-15.5565782,-55.1601159?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Padaria e Confeitaria VITRINE
link: https://www.google.com/maps/search/Padaria+e+Confeitaria+VITRINE/@-15.5482654,-55.174402?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Panificadora Gaucha
link: https://www.google.com/maps/search/Panificadora+Ga%C3%BAcha/@-15.5489206,-55.1631132?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Padaria Vo Fia Paes e Doces (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN6Gp5XYjE3rkVwho6yld7V6uQXWQgIBxu2KaHx=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,"06:00-12:00, 14:00-19:00",Open All Days,,"Padaria Vo Fia Paes e Doces - Av. Dom Aquino Correa, 749-851 - Jupiara, Campo Verde - MT, 78840-000Ba Xi ",Chan Pin ,https://www.google.com/maps/place/Padaria+V%C3%B3+Fia+P%C3%A3es+e+Doces/data=!4m7!3m6!1s0x937635bbae6dbf07:0x8ec99748f5ba2dfa!8m2!3d-15.5649658!4d-55.1674791!16s%2Fg%2F11g6njxgw2!19sChIJB79trrs1dpMR-i269UiXyY4?authuser=0&hl=zh-TW&rclk=1
ChIJ8elt5Pw1dpMR0Aa5LtS0gTQ,Rota do Salgado,,False,11,"Name: O De Casa Delicias Caseiras E Cafe
link: https://www.google.com/maps/search/%C3%94+De+Casa+Del%C3%ADcias+Caseiras+E+Caf%C3%A9/@-15.5432233,-55.170474?authuser=0&hl=zh-TW&entry=ttu
Reviews: 347 reviews

Name: Costacurta Salgados
link: https://www.google.com/maps/search/Costacurta+Salgados/@-15.5491178,-55.167223199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Dona Ju Salgaderia
link: https://www.google.com/maps/search/Dona+Ju+Salgaderia/@-15.569305000000002,-55.1855736?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Salgados e cia
link: https://www.google.com/maps/search/Salgados+e+cia/@-15.5540233,-55.164629?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Nanda Cakes Confeitaria
link: https://www.google.com/maps/search/Nanda+Cakes+Confeitaria/@-15.5554579,-55.1727405?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Rota do Salgado (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMWL-Uax2ZnqE2c-xknmbuCPtR0-XUeNeQ0jDf2=w494-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,06:00-17:30,Xing Qi Ri ,+55 66 98138-6394,"Rota do Salgado - R. Belem, 756 - Centro, Campo Verde - MT, 78840-000Ba Xi ",,https://www.google.com/maps/place/Rota+do+Salgado/data=!4m7!3m6!1s0x937635fce46de9f1:0x3481b4d42eb906d0!8m2!3d-15.5489331!4d-55.1679872!16s%2Fg%2F11j4m58g9h!19sChIJ8elt5Pw1dpMR0Aa5LtS0gTQ?authuser=0&hl=zh-TW&rclk=1
ChIJVaihfi01dpMRAMHO0qP1zrk,Panificadora Cafe e Cia,,False,10,"Name: Caldos & Cia
link: https://www.google.com/maps/search/Caldos+%26+Cia/@-15.5495433,-55.1714286?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: Panificadora Central
link: https://www.google.com/maps/search/Panificadora+Central/@-15.557014599999999,-55.161265099999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Salgados e cia
link: https://www.google.com/maps/search/Salgados+e+cia/@-15.5540233,-55.164629?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Lisboa paes e cia
link: https://www.google.com/maps/search/Lisboa+p%C3%A3es+e+cia/@-15.552579,-55.162329?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",,Panificadora Cafe e Cia (Ye Zhu ),https://www.google.com/maps/contrib/117804393608417876293,https://lh5.googleusercontent.com/p/AF1QipOeT4v41JlCmcX44mIbmVMRf4W_Cpkzx52UZC9U=w408-h725-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,5,06:00-18:30,Open All Days,+55 66 99693-8195,"Panificadora Cafe e Cia - Rua Teodora Ferreira da Silva Loteamentos - Greenville II, Campo Verde - MT, 78842-068Ba Xi ",Zao Can ,https://www.google.com/maps/place/Panificadora+Caf%C3%A9+e+Cia/data=!4m7!3m6!1s0x9376352d7ea1a855:0xb9cef5a3d2cec100!8m2!3d-15.5684644!4d-55.1811499!16s%2Fg%2F11shp5zsw1!19sChIJVaihfi01dpMRAMHO0qP1zrk?authuser=0&hl=zh-TW&rclk=1
