place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJQQayiLuJoDERpziwg0bCQvU,Phuc Long coffee & Tea,,False,937,"Name: Cafe DONA
link: https://www.google.com/maps/search/Cafe+DONA/@10.0285308,105.77844119999999?authuser=0&hl=en&entry=ttu
Reviews: 43 reviews

Name: Phuc Long coffee & tea
link: https://www.google.com/maps/search/Ph%C3%BAc+Long+coffee+%26+tea/@10.0343852,105.7858461?authuser=0&hl=en&entry=ttu
Reviews: 25 reviews

Name: Phuc Long Coffee & Tea (Phuc Long Ninh Kieu)
link: https://www.google.com/maps/search/Phuc+Long+Coffee+%26+Tea+%28Ph%C3%BAc+Long+Ninh+Ki%E1%BB%81u%29/@10.030702,105.7807393?authuser=0&hl=en&entry=ttu
Reviews: 17 reviews

Name: Phuc Tea
link: https://www.google.com/maps/search/Ph%C3%BAc+Tea/@10.025843199999999,105.7655758?authuser=0&hl=en&entry=ttu
Reviews: 15 reviews",http://www.phuclong.com.vn/,Phuc Long coffee & Tea (Owner),,https://lh5.googleusercontent.com/p/AF1QipPjPvhd2jsYsn0WWu3XqkT5Nha9XKynknc-a4YP=w408-h260-k-no,Cafe,Cafe,4.2,7 AM-10:30 PM,Open All Days,+84 949 579 759,"Phuc Long coffee & Tea, 384 D. 30 Thang 4, Xuan Khanh, Ninh Kieu, Can Tho, Vietnam",milk tea,https://www.google.com/maps/place/Phuc+Long+coffee+%26+Tea/data=!4m7!3m6!1s0x31a089bb88b20641:0xf542c24683b038a7!8m2!3d10.0216162!4d105.7703507!16s%2Fg%2F11fm4hz4cr!19sChIJQQayiLuJoDERpziwg0bCQvU?authuser=0&hl=en&rclk=1
ChIJGWGbJI2JoDERjTbrd9-wuiU,Canh Nau Garden Cafe,,False,604,"Name: Cafe An Gia
link: https://www.google.com/maps/search/Cafe+An+Gia/@10.0579444,105.77468580000001?authuser=0&hl=en&entry=ttu
Reviews: 273 reviews

Name: K'Nha Coffee
link: https://www.google.com/maps/search/K%E2%80%99Nha+Coffee/@10.0226002,105.76991699999999?authuser=0&hl=en&entry=ttu
Reviews: 81 reviews",https://www.foody.vn/can-tho/canh-nau-garden-cafe,Canh Nau Garden Cafe (Owner),https://www.google.com/maps/contrib/113547709199298632285,https://lh5.googleusercontent.com/p/AF1QipN35o45FisFHAkSeoHmgO5F5oVM7m4-peUmn0-e=w408-h307-k-no,Cafe,Cafe,4.2,6:30 AM-10 PM,Open All Days,+84 936 776 939,"Canh Nau Garden Cafe, 162c D. Tran Ngoc Que, Xuan Khanh, Ninh Kieu, Can Tho, Vietnam",,https://www.google.com/maps/place/C%C3%A1nh+N%C3%A2u+Garden+Cafe/data=!4m7!3m6!1s0x31a0898d249b6119:0x25bab0df77eb368d!8m2!3d10.0246246!4d105.768545!16s%2Fg%2F11h0thj158!19sChIJGWGbJI2JoDERjTbrd9-wuiU?authuser=0&hl=en&rclk=1
ChIJtdMTz6JjoDERuwhioFmU8GE,The Coffee House - Hoa Binh (Can Tho),,False,576,"Name: Hoa Yen An Binh
link: https://www.google.com/maps/search/Hoa+Y%C3%AAn+An+B%C3%ACnh/@10.0016986,105.74025429999999?authuser=0&hl=en&entry=ttu
Reviews: 150 reviews

Name: COFFEE FRESH
link: https://www.google.com/maps/search/COFFEE+FRESH/@10.026793699999999,105.77294069999999?authuser=0&hl=en&entry=ttu
Reviews: 146 reviews

Name: Time Cafe
link: https://www.google.com/maps/search/Time+Cafe/@10.032582099999999,105.7842634?authuser=0&hl=en&entry=ttu
Reviews: 131 reviews

Name: The Best Coffee
link: https://www.google.com/maps/search/The+Best+Coffee/@10.0346593,105.7859017?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.thecoffeehouse.com/,The Coffee House - Hoa Binh (Can Tho) (Owner),https://www.google.com/maps/contrib/109761612778046762083,https://lh5.googleusercontent.com/p/AF1QipMChUjfW79yEbH_UoSHAUCpkJnfB7WI7CoFn8Aq=w408-h408-k-no,Cafe,Cafe,4.3,7 AM-10:30 PM,Open All Days,+84 28 7303 9079,"The Coffee House - Hoa Binh (Can Tho), 8 Dai lo Hoa Binh, P, Ninh Kieu, Can Tho, Vietnam",,https://www.google.com/maps/place/The+Coffee+House+-+H%C3%B2a+B%C3%ACnh+%28C%E1%BA%A7n+Th%C6%A1%29/data=!4m7!3m6!1s0x31a063a2cf13d3b5:0x61f09459a06208bb!8m2!3d10.0346709!4d105.7852259!16s%2Fg%2F11fjdvnc5q!19sChIJtdMTz6JjoDERuwhioFmU8GE?authuser=0&hl=en&rclk=1
ChIJUWgrCqZioDERlNGHIYEhr60,Wood House Coffee,,False,518,"Name: CAFE THUY MOC duong 3/2 Can Tho
link: https://www.google.com/maps/search/CAFE+TH%E1%BB%A6Y+M%E1%BB%98C+%C4%91%C6%B0%E1%BB%9Dng+3%2F2+C%E1%BA%A7n+Th%C6%A1/@10.0274963,105.77026380000001?authuser=0&hl=en&entry=ttu
Reviews: 1103 reviews

Name: Canh Nau Garden Cafe
link: https://www.google.com/maps/search/C%C3%A1nh+N%C3%A2u+Garden+Cafe/@10.0246246,105.76854499999999?authuser=0&hl=en&entry=ttu
Reviews: 604 reviews

Name: The Coffee House - Hoa Binh (Can Tho)
link: https://www.google.com/maps/search/The+Coffee+House+-+H%C3%B2a+B%C3%ACnh+%28C%E1%BA%A7n+Th%C6%A1%29/@10.0346709,105.7852259?authuser=0&hl=en&entry=ttu
Reviews: 576 reviews

Name: Wood House Cafe
link: https://www.google.com/maps/search/Wood+House+Cafe/@10.0237322,105.7452972?authuser=0&hl=en&entry=ttu
Reviews: 267 reviews

Name: Lego Coffee
link: https://www.google.com/maps/search/Lego+Coffee/@10.039671,105.7512471?authuser=0&hl=en&entry=ttu
Reviews: 100 reviews",https://www.facebook.com/woodhouse082016,Wood House Coffee (Owner),https://www.google.com/maps/contrib/115693367648259721114,https://lh5.googleusercontent.com/p/AF1QipPXhPwApqKJuL-BZxHoE_I2cpEWd1wDF-zAm8Ba=w408-h306-k-no,Cafe,Cafe,4.2,6 AM-2 PM,Open All Days,+84 899 503 919,"Wood House Coffee, 40 D. Pham Ngoc Thach, Cai Khe, Ninh Kieu, Can Tho 900000, Vietnam",,https://www.google.com/maps/place/Wood+House+Coffee/data=!4m7!3m6!1s0x31a062a60a2b6851:0xadaf21812187d194!8m2!3d10.0442139!4d105.785707!16s%2Fg%2F11c1l9rvv8!19sChIJUWgrCqZioDERlNGHIYEhr60?authuser=0&hl=en&rclk=1
ChIJiycsZqdioDER27vE9bhBuP4,Cabin Coffee,,False,419,"Name: Canh Nau Garden Cafe
link: https://www.google.com/maps/search/C%C3%A1nh+N%C3%A2u+Garden+Cafe/@10.0246246,105.76854499999999?authuser=0&hl=en&entry=ttu
Reviews: 604 reviews

Name: Time Cafe
link: https://www.google.com/maps/search/Time+Cafe/@10.032582099999999,105.7842634?authuser=0&hl=en&entry=ttu
Reviews: 131 reviews

Name: Coffee tinh nhan Mimosa
link: https://www.google.com/maps/search/Coffee+t%C3%ACnh+nh%C3%A2n+Mimosa/@10.035304,105.7725734?authuser=0&hl=en&entry=ttu
Reviews: 75 reviews",http://facebook.com/hello.cabin,Cabin Coffee (Owner),https://www.google.com/maps/contrib/104605669897678665367,https://lh5.googleusercontent.com/p/AF1QipPwIXKEDnRVFER5apvD9gwGkwM2oibBX1KwbjKh=w408-h408-k-no,Coffee shop,Coffee shop,4.4,7:30 AM-10:30 PM,Open All Days,+84 292 6530 199,"Cabin Coffee, Hem 116A Duong 3-2 (xeo cong A DH Can Tho, Xuan Khanh, Ninh Kieu, Can Tho, Vietnam",,https://www.google.com/maps/place/Cabin+Coffee/data=!4m7!3m6!1s0x31a062a7662c278b:0xfeb841b8f5c4bbdb!8m2!3d10.0289602!4d105.7725243!16s%2Fg%2F1hc4tq2m4!19sChIJiycsZqdioDER27vE9bhBuP4?authuser=0&hl=en&rclk=1
ChIJx_s4ZTiIoDERJhnCubUmeEM,Cafe Time,,False,389,"Name: Time Cafe
link: https://www.google.com/maps/search/Time+Cafe/@10.032582099999999,105.7842634?authuser=0&hl=en&entry=ttu
Reviews: 131 reviews

Name: Quan Ca Phe 24h
link: https://www.google.com/maps/search/Qu%C3%A1n+C%C3%A0+Ph%C3%AA+24h/@10.0257183,105.75951429999999?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews",https://www.facebook.com/cafethoigian,Cafe Time (Owner),https://www.google.com/maps/contrib/115765186138154044717,https://lh5.googleusercontent.com/p/AF1QipOZX5udOiZKYWyb34duwwPONyTgIvcKLkxJ3w2J=w408-h306-k-no,Coffee shop,"Coffee shop, Breakfast restaurant",4,6 AM-5 PM,Open All Days,+84 901 062 020,"Cafe Time, 35 D. Nguyen Van Linh, Hung Loi, Ninh Kieu, Can Tho, Vietnam",,https://www.google.com/maps/place/Cafe+Time/data=!4m7!3m6!1s0x31a088386538fbc7:0x437826b5b9c21926!8m2!3d10.0250007!4d105.7593834!16s%2Fg%2F11clvvj52n!19sChIJx_s4ZTiIoDERJhnCubUmeEM?authuser=0&hl=en&rclk=1
ChIJ18tvsaFioDERsEF9qhIjZj8,Highlands Coffee,,False,379,"Name: Highlands Coffee TTC Hotel Can Tho
link: https://www.google.com/maps/search/Highlands+Coffee+TTC+Hotel+C%E1%BA%A7n+Th%C6%A1/@10.0354982,105.789226?authuser=0&hl=en&entry=ttu
Reviews: 85 reviews

Name: HIGHLANDS COFFEE - VinCom Hung Vuong
link: https://www.google.com/maps/search/HIGHLANDS+COFFEE+-+VinCom+H%C3%B9ng+V%C6%B0%C6%A1ng/@10.0453063,105.7796039?authuser=0&hl=en&entry=ttu
Reviews: 47 reviews

Name: Highlands Garden Cafe
link: https://www.google.com/maps/search/Highlands+Garden+Cafe/@10.045525999999999,105.7859251?authuser=0&hl=en&entry=ttu
Reviews: 32 reviews

Name: Coffee 3/2
link: https://www.google.com/maps/search/Coffee+3%2F2/@10.0134422,105.7567773?authuser=0&hl=en&entry=ttu
Reviews: 15 reviews

Name: HIGHLAND ELEPHANT COFFEE Can Tho
link: https://www.google.com/maps/search/HIGHLAND+ELEPHANT+COFFEE+C%E1%BA%A7n+Th%C6%A1/@10.031651499999999,105.75048939999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.highlandscoffee.com.vn/,Highlands Coffee (Owner),https://www.google.com/maps/contrib/101907788678779250265,https://lh5.googleusercontent.com/p/AF1QipNufNclvJYCyuw8AESP2784TcLmwuap6eGj3z3T=w408-h306-k-no,Coffee shop,"Coffee shop, Cafe",4.2,7 AM-10 PM,Open All Days,+84 292 3827 129,"Highlands Coffee, 1 Dai lo Hoa Binh, Tan An, Ninh Kieu, Can Tho, Vietnam",,https://www.google.com/maps/place/Highlands+Coffee/data=!4m7!3m6!1s0x31a062a1b16fcbd7:0x3f662312aa7d41b0!8m2!3d10.0342677!4d105.7855088!16s%2Fg%2F11c1tb6brl!19sChIJ18tvsaFioDERsEF9qhIjZj8?authuser=0&hl=en&rclk=1
ChIJUew2yEWJoDER25-sskI9C1w,CHILL COFFEE,,False,223,"Name: CAFE THUY MOC duong 3/2 Can Tho
link: https://www.google.com/maps/search/CAFE+TH%E1%BB%A6Y+M%E1%BB%98C+%C4%91%C6%B0%E1%BB%9Dng+3%2F2+C%E1%BA%A7n+Th%C6%A1/@10.0274963,105.77026380000001?authuser=0&hl=en&entry=ttu
Reviews: 1103 reviews

Name: Bi Coffee
link: https://www.google.com/maps/search/Bi+Coffee/@10.0229955,105.77081319999999?authuser=0&hl=en&entry=ttu
Reviews: 124 reviews

Name: Sinh Nguyen Coffee
link: https://www.google.com/maps/search/Sinh+Nguy%E1%BB%85n+Coffee/@10.030799499999999,105.7620827?authuser=0&hl=en&entry=ttu
Reviews: 75 reviews

Name: 36.coffeestudio
link: https://www.google.com/maps/search/36.coffeestudio/@10.0268692,105.778455?authuser=0&hl=en&entry=ttu
Reviews: 45 reviews

Name: BIG BEN Coffee & Beer - Chill Out
link: https://www.google.com/maps/search/BIG+BEN+Coffee+%26+Beer+-+Chill+Out/@10.0257157,105.7661766?authuser=0&hl=en&entry=ttu
Reviews: 20 reviews",https://www.facebook.com/CHILLBYCOFFEE,CHILL COFFEE (Owner),https://www.google.com/maps/contrib/111394354885905118446,https://lh5.googleusercontent.com/p/AF1QipMCATAQ2RPIhyfo8MxcQ1E6Xl_cceef-fhvw4aa=w408-h272-k-no,Cafe,Cafe,4,Open 24 hours,Open All Days,+84 903 963 688,"CHILL COFFEE, 49 D. 3 Thang 2, Xuan Khanh, Ninh Kieu, Can Tho, Vietnam",,https://www.google.com/maps/place/CHILL+COFFEE/data=!4m7!3m6!1s0x31a08945c836ec51:0x5c0b3d42b2ac9fdb!8m2!3d10.0247523!4d105.7674143!16s%2Fg%2F11j7vmtjz1!19sChIJUew2yEWJoDER25-sskI9C1w?authuser=0&hl=en&rclk=1
ChIJC_oZDB-IoDERC8xobAKur6c,Garden Cafe Moment,,False,216,"Name: Canh Nau Garden Cafe
link: https://www.google.com/maps/search/C%C3%A1nh+N%C3%A2u+Garden+Cafe/@10.0246246,105.76854499999999?authuser=0&hl=en&entry=ttu
Reviews: 604 reviews

Name: The Coffee House - Hoa Binh (Can Tho)
link: https://www.google.com/maps/search/The+Coffee+House+-+H%C3%B2a+B%C3%ACnh+%28C%E1%BA%A7n+Th%C6%A1%29/@10.0346709,105.7852259?authuser=0&hl=en&entry=ttu
Reviews: 576 reviews

Name: Quan nuoc Hoa Yen
link: https://www.google.com/maps/search/Qu%C3%A1n+n%C6%B0%E1%BB%9Bc+Hoa+Y%C3%AAn/@10.036603399999999,105.7772011?authuser=0&hl=en&entry=ttu
Reviews: 230 reviews

Name: COFFEE FRESH
link: https://www.google.com/maps/search/COFFEE+FRESH/@10.026793699999999,105.77294069999999?authuser=0&hl=en&entry=ttu
Reviews: 146 reviews

Name: Kho Cafe
link: https://www.google.com/maps/search/Kho+Cafe/@10.048176699999999,105.76620299999999?authuser=0&hl=en&entry=ttu
Reviews: 39 reviews",https://www.facebook.com/khoanhkhaccoffee/,Garden Cafe Moment (Owner),,https://lh5.googleusercontent.com/p/AF1QipObKkMf_-lB5z-TNQxKs9whGMzKAGdaGeJdKTdb=w408-h272-k-no,Cafe,Cafe,4.3,6:30 AM-10 PM,Open All Days,+84 292 3732 454,"Garden Cafe Moment, 51/19 D. Ly Tu Trong, An Phu, Ninh Kieu, Can Tho, Vietnam",,https://www.google.com/maps/place/Garden+Cafe+Moment/data=!4m7!3m6!1s0x31a0881f0c19fa0b:0xa7afae026c68cc0b!8m2!3d10.0345643!4d105.7786076!16s%2Fg%2F1tc_yzt7!19sChIJC_oZDB-IoDERC8xobAKur6c?authuser=0&hl=en&rclk=1
ChIJ0SZVbdiJoDERV5z8DsRe45E,Tiem Tra Co Ngot,,False,214,"Name: Cafe co ngot cua thang 5
link: https://www.google.com/maps/search/Cafe+c%E1%BB%8F+ng%E1%BB%8Dt+c%E1%BB%A7a+th%C3%A1ng+5/@10.040690699999999,105.7502901?authuser=0&hl=en&entry=ttu
Reviews: 159 reviews

Name: Studio 102 Coffee
link: https://www.google.com/maps/search/Studio+102+Coffee/@10.0317022,105.7792817?authuser=0&hl=en&entry=ttu
Reviews: 22 reviews

Name: Quan cafe NGO
link: https://www.google.com/maps/search/Qu%C3%A1n+cafe+NG%E1%BB%98/@10.0344696,105.7766351?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/tiemtracongot/,Tiem Tra Co Ngot (Owner),https://www.google.com/maps/contrib/105482063356509744743,https://lh5.googleusercontent.com/p/AF1QipOaRIbpS07BwCa4GrW7zrP7dUhiB45XgNfeyxDI=w408-h544-k-no,Cafe,"Cafe, Coffee shop",4.5,8 AM-11 PM,Open All Days,+84 939 544 881,"Tiem Tra Co Ngot, 102/16 D. Le Lai, An Lac, Ninh Kieu, Can Tho, Vietnam",,https://www.google.com/maps/place/Ti%E1%BB%87m+Tr%C3%A0+C%E1%BB%8F+Ng%E1%BB%8Dt/data=!4m7!3m6!1s0x31a089d86d5526d1:0x91e35ec40efc9c57!8m2!3d10.0317901!4d105.779196!16s%2Fg%2F11j6bn95fm!19sChIJ0SZVbdiJoDERV5z8DsRe45E?authuser=0&hl=en&rclk=1
