place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJm6iHol5pZo4RLGWezr2PLpE,Caroai Cafe,,False,79,"Name: COLAO CAFE C.A
link: https://www.google.com/maps/search/COLAO+CAFE+C.A/@7.8383101,-72.2296428?authuser=0&hl=en&entry=ttu
Reviews: 14 reviews

Name: Restaurant El Catire
link: https://www.google.com/maps/search/Restaurant+El+Catire/@7.833026299999999,-72.2573969?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: Kiosco blanca
link: https://www.google.com/maps/search/Kiosco+blanca/@7.8351939999999995,-72.2490729?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Finca Los Nonnos
link: https://www.google.com/maps/search/Finca+Los+Nonnos/@7.8388919,-72.2551319?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Pipos caseritas
link: https://www.google.com/maps/search/Pipos+caseritas/@7.854782399999999,-72.1839899?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.caroai.coffee/,Caroai Cafe (Owner),https://www.google.com/maps/contrib/102138879664067572101,https://lh5.googleusercontent.com/p/AF1QipMQ914vDhZNHxRgKfZmXctVHTOAhQ1ocYcgPLZN=w432-h240-k-no,Coffee store,Coffee store,4.5,8 AM-6:30 PM,Open All Days,+58 424-7806237,"Caroai Cafe, Via Panamericana F-24 sector Copa de Oro, mcpo, Palmira 5015, Tachira, Venezuela","barista, smell, degustation",https://www.google.com/maps/place/Caroai+Caf%C3%A9/data=!4m7!3m6!1s0x8e66695ea287a89b:0x912e8fbdce9e652c!8m2!3d7.83988!4d-72.2556463!16s%2Fg%2F124yjnxcl!19sChIJm6iHol5pZo4RLGWezr2PLpE?authuser=0&hl=en&rclk=1
ChIJL0YcAxZtZo4RiXitf98TEyQ,ENIGMA CAFE,,False,52,,https://instagram.com/enigmacafe.sc%3Figshid%3DZDdkNTZiNTM%3D,ENIGMA CAFE (Owner),https://www.google.com/maps/contrib/106239548452415700529,https://lh5.googleusercontent.com/p/AF1QipOMl2qMb8sMldwI-in7Z-d2wOH-nRfBF9xrm6_w=w408-h544-k-no,Espresso bar,Espresso bar,4.8,8 AM-8 PM,Open All Days,+58 414-7415933,"ENIGMA CAFE, Barrio obrero, pasaje acueducto, N19-41 local 6 Pasaje acueducto, entre carrera 19 y 20 N19-41 N19-41 local 6, San Cristobal 5001, Tachira, Venezuela","environment, share, music, price, labor",https://www.google.com/maps/place/ENIGMA+CAF%C3%89/data=!4m7!3m6!1s0x8e666d16031c462f:0x241313df7fad7889!8m2!3d7.7694!4d-72.2212337!16s%2Fg%2F11khwtcl4f!19sChIJL0YcAxZtZo4RiXitf98TEyQ?authuser=0&hl=en&rclk=1
ChIJE-kYMSdtZo4RZPnmjJ5kTgw,Blum Cafe de Especialidad,,False,15,,https://instagram.com/blumcoffee.bar?igshid=YmMyMTA2M2Y=,Blum Cafe de Especialidad (Owner),https://www.google.com/maps/contrib/100215075980266798284,https://lh5.googleusercontent.com/p/AF1QipNkieYXnkEmXX8SkuZBiI-vplhV0868-d9uisvF=w408-h906-k-no,Espresso bar,Espresso bar,4.9,11:30 AM-8 PM,"Friday, Sunday",,"Blum Cafe de Especialidad, entre 17 y 18 Calle 10, San Cristobal 5001, Tachira, Venezuela",,https://www.google.com/maps/place/Blum+Cafe+de+Especialidad/data=!4m7!3m6!1s0x8e666d273118e913:0xc4e649e8ce6f964!8m2!3d7.7685594!4d-72.2234455!16s%2Fg%2F11sssnp22y!19sChIJE-kYMSdtZo4RZPnmjJ5kTgw?authuser=0&hl=en&rclk=1
ChIJpeZaU81tZo4R9NHzxM257jo,Mathi's Cafe,,False,13,"Name: Macchiatocafe
link: https://www.google.com/maps/search/Macchiatocafe/@7.770614900000001,-72.21646510000001?authuser=0&hl=en&entry=ttu
Reviews: 567 reviews

Name: Macchiatto cafe
link: https://www.google.com/maps/search/Macchiatto+cafe/@7.770624,-72.21646439999999?authuser=0&hl=en&entry=ttu
Reviews: 72 reviews

Name: Mestizos Gourmet
link: https://www.google.com/maps/search/Mestizos+Gourmet/@7.761645299999999,-72.2247532?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: Vainilla y Limon Cafe
link: https://www.google.com/maps/search/Vainilla+y+Lim%C3%B3n+Caf%C3%A9/@7.766877099999999,-72.2190008?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: Marcelo's
link: https://www.google.com/maps/search/Marcelo%27s/@7.7713494999999995,-72.2260563?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://wa.link/fgvuc3,Mathi's Cafe (Owner),https://www.google.com/maps/contrib/107422566079652960714,https://lh5.googleusercontent.com/p/AF1QipMvYK16Wg2aXw84ySnAZJgytulyBP0Gu1q5aeBy=w408-h589-k-no,Coffee shop,Coffee shop,4.2,7:30 AM-6 PM,Sunday,+58 424-7342237,"Mathi's Cafe, Carrera 6, Casa 5-81A, San Cristobal 5001, Tachira, Venezuela",,https://www.google.com/maps/place/Mathi%27s+Caf%C3%A9/data=!4m7!3m6!1s0x8e666dcd535ae6a5:0x3aeeb9cdc4f3d1f4!8m2!3d7.7565934!4d-72.2344783!16s%2Fg%2F11fhz7439k!19sChIJpeZaU81tZo4R9NHzxM257jo?authuser=0&hl=en&rclk=1
ChIJK7J0N2ZtZo4R4PzOYZRHCA8,Mininos Cat Cafe,,False,13,"Name: Macchiatocafe
link: https://www.google.com/maps/search/Macchiatocafe/@7.770614900000001,-72.21646510000001?authuser=0&hl=en&entry=ttu
Reviews: 567 reviews

Name: Vainilla y Limon Cafe
link: https://www.google.com/maps/search/Vainilla+y+Lim%C3%B3n+Caf%C3%A9/@7.766877099999999,-72.2190008?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: Mima Cafe
link: https://www.google.com/maps/search/Mima+Caf%C3%A9/@7.795323300000001,-72.2081101?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Dulces Mimi
link: https://www.google.com/maps/search/Dulces+Mimi/@7.776550099999999,-72.2270546?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews",https://www.instagram.com/mininoscatcafe/%3Fhl%3Des,Mininos Cat Cafe (Owner),https://www.google.com/maps/contrib/103270877388429779054,https://lh5.googleusercontent.com/p/AF1QipPAJPxMIBM8aLEOPyoDdPiWFSKJ2dl_DfOvkCvf=w408-h544-k-no,Cafe,"Cafe, Coffee shop",4.5,1-8 PM,Open All Days,+58 424-7018462,"Mininos Cat Cafe, Carrera 18, Entre calles 9 y 10, San Cristobal 5001, Tachira, Venezuela",,https://www.google.com/maps/place/Mininos+Cat+Cafe/data=!4m7!3m6!1s0x8e666d663774b22b:0xf08479461cefce0!8m2!3d7.768357!4d-72.2226091!16s%2Fg%2F11tg71tby0!19sChIJK7J0N2ZtZo4R4PzOYZRHCA8?authuser=0&hl=en&rclk=1
ChIJFSgZnRFtZo4RsNhvzRdGxB0,La Molienda Coffee,,False,9,"Name: Macchiatocafe
link: https://www.google.com/maps/search/Macchiatocafe/@7.770614900000001,-72.21646510000001?authuser=0&hl=en&entry=ttu
Reviews: 567 reviews

Name: Moa Cafe
link: https://www.google.com/maps/search/Moa+Caf%C3%A9/@7.7709497999999995,-72.2191026?authuser=0&hl=en&entry=ttu
Reviews: 401 reviews

Name: BomboNela cafe & chocolatier
link: https://www.google.com/maps/search/BomboNela+cafe+%26+chocolatier/@7.7719342,-72.2216655?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: La Finca Cafe
link: https://www.google.com/maps/search/La+Finca+Cafe/@7.767132199999999,-72.2189113?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: cafe El Dicho Venezuela San Cristobal
link: https://www.google.com/maps/search/cafe+El+Dicho+Venezuela+San+Crist%C3%B3bal/@7.773625699999999,-72.2202497?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.instagram.com/p/CuFBZI-u2pE/%3Figshid%3DMzRlODBiNWFlZA%3D%3D,La Molienda Coffee (Owner),https://www.google.com/maps/contrib/100411985182261603554,https://lh5.googleusercontent.com/p/AF1QipOTKYieSjjA7E57A3ekO_fozRqUNTtjZALzu4ky=w533-h240-k-no,Espresso bar,Espresso bar,4.3,7:30 AM-7:30 PM,Sunday,+58 424-7059191,"La Molienda Coffee, Esquina Calle 11, Con Carrera 20, San Cristobal 5001, Tachira, Venezuela",,https://www.google.com/maps/place/La+Molienda+Coffee/data=!4m7!3m6!1s0x8e666d119d192815:0x1dc44617cd6fd8b0!8m2!3d7.7702165!4d-72.2206488!16s%2Fg%2F11sj9tmwsj!19sChIJFSgZnRFtZo4RsNhvzRdGxB0?authuser=0&hl=en&rclk=1
ChIJmXpaHBFqZo4RvYOXQ7RKncc,Victoria's Cafe,,False,7,"Name: Cachapas Los Capachos
link: https://www.google.com/maps/search/Cachapas+Los+Capachos/@7.825062,-72.280278?authuser=0&hl=en&entry=ttu
Reviews: 303 reviews

Name: La Chicharronada Principal
link: https://www.google.com/maps/search/La+Chicharronada+Principal/@7.795930599999999,-72.2679191?authuser=0&hl=en&entry=ttu
Reviews: 129 reviews

Name: La Estacion Coffee Break
link: https://www.google.com/maps/search/La+Estaci%C3%B3n+Coffee+Break/@8.1479603,-72.0014388?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: Kinta
link: https://www.google.com/maps/search/Kinta/@7.8216464000000006,-72.3208245?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: Venta de pinas
link: https://www.google.com/maps/search/Venta+de+pi%C3%B1as/@7.8230721,-72.30049029999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/pages/Victorias-coffee/315729281904789%3Fpnref%3Dabout.overview%26rf%3D214570325375022,Victoria's Cafe (Owner),https://www.google.com/maps/contrib/100379004761087656662,https://lh5.googleusercontent.com/p/AF1QipP9KdWYK9AKK6GxpjdGgusa5dLmXbYrw3WqVp_-=w408-h306-k-no,Coffee shop,"Coffee shop, Dessert shop",4.1,11 AM-6 AM,"Monday, Tuesday, Wednesday, Thursday",+58 414-7536771,"Victoria's Cafe, Carrera 5 entre Calles 0 y 1 Nro.119, Capacho ,Independecia 5009, Tachira, Venezuela",,https://www.google.com/maps/place/Victoria%27s+Cafe/data=!4m7!3m6!1s0x8e666a111c5a7a99:0xc79d4ab4439783bd!8m2!3d7.8244428!4d-72.3153763!16s%2Fg%2F11cn5n6t9b!19sChIJmXpaHBFqZo4RvYOXQ7RKncc?authuser=0&hl=en&rclk=1
ChIJ0dXwRZlsZo4RHoaYK8BJ4qA,Nuteritos Fast Food & Cakes,,False,5,"Name: Nutrifresh Protein Bar
link: https://www.google.com/maps/search/Nutrifresh+Protein+Bar/@7.770566199999999,-72.2178043?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Donas&Brownies
link: https://www.google.com/maps/search/Donas%26Brownies/@7.7713494999999995,-72.2260563?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Pastry Elite
link: https://www.google.com/maps/search/Pastry+Elite/@7.768322999999999,-72.2314195?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: @ponquesitosymas
link: https://www.google.com/maps/search/%40ponquesitosymas/@7.7718956,-72.2187239?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/nuteritos.nuteritos.7,Nuteritos Fast Food & Cakes (Owner),,https://lh5.googleusercontent.com/p/AF1QipN8M2IHJMFYnudYf6oo2dB6wSajaskfGCRCp0Tg=w408-h408-k-no,Coffee shop,Coffee shop,4.4,8 AM-7 PM,Open All Days,+58 276-3410175,"Nuteritos Fast Food & Cakes, Carrera 8 # 16-40 entre Avenida Carabobo y calle 16, San Cristobal 5001, Tachira, Venezuela",,https://www.google.com/maps/place/Nuteritos+Fast+Food+%26+Cakes/data=!4m7!3m6!1s0x8e666c9945f0d5d1:0xa0e249c02b98861e!8m2!3d7.7757002!4d-72.2295745!16s%2Fg%2F11f0l20_ql!19sChIJ0dXwRZlsZo4RHoaYK8BJ4qA?authuser=0&hl=en&rclk=1
ChIJq9ltrUFtZo4RLzwPJW4jA8U,LABRANDOCAFE,,False,4,"Name: BEAU Shop And Coffee
link: https://www.google.com/maps/search/BEA%C3%9C+Shop+And+Coffee/@7.766264199999999,-72.21905509999999?authuser=0&hl=en&entry=ttu
Reviews: 121 reviews

Name: Bucko Cafe
link: https://www.google.com/maps/search/Bucko+Caf%C3%A9/@7.771501,-72.22157969999999?authuser=0&hl=en&entry=ttu
Reviews: 92 reviews

Name: HIBRIDOS CAFE
link: https://www.google.com/maps/search/HIBRIDOS+CAFE/@7.772665,-72.21999079999999?authuser=0&hl=en&entry=ttu
Reviews: 56 reviews

Name: Coffe Break
link: https://www.google.com/maps/search/Coffe+Break/@7.773914100000001,-72.22020669999999?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: Vainilla y Limon Cafe
link: https://www.google.com/maps/search/Vainilla+y+Lim%C3%B3n+Caf%C3%A9/@7.766877099999999,-72.2190008?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews",https://labrandocafe.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,LABRANDOCAFE (Owner),https://www.google.com/maps/contrib/104743433432538739411,https://lh5.googleusercontent.com/p/AF1QipMZU8SwKn2hXmb9y9HDJ2x5js0m-4lmrUgSJSHa=w408-h433-k-no,Coffee shop,Coffee shop,3.8,9 AM-6 PM,Sunday,+58 424-7799844,"QQJR+GVJ LABRANDOCAFE, Posada El Labrador-Labrandocafe, San Cristobal 5001, Tachira, Venezuela",,https://www.google.com/maps/place/LABRANDOCAFE/data=!4m7!3m6!1s0x8e666d41ad6dd9ab:0xc503236e250f3c2f!8m2!3d7.7813166!4d-72.2080516!16s%2Fg%2F11tjxdwb2r!19sChIJq9ltrUFtZo4RLzwPJW4jA8U?authuser=0&hl=en&rclk=1
ChIJebZD3fJtZo4RHmaazlklkPk,Loma Linda Coffee House SC,,False,3,,https://bit.ly/3O0sabQ,Loma Linda Coffee House SC (Owner),https://www.google.com/maps/contrib/104324202327975151747,https://lh5.googleusercontent.com/p/AF1QipMfqsBWDwqR4cPvB0Aj__HtOiILvc-HsObvGcFp=w408-h544-k-no,Espresso bar,Espresso bar,5,7 AM-6 PM,Sunday,+58 412-4215818,"Loma Linda Coffee House SC, 5001, San Cristobal 5001, Tachira, Venezuela",,https://www.google.com/maps/place/Loma+Linda+Coffee+House+SC/data=!4m7!3m6!1s0x8e666df2dd43b679:0xf9902559ce9a661e!8m2!3d7.7659904!4d-72.2337827!16s%2Fg%2F11sv957sdn!19sChIJebZD3fJtZo4RHmaazlklkPk?authuser=0&hl=en&rclk=1
