place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJsbSVGjMsrhIRL5GY7ThlPNo,E.Leclerc CARCASSONNE,,False,5400,"Name: Carrefour Carcassonne
link: https://www.google.com/maps/search/Carrefour+Carcassonne/@43.237442,2.368062?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4459 reviews

Name: E.Leclerc CASTELNAUDARY
link: https://www.google.com/maps/search/E.Leclerc+CASTELNAUDARY/@43.3114007,1.9706066000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2043 reviews

Name: E.Leclerc CARCASSONNE OXYDIS
link: https://www.google.com/maps/search/E.Leclerc+CARCASSONNE+OXYDIS/@43.2085027,2.3944408?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1883 reviews

Name: E.Leclerc Station Service
link: https://www.google.com/maps/search/E.Leclerc+Station+Service/@43.2254712,2.328719?authuser=0&hl=zh-TW&entry=ttu
Reviews: 499 reviews

Name: E.Leclerc DRIVE Carcassonne Est - La Cite
link: https://www.google.com/maps/search/E.Leclerc+DRIVE+Carcassonne+Est+-+La+Cit%C3%A9/@43.205616,2.386675?authuser=0&hl=zh-TW&entry=ttu
Reviews: 202 reviews",https://e.leclerc/mag/e-leclerc-carcassonne,E.Leclerc CARCASSONNE (Ye Zhu ),https://www.google.com/maps/contrib/115327212104400961447,https://lh5.googleusercontent.com/p/AF1QipPuM3NBqa3V9fP1jXCKziHzv2VPWepOFhEtGtLZ=w426-h240-k-no,Da Xing Chao Ji Shi Chang ,"Da Xing Chao Ji Shi Chang , Dian Qi Xing , Mian Bao Xi Bing Dian , Jia Gong Rou Pin Dian , Luo Nong Qu , Yu Fan , Xian Shi Shi Chang , Shu Guo Dian , Za Huo Dian , You Ji Shi Pin Dian ",4,09:00-20:00,Open All Days,+33 4 68 10 20 40,"E.Leclerc CARCASSONNE, 995 Rue Colbert, 11000 Carcassonne, Fa Guo ","Shi Tang , Wen Hua , De Lai Su , Chong Dian Zhuang ",https://www.google.com/maps/place/E.Leclerc+CARCASSONNE/data=!4m7!3m6!1s0x12ae2c331a95b4b1:0xda3c6538ed98912f!8m2!3d43.2269746!4d2.3285885!16s%2Fg%2F1td35dd0!19sChIJsbSVGjMsrhIRL5GY7ThlPNo?authuser=0&hl=zh-TW&rclk=1
ChIJR6dMjNUtrhIR5T0yG_F-d8w,Amorino Gelato - Carcassonne,,False,541,"Name: Le Glacier
link: https://www.google.com/maps/search/Le+Glacier/@43.2068267,2.3643447?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews

Name: La Gaufrerie
link: https://www.google.com/maps/search/La+Gaufrerie/@43.211639,2.3523863?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: Glaces artisanales de l'Aude
link: https://www.google.com/maps/search/Glaces+artisanales+de+l%27Aude/@43.3539597,2.7460207999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Boutique La belle Aude
link: https://www.google.com/maps/search/Boutique+La+belle+Aude/@43.2068685,2.3650705999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Le Saint Louis
link: https://www.google.com/maps/search/Le+Saint+Louis/@43.2061298,2.3632429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",https://www.amorino.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmybusiness-website,Amorino Gelato - Carcassonne (Ye Zhu ),https://www.google.com/maps/contrib/114349916240527597074,https://lh5.googleusercontent.com/p/AF1QipOCyP50AJmQxr6h-gMF62c9N1xjVjza276EUK4b=w408-h297-k-no,Xue Gao Dian ,"Xue Gao Dian , Ka Pei Ting , Qiao Ke Li Ka Pei Guan , Zhu Gu Li Dian , Fa Shi Bo Bing Can Ting , Tian Pin Can Ting , Tian Pin Dian , Bing Pin Gong Ying Shang , Cha Yi Guan ",4.7,10:00-19:00,Xing Qi Yi ,+33 4 68 26 36 28,"Amorino Gelato - Carcassonne, 18 Rue Raymond Roger Trencavel, Pl. du Chateau, 11000 Carcassonne, Fa Guo ","Ma Qia Long , Xiang Shui , Dian Yuan , Ke Ke , Ke Li Bing , Hua , Lu You ",https://www.google.com/maps/place/Amorino+Gelato+-+Carcassonne/data=!4m7!3m6!1s0x12ae2dd58c4ca747:0xcc777ef11b323de5!8m2!3d43.206686!4d2.364243!16s%2Fg%2F11pz3v_n0w!19sChIJR6dMjNUtrhIR5T0yG_F-d8w?authuser=0&hl=zh-TW&rclk=1
ChIJaTncx8MtrhIRkhw1WOH9xzg,Boulangerie ANGE,,False,539,"Name: Boulangerie l'Ancestrale
link: https://www.google.com/maps/search/Boulangerie+l%27Ancestrale/@43.2074457,2.3775227?authuser=0&hl=zh-TW&entry=ttu
Reviews: 702 reviews

Name: Au Peche Mignon
link: https://www.google.com/maps/search/Au+P%C3%A9ch%C3%A9+Mignon/@43.212775099999995,2.3456789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 266 reviews

Name: Marie Blachere Boulangerie Sandwicherie Tarterie
link: https://www.google.com/maps/search/Marie+Blach%C3%A8re+Boulangerie+Sandwicherie+Tarterie/@43.207451,2.3151913?authuser=0&hl=zh-TW&entry=ttu
Reviews: 108 reviews

Name: Tout autour des moulins
link: https://www.google.com/maps/search/Tout+autour+des+moulins/@43.208878899999995,2.3216145999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",http://www.boulangerie-ange.fr/,Boulangerie ANGE (Ye Zhu ),https://www.google.com/maps/contrib/101053779183083336454,https://lh5.googleusercontent.com/p/AF1QipNOgjHJdNRY5zypULKFcf4LapbebSsoa4ggZfxz=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting , Zheng Liu Ka Pei Ba , Kuai Can Dian , Gao Bing Dian , Bo Bing Can Ting , Cha Yi Guan ",4.3,06:30-19:30,Xing Qi Yi ,+33 4 68 71 49 63,"Boulangerie ANGE, 460 Bd Denis Papin, 11000 Carcassonne, Fa Guo ","San Ming Zhi , Pi Sa , Xiao Rong , Dian Yuan , Zao Can , Ta , Sha La , Fa Guo Mian Bao ",https://www.google.com/maps/place/Boulangerie+ANGE/data=!4m7!3m6!1s0x12ae2dc3c7dc3969:0x38c7fde158351c92!8m2!3d43.2080276!4d2.318226!16s%2Fg%2F11fqzd2znx!19sChIJaTncx8MtrhIRkhw1WOH9xzg?authuser=0&hl=zh-TW&rclk=1
ChIJt18S-L8trhIRCzDOvrXUJuY,L'Oliveraie,,False,529,"Name: Meli et Zeli
link: https://www.google.com/maps/search/Meli+et+Zeli/@43.2077378,2.3639411000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 760 reviews

Name: L'Artichaut
link: https://www.google.com/maps/search/L%27Artichaut/@43.213356399999995,2.3511225?authuser=0&hl=zh-TW&entry=ttu
Reviews: 298 reviews

Name: La Menino
link: https://www.google.com/maps/search/La+M%C3%A9nino/@43.2114504,2.3187322999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 192 reviews

Name: Restaurant La Vicomte (Mercure Carcassonne)
link: https://www.google.com/maps/search/Restaurant+La+Vicomt%C3%A9+%28Mercure+Carcassonne%29/@43.2069647,2.3696172?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",https://www.loliveraie.fr/,L'Oliveraie (Ye Zhu ),https://www.google.com/maps/contrib/110895516639930185756,https://lh5.googleusercontent.com/p/AF1QipOE8IwairJIuX_beNBzfV3i6tRJAr2Ek8BkpXhq=w408-h272-k-no,Can Ting ,"Can Ting , Dao Hui Fu Wu , Ka Pei Dian , Biao Yan Chang Di , Fa Guo Can Ting ",4,08:00-15:00,Xing Qi Ri ,+33 4 68 47 88 19,"L'Oliveraie, 850 Bd Denis Papin, 11000 Carcassonne, Fa Guo ","Liao Li , Fang Jian , Yi Dao Cai , Bai Pan , Jie Hun , Qian Cai ",https://www.google.com/maps/place/L%27Oliveraie/data=!4m7!3m6!1s0x12ae2dbff8125fb7:0xe626d4b5bece300b!8m2!3d43.2091903!4d2.3226997!16s%2Fg%2F11ckqj0n6b!19sChIJt18S-L8trhIRCzDOvrXUJuY?authuser=0&hl=zh-TW&rclk=1
ChIJR_Od0qQurhIRPXVXEeO0NU0,Columbus Cafe & Co,,False,414,"Name: Crescendo Restaurant
link: https://www.google.com/maps/search/Crescendo+Restaurant/@43.2371312,2.3674041999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1435 reviews

Name: Le Bristol
link: https://www.google.com/maps/search/Le+Bristol/@43.21707430000001,2.3521457999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 304 reviews

Name: Le Petit Moka
link: https://www.google.com/maps/search/Le+Petit+Moka/@43.2131523,2.3524148?authuser=0&hl=zh-TW&entry=ttu
Reviews: 260 reviews

Name: Picnic Cafe
link: https://www.google.com/maps/search/Picnic+Caf%C3%A9/@43.2134686,2.3514166?authuser=0&hl=zh-TW&entry=ttu
Reviews: 221 reviews

Name: Cosy du Plo
link: https://www.google.com/maps/search/Cosy+du+Plo/@43.2051401,2.3633497?authuser=0&hl=zh-TW&entry=ttu
Reviews: 212 reviews",https://www.columbuscafe.com/boutique/carcassonne/,Columbus Cafe & Co (Ye Zhu ),https://www.google.com/maps/contrib/104076642832530651999,https://lh5.googleusercontent.com/p/AF1QipMtYreMBxf9QO3KCHs4zN-F2VZHluYF7GfZ7yRF=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,08:30-20:00,Xing Qi Ri ,+33 4 68 47 81 47,"Columbus Cafe & Co, Centre Commercial Carrefour, ZI du Pont Rouge, 11000 Carcassonne, Fa Guo ","Xiao Rong , Song Bing , Tuan Dui , Gao , Bing Gan , Guo Zhi , Yan ",https://www.google.com/maps/place/Columbus+Caf%C3%A9+%26+Co/data=!4m7!3m6!1s0x12ae2ea4d29df347:0x4d35b4e31157753d!8m2!3d43.236809!4d2.3681081!16s%2Fg%2F11bzq3r9t_!19sChIJR_Od0qQurhIRPXVXEeO0NU0?authuser=0&hl=zh-TW&rclk=1
ChIJVVVRgDksrhIRGURIDALB9_0,Meery Cake,,False,375,"Name: Patisserie Bimas
link: https://www.google.com/maps/search/P%C3%A2tisserie+Bimas/@43.211715299999994,2.3581895?authuser=0&hl=zh-TW&entry=ttu
Reviews: 396 reviews

Name: Remi Touja Pastry
link: https://www.google.com/maps/search/R%C3%A9mi+Touja+Pastry/@43.2127985,2.3539467999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews

Name: Boulangerie - Patisserie - Le Delice Des Capucins
link: https://www.google.com/maps/search/Boulangerie+-+P%C3%A2tisserie+-+Le+D%C3%A9lice+Des+Capucins/@43.21007540000001,2.3486849999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: Katia.N Patisserie
link: https://www.google.com/maps/search/Katia.N+P%C3%A2tisserie/@43.2141075,2.3518661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: La Marquise d'Izora
link: https://www.google.com/maps/search/La+Marquise+d%27Izora/@43.211513499999995,2.318089?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",https://www.facebook.com/Meery-Cake-135627053291530/,Meery Cake (Ye Zhu ),https://www.google.com/maps/contrib/103703678745243844083,https://lh5.googleusercontent.com/p/AF1QipNRYMSC5J8QpILEWZ5urzCF3emibFI5F0M00w5i=w408-h307-k-no,Ka Pei Ting ,"Ka Pei Ting , Xi Bing Dian , Cha Yi Guan ",4.7,10:00-19:00,Xing Qi Yi ,+33 9 83 60 56 02,"Meery Cake, 13 Rue Barbes, 11000 Carcassonne, Fa Guo ","Bei Zi Dan Gao , Cha Dian , Zao Wu Can , Tian Dian , Ke Ke , Mo Fa , Hu Luo Bo Dan Gao , Tang ",https://www.google.com/maps/place/M%C3%A9ery+Cake/data=!4m7!3m6!1s0x12ae2c3980515555:0xfdf7c1020c484419!8m2!3d43.2133867!4d2.3539778!16s%2Fg%2F11bzsnyvmr!19sChIJVVVRgDksrhIRGURIDALB9_0?authuser=0&hl=zh-TW&rclk=1
ChIJV4Cg6DgsrhIRvshDr4ktIgM,La Brasserie Du Dome - Chez Fifi - Restaurant a Carcassonne,,False,375,"Name: Restaurant le 37
link: https://www.google.com/maps/search/Restaurant+le+37/@43.2092361,2.3625567?authuser=0&hl=zh-TW&entry=ttu
Reviews: 726 reviews

Name: Restaurant Auberge des Ducs d'Oc a Carcassonne
link: https://www.google.com/maps/search/Restaurant+Auberge+des+Ducs+d%27Oc+%C3%A0+Carcassonne/@43.206619499999995,2.3644712?authuser=0&hl=zh-TW&entry=ttu
Reviews: 697 reviews

Name: Cafe de la Comedie
link: https://www.google.com/maps/search/Caf%C3%A9+de+la+Comedie/@43.2113604,2.3523125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 435 reviews

Name: Brasserie du Palais
link: https://www.google.com/maps/search/Brasserie+du+Palais/@43.213499600000006,2.3556917?authuser=0&hl=zh-TW&entry=ttu
Reviews: 375 reviews",https://brasseriedudome.fr/,La Brasserie Du Dome - Chez Fifi - Restaurant a Carcassonne (Ye Zhu ),https://www.google.com/maps/contrib/109855850153399981908,https://lh5.googleusercontent.com/p/AF1QipPBdg_w9v89pfn8UBqaYgaKdt2BZvN39l_zqRdE=w408-h306-k-no,Can Ting ,"Can Ting , Jiu Ba , Pi Jiu Zhuan Mai Dian , Zao Can Can Ting , Pi Jiu Niang Zhi Chang , Ka Pei Ting , Fa Guo Can Ting , Pu Tao Jiu Ba ",4,"06:30-15:00, 18:00-22:00","Xing Qi Ri , Xing Qi Yi ",+33 4 68 25 03 48,"La Brasserie Du Dome - Chez Fifi - Restaurant a Carcassonne, 35 Rue des 3 Couronnes, 11000 Carcassonne, Fa Guo ","Sha La , Liao Li , Bai Pan , Ka Pei , Ya Rou , Zhu Yi , Qian Cai , Si Ji Dou ",https://www.google.com/maps/place/La+Brasserie+Du+Dome+-+Chez+Fifi+-+Restaurant+%C3%A0+Carcassonne/data=!4m7!3m6!1s0x12ae2c38e8a08057:0x3222d89af43c8be!8m2!3d43.2102778!4d2.3552778!16s%2Fg%2F1tcynq2z!19sChIJV4Cg6DgsrhIRvshDr4ktIgM?authuser=0&hl=zh-TW&rclk=1
ChIJDanJ_DksrhIRqxzdoXJ3AXY,Le Bastid,,False,263,"Name: Chez Felix
link: https://www.google.com/maps/search/Chez+F%C3%A9lix/@43.2134917,2.3516174?authuser=0&hl=zh-TW&entry=ttu
Reviews: 488 reviews

Name: Le Petit Moka
link: https://www.google.com/maps/search/Le+Petit+Moka/@43.2131523,2.3524148?authuser=0&hl=zh-TW&entry=ttu
Reviews: 260 reviews

Name: Picnic Cafe
link: https://www.google.com/maps/search/Picnic+Caf%C3%A9/@43.2134686,2.3514166?authuser=0&hl=zh-TW&entry=ttu
Reviews: 221 reviews

Name: Cafe Saillan
link: https://www.google.com/maps/search/Caf%C3%A9+Saillan/@43.2125242,2.3503789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Le Carnot
link: https://www.google.com/maps/search/Le+Carnot/@43.213498799999996,2.3515272?authuser=0&hl=zh-TW&entry=ttu
Reviews: 159 reviews",https://www.lebastid-carcassonne.fr/,Le Bastid (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNBNCyN1xdBvAXYsrrXtJYAhIu4cUObe2FxCDjc=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Cha Yi Guan ",3.3,10:00-21:00,Xing Qi Ri ,+33 4 68 25 86 71,"Le Bastid, 26 Pl. Carnot, 11000 Carcassonne, Fa Guo ","Han Bao , Pi Sa , Can , Pan , Chu Fang , Yan , Ce Suo , Ke Li Bing ",https://www.google.com/maps/place/Le+Bastid/data=!4m7!3m6!1s0x12ae2c39fcc9a90d:0x76017772a1dd1cab!8m2!3d43.2128315!4d2.3520119!16s%2Fg%2F1tcx45dn!19sChIJDanJ_DksrhIRqxzdoXJ3AXY?authuser=0&hl=zh-TW&rclk=1
ChIJk8WI-TksrhIRcoZ8LD7WL_Y,Le Petit Moka,,False,260,"Name: Le Bastid
link: https://www.google.com/maps/search/Le+Bastid/@43.2128315,2.3520119?authuser=0&hl=zh-TW&entry=ttu
Reviews: 263 reviews

Name: Picnic Cafe
link: https://www.google.com/maps/search/Picnic+Caf%C3%A9/@43.2134686,2.3514166?authuser=0&hl=zh-TW&entry=ttu
Reviews: 221 reviews

Name: Le Carnot
link: https://www.google.com/maps/search/Le+Carnot/@43.213498799999996,2.3515272?authuser=0&hl=zh-TW&entry=ttu
Reviews: 159 reviews

Name: Katia.N Patisserie
link: https://www.google.com/maps/search/Katia.N+P%C3%A2tisserie/@43.2141075,2.3518661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Bubble Luna
link: https://www.google.com/maps/search/Bubble+Luna/@43.2150563,2.3528243?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews",https://www.lepetitmoka-carcassonne.fr/,Le Petit Moka (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipONfbEZFAMwOF0gTKXfc3JkZY3zewBaJ9741ddE=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Xiao Shi Dian , Cha Yi Guan ",3.2,08:30-20:30,Xing Qi Ri ,+33 4 68 25 68 87,"Le Petit Moka, 4 Pl. Carnot, 11000 Carcassonne, Fa Guo ","Jia Ge , Zhuo , Xiao Rong , Ke Li Bing , Leng , Song Bing , Ba , Guo Zhi , Gao ",https://www.google.com/maps/place/Le+Petit+Moka/data=!4m7!3m6!1s0x12ae2c39f988c593:0xf62fd63e2c7c8672!8m2!3d43.2131523!4d2.3524148!16s%2Fg%2F1tj354vp!19sChIJk8WI-TksrhIRcoZ8LD7WL_Y?authuser=0&hl=zh-TW&rclk=1
ChIJZ-L4VYwtrhIRYr8jhThEvhU,L'apar The,,False,245,"Name: Le Petit Moka
link: https://www.google.com/maps/search/Le+Petit+Moka/@43.2131523,2.3524148?authuser=0&hl=zh-TW&entry=ttu
Reviews: 260 reviews

Name: The a la Cite
link: https://www.google.com/maps/search/Th%C3%A9+a+la+Cit%C3%A9/@43.2074128,2.3643894?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: La Torrefaction - Cafes Romero
link: https://www.google.com/maps/search/La+Torr%C3%A9faction+-+Caf%C3%A9s+Romero/@43.211589499999995,2.356956?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Le Magasin des Saveurs
link: https://www.google.com/maps/search/Le+Magasin+des+Saveurs/@43.2086462,2.3952348000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Madame Teapot
link: https://www.google.com/maps/search/Madame+Teapot/@43.2208908,2.3559154?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",http://www.lapar-the.fr/,L'apar The (Ye Zhu ),https://www.google.com/maps/contrib/110197316298381685043,https://lh5.googleusercontent.com/p/AF1QipO1mpZCfpYsDO95wH6YdCOcruxMPnznkDkwqpM_=w408-h305-k-no,Cha Xie Dian ,"Cha Xie Dian , Ka Pei Ting , Can Ting , Cha Yi Guan ",4.6,09:30-19:00,Xing Qi Ri ,+33 4 68 47 26 08,"L'apar The, 4 Rue Jean Antoine Chaptal, 11000 Carcassonne, Fa Guo ","Jia Ge , Gao , Jing Pin Dian , Zao Wu Can , Shang Chang , Tian Dian , Dong , Ke Ke , Qia Bu Qi Nuo ",https://www.google.com/maps/place/L%27apar+Th%C3%A9/data=!4m7!3m6!1s0x12ae2d8c55f8e267:0x15be44388523bf62!8m2!3d43.2094765!4d2.3102001!16s%2Fg%2F11bw4ws4mk!19sChIJZ-L4VYwtrhIRYr8jhThEvhU?authuser=0&hl=zh-TW&rclk=1
