place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJm534vHIt3UcRcYcWADo8X3Q,E.Leclerc DRIVE Carvin,,False,2937,"Name: E.Leclerc CARVIN
link: https://www.google.com/maps/search/E.Leclerc+CARVIN/@50.4992881,2.9459958?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2400 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@50.4796009,2.9643495?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1411 reviews

Name: E.Leclerc Station Service
link: https://www.google.com/maps/search/E.Leclerc+Station+Service/@50.4987099,2.9446744?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: E.Leclerc TRAITEUR Carvin
link: https://www.google.com/maps/search/E.Leclerc+TRAITEUR+Carvin/@50.499372099999995,2.9461437999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: E.Leclerc Drive
link: https://www.google.com/maps/search/E.Leclerc+Drive/@50.4994046,2.9456691999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.leclercdrive.fr/passerelle/passerelle.aspx%3Fparam%3DMAGASIN036201%26vue%3D32,E.Leclerc DRIVE Carvin (Ye Zhu ),https://www.google.com/maps/contrib/116570378910239602777,https://lh5.googleusercontent.com/p/AF1QipNgC0U_v8pcg2Wp1hRgzxKRrFErAN1UYtTYIvbj=w533-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Mian Bao Xi Bing Dian , Jia Gong Rou Pin Dian , Zhi Shi Zhuan Mai Dian , Yu Fan , Shu Guo Dian , Za Huo Pei Song Fu Wu , Za Huo Dian , Da Xing Chao Ji Shi Chang , You Ji Shi Pin Dian ",3.9,08:30-20:00,Xing Qi Yi ,+33 3 21 74 50 81,"E.Leclerc DRIVE Carvin, Rue de Provin, 62220 Carvin, Fa Guo ","Xia Ding , Ri Qi , Bao , Pei Song , Bai Huo , Jian Feng Shi Jian ",https://www.google.com/maps/place/E.Leclerc+DRIVE+Carvin/data=!4m7!3m6!1s0x47dd2d72bcf89d9b:0x745f3c3a00168771!8m2!3d50.496904!4d2.9477797!16s%2Fg%2F1v5fr5f0!19sChIJm534vHIt3UcRcYcWADo8X3Q?authuser=0&hl=zh-TW&rclk=1
ChIJgah6ZOUt3UcRiIsWctrMQKU,E.Leclerc CARVIN,,False,2400,"Name: E.Leclerc DRIVE Carvin
link: https://www.google.com/maps/search/E.Leclerc+DRIVE+Carvin/@50.49690400000001,2.9477797?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2936 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@50.4796009,2.9643495?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1411 reviews

Name: E.Leclerc Station Service
link: https://www.google.com/maps/search/E.Leclerc+Station+Service/@50.4987099,2.9446744?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: E.Leclerc TRAITEUR Carvin
link: https://www.google.com/maps/search/E.Leclerc+TRAITEUR+Carvin/@50.499372099999995,2.9461437999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: E.Leclerc Drive
link: https://www.google.com/maps/search/E.Leclerc+Drive/@50.4994046,2.9456691999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://e.leclerc/mag/e-leclerc-carvin,E.Leclerc CARVIN (Ye Zhu ),https://www.google.com/maps/contrib/107521310318213073746,https://lh5.googleusercontent.com/p/AF1QipN8Kv7WaYWXEl22KsDVtNF_n-alA6clwZkxqIEr=w426-h240-k-no,Da Xing Chao Ji Shi Chang ,"Da Xing Chao Ji Shi Chang , Dian Qi Xing , Mian Bao Xi Bing Dian , Jia Gong Rou Pin Dian , Luo Nong Qu , Yu Fan , Xian Shi Shi Chang , Shu Guo Dian , Za Huo Dian , You Ji Shi Pin Dian ",4,08:30-20:00,Xing Qi Yi ,+33 3 21 77 24 24,"E.Leclerc CARVIN, 165 Rte de Meurchin, 62220 Carvin, Fa Guo ","Wan Ju , Xi Guan , Qian Cai ",https://www.google.com/maps/place/E.Leclerc+CARVIN/data=!4m7!3m6!1s0x47dd2de5647aa881:0xa540ccda72168b88!8m2!3d50.4992881!4d2.9459958!16s%2Fg%2F11j03sdsbp!19sChIJgah6ZOUt3UcRiIsWctrMQKU?authuser=0&hl=zh-TW&rclk=1
ChIJaSYy8V4t3UcR9S4gdzSF92A,Lidl,,False,1411,"Name: E.Leclerc DRIVE Carvin
link: https://www.google.com/maps/search/E.Leclerc+DRIVE+Carvin/@50.49690400000001,2.9477797?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2936 reviews

Name: E.Leclerc CARVIN
link: https://www.google.com/maps/search/E.Leclerc+CARVIN/@50.4992881,2.9459958?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2400 reviews

Name: Intermarche SUPER Carvin
link: https://www.google.com/maps/search/Intermarch%C3%A9+SUPER+Carvin/@50.482453,2.961814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1150 reviews

Name: ALDI Carvin
link: https://www.google.com/maps/search/ALDI+Carvin/@50.491607699999996,2.9639164000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 302 reviews

Name: E.Leclerc Drive
link: https://www.google.com/maps/search/E.Leclerc+Drive/@50.4994046,2.9456691999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.lidl.fr/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/106725852884646797467,https://lh5.googleusercontent.com/p/AF1QipMYgOLBMLED8LNHDiqEvvFu6nKUIFlaib20qSny=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,08:30-20:00,Xing Qi Yi ,+33 1 88 24 70 70,"Lidl, 1 Rte de Oignies, 62200 Carvin, Fa Guo ","Shou Yin , Ting Che Chang , Xiao Rong , Xuan Ze , Zhou Liu , Bai Huo , Zhi Ban ",https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x47dd2d5ef1322669:0x60f7853477202ef5!8m2!3d50.4796009!4d2.9643495!16s%2Fg%2F11c6dz_lk1!19sChIJaSYy8V4t3UcR9S4gdzSF92A?authuser=0&hl=zh-TW&rclk=1
ChIJCeEDhl0t3UcRFmH9sEyOlow,Intermarche SUPER Carvin,,False,1150,"Name: E.Leclerc CARVIN
link: https://www.google.com/maps/search/E.Leclerc+CARVIN/@50.4992881,2.9459958?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2400 reviews

Name: ALDI Carvin
link: https://www.google.com/maps/search/ALDI+Carvin/@50.491607699999996,2.9639164000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 302 reviews

Name: Coccimarket
link: https://www.google.com/maps/search/Coccimarket/@50.4917933,2.9565571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 127 reviews

Name: Achicourt Intermarche
link: https://www.google.com/maps/search/Achicourt+Intermarch%C3%A9/@50.2753192,2.7683508?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Photomaton
link: https://www.google.com/maps/search/Photomaton/@50.482690399999996,2.9619075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.intermarche.com/magasin%3Fpdvref%3D03230%26utm_source%3Dgmb,Intermarche SUPER Carvin (Ye Zhu ),https://www.google.com/maps/contrib/113523992320452339789,https://lh5.googleusercontent.com/p/AF1QipMIKXq5XC5l4CBV_9l0c8bA7JjNwGIGDJvXtjPc=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Mian Bao Xi Bing Dian , Jia Gong Rou Pin Dian , Luo Nong Qu , Yu Fan , Xian Shi Shi Chang , Leng Dong Shi Pin Shang Dian , Za Huo Dian , Jiu Pin Dian , You Ji Shi Pin Dian ",3.9,08:30-20:00,Open All Days,+33 3 21 74 62 63,"Intermarche SUPER Carvin, Rue du Vieux Chateau, 62220 Carvin, Fa Guo ","Shou Yin , Rou , Xiao Rong , De Lai Su , E , Leng ",https://www.google.com/maps/place/Intermarch%C3%A9+SUPER+Carvin/data=!4m7!3m6!1s0x47dd2d5d8603e109:0x8c968e4cb0fd6116!8m2!3d50.482453!4d2.961814!16s%2Fg%2F1wfvly7y!19sChIJCeEDhl0t3UcRFmH9sEyOlow?authuser=0&hl=zh-TW&rclk=1
ChIJv7FD7kEt3UcRr3XMU9zi4oI,NOZ,,False,606,"Name: MAGIK DEPOT CARVIN
link: https://www.google.com/maps/search/MAGIK+DEPOT+CARVIN/@50.4809311,2.963648?authuser=0&hl=zh-TW&entry=ttu
Reviews: 655 reviews

Name: ALDI Carvin
link: https://www.google.com/maps/search/ALDI+Carvin/@50.491607699999996,2.9639164000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 302 reviews

Name: Top Destock'
link: https://www.google.com/maps/search/Top+Destock%27/@50.4875841,2.9533584?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: Zeeman
link: https://www.google.com/maps/search/Zeeman/@50.4914414,2.9560090999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews

Name: Destock +
link: https://www.google.com/maps/search/Destock+%2B/@50.4916911,2.9755846999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",http://www.nozarrivages.com/magasin/tergnier/,NOZ (Ye Zhu ),https://www.google.com/maps/contrib/115474919580243240719,https://lh5.googleusercontent.com/p/AF1QipMi8PkGO5Y7p3Y4K6W65RQz_YSY5qmtVGZ_SDXT=w520-h240-k-no,Shang Dian ,"Shang Dian , Za Huo Dian ",3.7,10:00-19:00,Open All Days,+33 3 21 40 96 91,"NOZ, 86 Rue Jean Moulin, 62220 Carvin, Fa Guo ","Jia Ge , E , Yi Fu , Jing Ya , Hong Jiu , Ke Ren ",https://www.google.com/maps/place/NOZ/data=!4m7!3m6!1s0x47dd2d41ee43b1bf:0x82e2e2dc53cc75af!8m2!3d50.4920846!4d2.9640682!16s%2Fg%2F11ckky2c9b!19sChIJv7FD7kEt3UcRr3XMU9zi4oI?authuser=0&hl=zh-TW&rclk=1
ChIJBywvhWst3UcRKnxMVPO4nJw,Cafe Le Bellevue,,False,318,"Name: LA PLANCH'TI
link: https://www.google.com/maps/search/LA+PLANCH%27TI/@50.481186199999996,2.9651939?authuser=0&hl=zh-TW&entry=ttu
Reviews: 634 reviews

Name: Restaurant La Table des Amis
link: https://www.google.com/maps/search/Restaurant+La+Table+des+Amis/@50.493502799999995,2.9585323?authuser=0&hl=zh-TW&entry=ttu
Reviews: 403 reviews

Name: Brasserie de Mai
link: https://www.google.com/maps/search/Brasserie+de+Mai/@50.491912799999994,2.9556987?authuser=0&hl=zh-TW&entry=ttu
Reviews: 317 reviews

Name: Restaurant La Cremaillere
link: https://www.google.com/maps/search/Restaurant+La+Cr%C3%A9maill%C3%A8re/@50.4909575,2.9532808?authuser=0&hl=zh-TW&entry=ttu
Reviews: 316 reviews

Name: Bistrot du marche Carvin
link: https://www.google.com/maps/search/Bistrot+du+march%C3%A9+Carvin/@50.484145,2.961246?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://facebook.com/pages/Le-Bellevue/162030097147185,Cafe Le Bellevue (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPbSFY0uIxUYolT5WEW2u6g1zRky7g5nw5GnEE=w426-h240-k-no,Fa Shi Can Ting ,"Fa Shi Can Ting , Jiu Ba , Ka Pei Ting , Fa Guo Can Ting ",4.5,11:30-21:00,Xing Qi Ri ,+33 3 21 37 04 11,"Cafe Le Bellevue, 1 Rue Salvador Allende, 62220 Carvin, Fa Guo ","Ji Che , Jia Ge , Ya Li , Zhuang Qiu , Liao Li , Yin Le ",https://www.google.com/maps/place/Caf%C3%A9+Le+Bellevue/data=!4m7!3m6!1s0x47dd2d6b852f2c07:0x9c9cb8f3544c7c2a!8m2!3d50.493825!4d2.9577911!16s%2Fg%2F1xpwj1fr!19sChIJBywvhWst3UcRKnxMVPO4nJw?authuser=0&hl=zh-TW&rclk=1
ChIJE6gd90Et3UcRHkoqcz5EZm0,ALDI Carvin,"Fan Shou Ge Zhong Za Huo , Rou Lei He Ru Zhi Pin De Lian Suo Ling Shou Shang . ",False,302,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@50.4796009,2.9643495?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1411 reviews

Name: Intermarche SUPER Carvin
link: https://www.google.com/maps/search/Intermarch%C3%A9+SUPER+Carvin/@50.482453,2.961814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1150 reviews

Name: Coccimarket
link: https://www.google.com/maps/search/Coccimarket/@50.4917933,2.9565571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 127 reviews",https://www.aldi.fr/,ALDI Carvin (Ye Zhu ),https://www.google.com/maps/contrib/106465281420053216879,https://lh5.googleusercontent.com/p/AF1QipO0qnvzuejRnUaeuJG-NikaJn-0vgQzccpDnMs1=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Zhe Kou Shang Dian , Xian Shi Shi Chang , Leng Dong Shi Pin Shang Dian , Tian Ran Shi Pin Dian , You Ji Shang Dian ",3.9,08:30-19:30,Xing Qi Yi ,+33 1 81 09 78 25,"ALDI Carvin, 515 Rue du Tilloy, 62220 Carvin, Fa Guo ","Jia Ge , Shou Yin , E , Fan Xin , Jing Pin Dian , Bao ",https://www.google.com/maps/place/ALDI+Carvin/data=!4m7!3m6!1s0x47dd2d41f71da813:0x6d66443e732a4a1e!8m2!3d50.4916077!4d2.9639164!16s%2Fg%2F11ckkwm50y!19sChIJE6gd90Et3UcRHkoqcz5EZm0?authuser=0&hl=zh-TW&rclk=1
ChIJj_6ceb0t3UcRbjceH4sR-DI,Rosada,,False,301,"Name: Bakery Marie Blachere
link: https://www.google.com/maps/search/Bakery+Marie+Blachere/@50.4811012,2.9652939999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 474 reviews

Name: Boulangerie Patisserie Caradeuc
link: https://www.google.com/maps/search/Boulangerie+Patisserie+Caradeuc/@50.493850599999995,2.9572960000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 224 reviews

Name: .
link: https://www.google.com/maps/search/./@None,None?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: A L'ESSENTIEL
link: https://www.google.com/maps/search/A+L%27ESSENTIEL/@50.496230399999995,2.9642228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: A vos Marques Patissez !
link: https://www.google.com/maps/search/A+vos+Marques+Patissez+%21/@50.496532599999995,2.9677838?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.boulangerie-rosada.fr/page/1-adresses-et-horaires-des-magasins/1-magasin-de-carvin,Rosada (Ye Zhu ),https://www.google.com/maps/contrib/104329932202023851464,https://lh5.googleusercontent.com/p/AF1QipN1zPJu7WPsaJ7rbPyZ62HnhuVjwlTi96v6CHhV=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.5,06:30-18:00,Xing Qi San ,+33 3 21 69 64 58,"Rosada, 9 Rue du Vieux Chateau, 62220 Carvin, Fa Guo ","Fa Guo Mian Bao , Xiao Rong , Shou Gong , San Ming Zhi , Dian Yuan , Ke Song ",https://www.google.com/maps/place/Rosada/data=!4m7!3m6!1s0x47dd2dbd799cfe8f:0x32f8118b1f1e376e!8m2!3d50.4858194!4d2.9596272!16s%2Fg%2F1tctwv7p!19sChIJj_6ceb0t3UcRbjceH4sR-DI?authuser=0&hl=zh-TW&rclk=1
ChIJ9cpKWmUt3UcRc6lbPB7l7HA,Boulangerie Patisserie Caradeuc,,False,224,"Name: Bakery Marie Blachere
link: https://www.google.com/maps/search/Bakery+Marie+Blachere/@50.4811012,2.9652939999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 474 reviews

Name: Boulangerie Dominguez
link: https://www.google.com/maps/search/Boulangerie+Dominguez/@50.4571908,2.9464783?authuser=0&hl=zh-TW&entry=ttu
Reviews: 391 reviews

Name: Rosada
link: https://www.google.com/maps/search/Rosada/@50.4858194,2.9596272?authuser=0&hl=zh-TW&entry=ttu
Reviews: 301 reviews

Name: AUX COEURS DES PAINS
link: https://www.google.com/maps/search/AUX+COEURS+DES+PAINS/@50.4050534,2.907844?authuser=0&hl=zh-TW&entry=ttu
Reviews: 222 reviews

Name: A vos Marques Patissez !
link: https://www.google.com/maps/search/A+vos+Marques+Patissez+%21/@50.496532599999995,2.9677838?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.caradeuc-boulangerie.com/,Boulangerie Patisserie Caradeuc (Ye Zhu ),https://www.google.com/maps/contrib/112661626961144419200,https://lh5.googleusercontent.com/p/AF1QipNCmjV-QKXeZMzRaBteMzWN4kSjdLm10cCudh1x=w408-h544-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Tang Guo Gao Bing Dian , Gao Bing Dian ",4,06:00-19:00,Xing Qi Ri ,+33 3 21 37 03 41,"Boulangerie Patisserie Caradeuc, 8 Pl. Jean Jaures, 62220 Carvin, Fa Guo ","Jia Ge , Fa Guo Mian Bao , Ke Song , San Ming Zhi , Ke Ren , Dian Yuan , Shan Dian Pao Fu ",https://www.google.com/maps/place/Boulangerie+Patisserie+Caradeuc/data=!4m7!3m6!1s0x47dd2d655a4acaf5:0x70ece51e3c5ba973!8m2!3d50.4938506!4d2.957296!16s%2Fg%2F1tnsr65b!19sChIJ9cpKWmUt3UcRc6lbPB7l7HA?authuser=0&hl=zh-TW&rclk=1
ChIJaacTO0kt3UcRTIqZRvhPorU,Le Cyprien,,False,124,,https://m.facebook.com/profile.php%3Fid%3D100070788701640,Le Cyprien (Ye Zhu ),https://www.google.com/maps/contrib/118426069550253164999,https://lh5.googleusercontent.com/p/AF1QipMf-lx-ZFj8qzjqbKdTZ8BYQtTNEv-AxkAg1uwu=w408-h544-k-no,Yan Cao Dian ,"Yan Cao Dian , Tang Guo Gao Bing Dian , Li Pin Dian , Cai Piao Ling Shou Shang , Shu Bao Tan , Zhi Dian , Wu Jiu Jing Yin Liao Dian , Dian Zi Yan Zhuan Men Dian , Cave a vins",4.7,07:00-19:30,Open All Days,+33 3 21 37 03 31,"Le Cyprien, 137 Rue Cyprien Quinet, 62220 Carvin, Fa Guo ","Xiao Rong , Mao Yi ",https://www.google.com/maps/place/Le+Cyprien/data=!4m7!3m6!1s0x47dd2d493b13a769:0xb5a24ff846998a4c!8m2!3d50.4920585!4d2.9787249!16s%2Fg%2F1tmqfh60!19sChIJaacTO0kt3UcRTIqZRvhPorU?authuser=0&hl=zh-TW&rclk=1
