place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_bAR11AABDQRGxsNeGwaZYM,Shi Dai Guang Chang ,"Zhe Dong Duo Lou Ceng Gou Wu Zhong Xin She You Guo Ji Pin Pai Shang Dian , Zheng Shi Can Ting ,Yi Ji Yong You  5 Jian Ying Ting De Dian Ying Yuan . ",False,14898,"Name: Guo Ji Guang Chang 
link: https://www.google.com/maps/search/%E5%9C%8B%E9%9A%9B%E5%BB%A3%E5%A0%B4/@22.297024999999998,114.17189590000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10457 reviews

Name: Xi Shen Guang Chang 
link: https://www.google.com/maps/search/%E5%B8%8C%E6%85%8E%E5%BB%A3%E5%A0%B4/@22.2798226,114.1837972?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7448 reviews

Name: Zhi Di Guang Chang 
link: https://www.google.com/maps/search/%E7%BD%AE%E5%9C%B0%E5%BB%A3%E5%A0%B4/@22.2811864,114.1578201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3080 reviews

Name: Shi Dai Guang Chang 
link: https://www.google.com/maps/search/%E6%99%82%E4%BB%A3%E5%BB%A3%E5%A0%B4/@22.278707000000004,114.18328199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: GIVENCHY
link: https://www.google.com/maps/search/GIVENCHY/@22.278150999999998,114.1821136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.timessquare.com.hk/,Shi Dai Guang Chang  (Ye Zhu ),https://www.google.com/maps/contrib/101922511319853311749,https://lh5.googleusercontent.com/p/AF1QipPGm23BUaHZlcG2HL5ZHtP45IIjVCA7Fxw0rnaM=w408-h306-k-no,Gou Wu Zhong Xin ,Gou Wu Zhong Xin ,4.1,10:00-23:00,Open All Days,2118 8900,Tong Luo Wan Wu Di Chen Jie 1Hao Shi Dai Guang Chang ,"Ming Pai , Jing Pin , Zhan Lan , Lu You , Di Ku , Di Biao , Di Tie Zhan , Chu Kou , Le Gao ",https://www.google.com/maps/place/%E6%99%82%E4%BB%A3%E5%BB%A3%E5%A0%B4/data=!4m7!3m6!1s0x34040050d711b0fd:0x83651a6c780d1b1b!8m2!3d22.278151!4d114.1821136!16zL20vMDZuMTNf!19sChIJ_bAR11AABDQRGxsNeGwaZYM?authuser=0&hl=zh-TW&rclk=1
ChIJuYRnMgQ5qBQRnWJqZ_2kQVw,Castello,,False,2700,"Name: OLUMPION
link: https://www.google.com/maps/search/%CE%9F%CE%9B%CE%A5%CE%9C%CE%A0%CE%99%CE%9F%CE%9D/@40.632694199999996,22.9417324?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2199 reviews

Name: Oberon Cafe * Bar * Restaurant
link: https://www.google.com/maps/search/Oberon+Cafe+%C2%B7+Bar+%C2%B7+Restaurant/@40.6316845,22.9412046?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1935 reviews

Name: Elyti Cafe
link: https://www.google.com/maps/search/Elyti+Caf%C3%A9/@40.6301907,22.9435033?authuser=0&hl=zh-TW&entry=ttu
Reviews: 848 reviews

Name: Cafe Palermo
link: https://www.google.com/maps/search/Caf%C3%A9+Palermo/@40.6273015,22.9491197?authuser=0&hl=zh-TW&entry=ttu
Reviews: 725 reviews

Name: Theatro Cafe
link: https://www.google.com/maps/search/Th%C3%A9atro+Caf%C3%A9/@40.62546150000001,22.949562399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews",https://www.facebook.com/Castello.Thessaloniki/,Castello (Ye Zhu ),https://www.google.com/maps/contrib/101599832049555343330,https://lh5.googleusercontent.com/p/AF1QipPf13lrj6pnXEoUnyBgy6f6j2YZi1PL9guof-U5=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.2,10:00-02:00,Open All Days,+30 231 023 8366,"Castello, Leof. Nikis 53, Thessaloniki 546 22Xi La ","Hai , Jia Ge , Yin Le , Han Bao , Zhuo , Mian Ji , Zong Hui San Ming Zhi , Jiu , star, atmosphere",https://www.google.com/maps/place/Castello/data=!4m7!3m6!1s0x14a83904326784b9:0x5c41a4fd676a629d!8m2!3d40.6290736!4d22.9451141!16s%2Fg%2F126426016!19sChIJuYRnMgQ5qBQRnWJqZ_2kQVw?authuser=0&hl=zh-TW&rclk=1
ChIJTZlVuSxTBQ0Rb6Bq82_dUyg,O Castelo,,False,2139,"Name: Columbus
link: https://www.google.com/maps/search/Columbus/@37.015314,-7.934684?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1658 reviews

Name: Aperitivo
link: https://www.google.com/maps/search/Aperitivo/@37.0170934,-7.9358423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1527 reviews

Name: Old Tavern
link: https://www.google.com/maps/search/Old+Tavern/@37.012891599999996,-7.934592500000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1330 reviews

Name: O Rui
link: https://www.google.com/maps/search/O+Rui/@37.0076558,-7.994573299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 718 reviews

Name: Restaurante Ria Formosa
link: https://www.google.com/maps/search/Restaurante+Ria+Formosa/@37.016414,-7.9348860000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 595 reviews",http://www.ocastelofaro.com/,O Castelo (Ye Zhu ),https://www.google.com/maps/contrib/106311585394353727020,https://lh5.googleusercontent.com/p/AF1QipMVc3zl64ObuYSODSmuSk967tibWm6I4H8LB5TE=w408-h240-k-no-pi-10-ya91.61231-ro-0-fo100,Can Ting ,"Can Ting , Jiu Ba , Zheng Liu Ka Pei Ba , Ye Zong Hui ",4.2,10:30-02:00,Open All Days,+351 913 921 812,"O Castelo, R. do Castelo 11, 8000-149 Faro, Pu Tao Ya ","Xi Yang , Diao Jiu , Shi Jue , Xi Hu , Wu , Fei Ji ",https://www.google.com/maps/place/O+Castelo/data=!4m7!3m6!1s0xd05532cb955994d:0x2853dd6ff36aa06f!8m2!3d37.0119594!4d-7.9343293!16s%2Fg%2F11fj3jyk3f!19sChIJTZlVuSxTBQ0Rb6Bq82_dUyg?authuser=0&hl=zh-TW&rclk=1
ChIJx_rv83sABDQRLy-CYb5vp9Y,Oolaa Central,,False,1297,"Name: Oolaa Petite
link: https://www.google.com/maps/search/Oolaa+Petite/@22.2762963,114.1678972?authuser=0&hl=zh-TW&entry=ttu
Reviews: 575 reviews

Name: Ole Spanish Restaurant
link: https://www.google.com/maps/search/Ole+Spanish+Restaurant/@22.280307,114.156465?authuser=0&hl=zh-TW&entry=ttu
Reviews: 536 reviews

Name: Pololi at Central
link: https://www.google.com/maps/search/Pololi+at+Central/@22.2829118,114.1533731?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Ando
link: https://www.google.com/maps/search/And%C5%8D/@22.281855999999998,114.1553265?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: Oolaa TKO
link: https://www.google.com/maps/search/Oolaa+TKO/@22.3031899,114.25745789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews",http://www.oolaagroup.com/,Oolaa Central (Ye Zhu ),https://www.google.com/maps/contrib/106564085707569837482,https://lh5.googleusercontent.com/p/AF1QipNHoD80TME29k8-Sug5OEXWtPrKtxPSccMP5f7x=w408-h285-k-no,Xi Can Ting ,"Xi Can Ting , Zao Can Can Ting , Ou Zhou Can Ting ",4.1,07:00-00:00,Open All Days,2796 6988,"G/F, Oolaa Central, 28 Stanley St, Central","Zao Wu Can , Zao Can , happy hour, Jian Kang Yin Shi , Ban Ni Di Ke Dan , Su Shi , Xun Lian ",https://www.google.com/maps/place/Oolaa+Central/data=!4m7!3m6!1s0x3404007bf3effac7:0xd6a76fbe61822f2f!8m2!3d22.2823129!4d114.1554401!16s%2Fg%2F1tgmswk3!19sChIJx_rv83sABDQRLy-CYb5vp9Y?authuser=0&hl=zh-TW&rclk=1
ChIJpT_rrbv9AzQRco2KTudWPL4,Zak's,,False,834,"Name: Koh Tomyums
link: https://www.google.com/maps/search/Koh+Tomyums/@22.2965227,114.0161337?authuser=0&hl=zh-TW&entry=ttu
Reviews: 225 reviews

Name: Ebeneezer's Kebabs & Pizzeria
link: https://www.google.com/maps/search/Ebeneezer%27s+Kebabs+%26+Pizzeria/@22.2965733,114.01694219999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 191 reviews

Name: Moofish by Zaks
link: https://www.google.com/maps/search/Moofish+by+Zaks/@22.2966573,114.0165706?authuser=0&hl=zh-TW&entry=ttu
Reviews: 156 reviews

Name: Pascucci Italian Caffe & Fine Food
link: https://www.google.com/maps/search/Pascucci+Italian+Caffe+%26+Fine+Food/@22.2965208,114.0167791?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews",http://www.casteloconcepts.com/our-venues/zaks,Zak's (Ye Zhu ),https://www.google.com/maps/contrib/107794216981498663066,https://lh5.googleusercontent.com/p/AF1QipNi2dO3RHQC-mwPXbSU1C5GPb9_6OPv7iW84FoA=w408-h306-k-no,Xi Can Ting ,Xi Can Ting ,4,08:00-22:00,Open All Days,2987 6232,"Shop G04 & 103, Zak's, Discovery Bay Rd, Discovery Bay","Sha Tan , Shu Shi , Huan Jing , Qian , Kao Ji , Can Yin , Hai Wan , Wei Yu , Nai Xi ",https://www.google.com/maps/place/Zak%27s/data=!4m7!3m6!1s0x3403fdbbadeb3fa5:0xbe3c56e74e8a8d72!8m2!3d22.2966921!4d114.0166382!16s%2Fg%2F1vs1pgfz!19sChIJpT_rrbv9AzQRco2KTudWPL4?authuser=0&hl=zh-TW&rclk=1
ChIJAVuKNWDeGmARHbsbM-md9Ik,Xing Ba Ke  Bin Song Cheng Gong Yuan Dian ,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,773,"Name: Xing Ba Ke  Bin Song Xin Jin Ting Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B+%E6%BF%B1%E6%9D%BE%E6%96%B0%E6%B4%A5%E7%94%BA%E5%BA%97/@34.7200934,137.7394276?authuser=0&hl=zh-TW&entry=ttu
Reviews: 559 reviews

Name: Kohikan Hamamatsuakutopurazaten
link: https://www.google.com/maps/search/Kohikan+Hamamatsuakutopurazaten/@34.705605999999996,137.7367518?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: Sakuranbo
link: https://www.google.com/maps/search/Sakuranbo/@34.708424,137.73107?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Zhong Yang Zhi Sheng Guang Chang 
link: https://www.google.com/maps/search/%E4%B8%AD%E5%A4%AE%E8%8A%9D%E7%94%9F%E5%BB%A3%E5%A0%B4/@34.712877500000005,137.72540469999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: at Holoholo
link: https://www.google.com/maps/search/at+Holoholo/@34.7119583,137.72303259999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://store.starbucks.co.jp/detail-1565/%3Futm_source%3DGMB%26utm_medium%3Dorganic%26utm_campaign%3Dstore%26utm_content%3D1565,Xing Ba Ke  Bin Song Cheng Gong Yuan Dian  (Ye Zhu ),https://www.google.com/maps/contrib/110745429127030726952,https://lh5.googleusercontent.com/p/AF1QipN8b4JtRNM7bEcDx1UyraR32hq0OEvWdBnpwmlV=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting , Xiao Shi /Ling Shi Ba ",4.3,08:00-21:00,Open All Days,+81 53-450-6060,"Xing Ba Ke  Bin Song Cheng Gong Yuan Dian 100-2 Motoshirocho, Naka Ward, Hamamatsu, Shizuoka 430-0946Ri Ben ","San Bu , Song Shu , Tian Hua Ban , Zi Ran , Mu , Chang Yi , Lu You , Xing Bing Le ",https://www.google.com/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B+%E6%BF%B1%E6%9D%BE%E5%9F%8E%E5%85%AC%E5%9C%92%E5%BA%97/data=!4m7!3m6!1s0x601ade60358a5b01:0x89f49de9331bbb1d!8m2!3d34.7131823!4d137.7260089!16s%2Fg%2F11ggb92q1p!19sChIJAVuKNWDeGmARHbsbM-md9Ik?authuser=0&hl=zh-TW&rclk=1
ChIJtfX4ap6VvRURsp1erlDwVK0,Castello Coffee,,False,646,"Name: Castello Coffee Urwa || ql`@ lbn `rwh
link: https://www.google.com/maps/search/Castello+Coffee+Urwa+%7C%7C+%D9%82%D9%84%D8%B9%D8%A9+%D8%A7%D9%84%D8%A8%D9%86+%D8%B9%D8%B1%D9%88%D9%87/@24.4512532,39.591259199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1139 reviews

Name: Castello Coffee P. Mohammad || ql`@ lbn l'myr mHmd
link: https://www.google.com/maps/search/Castello+Coffee+P.+Mohammad+%7C%7C+%D9%82%D9%84%D8%B9%D8%A9+%D8%A7%D9%84%D8%A8%D9%86+%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1+%D9%85%D8%AD%D9%85%D8%AF/@24.481315,39.6442542?authuser=0&hl=zh-TW&entry=ttu
Reviews: 581 reviews

Name: Castello Coffee Nearby Islamic Uni. || ql`@ lbn bjwr jm`@ lslmy@
link: https://www.google.com/maps/search/Castello+Coffee+Nearby+Islamic+Uni.+%7C%7C+%D9%82%D9%84%D8%B9%D8%A9+%D8%A7%D9%84%D8%A8%D9%86+%D8%A8%D8%AC%D9%88%D8%A7%D8%B1+%D8%AC%D8%A7%D9%85%D8%B9%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9/@24.481537199999998,39.569985599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 377 reviews",http://www.castello-coffee.com/,Castello Coffee (Ye Zhu ),https://www.google.com/maps/contrib/106692147329701380664,https://lh5.googleusercontent.com/p/AF1QipO73s4PMvKOJwJGwkdiI4kNsdhNq4PZbaJPsAm7=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,06:00-02:00,Open All Days,+966 56 318 4151,"Castello Coffee, shr` lmlk `bd llh lfr`y, Hathm, Madinah 42363Sha Di A La Bo ","Pin Zhi , Mei , Dao De , Jia Ge , flat white, Qia Bu Qi Nuo , Ka Pei Shi , Shi Yan , Nai , Kou Wei ",https://www.google.com/maps/place/Castello+Coffee/data=!4m7!3m6!1s0x15bd959e6af8f5b5:0xad54f050ae5e9db2!8m2!3d24.4554476!4d39.6684768!16s%2Fg%2F11g9w57p3b!19sChIJtfX4ap6VvRURsp1erlDwVK0?authuser=0&hl=zh-TW&rclk=1
ChIJOSikPogzGQ0RjbLAaULrSZ0,Cafe da Garagem,,False,639,"Name: Fabrica Coffee Roasters
link: https://www.google.com/maps/search/F%C3%A1brica+Coffee+Roasters/@38.717588299999996,-9.1416577?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2307 reviews

Name: Curva
link: https://www.google.com/maps/search/Curva/@38.7211579,-9.1316095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 548 reviews

Name: Teatro da Garagem (teatro taborda)
link: https://www.google.com/maps/search/Teatro+da+Garagem+%28teatro+taborda%29/@38.714849799999996,-9.133064?authuser=0&hl=zh-TW&entry=ttu
Reviews: 436 reviews

Name: Alfama thea
link: https://www.google.com/maps/search/Alfama+thea/@38.7119724,-9.1300504?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Cafe Lissabon
link: https://www.google.com/maps/search/Cafe+Lissabon/@38.7119852,-9.1285802?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.facebook.com/cafedagaragem/,Cafe da Garagem (Ye Zhu ),https://www.google.com/maps/contrib/112759233409256720598,https://lh5.googleusercontent.com/p/AF1QipOezKYXxEKKHyEHPsqD-Tnaa8-uM1KSWcBok1Ww=w408-h271-k-no,Zheng Liu Ka Pei Ba ,Zheng Liu Ka Pei Ba ,4.3,13:00-21:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi San ",+351 21 885 4190,"Cafe da Garagem, Costa do Castelo 75, 1100-178 Lisboa, Pu Tao Ya ","Ju Chang , Hong Jiu , Bi Dian , Yin Le , atmosphere, Xi Yang , Tu Si , Qiao Ke Li Dan Gao , Bang Wan ",https://www.google.com/maps/place/Caf%C3%A9+da+Garagem/data=!4m7!3m6!1s0xd1933883ea42839:0x9d49eb4269c0b28d!8m2!3d38.7148373!4d-9.1328792!16s%2Fg%2F11b6_jhsx6!19sChIJOSikPogzGQ0RjbLAaULrSZ0?authuser=0&hl=zh-TW&rclk=1
ChIJwexmLJFSXhMRI8-rgCN7mPc,Castello,,False,631,"Name: CENTRO PORTO
link: https://www.google.com/maps/search/CENTRO+PORTO/@38.3925561,21.829617?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1638 reviews

Name: Aroma
link: https://www.google.com/maps/search/Aroma/@38.3926827,21.8292027?authuser=0&hl=zh-TW&entry=ttu
Reviews: 697 reviews

Name: Sweet and Salty
link: https://www.google.com/maps/search/Sweet+and+Salty/@38.3929184,21.828607899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 407 reviews

Name: Jim Tavern Nafpaktos
link: https://www.google.com/maps/search/Jim+Tavern+Nafpaktos/@38.39279090000001,21.819060399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 340 reviews

Name: ON THE WAVE
link: https://www.google.com/maps/search/ON+THE+WAVE/@38.3911831,21.838589499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 259 reviews",http://www.castellocafe.gr/,Castello (Ye Zhu ),https://www.google.com/maps/contrib/100500109282504860091,https://lh5.googleusercontent.com/p/AF1QipNDS3p2edCT95HrXundRRsMf0xmUOzEbO27DKWz=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,09:00-02:00,Open All Days,+30 2634 021925,"Castello, Tsaous tapia, Nafpaktos 303 00Xi La ",,https://www.google.com/maps/place/Castello/data=!4m7!3m6!1s0x135e52912c66ecc1:0xf7987b2380abcf23!8m2!3d38.3945479!4d21.8269359!16s%2Fg%2F11c1nzgv_0!19sChIJwexmLJFSXhMRI8-rgCN7mPc?authuser=0&hl=zh-TW&rclk=1
ChIJV3J92nc0GQ0RuRysuXqajbI,28 Cafe,,False,577,"Name: Brunch Cafe
link: https://www.google.com/maps/search/Brunch+Caf%C3%A9/@38.7088008,-9.134467899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1564 reviews

Name: Quase Cafe
link: https://www.google.com/maps/search/Quase+Caf%C3%A9/@38.7138059,-9.130393699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1488 reviews

Name: Mercearia Castello
link: https://www.google.com/maps/search/Mercearia+Castello/@38.7132527,-9.1330983?authuser=0&hl=zh-TW&entry=ttu
Reviews: 197 reviews

Name: 28 Restaurante
link: https://www.google.com/maps/search/28+Restaurante/@38.7147066,-9.131395099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 173 reviews

Name: Cafe Lissabon
link: https://www.google.com/maps/search/Cafe+Lissabon/@38.7119852,-9.1285802?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.facebook.com/28cafelisboa-173095969514482/,28 Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMnNUIV0DFPR_pLCUa0KgLbHBt-qse9Yh9LSLOH=w408-h544-k-no,Can Ting ,"Can Ting , Zheng Liu Ka Pei Ba , Xue Gao Dian , Gao Bing Dian ",3.8,10:30-19:00,Open All Days,+351 21 886 0119,"28 Cafe, R. de Santa Cruz do Castelo 45, 1100-244 Lisboa, Pu Tao Ya ","Ka Pei Ting , Lu You , Zhuang Xiu , Xiang Kuang , Xian Pai , Bu Jing ",https://www.google.com/maps/place/28+Caf%C3%A9/data=!4m7!3m6!1s0xd193477da7d7257:0xb28d9a7ab9ac1cb9!8m2!3d38.713405!4d-9.132506!16s%2Fg%2F1pp2vbmsp!19sChIJV3J92nc0GQ0RuRysuXqajbI?authuser=0&hl=zh-TW&rclk=1
