place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJF-CVHiMRrhIRGr57KOT8tu0,ETIENNE Coffee & Shop Castres,,False,786,"Name: O'moka
link: https://www.google.com/maps/search/O%27moka/@43.5914867,2.2164663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 258 reviews

Name: Cafe le Glacier
link: https://www.google.com/maps/search/Caf%C3%A9+le+Glacier/@43.605663299999996,2.2412769999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 252 reviews

Name: COULEUR Cafe Castres
link: https://www.google.com/maps/search/COULEUR+Caf%C3%A9+Castres/@43.590783599999995,2.1909473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews

Name: Belle Epoque Castres
link: https://www.google.com/maps/search/Belle+%C3%89poque+Castres/@43.6052621,2.2415146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: Cafe Jean Jaures
link: https://www.google.com/maps/search/Caf%C3%A9+Jean+Jaures/@43.608505,2.2370921999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 221 reviews",http://www.etienne-coffeeshop.com/,ETIENNE Coffee & Shop Castres (Ye Zhu ),https://www.google.com/maps/contrib/112062404133233314205,https://lh5.googleusercontent.com/p/AF1QipMFUw1Q8tFA7z1AH7vI1PLckgLq_zGjkySXr1Fa=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,08:00-19:45,Xing Qi Yi ,+33 5 63 71 74 75,"ETIENNE Coffee & Shop Castres, Place Jean Jaures immeuble des Arcades, 81100 Castres, Fa Guo ","Ke Ke , Song Bing , Nai Xi , Shui , Zhen Zhu ",https://www.google.com/maps/place/ETIENNE+Coffee+%26+Shop+Castres/data=!4m7!3m6!1s0x12ae11231e95e017:0xedb6fce4287bbe1a!8m2!3d43.605502!4d2.242577!16s%2Fg%2F11fhryrcsz!19sChIJF-CVHiMRrhIRGr57KOT8tu0?authuser=0&hl=zh-TW&rclk=1
ChIJl-5d_MIRrhIRTRl0BG9OjXM,Le Palmarium,,False,501,"Name: Company Bar
link: https://www.google.com/maps/search/Company+Bar/@43.603786299999996,2.2453347999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 354 reviews

Name: Le Comptoir
link: https://www.google.com/maps/search/Le+Comptoir/@43.606499799999995,2.2434772?authuser=0&hl=zh-TW&entry=ttu
Reviews: 286 reviews

Name: Belle Epoque Castres
link: https://www.google.com/maps/search/Belle+%C3%89poque+Castres/@43.6052621,2.2415146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: Le Brazil
link: https://www.google.com/maps/search/Le+Brazil/@43.605078999999996,2.2416484999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: Le Miredames Cocktail Bar
link: https://www.google.com/maps/search/Le+Miredames+Cocktail+Bar/@43.606654,2.2431757?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",http://facebook.com/lepalmarium81,Le Palmarium (Ye Zhu ),https://www.google.com/maps/contrib/102807520334107161497,https://lh5.googleusercontent.com/p/AF1QipOknaEvtezgzeGo3z7P87awoE1iFCGFEj1FM8we=w428-h240-k-no,Jiu Ba ,"Jiu Ba , Ka Pei Dian ",4.1,08:00-02:00,Open All Days,+33 5 63 35 36 53,"Le Palmarium, 26 & 28 Pl. Soult, 81100 Castres, Fa Guo ","Jia Ge , Zhuang Qiu , Ke Ren , mojito, DJ, Shui , Zhou Si ",https://www.google.com/maps/place/Le+Palmarium/data=!4m7!3m6!1s0x12ae11c2fc5dee97:0x738d4e6f0474194d!8m2!3d43.6037719!4d2.2456943!16s%2Fg%2F1tczmjgs!19sChIJl-5d_MIRrhIRTRl0BG9OjXM?authuser=0&hl=zh-TW&rclk=1
ChIJb0JyXugRrhIRmsCbLrLcHHo,Champs du Sud,,False,437,"Name: Les Ateliers
link: https://www.google.com/maps/search/Les+Ateliers/@43.6154975,2.268078?authuser=0&hl=zh-TW&entry=ttu
Reviews: 600 reviews

Name: Resto des Halles
link: https://www.google.com/maps/search/Resto+des+Halles/@43.6087969,2.2389711?authuser=0&hl=zh-TW&entry=ttu
Reviews: 531 reviews

Name: La Table des Ateliers
link: https://www.google.com/maps/search/La+Table+des+Ateliers/@43.6023143,2.2533922?authuser=0&hl=zh-TW&entry=ttu
Reviews: 310 reviews

Name: Belle Epoque Castres
link: https://www.google.com/maps/search/Belle+%C3%89poque+Castres/@43.6052621,2.2415146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: Boutique et Salon Le Miredames
link: https://www.google.com/maps/search/Boutique+et+Salon+Le+Miredames/@43.606668899999995,2.2431202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",http://www.champsdusud.com/,Champs du Sud (Ye Zhu ),https://www.google.com/maps/contrib/112221086894898162605,https://lh5.googleusercontent.com/p/AF1QipMmabH0ZWq2hslvltmO9dCeQQVM95UzddU1KlO5=w408-h271-k-no,Cha Yi Guan ,"Cha Yi Guan , Ka Pei Ting , Gao Bing Dian , Can Ting ",4.7,08:00-18:30,"Xing Qi Yi , Xing Qi Ri ",+33 5 63 71 18 93,"Champs du Sud, 3 Rue Beaujeu, 81100 Castres, Fa Guo ","Ta , Xiao Rong , Tian Dian , Can , Gao , Liao Li , Kai Xin , Rong Yan Qiao Ke Li ",https://www.google.com/maps/place/Champs+du+Sud/data=!4m7!3m6!1s0x12ae11e85e72426f:0x7a1cdcb22e9bc09a!8m2!3d43.6047222!4d2.2411111!16s%2Fg%2F1tjry6vr!19sChIJb0JyXugRrhIRmsCbLrLcHHo?authuser=0&hl=zh-TW&rclk=1
ChIJk6MU3ZMTrhIRlMYngrBNC5c,O'moka,,False,258,"Name: ETIENNE Coffee & Shop Castres
link: https://www.google.com/maps/search/ETIENNE+Coffee+%26+Shop+Castres/@43.605502,2.242577?authuser=0&hl=zh-TW&entry=ttu
Reviews: 785 reviews

Name: COULEUR Cafe Castres
link: https://www.google.com/maps/search/COULEUR+Caf%C3%A9+Castres/@43.590783599999995,2.1909473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews

Name: Belle Epoque Castres
link: https://www.google.com/maps/search/Belle+%C3%89poque+Castres/@43.6052621,2.2415146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: O Cafe Gourmand
link: https://www.google.com/maps/search/O+Caf%C3%A9+Gourmand/@43.591194,2.270011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews",https://www.omoka-castres.fr/,O'moka (Ye Zhu ),https://www.google.com/maps/contrib/103972511435102737184,https://lh5.googleusercontent.com/p/AF1QipNwloFMTNsyfDLJL-6rXC9clv5qppaJru3ZiYd7=w408-h305-k-no,Ka Pei Dian ,"Ka Pei Dian , Shou Shi Dian , Kuai Can Dian , Cha Yi Guan ",4.8,08:30-18:00,"Xing Qi Yi , Xing Qi Ri ",+33 5 63 98 07 94,"O'moka, 10 Rue de Melou, 81100 Castres, Fa Guo ","Xiao Rong , Can , Tian Dian , Jia Ge , Ta , Tuan Dui , Bei Zi Dan Gao , Cha Dian ",https://www.google.com/maps/place/O%27moka/data=!4m7!3m6!1s0x12ae1393dd14a393:0x970b4db08227c694!8m2!3d43.5914867!4d2.2164663!16s%2Fg%2F11g0g9tyf2!19sChIJk6MU3ZMTrhIRlMYngrBNC5c?authuser=0&hl=zh-TW&rclk=1
ChIJeVMhJ1sSrhIRqS4ik0ZxD4k,COULEUR Cafe Castres,,False,243,"Name: ETIENNE Coffee & Shop Castres
link: https://www.google.com/maps/search/ETIENNE+Coffee+%26+Shop+Castres/@43.605502,2.242577?authuser=0&hl=zh-TW&entry=ttu
Reviews: 785 reviews

Name: O'moka
link: https://www.google.com/maps/search/O%27moka/@43.5914867,2.2164663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 258 reviews

Name: O Cafe Gourmand
link: https://www.google.com/maps/search/O+Caf%C3%A9+Gourmand/@43.591194,2.270011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Artisan Torrefacteur
link: https://www.google.com/maps/search/Artisan+Torrefacteur/@43.590728999999996,2.1910144?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://couleurcafe81.fr/,COULEUR Cafe Castres (Ye Zhu ),https://www.google.com/maps/contrib/109093049243751003939,https://lh5.googleusercontent.com/p/AF1QipPXf0pMZmrpDp3acBZzWmwdxQIdY5CwLC2lWnfF=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting , Qiao Ke Li Ka Pei Guan , Ka Pei Ji Gong Ying Shang , Wai Dai Ka Pei Zhuan Mai Dian , Ka Pei Fan Mai Ji , Ka Pei Pi Fa Shang , Shou Shi Dian , Zheng Liu Ka Pei Ba , Cha Yi Guan ",4.6,08:30-19:00,Xing Qi Ri ,+33 5 63 75 56 42,"COULEUR Cafe Castres, 20 Rue Henry le Chatelier, 81100 Castres, Fa Guo ","Cha Dian , Jing Pin Dian , Bing Qi Lin , Gao , Xiao Rong , Bai Hui , Xuan Ze , Tuan Dui ",https://www.google.com/maps/place/COULEUR+Caf%C3%A9+Castres/data=!4m7!3m6!1s0x12ae125b27215379:0x890f714693222ea9!8m2!3d43.5907836!4d2.1909473!16s%2Fg%2F11bc6zcpb9!19sChIJeVMhJ1sSrhIRqS4ik0ZxD4k?authuser=0&hl=zh-TW&rclk=1
ChIJv_p0eegRrhIRJvwfjtN1tNk,Belle Epoque Castres,,False,239,"Name: ETIENNE Coffee & Shop Castres
link: https://www.google.com/maps/search/ETIENNE+Coffee+%26+Shop+Castres/@43.605502,2.242577?authuser=0&hl=zh-TW&entry=ttu
Reviews: 785 reviews

Name: Brasserie de l' Europe
link: https://www.google.com/maps/search/Brasserie+de+l%27+Europe/@43.6051669,2.2423362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 571 reviews

Name: Champs du Sud
link: https://www.google.com/maps/search/Champs+du+Sud/@43.6047222,2.2411111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 437 reviews

Name: O'moka
link: https://www.google.com/maps/search/O%27moka/@43.5914867,2.2164663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 258 reviews

Name: Cafe le Glacier
link: https://www.google.com/maps/search/Caf%C3%A9+le+Glacier/@43.605663299999996,2.2412769999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 252 reviews",https://www.belleepoquecastres.fr/,Belle Epoque Castres (Ye Zhu ),https://www.google.com/maps/contrib/102343569142467389108,https://lh5.googleusercontent.com/p/AF1QipN0cb6Vt7Rul7JOlEcDX1gdSB5ZTFy7dEHfaB_c=w408-h725-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",3.6,07:30-19:00,Xing Qi Yi ,+33 5 63 75 81 78,"Belle Epoque Castres, 15 Pl. Jean Jaures, 81100 Castres, Fa Guo ","Bing Qi Lin , Zhuo , Tang Jiang , Sha La , Zhen Zhu , Pan , Shou Shi , Song Bing ",https://www.google.com/maps/place/Belle+%C3%89poque+Castres/data=!4m7!3m6!1s0x12ae11e87974fabf:0xd9b475d38e1ffc26!8m2!3d43.6052621!4d2.2415146!16s%2Fg%2F1ptz58rj8!19sChIJv_p0eegRrhIRJvwfjtN1tNk?authuser=0&hl=zh-TW&rclk=1
ChIJpxR65vATrhIRSroPjC4LXSI,ETIENNE Coffee & Shop Castres Auchan Aushopping,,False,49,"Name: Auchan Hypermarche Castres
link: https://www.google.com/maps/search/Auchan+Hypermarch%C3%A9+Castres/@43.5900263,2.187148?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4387 reviews

Name: O'moka
link: https://www.google.com/maps/search/O%27moka/@43.5914867,2.2164663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 258 reviews

Name: COULEUR Cafe Castres
link: https://www.google.com/maps/search/COULEUR+Caf%C3%A9+Castres/@43.590783599999995,2.1909473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews

Name: Belle Epoque Castres
link: https://www.google.com/maps/search/Belle+%C3%89poque+Castres/@43.6052621,2.2415146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: Aushopping Castres
link: https://www.google.com/maps/search/Aushopping+Castres/@43.589993899999996,2.1871112999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",https://www.etienne-coffeeshop.com/,ETIENNE Coffee & Shop Castres Auchan Aushopping (Ye Zhu ),https://www.google.com/maps/contrib/117047335487076620010,https://lh5.googleusercontent.com/p/AF1QipOJnBmw7MyopGA8xV_PfDgrFWQmoCFN7yMs7cbf=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:00-19:30,Xing Qi Yi ,+33 5 63 62 89 28,"ETIENNE Coffee & Shop Castres Auchan Aushopping, C.C. Aushopping, 10 Rue Albert Calmettes, 81100 Castres, Fa Guo ","Bing Cha , Jia Ge , Sheng Dai ",https://www.google.com/maps/place/ETIENNE+Coffee+%26+Shop+Castres+Auchan+Aushopping/data=!4m7!3m6!1s0x12ae13f0e67a14a7:0x225d0b2e8c0fba4a!8m2!3d43.5898576!4d2.1872002!16s%2Fg%2F11t0vky70t!19sChIJpxR65vATrhIRSroPjC4LXSI?authuser=0&hl=zh-TW&rclk=1
ChIJ5887jOYRrhIRuW2LQxJXQx8,Le Cafe de L' Albinque,,False,34,"Name: Cafe le Glacier
link: https://www.google.com/maps/search/Caf%C3%A9+le+Glacier/@43.605663299999996,2.2412769999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 252 reviews

Name: Belle Epoque Castres
link: https://www.google.com/maps/search/Belle+%C3%89poque+Castres/@43.6052621,2.2415146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: Cafe Jean Jaures
link: https://www.google.com/maps/search/Caf%C3%A9+Jean+Jaures/@43.608505,2.2370921999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 221 reviews

Name: Cafe le Progres
link: https://www.google.com/maps/search/Caf%C3%A9+le+Progr%C3%A8s/@43.6043034,2.246365?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.facebook.com/pg/Le-Caf%25C3%25A9-de-lAlbinque-114952886717754/about/,Le Cafe de L' Albinque (Ye Zhu ),https://www.google.com/maps/contrib/114962339233889331067,https://lh5.googleusercontent.com/p/AF1QipN6NkbVHt8PjhwktLJDSq8LK7Jwezu4fLkvpMoi=w510-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,06:15-20:15,Xing Qi Ri ,+33 5 63 59 02 03,"Le Cafe de L' Albinque, 16 Pl. Pierre Fabre, 81100 Castres, Fa Guo ",Xiao Rong ,https://www.google.com/maps/place/Le+Caf%C3%A9+de+L%27+Albinque/data=!4m7!3m6!1s0x12ae11e68c3bcfe7:0x1f435712438b6db9!8m2!3d43.6088891!4d2.2394326!16s%2Fg%2F11c2pv06yx!19sChIJ5887jOYRrhIRuW2LQxJXQx8?authuser=0&hl=zh-TW&rclk=1
ChIJW9XxLEkQrhIRwJr7MQqXunQ,O Cafe Gourmand,,False,117,"Name: Brasserie Marso
link: https://www.google.com/maps/search/Brasserie+Marso/@43.6041351,2.2466719?authuser=0&hl=zh-TW&entry=ttu
Reviews: 786 reviews

Name: Aux Couleurs Gourmandes
link: https://www.google.com/maps/search/Aux+Couleurs+Gourmandes/@43.497631899999995,2.3959354999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 431 reviews

Name: O'moka
link: https://www.google.com/maps/search/O%27moka/@43.5914867,2.2164663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 258 reviews

Name: Cafe le Glacier
link: https://www.google.com/maps/search/Caf%C3%A9+le+Glacier/@43.605663299999996,2.2412769999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 252 reviews

Name: O' COIN GOURMAND
link: https://www.google.com/maps/search/O%27+COIN+GOURMAND/@43.5928998,2.2175119999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews",,O Cafe Gourmand (Ye Zhu ),https://www.google.com/maps/contrib/116334834844548204270,https://lh5.googleusercontent.com/p/AF1QipNGQRwpdl0RdI-QCV1NHUqZP5GRGO5khNaFuSJz=w408-h240-k-no-pi0-ya343.7143-ro-0-fo100,Pi Jiu Niang Zhi Chang ,"Pi Jiu Niang Zhi Chang , Ka Pei Ting , Fa Guo Can Ting , Can Ting , Cha Yi Guan ",3.8,08:30-19:30,Xing Qi Ri ,+33 5 63 51 29 69,"O Cafe Gourmand, Route de Mazamet, 81100 Castres, Fa Guo ","Jia Ge , Xiao Rong , Can , Dong , Song Bing , Shui , Zhuo ",https://www.google.com/maps/place/O+Caf%C3%A9+Gourmand/data=!4m7!3m6!1s0x12ae10492cf1d55b:0x74ba970a31fb9ac0!8m2!3d43.591194!4d2.270011!16s%2Fg%2F12lk28r8c!19sChIJW9XxLEkQrhIRwJr7MQqXunQ?authuser=0&hl=zh-TW&rclk=1
ChIJCfJA9-cRrhIRdWhvy4QqzBI,Boutique et Salon Le Miredames,,False,9,"Name: ETIENNE Coffee & Shop Castres
link: https://www.google.com/maps/search/ETIENNE+Coffee+%26+Shop+Castres/@43.605502,2.242577?authuser=0&hl=zh-TW&entry=ttu
Reviews: 785 reviews

Name: Le Palmarium
link: https://www.google.com/maps/search/Le+Palmarium/@43.6037719,2.2456943?authuser=0&hl=zh-TW&entry=ttu
Reviews: 501 reviews

Name: Champs du Sud
link: https://www.google.com/maps/search/Champs+du+Sud/@43.6047222,2.2411111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 437 reviews

Name: Le Miredames Cocktail Bar
link: https://www.google.com/maps/search/Le+Miredames+Cocktail+Bar/@43.606654,2.2431757?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Salon De The
link: https://www.google.com/maps/search/Salon+De+The/@43.6032319,2.2396878?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Boutique et Salon Le Miredames (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNOERsqIHOL2C1b90l2rsmUx7XO5y5fj10a3BC4=w408-h306-k-no,Cha Yi Guan ,"Cha Yi Guan , Ji Wei Jiu Jiu Ba , Tong Xing Lian Jiu Ba , Xue Gao Dian , Guo Zhi Dian , Jiu Ba Ya Zuo , Pu Tao Jiu Ba ",4.6,07:00-23:00,Open All Days,+33 5 63 71 38 18,"Boutique et Salon Le Miredames, 1 Pl. Roger Salengro, 81100 Castres, Fa Guo ",,https://www.google.com/maps/place/Boutique+et+Salon+Le+Miredames/data=!4m7!3m6!1s0x12ae11e7f740f209:0x12cc2a84cb6f6875!8m2!3d43.6066689!4d2.2431202!16s%2Fg%2F11b7pys514!19sChIJCfJA9-cRrhIRdWhvy4QqzBI?authuser=0&hl=zh-TW&rclk=1
