place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJIf4qPJb5ojMRIPAwFn5tRxk,Presko Brews,,False,15,"Name: Eyns Restaurant & Cafe
link: https://www.google.com/maps/search/Eyns+Restaurant+%26+Cafe/@13.591997899999999,122.3199267?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Brifer's Brew
link: https://www.google.com/maps/search/Brifer%27s+Brew/@13.593779099999999,122.3230215?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafe Tribu Catanauan
link: https://www.google.com/maps/search/Cafe+Tribu+Catanauan/@13.594478599999999,122.32272289999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Kape Dini
link: https://www.google.com/maps/search/Kape+Dini/@13.593478099999999,122.32191399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Reynaldo's Special Tapsilogan
link: https://www.google.com/maps/search/Reynaldo%27s+Special+Tapsilogan/@13.5920312,122.32232839999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/preskobrews%3Futm_medium%3Dcopy_link,Presko Brews (Ye Zhu ),https://www.google.com/maps/contrib/108349128634258821635,https://lh5.googleusercontent.com/p/AF1QipNJJXQjLtHCNKy_sQEgem0DyC9ijoyxkszOBWMv=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Can Ting ",4.7,10:00-00:00,Open All Days,+63 921 601 7632,"Presko Brews, Brgy 08 Poblacion, Catanauan, 4311 Quezon, Fei Lu Bin ",,https://www.google.com/maps/place/Presko+Brews/data=!4m7!3m6!1s0x33a2f9963c2afe21:0x19476d7e1630f020!8m2!3d13.5900828!4d122.3271429!16s%2Fg%2F11rmq8nxcj!19sChIJIf4qPJb5ojMRIPAwFn5tRxk?authuser=0&hl=zh-TW&rclk=1
ChIJRbxxbxj5ojMRgZDDUBg5YHU,Cafe Roman,,False,8,"Name: Antonio's Place
link: https://www.google.com/maps/search/Antonio%27s+Place/@13.593817,122.32108869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Emmas Restaurant
link: https://www.google.com/maps/search/Emmas+Restaurant/@13.5918046,122.321184?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cafe Tribu Catanauan
link: https://www.google.com/maps/search/Cafe+Tribu+Catanauan/@13.594478599999999,122.32272289999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Kape Dini
link: https://www.google.com/maps/search/Kape+Dini/@13.593478099999999,122.32191399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: KANTO
link: https://www.google.com/maps/search/KANTO/@13.5951814,122.32304699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/caferoman2023,Cafe Roman (Ye Zhu ),https://www.google.com/maps/contrib/115469952473081621800,https://lh5.googleusercontent.com/p/AF1QipObYG_BHQTZutWNK3f-yrnal-JkM7jnxlE_q7qV=w408-h725-k-no,Can Ting ,Can Ting ,5,10:00-22:00,Xing Qi Ri ,+63 966 529 5989,"Cafe Roman, P. Burgos St, Catanauan, 4311 Quezon, Fei Lu Bin ",,https://www.google.com/maps/place/Cafe+Roman/data=!4m7!3m6!1s0x33a2f9186f71bc45:0x7560391850c39081!8m2!3d13.5930407!4d122.3210065!16s%2Fg%2F11k541k068!19sChIJRbxxbxj5ojMRgZDDUBg5YHU?authuser=0&hl=zh-TW&rclk=1
ChIJ03eYbub5ojMRSVflerW_Bl0,Eyns Restaurant & Cafe,,False,6,"Name: LeBrons CoffeeJelly
link: https://www.google.com/maps/search/LeBrons+CoffeeJelly/@13.591615,122.32115479999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Emmas Restaurant
link: https://www.google.com/maps/search/Emmas+Restaurant/@13.5918046,122.321184?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Kape Dini
link: https://www.google.com/maps/search/Kape+Dini/@13.593478099999999,122.32191399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Alon Cafe Catanauan
link: https://www.google.com/maps/search/Alon+Cafe+Catanauan/@13.594152999999999,122.3256242?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Eunilo's Restaurant
link: https://www.google.com/maps/search/Eunilo%E2%80%99s+Restaurant/@13.593014,122.321352?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://fb.com/eyns.coffeebar,Eyns Restaurant & Cafe (Ye Zhu ),https://www.google.com/maps/contrib/112808979992920185599,https://lh5.googleusercontent.com/p/AF1QipOOyGu97satNgJb1EqBrPdSEke9piWyPelFWohM=w408-h408-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,06:00-23:00,Open All Days,+63 917 841 7553,"Eyns Restaurant & Cafe, 5 Pedro, P. Abella St, Brgy. 2, Catanauan, 4311 Quezon, Fei Lu Bin ",,https://www.google.com/maps/place/Eyns+Restaurant+%26+Cafe/data=!4m7!3m6!1s0x33a2f9e66e9877d3:0x5d06bfb57ae55749!8m2!3d13.5919979!4d122.3199267!16s%2Fg%2F11sgr3611g!19sChIJ03eYbub5ojMRSVflerW_Bl0?authuser=0&hl=zh-TW&rclk=1
ChIJbfAOKcX5ojMRDKcunNGUncc,Brifer's Brew,,False,4,"Name: Presko Brews
link: https://www.google.com/maps/search/Presko+Brews/@13.5900828,122.3271429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: LeBrons CoffeeJelly
link: https://www.google.com/maps/search/LeBrons+CoffeeJelly/@13.591615,122.32115479999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Dr. Brew
link: https://www.google.com/maps/search/Dr.+Brew/@13.964793199999999,122.5390378?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Favrite Hideout
link: https://www.google.com/maps/search/Favrite+Hideout/@13.477929800000002,122.0256903?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: RME Master's COFFEE
link: https://www.google.com/maps/search/RME+Master%27s+COFFEE/@13.669062199999999,122.30077019999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/BrifersBrew%3Fmibextid%3DLQQJ4d,Brifer's Brew (Ye Zhu ),https://www.google.com/maps/contrib/103287375306344540371,https://lh5.googleusercontent.com/p/AF1QipME5_WplRfga20PK91VRv7tuFja1_tZ3Rm8A1Hl=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,10:00-22:00,Xing Qi San ,+63 956 887 8807,"Brifer's Brew, A. Bonifacio St, 117, Catanauan, 4311 Quezon, Fei Lu Bin ",,https://www.google.com/maps/place/Brifer%27s+Brew/data=!4m7!3m6!1s0x33a2f9c5290ef06d:0xc79d94d19c2ea70c!8m2!3d13.5937791!4d122.3230215!16s%2Fg%2F11twtmwzc6!19sChIJbfAOKcX5ojMRDKcunNGUncc?authuser=0&hl=zh-TW&rclk=1
ChIJ2_rwykf5ojMRwC14zHg4Zjs,Dash Coffee,,False,,,https://www.facebook.com/profile.php%3Fid%3D61550633293200%26mibextid%3DZbWKwL,Dash Coffee (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gE2dMAdzNqtmYlTErxA_EA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=243.45807&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"Dash Coffee, Brgy 7, Catanauan, Quezon, Fei Lu Bin ",,https://www.google.com/maps/place/Dash+Coffee/data=!4m7!3m6!1s0x33a2f947caf0fadb:0x3b663878cc782dc0!8m2!3d13.5923501!4d122.3230363!16s%2Fg%2F11vl8d23v_!19sChIJ2_rwykf5ojMRwC14zHg4Zjs?authuser=0&hl=zh-TW&rclk=1
ChIJTTZPZYD5ojMR8xnAc7QGkVI,Beans and Beers,,False,,"Name: Presko Brews
link: https://www.google.com/maps/search/Presko+Brews/@13.5900828,122.3271429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Eyns Restaurant & Cafe
link: https://www.google.com/maps/search/Eyns+Restaurant+%26+Cafe/@13.591997899999999,122.3199267?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Bobalab Milktea Station
link: https://www.google.com/maps/search/Bobalab+Milktea+Station/@13.593729199999999,122.3265821?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Cafe Tribu Catanauan
link: https://www.google.com/maps/search/Cafe+Tribu+Catanauan/@13.594478599999999,122.32272289999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Bakasyunan
link: https://www.google.com/maps/search/Bakasyunan/@13.6335369,122.24110759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/Beans-Beers-110752244743424,Beans and Beers (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sYw3ZIfoT_erbWfH5ZcjYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=260.3352&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,,,Open All Days,+63 917 841 7553,"Beans and Beers, 5 Don Pedro, P. Abella St, Brgy. 2, Catanauan, 4311 Quezon, Fei Lu Bin ",,https://www.google.com/maps/place/Beans+and+Beers/data=!4m7!3m6!1s0x33a2f980654f364d:0x529106b473c019f3!8m2!3d13.5919966!4d122.3199253!16s%2Fg%2F11sfg8my8q!19sChIJTTZPZYD5ojMR8xnAc7QGkVI?authuser=0&hl=zh-TW&rclk=1
ChIJ5yf1vSj4ojMRg81FqzUbUJU,LeBrons CoffeeJelly,,False,8,"Name: Eyns Restaurant & Cafe
link: https://www.google.com/maps/search/Eyns+Restaurant+%26+Cafe/@13.591997899999999,122.3199267?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Brifer's Brew
link: https://www.google.com/maps/search/Brifer%27s+Brew/@13.593779099999999,122.3230215?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafe Tribu Catanauan
link: https://www.google.com/maps/search/Cafe+Tribu+Catanauan/@13.594478599999999,122.32272289999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: VENCILL CUISINE
link: https://www.google.com/maps/search/VENCILL+CUISINE/@13.5929225,122.32152079999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Max Mango
link: https://www.google.com/maps/search/Max+Mango/@13.5959383,122.32280159999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,LeBrons CoffeeJelly (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO4jFQ2St53rdY9Q-QKeA13_g5R6Lrr4axaLSDs=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,,Open All Days,,"LeBrons CoffeeJelly, 20 Boncan St, Catanauan, 4311 Quezon, Fei Lu Bin ",,https://www.google.com/maps/place/LeBrons+CoffeeJelly/data=!4m7!3m6!1s0x33a2f828bdf527e7:0x95501b35ab45cd83!8m2!3d13.591615!4d122.3211548!16s%2Fg%2F11g6mw9w4j!19sChIJ5yf1vSj4ojMRg81FqzUbUJU?authuser=0&hl=zh-TW&rclk=1
ChIJLSVhZMn5ojMR3ay9anaCOz8,Bobalab Milktea Station,,False,6,"Name: Cafe Tribu Catanauan
link: https://www.google.com/maps/search/Cafe+Tribu+Catanauan/@13.594478599999999,122.32272289999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cool & Green Milktea Station
link: https://www.google.com/maps/search/Cool+%26+Green+Milktea+Station/@13.592225599999999,122.3212873?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Alon Cafe Catanauan
link: https://www.google.com/maps/search/Alon+Cafe+Catanauan/@13.594152999999999,122.3256242?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Max Mango
link: https://www.google.com/maps/search/Max+Mango/@13.5959383,122.32280159999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Bobalab Milktea Station (Ye Zhu ),https://www.google.com/maps/contrib/113023119768996612468,https://lh5.googleusercontent.com/p/AF1QipMeY0iSg8sMZjva5C7pH9rpafl1rvuYOPp-ONNh=w408-h272-k-no,Cha Xie Dian ,"Cha Xie Dian , Ka Pei Dian ",4.7,10:00-21:00,Open All Days,,"Bobalab Milktea Station, Don Manuel Abella Dr, Catanauan, 4311 Quezon, Fei Lu Bin ",,https://www.google.com/maps/place/Bobalab+Milktea+Station/data=!4m7!3m6!1s0x33a2f9c96461252d:0x3f3b82766abdacdd!8m2!3d13.5937292!4d122.3265821!16s%2Fg%2F11q_pbngzs!19sChIJLSVhZMn5ojMR3ay9anaCOz8?authuser=0&hl=zh-TW&rclk=1
ChIJJSkW1wj5ojMRsGLqaby7MYQ,Cafe Tribu Catanauan,,False,4,"Name: Presko Brews
link: https://www.google.com/maps/search/Presko+Brews/@13.5900828,122.3271429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Bobalab Milktea Station
link: https://www.google.com/maps/search/Bobalab+Milktea+Station/@13.593729199999999,122.3265821?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Cool & Green Milktea Station
link: https://www.google.com/maps/search/Cool+%26+Green+Milktea+Station/@13.592225599999999,122.3212873?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Quarantea catanauan
link: https://www.google.com/maps/search/Quarantea+catanauan/@13.6320091,122.2433036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Beans and Beers
link: https://www.google.com/maps/search/Beans+and+Beers/@13.5919966,122.31992530000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Tribu Catanauan (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AAwl0-r2M6AmXSLc_6O33w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.08727&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,4.8,08:00-20:00,Open All Days,,"Cafe Tribu Catanauan, 10 Quezon Ave, Catanauan, Quezon, Fei Lu Bin ",,https://www.google.com/maps/place/Cafe+Tribu+Catanauan/data=!4m7!3m6!1s0x33a2f908d7162925:0x8431bbbc69ea62b0!8m2!3d13.5944786!4d122.3227229!16s%2Fg%2F11h71fymn1!19sChIJJSkW1wj5ojMRsGLqaby7MYQ?authuser=0&hl=zh-TW&rclk=1
ChIJtwopW7f5ojMRfZBXIhXAKvk,Kape Dini,,False,3,"Name: Antonio's Place
link: https://www.google.com/maps/search/Antonio%27s+Place/@13.593817,122.32108869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Pan.Pizzeria
link: https://www.google.com/maps/search/Pan.Pizzeria/@13.5915435,122.32919670000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Kainan sa Sampalok
link: https://www.google.com/maps/search/Kainan+sa+Sampalok/@13.596437499999999,122.32266339999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: KANTO
link: https://www.google.com/maps/search/KANTO/@13.5951814,122.32304699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: P squared
link: https://www.google.com/maps/search/P+squared/@13.5935271,122.32661680000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Kape Dini (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPcNtF8sBdxzVwRKIBAvZeHc3q_d2b3mpr_W2gM=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,+63 977 045 3765,"Kape Dini, 23 Gov Perez St, Catanauan, 4311 Quezon, Fei Lu Bin ",,https://www.google.com/maps/place/Kape+Dini/data=!4m7!3m6!1s0x33a2f9b75b290ab7:0xf92ac0152257907d!8m2!3d13.5934781!4d122.321914!16s%2Fg%2F11pqy4yfpq!19sChIJtwopW7f5ojMRfZBXIhXAKvk?authuser=0&hl=zh-TW&rclk=1
