place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJuY8iZWQABDQR8jxci4mKPFc,Cafe Causette,,False,401,"Name: Cafe Landmark
link: https://www.google.com/maps/search/Caf%C3%A9+Landmark/@22.281081399999998,114.1581367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 966 reviews

Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.2831586,114.1590378?authuser=0&hl=zh-TW&entry=ttu
Reviews: 461 reviews

Name: Cafe Crepe
link: https://www.google.com/maps/search/Cafe+Crepe/@22.281532199999997,114.1558914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 342 reviews

Name: Chart Coffee
link: https://www.google.com/maps/search/Chart+Coffee/@22.283943999999998,114.1555478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews",https://www.mandarinoriental.com/en/hong-kong/victoria-harbour/dine/cafe-causette%3Fsrc%3Dloc.dir.mohkg.ggl,Cafe Causette (Ye Zhu ),https://www.google.com/maps/contrib/118339856557100062218,https://lh5.googleusercontent.com/p/AF1QipNmhkcpC5uKhFavlzk73j8McjAv0B2C02x0-pRZ=w408-h271-k-no,Ka Pei Dian ,"Ka Pei Dian , Cha Yi Guan ",4.4,06:30-22:30,Open All Days,2825 4005,"M/F, Cafe Causette, Mandarin Oriental Hong Kong, 5 Connaught Rd Central, Central","Jiu Dian , Hai Nan Ji Fan , Sha Lu , Zhi Shi Dan Gao , Wan Can , Can Yin , Yi Dao Cai , scone",https://www.google.com/maps/place/Caf%C3%A9+Causette/data=!4m7!3m6!1s0x3404006465228fb9:0x573c8a898b5c3cf2!8m2!3d22.2819214!4d114.1594774!16s%2Fg%2F1tt1dvc5!19sChIJuY8iZWQABDQR8jxci4mKPFc?authuser=0&hl=zh-TW&rclk=1
ChIJhwLnCmIABDQRT11Tvj8vaJQ,Uncle Russ Coffee,,False,120,"Name: Cafe Landmark
link: https://www.google.com/maps/search/Caf%C3%A9+Landmark/@22.281081399999998,114.1581367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 966 reviews

Name: Kind of Brew
link: https://www.google.com/maps/search/Kind+of+Brew/@22.2864801,114.1404891?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Brewjob Star Ferry
link: https://www.google.com/maps/search/Brewjob+Star+Ferry/@22.287031499999998,114.1612076?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",http://unclerusscoffee.com.hk/,Uncle Russ Coffee (Ye Zhu ),https://www.google.com/maps/contrib/108054461179167580920,https://lh5.googleusercontent.com/p/AF1QipNaIVyo2YWX4Pe_-h5TmRiCdhr5gQIw0UJJUauV=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,06:30-21:00,Open All Days,2869 8339,"Shop kd, Uncle Russ Coffee lower deck, Zhong Huan 6Hao Du Lun Ma Tou  Man Kwong St, Central","Jia Ge , latte",https://www.google.com/maps/place/Uncle+Russ+Coffee/data=!4m7!3m6!1s0x340400620ae70287:0x94682f3fbe535d4f!8m2!3d22.2873797!4d114.1603311!16s%2Fg%2F1tsjb858!19sChIJhwLnCmIABDQRT11Tvj8vaJQ?authuser=0&hl=zh-TW&rclk=1
ChIJLYG88SEBBDQRK9W7mH16gus,Cofflow Shun Liu Jing Pin Ka Pei ,,False,118,"Name: PHVLO HATCH
link: https://www.google.com/maps/search/PHVLO+HATCH/@22.3279498,114.1645569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 177 reviews

Name: DOZY
link: https://www.google.com/maps/search/DOZY/@22.327826599999998,114.1630916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: BOLD Coffee
link: https://www.google.com/maps/search/BOLD+Coffee/@22.3270476,114.1644456?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Flow
link: https://www.google.com/maps/search/Flow/@22.3273652,114.1628777?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",https://www.cofflow.com/,Cofflow Shun Liu Jing Pin Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/105584754717186269603,https://lh5.googleusercontent.com/p/AF1QipPYZ-_4Aj5TD_V02DDbRJULpzn09Pe4w5LciR2O=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,10:00-18:00,Open All Days,,Shen Shui Bu Huang Zhu Jie 2cHao Cofflow Shun Liu Jing Pin Ka Pei ,"Bei Guo , Niu You Guo , Chao Dan , Huai Jiu , Sheng Tong , Yun Ni Na Xue Gao , Tie , Niu Ba , Bei Cha ",https://www.google.com/maps/place/Cofflow+%E9%A0%86%E6%B5%81%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x34040121f1bc812d:0xeb827a7d98bbd52b!8m2!3d22.3268363!4d114.1639344!16s%2Fg%2F11mhgq_n5x!19sChIJLYG88SEBBDQRK9W7mH16gus?authuser=0&hl=zh-TW&rclk=1
ChIJfaiKmLgBBDQRaPbFvfe64hw,COSHA,,False,64,"Name: The Cupping Room (Zhong Huan )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E4%B8%AD%E7%92%B0%29/@22.283113999999998,114.15456309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 717 reviews

Name: Hazel & Hershey Coffee Roasters
link: https://www.google.com/maps/search/Hazel+%26+Hershey+Coffee+Roasters/@22.282152800000002,114.1519694?authuser=0&hl=zh-TW&entry=ttu
Reviews: 436 reviews

Name: Coco Espresso
link: https://www.google.com/maps/search/Coco+Espresso/@22.282784499999998,114.1550599?authuser=0&hl=zh-TW&entry=ttu
Reviews: 258 reviews

Name: Knockbox Coffee Company
link: https://www.google.com/maps/search/Knockbox+Coffee+Company/@22.282781000000004,114.15505940000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: h a r a k a k o (Sheung Wan)
link: https://www.google.com/maps/search/h+a+r+a+k+a+k+o+%28Sheung+Wan%29/@22.2865258,114.14709140000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews",https://instagram.com/cosha.hk,COSHA (Ye Zhu ),https://www.google.com/maps/contrib/107426108972607697155,https://lh5.googleusercontent.com/p/AF1QipNgRSnDhG1LoBEa7gc73I5QOvDf0SwmwrvW0Tws=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,11:00-18:00,Open All Days,6823 9299,"COSHA, 61 Elgin St, Mid-Levels","smoothie, Suan Zhong , Niu You Guo , Zha Ji , Shui Bo Dan , Yan Se , Niu Jiao Bao , Wo Fu ",https://www.google.com/maps/place/COSHA/data=!4m7!3m6!1s0x340401b8988aa87d:0x1ce2baf7bdc5f668!8m2!3d22.2808575!4d114.1528427!16s%2Fg%2F11nx3k0drf!19sChIJfaiKmLgBBDQRaPbFvfe64hw?authuser=0&hl=zh-TW&rclk=1
ChIJY3GJYRsBBDQRsIlLByZEFu0,2 Soon Cafe,,False,45,,https://www.instagram.com/2soon_cafe/,2 Soon Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102315033756913602137,https://lh5.googleusercontent.com/p/AF1QipOFpgkG437bWngOdLizCPBhlIuSw4tRB8EWOQeg=w408-h375-k-no,Ka Pei Ting ,"Ka Pei Ting , Ji Wei Jiu Jiu Ba , Shui Yan Hu Ba , Can Ting ",3.8,11:30-23:00,Open All Days,5663 5003,"2 Soon Cafe, 324 Sai Yeung Choi St N, Mong Kok","Fu Te Jia , Ji Na Bang , Zhuan , Niu You Guo , Yun Ni Na Xue Gao , Yan San Wen Yu , Tong Fen , Tie Guan Yin , Lian Jia , Bai Jiu ",https://www.google.com/maps/place/2+Soon+Cafe/data=!4m7!3m6!1s0x3404011b61897163:0xed164426074b89b0!8m2!3d22.3261859!4d114.1687033!16s%2Fg%2F11tp51fly1!19sChIJY3GJYRsBBDQRsIlLByZEFu0?authuser=0&hl=zh-TW&rclk=1
ChIJPYZmeB4BBDQRsJq9eQ1u5Do,ohm... cafe and bar,,False,43,"Name: DOZY
link: https://www.google.com/maps/search/DOZY/@22.327826599999998,114.1630916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: KOKONI
link: https://www.google.com/maps/search/KOKONI/@22.327672,114.163713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: OMA Specialty Coffee
link: https://www.google.com/maps/search/OMA+Specialty+Coffee/@22.2789431,114.1927089?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Flow
link: https://www.google.com/maps/search/Flow/@22.3273652,114.1628777?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Amuse
link: https://www.google.com/maps/search/Amuse/@22.334681,114.16179299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",https://www.instagram.com/ohm_industries/,ohm... cafe and bar (Ye Zhu ),https://www.google.com/maps/contrib/102600531433282795387,https://lh5.googleusercontent.com/p/AF1QipP8KUdvP4U7_ZRFcO3gudWyrEv-hGjZjYcyRKud=w426-h240-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Jiu Ba ",4.8,15:00-00:00,Xing Qi Er ,6146 7930,"Hao Di Xia  ohm... cafe and bar, 152 Ru Zhou Jie Shen Shui Bu ","cocktail, Yi Fen , Niu Li , Bei , Ka Pei , Ye Wan , Jia Qian , Xiao Shi , Tian , Jiang Zhi ",https://www.google.com/maps/place/ohm...+cafe+and+bar/data=!4m7!3m6!1s0x3404011e7866863d:0x3ae46e0d79bd9ab0!8m2!3d22.328568!4d114.163493!16s%2Fg%2F11smb37y0c!19sChIJPYZmeB4BBDQRsJq9eQ1u5Do?authuser=0&hl=zh-TW&rclk=1
ChIJcVx-sGcABDQRMEgF-m34KQA,Just Shot Coffee,,False,32,"Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.2776304,114.1644091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 570 reviews

Name: Cova Caffe (Pacific Place)
link: https://www.google.com/maps/search/Cova+Caffe+%28Pacific+Place%29/@22.2775373,114.1659655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 172 reviews

Name: Fuel Espresso Pacific Place
link: https://www.google.com/maps/search/Fuel+Espresso+Pacific+Place/@22.2777447,114.1656855?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Cest La B
link: https://www.google.com/maps/search/Cest+La+B/@22.2776447,114.1653936?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Dolce 88
link: https://www.google.com/maps/search/Dolce+88/@22.2776616,114.1662015?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",http://www.greatfoodhall.com/,Just Shot Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMvgj45XL2AaBwBnDtPZnxGhRAsgVp1W2udB5_R=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,10:00-22:00,Open All Days,2918 9986,"Just Shot Coffee great food hall Pacific Place, Admiralty","Dou , Bao Shi , Xuan Ze ",https://www.google.com/maps/place/Just+Shot+Coffee/data=!4m7!3m6!1s0x34040067b07e5c71:0x29f86dfa054830!8m2!3d22.2777225!4d114.1651774!16s%2Fg%2F11c1xj7645!19sChIJcVx-sGcABDQRMEgF-m34KQA?authuser=0&hl=zh-TW&rclk=1
ChIJIXRPIwwBBDQRaOgZ7uCqX5Y,Craft Coffee Roaster (Wan Chai),,False,24,"Name: Crew (Wan Zi )
link: https://www.google.com/maps/search/Crew+%28%E7%81%A3%E4%BB%94%29/@22.2754402,114.1713133?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Joint
link: https://www.google.com/maps/search/Joint/@22.277133799999998,114.17760829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 95 reviews

Name: N1 Coffee & Co. (Wan Chai)
link: https://www.google.com/maps/search/N1+Coffee+%26+Co.+%28Wan+Chai%29/@22.279110499999998,114.1761635?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews

Name: Coffeelin Espresso (Wan Chai)
link: https://www.google.com/maps/search/Coffeelin+Espresso+%28Wan+Chai%29/@22.278468,114.172259?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Alley Coffee
link: https://www.google.com/maps/search/Alley+Coffee/@22.2741005,114.17427509999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews",http://craftcoffeeroaster.hk/,Craft Coffee Roaster (Wan Chai) (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPrsFq5nPuYZ9ohXccOduX3tniEXHZVcbIvMlgV=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,09:00-18:00,Open All Days,5109 6770,"G/F, Shop B1, Craft Coffee Roaster (Wan Chai), Jing Xin Shang Ye Da Sha 4-6 Morrison Hill Rd, Wan Chai",Ka Pei Shi ,https://www.google.com/maps/place/Craft+Coffee+Roaster+%28Wan+Chai%29/data=!4m7!3m6!1s0x3404010c234f7421:0x965faae0ee19e868!8m2!3d22.2777794!4d114.1796289!16s%2Fg%2F11tn2rz5db!19sChIJIXRPIwwBBDQRaOgZ7uCqX5Y?authuser=0&hl=zh-TW&rclk=1
ChIJYS0I2FD9AzQRXlew_-zCKLw,Feng Huang Ka Pei  Phoenix Coffee Roastery,,False,6,"Name: Island Table Grocer Cafe
link: https://www.google.com/maps/search/Island+Table+Grocer+Cafe/@22.283938499999998,114.03888289999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 188 reviews

Name: Second Serve
link: https://www.google.com/maps/search/Second+Serve/@22.2853547,114.03748809999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: Tai Ping Yang Ka Pei 
link: https://www.google.com/maps/search/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/@22.2391667,114.1527778?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Lou
link: https://www.google.com/maps/search/Lou/@22.283319199999998,114.0385536?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.bikecoffeeman.com/,Feng Huang Ka Pei  Phoenix Coffee Roastery (Ye Zhu ),https://www.google.com/maps/contrib/108250094991121665085,https://lh5.googleusercontent.com/p/AF1QipM08jIvG66Of5yL93CNPoKkf28Lcrdd3HvTR2Ej=w408-h544-k-no,Ka Pei Hong Bei Shang ,"Ka Pei Hong Bei Shang , Ka Pei Dian , Service establishment",4.7,,Open All Days,6134 0920,,,https://www.google.com/maps/place/%E9%B3%B3%E5%87%B0%E5%92%96%E5%95%A1+Phoenix+Coffee+Roastery/data=!4m7!3m6!1s0x3403fd50d8082d61:0xbc28c2ecffb0575e!8m2!3d22.2859536!4d114.0413428!16s%2Fg%2F11j74gwl2r!19sChIJYS0I2FD9AzQRXlew_-zCKLw?authuser=0&hl=zh-TW&rclk=1
ChIJZ9a79e4BBDQRAcQZVDyAOLg,KOKONI,,False,99,"Name: COFFEE matters
link: https://www.google.com/maps/search/COFFEE+matters/@22.3279312,114.1633552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: DOZY
link: https://www.google.com/maps/search/DOZY/@22.327826599999998,114.1630916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: BOLD Coffee
link: https://www.google.com/maps/search/BOLD+Coffee/@22.3270476,114.1644456?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Flow
link: https://www.google.com/maps/search/Flow/@22.3273652,114.1628777?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",,KOKONI (Ye Zhu ),https://www.google.com/maps/contrib/117182734240310363652,https://lh5.googleusercontent.com/p/AF1QipObn5FOZtip7_h-eT3_ZxM89tQ1S0oRzlfyepW5=w408-h485-k-no,Ka Pei Dian ,Ka Pei Dian ,3.9,12:00-20:00,Open All Days,,Shen Shui Bu Ji Long Jie 156Hao KOKONI,"Mo Cha , Tu Si , Chong Wu , Dou Fu , Tian , Dan Gao Juan , Yan Mai Nai , Kou Gan , Zhi Ma , Bei ",https://www.google.com/maps/place/KOKONI/data=!4m7!3m6!1s0x340401eef5bbd667:0xb838803c5419c401!8m2!3d22.327672!4d114.163713!16s%2Fg%2F11n007j_04!19sChIJZ9a79e4BBDQRAcQZVDyAOLg?authuser=0&hl=zh-TW&rclk=1
