place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ0RHl96QBBDQRwonxai1i208,Pici (Jian Sha Ju ),,False,768,"Name: Spasso
link: https://www.google.com/maps/search/Spasso/@22.2980941,114.1784861?authuser=0&hl=zh-TW&entry=ttu
Reviews: 637 reviews

Name: The Point
link: https://www.google.com/maps/search/The+Point/@22.299936400000004,114.1727839?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews

Name: GUSTO TST
link: https://www.google.com/maps/search/GUSTO+TST/@22.2975648,114.1764939?authuser=0&hl=zh-TW&entry=ttu
Reviews: 246 reviews

Name: Palco Italian Ristorante
link: https://www.google.com/maps/search/Palco+Italian+Ristorante/@22.294655799999997,114.1648632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Pici (Tai Gu Fang )
link: https://www.google.com/maps/search/Pici+%28%E5%A4%AA%E5%8F%A4%E5%9D%8A%29/@22.2874873,114.212226?authuser=0&hl=zh-TW&entry=ttu
Reviews: 127 reviews",https://pici.hk/,Pici (Jian Sha Ju ) (Ye Zhu ),https://www.google.com/maps/contrib/117537134188474377926,https://lh5.googleusercontent.com/p/AF1QipMToIUOwodj7KGD88ARJ_iGnu9EsaGA_vfJMJtP=w408-h269-k-no,Yi Da Li Can Ting ,Yi Da Li Can Ting ,4.5,12:00-22:00,Open All Days,2771 2231,"Di Pu , Pici (Jian Sha Ju )Wen Sha Da Sha  29-31, Chatham Road South Entrance on Hart Avenue, Chatham Rd S, Tsim Sha Tsui","Song Lu , Dan Ya , Fei , Nai Dong ",https://www.google.com/maps/place/Pici+%28%E5%B0%96%E6%B2%99%E5%92%80%29/data=!4m7!3m6!1s0x340401a4f7e511d1:0x4fdb622d6af189c2!8m2!3d22.2979041!4d114.1753096!16s%2Fg%2F11h12rtv84!19sChIJ0RHl96QBBDQRwonxai1i208?authuser=0&hl=zh-TW&rclk=1
ChIJwZnLKgTN2EcRTJ014O_D5rU,Coffee Republic Chatham,,False,698,"Name: Muffin Break
link: https://www.google.com/maps/search/Muffin+Break/@51.3832181,0.5256687999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 343 reviews

Name: Jesse Cafe
link: https://www.google.com/maps/search/Jesse+Cafe/@51.384029899999994,0.5260294999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 198 reviews

Name: Cafe Nucleus Lounge
link: https://www.google.com/maps/search/Caf%C3%A9+Nucleus+Lounge/@51.3837883,0.5241409?authuser=0&hl=zh-TW&entry=ttu
Reviews: 188 reviews

Name: Coffee House
link: https://www.google.com/maps/search/Coffee+House/@51.3828707,0.525036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Blueberry Lounge
link: https://www.google.com/maps/search/Blueberry+Lounge/@51.3835025,0.5237933?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews",https://coffeerepublic.co.uk/,Coffee Republic Chatham (Ye Zhu ),https://www.google.com/maps/contrib/113981273960348824314,https://lh5.googleusercontent.com/p/AF1QipODhymdtiTniAuRni6Y0bDpEebgXsImxMoRONdS=w408-h240-k-no-pi-0-ya37.000004-ro-0-fo100,Ka Pei Dian ,Ka Pei Dian ,4.2,08:00-17:00,Open All Days,+44 1634 402293,"Coffee Republic Chatham, 185-187 Military Rd, Chatham ME4 4ASYing Guo ","Dan Gao , Na Tie , atmosphere, Zhuo , Ke Ke , Qing Jie , Qian , Jia Zhi , Juan Bing ",https://www.google.com/maps/place/Coffee+Republic+Chatham/data=!4m7!3m6!1s0x47d8cd042acb99c1:0xb5e6c3efe0359d4c!8m2!3d51.382736!4d0.5254464!16s%2Fg%2F11c3sr0xk3!19sChIJwZnLKgTN2EcRTJ014O_D5rU?authuser=0&hl=zh-TW&rclk=1
ChIJQ3xhAu8ABDQREsb88QAZAB8,Tan Zi San Ge Yun Nan Mi Xian ,,False,638,"Name: Tan Zi Yun Nan Mi Xian 
link: https://www.google.com/maps/search/%E8%AD%9A%E4%BB%94%E9%9B%B2%E5%8D%97%E7%B1%B3%E7%B7%9A/@22.300031699999998,114.1757839?authuser=0&hl=zh-TW&entry=ttu
Reviews: 340 reviews

Name: Tan Zi Yun Nan Mi Xian 
link: https://www.google.com/maps/search/%E8%AD%9A%E4%BB%94%E9%9B%B2%E5%8D%97%E7%B1%B3%E7%B7%9A/@22.2984838,114.16829659999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Tan Zi San Ge Mi Xian 
link: https://www.google.com/maps/search/%E8%AD%9A%E4%BB%94%E4%B8%89%E5%93%A5%E7%B1%B3%E7%B7%9A/@22.316553000000003,114.2135071?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: La Jiao Zi Yun Nan Mi Xian 
link: https://www.google.com/maps/search/%E8%BE%A3%E6%A4%92%E4%BB%94%E9%9B%B2%E5%8D%97%E7%B1%B3%E7%B7%9A/@22.297361,114.1751499?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.tjsamgor.com/,Tan Zi San Ge Yun Nan Mi Xian  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP08lMbambrdvSbhKJ2bUcJmYEO9sI5m5H89LBx=w408-h306-k-no,Zhong Shi Mian Shi Dian ,"Zhong Shi Mian Shi Dian , Zhong Can Guan ",3.8,11:00-22:00,Open All Days,2311 7663,"Tan Zi San Ge Yun Nan Mi Xian Xing Fu Zhong Xin  Unit 6, 7 and 8 , Upper Ground, 92 Granville Rd, Tsim Sha Tsui East","Jia Qian , Xiang Liao , Suan La , Wan , Zuo Wei , Yin Pin , Fan Qie Tang , Ji Yi , Han ",https://www.google.com/maps/place/%E8%AD%9A%E4%BB%94%E4%B8%89%E5%93%A5%E9%9B%B2%E5%8D%97%E7%B1%B3%E7%B7%9A/data=!4m7!3m6!1s0x340400ef02617c43:0x1f001900f1fcc612!8m2!3d22.3001854!4d114.1766062!16s%2Fg%2F1hc2f7tkg!19sChIJQ3xhAu8ABDQREsb88QAZAB8?authuser=0&hl=zh-TW&rclk=1
ChIJDSIH2h1WJYgRORGkvemMbj8,Tim Hortons,,False,538,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@42.386311600000006,-82.2058898?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1211 reviews

Name: Wimpy's Diner
link: https://www.google.com/maps/search/Wimpy%27s+Diner/@42.4019224,-82.2033771?authuser=0&hl=zh-TW&entry=ttu
Reviews: 504 reviews

Name: Hungry Man
link: https://www.google.com/maps/search/Hungry+Man/@42.393363799999996,-82.2086364?authuser=0&hl=zh-TW&entry=ttu
Reviews: 464 reviews

Name: McDonald's
link: https://www.google.com/maps/search/McDonald%E2%80%99s/@42.3478558,-82.1822847?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews",http://locations.timhortons.ca/on/chatham/500-bloomfield-rd,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/118415570697990830331,https://lh5.googleusercontent.com/p/AF1QipNkTOQIgTWiogBq8wu04Tt9W1MipMsFbkP_Rhci=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.8,05:00-22:00,"Xing Qi Yi , Xing Qi Ri ",+1 519-352-0946,"Tim Hortons, 500 Bloomfield Rd Bet, Chatham, ON L7M 5J5Jia Na Da ","De Lai Su , Bei Guo , Tian Tian Quan , San Ming Zhi , Chuang , Zhi Fu , Mian Bao , Yu Shi , Bing ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x8825561dda07220d:0x3f6e8ce9bda41139!8m2!3d42.379505!4d-82.2178026!16s%2Fg%2F1tl4dnmj!19sChIJDSIH2h1WJYgRORGkvemMbj8?authuser=0&hl=zh-TW&rclk=1
ChIJ38usWO4ABDQR_hYw2raGXVs,Park cafe,,False,528,"Name: The Market
link: https://www.google.com/maps/search/The+Market/@22.300649999999997,114.179772?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1537 reviews

Name: Cafe (Hyatt Regency Hong Kong, Tsim Sha Tsui)
link: https://www.google.com/maps/search/Cafe+%28Hyatt+Regency+Hong+Kong%2C+Tsim+Sha+Tsui%29/@22.297456999999998,114.17364200000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 456 reviews

Name: Yuan Lin Ge 
link: https://www.google.com/maps/search/%E5%9C%92%E6%9E%97%E9%96%A3/@22.3028545,114.1695175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 363 reviews

Name: Cafe on M
link: https://www.google.com/maps/search/Caf%C3%A9+on+M/@22.2991018,114.1794664?authuser=0&hl=zh-TW&entry=ttu
Reviews: 306 reviews",https://bit.ly/3PSIxd3,Park cafe (Ye Zhu ),https://www.google.com/maps/contrib/112170462641594452295,https://lh5.googleusercontent.com/p/AF1QipPEf46kLiYLVYjxMbd_wojpguQoNfKV3imUF32I=w408-h272-k-no,Zi Zhu Can Can Ting ,"Zi Zhu Can Can Ting , Can Ting ",3.8,07:00-22:00,Open All Days,2731 2168,"4/F, Park cafe, Xiang Gang Bai Le Jiu Dian 61-65 Chatham Rd S, Tsim Sha Tsui","Long Xia , Qing Kou , He Niu , Song Lu , Ta , Nai Dong , tea set, Yan San Wen Yu , Mian Bao Xie , Yan Wo ",https://www.google.com/maps/place/Park+caf%C3%A9/data=!4m7!3m6!1s0x340400ee58accbdf:0x5b5d86b6da3016fe!8m2!3d22.2996453!4d114.1756763!16s%2Fg%2F1w8w7m74!19sChIJ38usWO4ABDQR_hYw2raGXVs?authuser=0&hl=zh-TW&rclk=1
ChIJKe8GfLzN2EcRXKeGwB41amc,Ru Cafe,,False,464,"Name: Creams Cafe Chatham
link: https://www.google.com/maps/search/Creams+Cafe+Chatham/@51.4023538,0.5340948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 879 reviews

Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@51.401905199999995,0.5341752?authuser=0&hl=zh-TW&entry=ttu
Reviews: 474 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@51.4008719,0.5339574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 264 reviews

Name: Cafe Nucleus Lounge
link: https://www.google.com/maps/search/Caf%C3%A9+Nucleus+Lounge/@51.3837883,0.5241409?authuser=0&hl=zh-TW&entry=ttu
Reviews: 188 reviews

Name: The Panini Brothers
link: https://www.google.com/maps/search/The+Panini+Brothers/@51.401135,0.5336137?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews",https://www.ru-cafe.com/,Ru Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102003506587278350144,https://lh5.googleusercontent.com/p/AF1QipMGHfCUf2iLxGAM73mrDsaiZvUDo5T2AIv8NY6f=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Can Ting ",4.4,07:00-17:00,Open All Days,+44 1634 893111,"Ru Cafe, Dockside Outlet Centre, Unit 46a Maritime Way, St Mary's Island, Chatham ME4 3EDYing Guo ","Tu Si , Xiao Chi , Pei Gen , Ke Ke , Tang , Song Bing , Si Kang , Pa Ni Ni , Dang Ban ",https://www.google.com/maps/place/Ru+Cafe/data=!4m7!3m6!1s0x47d8cdbc7c06ef29:0x676a351ec086a75c!8m2!3d51.4011!4d0.5347!16s%2Fg%2F1hdzzx3cq!19sChIJKe8GfLzN2EcRXKeGwB41amc?authuser=0&hl=zh-TW&rclk=1
ChIJITYtwcIU-4kRBV-9WAl6ohs,Hangar B Eatery,,False,444,"Name: Larry's PX
link: https://www.google.com/maps/search/Larry%27s+PX/@41.682330799999995,-69.9926218?authuser=0&hl=zh-TW&entry=ttu
Reviews: 335 reviews

Name: Chatham Filling Station
link: https://www.google.com/maps/search/Chatham+Filling+Station/@41.684796899999995,-69.9608155?authuser=0&hl=zh-TW&entry=ttu
Reviews: 280 reviews

Name: Branches Grill and Cafe
link: https://www.google.com/maps/search/Branches+Grill+and+Cafe/@41.6892421,-69.9663327?authuser=0&hl=zh-TW&entry=ttu
Reviews: 198 reviews

Name: Lily's Diner
link: https://www.google.com/maps/search/Lily%27s+Diner/@41.682404399999996,-69.9610282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews",http://www.hangarbchatham.com/,Hangar B Eatery (Ye Zhu ),https://www.google.com/maps/contrib/116498636825231555187,https://lh5.googleusercontent.com/p/AF1QipOmXA9JNz1ch4kTM4CObUMVNPwNGZmceXxKA1ho=w408-h306-k-no,Zao Can Can Ting ,Zao Can Can Ting ,4.5,08:00-13:00,Xing Qi Yi ,+1 508-593-3655,"Hangar B Eatery, 240 George Ryder Rd, Chatham, MA 02633Mei Guo ","Fei Ji , Tian Tian Quan , Guo Jiang , Ji Jie ",https://www.google.com/maps/place/Hangar+B+Eatery/data=!4m7!3m6!1s0x89fb14c2c12d3621:0x1ba27a0958bd5f05!8m2!3d41.6887998!4d-69.9922627!16s%2Fg%2F1tp30drn!19sChIJITYtwcIU-4kRBV-9WAl6ohs?authuser=0&hl=zh-TW&rclk=1
ChIJF3TXRoj4L4gRo5sDFui6EvI,Maple City Bakery,,False,432,"Name: Sweet C's Cookie Creations
link: https://www.google.com/maps/search/Sweet+C%27s+Cookie+Creations/@42.4050343,-82.1892706?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Big Ricky's Little Bake Shoppe
link: https://www.google.com/maps/search/Big+Ricky%27s+Little+Bake+Shoppe/@42.398832600000006,-82.1795953?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: Homebaked Kitchen Company
link: https://www.google.com/maps/search/Homebaked+Kitchen+Company/@42.4206314,-82.20754099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Cupcakes by Bella
link: https://www.google.com/maps/search/Cupcakes+by+Bella/@42.4058092,-82.1863607?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Simply Cakes By Stephanie
link: https://www.google.com/maps/search/Simply+Cakes+By+Stephanie/@42.409708099999996,-82.19406970000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.maplecitybakery.ca/,Maple City Bakery (Ye Zhu ),https://www.google.com/maps/contrib/117033443504569903408,https://lh5.googleusercontent.com/p/AF1QipOw7M5_U9NIHYKU9t7c-HVXRO3YnSzleqO8Wz8S=w408-h307-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Dao Hui Fu Wu ",4.5,06:00-18:00,Xing Qi Ri ,+1 519-352-6280,"Maple City Bakery, 361 Grand Ave W, Chatham, ON N7L 1C4Jia Na Da ","Tian Tian Quan , Ka Pei , San Ming Zhi , Wu Can , Can Bao , Pin Guo , Tang , Pai , Sheng Ri ",https://www.google.com/maps/place/Maple+City+Bakery/data=!4m7!3m6!1s0x882ff88846d77417:0xf212bae816039ba3!8m2!3d42.4021422!4d-82.202452!16s%2Fg%2F1tf_nys7!19sChIJF3TXRoj4L4gRo5sDFui6EvI?authuser=0&hl=zh-TW&rclk=1
ChIJIVS1We4ABDQRh8O59XEYXPY,Nan Ji Fen Mian ,,False,418,"Name: Mai En Yun Tun Mian Shi Jia 
link: https://www.google.com/maps/search/%E9%BA%A5%E5%A5%80%E9%9B%B2%E5%90%9E%E9%BA%B5%E4%B8%96%E5%AE%B6/@22.297251199999998,114.1714282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 623 reviews

Name: Ji Ji Chao Zhou Mian Shi *Shou Da Mo Yu Wan  Kai Kee Noodle
link: https://www.google.com/maps/search/%E9%9B%9E%E8%A8%98%E6%BD%AE%E5%B7%9E%E9%BA%B5%E9%A3%9F%C2%B7%E6%89%8B%E6%89%93%E5%A2%A8%E9%AD%9A%E4%B8%B8+Kai+Kee+Noodle/@22.297945600000002,114.17322089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 622 reviews

Name: Jing Jing Bu Yi Yang De Che Zi Mian 
link: https://www.google.com/maps/search/%E9%9D%9A%E9%9D%9A%E4%B8%8D%E4%B8%80%E6%A8%A3%E7%9A%84%E8%BB%8A%E4%BB%94%E9%BA%B5/@22.300589499999997,114.1784778?authuser=0&hl=zh-TW&entry=ttu
Reviews: 222 reviews

Name: Tan Zi San Ge Mi Xian 
link: https://www.google.com/maps/search/%E8%AD%9A%E4%BB%94%E4%B8%89%E5%93%A5%E7%B1%B3%E7%B7%9A/@22.2988644,114.17279219999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 217 reviews

Name: Zhu Ji  Xiang Gang Fen Dian 
link: https://www.google.com/maps/search/%E5%AF%A7%E8%A8%98+%E9%A6%99%E6%B8%AF%E5%88%86%E5%BA%97/@22.298866999999998,114.172783?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.namkee.hk/,Nan Ji Fen Mian  (Ye Zhu ),https://www.google.com/maps/contrib/100761919374005949173,https://lh5.googleusercontent.com/p/AF1QipOZR4hk4xjkGZF2ssB84thEYWYU1-iZ4QgMtrks=w473-h240-k-no,Zhong Shi Mian Shi Dian ,"Zhong Shi Mian Shi Dian , Zhong Can Guan , Gang Shi Kuai Can Dian , Mian Dian ",3.8,08:30-21:00,Open All Days,2758 3038,"1Lou , Nan Ji Fen Mian Jin Ma Lun Zhong Xin 57-59Hao  Chatham Rd S, Tsim Sha Tsui","Jia Qian , Mi Xian , Xia Wu Cha , Suan La , Wan , Zhao Pai , Xian Jin , Xiang Liao , Yu Dan , Zao Can ",https://www.google.com/maps/place/%E5%8D%97%E8%A8%98%E7%B2%89%E9%BA%B5/data=!4m7!3m6!1s0x340400ee59b55421:0xf65c1871f5b9c387!8m2!3d22.2992897!4d114.1756296!16s%2Fg%2F11c1n8xx4s!19sChIJIVS1We4ABDQRh8O59XEYXPY?authuser=0&hl=zh-TW&rclk=1
ChIJJbVYiOFXJYgR8v6lZxqQ-g8,Tim Hortons,,False,340,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@42.4159061,-82.2002294?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1466 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@42.4300995,-82.219357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 926 reviews

Name: Harvey's
link: https://www.google.com/maps/search/Harvey%27s/@42.4072347,-82.18961569999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 631 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@42.432076699999996,-82.22188249999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 372 reviews

Name: Tasty Lunch
link: https://www.google.com/maps/search/Tasty+Lunch/@42.4054982,-82.1834325?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews",https://locations.timhortons.ca/en/on/chatham/764-st-clair-st/,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/104935088269188492773,https://lh5.googleusercontent.com/p/AF1QipOA3Cl6pDz8qKK4PILw9-BB3K7wFQGqswuTdZkQ=w507-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.6,05:00-23:00,Xing Qi Yi ,+1 519-352-1110,"Tim Hortons, 764 St Clair St, Chatham-Kent, ON N7L 0E8Jia Na Da ","De Lai Su , Qing Jie , San Ming Zhi , Zao Can , Tian Tian Quan , Bei Guo , Chuang , Guan Li , Tai Shi , Ming ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882557e18858b525:0xffa901a67a5fef2!8m2!3d42.4306592!4d-82.2199041!16s%2Fg%2F11b5wlfbxb!19sChIJJbVYiOFXJYgR8v6lZxqQ-g8?authuser=0&hl=zh-TW&rclk=1
