place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJWUkaVUCc8kcRqDwP48uOWqs,Geant Casino,,False,1927,"Name: La Galerie - Les Portes du Sud
link: https://www.google.com/maps/search/La+Galerie+-+Les+Portes+du+Sud/@47.282320999999996,5.0221350000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2771 reviews

Name: Intermarche Super
link: https://www.google.com/maps/search/Intermarch%C3%A9+Super/@47.3273647,5.0480681?authuser=0&hl=zh-TW&entry=ttu
Reviews: 756 reviews

Name: Station Carburant GEANT CHENOVE
link: https://www.google.com/maps/search/Station+Carburant+G%C3%89ANT+CHENOVE/@47.2846651,5.0223118?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews

Name: CLEOR
link: https://www.google.com/maps/search/CLEOR/@47.283277399999996,5.0227105?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: Photomaton
link: https://www.google.com/maps/search/Photomaton/@47.2863621,5.0011303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://magasins.geantcasino.fr/magasin/dijon-chenove/CG834,Geant Casino (Ye Zhu ),https://www.google.com/maps/contrib/112138133617642362662,https://lh5.googleusercontent.com/p/AF1QipPfBuoNGJm6R9EVCGsx7jqBVBVT2p1ePuwV_IQU=w533-h240-k-no,Da Xing Chao Ji Shi Chang ,"Da Xing Chao Ji Shi Chang , Dian Qi Xing , Mian Bao Xi Bing Dian , Jia Gong Rou Pin Dian , Dao Hui Fu Wu , Hua Zhuang Pin Dian , Luo Nong Qu , Yu Fan , Xian Shi Shi Chang , Chao Ji Shi Chang ",3.1,07:30-20:30,Xing Qi Yi ,+33 3 80 58 37 00,"Geant Casino, Centre Commercial, Rue de Longvic, 21300 Chenove, Fa Guo ","Bei Shang , Sha Mo , Jing Pin Dian , Gui , Xian Mu , Chang Lang , Zai Nan , Xi Bao ",https://www.google.com/maps/place/G%C3%A9ant+Casino/data=!4m7!3m6!1s0x47f29c40551a4959:0xab5a8ecbe30f3ca8!8m2!3d47.2823426!4d5.0231199!16s%2Fg%2F11clgk26tm!19sChIJWUkaVUCc8kcRqDwP48uOWqs?authuser=0&hl=zh-TW&rclk=1
ChIJuYcTYumd8kcR9yy0DJjr-uY,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1409,"Name: Columbus Cafe & Co
link: https://www.google.com/maps/search/Columbus+Caf%C3%A9+%26+Co/@47.3242814,5.038867499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 757 reviews

Name: Le P'tit ZINC
link: https://www.google.com/maps/search/Le+P%27tit+ZINC/@47.3227769,5.0400699?authuser=0&hl=zh-TW&entry=ttu
Reviews: 554 reviews

Name: Espresso-t
link: https://www.google.com/maps/search/Espresso-t/@47.323367000000005,5.0354854?authuser=0&hl=zh-TW&entry=ttu
Reviews: 434 reviews

Name: COFFEE & MUFFIN
link: https://www.google.com/maps/search/COFFEE+%26+MUFFIN/@47.3238469,5.0387029?authuser=0&hl=zh-TW&entry=ttu
Reviews: 262 reviews",https://www.starbucks.fr/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/114148703580905506549,https://lh5.googleusercontent.com/p/AF1QipMV7jQJmFi7i31ROUJVcABSnjGrj0OKQicGei_N=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mei Shi Can Ting , Zao Can Can Ting , Zheng Liu Ka Pei Ba , Kuai Can Dian , Wang Ka /Wang Lu Yong Pin Dian , Gao Bing Dian , Wu Jiu Jing Yin Liao Dian , Cha Yi Guan ",4.1,08:00-19:00,Open All Days,+33 6 13 21 30 03,"Starbucks, 61 Rue de la Liberte, 21000 Dijon, Fa Guo ","Xiao Rong , Lou Ceng , Gao , Xi Guan , Bing Kuai , Leng Qi ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x47f29de9621387b9:0xe6faeb980cb42cf7!8m2!3d47.3220931!4d5.0385065!16s%2Fg%2F11c1s8by0j!19sChIJuYcTYumd8kcR9yy0DJjr-uY?authuser=0&hl=zh-TW&rclk=1
ChIJwQST42Od8kcRdoadiLGLnBQ,Memphis - Restaurant Diner,,False,1216,"Name: Buffalo Grill
link: https://www.google.com/maps/search/Buffalo+Grill/@47.2856934,5.0108188?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3979 reviews

Name: France Drive
link: https://www.google.com/maps/search/France+Drive/@47.2899648,5.013589100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 695 reviews

Name: 911 Delicious Company
link: https://www.google.com/maps/search/911+Delicious+Company/@47.2853748,5.0103801?authuser=0&hl=zh-TW&entry=ttu
Reviews: 278 reviews

Name: Burger'S Dijon
link: https://www.google.com/maps/search/Burger%27S+Dijon/@47.28155700000001,5.0183228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 277 reviews",https://restaurants.memphis-restaurant.com/Dijon-Chenove?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,Memphis - Restaurant Diner (Ye Zhu ),https://www.google.com/maps/contrib/114487314577019937809,https://lh5.googleusercontent.com/p/AF1QipOywWDWxjk-Y9FR_Nruj_kHylfuHkYCV_MQ_a2E=w408-h306-k-no,Mei Shi Can Ting ,"Mei Shi Can Ting , Shao Kao , Shao Kao Can Ting , Tian Pin Can Ting , Mei Shi Can Che Dian , Jia Ting Can Ting , Han Bao Can Ting , Hun Shi Can Ting , Can Ting , Fa Shi Can Ting ",4.3,"12:00-14:00, 18:45-21:30",Xing Qi Yi ,+33 3 80 49 28 44,"Memphis - Restaurant Diner, 51 Rue de Longvic, 21300 Chenove, Fa Guo ","Bai Pan , Leng , Ju Kao , Fang Jian , Bu Jing , Xin Qing , Jing Zheng , Bai Hui ",https://www.google.com/maps/place/Memphis+-+Restaurant+Diner/data=!4m7!3m6!1s0x47f29d63e39304c1:0x149c8bb1889d8676!8m2!3d47.2859732!4d5.0198133!16s%2Fg%2F11h3zpq6z5!19sChIJwQST42Od8kcRdoadiLGLnBQ?authuser=0&hl=zh-TW&rclk=1
ChIJlwpuZuud8kcRPgLnq-4lYD4,Columbus Cafe & Co,,False,1178,"Name: Madeleine Cafe
link: https://www.google.com/maps/search/Madeleine+Caf%C3%A9/@47.3226764,5.0428709?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: COFFEE & MUFFIN
link: https://www.google.com/maps/search/COFFEE+%26+MUFFIN/@47.3238469,5.0387029?authuser=0&hl=zh-TW&entry=ttu
Reviews: 262 reviews

Name: BAGELSTEIN * Bagels & Coffee shop
link: https://www.google.com/maps/search/BAGELSTEIN+%E2%80%A2+Bagels+%26+Coffee+shop/@47.323651,5.0384493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 215 reviews",https://www.columbuscafe.com/,Columbus Cafe & Co (Ye Zhu ),https://www.google.com/maps/contrib/101994587705345113975,https://lh5.googleusercontent.com/p/AF1QipNsZzpBXUZjfDtbp80BbMz3JyLExPZm6s3IRKK2=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,07:30-19:30,Open All Days,+33 3 80 48 02 48,"Columbus Cafe & Co, 4 Pl. Darcy, 21000 Dijon, Fa Guo ","Song Bing , Lou Ceng , Ke Ke , Bing Cha , Xue Sheng , Tang , Liu Cheng Zhi ",https://www.google.com/maps/place/Columbus+Caf%C3%A9+%26+Co/data=!4m7!3m6!1s0x47f29deb666e0a97:0x3e6025eeabe7023e!8m2!3d47.3235907!4d5.0348628!16s%2Fg%2F11clvxrkcz!19sChIJlwpuZuud8kcRPgLnq-4lYD4?authuser=0&hl=zh-TW&rclk=1
ChIJdafVIXmzqxIRoijADIVXSVM,Action,,False,1151,"Name: GiFi Dijon Chenove
link: https://www.google.com/maps/search/GiFi+Dijon+Chenove/@47.281459399999996,5.0218406?authuser=0&hl=zh-TW&entry=ttu
Reviews: 749 reviews

Name: Maxi Zoo Chenove
link: https://www.google.com/maps/search/Maxi+Zoo+Chen%C3%B4ve/@47.2825124,5.0179914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 632 reviews

Name: CHAUSSEA Chenove
link: https://www.google.com/maps/search/CHAUSSEA+Chenove/@47.282286,5.018783?authuser=0&hl=zh-TW&entry=ttu
Reviews: 440 reviews

Name: Store Kiabi CHENOVE
link: https://www.google.com/maps/search/Store+Kiabi+CHENOVE/@47.2833713,5.0188866999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: Market Affairs
link: https://www.google.com/maps/search/Market+Affairs/@47.281940399999996,5.0179991?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews",https://www.action.com/fr-fr/points-de-vente/chenove-rue-jean-moulin/?utm_campaign=localbusiness&utm_source=google&utm_medium=organic&utm_content=4068,Action (Ye Zhu ),https://www.google.com/maps/contrib/114718042330604779147,https://lh5.googleusercontent.com/p/AF1QipOn1zhqFiUHPi3h03Tbp-ip9DriXHVBiuk0gO4n=w519-h240-k-no,Za Huo Dian ,"Za Huo Dian , Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang , Jia Dian , Li Pin Dian , Wan Ju Mo Xing Dian , Jia Ju Yong Pin Dian , Pai Dui Zhuang Shi Yong Pin Dian , Chong Wu Dian , Jiao Xue Yong Pin Dian , Pi Fa Dian ",4,08:30-19:30,Xing Qi Ri ,+33 1 55 56 41 52,"Action, 14 Rue Jean Moulin, 21300 Chenove, Fa Guo ","Jia Ge , Ke Ren , Shou Yin , Ting Che Chang , Yuan Gong , Jing Zheng , Xuan Ze ",https://www.google.com/maps/place/Action/data=!4m7!3m6!1s0x12abb37921d5a775:0x534957850cc028a2!8m2!3d47.282438!4d5.01962!16s%2Fg%2F11c0xvxvns!19sChIJdafVIXmzqxIRoijADIVXSVM?authuser=0&hl=zh-TW&rclk=1
ChIJWzylIFyc8kcR_nb4c5A2NRM,Super U et Drive,,False,1075,"Name: Geant Casino
link: https://www.google.com/maps/search/G%C3%A9ant+Casino/@47.2823426,5.0231199?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1926 reviews

Name: Supeco Chenove
link: https://www.google.com/maps/search/Supeco+Chenove/@47.2818158,5.0178711?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews

Name: O'Market
link: https://www.google.com/maps/search/O%27Market/@47.2842214,5.0184931?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews

Name: Carrefour Express
link: https://www.google.com/maps/search/Carrefour+Express/@47.29466,5.0048527?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Station U
link: https://www.google.com/maps/search/Station+U/@47.285244,5.0105097999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.coursesu.com/f-superu-chenove-informations,Super U et Drive (Ye Zhu ),https://www.google.com/maps/contrib/101252642280882669585,https://lh5.googleusercontent.com/p/AF1QipOJD-AcYefim6poGw6VBZLIxoiIPBsZcQOQCnQt=w408-h401-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Qi Che Zu Ren Dai Li , Kuai Di Gong Si ",4,08:30-19:30,Xing Qi Yi ,+33 3 80 52 10 48,"Super U et Drive, 37 Av. du 14 Juillet, 21300 Chenove, Fa Guo ","Shang Chang , Shen Gao , Ce Suo , Hai Chan Dian , Zu , Che Liang , Ping Jun ",https://www.google.com/maps/place/Super+U+et+Drive/data=!4m7!3m6!1s0x47f29c5c20a53c5b:0x1335369073f876fe!8m2!3d47.2861069!4d5.01023!16s%2Fg%2F1tf4296r!19sChIJWzylIFyc8kcR_nb4c5A2NRM?authuser=0&hl=zh-TW&rclk=1
ChIJ0b7ds0Wc8kcRjnNUltSWdCw,Jardiland,,False,808,"Name: botanic(r) Dijon
link: https://www.google.com/maps/search/botanic%C2%AE+Dijon/@47.3614965,5.0457053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2112 reviews

Name: Jardinerie Villaverde Dijon
link: https://www.google.com/maps/search/Jardinerie+Villaverde+Dijon/@47.3835711,5.053027999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 725 reviews

Name: Maxi Zoo Chenove
link: https://www.google.com/maps/search/Maxi+Zoo+Chen%C3%B4ve/@47.2825124,5.0179914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 632 reviews

Name: Culture Indoor Dijon
link: https://www.google.com/maps/search/Culture+Indoor+Dijon/@47.2955781,5.0228049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Le Baobab
link: https://www.google.com/maps/search/Le+Baobab/@47.3139616,5.04915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.jardiland.com/magasins/magasin-dijon-chenove%3Futm_source%3DGMB%26utm_campaign%3DMultidiffusion%26utm_medium%3Dlocal%26utm_content%3D181,Jardiland (Ye Zhu ),https://www.google.com/maps/contrib/116547960394951672669,https://lh5.googleusercontent.com/p/AF1QipOmkr0tziM7vDBn5Wu3S7m1xQBe5gMxBO3jabi2=w408-h544-k-no,Yuan Yi Dian ,"Yuan Yi Dian , Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang , Jian Cao Ji Dian , Chong Wu Dian , Miao Pu ",4,"09:30-12:30, 14:00-19:00",Open All Days,+33 3 80 54 98 60,"Jardiland, Rue de Longvic, 21300 Chenove, Fa Guo ","Dian Yuan , Chong Wu Dian , Kai Hua , Tu , Yang Yu , Shou Yin , Yuan Gong ",https://www.google.com/maps/place/Jardiland/data=!4m7!3m6!1s0x47f29c45b3ddbed1:0x2c7496d49654738e!8m2!3d47.285109!4d5.0240052!16s%2Fg%2F1td3kydn!19sChIJ0b7ds0Wc8kcRjnNUltSWdCw?authuser=0&hl=zh-TW&rclk=1
ChIJZ8rVru6d8kcRLAStacmFhkw,Columbus Cafe & Co,,False,757,"Name: Cafe de l'Industrie
link: https://www.google.com/maps/search/Caf%C3%A9+de+l%27Industrie/@47.324414,5.0389726999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 860 reviews

Name: Madeleine Cafe
link: https://www.google.com/maps/search/Madeleine+Caf%C3%A9/@47.3226764,5.0428709?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: COFFEE & MUFFIN
link: https://www.google.com/maps/search/COFFEE+%26+MUFFIN/@47.3238469,5.0387029?authuser=0&hl=zh-TW&entry=ttu
Reviews: 262 reviews

Name: BAGELSTEIN * Bagels & Coffee shop
link: https://www.google.com/maps/search/BAGELSTEIN+%E2%80%A2+Bagels+%26+Coffee+shop/@47.323651,5.0384493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 215 reviews",https://www.columbuscafe.com/,Columbus Cafe & Co (Ye Zhu ),https://www.google.com/maps/contrib/107460061815444072649,https://lh5.googleusercontent.com/p/AF1QipOprcfjqzXQo5l3RgqPgUkLtfdFUqwIJzZl84EG=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:00-19:30,Open All Days,+33 3 80 33 04 35,"Columbus Cafe & Co, 21 Rue des Godrans, 21000 Dijon, Fa Guo ","Song Bing , Gao , Na Tie , Ke Ke , Bei Guo , Bing Gan , Gan Mou , Xue Sheng ",https://www.google.com/maps/place/Columbus+Caf%C3%A9+%26+Co/data=!4m7!3m6!1s0x47f29deeaed5ca67:0x4c8685c969ad042c!8m2!3d47.3242814!4d5.0388675!16s%2Fg%2F11f2b0hdy4!19sChIJZ8rVru6d8kcRLAStacmFhkw?authuser=0&hl=zh-TW&rclk=1
ChIJqR94Zemd8kcRgFO-TLqGlp0,Comptoir des Colonies,,False,653,"Name: Columbus Cafe & Co
link: https://www.google.com/maps/search/Columbus+Caf%C3%A9+%26+Co/@47.3235907,5.0348628?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1177 reviews

Name: Madeleine Cafe
link: https://www.google.com/maps/search/Madeleine+Caf%C3%A9/@47.3226764,5.0428709?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: Caffe Gufo
link: https://www.google.com/maps/search/Caffe+Gufo/@47.3224942,5.0419510999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 248 reviews

Name: Les Comptoirs The Cafe Dijon
link: https://www.google.com/maps/search/Les+Comptoirs+Th%C3%A9+Caf%C3%A9+Dijon/@47.3249413,5.0391927?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews",http://comptoirdescolonies.com/,Comptoir des Colonies (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOQPopC3lMzoOjsmX7YFlmRMYNroiVqLyJi3t0t=w408-h306-k-no,Cha Yi Guan ,"Cha Yi Guan , Zao Can Can Ting ",4,08:00-21:00,Open All Days,+33 3 80 30 28 22,"Comptoir des Colonies, 12 Pl. Francois Rude, 21000 Dijon, Fa Guo ","Zao Can , Ke Ke , Lou Ceng , Song Bing , Ke Song , Bu Jing ",https://www.google.com/maps/place/Comptoir+des+Colonies/data=!4m7!3m6!1s0x47f29de965781fa9:0x9d9686ba4cbe5380!8m2!3d47.3224444!4d5.0391389!16s%2Fg%2F1td601mz!19sChIJqR94Zemd8kcRgFO-TLqGlp0?authuser=0&hl=zh-TW&rclk=1
ChIJv2uLc0-c8kcRti82JtMKGck,Troc.com Dijon / Chenove,,False,628,"Name: ELECTRO DEPOT DIJON
link: https://www.google.com/maps/search/ELECTRO+DEPOT+DIJON/@47.2830672,5.0181743999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2395 reviews

Name: Envie Dijon - MAGASIN CHENOVE
link: https://www.google.com/maps/search/Envie+Dijon+-+MAGASIN+CHENOVE/@47.2842145,5.0175031?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: Broc et Broc et Colegram
link: https://www.google.com/maps/search/Broc+et+Broc+et+Colegram/@47.3294469,5.0400483?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Bourgogne Troc
link: https://www.google.com/maps/search/Bourgogne+Troc/@47.1097621,5.2608584?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.troc.com/fr/dijon-chenove-m21,Troc.com Dijon / Chenove (Ye Zhu ),https://www.google.com/maps/contrib/104917829062112390913,https://lh5.googleusercontent.com/p/AF1QipOCRYDX9YVmFd2M5jjgkWKBHbIohjSJ7EFyAVuZ=w426-h240-k-no,Shang Pin Tuo Shou Zhong Xin ,"Shang Pin Tuo Shou Zhong Xin , Gu Dong Jia Ju Dian , Chuang Shang Yong Pin Dian , Jia Dian , Chu Fang Jia Ju Dian , Er Shou Dian , Er Shou Dian Qi Dian , Er Shou Jia Ju Dian , You Xi Guang Die Zhuan Men Dian ",3.8,"09:30-12:00, 14:00-19:00",Xing Qi Ri ,+33 3 80 52 50 00,"Troc.com Dijon / Chenove, 10 Rue Gay Lussac, 21300 Chenove, Fa Guo ","Jia Ge , Jia Ju , Dian Yuan , Shu , Yu Suan , Kai Xin , Wei Dao , Dong , Xiao Rong ",https://www.google.com/maps/place/Troc.com+Dijon+%2F+Chenove/data=!4m7!3m6!1s0x47f29c4f738b6bbf:0xc9190ad326362fb6!8m2!3d47.291069!4d5.0187287!16s%2Fg%2F1tkqzlsv!19sChIJv2uLc0-c8kcRti82JtMKGck?authuser=0&hl=zh-TW&rclk=1
