place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJgb4Ko1FrqDsRKyx1dkWeqyM,Top Notch Bakers,,False,1117,"Name: Sweet Choice Homemade Cakes
link: https://www.google.com/maps/search/Sweet+Choice+Homemade+Cakes/@10.6967342,76.7388818?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: FAMOUS BAKES
link: https://www.google.com/maps/search/FAMOUS+BAKES/@10.7004745,76.73996629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Sree Sastha Bakes
link: https://www.google.com/maps/search/Sree+Sastha+Bakes/@10.7009735,76.74618310000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: BEST BAKERY
link: https://www.google.com/maps/search/BEST+BAKERY/@10.699550799999999,76.7518388?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Top Ten Bakers
link: https://www.google.com/maps/search/Top+Ten+Bakers/@10.7961631,76.74735410000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.topnotchbakers.com/,Top Notch Bakers (Ye Zhu ),https://www.google.com/maps/contrib/113801866597291283200,https://lh5.googleusercontent.com/p/AF1QipPRDgVhaXmP0UVoSi5mmL87AhzMt-TPDujYNLDC=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.2,09:00-21:00,Open All Days,+91 77368 23412,"Top Notch Bakers, Chittur main road, Opp GUP School, Palakkad, Kerala 678101Yin Du ","Xiao Chi , Pin Zhi , Jia Ge , Ke Fu , Nai Xi , Shu Pian , Wei Sheng , Ka Pei Ting , Qian ",https://www.google.com/maps/place/Top+Notch+Bakers/data=!4m7!3m6!1s0x3ba86b51a30abe81:0x23ab9e4576752c2b!8m2!3d10.7000314!4d76.7494754!16s%2Fg%2F1tdkq6_w!19sChIJgb4Ko1FrqDsRKyx1dkWeqyM?authuser=0&hl=zh-TW&rclk=1
ChIJ6YApcv0TqDsRR-LbVjtkn4k,Vinee's Caters and Snacks,,False,3,"Name: Laxmi Tea Stall
link: https://www.google.com/maps/search/Laxmi+Tea+Stall/@10.6068804,76.6577568?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Local Tea Shop - Sreenivasan's
link: https://www.google.com/maps/search/Local+Tea+Shop+-+Sreenivasan%27s/@10.673404,76.70231509999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Jaivin Tea Stall
link: https://www.google.com/maps/search/Jaivin+Tea+Stall/@10.7381312,76.6214262?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://vinees-cafeteria.business.site/,Vinee's Caters and Snacks (Ye Zhu ),https://www.google.com/maps/contrib/116222994062958184982,https://lh5.googleusercontent.com/p/AF1QipMD_99LLT9kWSksoQKbnKSD-Dt9ulzvCcFWaG0F=w500-h240-k-no,Cha Xie Dian ,"Cha Xie Dian , Zao Can Can Ting , Kuai Can Dian , Xue Gao Dian , Wu Can Can Ting , Can Ting Yong Pin Dian , Wu Jiu Jing Yin Liao Dian ",4.7,,Open All Days,,"Vinee's Caters and Snacks, Opp Govt.Upper Primary School Near Sree Kurumbakavu, High School Rd, Tattamangalam, Kerala 678102Yin Du ",,https://www.google.com/maps/place/Vinee%27s+Caters+and+Snacks/data=!4m7!3m6!1s0x3ba813fd722980e9:0x899f643b56dbe247!8m2!3d10.6783054!4d76.7072302!16s%2Fg%2F11s2s4pmn4!19sChIJ6YApcv0TqDsRR-LbVjtkn4k?authuser=0&hl=zh-TW&rclk=1
ChIJMynRRK4TqDsRsIoXJ2oCu8E,Milma Shop,,False,,"Name: Madhura Cafe
link: https://www.google.com/maps/search/Madhura+Cafe/@10.6766753,76.703921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: Local Tea Shop - Sreenivasan's
link: https://www.google.com/maps/search/Local+Tea+Shop+-+Sreenivasan%27s/@10.673404,76.70231509999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Milma
link: https://www.google.com/maps/search/Milma/@10.7723034,76.6718483?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://www.milma.com/,Milma Shop (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ri2VhjFOlfUDYZCbZ4OR7w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=209.13705&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,,,Open All Days,,"MPC7+R26 Milma Shop, Ayyanpathy - Aanikkath Rd, Tattamangalam, Kerala 678102Yin Du ",,https://www.google.com/maps/place/Milma+Shop/data=!4m7!3m6!1s0x3ba813ae44d12933:0xc1bb026a27178ab0!8m2!3d10.6720324!4d76.712525!16s%2Fg%2F11fszl4fmg!19sChIJMynRRK4TqDsRsIoXJ2oCu8E?authuser=0&hl=zh-TW&rclk=1
ChIJn1ze3xkTqDsR1PZmhdOVbKQ,Gokulam Bakes,,False,566,"Name: Sweet Choice Homemade Cakes
link: https://www.google.com/maps/search/Sweet+Choice+Homemade+Cakes/@10.6967342,76.7388818?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: Sunitha Bakery
link: https://www.google.com/maps/search/Sunitha+Bakery/@10.7011924,76.74676699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Sree Sastha Bakes
link: https://www.google.com/maps/search/Sree+Sastha+Bakes/@10.7009735,76.74618310000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: meettttupaallyN
link: https://www.google.com/maps/search/%E0%B4%AE%E0%B5%87%E0%B4%9F%E0%B5%8D%E0%B4%9F%E0%B5%81%E0%B4%AA%E0%B4%BE%E0%B4%B3%E0%B4%AF%E0%B4%82/@10.6834139,76.7122503?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Gokulam Bakes (Ye Zhu ),https://www.google.com/maps/contrib/112996967622589380354,https://lh5.googleusercontent.com/p/AF1QipOfNUesxzZXQQ_EnaBqwuQrnQNt0qpv8hWpsMOM=w408-h272-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.1,24 Xiao Shi Ying Ye ,Open All Days,+91 88489 93954,"Gokulam Bakes, near KSEB THATHAMANGALAM, Chittur-Thathamangalam, Tattamangalam, Kerala 678102Yin Du ","Cha , Xiao Chi , atmosphere, Pin Zhi , Jia Ge , Bang Wan , Liao Tian , Nai Xi ",https://www.google.com/maps/place/Gokulam+Bakes/data=!4m7!3m6!1s0x3ba81319dfde5c9f:0xa46c95d38566f6d4!8m2!3d10.6832888!4d76.7077795!16s%2Fg%2F11rv3vbmk0!19sChIJn1ze3xkTqDsR1PZmhdOVbKQ?authuser=0&hl=zh-TW&rclk=1
ChIJC7ZVVlFrqDsRslxEiJMf1S4,FAMOUS BAKES,,False,71,"Name: Top Notch Bakers
link: https://www.google.com/maps/search/Top+Notch+Bakers/@10.7000314,76.7494754?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1116 reviews

Name: Dhisha'S Gateaux ,Home Baked Cakes
link: https://www.google.com/maps/search/Dhisha%27S+G%C3%A2teaux+%2CHome+Baked+Cakes/@10.7028888,76.73469039999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: Sunitha Bakery
link: https://www.google.com/maps/search/Sunitha+Bakery/@10.7011924,76.74676699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Sree Sastha Bakes
link: https://www.google.com/maps/search/Sree+Sastha+Bakes/@10.7009735,76.74618310000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Prabha bakery
link: https://www.google.com/maps/search/Prabha+bakery/@10.6994477,76.7518604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,FAMOUS BAKES (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP983j13VsL9vuXdWA0dpBqPU4nyxkvcKGnnv3y=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting ",3.6,08:00-21:45,Open All Days,+91 4923 221 922,"Anicode jn, FAMOUS BAKES, smh tower, Chittur, Kerala 678101Yin Du ",,https://www.google.com/maps/place/FAMOUS+BAKES/data=!4m7!3m6!1s0x3ba86b515655b60b:0x2ed51f9388445cb2!8m2!3d10.7004745!4d76.7399663!16s%2Fg%2F11fy5f9qtj!19sChIJC7ZVVlFrqDsRslxEiJMf1S4?authuser=0&hl=zh-TW&rclk=1
ChIJha2l9zsTqDsRSlHkhDVIPuw,Madhura Cafe,,False,68,"Name: Local Tea Shop - Sreenivasan's
link: https://www.google.com/maps/search/Local+Tea+Shop+-+Sreenivasan%27s/@10.673404,76.70231509999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Madhura caters
link: https://www.google.com/maps/search/Madhura+caters/@10.637347799999999,76.8327402?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Madhura Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPGmHKTYMa_At0IjLgVcR-2kuIOHwUiNCF_VvZA=w408-h258-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,08:00-20:00,Open All Days,,"MPG3+MHF Madhura Cafe, Tattamangalam, Kerala 678102Yin Du ",,https://www.google.com/maps/place/Madhura+Cafe/data=!4m7!3m6!1s0x3ba8133bf7a5ad85:0xec3e483584e4514a!8m2!3d10.6766753!4d76.703921!16s%2Fg%2F1tzlxd7v!19sChIJha2l9zsTqDsRSlHkhDVIPuw?authuser=0&hl=zh-TW&rclk=1
ChIJtTWZTFFrqDsRwxKyD5PnFvo,Sathya Browsing Centre,,False,44,"Name: ANNS INTERNET CAFE
link: https://www.google.com/maps/search/ANNS+INTERNET+CAFE/@10.7006561,76.7403073?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: e-Digital Seva Kendram chitttur
link: https://www.google.com/maps/search/e-Digital+Seva+Kendram+chitttur/@10.7008507,76.7485767?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Sathya Browsing Centre (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP65X5rzgY-2Y6uiKznjwSW-Lj-S7aCzkq3eq32=w408-h544-k-no,Wang Ba ,Wang Ba ,4.5,08:30-21:00,Open All Days,,"PP2Q+GQ8 Sathya Browsing Centre, Palakkad Chittur Rd, Anikode, Chittur, Kerala 678101Yin Du ",,https://www.google.com/maps/place/Sathya+Browsing+Centre/data=!4m7!3m6!1s0x3ba86b514c9935b5:0xfa16e7930fb212c3!8m2!3d10.7012938!4d76.739449!16s%2Fg%2F11c2mx2tnq!19sChIJtTWZTFFrqDsRwxKyD5PnFvo?authuser=0&hl=zh-TW&rclk=1
ChIJT-7crj0TqDsRLAJ1C_ruu1w,Local Tea Shop - Sreenivasan's,,False,16,"Name: Cafe Cool
link: https://www.google.com/maps/search/Cafe+Cool/@10.701378499999999,76.74588779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Sreenivasan Tea Stall
link: https://www.google.com/maps/search/Sreenivasan+Tea+Stall/@10.781883899999999,76.67527079999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Thathamangalam
link: https://www.google.com/maps/search/Thathamangalam/@10.6831155,76.7074653?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Local Tea Shop - Sreenivasan's (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMH3EEISChUxUFfwLOSQvQ5yWWs2KPIGMMWw_gf=w408-h273-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,05:00-20:00,Xing Qi Ri ,,"MPF2+9W8 Local Tea Shop - Sreenivasan's, Tattamangalam, Kerala 678102Yin Du ",,https://www.google.com/maps/place/Local+Tea+Shop+-+Sreenivasan%27s/data=!4m7!3m6!1s0x3ba8133daedcee4f:0x5cbbeefa0b75022c!8m2!3d10.673404!4d76.7023151!16s%2Fg%2F11cm0fcjlf!19sChIJT-7crj0TqDsRLAJ1C_ruu1w?authuser=0&hl=zh-TW&rclk=1
ChIJkadCAFRrqDsR3bAQE5urWbI,Metro Bakery,,False,16,"Name: Top Notch Bakers
link: https://www.google.com/maps/search/Top+Notch+Bakers/@10.7000314,76.7494754?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1116 reviews

Name: Hotel Metro
link: https://www.google.com/maps/search/Hotel+Metro/@10.6999721,76.7392528?authuser=0&hl=zh-TW&entry=ttu
Reviews: 124 reviews

Name: Sunitha Bakery
link: https://www.google.com/maps/search/Sunitha+Bakery/@10.7011924,76.74676699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Sree Sastha Bakes
link: https://www.google.com/maps/search/Sree+Sastha+Bakes/@10.7009735,76.74618310000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: BEST BAKERY
link: https://www.google.com/maps/search/BEST+BAKERY/@10.699550799999999,76.7518388?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",,Metro Bakery (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNjrJO-4_dyUPaGy9L3lZ0kyjY1NCukRD_uFRZh=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,3.6,08:30-20:00,Open All Days,,"PP2Q+3M9 Metro Bakery, Thekkegramam, Chittur, Kerala 678101Yin Du ",,https://www.google.com/maps/place/Metro+Bakery/data=!4m7!3m6!1s0x3ba86b540042a791:0xb259ab9b1310b0dd!8m2!3d10.7001741!4d76.7392431!16s%2Fg%2F11c2mx2bqq!19sChIJkadCAFRrqDsR3bAQE5urWbI?authuser=0&hl=zh-TW&rclk=1
ChIJrbJ47VETqDsR6uBDJhnHGTU,Mullasery Store,,False,13,"Name: Cafe Cool
link: https://www.google.com/maps/search/Cafe+Cool/@10.701378499999999,76.74588779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",,Mullasery Store (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOgsF4IWG6ufWtWAaire7bZyqGZq9W6vWyFjHNb=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,,Open All Days,,"MPQF+48X Mullasery Store, Chittur, Kerala 678104Yin Du ",,https://www.google.com/maps/place/Mullasery+Store/data=!4m7!3m6!1s0x3ba81351ed78b2ad:0x3519c7192643e0ea!8m2!3d10.6878525!4d76.7233585!16s%2Fg%2F11h9xqtvh1!19sChIJrbJ47VETqDsR6uBDJhnHGTU?authuser=0&hl=zh-TW&rclk=1
