place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJe0B9vIJGBkgRZLlIzW8cTOE,Burger King,"Zhu Ming De Lian Suo Su Shi Dian ,Fan Shou Shao Kao Han Bao , Shu Tiao He Nai Xi . ",False,4115,"Name: McDonald's Cholet Sud
link: https://www.google.com/maps/search/McDonald%27s+Cholet+Sud/@47.045713799999994,-0.8962875000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2714 reviews

Name: KFC Cholet
link: https://www.google.com/maps/search/KFC+Cholet/@47.0754443,-0.8407625999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1934 reviews

Name: BCHEF - CHOLET
link: https://www.google.com/maps/search/BCHEF+-+CHOLET/@47.0617446,-0.8825229?authuser=0&hl=zh-TW&entry=ttu
Reviews: 864 reviews

Name: SPEED BURGER CHOLET
link: https://www.google.com/maps/search/SPEED+BURGER+CHOLET/@47.064978200000006,-0.8702909?authuser=0&hl=zh-TW&entry=ttu
Reviews: 411 reviews

Name: La p'tite fringale
link: https://www.google.com/maps/search/La+p%E2%80%99tite+fringale/@47.0619156,-0.8789538?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",https://www.burgerking.fr/restaurants%3Fy_source%3D1_MTUwMTQ1NDAtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Burger King (Ye Zhu ),https://www.google.com/maps/contrib/109111100453910268295,https://lh5.googleusercontent.com/p/AF1QipOxSktYd3zichiKp90bx6xMKoxLr0UHmy3BPir9=w426-h240-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Jiu Ba Ba Fang , Jia Ting Can Ting , Han Bao Can Ting , Wai Mai Zi Qu Can Ting ",3.9,11:00-22:00,Open All Days,+33 2 85 10 00 38,"Burger King, 169 Rue de Lorraine, 49300 Cholet, Fa Guo ","Leng , Ce Suo , Zu Zhi , Bai Pan , La Ji Tong , Lou Ceng , Bing Kuai , Tang Chi ",https://www.google.com/maps/place/Burger+King/data=!4m7!3m6!1s0x48064682bc7d407b:0xe14c1c6fcd48b964!8m2!3d47.0558354!4d-0.8595414!16s%2Fg%2F11c5fzhk5b!19sChIJe0B9vIJGBkgRZLlIzW8cTOE?authuser=0&hl=zh-TW&rclk=1
ChIJGZcgnaVGBkgRgpQMZDHz728,Le Grand Cafe,,False,2673,"Name: Faubourg Cafe Cholet
link: https://www.google.com/maps/search/Faubourg+Caf%C3%A9+Cholet/@47.0754374,-0.8382636?authuser=0&hl=zh-TW&entry=ttu
Reviews: 645 reviews

Name: Le Conti
link: https://www.google.com/maps/search/Le+Conti/@47.0623539,-0.8801188?authuser=0&hl=zh-TW&entry=ttu
Reviews: 434 reviews

Name: Le Bistrot du Marche
link: https://www.google.com/maps/search/Le+Bistrot+du+March%C3%A9/@47.0607317,-0.8814533999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 372 reviews

Name: Le Bistro
link: https://www.google.com/maps/search/Le+Bistro/@47.0620676,-0.8778587999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews",http://www.restaurant-grand-cafe.fr/,Le Grand Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117790163386188210081,https://lh5.googleusercontent.com/p/AF1QipMh--IE19HYnKYEdRTpgOZ4DEiBk3MN2AQBphv1=w408-h240-k-no-pi0-ya280-ro0-fo100,Fa Shi Can Ting ,"Fa Shi Can Ting , Jiu Ba , Ka Pei Ting , Fa Guo Can Ting , Can Ting ",4.1,"12:00-14:30, 19:15-23:00",Open All Days,+33 2 41 65 82 41,"Le Grand Cafe, 1 Pl. Travot, 49300 Cholet, Fa Guo ","Bai Pan , Suan Cai , Hai , He Zi , Mao Jin ",https://www.google.com/maps/place/Le+Grand+Caf%C3%A9/data=!4m7!3m6!1s0x480646a59d209719:0x6feff331640c9482!8m2!3d47.061978!4d-0.880715!16s%2Fg%2F1tdklls3!19sChIJGZcgnaVGBkgRgpQMZDHz728?authuser=0&hl=zh-TW&rclk=1
ChIJ9QNyomdGBkgRUNxp6gsFgrs,McDonald's Cholet Nord,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,2591,"Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@47.0558354,-0.8595414?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4113 reviews

Name: KFC Cholet
link: https://www.google.com/maps/search/KFC+Cholet/@47.0754443,-0.8407625999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1934 reviews

Name: BCHEF - CHOLET
link: https://www.google.com/maps/search/BCHEF+-+CHOLET/@47.0617446,-0.8825229?authuser=0&hl=zh-TW&entry=ttu
Reviews: 864 reviews

Name: Miam's
link: https://www.google.com/maps/search/Miam%27s/@47.061844799999996,-0.88323?authuser=0&hl=zh-TW&entry=ttu
Reviews: 351 reviews

Name: La p'tite fringale
link: https://www.google.com/maps/search/La+p%E2%80%99tite+fringale/@47.0619156,-0.8789538?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",https://www.restaurants.mcdonalds.fr/mcdonalds-cholet-nord,McDonald's Cholet Nord (Ye Zhu ),https://www.google.com/maps/contrib/104739294341971286833,https://lh5.googleusercontent.com/p/AF1QipPXzwucJljg0yk8FEcr_DbHopQwcfMDvs8Afg9d=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Ka Pei Ting , Han Bao Can Ting ",3.6,08:00-22:00,Open All Days,+33 2 41 46 37 37,"McDonald's Cholet Nord, Rue Pierre Jean David d'Angers, 49300 Cholet, Fa Guo ","Xia Ding , Leng , Ce Suo , Tu , Fang Jian , Bai Pan , Zu Zhi , Ju Kao , Bing ",https://www.google.com/maps/place/McDonald%27s+Cholet+Nord/data=!4m7!3m6!1s0x48064667a27203f5:0xbb82050bea69dc50!8m2!3d47.0732025!4d-0.8423778!16s%2Fg%2F1pztb_s_d!19sChIJ9QNyomdGBkgRUNxp6gsFgrs?authuser=0&hl=zh-TW&rclk=1
ChIJk47reYlGBkgRs32n84VrB1k,Boulangerie La Pause - Cholet,,False,1128,"Name: Restaurant La Boucherie
link: https://www.google.com/maps/search/Restaurant+La+Boucherie/@47.0775392,-0.8365353999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1424 reviews

Name: Restaurant du Parc
link: https://www.google.com/maps/search/Restaurant+du+Parc/@47.05468930000001,-0.8752789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 410 reviews

Name: Bistrot de la Gare
link: https://www.google.com/maps/search/Bistrot+de+la+Gare/@47.065531299999996,-0.8709682999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Le Bistro
link: https://www.google.com/maps/search/Le+Bistro/@47.0620676,-0.8778587999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews",https://www.facebook.com/lapausecholet,Boulangerie La Pause - Cholet (Ye Zhu ),https://www.google.com/maps/contrib/109124087276973331666,https://lh5.googleusercontent.com/p/AF1QipNGmy_neT2HJyl49-zODRKA3c3qykQMGpvDdi2T=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Kuai Can Dian , Fa Shi Gao Bing Dian , Can Ting ",4,06:00-20:00,Xing Qi Ri ,+33 2 41 30 78 63,"Boulangerie La Pause - Cholet, 1 Pl. de Paris, 49300 Cholet, Fa Guo ","Can , Ma Ling Shu , Bai Pan , Xiao Rong , Han Bao , Ju Kao , Fang Jian , Ting Che Chang , E ",https://www.google.com/maps/place/Boulangerie+La+Pause+-+Cholet/data=!4m7!3m6!1s0x4806468979eb8e93:0x59076b85f3a77db3!8m2!3d47.0687618!4d-0.8526661!16s%2Fg%2F1wj_sn9v!19sChIJk47reYlGBkgRs32n84VrB1k?authuser=0&hl=zh-TW&rclk=1
ChIJYWbrdK9GBkgRhR0rcoUJVng,Brasserie L'Effervescence,,False,959,"Name: Le Grand Cafe
link: https://www.google.com/maps/search/Le+Grand+Caf%C3%A9/@47.061977999999996,-0.8807149999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2673 reviews

Name: La Dolce Vita
link: https://www.google.com/maps/search/La+Dolce+Vita/@47.0597329,-0.8793365999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 528 reviews

Name: Restaurant Le Parvis
link: https://www.google.com/maps/search/Restaurant+Le+Parvis/@47.0608619,-0.8817005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 464 reviews

Name: Le Conti
link: https://www.google.com/maps/search/Le+Conti/@47.0623539,-0.8801188?authuser=0&hl=zh-TW&entry=ttu
Reviews: 434 reviews

Name: Le Bistro
link: https://www.google.com/maps/search/Le+Bistro/@47.0620676,-0.8778587999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews",http://www.leffervescence-brasserie.fr/,Brasserie L'Effervescence (Ye Zhu ),https://www.google.com/maps/contrib/115697062375964847219,https://lh5.googleusercontent.com/p/AF1QipPaeRPCslj3IFeu-MUYtX0aAW6_KVKsLHYJt6Ig=w408-h271-k-no,Fa Shi Can Ting ,"Fa Shi Can Ting , Jiu Ba , Can Ting ",3.9,10:00-02:00,Xing Qi Ri ,+33 2 41 65 28 04,"Brasserie L'Effervescence, 139 Rue Nationale, 49300 Cholet, Fa Guo ","Bai Pan , Liao Li , Leng , Kao , Dian Shi , Huo , Lou Ceng ",https://www.google.com/maps/place/Brasserie+L%27Effervescence/data=!4m7!3m6!1s0x480646af74eb6661:0x78560985722b1d85!8m2!3d47.0619277!4d-0.8822728!16s%2Fg%2F1tdbdtgk!19sChIJYWbrdK9GBkgRhR0rcoUJVng?authuser=0&hl=zh-TW&rclk=1
ChIJh7rcDK9GBkgRER1LhtF6ljo,BCHEF - CHOLET,,False,864,"Name: Le Constantinople
link: https://www.google.com/maps/search/Le+Constantinople/@47.0605008,-0.8826859?authuser=0&hl=zh-TW&entry=ttu
Reviews: 378 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@47.0614091,-0.8836974999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 377 reviews

Name: Miam's
link: https://www.google.com/maps/search/Miam%27s/@47.061844799999996,-0.88323?authuser=0&hl=zh-TW&entry=ttu
Reviews: 351 reviews

Name: Le Brunch
link: https://www.google.com/maps/search/Le+Brunch/@47.0462621,-0.8865288?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: La p'tite fringale
link: https://www.google.com/maps/search/La+p%E2%80%99tite+fringale/@47.0619156,-0.8789538?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",http://bchef.fr/,BCHEF - CHOLET (Ye Zhu ),https://www.google.com/maps/contrib/101553001434791409767,https://lh5.googleusercontent.com/p/AF1QipO9fCmocEuiE6Hnx7yGcOI7dgzW4qNrjcAkOs0X=w408-h291-k-no,Kuai Can Dian ,Kuai Can Dian ,4,11:00-22:00,Xing Qi Yi ,+33 2 41 75 43 39,"BCHEF - CHOLET, 30 Rue Bretonnaise, 49300 Cholet, Fa Guo ","Bei Guo , Xia Ding , Song Bing , Ju Kao , Gai Nian ",https://www.google.com/maps/place/BCHEF+-+CHOLET/data=!4m7!3m6!1s0x480646af0cdcba87:0x3a967ad1864b1d11!8m2!3d47.0617446!4d-0.8825229!16s%2Fg%2F11dzzg5gy9!19sChIJh7rcDK9GBkgRER1LhtF6ljo?authuser=0&hl=zh-TW&rclk=1
ChIJ02pySkJGBkgRW3vW62hmXHI,Patapain,,False,773,"Name: Del Arte
link: https://www.google.com/maps/search/Del+Arte/@47.0783645,-0.8347532?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1469 reviews

Name: Le Brunch
link: https://www.google.com/maps/search/Le+Brunch/@47.0462621,-0.8865288?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: La Mie Caline
link: https://www.google.com/maps/search/La+Mie+C%C3%A2line/@47.0622525,-0.8803968999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: La p'tite fringale
link: https://www.google.com/maps/search/La+p%E2%80%99tite+fringale/@47.0619156,-0.8789538?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",https://patapain.com/,Patapain (Ye Zhu ),https://www.google.com/maps/contrib/113245826903049900242,https://lh5.googleusercontent.com/p/AF1QipNRYoNtQv0-GkANkohcuWHTAss0vhtqrFCcdMli=w408-h272-k-no,San Wen Zhi Dian ,"San Wen Zhi Dian , Dao Hui Fu Wu , Ka Pei Dian , Kuai Can Dian , Bo Bing Can Ting , Sha Lu Dian ",4,07:00-20:00,Open All Days,+33 2 41 75 66 66,"Patapain, ZAC de l'Ecuyere, Av. d'Angers, 49300 Cholet, Fa Guo ","Zao Can , Gao , Dian Yuan , Mian Bao Dian , Du Jia ",https://www.google.com/maps/place/Patapain/data=!4m7!3m6!1s0x480646424a726ad3:0x725c6668ebd67b5b!8m2!3d47.0782215!4d-0.8353689!16s%2Fg%2F1tf2rm08!19sChIJ02pySkJGBkgRW3vW62hmXHI?authuser=0&hl=zh-TW&rclk=1
ChIJvVOYo_lDBkgRexluVEaH8d4,BOULANGERIE ANGE,,False,707,"Name: Boulangerie Feuillette
link: https://www.google.com/maps/search/Boulangerie+Feuillette/@47.055644,-0.860215?authuser=0&hl=zh-TW&entry=ttu
Reviews: 477 reviews

Name: La Magie du Ble
link: https://www.google.com/maps/search/La+Magie+du+Bl%C3%A9/@47.049329199999995,-0.8972716000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: L Instant Gourmand
link: https://www.google.com/maps/search/L+Instant+Gourmand/@47.0621679,-0.8760671?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: Le Four Choletais
link: https://www.google.com/maps/search/Le+Four+Choletais/@47.0623326,-0.8774539?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews",http://www.boulangerie-ange.fr/,BOULANGERIE ANGE (Ye Zhu ),https://www.google.com/maps/contrib/117980073704752119461,https://lh5.googleusercontent.com/p/AF1QipMxMljIPM1ZwpLuiJoTnNUqEayURjYWHwCyKpbt=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting , Zheng Liu Ka Pei Ba , Kuai Can Dian , Gao Bing Dian , Bo Bing Can Ting ",4.3,06:30-20:00,Xing Qi Yi ,+33 2 41 29 74 47,"BOULANGERIE ANGE, 50 Av. Napoleon Bonaparte, 49300 Cholet, Fa Guo ","Pi Sa , Dian Yuan , San Ming Zhi , Xiao Rong , Fa Guo Mian Bao , Xuan Ze , Tuan Dui , Qiao Ke Li Ke Song ",https://www.google.com/maps/place/BOULANGERIE+ANGE/data=!4m7!3m6!1s0x480643f9a39853bd:0xdef18746546e197b!8m2!3d47.046611!4d-0.8952515!16s%2Fg%2F11b6gfjztt!19sChIJvVOYo_lDBkgRexluVEaH8d4?authuser=0&hl=zh-TW&rclk=1
ChIJeYeWOmhGBkgRSMGoQS1HD8M,Faubourg Cafe Cholet,,False,645,"Name: Le Grand Cafe
link: https://www.google.com/maps/search/Le+Grand+Caf%C3%A9/@47.061977999999996,-0.8807149999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2673 reviews

Name: Bistrot de la Gare
link: https://www.google.com/maps/search/Bistrot+de+la+Gare/@47.065531299999996,-0.8709682999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Le Bistro
link: https://www.google.com/maps/search/Le+Bistro/@47.0620676,-0.8778587999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews

Name: Le Stand - Restaurant | L'Autre Usine
link: https://www.google.com/maps/search/Le+Stand+-+Restaurant+%7C+L%27Autre+Usine/@47.058283599999996,-0.8577886?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews",https://m.facebook.com/cafefaubourgcholet/,Faubourg Cafe Cholet (Ye Zhu ),https://www.google.com/maps/contrib/110756038972667295689,https://lh5.googleusercontent.com/p/AF1QipPhmvLdJHZvN0mtBxCl7_hdSJC4LU4DlqcMMNx6=w408-h544-k-no,Can Ting ,"Can Ting , Fa Shi Can Ting ",4.2,09:00-20:00,Xing Qi Ri ,+33 2 41 58 25 22,"Faubourg Cafe Cholet, Centre Commercial l'Autre Faubourg, 7 Rue Sorel-Tracy, 49300 Cholet, Fa Guo ","Bai Pan , Tian Dian , Zao Yin , Sha La , Zao Can , Xian Mu , Qian Cai , Bai Hui ",https://www.google.com/maps/place/Faubourg+Caf%C3%A9+Cholet/data=!4m7!3m6!1s0x480646683a968779:0xc30f472d41a8c148!8m2!3d47.0754374!4d-0.8382636!16s%2Fg%2F1tm11_35!19sChIJeYeWOmhGBkgRSMGoQS1HD8M?authuser=0&hl=zh-TW&rclk=1
ChIJ4xHa62BGBkgR0BY7RK_vP8U,BOULANGERIE ANGE,,False,590,"Name: Boulangerie Tarterie Aubert
link: https://www.google.com/maps/search/Boulangerie+Tarterie+Aubert/@47.0688124,-0.8967777000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 204 reviews

Name: La Magie du Ble
link: https://www.google.com/maps/search/La+Magie+du+Bl%C3%A9/@47.049329199999995,-0.8972716000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: L Instant Gourmand
link: https://www.google.com/maps/search/L+Instant+Gourmand/@47.0621679,-0.8760671?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: Le Four Choletais
link: https://www.google.com/maps/search/Le+Four+Choletais/@47.0623326,-0.8774539?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews",http://www.boulangerie-ange.fr/,BOULANGERIE ANGE (Ye Zhu ),https://www.google.com/maps/contrib/117875376862260098680,https://lh5.googleusercontent.com/p/AF1QipMHPiY4wIoZBOxuhVz0wgF6-EMfFVP7X2cIP96g=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting , Zheng Liu Ka Pei Ba , Kuai Can Dian , Gao Bing Dian , Bo Bing Can Ting , Cha Yi Guan ",4.4,06:30-20:00,Xing Qi Yi ,+33 2 41 62 92 41,"BOULANGERIE ANGE, Zone de l'Ecuyere, 21 Av. Edmond Michelet, 49300 Cholet, Fa Guo ","Pi Sa , Xiao Rong , San Ming Zhi , Dian Yuan , Tuan Dui , Xuan Ze , Fa Guo Mian Bao , Ta ",https://www.google.com/maps/place/BOULANGERIE+ANGE/data=!4m7!3m6!1s0x48064660ebda11e3:0xc53fefaf443b16d0!8m2!3d47.0729356!4d-0.8472579!16s%2Fg%2F11fy_qdlbp!19sChIJ4xHa62BGBkgR0BY7RK_vP8U?authuser=0&hl=zh-TW&rclk=1
