place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZ8l9OCUzK4gRukhf-85E_Ug,Istanbul Cafe & Espresso Bar,,False,1218,"Name: Aroma Espresso Bar
link: https://www.google.com/maps/search/Aroma+Espresso+Bar/@43.707085,-79.3987643?authuser=0&hl=zh-TW&entry=ttu
Reviews: 677 reviews

Name: Himalayan Coffee House
link: https://www.google.com/maps/search/Himalayan+Coffee+House/@43.713383,-79.4000562?authuser=0&hl=zh-TW&entry=ttu
Reviews: 491 reviews

Name: Isle of Coffee
link: https://www.google.com/maps/search/Isle+of+Coffee/@43.7045526,-79.4098475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 252 reviews

Name: Istanbul Kebab House
link: https://www.google.com/maps/search/Istanbul+Kebab+House/@43.707566799999995,-79.3957393?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Zaza Espresso Bar
link: https://www.google.com/maps/search/Zaza+Espresso+Bar/@43.7072693,-79.3996009?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",http://www.istanbulcafe.ca/,Istanbul Cafe & Espresso Bar (Ye Zhu ),https://www.google.com/maps/contrib/100461891334689138045,https://lh5.googleusercontent.com/p/AF1QipMzH1NWr6kgJNT4CPOQA3ScIzVYYaj9ni-ry4vB=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.5,08:00-18:00,Xing Qi Yi ,+1 416-480-0303,"Istanbul Cafe & Espresso Bar, 174 Eglinton Ave E, Toronto, ON M4P 1A6Jia Na Da ","atmosphere, Mian Ji , Deng ",https://www.google.com/maps/place/Istanbul+Caf%C3%A9+%26+Espresso+Bar/data=!4m7!3m6!1s0x882b3325387dc967:0x48fd44cefb5f48ba!8m2!3d43.7080037!4d-79.3930807!16s%2Fg%2F11b6pzmkdm!19sChIJZ8l9OCUzK4gRukhf-85E_Ug?authuser=0&hl=zh-TW&rclk=1
ChIJfQJkpzMyK4gR5C-7gakVL4w,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1194,"Name: Michel's Bakery Cafe
link: https://www.google.com/maps/search/Michel%27s+Bakery+Caf%C3%A9/@43.7250832,-79.45361729999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 786 reviews

Name: % Arabica (Yorkdale)
link: https://www.google.com/maps/search/%25+Arabica+%28Yorkdale%29/@43.7242374,-79.4539605?authuser=0&hl=zh-TW&entry=ttu
Reviews: 733 reviews

Name: Illy Caffe
link: https://www.google.com/maps/search/Illy+Caffe/@43.7262857,-79.4524239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 534 reviews

Name: Cafe Plus
link: https://www.google.com/maps/search/Cafe+Plus/@43.718671199999996,-79.4560524?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews",https://www.starbucks.ca/store-locator/store/1017805,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/109485448354571050375,https://lh5.googleusercontent.com/p/AF1QipMC5Kay_4hisE_RI4dptpYJO5mMsFEixcIlrJmp=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.1,07:00-22:00,Xing Qi Yi ,+1 416-278-8651,"Starbucks, 3401 Dufferin St, Toronto, ON M6A 2T9Jia Na Da ","Shou Ji , Ka Pei Shi , Gou Wu Zhong Xin , Shui , Xing Bing Le , Jiu , Ming , Dian Feng Shan , Xiao Rong ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x882b3233a764027d:0x8c2f15a981bb2fe4!8m2!3d43.7249165!4d-79.4539611!16s%2Fg%2F11f1z12kw5!19sChIJfQJkpzMyK4gR5C-7gakVL4w?authuser=0&hl=zh-TW&rclk=1
ChIJIckrvGcyK4gRJ2lNTEcu0M4,Pancer's Original Deli,,False,1188,"Name: When The Pig Came Home Delicatessen
link: https://www.google.com/maps/search/When+The+Pig+Came+Home+Delicatessen/@43.6657619,-79.4648335?authuser=0&hl=zh-TW&entry=ttu
Reviews: 533 reviews

Name: Wolfie's Deli
link: https://www.google.com/maps/search/Wolfie%27s+Deli/@43.7549759,-79.4424898?authuser=0&hl=zh-TW&entry=ttu
Reviews: 415 reviews

Name: Dave's Genuine Deli
link: https://www.google.com/maps/search/Dave%27s+Genuine+Deli/@43.7294136,-79.4183121?authuser=0&hl=zh-TW&entry=ttu
Reviews: 208 reviews

Name: Pioneer Deli
link: https://www.google.com/maps/search/Pioneer+Deli/@43.714368,-79.3337756?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews",http://www.pancersoriginaldeli.com/,Pancer's Original Deli (Ye Zhu ),https://www.google.com/maps/contrib/110221617806624061582,https://lh5.googleusercontent.com/p/AF1QipONVP09iqkza3_PLffj_UZaewtaUSk7dXt2y-_e=w408-h544-k-no,Shou Shi Dian ,"Shou Shi Dian , Jia Na Da Can Ting , Shou Shi Leng Rou Zhuan Mai Dian , Jia Ting Can Ting , You Tai Can Ting ",4.5,10:00-20:00,Open All Days,+1 416-636-1230,"Pancer's Original Deli, 3856 Bathurst St, North York, ON M3H 3N3Jia Na Da ",,https://www.google.com/maps/place/Pancer%27s+Original+Deli/data=!4m7!3m6!1s0x882b3267bc2bc921:0xced02e474c4d6927!8m2!3d43.7407951!4d-79.4353784!16s%2Fg%2F1v831r0m!19sChIJIckrvGcyK4gRJ2lNTEcu0M4?authuser=0&hl=zh-TW&rclk=1
ChIJJWWw2iMzK4gRguD50KdIGxQ,De Mello Coffee,,False,1045,"Name: Dineen Coffee Co.
link: https://www.google.com/maps/search/Dineen+Coffee+Co./@43.6511749,-79.3788897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2856 reviews

Name: Mallo Coffee & Bar
link: https://www.google.com/maps/search/Mallo+Coffee+%26+Bar/@43.6646307,-79.41073759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 434 reviews

Name: Coffee Lunar
link: https://www.google.com/maps/search/Coffee+Lunar/@43.6740892,-79.38905849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 411 reviews

Name: Crosstown Coffee Bar
link: https://www.google.com/maps/search/Crosstown+Coffee+Bar/@43.7045037,-79.4071104?authuser=0&hl=zh-TW&entry=ttu
Reviews: 375 reviews

Name: De Mello Coffee
link: https://www.google.com/maps/search/De+Mello+Coffee/@43.7753067,-79.52844999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://www.hellodemello.com/,De Mello Coffee (Ye Zhu ),https://www.google.com/maps/contrib/108190809015296672346,https://lh5.googleusercontent.com/p/AF1QipNEbjKcA6ZTyhwMEyx12__-hDLpPW7Q-BRjU5OE=w408-h611-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Ka Pei Ting , Ka Pei Hong Bei Shang , Ka Pei Pi Fa Shang ",4.6,08:00-18:00,Xing Qi Yi ,+1 416-556-5393,"De Mello Coffee, 2489 Yonge St, Toronto, ON M4P 2H6Jia Na Da ","Dou , Mian Ji , Ti La Mi Su , Bao , Shan Yang , Si Kang ",https://www.google.com/maps/place/De+Mello+Coffee/data=!4m7!3m6!1s0x882b3323dab06525:0x141b48a7d0f9e082!8m2!3d43.7118501!4d-79.399168!16s%2Fg%2F124t1_0hp!19sChIJJWWw2iMzK4gRguD50KdIGxQ?authuser=0&hl=zh-TW&rclk=1
ChIJTX5lan4zK4gRymFmrzFMoQ0,Tim Hortons,,False,1019,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@43.6817582,-79.4269498?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1523 reviews

Name: Krave Coffee
link: https://www.google.com/maps/search/Krave+Coffee/@43.680794399999996,-79.42932359999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 622 reviews

Name: Cocoalatte
link: https://www.google.com/maps/search/Cocoalatte/@43.681670499999996,-79.42506820000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 446 reviews

Name: The Grind Cafe
link: https://www.google.com/maps/search/The+Grind+Cafe/@43.682608699999996,-79.42189549999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: Helen's Coffee
link: https://www.google.com/maps/search/Helen%27s+Coffee/@43.681148799999995,-79.429665?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://locations.timhortons.ca/en/on/toronto/550-st-clair-ave-west/,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/110676396649487228878,https://lh5.googleusercontent.com/p/AF1QipPiKL_L7HDkkQMGJtHRl7RIaN8eImhMdVyw8E_m=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.7,04:00-01:00,Open All Days,+1 416-656-4012,"Tim Hortons, 550 St Clair Ave W, Toronto, ON M6C 1A5Jia Na Da ","Tian Tian Quan , Shou Yin , Yu Shi , You Min , Fan Xin , Xun Lian , app",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882b337e6a657e4d:0xda14c31af6661ca!8m2!3d43.6827406!4d-79.4211574!16s%2Fg%2F1tdhmg5y!19sChIJTX5lan4zK4gRymFmrzFMoQ0?authuser=0&hl=zh-TW&rclk=1
ChIJ08xIGeQzK4gRkvTYpL_b2D0,Tim Hortons,,False,1008,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@43.7049187,-79.4522381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2474 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@43.7142096,-79.456396?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1894 reviews

Name: Egglinton Grill
link: https://www.google.com/maps/search/Egglinton+Grill/@43.6901211,-79.4742776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 555 reviews

Name: Tim Hortons Brookfield Place
link: https://www.google.com/maps/search/Tim+Hortons+Brookfield+Place/@43.6471832,-79.3773224?authuser=0&hl=zh-TW&entry=ttu
Reviews: 542 reviews",http://locations.timhortons.ca/on/toronto/815-caledonia-rd,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/100713751827980588061,https://lh5.googleusercontent.com/p/AF1QipOHIoPp-D-ekQjueCmWM0hcsTsdwyIfrmWNEh0m=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.6,05:00-23:00,Open All Days,+1 416-785-0980,"Tim Hortons, 815 Caledonia Rd, Toronto, ON M6B 3X8Jia Na Da ","De Lai Su , Tian Tian Quan , Chuang , Ting Che , Qing Jie , Pei Gen , Xiao ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882b33e41948ccd3:0x3dd8dbbfa4d8f492!8m2!3d43.7014314!4d-79.4638029!16s%2Fg%2F1trrdv4k!19sChIJ08xIGeQzK4gRkvTYpL_b2D0?authuser=0&hl=zh-TW&rclk=1
ChIJQ0TXlzwzK4gRxOW6c_c28_g,Tim Hortons,,False,995,"Name: Aroma Espresso Bar
link: https://www.google.com/maps/search/Aroma+Espresso+Bar/@43.707085,-79.3987643?authuser=0&hl=zh-TW&entry=ttu
Reviews: 677 reviews

Name: Rachel's Coffeehouse
link: https://www.google.com/maps/search/Rachel%27s+Coffeehouse/@43.7010095,-79.39695640000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 386 reviews

Name: Good Bite Restaurant
link: https://www.google.com/maps/search/Good+Bite+Restaurant/@43.711477599999995,-79.3991266?authuser=0&hl=zh-TW&entry=ttu
Reviews: 336 reviews

Name: Dinah E Cafe
link: https://www.google.com/maps/search/Dinah+E+Cafe/@43.7060408,-79.40251839999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Yonge St Gourmet Ltd
link: https://www.google.com/maps/search/Yonge+St+Gourmet+Ltd/@43.705247899999996,-79.39865309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://locations.timhortons.ca/on/toronto/2245-yonge-st,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/112581467905450811846,https://lh5.googleusercontent.com/p/AF1QipMDLn70S21h9SRpUotOK1xYVZdadsMIj9VhtX6I=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.8,05:00-22:00,Open All Days,+1 416-932-0873,"Tim Hortons, 2245 Yonge St, Toronto, ON M4S 2B1Jia Na Da ","Qing Jie , Shou Yin , Tian Tian Quan , Guan Li , Bei Guo , Juan Bing , Xiang Cao , Can Jin Zhi , You Min ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882b333c97d74443:0xf8f336f773bae5c4!8m2!3d43.7065891!4d-79.3978366!16s%2Fg%2F1tk9rd9s!19sChIJQ0TXlzwzK4gRxOW6c_c28_g?authuser=0&hl=zh-TW&rclk=1
ChIJFcciOyYzK4gRMWQlvzFBCcI,Boxcar Social,,False,955,"Name: Balzac's Reference Library
link: https://www.google.com/maps/search/Balzac%27s+Reference+Library/@43.6716377,-79.3871961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 622 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@43.6779607,-79.390273?authuser=0&hl=zh-TW&entry=ttu
Reviews: 515 reviews

Name: nutbar
link: https://www.google.com/maps/search/nutbar/@43.6829246,-79.39228539999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 194 reviews

Name: Boxcar Social Laneway
link: https://www.google.com/maps/search/Boxcar+Social+Laneway/@43.655636799999996,-79.40933629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 95 reviews",https://boxcarsocial.ca/,Boxcar Social (Ye Zhu ),https://www.google.com/maps/contrib/113927952014999218804,https://lh5.googleusercontent.com/p/AF1QipOmzQ1K5bpDtXfKlLukxa4qf6krufCUGXqjjc9l=w408-h407-k-no,Ka Pei Dian ,"Ka Pei Dian , Jiu Ba , Ka Pei Ting , Jiu Pin Zhuan Mai Dian ",4.4,08:00-00:00,Open All Days,+1 844-726-9227,"Boxcar Social, 1210 Yonge St, Toronto, ON M4T 1W1Jia Na Da ","atmosphere, Hong Jiu , Wei Shi Ji , Wan Shang , Ke Song , Bo Li , Hui Yi , Wen Qing ",https://www.google.com/maps/place/Boxcar+Social/data=!4m7!3m6!1s0x882b33263b22c715:0xc2094131bf256431!8m2!3d43.681737!4d-79.391748!16s%2Fg%2F11fw910pfn!19sChIJFcciOyYzK4gRMWQlvzFBCcI?authuser=0&hl=zh-TW&rclk=1
ChIJ8SBdvjkyK4gRUDFiTQpzZgY,A&W Canada,"Su Shi Dian ,Gong Ying Tong Ming De Mai Gen Sha Shi , Piao Fu Yin Pin , Han Bao , Ji Rou Yu Shu Tiao . ",False,939,"Name: Jollibee
link: https://www.google.com/maps/search/Jollibee/@43.732897799999996,-79.4521578?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1074 reviews

Name: Vivo Pizza + Pasta
link: https://www.google.com/maps/search/Vivo+Pizza+%2B+Pasta/@43.7331903,-79.45087699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 547 reviews

Name: Pur & Simple
link: https://www.google.com/maps/search/P%C3%BCr+%26+Simple/@43.7329734,-79.4521934?authuser=0&hl=zh-TW&entry=ttu
Reviews: 437 reviews

Name: A&W
link: https://www.google.com/maps/search/A%26W/@43.670747,-79.472966?authuser=0&hl=zh-TW&entry=ttu
Reviews: 280 reviews",https://web.aw.ca/,A&W Canada (Ye Zhu ),https://www.google.com/maps/contrib/104072381139884010222,https://lh5.googleusercontent.com/p/AF1QipNgxiRRik_KlO4dpWPyBAbqtWESxdFIWDFhnE-k=w408-h306-k-no,Han Bao Can Ting ,"Han Bao Can Ting , Mei Shi Can Ting , Zao Can Can Ting , Ji Rou Can Ting , Kuai Can Dian ",4.2,24 Xiao Shi Ying Ye ,Open All Days,+1 416-636-7274,"A&W Canada, 77 Billy Bishop Way B7, North York, ON M3K 0C2Jia Na Da ","Su Shi Dian , Zao Can , Yang Cong Quan , Sheng Cai , You Hui Quan , Juan Bing , Ma Ke Bei , Xiang Chang ",https://www.google.com/maps/place/A%26W+Canada/data=!4m7!3m6!1s0x882b3239be5d20f1:0x666730a4d623150!8m2!3d43.732211!4d-79.451843!16s%2Fg%2F11f1231rmr!19sChIJ8SBdvjkyK4gRUDFiTQpzZgY?authuser=0&hl=zh-TW&rclk=1
ChIJ_7rZzUgxK4gRDznVTIrcvxM,Tim Hortons,,False,862,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@43.7156937,-79.50787919999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2730 reviews

Name: 100% SALVADORENO Restaurant & Take out
link: https://www.google.com/maps/search/100%25+SALVADORE%C3%91O+Restaurant+%26+Take+out/@43.697131999999996,-79.4941564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews

Name: Jamaica Way Restaurant
link: https://www.google.com/maps/search/Jamaica+Way+Restaurant/@43.6971954,-79.49428429999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 162 reviews

Name: tudo's Pizza House
link: https://www.google.com/maps/search/tudo%E2%80%99s+Pizza+House/@43.695868399999995,-79.48781029999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Coffee Time
link: https://www.google.com/maps/search/Coffee+Time/@43.802487199999995,-79.2939088?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://locations.timhortons.ca/on/north-york/500-trethewey-dr,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/112438520776280328249,https://lh5.googleusercontent.com/p/AF1QipN4pvWXI8dY-nnmvOctOAHmxTlw_UPOFRo7Aoc7=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.7,24 Xiao Shi Ying Ye ,Xing Qi Yi ,+1 416-243-2122,"Tim Hortons, 500 Trethewey Dr, North York, ON M6M 4C2Jia Na Da ","De Lai Su , Tian Tian Quan , Zao Shang , Bei Guo , Qing Jie , Fan Xin , Qian , Nai You Qi Si , Chuang ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882b3148cdd9baff:0x13bfdc8a4cd5390f!8m2!3d43.6957214!4d-79.487751!16s%2Fg%2F11b8v9kggc!19sChIJ_7rZzUgxK4gRDznVTIrcvxM?authuser=0&hl=zh-TW&rclk=1
