place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJd-WMwOo5u5QRTjir-1gScvI,Americanas Express,,False,33,"Name: Magazine Luiza
link: https://www.google.com/maps/search/Magazine+Luiza/@-19.9224799,-48.377710199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Loja Zema - Conceicao das Alagoas
link: https://www.google.com/maps/search/Loja+Zema+-+Concei%C3%A7%C3%A3o+das+Alagoas/@-19.9231067,-48.378854399999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: O Boticario
link: https://www.google.com/maps/search/O+Botic%C3%A1rio/@-19.9227317,-48.3780803?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Rede Eletrosom
link: https://www.google.com/maps/search/Rede+Eletrosom/@-19.9227639,-48.378350999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Drogarias Ultra Popular
link: https://www.google.com/maps/search/Drogarias+Ultra+Popular/@-19.9234604,-48.3791035?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.americanas.com.br/,Americanas Express (Ye Zhu ),https://www.google.com/maps/contrib/102875174544792403458,https://lh5.googleusercontent.com/p/AF1QipMK0gS-Hs2I8wv6dZZtS_q6cS8Oz2zdu4hohRi9=w408-h306-k-no,Bai Huo Gong Si ,Bai Huo Gong Si ,4.2,09:00-19:00,Open All Days,,"Americanas Express - Av. Brasil, 540 - Centro, Conceicao das Alagoas - MG, 38120-000Ba Xi ",Jia Ge ,https://www.google.com/maps/place/Americanas+Express/data=!4m7!3m6!1s0x94bb39eac08ce577:0xf2721258fbab384e!8m2!3d-19.9230544!4d-48.3783046!16s%2Fg%2F11rcs1n98k!19sChIJd-WMwOo5u5QRTjir-1gScvI?authuser=0&hl=zh-TW&rclk=1
ChIJd5V4HD04u5QRinnRFHC7PYs,Supermercado Uniao - Loja 01,,False,600,"Name: Supermercado Super Bom Preco
link: https://www.google.com/maps/search/Supermercado+Super+Bom+Pre%C3%A7o/@-19.9205532,-48.3739493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 394 reviews

Name: Supermercado Uniao - Loja 02
link: https://www.google.com/maps/search/Supermercado+Uni%C3%A3o+-+Loja+02/@-19.918119,-48.3849564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 375 reviews

Name: Super Bom Preco Supermercado - Loja 02
link: https://www.google.com/maps/search/Super+Bom+Pre%C3%A7o+Supermercado+-+Loja+02/@-19.929278900000003,-48.3787431?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Lojao das Ofertas
link: https://www.google.com/maps/search/Loj%C3%A3o+das+Ofertas/@-19.9219299,-48.3758151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Uniao Plast
link: https://www.google.com/maps/search/Uni%C3%A3o+Plast/@-19.9240302,-48.380494299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Supermercado Uniao - Loja 01 (Ye Zhu ),https://www.google.com/maps/contrib/115497281254180621746,https://lh5.googleusercontent.com/p/AF1QipPhQaZcjFwGuU7HmKpxfeMKu-dFPLBzG4p4Sjud=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.3,07:00-20:00,Open All Days,+55 34 3321-3147,"Supermercado Uniao - Loja 01 - Av. Brasil, 740 - Centro, Conceicao das Alagoas - MG, 38120-000Ba Xi ","Jia Ge , Jiao Yu , Ke Ren ",https://www.google.com/maps/place/Supermercado+Uni%C3%A3o+-+Loja+01/data=!4m7!3m6!1s0x94bb383d1c789577:0x8b3dbb7014d1798a!8m2!3d-19.9222698!4d-48.3766403!16s%2Fg%2F11ckvvhc55!19sChIJd5V4HD04u5QRinnRFHC7PYs?authuser=0&hl=zh-TW&rclk=1
ChIJA5f59Bs4u5QRXDo0rUJtS60,Supermercado Uniao - Loja 02,,False,375,"Name: Supermercado Uniao - Loja 01
link: https://www.google.com/maps/search/Supermercado+Uni%C3%A3o+-+Loja+01/@-19.9222698,-48.376640300000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 600 reviews

Name: Supermercado Super Bom Preco
link: https://www.google.com/maps/search/Supermercado+Super+Bom+Pre%C3%A7o/@-19.9205532,-48.3739493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 394 reviews

Name: Super Bom Preco Supermercado - Loja 02
link: https://www.google.com/maps/search/Super+Bom+Pre%C3%A7o+Supermercado+-+Loja+02/@-19.929278900000003,-48.3787431?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Supermercado Sousa e Tannous
link: https://www.google.com/maps/search/Supermercado+Sousa+e+Tannous/@-19.920405499999998,-48.3740662?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Supermercado para Todos
link: https://www.google.com/maps/search/Supermercado+para+Todos/@-19.9176254,-48.3843897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Supermercado Uniao - Loja 02 (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMbq-MSrXZk0w4iZgttv0li_tVpx9CIsHjkxC4=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.4,07:00-20:00,Open All Days,+55 34 3321-3809,"Supermercado Uniao - Loja 02 - R. Pres. Vargas, 451 - Centro, Conceicao das Alagoas - MG, 38120-000Ba Xi ",Jia Ge ,https://www.google.com/maps/place/Supermercado+Uni%C3%A3o+-+Loja+02/data=!4m7!3m6!1s0x94bb381bf4f99703:0xad4b6d42ad343a5c!8m2!3d-19.918119!4d-48.3849564!16s%2Fg%2F11cr_h4fhq!19sChIJA5f59Bs4u5QRXDo0rUJtS60?authuser=0&hl=zh-TW&rclk=1
ChIJG-GeiDA4u5QR1SXsMxis4s8,Panificadora Santa Luzia,,False,148,"Name: Panificadora e Confeitaria Freitas
link: https://www.google.com/maps/search/Panificadora+e+Confeitaria+Freitas/@-19.9193452,-48.371202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Panificadora Sao Jose
link: https://www.google.com/maps/search/Panificadora+S%C3%A3o+Jos%C3%A9/@-19.9197222,-48.381944399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Quitanda Sabor Real
link: https://www.google.com/maps/search/Quitanda+Sabor+Real/@-19.9260612,-48.373482599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Panificadora Sao Francisco
link: https://www.google.com/maps/search/Panificadora+S%C3%A3o+Francisco/@-19.9253316,-48.370298?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Panificadora Santa Luzia (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNzEJIKHjnkS-IQfztxyFkvFXsDutC_oxbgGvgi=w408-h544-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.5,05:00-19:30,Open All Days,+55 34 3321-2407,"Panificadora Santa Luzia - R. Antonio Martins De Sousa, 18 - Conj. Hab. Joao Staciarini, Conceicao das Alagoas - MG, 38120-000Ba Xi ",Jia Ge ,https://www.google.com/maps/place/Panificadora+Santa+Luzia/data=!4m7!3m6!1s0x94bb3830889ee11b:0xcfe2ac1833ec25d5!8m2!3d-19.9207972!4d-48.3682183!16s%2Fg%2F11bzq46sn3!19sChIJG-GeiDA4u5QR1SXsMxis4s8?authuser=0&hl=zh-TW&rclk=1
ChIJS6T0b0M5u5QR8r2ocJyYx_U,Cacau Show Conceicao das Alagoas,,False,135,"Name: Chiquinho
link: https://www.google.com/maps/search/Chiquinho/@-19.923586099999998,-48.3795751?authuser=0&hl=zh-TW&entry=ttu
Reviews: 341 reviews

Name: Bar Do Goiano
link: https://www.google.com/maps/search/Bar+Do+Goiano/@-19.920178999999997,-48.3721909?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Confeitaria Carvalho
link: https://www.google.com/maps/search/Confeitaria+Carvalho/@-19.920791899999998,-48.3863329?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: CLARA PRESENTES E UTILIDADES
link: https://www.google.com/maps/search/CLARA+PRESENTES+E+UTILIDADES/@-19.920375,-48.3864801?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cacau Show Conceicao das Alagoas (Ye Zhu ),https://www.google.com/maps/contrib/111126866330425496229,https://lh5.googleusercontent.com/p/AF1QipMrzuSZB0DbhFsu7m8XMYUa8Pqj47Q5r2GN7eC_=w408-h306-k-no,Zhu Gu Li Dian ,Zhu Gu Li Dian ,4.7,08:30-18:30,Xing Qi Ri ,+55 34 3321-0531,"Cacau Show Conceicao das Alagoas - Av. Brasil, 700 - Centro, Conceicao das Alagoas - MG, 38120-000Ba Xi ","Huan Jing , Tuan Dui , Zu Zhi ",https://www.google.com/maps/place/Cacau+Show+Concei%C3%A7%C3%A3o+das+Alagoas/data=!4m7!3m6!1s0x94bb39436ff4a44b:0xf5c7989c70a8bdf2!8m2!3d-19.9224187!4d-48.3769932!16s%2Fg%2F11kxkrw0kg!19sChIJS6T0b0M5u5QR8r2ocJyYx_U?authuser=0&hl=zh-TW&rclk=1
ChIJ43QKajs4u5QRfvgskCD7d5I,Panificadora e Confeitaria Freitas,,False,129,"Name: Panificadora Santa Luzia
link: https://www.google.com/maps/search/Panificadora+Santa+Luzia/@-19.9207972,-48.368218299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 148 reviews

Name: Panificadora Rainha
link: https://www.google.com/maps/search/Panificadora+Rainha/@-19.9254706,-48.3810339?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Panificadora Sao Jose
link: https://www.google.com/maps/search/Panificadora+S%C3%A3o+Jos%C3%A9/@-19.9197222,-48.381944399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Mercearia Freitas
link: https://www.google.com/maps/search/Mercearia+Freitas/@-19.9253112,-48.370283799999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews

Name: Panificadora Sao Francisco
link: https://www.google.com/maps/search/Panificadora+S%C3%A3o+Francisco/@-19.9253316,-48.370298?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Panificadora e Confeitaria Freitas (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOvp2K2aeu-4E1dBcurW5LuhjAAG986jp3ideuo=w408-h408-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Gao Bing Dian ",4.4,06:00-19:30,Xing Qi Ri ,+55 34 3321-1631,"Panificadora e Confeitaria Freitas - Av. Brasil, 1425 - Vila Santo Amaro, Conceicao das Alagoas - MG, 38120-000Ba Xi ","Chan Pin , Jia Ge ",https://www.google.com/maps/place/Panificadora+e+Confeitaria+Freitas/data=!4m7!3m6!1s0x94bb383b6a0a74e3:0x9277fb20902cf87e!8m2!3d-19.9193452!4d-48.371202!16s%2Fg%2F1tqp_bqw!19sChIJ43QKajs4u5QRfvgskCD7d5I?authuser=0&hl=zh-TW&rclk=1
ChIJI5q_4D04u5QRjUqd0TFydkw,Supermercado Sousa e Tannous,,False,73,"Name: Supermercado Uniao - Loja 02
link: https://www.google.com/maps/search/Supermercado+Uni%C3%A3o+-+Loja+02/@-19.918119,-48.3849564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 375 reviews

Name: Supermercado Barateiro
link: https://www.google.com/maps/search/Supermercado+Barateiro/@-19.921565599999997,-48.377396?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Supermercado Super Bem
link: https://www.google.com/maps/search/Supermercado+Super+Bem/@-19.9261969,-48.3697252?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Mercearia Triangulo
link: https://www.google.com/maps/search/Mercearia+Triangulo/@-19.9129256,-48.388000299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Supermercado para Todos
link: https://www.google.com/maps/search/Supermercado+para+Todos/@-19.9176254,-48.3843897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Supermercado Sousa e Tannous (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNrbW9WQu4J7sWzrOdMGDKo9xN0Jc4CS1D7CVjj=w408-h725-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.3,07:00-20:00,Open All Days,+55 34 3321-2478,"Supermercado Sousa e Tannous - R. Deolindo de Freitas Paixao, 397 - Centro, Conceicao das Alagoas - MG, 38120-000Ba Xi ",Jia Ge ,https://www.google.com/maps/place/Supermercado+Sousa+e+Tannous/data=!4m7!3m6!1s0x94bb383de0bf9a23:0x4c767231d19d4a8d!8m2!3d-19.9247748!4d-48.3766798!16s%2Fg%2F1ptxfz9zs!19sChIJI5q_4D04u5QRjUqd0TFydkw?authuser=0&hl=zh-TW&rclk=1
ChIJTQEzZxY4u5QRESQcAiUeY9k,Panificadora Rainha,,False,63,"Name: Panificadora e Confeitaria Freitas
link: https://www.google.com/maps/search/Panificadora+e+Confeitaria+Freitas/@-19.9193452,-48.371202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Panificadora Sao Jose
link: https://www.google.com/maps/search/Panificadora+S%C3%A3o+Jos%C3%A9/@-19.9197222,-48.381944399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Quitanda Sabor Real
link: https://www.google.com/maps/search/Quitanda+Sabor+Real/@-19.9260612,-48.373482599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Panificadora Sao Francisco
link: https://www.google.com/maps/search/Panificadora+S%C3%A3o+Francisco/@-19.9253316,-48.370298?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Panificadora Rainha (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM3MIxQd5eVGXFcAcHmEjY4mx3HVyVqd54FGMBn=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.5,03:00-21:00,Xing Qi Ri ,+55 34 3321-2136,"Panificadora Rainha - R. Jesus Marques Prata, 415 - Centro, Conceicao das Alagoas - MG, 38120-000Ba Xi ","Chan Pin , Jia Ge ",https://www.google.com/maps/place/Panificadora+Rainha/data=!4m7!3m6!1s0x94bb38166733014d:0xd9631e25021c2411!8m2!3d-19.9254706!4d-48.3810339!16s%2Fg%2F11c5j71c9y!19sChIJTQEzZxY4u5QRESQcAiUeY9k?authuser=0&hl=zh-TW&rclk=1
ChIJvYoMOT04u5QR3FepuTQOYGY,Supermercado Barateiro,,False,62,"Name: Supermercado Super Bom Preco
link: https://www.google.com/maps/search/Supermercado+Super+Bom+Pre%C3%A7o/@-19.9205532,-48.3739493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 394 reviews

Name: Supermercado Compre Mais
link: https://www.google.com/maps/search/Supermercado+Compre+Mais/@-19.9256857,-48.3590295?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Mercearia Compre Bem
link: https://www.google.com/maps/search/Mercearia+Compre+Bem/@-19.910736099999998,-48.365102199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Supermercado para Todos
link: https://www.google.com/maps/search/Supermercado+para+Todos/@-19.9176254,-48.3843897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Bom Bocado Mercearia
link: https://www.google.com/maps/search/Bom+Bocado+Mercearia/@-19.9241582,-48.381099899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Supermercado Barateiro (Ye Zhu ),https://www.google.com/maps/contrib/113731543991738055247,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Qdu9AzfkzD_P2Z0AfxkDtg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=179.17632&pitch=0&thumbfov=100,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.5,07:00-20:00,Open All Days,+55 34 3321-1643,"Supermercado Barateiro - R. Verissimo, 740 - Centro, Conceicao das Alagoas - MG, 38120-000Ba Xi ",Jia Ge ,https://www.google.com/maps/place/Supermercado+Barateiro/data=!4m7!3m6!1s0x94bb383d390c8abd:0x66600e34b9a957dc!8m2!3d-19.9215656!4d-48.377396!16s%2Fg%2F11c3s8hclx!19sChIJvYoMOT04u5QR3FepuTQOYGY?authuser=0&hl=zh-TW&rclk=1
ChIJzyM-oBk4u5QRGk0gWyxsXvU,Panificadora Sao Jose,,False,57,"Name: Panificadora Santa Luzia
link: https://www.google.com/maps/search/Panificadora+Santa+Luzia/@-19.9207972,-48.368218299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 148 reviews

Name: Panificadora Rainha
link: https://www.google.com/maps/search/Panificadora+Rainha/@-19.9254706,-48.3810339?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Panificadora Sao Francisco
link: https://www.google.com/maps/search/Panificadora+S%C3%A3o+Francisco/@-19.9253316,-48.370298?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Padaria & Lanchonete Ponto Do Sabor
link: https://www.google.com/maps/search/Padaria+%26+Lanchonete+Ponto+Do+Sabor/@-19.916957999999997,-48.3857818?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Panificadora Sao Jose (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMQ4L54JkLsLFLwaV7qabRaSfXNznSv34_4tW-W=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.3,05:00-19:00,Open All Days,+55 34 3321-1971,"Panificadora Sao Jose - R. Uberaba, 470 - Centro, Conceicao das Alagoas - MG, 38120-000Ba Xi ",,https://www.google.com/maps/place/Panificadora+S%C3%A3o+Jos%C3%A9/data=!4m7!3m6!1s0x94bb3819a03e23cf:0xf55e6c2c5b204d1a!8m2!3d-19.9197222!4d-48.3819444!16s%2Fg%2F1ptwqb2t1!19sChIJzyM-oBk4u5QRGk0gWyxsXvU?authuser=0&hl=zh-TW&rclk=1
