place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJmV3cXQDbr5URAv_w4FnsSN8,Bartolo Bar,,False,2638,"Name: Garifo
link: https://www.google.com/maps/search/Garifo/@-32.4876591,-58.23335069999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 797 reviews

Name: Pizzeria Pizza's
link: https://www.google.com/maps/search/Pizzer%C3%ADa+Pizza%27s/@-32.4774762,-58.2351612?authuser=0&hl=zh-TW&entry=ttu
Reviews: 427 reviews

Name: La Taberna
link: https://www.google.com/maps/search/La+Taberna/@-32.4821544,-58.2276737?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Rock & Pizza
link: https://www.google.com/maps/search/Rock+%26+Pizza/@-32.489433999999996,-58.22868810000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",https://bartolobar.com/,Bartolo Bar (Ye Zhu ),https://www.google.com/maps/contrib/114056619105042932838,https://lh5.googleusercontent.com/p/AF1QipPu0Og4RfHSZD66EUloUTErx4kV9NwVCRoFx5YY=w408-h306-k-no,Bo Bing Can Ting ,"Bo Bing Can Ting , Can Ting ",4.1,08:00-01:00,Xing Qi San ,+54 3442 42-7162,"Bartolo Bar, San Martin 745, E3260 Concepcion del Uruguay, Entre Rios, A Gen Ting ","Guang Chang , Fu You , Xin , Jiu , Yu Shi , Xian Bing , Huo ",https://www.google.com/maps/place/Bartolo+Bar/data=!4m7!3m6!1s0x95afdb005ddc5d99:0xdf48ec59e0f0ff02!8m2!3d-32.4856557!4d-58.2327194!16s%2Fg%2F1thz2vjx!19sChIJmV3cXQDbr5URAv_w4FnsSN8?authuser=0&hl=zh-TW&rclk=1
ChIJV1WV6QDbr5URBmIxHOLii4U,Bella Vista,,False,2489,"Name: Bartolo Bar
link: https://www.google.com/maps/search/Bartolo+Bar/@-32.485655699999995,-58.23271939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2638 reviews

Name: Filippo Cafe & Bistro
link: https://www.google.com/maps/search/Filippo+Caf%C3%A9+%26+Bistr%C3%B3/@-32.482583999999996,-58.2326413?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1111 reviews

Name: La Ris
link: https://www.google.com/maps/search/La+Ris/@-32.4839406,-58.2329887?authuser=0&hl=zh-TW&entry=ttu
Reviews: 802 reviews",https://app.olaclick.com/es/bellavista%3Ffrom%3Dqrcode,Bella Vista (Ye Zhu ),https://www.google.com/maps/contrib/104589415391893005543,https://lh5.googleusercontent.com/p/AF1QipPCoFvf2jUG3FoiOEB-5i5L_VEtS1s325ZY35je=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",4.4,08:00-00:00,Xing Qi Yi ,+54 9 3442 50-4837,"Bella Vista, E3264CNA, 3 de Febrero 5, E3260 Concepcion del Uruguay, Entre Rios, A Gen Ting ","Fu You , Guang Chang , Xin , Pi Sa , Chu Fang ",https://www.google.com/maps/place/Bella+Vista/data=!4m7!3m6!1s0x95afdb00e9955557:0x858be2e21c316206!8m2!3d-32.4849019!4d-58.2330407!16s%2Fg%2F11dynypv5y!19sChIJV1WV6QDbr5URBmIxHOLii4U?authuser=0&hl=zh-TW&rclk=1
ChIJM71VD7Lbr5URMXtNkruZJQQ,Supermercados DIA,,False,2110,"Name: Cadena Dar
link: https://www.google.com/maps/search/Cadena+Dar/@-32.486644,-58.24294390000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 532 reviews

Name: Supermercado MARTIN
link: https://www.google.com/maps/search/Supermercado+MARTIN/@-32.4732212,-58.2372729?authuser=0&hl=zh-TW&entry=ttu
Reviews: 449 reviews

Name: Supermercado
link: https://www.google.com/maps/search/Supermercado/@-32.4803606,-58.236735499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://diaonline.supermercadosdia.com.ar/,Supermercados DIA (Ye Zhu ),https://www.google.com/maps/contrib/110274361461481417567,https://lh5.googleusercontent.com/p/AF1QipN13U4j5lgPK7auhiHwZU2rEfNgpQKDI8N7nVJO=w408-h723-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.8,08:00-21:00,Open All Days,,"Supermercados DIA, Sarmiento 1552, E3260 Concepcion del Uruguay, Entre Rios, A Gen Ting ","Gong Ying , Yong Pin , He , Gou Wu Che , Qing Jie , Zhen Kong ",https://www.google.com/maps/place/Supermercados+DIA/data=!4m7!3m6!1s0x95afdbb20f55bd33:0x42599bb924d7b31!8m2!3d-32.4885086!4d-58.2417682!16s%2Fg%2F12hkvy1r1!19sChIJM71VD7Lbr5URMXtNkruZJQQ?authuser=0&hl=zh-TW&rclk=1
ChIJp0uUYw3br5URWhRTpcNjoC4,Heladeria Italia,,False,1652,"Name: Cremolatti
link: https://www.google.com/maps/search/Cremolatti/@-32.4841901,-58.23433909999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 694 reviews

Name: Grido Helado
link: https://www.google.com/maps/search/Grido+Helado/@-32.484648299999996,-58.2359965?authuser=0&hl=zh-TW&entry=ttu
Reviews: 640 reviews

Name: Heladeria Bahillo
link: https://www.google.com/maps/search/Helader%C3%ADa+Bahillo/@-32.4840476,-58.23349090000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 591 reviews

Name: Heladeria Dany's
link: https://www.google.com/maps/search/Heladeria+Dany%27s/@-32.4849916,-58.233035699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 146 reviews

Name: Heladeria artesanal Yelatti
link: https://www.google.com/maps/search/Helader%C3%ADa+artesanal+Yelatti/@-32.4797183,-58.251582299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",https://m.facebook.com/pages/Helader%25C3%25ADa-Italia/1405962316172927,Heladeria Italia (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOJXZKkuTTbIHtvnJm4ZWDL6d32gPLUqw28p1zc=w426-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.7,12:00-01:30,Open All Days,+54 3442 42-2252,"Heladeria Italia, Concepcion del Uruguay, Entre Rios, A Gen Ting ","Fu You , Jia Ge , Chan Pin , Shou Gong , Qing Jie , Jiao Tang Niu Nai , Nai Xi ",https://www.google.com/maps/place/Helader%C3%ADa+Italia/data=!4m7!3m6!1s0x95afdb0d63944ba7:0x2ea063c3a553145a!8m2!3d-32.4843985!4d-58.2312511!16s%2Fg%2F11h2g4631q!19sChIJp0uUYw3br5URWhRTpcNjoC4?authuser=0&hl=zh-TW&rclk=1
ChIJP4_HSADbr5URcQdgrf-16Q4,Filippo Cafe & Bistro,,False,1111,"Name: Bartolo Bar
link: https://www.google.com/maps/search/Bartolo+Bar/@-32.485655699999995,-58.23271939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2638 reviews

Name: Bella Vista
link: https://www.google.com/maps/search/Bella+Vista/@-32.4849019,-58.2330407?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2488 reviews

Name: Restaurant La Delfina
link: https://www.google.com/maps/search/Restaurant+La+Delfina/@-32.4826853,-58.2317183?authuser=0&hl=zh-TW&entry=ttu
Reviews: 741 reviews

Name: London
link: https://www.google.com/maps/search/London/@-32.4841196,-58.2356225?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews",https://filippo-cafe-bistro.negocio.site/,Filippo Cafe & Bistro (Ye Zhu ),https://www.google.com/maps/contrib/102272218074909596495,https://lh5.googleusercontent.com/p/AF1QipMGLlPRO7rr_wcrPBX7uHt2QvD_Q4MDZAMjTpcN=w408-h544-k-no,Xiao Can Guan  (Bistro),"Xiao Can Guan  (Bistro), Jiu Ba ",4.4,"08:30-14:00, 16:30-23:00",Xing Qi San ,+54 3442 45-0322,"Filippo Cafe & Bistro, 25 de Mayo 147, E3260 Concepcion del Uruguay, Entre Rios, A Gen Ting ","Tu Si , Xin , Yin Le , Ke Song , Fu You , Huo Tui ",https://www.google.com/maps/place/Filippo+Caf%C3%A9+%26+Bistr%C3%B3/data=!4m7!3m6!1s0x95afdb0048c78f3f:0xee9b5ffad600771!8m2!3d-32.482584!4d-58.2326413!16s%2Fg%2F11g6pwjn3d!19sChIJP4_HSADbr5URcQdgrf-16Q4?authuser=0&hl=zh-TW&rclk=1
ChIJ82j1DgDbr5URxO0fNHZOYYo,EL ARCA - Resto Bar,,False,906,"Name: Bartolo Bar
link: https://www.google.com/maps/search/Bartolo+Bar/@-32.485655699999995,-58.23271939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2638 reviews

Name: Drakkar cerveceria
link: https://www.google.com/maps/search/Drakkar+cerveceria/@-32.480575,-58.2339256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 778 reviews

Name: SAHARA Resto Bar
link: https://www.google.com/maps/search/SAHARA+Resto+Bar/@-32.486846299999996,-58.248219999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 455 reviews

Name: Bonhomia Resto Bar
link: https://www.google.com/maps/search/Bonhomia+Resto+Bar/@-32.479115199999995,-58.2221372?authuser=0&hl=zh-TW&entry=ttu
Reviews: 449 reviews

Name: La Taberna
link: https://www.google.com/maps/search/La+Taberna/@-32.4821544,-58.2276737?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews",https://es-la.facebook.com/arcarestobar/,EL ARCA - Resto Bar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPQXnHPIjFyaN4EYta3F4hyEFtCn4vRSCNUK691=w408-h306-k-no,Ying Shi Gao Ji Jiu Ba ,Ying Shi Gao Ji Jiu Ba ,4.1,20:00-07:00,"Xing Qi Yi , Xing Qi Er ",+54 3442 42-8000,"EL ARCA - Resto Bar, Leguizamon 180, Concepcion del Uruguay, Entre Rios, A Gen Ting ","Jia Ting , Pi Sa , Wan Can , Er Zi , Le Tuan , Kong Jian , Qiu Chi , Wu , You Xi ",https://www.google.com/maps/place/EL+ARCA+-+Resto+Bar/data=!4m7!3m6!1s0x95afdb000ef568f3:0x8a614e76341fedc4!8m2!3d-32.4823139!4d-58.2342508!16s%2Fg%2F1q629y1lc!19sChIJ82j1DgDbr5URxO0fNHZOYYo?authuser=0&hl=zh-TW&rclk=1
ChIJE1cM-JPbr5URKSZ0-FsFklU,Garifo,,False,797,"Name: Bartolo Bar
link: https://www.google.com/maps/search/Bartolo+Bar/@-32.485655699999995,-58.23271939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2638 reviews

Name: La Ris
link: https://www.google.com/maps/search/La+Ris/@-32.4839406,-58.2329887?authuser=0&hl=zh-TW&entry=ttu
Reviews: 802 reviews

Name: Restaurant La Delfina
link: https://www.google.com/maps/search/Restaurant+La+Delfina/@-32.4826853,-58.2317183?authuser=0&hl=zh-TW&entry=ttu
Reviews: 741 reviews

Name: La Taberna
link: https://www.google.com/maps/search/La+Taberna/@-32.4821544,-58.2276737?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Faro 3260
link: https://www.google.com/maps/search/Faro+3260/@-32.4961239,-58.226355700000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 245 reviews",https://gariforestobar.wixsite.com/garifo,Garifo (Ye Zhu ),https://www.google.com/maps/contrib/101804246575445198305,https://lh5.googleusercontent.com/p/AF1QipOLn4uwIyrPxOFHQg1nEDpQFotuaB3e2oCdW7OT=w408-h544-k-no,Can Ting ,Can Ting ,4.4,20:00-01:00,Open All Days,+54 3442 41-6427,"Garifo, Espana 193, E3260 Concepcion del Uruguay, Entre Rios, A Gen Ting ","Han Bao , Pi Jiu , Xin , Wan Shang , Su Shi , Ma Ling Shu , Fu You , Yin Le ",https://www.google.com/maps/place/Garifo/data=!4m7!3m6!1s0x95afdb93f80c5713:0x5592055bf8742629!8m2!3d-32.4876591!4d-58.2333507!16s%2Fg%2F11h5_t8bzs!19sChIJE1cM-JPbr5URKSZ0-FsFklU?authuser=0&hl=zh-TW&rclk=1
ChIJQ9BEKxnbr5URVJ3iuBCIsrE,Parador Point North Coast,,False,752,"Name: Costanera Isla del Puerto
link: https://www.google.com/maps/search/Costanera+Isla+del+Puerto/@-32.4865896,-58.215083199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2393 reviews

Name: PANZAVERDE .com.ar
link: https://www.google.com/maps/search/PANZAVERDE+.com.ar/@-32.4787526,-58.213115200000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 999 reviews

Name: Parador Plaza
link: https://www.google.com/maps/search/Parador+Plaza/@-32.4856842,-58.2326955?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: Parador Paso Vera
link: https://www.google.com/maps/search/Parador+Paso+Vera/@-32.4334841,-58.206241500000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",https://es-la.facebook.com/PuntoCostaNorte/,Parador Point North Coast (Ye Zhu ),https://www.google.com/maps/contrib/108875224270580588267,https://lh5.googleusercontent.com/p/AF1QipOP2kSP-MwNm7YQUOIYuqaEXh-V-8Qf9OmxlWGh=w408-h306-k-no,Za Zhi Dian ,Za Zhi Dian ,4.3,10:00-00:00,Open All Days,+54 3442 40-4213,"Parador Point North Coast, Isla de puerto, E3260 Concepcion del Uruguay, Entre Rios, A Gen Ting ","Jia Ge , Sha Tan , Jia Ting , Pi Sa , Feng Jing , Yu Shi , Mei ",https://www.google.com/maps/place/Parador+Point+North+Coast/data=!4m7!3m6!1s0x95afdb192b44d043:0xb1b28810b8e29d54!8m2!3d-32.4781383!4d-58.2128774!16s%2Fg%2F11c49_g8g1!19sChIJQ9BEKxnbr5URVJ3iuBCIsrE?authuser=0&hl=zh-TW&rclk=1
ChIJZ8NSbbPbr5URuePvejGf9fY,Heladeria Grido,,False,705,"Name: Heladeria Italia
link: https://www.google.com/maps/search/Helader%C3%ADa+Italia/@-32.4843985,-58.2312511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1652 reviews

Name: Heladeria Bahillo
link: https://www.google.com/maps/search/Helader%C3%ADa+Bahillo/@-32.4840476,-58.23349090000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 591 reviews

Name: Heladeria Dany's
link: https://www.google.com/maps/search/Heladeria+Dany%27s/@-32.4849916,-58.233035699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 146 reviews

Name: Grido
link: https://www.google.com/maps/search/Grido/@-32.4875456,-58.24773729999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Heladeria Suiza
link: https://www.google.com/maps/search/Heladeria+Suiza/@-32.4835476,-58.233587500000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",https://argentina.gridohelado.com/,Heladeria Grido (Ye Zhu ),https://www.google.com/maps/contrib/101070110794310108794,https://lh5.googleusercontent.com/p/AF1QipMDYPB_OiXKDKhfldOYcPMrjyUKUWXXDLMzhIEz=w426-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.2,12:00-00:00,Open All Days,,"Heladeria Grido, AEP, Sansoni 2080, E3260 Concepcion del Uruguay, Entre Rios, A Gen Ting ","Fu You , Jia Ge , Chan Pin , Kou Wei , Jing Ji , You Xi , Wei Sheng ",https://www.google.com/maps/place/Helader%C3%ADa+Grido/data=!4m7!3m6!1s0x95afdbb36d52c367:0xf6f59f317aefe3b9!8m2!3d-32.4875974!4d-58.2572235!16s%2Fg%2F11clghfgm8!19sChIJZ8NSbbPbr5URuePvejGf9fY?authuser=0&hl=zh-TW&rclk=1
ChIJVfwYQADbr5UR3oBPHiUnVyg,Cremolatti,,False,694,"Name: Heladeria Italia
link: https://www.google.com/maps/search/Helader%C3%ADa+Italia/@-32.4843985,-58.2312511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1652 reviews

Name: Grido Helado
link: https://www.google.com/maps/search/Grido+Helado/@-32.484648299999996,-58.2359965?authuser=0&hl=zh-TW&entry=ttu
Reviews: 640 reviews

Name: Heladeria Bahillo
link: https://www.google.com/maps/search/Helader%C3%ADa+Bahillo/@-32.4840476,-58.23349090000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 591 reviews

Name: Heladeria artesanal Yelatti
link: https://www.google.com/maps/search/Helader%C3%ADa+artesanal+Yelatti/@-32.4797183,-58.251582299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",http://www.cremolatti.com.ar/,Cremolatti (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPHLCyzTXUCOZLBLnJy0vtPG9PqLZ25WgLtZEvP=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,4.6,12:00-00:30,Open All Days,+54 3442 42-5704,"Cremolatti, Gral. Galarza 830, Concepcion del Uruguay, Entre Rios, A Gen Ting ","Fu You , Jia Ge , Kou Wei , Chan Pin , Wu Fu Zhi , vegan, Zhi Fu ",https://www.google.com/maps/place/Cremolatti/data=!4m7!3m6!1s0x95afdb004018fc55:0x285727251e4f80de!8m2!3d-32.4841901!4d-58.2343391!16s%2Fg%2F11bxfxw2w9!19sChIJVfwYQADbr5UR3oBPHiUnVyg?authuser=0&hl=zh-TW&rclk=1
